phone_number,grade9swdfilledflag12,grade9gefilledflag5,appperseat5specialized,interest12,academicopportunities2,method5,boys,seats9swd3,requirement_3_1,international,grade9geapplicants9,admissionspriority212,seats105,eligibility6,admissionspriority19,program5,admissionspriority24,offer_rate3_5,admissionspriority27,requirement_3_8,seats9swd7,psal_sports_girls,requirement_3_2,common_audition3,common_audition5,grade9geapplicants8,grade9gefilledflag8,ell_programs,offer_rate1_4,requirement_4_2,grade9swdapplicantsperseat2,pct_stu_safe,requirement_4_1,admissionspriority110,interest1,requirement_3_5,grade9geapplicantsperseat8,admissionspriority26,bus,appperseat6specialized,prgdesc11,grade9gefilledflag6,offer_rate3_2,diadetails,prgdesc2,fax_number,admissionspriority17,common_audition8,appperseat4specialized,grade9swdfilledflag4,code5,grade9geapplicants6,offer_rate3_4,method6,seats9swd12,requirement_3_9,grade9swdapplicants1,program1,grade9geapplicants3
212-962-4341,,,,,20 College Credit Earning Courses Offered on Campus Per Year (12 College Now & 8 AP),,,,,,,,,,,,,,,,,"Bowling, Softball",2019-20 Marking Period Grades - 40%,,,,,,,,30,0.94999999,,,Computer Science & Technology; Business,,,,"M14A, M14D, M15, M21, M22, M9, X14, X37, X38",,,,,,"UNHS offers the most robust Early College Campus Program in NYC. Beginning in 10th grade, eligible students are able to begin earning dual high school and college bearing credits here on UNHS campus. Students must earn a 75% on the ELA Regents in 10th grade in order to be eligible for the course work. Courses include Critical Thinking, Statistics, Trigonometry, Astronomy, Chemistry, Public Speaking, Literacy and Propaganda, English 101, English 103, Sociology, Intro to Business and Marketing.",212-267-5611,,,,,,,,,,,135,CTE Computer Science or Business & Entrepreneurship,
212-501-1235,,,,,All juniors take AP US History and either AP Literature or AP Language,,,,2019-20 Marking Period Grades - 15%,,,,,,,,,,,,,"Badminton, Basketball, Bowling, Flag Football, Handball, Indoor Track, Soccer, Softball, Volleyball, Wrestling",,,,,,,,,,0.91000003,Essay - 30%,,Science & Math,,,,"BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42",,,,,Priority to applicants eligible for free or reduced price lunch for 69% of seats,,212-501-1171,,,,,,,,,,,375,Manhattan/Hunter Science High School,
212-569-1022,,,,,Prerequisite Advanced Placement Courses,,,,,,,,,,,,,,,,,"Badminton, Softball",,,,,,,,,,0.98000002,,,Humanities & Interdisciplinary,,,,"Bx12, Bx12-SBS, Bx20, Bx7, BxM1, M100, M3, M4",,,,,,,212-569-1190,,,,,,,,,,,10,High School for Excellence and Innovation,
718-466-7800,,,,,"College office provides comprehensive support throughout the college application process, including trips, FAFSA sessions, and application support.",,,,,,,,,,,,,,,,,"Basketball, Flag Football, Softball, Wrestling",,,,,,,,,,0.86000001,,,Science & Math,,,,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx41, Bx41-SBS",,,,,,,718-466-7801,,,,,,,,,,,239,Urban Assembly School for Applied Math and Science,
718-373-6400,,Y,,,"John Dewey High School provides instructional, organizational and social emotional courses that offer access to college and career readiness. Programs include College Now, Council for Unity, Educators Rising, National Honors Society, One Goal, and Peer Group Connection (PGC)",Screened,,N/A - new program,,,,,0.0,,,Pre-Med and Health Academy,Then to New York City residents,,Then to New York City residents,,18,"Badminton, Basketball, Lacrosse, Outdoor Track, Soccer, Softball, Table Tennis, Tennis, Volleyball",,,,,,Transitional Bilingual Education: Chinese,99% of offers went to this group,,1,0.83999997,,,Business; Culinary Arts,2019-20 Marking Period Grades - 40%,,Then to New York City residents,"B1, B4, B64, B82, X28, X38",,,Y,,,"This program will strengthen their home language as they continue to improve their academic English skills. Social studies and science courses are taught using both Chinese and English, and students take Chinese as a Native Language courses in addition to their English as a New Language classes. Please note this is a General Education Bilingual Program for ELL students.",718-266-4385,Priority to Brooklyn students or residents,,,Y,K56L,764,,Ed. Opt.,,,154,The Academy for Business Management and Culinary Arts,N/A - new program
718-545-7095,,N,,,"Four Smaller Learning Communities. With eight different academic programs: Global Informatics, Dual Language Program Spanish, Global Languages",Ed. Opt.,,16,,,N/A - zoned program,,1.0,,Guaranteed offer to students who live in the zoned area,Community & Culture,,,Then to New York City residents,,5,"Basketball, Bowling, Fencing, Golf, Gymnastics, Handball, Lacrosse, Soccer, Softball, Swimming, Tennis, Volleyball",2019-20 Marking Period Grades - 40%,,,82,N,Dual Language: Spanish,,,6,0.80000001,,,Computer Science & Technology,,1,,"Q100, Q102, Q103, Q104, Q18, Q19, Q66, Q69",,,N,,,Our award-winning Culinary Arts Program offers a four-year sequence in culinary training. Students learn food preparation and production skills in a full-service commercial kitchen. The coursework culminates in an exam which qualifies students for a Career and Technical Education (CTE) diploma endorsement.,718-545-2980,Priority given to New York City residents who are English Language Learners,,,Y,Q29P,232,,Ed. Opt.,,,52,Global Informatics,206
718-218-9301,,,,,Paid and Non-Paid industry internships aligned to scholars' targeted field of study or other interest,,,13,,,,,,,,,,,,,,,,,,,,,,,19,0.83999997,,,Engineering,,,,"B32, B43, B48, B62",,,,,,"This Academy prepares students for cutting-edge careers in experiential design and digital media. We teach an integrated approach based on four fundamentals: design thinking, visual communication, technology, and user experience. Students in the academy are strategic thinkers, producers, and technologists poised to lead innovation on a global level.",718-599-4351,,,,,,,,,,,101,Academy of Automotive Specialists,312
718-342-6249,,,,,"Learning to Work (LTW) Internships, Power-Hour Saturday Regents Prep",,,,,,,,,,,,,,,,,Basketball,,,,,,,,,,0.94999999,,,Humanities & Interdisciplinary,,,,"B15, B35, B60, B8",,,,,,,718-342-6329,,,,,,,,,,,12,Metropolitan Diploma Plus High School,
212-247-8652,,,,,Ninth graders are enrolled in a High School orientation class for their first semester as well as an advisory group to support all aspects of school and life at PPAS.,,,6,,,,,,,,,Then to New York City residents,,,,,"Basketball, Flag Football, Soccer, Softball, Volleyball",,1.0,,,,,19% of offers went to this group,,9,0.93000001,,,Performing Arts,,,,"BxM2, M10, M104, M11, M12, M20, M31, M34A-SBS, M42, M5, M50, M55, M57, M7, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM24, QM3, QM4, QM5, QM6, X1, X12, X14, X17J, X21, X22, X22A, X30, X31, X42, X7, X9",,,,,,"In partnership with the professional theater company Waterwell, and built around the core values: engagement and empathy. Students take daily conservatory-style class in acting, movement/devising, voice & speech and theater studies. Each grade also participates in supplementary performance projects including classics, new play commissions, and student-created work. Goal is to develop exemplary artists who are equally engaged citizens. Audition Location: PPAS, 328 West 48th Street.",212-247-7514,,,,Y,,,,,,,49,Musical Theater,184
718-893-5158,,,,,"CUNY College Now, College Access for All, SEO, Bottom Line, CUNY LINCT, Summer College at NYU & Manhattan College, college trips",,,,,,,,,,,,,,,,,"Basketball, Rugby, Volleyball, Wrestling",,,,,,,,,,0.81999999,,,Humanities & Interdisciplinary,,,,"Bx11, Bx17, Bx19, Bx27, Bx35, Bx4, Bx46, Bx4A, Bx5, Bx6, Bx6-SBS",,,,,,,718-893-5982,,,,,,,,,,,156,Bronx Studio School for Writers and Artists,
718-230-5748,,,,,"Four-year media arts professional specialization: studio art, photography, filmmaking, accelerated arts academies, internship, media job training",,,,,,,,,,,,,,,,,"Basketball, Flag Football",,,,,,,,,,0.88,,,Performing Arts/Visual Art & Design,,,,"B38, B44, B44-SBS, B48, B52, B54, B57, B62",,,,,,,718-230-3050,,,,,,,,,,,225,Brooklyn Community Arts and Media,
718-834-6760,,N,,,"Our Visual Arts offerings include Drawing, Painting, Sculpture, Digital Art, Photoshop, Ceramics, College Portfolio Preparation, Elective Arts, Multimedia",Audition,,2,,,,,1.0,,,Instrumental Music,Then to District 13 students or residents,38% of offers went to this group,,,,"Basketball, Cross Country",,1.0,1.0,,,,8% of offers went to this group,,10,0.82999998,,,Visual Art & Design,,,,"B54, B57, B62, B67, B69",,,,62% of offers went to this group,,"Theory, history, ear and vocal training, performance and beginning keyboard, songwriting, Mass Chorus, Gospel Choir, and Quartet Ensembles.",718-243-0815,,,,Y,K42E,,83% of offers went to this group,D75 Special Education Inclusive Services,,,41,Visual Arts,141
718-564-2540,,,,,"Computer, Conflict Resolution Training, Dance, Drama, Leadership Class, National Honor Society, Peer Mediation Center, Regents Prep, SAT Prep",,,,2019-20 Marking Period Grades - 10%,,,,,,,,,,,,,"Basketball, Flag Football, Indoor Track, Outdoor Track, Softball, Swimming, Table Tennis, Tennis, Volleyball",,,,,,,,,,0.88,Interview - 15%,,Science & Math,,,,"B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4",,,,,,,718-564-2541,,,,,,,,,,,105,Early College,
718-221-1593,,,,,"Small advisory groups led by faculty mentor; Science, Technology, Engineering and Mathematics (STEM)",,,,,,,,,,,,,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track",,,,,,,,,,0.88999999,,,Computer Science & Technology,,,,"B15, B25, B26, B43, B44, B45, B46, B65",,,,,,,718-221-1781,,,,,,,,,,,209,Pathways in Technology Early College High School,
718-461-2219,,,,,"Four years of English, Math, Science, and Social Studies courses",,,,,,,,,,,,,,,,,"Basketball, Bowling, Cross Country, Fencing, Flag Football, Golf, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,,,,,,,,,0.82999998,,,Communications,,,,"Q12, Q13, Q16, Q28, Q31, Q76, QM3",,,,,,,718-461-2633,,,,,,,,,,,113,World Journalism Preparatory,
917-237-7300,,,,,Students get to pick their classes starting in the 9th grade and have individualized schedules all four years,,,,,,,,,,,,,,,,,"Basketball, Bowling, Softball",,,,,,,,,,0.94999999,,,Humanities & Interdisciplinary,,,,"BxM18, M1, M20, M21, M55, X1, X10, X10B, X12, X17, X27, X28, X7, X9",,,,,Priority to applicants eligible for free or reduced price lunch for 66% of seats,,212-219-0743,,,,,,,,,,,475,NYC iSchool,
718-949-8405,,,,,Digital Music Production,,,,,,,,,,,,,,,,,"Basketball, Flag Football, Indoor Track, Soccer, Softball, Tennis, Volleyball",,,,,,,,,,0.86000001,,,Film/Video,,,,"Q3, Q77, Q85",,,,,,,718-525-8495,,,,,,,,,,,47,Preparatory Academy for Writers,
718-904-5450,,,,,"Health-related research, literacy, externships",,,,,,,,,,,,,,,,,"Basketball, Cross Country, Flag Football, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,,,,,,,,,0.88,,,Health Professions,,,,"Bx12, Bx12-SBS, Bx23, Bx26, Bx28, Bx29, Bx30, Bx38, BxM7, Q50",,,,,,,718-904-5451,,,,,,,,,,,220,Bronx Health Sciences High School,
718-923-4700,,,,,Presentations of Learning: Students participate in roundtables in each core class every year where they defend their writing to external panelists,,,,,,,,,,,,,,,,,"Basketball, Softball, Volleyball",,,,,,,,,,0.82999998,,,Humanities & Interdisciplinary,,,,"B57, B61, X12, X14, X17, X17A, X19, X3, X31, X42, X5, X8, X9",,,,,"Priority to applicants eligible for free or reduced price lunch, students in temporary housing, and English Language Learners, for 76% of seats",,718-923-4730,,,,,,,,,,,231,Brooklyn Collaborative Studies,
718-944-3635,,,,,"University of Vermont Programs, College Bound Initiative, Chappaqua Summer Scholarship program",,,,,,,,,,,,,,,,,"Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,,,,,,,28,0.77999997,,,Science & Math,,,,"Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11",,,,,,"Students in our Math and Science Academy will be expected to take four years of math and science, all math and science corresponding Regents, and at least two Advanced Placement (AP) courses in AP Biology, AP Chemistry, AP Calculus, AP Statistics, and AP Computer science. Students will be prepared for college and careers in science, technology, engineering and mathematics.",718-652-3525,,,,,,,,,,,252,Collegiate Institute for Math and Science,
718-991-6349,,,,,Bronx Latin has an advisory program and a partnership with College Bound Initiative (CBI) guiding students through the college process.,,,,,,,,,,,,,,,,,Outdoor Track,,,,,,,,,,0.85000002,,,Humanities & Interdisciplinary,,,,"Bx11, Bx15, Bx17, Bx19, Bx21, Bx27, Bx35, Bx4, Bx4A, Bx5, Bx6, Bx6-SBS",,,,,,,718-991-6627,,,,,,,,,,,305,Bronx Latin,
212-491-4107,,,,,"Naviance online college software/application tracking, Harlem Educational Activities Fund (HEAF), Double Discovery Columbia University, Greenhouse",,,,2019-20 Marking Period Grades - 30%,,,,,,,,,,,,,"Basketball, Fencing, Lacrosse, Soccer, Softball, Tennis, Volleyball, Wrestling",2019-20 Marking Period Grades - 30%,,,,,,,,3,0.74000001,,,Humanities & Interdisciplinary,,,,"Bx13, Bx19, Bx6, M1, M10, M102, M2, M3, M7",,,,74% of offers went to this group,,"This program will prepare students for college studies and careers in Science, Technology, Engineering, Mathematics, and Medicine. Students will have access to elective courses such as Robotics, Aeronautics/Aviation, Anatomy & Physiology, and Forensic Science. Students are expected to take a minimum of two AP or CUNY College Now courses for which they are eligible and may include AP Calculus, AP Statistics, AP Biology, AP Chemistry, and AP Physics.",212-491-4414,,,,,,,,,,,130,Frederick Douglass Academy for the Humanities (FDAH),
718-643-9315,,,,,College Course offerings: CUNY College Now; St. Joseph's College Bridge Program,,,,,1.0,,,,,,,,,,,,"Bowling, Soccer",,,,,,,,,,0.88999999,,,Humanities & Interdisciplinary,,,,"B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B65, B67, B69",,,,,,,718-643-9516,,,,,,,,,,,57,Brooklyn International High School,
718-471-3571,,,,,Our clinical internships prepare students for academic challenges as well as future career goals.,,,,,,,,,,,,,,,,,"Basketball, Flag Football, Soccer, Softball, Swimming, Tennis, Volleyball",,,,,,,,,8,0.79000002,,,Health Professions,,,,"Q22, QM17",,,,,,This program is a partnership with Plaza College where our best and brightest students are offered the opportunity to pursue credit at the college level. The program is geared toward dedicated students with a desire to succeeded. The course work is rigorous and requires students to commit to an advanced course of study in the field of medicine. Students are challenged but provided with the skills to be college- and career-ready.,718-471-0314,,,,,,,,,,,87,Academy of Medical Technology,
718-432-4300,,,,,Microsoft Office certification,,,,2019-20 Marking Period Grades - 30%,,,,,,,,,,,,,"Basketball, Outdoor Track, Softball, Volleyball",,,,,,Transitional Bilingual Education: Spanish,,,,0.88,Essay - 25%,,Computer Science & Technology,,,,"Bx1, Bx10, Bx2, Bx20, Bx7, Bx9, BxM1, BxM18, BxM2, M100",,,,,,,718-432-4310,,,,,,,,,,,159,Information and Network Technology Academy,
718-286-3600,,,,,"Research classes in Math and Science, Robotics classes and Geometry for engineering.",,,,,,,,,,,,,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,,,,,,,,N/A - zoned program,0.93000001,,,,,,,"BM5, Q11, Q21, Q23, Q52-SBS, Q53-SBS, Q54, Q55, QM12, QM15, QM42",,,,,,,718-286-3601,,,,,,,,,,,,Queens Metropolitan High School D75 Inclusion Program,
718-387-2800,,,,,Business & Finance,,,10,,,,,,,,,,,,,,"Basketball, Handball, Outdoor Track, Soccer, Softball, Volleyball",,,,,,Transitional Bilingual Education: Spanish,,,7,0.82999998,,,Computer Science & Technology,,,,"B24, B43, B60, Q54, Q59",,,,,,College and career preparatory program for careers related to the business and finance sectors. The curriculum is developed by the National Academy Foundation (NAF) and receives support from corporate partners.,718-387-2748,,,,Y,,,,,,,145,Computer Science/Networking,83
212-876-4639,,,,,"We have begun to offer College Now on site, as a CCNY a professor teaches Psychology at MCSM. Many students attend College Now at CUNY campuses.",,,,2019-20 Marking Period Grades - 27%,,,,,,,,,,,,,"Basketball, Bowling, Soccer, Softball, Table Tennis, Volleyball",,,,,,Transitional Bilingual Education: Spanish,,,8,0.97000003,,,Science & Math,,,,"BxM10, BxM6, BxM7, BxM8, BxM9, M101, M102, M103, M106, M116, M15, M15-SBS, M35, M98",,,,75% of offers went to this group,,"Bilingual students follow the same academic programming and rigor of general education students, while guaranteed language support ensuring equitable college-ready opportunities.",212-996-5946,,,,,,,,,,,361,Science & Mathematics Research,
718-638-3062,,,,,"Forensics, APEX online classes, weekly advisories, digital photography, Kinvolved for attendance, advocate counselor",,,,,,,,,,,,,,,,,"Basketball, Flag Football",,,,,,,,,,0.88,,,Film/Video; Visual Arts,,,,"B44, B48, B38, B52, B61",,,,,,,718-638-3404,,,,,,,,,,,,Brooklyn High School for Leadership and Community Service,
718-230-6250,,,,,We offer Advanced Placement classes for our upper level students through AP For ALL and through Computer Science for All,,,,,,,,,,,,,,,,,"Badminton, Basketball, Soccer, Softball, Volleyball",,,,,,,,,,0.81,,,Computer Science & Technology; Performing Arts,,,,"B41, B43, B44-SBS, B45, B48, B49",,,,,,,718-230-6262,,,,,,,,,,,131,Performing and Visual Arts,
212-281-6490,,,,,"Mount Sinai Science Research Program: Advanced laboratory and research internships in cardiology, oncology, obstetrics, or the autopsy suite",,,,,,,,,,,,,,,,,"Basketball, Soccer, Softball",,,,,,,,,,0.97000003,,,Engineering,,,,"Bx19, Bx33, M10, M100, M101, M104, M11, M2, M3, M4, M5",,,,,,,212-281-6918,,,,,,,,,,,,"High School for Math, Science and Engineering at City College (HSMSE)",
718-860-1242,,,,,Advance Placement Courses in various subjects,,,,,,,,,,,,,,,,,"Basketball, Softball",,,,,,,,,,0.88,,,Humanities & Interdisciplinary,,,,"Bx17, Bx19, Bx4, Bx46, Bx4A, Bx5, Bx6, Bx6-SBS",,,,,,,718-860-1934,,,,,,,,,,,89,Longwood Preparatory Academy,
718-597-1751,,,,,Senior Mentors CONNECT; Lehman College NOW; Student Work Study; Monroe College CONNECT,,,,,,,,,,,,,,,,,"Basketball, Softball",,,,,,,,,,0.64999998,,,Computer Science & Technology,,,,"Bx21, Bx36, Bx40, Bx42, Bx9, BxM10, BxM6, Q44-SBS",,,,,,,718-931-8366,,,,,,,,,,,138,Academy for Excellence,
212-242-3384,,,,,"Two-year Houses to develop our core habits of mind: Curiosity, Evidence, Perspective, Connection, Voice, Responsibility, and Creative Contribution",,,,,,,,,,,,,,,,,"Basketball, Softball, Volleyball",,,,,,,,,,0.87,,,Humanities & Interdisciplinary,,,,"M1, M101, M102, M103, M12, M14A, M14D, M2, M20, M23-SBS, M3, M55, M7, M8, X1, X10, X10B, X12, X14, X17, X27, X28, X37, X38, X42, X63, X64, X68, X7, X9",,,,,"Priority to applicants eligible for free lunch for 63% of seats: first to Manhattan students or residents, and then to New York City residents",,212-242-4173,,,,,,,,,,,497,Harvest Collegiate High School,
212-242-8752,,,,,"New York University (NYU) Preview, CUNY College Now, Opportunity Network, Sponsors for Educational Opportunity (SEO), Let's Get Ready",,,,,,,,,,,,,,,,,"Basketball, Softball",,,,,,,,,,0.92000002,,,Humanities & Interdisciplinary,,,,"BM1, BM2, BM3, BM4, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M2, M20, M23-SBS, M3, M4, M5, M55, M7, Q32, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",,,,,,,212-242-7630,,,,,,,,,,,400,Manhattan Village Academy,
718-968-4101,,,,,"Technology and Visual Arts Institute: Focuses on Computer Science, Robotics, and Digital Art",,,,,,,,,,,,,,,,,"Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Softball, Volleyball",,,,,,,,,7,0.81999999,,,Computer Science & Technology,,,,"B103, B47, B6, B82, BM2",,,,,,"This institute focuses on environmental science and health professions. Students will be given opportunities to explore real world practical issues that affect the environment, through field work in Hydroponic studies as well as field work in the health professions through hands on experiences. Beginning September 2020 we will be afforded the opportunity to learn first hand in our brand new state of the art Hydroponics and Aquaponics Lab.",718-968-4296,,,,,,,,,,,106,Technology and Visual Arts Institute,
718-832-4333,,,,,Advisory-students placed with an academic advisor for all four years of high school; Executive Functioning for students in need of extra support,,,,2019-20 Marking Period Grades - 28%,,,,,,,,,,,,,"Basketball, Fencing, Outdoor Track, Soccer, Softball, Swimming, Table Tennis, Volleyball",,,,,,,,,,0.91000003,,,Humanities & Interdisciplinary,,,,"B61, B63, B67, B69",,,,,Priority to applicants eligible for free or reduced price lunch for 66% of seats,,718-499-2126,,,,,,,,,,,446,Millennium Brooklyn,
212-696-0195,,,,,"All courses offer Honors level work to all students. We also have over 20 Elective options, including Debate, Music and Piano, Theater, Chinese, Statistics, Spanish, Computer Science, Yoga, Art and Design, Oceanography, Virtual Enterprise, Journalism and Ukulele!",,,N/A - new program,,,,,,,,,,,,,,"Basketball, Softball, Volleyball",,,,,,,,,N/A - new program,0.93000001,,,Humanities & Interdisciplinary,,,,"BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M34-SBS, M34A-SBS, M4, M42, M5, M55, M7, M9, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM31, QM32, QM34, QM35, QM36, QM4, QM40, QM42, QM44, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9",,,,,,"A multi-year Computer Science track offers courses in Computer Science that challenge students to solve real world problems using analytical skills. They cover the basic principles of Computer Science, Web Programming, and Advanced Placement Computer Science classes that go deeper into Software Engineering. Through Computer Science course offerings, students will learn computational thinking, problem solving, and critical thinking. Students' success in the real world will greatly depend on their ability to problem solve and utilize technology in their everyday lives. We offer Algebra I, Geometry, and Algebra II, AP Statistics and AP Calculus. Students who take high-level math receive higher scores on the SAT (includes the ""Passport to Advanced Math,"" that requires the manipulation of complex equations). Students who take high-level math courses are more likely to graduate from college and get higher salaries than their peers who did not take those classes.",212-696-2498,,,,,,,,,,,66,Murray Hill Academy - Integrated Studies,N/A - new program
718-858-1160,,,,,"Global Issues, Research Writing",,,,,,,,,,,,,,,,,"Basketball, Soccer, Volleyball",,,,,,,,,,0.80000001,,,Law & Government,,,,"B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B63, B65, B67, B69",,,,,,,718-858-4733,,,,,,,,,,,164,Urban Assembly School for Law and Justice,
718-658-5407,,N,,,Extensive College Now offerings through CUNY colleges,Audition,,11,,,N/A - zoned program,,1.0,,Guaranteed offer to students who live in the zoned area,Academy of Performing and Visual Arts,,,,,11,"Basketball, Bowling, Cross Country, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,1.0,,,"Transitional Bilingual Education: Bengali, Spanish",,,4,0.79000002,,,Health Professions,,,,"Q1, Q110, Q111, Q112, Q113, Q114, Q17, Q2, Q20A, Q20B, Q24, Q25, Q3, Q30, Q31, Q34, Q36, Q40, Q41, Q43, Q44-SBS, Q54, Q56, Q6, Q65, Q76, Q77, Q8, Q83, Q9, X68",,,Y,,,"Through a partnership with CUNY, the PERC TAS program allows students to lead lessons and mentor struggling students in Living Environment and Algebra. Through our partnership with Junior Achievement, students participate in the HS Heroes program where they have the opportunity to teach for a day, twice each year. We offer a Teacher Assistant program through our foundations of education course and the opportunity to participate in job shadowing through American Express and ABC studios.",718-739-5137,Open to New York City residents,,,Y,Q24L,534,,Ed. Opt.,,,99,Health Sciences Institute,416
718-292-2211,,,,,"New York City Connected Learning, SUPA (Syracuse University Project Advancement), college credit bearing courses, Here to Here/CareerWise apprenticeship opportunities",,,,,,,,,,,,,,,,,"Basketball, Handball, Outdoor Track, Softball, Table Tennis, Volleyball",,,,,,,,,,0.97000003,,,Humanities & Interdisciplinary,,,,"Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",,,,,,,718-292-2172,,,,,,,,,,,366,South Bronx Preparatory,
212-927-1841,,,,,We offer College and Career preparation during the day and after school.,,,,,,,,,,,,,,,,,"Basketball, Flag Football, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,,,,,Dual Language: Spanish; Transitional Bilingual Education: Spanish,,,,0.79000002,,,Science & Math,,,,"Bx18, Bx40, Bx42, Bx7, BxM1, M100, M101, M3, M4, M98",,,,,,,212-927-6129,,,,,,,,,,,143,Health Careers & Sciences,
212-752-4340,,,,,"Arts Partnerships: Met Museum, Frick, Studio in a School, Roundabout Theater Co., Society of Illustrators, Apollo Theater, Manhattan Graphics, School of Interactive Arts, Broadway for All",,,11,,,,,,,,,,,,,,"Basketball, Soccer, Softball, Table Tennis, Volleyball",,1.0,,,,,,,7,0.85000002,,,Architecture,,,,"BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M5, M50, M57, Q101, Q32, Q60, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM31, QM32, QM34, QM35, QM36, QM4, QM40, QM42, QM44, QM5, QM6, X10, X10B, X12, X14, X17, X17J, X2, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68",,,,,,"9th grade: Design Foundations 10th grade: Select CTE major from Cartooning, Fashion/Costume Design or Illustration. Technical assessments are required for CTE certification. Upper grade students can apply for AP courses in Illustration or Cartooning. All portfolios are evaluated by professionals. This program offers opportunities for internships. Museum visits, rotating student exhibitions, and visiting industry professionals are all included in this program.",212-752-4945,,,,Y,,,,,,,105,Architectural Design,442
212-781-0524,,,,,"Rigorous, authentic Expeditionary Learning Curriculum",,,,,,,,,,,,,,,,,"Basketball, Flag Football, Soccer",,,,,,Dual Language: Spanish,,,,0.89999998,,,Humanities & Interdisciplinary,,,,"Bx11, Bx13, Bx18, Bx3, Bx35, Bx36, Bx7, M100, M101, M3, M4, M5, M98",,,,,,,212-781-0742,,,,,,,,,,,148,Washington Heights Expeditionary Learning School,
718-329-8570,,,,,Honors mathematics,,,,,1.0,,,,,,,,,,,,"Basketball, Bowling, Softball, Swimming, Table Tennis, Volleyball",,,,,,Transitional Bilingual Education: Spanish,,,,0.88,,,Humanities & Interdisciplinary,,,,"Bx1, Bx10, Bx12, Bx12-SBS, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9, BxM3, BxM4",,,,,,,718-329-8572,,,,,,,,,,,37,International School for Liberal Arts,
718-620-8160,,,,,Advisory: Small group advisory for all students,,,,,,,,,,,,,,,,,"Badminton, Basketball, Flag Football, Outdoor Track, Soccer, Softball, Volleyball",,,,,,,,,,0.92000002,,,Science & Math,,,,"Bx11, Bx27, Bx36, Bx4, Bx4A, BxM6, Q44-SBS",,,,,,,718-620-8161,,,,,,,,,,,312,Mott Hall V,
718-292-7171,,,,,College Seminar classes for all students 9 - 12 in partnership with i-Mentor college partner provides students with college access/readiness/ trips.,,,,,,,,,,,,,,,,,"Basketball, Golf, Outdoor Track, Rugby, Soccer, Softball, Volleyball",,,,,,,,,,0.93000001,,,Science & Math,,,,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx41, Bx41-SBS, Bx6, Bx6-SBS, BxM4",,,,,,,718-292-2355,,,,,,,,,,,273,Bronx Leadership Academy II High School,
718-485-3789,,,,,CUNY College Now partnership with Brooklyn College and Medgar Evers College.,,,,,,,,,,,,,,,,,"Basketball, Soccer, Volleyball",,,,,,,,,,0.92000002,,,Humanities & Interdisciplinary,,,,"B12, B14, B15, B60, B7",,,,,,,718-922-2761,,,,,,,,,,,70,College Preparation Program,
