system,starea,department,volleyball,handball,primary_sport,zipcode,t_ball,nonregulation_soccer,pickleball,dimensions,maintenanceagreement,regulation_soccer,communityboard,track_and_field,surface_type
R075A-BASEBALL-1,56760.91409301758,R-02,False,False,BSB,10314,False,False,,"90ft base path, 200+ft fence",False,False,502,False,Natural
Q023-SOCCER-1,30331.911514282227,Q-12,False,False,SCR,11432,False,False,,45-146ft W x 75-294ft L,False,False,412,False,Synthetic
B054-ZN01-HANDBALL-6,1154.1018524169922,B-08,False,True,HDB,11213,False,False,,Handball,False,False,308,False,Asphalt
X103-BASKETBALL-2,1347.10498046875,X-01,False,False,BKB,10454,False,False,,Half Court,False,False,201,False,Asphalt
M144-ZN03-TENNIS-8,2780.0036010742188,M-15,False,False,TNS,10002,False,False,,Tennis,False,False,103,False,Asphalt
Q174A-HANDBALL-3,1267.5257415771484,Q-01,False,True,HDB,11377,False,False,,Handball,False,False,401,False,Asphalt
R025-HANDBALL-6,1178.2845611572266,R-01,False,False,HDB,10301,False,False,,Handball,False,False,501,False,
B297-BASKETBALL-2,1269.5074920654297,B-12,False,False,BKB,11218,False,False,,Half Court,False,False,312,False,Asphalt
M192-BASKETBALL-2,4098.226043701172,M-11,False,False,BKB,10029,False,False,,Full Court,False,False,111,False,Asphalt
M283-02-BASKETBALL-1,1747.0763702392578,M-01,False,False,BKB,10007,False,False,,Half Court,False,False,101,False,Asphalt
B225-BASEBALL-2,8719.674499511719,B-03,False,False,SFB,11216,False,False,,"60ft base path, 150-200ft fence",False,False,303,False,Asphalt
X123-BASKETBALL-3,4103.30778503418,X-09,False,False,BKB,10460,False,False,,Full Court,False,False,209,False,Asphalt
X138-HANDBALL-1,1752.7870178222656,X-01,False,True,HDB,10454,False,False,,Handball,False,False,201,False,Asphalt
Q020-ZN05-BASEBALL-2,50466.0810546875,Q-05,False,False,SFB,11385,False,False,,"60ft base path, 150-200ft fence",False,False,405,False,Natural
Q330-BASEBALL-1,10021.027893066406,Q-12,False,False,SFB,11413,False,False,,"45-60ft base path, less than 150ft fence",False,False,412,False,Asphalt
M028-ZN02-TENNIS-7,2747.139358520508,M-12,False,False,TNS,10032,False,False,,Tennis,False,False,112,False,Asphalt
B139-SOCCER-1,7142.267852783203,B-04,False,False,SCR,11221,False,True,,45-146ft W x 75-294ft L,False,False,304,False,Synthetic
B073-ZN28-VOLLEYBALL-1,1799.6188659667969,B-14,True,False,VLB,11226,False,False,,Volleyball,False,False,314,False,Rubber
Q361-HANDBALL-6,1385.1177673339844,Q-04,False,True,HDB,11373,False,False,,Handball,False,False,404,False,Asphalt
M056-01-HANDBALL-4,876.5568084716797,M-09,False,True,HDB,10026,False,False,,Handball,False,False,109,False,Asphalt
B210W-03-HANDBALL-5,1261.4425048828125,B-10,False,True,HDB,11209,False,False,,Handball,False,False,310,False,Asphalt
X045-01-BASKETBALL-2,4044.77946472168,X-01,False,False,BKB,10455,False,False,,Full Court,False,False,201,False,Asphalt
Q360M-BASKETBALL-2,4219.6217041015625,Q-05,False,False,BKB,11378,False,False,,Full Court,False,False,405,False,Asphalt
M235-BASEBALL-1,6189.048858642578,M-03,False,False,SFB,10002,True,False,,"60ft base path, 150-200ft fence",False,False,103,False,Asphalt
X010-ZN03-HANDBALL-8,1400.3638305664062,X-03,False,False,HDB,10457,False,False,,Handball,False,False,203,False,
X287-BASKETBALL-1,2022.8716430664065,X-04,False,False,BKB,10452,False,False,,Half Court,False,False,204,False,Asphalt
B225-HANDBALL-1,897.5909576416016,B-03,False,True,HDB,11216,False,False,,Handball,False,False,303,False,Asphalt
B073-ZN15-BASEBALL-2,66864.14419555664,B-19,False,False,SFB,11215,False,False,,"60ft base path, 150-200ft fence",False,False,355,False,Natural
X010-05-HANDBALL-7,3628.641326904297,X-03,False,False,HDB,10457,False,False,,Handball,False,False,203,False,Asphalt
X092-ZN11-SOFTBALL-3,26849.66957092285,X-13,False,False,SFB,10470,False,False,,"60ft base path, 150-200ft fence",False,False,226,False,Natural
M219-BASKETBALL-1,1038.572982788086,M-07,False,False,BKB,10024,False,False,,Half Court,False,False,107,False,Asphalt
Q476-BASEBALL-2,73787.9047088623,Q-07,False,False,BSB,11354,False,False,,"90ft base path, 200+ft fence",False,False,407,False,Natural
M245-BASKETBALL-4,4071.141571044922,M-10,False,False,BKB,10030,False,False,,Full Court,False,False,110,False,Asphalt
Q015-05-BASKETBALL-1,3691.44873046875,Q-16,False,False,BKB,11385,False,False,,,False,False,482,False,
X039-ZN17-TENNIS-1,2749.6835174560547,X-15,False,False,TNS,10464,False,False,,Tennis,False,False,228,False,Asphalt
B235-HANDBALL-1,1224.8226165771484,B-15,False,True,HDB,11229,False,False,,Handball,False,False,315,False,Asphalt
X183-BASKETBALL-4,1188.3023223876953,X-10,False,False,BKB,10465,False,False,,Half Court,False,False,210,False,Asphalt
B124-BASKETBALL-2,4196.816284179688,B-01,False,False,BKB,11211,False,False,,Full Court,False,False,301,False,Asphalt
M038-HANDBALL-1,1081.53076171875,M-02,False,True,HDB,10014,False,False,,Handball,False,False,102,False,Asphalt
Q005-ZN05-BASEBALL-4,54352.887756347656,Q-12,False,False,SFB,11434,False,False,,"60ft base path, 150-200ft fence",False,False,412,False,Natural
B294-HANDBALL-1,880.2959747314453,B-03,False,True,HDB,11233,False,False,,Handball,False,False,303,False,Asphalt
B018-ZN05-BASEBALL-3,118269.30453491212,B-18,False,False,BSB,11236,False,False,,"90ft base path, 200+ft fence",True,False,318,False,Natural
B247-01-HANDBALL-2,1266.8839263916016,B-18,False,True,HDB,11207,False,False,,Handball,False,False,318,False,Asphalt
B192A-BASEBALL-1,27260.36790466309,B-10,False,False,SFB,11209,False,False,,"60ft base path, 150-200ft fence",False,False,310,False,Synthetic
B348-BASKETBALL-2,782.1350708007812,B-03,False,False,BKB,11206,False,False,,Half Court,False,False,303,False,Asphalt
B248-HANDBALL-4,1605.0616912841797,B-18,False,True,HDB,11234,False,False,,Handball,False,False,318,False,Asphalt
X266-HANDBALL-2,1419.4601287841797,X-06,False,True,HDB,10460,False,False,,Handball,False,False,206,False,Asphalt
R106-ZN03-BASKETBALL-1,3826.240341186523,R-03,False,False,BKB,10309,False,False,,Full Court,False,False,503,False,Asphalt
B156-BASKETBALL-3,3184.2201385498047,B-16,False,False,BKB,11212,False,False,,Full Court,False,False,316,False,Asphalt
B126-01-BASKETBALL-4,997.697525024414,B-06,False,False,BKB,11231,False,False,,Half Court,False,False,306,False,Asphalt
Q343-BASKETBALL-2,1210.1237182617188,Q-07,False,False,BKB,11357,False,False,,Half Court,False,False,407,False,Asphalt
B308-HANDBALL-1,1523.940933227539,B-15,False,True,HDB,11235,False,False,,Handball,False,False,315,False,Concrete
X233-BASKETBALL-1,1259.719268798828,X-01,False,False,BKB,10455,False,False,,Half Court,True,False,201,False,Asphalt
Q099-20-HANDBALL-1,1141.3427124023438,Q-15,False,False,HDB,11367,False,False,,Handball,False,False,408,False,Asphalt
X092-ZN02-HANDBALL-6,1050.0606079101562,X-13,False,True,HDB,10471,False,False,,Handball,False,False,226,False,Concrete
M205-TENNIS-3,2909.400924682617,M-09,False,False,TNS,10027,False,False,,Tennis,False,False,109,False,Asphalt
B267-BASKETBALL-4,3430.548095703125,B-09,False,False,BKB,11225,False,False,,Full Court,False,False,309,False,Asphalt
M104-ZN02-BASEBALL-16,41439.1208190918,M-11,False,False,SFB,10035,False,False,,"60ft base path, 150-200ft fence",False,False,111,False,Natural
B236-HANDBALL-3,1488.987289428711,B-18,False,False,HDB,11234,False,False,,Handball,False,False,318,False,Asphalt
B057-ZN02-BASEBALL-3,37155.32748413086,B-18,False,False,SFB,11229,True,False,,"60ft base path, 150-200ft fence",False,False,318,False,Natural
M088-BASKETBALL-3,1958.4842224121091,M-03,False,False,BKB,10009,False,False,,Half Court,False,False,103,False,Asphalt
B073-ZN27-TENNIS-8,3772.421920776367,B-14,False,False,TNS,11226,False,False,,Tennis,False,False,314,False,Clay
M015-VOLLEYBALL-5,2162.219268798828,M-03,True,False,VLB,10013,False,False,,Volleyball,False,False,103,False,Asphalt
Q012B-BASEBALL-2,37928.84259033203,Q-11,False,False,SFB,11361,False,False,,"60ft base path, 150-200ft fence",False,False,411,False,Natural
Q118-HANDBALL-2,1343.0416564941406,Q-10,False,True,HDB,11417,False,False,,Handball,False,False,410,False,Asphalt
X251-BASEBALL-1,37669.87284851074,X-10,False,False,SFB,10475,False,False,,"60ft base path, 150-200ft fence",False,False,210,False,Natural
M045-HANDBALL-2,1538.9344940185547,M-08,False,True,HDB,10021,False,False,,Handball,False,False,108,False,Asphalt
B210A-HANDBALL-6,1286.6282043457031,B-07,False,True,HDB,11220,False,False,,Handball,False,False,307,False,Asphalt
B325-BASKETBALL-2,3704.313934326172,B-16,False,False,BKB,11233,False,False,,Full Court,False,False,316,False,Asphalt
B128-HANDBALL-5,1092.0819244384766,B-12,False,True,HDB,11230,False,False,,Handball,False,False,312,False,Asphalt
Q338-HANDBALL-2,1749.8528900146484,Q-11,False,True,HDB,11363,False,False,,Handball,False,False,411,False,Asphalt
B402-BASKETBALL-1,3898.40625,B-05,False,False,BKB,11207,False,False,,Full Court,False,False,305,False,Asphalt
B073-ZN27-SOCCER-02,14895.124313354492,B-14,False,False,SCR,11226,False,False,,45-146ft W x 75-294ft L,False,False,314,False,
B214-01-MPPA-1,57700.58708190918,B-05,False,False,MPPA,11207,False,True,,45-146ft W x 75-294ft L,False,False,305,False,Asphalt
B329-01-HANDBALL-1,1370.373031616211,B-18,False,True,HDB,11234,False,False,,Handball,False,False,318,False,Asphalt
Q005-05-BASKETBALL-6,733.014892578125,Q-12,False,False,BKB,11434,False,False,,Half Court,False,False,412,False,Asphalt
Q375-HANDBALL-2,1506.6414489746094,Q-07,False,True,HDB,11357,False,False,,Handball,False,False,407,False,Concrete
Q437-HANDBALL-2,1088.7557983398438,Q-07,False,True,HDB,11355,False,False,,Handball,False,False,407,False,Asphalt
X122-HANDBALL-3,1704.8721313476562,X-10,False,True,HDB,10461,False,False,,Handball,False,False,210,False,Asphalt
M010-151-BASKETBALL-3,3102.408203125,M-13,False,False,BKB,10024,False,False,,Full Court,False,False,164,False,Asphalt
B054-ZN03-TENNIS-9,2122.757080078125,B-08,False,False,TNS,11233,False,False,,Tennis,False,False,308,False,Asphalt
B302-MPPA-1,23175.598358154297,B-03,False,False,MPPA,11206,False,True,,147-295ft W x 295-393ft L,False,False,303,False,Asphalt
M077-04-HANDBALL-3,1188.708984375,M-09,False,True,HDB,10027,False,False,,Handball,False,False,109,False,Asphalt
B257-BASKETBALL-1,3399.3775939941406,B-01,False,False,BKB,11211,False,False,,Full Court,False,False,301,False,Asphalt
B057-HANDBALL-2,1373.370147705078,B-18,False,True,HDB,11229,False,False,,Handball,False,False,318,False,Asphalt
Q099-01-HANDBALL-4,1144.599105834961,Q-06,False,True,HDB,11375,False,False,,Handball,False,False,406,False,Asphalt
X165-HANDBALL-1,948.7579650878906,X-12,False,True,HDB,10466,False,False,,Handball,False,False,212,False,Asphalt
Q128-BASKETBALL-4,2429.68994140625,Q-09,False,False,BKB,11416,False,False,,Full Court,False,False,409,False,Asphalt
Q015-ZN07-TENNIS-4,2654.0213012695312,Q-16,False,False,TNS,11385,False,False,,Tennis,False,False,482,False,Asphalt
Q015-08-BASKETBALL-2,3710.2164916992183,Q-16,False,False,BKB,11385,False,False,,Full Court,False,False,405,False,Asphalt
M124-HANDBALL-2,1366.4642333984375,M-03,False,True,HDB,10003,False,False,,Handball,False,False,103,False,Asphalt
B232-HANDBALL-4,2441.187026977539,B-08,False,False,HDB,11217,False,False,,Full Court,False,False,308,False,Asphalt
Q205A-HANDBALL-5,1165.7131805419922,Q-02,False,True,HDB,11377,False,False,,Handball,False,False,402,False,Asphalt
B042-01-BASEBALL-1,22660.10423278809,B-12,False,False,SFB,11204,False,False,,"60ft base path, 150-200ft fence",False,False,312,False,Natural
B270-BASKETBALL-1,4051.185089111328,B-16,False,False,BKB,11212,False,False,,Full Court,False,False,316,False,Asphalt
Q322-HANDBALL-2,1323.6172332763672,Q-13,False,True,HDB,11427,False,False,,Handball,False,False,413,False,Asphalt
Q349-TENNIS-3,2768.2518157958984,Q-11,False,False,TNS,11364,False,False,,Tennis,False,False,411,False,Asphalt
B154-BASKETBALL-1,3696.026245117188,B-01,False,False,BKB,11211,False,False,,Full Court,False,False,301,False,Asphalt
X150I-BASKETBALL-1,2210.396194458008,X-08,False,False,BKB,10463,False,False,,Half Court,False,False,208,False,Asphalt
Q098-HANDBALL-1,1188.4901733398438,Q-04,False,True,HDB,11373,False,False,,Handball,False,False,404,False,Asphalt
M010-ZN27-BASEBALL-3,25704.18789672852,M-13,False,False,SFB,10024,False,False,,"60ft base path, 150-200ft fence",False,False,164,False,Natural
M029-01-BASKETBALL-1,1905.007522583008,M-12,False,False,BKB,10040,False,False,,Half Court,False,False,112,False,Asphalt
B269-VOLLEYBALL-1,1819.1053314208984,B-03,True,False,VLB,11221,False,False,,Volleyball,False,False,303,False,Asphalt
X002-05A-BASKETBALL-2,3572.941864013672,X-14,False,False,BKB,10467,False,False,,Full Court,False,False,227,False,Asphalt
B057-04-HANDBALL-4,1038.4254913330078,B-18,False,True,HDB,11234,False,False,,Handball,False,False,318,False,Asphalt
Q015-08-BASKETBALL-1,3709.8325958251953,Q-16,False,False,BKB,11385,False,False,,Full Court,False,False,405,False,Asphalt
Q300A1-TENNIS-2,2806.199264526367,Q-08,False,False,TNS,11365,False,False,,Tennis,False,False,408,False,Asphalt
Q099-20-BASKETBALL-2,3595.772171020508,Q-15,False,False,BKB,11367,False,False,,Full Court,False,False,408,False,Asphalt
Q305-HANDBALL-2,1752.9615325927734,Q-05,False,True,HDB,11385,False,False,,Handball,False,False,405,False,Asphalt
M155-BASKETBALL-1,3713.450454711914,M-10,False,False,BKB,10037,False,False,,Full Court,False,False,110,False,Asphalt
Q107-01-BASKETBALL-2,2943.369430541992,Q-13,False,False,BKB,11413,False,False,,Full Court,False,False,413,False,Asphalt
Q347-BASKETBALL-6,689.3442077636719,Q-07,False,False,BKB,11354,False,False,,Half Court,False,False,407,False,Asphalt
M132-HANDBALL-1,1086.081771850586,M-03,False,True,HDB,10002,False,False,,Handball,False,False,103,False,Asphalt
M071-ZN23-TENNIS-7,2786.163864135742,M-14,False,False,TNS,10024,False,False,,Tennis,False,False,107,False,Clay
