bn,school_accessibility_description,school_phone_number,program_highlights,progcount,grade_span_2014_2015_max,boro,grade_span_2014_2015_min,school_type2,communitydistrictnumber,header01,fourth_priority04,campus_name,bbl,longitude,neighborhood,psal_sports_boys,postalcode,overview_paragraph,borough,extra_leadership_support
X544,Not Accessible,718-944-5610,"Visual, Audio, Media and Performing Arts; Mentorships and Internships with colleges, museums, arts companies and individual artists; Creative Writing",2,12,X,9.0,,212,,Then to New York City residents,Evander Childs Educational Campus,2046330040.0,-73.861653,Williamsbridge,"Baseball, Basketball & JV Basketball, Cross Country, Football & JV Football, Indoor Track, Outdoor Track, Soccer, Swimming, Volleyball",10467,"We are a Collaborative Learning Community that combines a challenging curriculum drawing connections between the humanities, science, math and the arts with an intensive training program in the arts. We use state-of-the-art 21st century media technology. The Arts Studios bring together study in the traditional arts (dance, theatre, fine arts, and music) with study in the contemporary arts (film, video/sound production, multimedia, graphic design, and animation). Through our partnerships our students gain special residencies both within and outside the school. Our students have the opportunity to participate in special programs, performances, exhibitions, mentorships and internships. The entire school is actively involved in the process of building a democratic, self-governing community. Our environment promotes self-directed learning and respects the individuality and uniqueness of each student.",BRONX    ,"Anime, Dance, Journalism, Spirit, Student Leadership Council, Video/Drama, Website Development, Yearbook."
Q252,Not Accessible,718-380-6929,"Students begin taking dual credit courses in the 9th grade through Queens College; by 11th and 12th grades, the majority of students have the opportunity to take college classes on the Queens College campus.",1,12,Q,6.0,,408,,,,4068260001.0,-73.809436,Flushing,,11366,"The Queens School of Inquiry is an early college school designed to prepare students to succeed in and complete college early. Our students have the opportunity to earn up to 62 tuition-free Queens College credits while still in high school. We help students develop academic skills in an environment that promotes inquiry-based learning and self-management. A close collaboration with Queens College, The City University of New York (CUNY), and the Bill & Melinda Gates Foundation, along with a dedicated faculty, helps us promote college readiness and career awareness. We are a neighborhood school that emphasizes real-life applications in our effort to educate caring and ethical citizens.",QUEENS   ,"Anime, Drama, Early Morning Tutoring, Ivy Society, Math Tutorial, Mathletes, National Honor Society, Peer Mediation, Photography, Robotics; students are encouraged to initiate clubs pertaining to their individual interests, Senior Committee, Silver Chord, Spirit Squad, String Ensemble, Student Government, Studio Art, Yearbook."
M432,Functionally Accessible,212-696-0195,"Personalized Learning, Community Service, Internships and Job Shadowing, Blended Learning Environment, Online courses with in-school mentors, Virtual Learning, Regents and SAT Preparation, College and Career Counseling, Youth Development Program with Personalized Advisory, Opportunities for student voice, challenges and choice; Core classes and electives with foundations in 21st century skills, Arts program with Theater, Music, Ceramics, and Mixed Media; Variety of partnerships to strengthen the school community: Good Shepherd Services, Chris Canty Foundation, High Schools That Work, Achievement Mentoring, Big Brothers and Big Sisters, Cents Ability, Gilder Lehrman Institute, PENCIL",1,12,M,9.0,,105,,Then to New York City residents,Norman Thomas Educational Campus,1008897501.0,-73.9811433,Kips Bay,"Baseball, Basketball & JV Basketball, Bowling, Volleyball",10016,"Murray Hill Academy has a unique admissions model: 60% of the students are admitted through the high school admissions process and 40% are admitted as transfer students throughout the year. Our school offers students a challenging curriculum with blended learning and many opportunities for learning outside the traditional classroom, including internships and online courses with in-school mentors. We are committed to the academic progress of our students, as well as their social and emotional growth. Our goal is to have our students graduate, prepared for college and careers, ready to become successful and productive citizens. Every child can fulfill his/her potential, one successful step at a time.",MANHATTAN,"After-school Support, Tutoring and Regents Preparation (STARS); Saturday Tutoring, Community Service with Street Soldiers, Dance, Step, Film, Green Team, Mentoring, Creative Writing, Year Book, MOUSE Squad/Tech Squad, Capoeira, National Honor Society, NYPD Youth Explorers, Opening Act Theater, Peer Mediation, School Newspaper ""Paw Print"", SOSA School Beautification, Student Government, Gamers Club"
X692,Not Accessible,718-860-8160,"Community Achievement Project in the Schools (CAPS), ""Stage Doors"" Program of Theatre Development Fund (TDF)",1,12,X,9.0,,209,,,James Monroe Educational Campus,2038640001.0,-73.8788328,Parkchester,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Soccer, Swimming",10472,The Monroe Academy for Visual Arts & Design (MAVAD) is a comprehensive high school that enriches its curricula with an emphasis in the visual arts. Our goals are to provide students with the best educational opportunities in all major content areas and to help students develop their leadership potential. We offer a wide range of school and community activities.,BRONX    ,"BRAVO HIV/AIDS Peer Education Program, Citywide and National Writing and Art Contests; Trips, Fashion, Internships, Kaplan SAT Prep Class, Montefiore Medical Center Project, Peer Leadership Class, Performing Arts, Poetry Slams, Readers are Leaders, School/Community Service Projects, Student Government"
Q460,Not Accessible,718-888-7500,"9th Grade Academy, Thurgood Marshall Law & Justice Academy, Thurgood Marshall Law Enforcement Academy, Mock Trial, Moot Court, Debate Teams, Health & Science Academy, Advanced Studies Program, Academy of Business & Entrepreneurial Studies including Virtual Enterprises, LEAD, Rewarding Achievement (REACH), Open Stages, Sports, After-school tutoring events sponsored through AT&T, Aspire Grant, Sports and Arts Foundation, College Now/College Focus courses, Saturday Academy Regents Prep, SAT Prep, Title III ESL Classes & Tutorials, Extended Day Classes, APEX Blended Learning, Aleks 9th grade math program, iLearnNYC",4,12,Q,9.0,,407,,,Flushing Educational Campus,4050020001.0,-73.826819,Flushing,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, JV Football, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",11354,"Flushing High School, located in Flushing, Queens, is a vibrant, international community of students, educators, families, and community leaders working together to develop active, independent learners and productive global citizens. Our mission is to prepare students to graduate with the essential and critical skills required for post-secondary and career success, and a well-developed concept of individual and civic responsibility. Our programs provide a rigorous standards-based education built on the premise that all students have the ability to meet the academic, career, and societal demands of the 21st Century. Graduates of Flushing High School will demonstrate College and Career Readiness, critical problem-solving abilities, a collaborative spirit, and a commitment to civic duty. All adult stakeholders, including school administrators, teachers, and support staff, accept responsibility for creating a safe and nurturing learning environment for students in which these goals can be achieved. Adult stakeholders also provide leadership and serve as role models for the young people we serve.",QUEENS   ,"Arts, Math Team, Glamour Gals Club, Arista, Art, ASPIRA, Attendance Intervention Program, Beginning Vocal, Cartooning, Chinese, Concert Band, Debate Team, Forum School Newspaper, Griffin, Guitar, Honors Chorus, Journalism, Korean Club, Law Team, Leadership Club, Leo's Club, Multicultural Club, Painting and Drawing, Peer Mediation, Play Production, Professional Chorus, Set Design, Sports and Arts High School Today Program, Student Government, TRI-M (Music Honor Society), Wellness Committee, Yearbook"
M492,Functionally Accessible,212-501-1201,"Law and Legal Studies, Upperclassmen eligible for classes at John Jay College of Criminal Justice, Freshman Success Academy (pairs freshmen with teacher-advisors), College Summit (senior program which focuses on college choice and the college application process)",1,12,M,9.0,,107,,,"Martin Luther King, Jr. Educational Campus",1011570025.0,-73.9847013,Lincoln Square,"Baseball, Basketball & JV Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Volleyball",10023,"Our mission is to create a school community that helps our students develop the independent habits of work and mind that will enable them to take advantage of college and career choices after high school. We share our students' college aspirations and expect them to master their course work, serve the community and be active participants in school. From the more supportive environment of our freshman classes to the more challenging classes in senior year, we have incorporated into our school structure the tools our students will need to build a strong portfolio of accomplishments.",MANHATTAN,"Advocacy Class, Choir, Community Service, Dance, Drama, Homework Helpers, Leadership Class, Mock Trial, Moot Court, Newspaper, PM School, Poetry, Saturday School, Spirit Club, Student Government, Tutoring"
K409,Not Accessible,718-927-0012,"Saturday Academy and PM School (provide students with test prep); Tutorial, Credit Recovery, Art, Instrumental Music, Chorus, Drama, College Now",1,12,K,6.0,,305,,,,3043280015.0,-73.886661,East New York,"Basketball, Volleyball",11207,"Our educational philosophy is based upon the growth of kindness, caring, curiosity and critical thinking that is needed for achievement in higher education, professional success and personal fulfillment. 90-minute periods, average class sizes of 21 students and a dedicated group of teachers create a learning experience that motivates and challenges our students to do their best. We offer an accelerated Regents program that provides students the opportunity to complete all required Regents exams by the end of sophomore year. Many of our students choose to complete Advanced Regents Diplomas, advanced coursework and examinations that better prepare them for a college education upon graduation.",BROOKLYN ,"Art, Boys Discussion Group, Cheerleading, Drama, Fitness, Girls Discussion Group, Instrumental Music, Intramural Sports, National Honor Society, Stepping Team, Student Leadership, Studio Art, Theater Trips, Vocal Music, Yearbook"
M293,Functionally Accessible,212-567-3164,College-level courses offered for credit in the 9th grade; Saturday and Holiday Academic Enrichment Academies,1,12,M,6.0,,112,,,,1021720016.0,-73.9300729,Inwood,,10040,"The City College Academy of the Arts (CCAA) is an early college school. Beginning in the 6th grade, CCAA focuses on providing academic support that will allow our students to begin taking college courses in the 9th grade so they can graduate high school with 60 college credits from The City College of New York (CCNY). Arts are used to support instruction across subject areas. Instruction is supported by tutors from CCNY and visits to a variety of cultural sites within New York City.",MANHATTAN,"Anime Club, Art Club, Arts Exploration, Chess, Cooking, Dance, Drama, ELA and Math Tutorials, Exploring Da Heights, Fitness, Glee Club, Hip-Hop, Lang Science Club, Leadership, Music, Newspaper, Orchestra, Rock Band, Salsa Club, School Newspaper, Singing, Skittles, Spirit Committee, Strings, Student Council, Students Against Destructive Decisions (SADD), Technology Art, The Lang Program, Web Design"
X559,Functionally Accessible,718-401-4214,"Advisory, College & Career Counseling, Specialized Tutoring, Job Shadowing/Internship Experiences, Technology-Driven Instruction/Blended Learning. As the school expands, we plan to offer Mandarin Chinese and French. As the school expands, we plan to offer AP English.",1,11,X,9.0,CTE School,203,,Then to New York City residents,Jane Addams Educational Campus,2026680001.0,-73.902882,Longwood,,10456,"If you think the tourism and hospitality industry is all about cleaning rooms, checking in guests, making flight reservations, and preparing meals you may be surprised to find out how many choices there really are. Each hotel, resort or restaurant can be like its own littl city, with jobs ranging from van driver to accountant, and from security officer to retail manager. Students with an interest in leadership will find a wealth of opportunities in the industry! Our graduates will be prepared for careers in management. Our classes are engaging and exciting - just like NYC and the industry - around which our hands-on approach to learning is centered.",BRONX    ,"Art, Chorus, Drama, National Honor Society, Principal's Advisory Council, Student Government, Web Design."
X374,Functionally Accessible,718-933-1247,"All students are encouraged to study four years of a foreign language (French or Spanish). Freshmen and sophomores study music, while juniors and seniors choose between IB music and IB theatre. The program also includes an extended instructional day, Saturday Academy and monthly Town Hall meetings. Juniors and seniors can choose to participate in CUNY's At Home in College or College Now programs. International travel is a key component of the KAPPA educational experience.",1,12,X,9.0,,206,,,Theodore Roosevelt Educational Campus,2030590001.0,-73.8875889,Belmont,"Baseball, Basketball & JV Basketball, Fencing, Swimming, Volleyball & JV Volleyball",10458,"Knowledge and Power Preparatory Academy (KAPPA) International High School is an International Baccalaureate World School (IB) that offers the IB Diploma to all juniors and seniors. Scholars who earn the IB Diploma can receive up to two years of college credit. All scholars are required to complete a minimum of 150 hours of community service and write a 4,000-word senior research paper on a topic of their choice. KAPPA scholars, families and teachers jointly work hard to maintain our warm community and are committed to a challenging program, an internationally-minded education and inquiry-based learning. To complement our classroom learning, scholars travel internationally every year.",BRONX    ,"Debate Team, Big Brothers Big Sisters, Creative Writing, Drama, Spectrum Club, Music Ensembles, Newspaper, Student Government, Tutoring Programs, NY Cares Community Service"
X312,Functionally Accessible,718-824-0978,"Visual Arts: Drawing, Painting, Printmaking, Sculpture, Illustration, Mixed-media, Graphic and Digital Design, Cartooning, Anime, Photography, Documentary Filmmaking; Intergenerational Programs: Intergenerational Work Study Program (IWSP) and Millennium Pearl Initiative (MPI), where students work with the elderly weekly at the Academy and at nursing homes & senior centers to write, design, illustrate and publish books about the lives of elders; College Now, Young Runners Program, Student Ambassadors, Student Government, Peer Mediation, iLearn, Town Halls, Youth Empowerment Conferences and School-wide Community Service opportunities",1,12,X,9.0,,209,,Then to New York City residents,Adlai E. Stevenson Educational Campus,2036040039.0,-73.8559569,Unionport,"Baseball, Basketball, Football & JV Football, Outdoor Track, Soccer",10473,"The Millennium Art Academy is a small, award-winning art and intergenerational high school. The school's exceptional visual art and intergenerational programs with the elderly help students to develop creatively, emotionally and intellectually. Students learn by doing, exploring, discovering, connecting, creating, discussing, debating, writing, revising, and sharing. Faculty and visiting artists work together, along with our school's nurturing support team, to provide students with the tools needed to become confident, morally responsible adults. Emphasis is placed on teaching students to be accountable for their learning, choices, and actions. Our staff goes beyond the call of duty on a daily basis.",BRONX    ,"Campus Senate, Cartooning/Anime, Chess Club and Team, Creative Writing, English Classes for English Language Learners (ELLs), Fashion and Modeling, Mural Painting, Required Math and English Language Arts (ELA) After-school Tutoring, Saturday Regents Preparation, Salsa Dance, SAT Preparation, School Newspaper, Step, Student Leadership, Student Government, Young Runner's Team, Campus-wide Sports"
X275,Not Accessible,718-696-3930,"Internet and Computing Core Certification (IC3), A+ Computer Repair, Network +, Senior Internship",1,12,X,9.0,CTE School,212,,,Evander Childs Educational Campus,2046330040.0,-73.861653,Williamsbridge,"Baseball, Basketball & JV Basketball, Cross Country, Football & JV Football, Indoor Track, Outdoor Track, Soccer, Swimming",10467,"The High School of Computers and Technology is a Career and Technical Education (CTE) school. We provide an environment where students prepare for a career in the computer industry as they are building a foundation to further their education in college or a post-secondary technical school. Mutual respect, understanding, value for community and a quest for knowledge serve as guiding principles for our students and staff. All instruction is interdisciplinary and hands-on, through project-based education. Students will be able to obtain certification(s) in specific fields while earning a Regents diploma.",BRONX    ,"Anime, Book Club, Bronx River Project, Chess, Geocaching, Internet, Journalism, Peer Mediation, Photography, Robotics, Student Council, Video Game, Web Design Team"
M489,Functionally Accessible,212-346-0708,"Extensive coursework in Economics and Finance: Introduction to Financial Services, Entrepreneurship, Financial Mathematics, Financial Information Systems, Global Finance, College Accounting, Business Law & Ethics; Special Programs include: Academy of Finance, Virtual Enterprise, Network for Teaching Entrepreneurship, Working in Support of Education (W!SE) Institute Seminars (taught by financial industry professionals), Internships, College Courses, Financial Literacy Certification; Liberal Arts Courses, After-school Academic and Extracurricular Opportunities",1,12,M,9.0,,101,,,,1000520001.0,-74.0122017,Financial District,"Basketball, Handball",10006,"We offer a challenging academic program with additional requirements, including a senior research thesis and a four-year program of coursework in economics and finance. Students also complete internships with major financial companies. Our diverse, welcoming community extends beyond our school doors to include corporate partners from the surrounding Wall Street area. A full-time college counseling staff coordinates the college admissions process. Students find enrichment in our various athletic, artistic and cultural programs and our state-of-the-art library and technology center.",MANHATTAN,"Stock Market Game, Art, Arts Festival and Talent Show, Big Brothers Big Sisters, Career Day, Chess, Drama, Euro Challenge, Fashion Show, Fed Challenge, Gay/Straight Alliance, Kaplan SAT Prep, Literary Magazine, Math Team, National Honor Society, Principal's Consultative Council, SPARK Youth Leadership, Strategic Gaming, Student Government, Tutoring, Yearbook, Young Professionals Mentoring Program (YPMP)"
M552,Functionally Accessible,212-928-1202,"College Now, Pre-Engineering, Medical, Discovery, Mentoring, Memorial Sloan-Kettering Cancer Center Internships, Students with Interrupted Formal Education (SIFE)",1,12,M,9.0,,112,,Then to New York City residents who have lived in the United States two years or fewer and whose home language is Spanish,,,-73.9385581,Washington Heights,"Baseball, Basketball, Volleyball",10032,Our goal is to prepare newly arrived immigrant Latino students to achieve high standards of scholarship and equip them with the necessary skills to be successful in their college and professional careers. We provide a curriculum that enables students to explore the fields of Science and Mathematics in-depth and will lead them to pursue careers in the Medical Sciences and Engineering.,,"After-school Tutoring and Saturday Academy, Chorus, Dance, Drama, Holland Students Exchange Program, Junior and Senior Council, LEAD, Math Team, SAT Prep, School Leadership Team, Student Government, Students with Interrupted Formal Education (SIFE) Extended Day Program, Technology, Video, Vocal/Music, Yearbook, Yoga"
K572,Functionally Accessible,718-333-7700,"Crew Advisory (a group of 12-15 students who work with a staff member to receive guidance, develop leadership and build community); 5-Day Overnight Outward Bound wilderness course; Intensive weeklong elective courses that explore specific areas of interest such as The History of Rock & Roll, Testing the Limits of the Human Body, Women Warriors or Landmarks of NYC; Internships, Community Service; Real-world, Hands-on Projects, Youth-led Urban Agriculture/Culinary Arts Program, College Now (Kingsborough Community College), Science, Mathematics, Engineering & Mathematics (STEM) courses, weeklong college visits",1,12,K,9.0,,313,,,Lafayette Educational Campus,3068830001.0,-73.986315,Gravesend,"Baseball, Basketball & JV Basketball, Football & JV Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball",11214,"We are a small school with an emphasis on creating effective leaders in our communities while providing a challenging academic program. Through hands-on learning in the classroom and throughout New York City's diverse neighborhoods, our students participate in solving real-world problems. Our students have the unique opportunity to experience a 5-day Outward Bound wilderness course and bring what they learn outside of the classroom back as they become leaders for themselves, to their families and to their communities.",BROOKLYN ,"Art Studio, Chess, College Start, Community Service, Computer/Technology Team, Culinary Arts, Dance, Fine Art, Journalism, Internship, Local History, Martial Arts, Math Team, Peer Mentors, Photography, Poetry, SAT Prep, Student Government, Theater (Youth Theater Initiative), Urban Agriculture, Web Design, Yearbook, Yearbook/Graphic Design, Yoga"
Q265,Not Accessible,718-525-6507,"Extended Day Enrichment classes in Digital Photography, Debate, Drama, African American Literature, Culinary Arts, Advanced Art & Creative Writing. Credit-earning College Now classes including Aviation Business, Fine Arts, Genetics, Environmental Biology, Medical Technology, Pre-Calculus, Sociology & Psychology; Gateway Institute for Pre-College Ed, a screened Honors Science Technology Engineering and Math program; Advisory classes, Saturday Academy, On-site health clinic, DMV certification, SAT & Regents prep, STEM research internships; Queens College lab research in Chemistry, Biology & Physics; Annual Science Symposium with Queens College; The Urban Barcode project; Brain Bee competition",1,12,Q,9.0,,412,,Then to New York City residents,Springfield Gardens Educational Campus,4130570056.0,-73.7568961,Springfield Gardens,"Baseball, Basketball & JV Basketball, Bowling, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",11413,"Excelsior Preparatory High School, a collaborative, college preparatory learning community, offers a challenging academic and multicultural program. We are a small high school that was created in partnership with the Institute for Student Achievement (ISA). All students are expected to take four years of math, English and science in order to be college-ready. We are one of the few small schools affiliated with the Gateway Institute for Pre-College Education program, and pride ourselves on being a diverse school community.",QUEENS   ,"After-school Enrichment Classes, Ambassador's Clubs, Brain Bee, Brothers and Sisters Groups, Men of Distinction, Cheerleading, College Fairs and Trips, Conflict Resolution, Digital Photography, Exemplary Women, Gateway Institute, Math Club, Mayor's Youth Leadership Council, National Honor Society, Peer Tutoring, Student Advisory Council, Studio Art, Portfolio Planning"
Q555,Not Accessible,718-937-6005,"Intensive ESL and bilingual programs, Virtual Enterprise, digital design, Math Team, orchestra, chorus, advanced visual art program, media/TV production studio, Photoshop, Big Brothers Big Sisters, Junior Achievement, 21st Century Grant Programs, Arts Achieve, College Now Program in partnership with LaGuardia Community College",1,12,Q,9.0,International School,401,,,,4004040001.0,-73.9374504,Long Island City,"Baseball, Basketball, Cricket, Handball, Soccer, Swimming, Tennis, Volleyball",11101,"Our outstanding educational program provides a pathway for new immigrants to pursue their academic dreams. Newcomers is internationally recognized for the exceptional quality of teaching, learning, and support services for English Language Learners. An essential part of the school is an orientation program that begins on the first day. Recognizing that students initially face challenges to adapt, the orientation process eases our students' transition to a new educational, social, linguistic, and cultural setting. The program assists our students in acquiring necessary survival skills, from learning about the subway system to learning key phrases to help them function in their daily lives.",QUEENS   ,"After-school Tutorial, Annual Winter Concert/Spring Concert, Art, Cartooning, Chess, Chorus, Conflict Resolution, Council of Student Activities, Current Events through Media, Dance, Global Careers and Education, Hip-Hop Dance, Human Rights, International Food Festival, Latin Dance, Math Peer Tutoring, Math Team, Media Team/Digital Movie, Mediation-Negotiation, Model United Nations, Multicultural Talent Show, National Honor Society, New Student Orientation, Newspaper Team, Orchestra, Peer Mediation, Photography, Saturday Academic Program, Science, Senior Council, Stage Production, Student Government, Theater, Video/Media Team, Virtual Enterprise, Yearbook, Young Women's Leadership"
M533,Not Accessible,212-253-3110,"Project-based Assessments, Elective Advisory Course called ""Rounds,"" Community Internships (Junior and Senior Years). As the school expands, we plan to offer Spanish and Mandarin. As the school expands, we plan to offer AP courses in Biology, Chemistry, Calculus, English, American History and Physics.",2,11,M,9.0,CTE School,105,,Then to New York City residents,Washington Irving Educational Campus,1008720057.0,-73.9878639,Flatiron District,,10003,"This is a small Career and Technical Education (CTE) high school with big dreams of helping students prepare for health careers in not only pharmaceuticals and dentistry, but also in many other Science, Technology, Engineering, and Math (STEM) areas. The focus on STEM helps students market their skills in the growing job industries. Our unique project-based instructional approach uses activities that engage students' interest and motivation as they solve problems, using an inquiry approach. These activities are designed to answer a question or solve a problem and generally reflect the types of learning and work people do in the everyday world outside the classroom.",MANHATTAN,More than twenty campus clubs are offered.
K464,Not Accessible,718-832-4300,"Four years of Science and Mathematics required; Junior and Senior course offerings include Physics, Marine Biology, Computer Programming, Calculus, Brooklyn History, Guitar Ensemble, Spanish Film, College Advisory; Advancement Via Individual Determination (AVID) starting in Freshman year",1,12,K,6.0,,306,,Then to New York City residents,John Jay Educational Campus,3010820001.0,-73.9791404,Park Slope,Basketball & JV Basketball,11215,"At Park Slope Collegiate, you will experience collaboration through participating in seminar discussions in classes such as Brooklyn History and Economics, and performing scenes with your peers in English Language Arts and Social Studies; innovation through creating original sculpture in Studio Art, experimenting with different musical genres in Guitar Ensemble, and producing your own digital short in Spanish Film; and inquiry through constructing conceptual understanding and application in mathematics from Algebra to Calculus, and investigating the theories and practices of the sciences ranging from Chemistry, Physics, Marine Biology, Computer Programming to Food and Environmental Science.",BROOKLYN ,"Brooklyn Student Advisory Council, Campus Community, Dance, Debate, Digital Photography and Graphic Design, Drawing, Film, High School - Middle School Student Mentoring, Homework Help, LEGO Robotics, Math, Mural Painting, Newspaper, Poetry Slam, SAT Prep, Spelling Bee, Step, Student Government, Student Mentoring, Studio Art, Teen Battle Chef, Yearbook"
Q425,Partially Accessible,718-263-1919,"Students may receive CTE endorsement in the following area: Plant and Animal Science; Other Program Highlights include a nationally recognized Agriculture program offering majors in the Plant and Animal Sciences, gifted program in Humanities, magnet program in Writing, Science Research, College Now, Junior Reserve Officers' Training Corps (JROTC)",4,12,Q,9.0,,408,,,,4065070001.0,-73.823813,Flushing,"Baseball & JV Baseball, Basketball & JV Basketball, Bowling, Cricket, Cross Country, Golf, Handball, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",11367,We provide the opportunity for students to achieve success through challenging academic standards. Our goal is to graduate lifelong committed learners.,QUEENS   ,"African Club, Agriculture Publication, Agriculture Sales Team, Anti-Bullying Alliance, Arista, Blood Drive, Cheerleading, Chemistry Olympiad, Chinese, College Visitations, Conflict Resolution, Dance Team, Debate Team, Desi Club, Drama, Envirothon Team, Equine Team, Euro Challenge, Fashion, Floriculture, Foreign Language, Freshman Year Initiative, Future Farmers of America (FFA), Glee Club, Green Team, Holiday Celebrations, In-House Plant Science, Indo-Pak, Intex, Japanese, Journalism, Junior Air Force Reserve Officers' Training Corps Drill Team, Key Club, Leadership Program, Literary Magazines, Livestock Judging Team, Medieval Fair, Mock Trial, Moot Court, Muslim Students Association, Peer Mediation, Regional Bridge Building, School Dance, School Newspaper, Science Olympiad, Small Animal Care, Student Ambassador, Student Animal Science/Plant Science Competitions, Student Union, Talent Show, Winter Carnival, Wrestling, Yearbook"
X342,Functionally Accessible,718-329-8570,"Honors Mathematics, Accelerated Track",1,12,X,6.0,,207,,,Walton Educational Campus,2032470070.0,-73.8977529,Kingsbridge,,10468,"We nurture our students to become fully functional in both English and their home language, Spanish. They will graduate with the tools necessary to compete in the 21st century. We believe our students are assets to the community and will serve as role models who respect and are proud of their own culture as well as the culture of others. The International School for Liberal Arts (ISLA) is designed to foster success for all students so that they graduate prepared for college and careers.",BRONX    ,"Chess, Council for Unity, Newsletter, Poetry."
M420,Not Accessible,212-780-9175,"Medical Science Research through State University of New York (SUNY) Albany offers students an opportunity to receive 12 college credits, Med Laboratory & Assisting, Syracuse University Project Advance, Nutrition and Exercise Science, Forensic Science, Kinesiology and Sports Medicine, Medical Biology, Medical Ethics, Medical Illustrations, Fellows Program, S3 Science Program, College Now, Exploration of Health Occupations and Career Choices, Ballroom Dancing, Drama, Mentors, 9th grade Advisory",2,12,M,9.0,,106,,,,1009220008.0,-73.982768,Gramercy,"Baseball, Basketball & JV Basketball, Handball, Soccer",10003,"Our school is dedicated to providing challenging academic standards in professional health career settings through our academic program which prepares our students to enter the world of health care with scientific knowledge, ethics, integrity and compassion. Our students are provided with a well-rounded high school experience including extracurricular activities, opportunities to enter science-related competitions, and an extensive sports program. Advanced Placement courses as well as an array of electives offer enrichment in all subject areas. Students have the opportunity to complete a three-year internship program exposing them to the health careers and related services fields.",MANHATTAN,"After-school Tutoring, Art, Ballroom Dancing, Band, Big Brothers Big Sisters of NYC, Book Club, Cheerleading, Chess, Comprehensive Development Corporation (Naviance: Online College Tracking Tool), Computer, Creative Writing, Dance Club, Dancing Classrooms High School Rainbow Team Match Competition, Digital Photography, Festival of the Arts, Friends of Latin America (FOLA), Gay/Straight Alliance, Government, Leadership Class, Multicultural Shows, National Honor Society, Nursing, Pace Liberty Partnership, Peer Tutoring, Poetry, Printmaking, REACH (Rewarding Achievement - Incentive program for Advanced Placement courses), Recipe Writing/Cooking, Rise to College, SAT Prep, School Newspaper, Science Research, Senior Class Government, Sponsors for Educational Opportunity (SEO) Scholars Program, Student Government, Teen Talk, Trips to Theater Productions, United Nations, Webmasters, Weight Training, Word Game, Yearbook"
X348,Functionally Accessible,718-935-3638,"Classical Education Model, Classics-based Curriculum, Dream Real Advisory Program, Success Development Plans, Success Coaches, Projects-based Learning, Socratic Seminar, Etymology Study for SAT, College and Career Counseling, Youth Leadership and Character Development, Test Prep and Academic Support Literacy Development and Support through the Study of Latin, Expressed Interest Experiences (Local, National and International Travel, Mentorships, Internships, Apprenticeships, Work-Study), About The Town (cultural and personal development through the artistic, cultural and educational institutions of New York City and the region), Family Partnership Program. Online Language Classes: As we expand, we plan to offer American Sign Language, French, and Italian. Advanced Placement Classes: As we expand, we plan to offer Biology, Calculus BC, Chemistry, English Language and Composition, European History, Government and Politics: Comparative, and Physics B. Online Advanced Placement Classes: As we expand, we plan to offer Art History, Environment Science, and Government and Politics: United States.",1,10,X,9.0,New School,210,,Then to New York City residents,Herbert H. Lehman Educational Campus,2053680001.0,-73.837977,Schuylerville,"Baseball, Basketball, Bowling, Cross Country, Football, Golf, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",10461,"At Schuylerville Preparatory High School, our aspiration is to graduate disciplined individuals with integrity. Our students will leave school with the common goal of continuing their education in the service of others and contributing to the common good. Our approach is to take our students through increasingly rigorous phases of learning. In addition to developing our students' love for learning into college-ready thinkers, our Dream Real Advisory is dedicated to the development of students' professional interests. We assign students to Success Development Coaches who help to identify concrete steps that students need to take to realize their interests. This personalized approach supports our students with mentorships, internships and college level courses.",BRONX    ,"National Honors Society, Mock Trial Club, Debate Club, Chess Club, Book Club, Service Society, Health and Fitness Club, Model United Nations, Photography Club, Poetry /Spoken Word Club, Lyricist Lounge, Student Government, Students Helping Students, Yearbook Club, Siemens Society for Math, Science and Technology"
