telephone,geseats_prog9,swdfilled_prog12,swdseats_prog13,geapps_prog9,swdapps_prog12,name_prog2,overview,languageclasses,gefilled_prog13,code_prog14,swdfilled_prog4,geappsperseat_prog6,swdappsperseat_prog6,elaprof,activities_description,swdfilled_prog10,geappsperseat_prog14,accessibility_description,swdseats_prog1,code_prog5,swdseats_prog5,district,eligibility_prog10,other_features,diversityinadmissions,acceleratedclasses,swdfilled_prog9,eligibility_prog5,admissionsmethod_prog10,eligibility_prog2,swdappsperseat_prog8,swdseats_prog4,swdfilled_prog2,gefilled_prog10,geapps_prog4,swdapps_prog14,swdappsperseat_prog14,eligibility_prog11,priority2_prog3,postcode,geapps_prog2
718-480-2600,,,,,,,"Our scholars complete a challenging curriculum and are required to work hard, but they are not expected to do it alone. From the moment they enter Eagle Academy, scholars are provided with advisers, supportive mentors, and a devoted faculty committed to providing a strong support system for all of our young men. Eagle Scholars discover the importance of critical thinking, in-depth questioning skills, and the benefits of voluntarily seeking guidance in order to achieve success. With support from dedicated parents and teachers, we instill in our Eagle Scholars the effectiveness of strong work habits that they continue to develop throughout their upper school experience at Eagle Academy. We firmly believe that the more you apply yourself, the more you accomplish. A combination of high parental involvement, structured classroom experiences, strategic after-school programming, and an informed academic support team are the keys to our Eagle Scholars' success.",,,,,,,24.0,,,,Partially Accessible,14.0,,,29,,,,"English,US History,Algebra I,Living Environment",,,,,,,,,,,,,,11434.0,
718-830-4910,,,,,,Stephen A. Halsey (J.H.S. 157),"Students enjoy being part of a school that provides a nurturing environment which celebrates their work and achievement and offers a variety of enrichment activities. Students in our accelerated Honors Program take NYC High School Courses and Regents (Algebra 1;Biology; US History). Students also enjoy participating in the Performing Arts Talent Program of their choice, including theatrical productions in Drama, Choral, Band, STEAM, Tech/Computers, Dance and Visual Arts. Students participate in the New York State School Music Association festival and other performance and competitive based activities. Parents like how our school promotes a child-centered learning environment. We promote parent engagement and an open door policy where parents can come to our school at any time and speak to a member of our staff. We collaborate with parents and guardians to ensure their child's success at J.H.S 157.",Spanish,,,,,,62.0,,,,Not Accessible,0.0,,,28,,,,"Spanish,US History,Algebra I,Living Environment",,,,Open to students and residents of District 28,,,Y,,,,,,,11374.0,804.0
718-760-3233,,,,,,,"Students in our school are fully immersed in differentiated instruction that targets their individual learning needs. Students are able to select up to two talent activities each school year. I.S. 61 has created five academies within the main school that foster a nurturing environment for our students. Each academy is set up with its own dean, guidance counselor, assistant principal, and staff of teachers, therefore creating a small learning community. Parents are also able to track their child's progress for each unit through a special Engrade account. To support our efforts to assist students in meeting the standards for college- and career-readiness, parents have an option to select our AGP program for their child. Students are expected to maintain an 85 GPA as well as take all Regents offered by the school. Programs are also available for parents of our school community, including English as a New Language (ENL), GED, and fitness programs.",Other Language;Spanish,,,,,,30.0,,,,Fully Accessible,143.0,,,24,,,,"Spanish,US History,Algebra I,Living Environment",,,,,,,,,,,,,,11368.0,
718-220-8700,,,,,,I.S. 254 Zoned Program,"At I.S. 254, students enjoy our family-like atmosphere. We strive to educate and empower individual thinkers to make an impact in the world.  With that in mind, students experience a rich 21st century STEAM education that blends the modern (technology-rich) with the traditional (hands-on) where every student:  	Receives an iPad to take home to access their work and build their educational portfolio; Experiences Music, Art & Drama; Enjoys after school programs that feature sports/arts/STEM activities; 	Begins high school courses before they graduate.  Additionally, our school focuses on providing a safe and nurturing environment where every individual student feels secure and understands the value of community.  We have a variety of partnerships that support to our school community including Fordham University, Manhattan College, Bronx Community College, Lehman College, Middle School Quality Initiative, Facing History, Arts in the Middle, Lincoln Center, Arthur Miller Partner and our CBO program partner - Asociacion Comunitaria de Dominicanos Progresivos (Community Association of Progressive Dominicans).  At Intermediate School 254, we strive to have every student achieve to his or her fullest potential.   We TEACH  We LEARN  We LOVE",Spanish,,,,,,20.0,"Art, Book Club, Coding, Dance, Drama, Fashion, Music, Saturday Academy, STEM, Talent Show, Visual Arts, Yearbook",,,Fully Accessible,11.0,,,10,,"Summer Session,Weekend Program,Uniform",,Algebra I,,,,Open to students and residents of the Bronx,,,N,,,,,,,10458.0,177.0
347-478-5228,,,,,,,"At P.S./I.S. 191 students are engaged in rigorous curriculum and tasks that prepare them for high school, college, and their career. We have a strong focus on project-based learning, which we have recently extended into a STEM/STEAM program. To enhance our project-based units of study, our students engage in museum trips and work with both museums and cultural institutions around New York City. Students discover their passions by being exposed to the visual and performing arts and other cultural riches that contribute to the development of the whole child. Additionally, students collaborate with teams of teachers who provide them with academic and personal support. Students engage in programming designed to stimulate, provoke, and develop their imagination. Students' work is exhibited in a museum-like way during our biannual Dream. Think. Do! Gallery Tour. As we move into a brand-new building in September 2017, we look forward to enhancing our rich programming through an expansion of our technology, the arts and sciences, as we continue our quest to foster lifelong learners.",Spanish,,,,,,28.0,,,,Fully Accessible,12.0,,,3,,,,"Algebra I,Living Environment",,,,,,,,,,,,,,10023.0,
718-410-4040,,,,,,,Bronx School for Medical Science serves students with a desire to enter health-related fields. Our daily routine calls for students to stay in the same classroom while teachers rotate to classes. Students and parents find this self-contained model very valuable. Parents value our approach of making students aware of college in sixth grade.,Spanish,,,,,,44.0,,,,Partially Accessible,13.0,,,9,,,,Living Environment,,,,,,,,,,,,,,10457.0,
212-678-2849,,,,,,,"The middle school at PS/IS 180 is a small environment where everyone knows everyone.   Having only two classes per grade allows the teachers to really get to know the individual needs of every student.  Our school offers a rigorous academic program where all 8th graders take the Living Environment and Algebra 1 regents exams in June. There are also plenty of opportunities to participate in extracurricular activities like student council, girls and boys' basketball, cheerleading, football, speech and debate.....and more. Our school believes in mastery based grading and is partnered with Outward Bound for our Crew/Advisory program. As our name suggests, we have a strong belief that all our students will go to college.  With that in mind, our 7th graders visit several colleges (both in state and out of state) each year.",Other Language,,,,,,27.0,"Book Club, Chess, Debate, Leadership, Peer Mediation, Student Council, Yearbook",,,Partially Accessible,12.0,,,3,,"Extended Day,Uniform",This program prioritizes 25% of seats for students who qualify for the federal free or reduced price lunch program (FRL) and who are lower-performing.,,,,,,,,,,,,,,,10027.0,
718-276-4540,,,,,,,"Redwood is a small middle school that offers students exciting academic opportunities including STEM coursework, Regents courses in eighth grade, and foreign language. Students are strongly encouraged to sign up for our after-school program which runs from 3:10pm-6pm. During this time, students engage in both academic work and enrichment clubs. Advisory groups work together on identifying school, community, and global issues and creating service learning projects around those issues. Students also participate in week-long mini-courses called Inquiry Explorations. Inquiry Explorations are intended to challenge students through in-depth immersion in compelling topics like stereotypes in fairy tales, forensic science, and photography. These courses will include fieldwork, use of experts, and product development geared towards audiences in and outside of school.",Spanish;Other Language,,,,,,23.0,"Art, Book Club, Leadership, Restorative Circles, Technology",,,Partially Accessible,20.0,,,28,,,,"Algebra I,Living Environment",,,,,,,,,,,,,,11434.0,
917-441-0873,,,,,,,"The Computer School empowers its diverse student body to reach demanding academic, social, and emotional goals in our student-centered learning environment. Students utilize technology in all subjects, and engage in self-exploration via curricular, extracurricular, and after-school offerings. Parents appreciate our focus and attention to each student's background, special gifts, and learning style. Computer School students make numerous trips to New York City cultural institutions to magnify their learning experiences. Students leave the Computer School exceptionally well-prepared for high school.",Spanish,,,,,,80.0,,,,Partially Accessible,25.0,,,3,,,This program prioritizes 25% of seats for students who qualify for the federal free or reduced price lunch program (FRL) and who are lower-performing.,"English,Spanish,Algebra I",,,,,,,,,,,,,,10024.0,
718-382-2100,,,,,,"The Shirley Tanyhill (P.S./I.S. 288) School of Leadership, Sports & Arts","Scholars will be able to take an elective of dance, music and vocal. Performing arts production/show in the winter and spring. We have sports such as coed basketball and track and field. Scholars will have advisory once a week and learn about social emotional topics and concepts. Scholars will  learn about and travel  to different high schools and colleges. Their Science class will be attached to a Science lab where scholars have hands on experiences such as dissections, experiments, and classifications of living and non-living things.",,,,,,,23.0,"Chorus, Dance, Leadership, Math Team, Student Council",,,Not Accessible,3.0,,,21,,"Extended Day,Uniform",,,,,,Open to continuing 5th grade students and students residing in the elementary school zone,,,N,,,,,,,11224.0,4.0
718-622-9285,,,,,,,"At the Benjamin Franklin Magnet School, students are active citizens who make healthy decisions about their lives and the world around them. We partner with students, families, and our community to provide hands-on, project-based learning that fosters critical thinking and challenges students from all backgrounds. Through inclusive classrooms, Spanish dual language, and a focus on health & wellness and the environment, our students become civic leaders in the multicultural and multi-able world of New York City and beyond.  Whether you want to engage with local government to advocate for clean water, intern with Google, PriceWaterhouseCoopers, Capital One, or NYU, build community gardens, donate student-grown produce to the local food bank, cook healthy meals, create a documentary about how climate change affects our community, produce your own beats through coding, print a 3D heart to understand disease, challenge your point of view through our debate course, choreograph a piece for our dance team, or act in a Broadway-level production, the Benjamin Franklin Magnet School has a place for you.",Spanish,,,,,,25.0,"Art, Book Club, Coding, Cooking, Dance, Debate, Drama, Fitness, Gardening, Leadership, Lego Robotics, Restorative Circles, Robotics, Science Club, STEM, Student Council, Technology, Theater, Urban Arts, Visual Arts",,,Not Accessible,12.0,,,14,,Uniform,,Algebra I,,,,,,,,,,,,,,11205.0,
929-397-3340,,,,,,,"The Brooklyn Green School is a progressive middle school, located in the historic Weeksville district of Crown heights. A day in the life of a BKG student may include Advisory & Restorative Circles, Art, Taekwondo, Theater, Yoga, Mindfulness, Technology, Inquiry based Science,Health Class (designed based on the cultures and experiences of the students we teach), Math and Humanities. Every BKG Scholar's voice is important and students participate in the decision making as members of the School Leadership Team, School Advisory Board and Student Government. There is a strong emphasis on community service and social justice embedded in our curriculum. Students engage in multiple sports inside and outside of physical education class. At BKG we believe that students learn best by ""doing."" We are a project based learning school, in which students have many opportunities to design, create and present. At BKG learning is not confined to the four walls of the school building.  NYC is our classroom! Students take frequent trips in and around the community, all over the city and out of state. Every BKG students' background and experiences are valued and everyone is viewed as a uniquely wonderful, contributing member of the  school community.",,,,,,,15.0,"Art, Book Club, Chess, Creative Writing, Dance, Debate, Drama, Fitness, Gardening, Green Team, Homework Help, Leadership, Musical Theater, National Junior Honor Society, Restorative Circles, Robotics, Saturday Academy, STEM, Student Council, Talent Show, Technology, Theater, Tutoring, Yearbook, Yoga",,,Not Accessible,17.0,,,16,,"Extended Day,Summer Session,Weekend Program",,,,,,,,,,,,,,,,11213.0,
718-278-7054,,,,,,Zoned Program,"Our school mission is at the center of our daily commitment to increase student's outcome and success:  ""Horace Greeley's mission is to provide every student with the skills, academic knowledge, emotional  support, and values needed to compete and succeed in the 21 st Century. We are committed to the belief  that a quality education is the product of a nurturing staff, involved families, high expectations, and an  atmosphere respectful of individual differences. Parents as partners in education are encouraged to  foster the growth of their children by becoming more involved in our school community.  I.S. 10 encourages children to excel and become lifelong learners. To reach these goals, students will  be engaged in activities that foster critical thinking, problem solving, and decision making through  academic rigor, technology, and the arts.""",Spanish,,,,,,48.0,"Art, Choir, Chorus, Dance, Drama, Fitness, Green Team, Guitar, National Junior Honor Society, STEM, Talent Show, Theater, Yearbook",,,Not Accessible,12.0,,,30,,Uniform,,Algebra I,,,,Open to students residing in the zone,,,N,,,,,,,11103.0,134.0
718-688-7200,,,,,,,"At Spring Creek Community School (SCCS), a grade 6-12 school opened in 2012, students engage in project-based curriculum that emphasizes critical thinking, questioning, and problem-solving. Arts and technology are integrated into daily instruction, and students are programmed for additional math and literacy periods to support their success across the curriculum. Students benefit from enrichment electives and school-based partnerships with arts and academic organizations. All classrooms are equipped with SMART Boards, document cameras, and multiple computers. Students are in an advisory that provides each child with social, emotional, and academic supports. Advisors support students throughout middle school, and build long-term relationships with families. Parents appreciate our focus on collaboration and communication, and all parents are registered with an online account, which gives them access to student progress reports and allows them to contact teachers directly. In order to support our six through twelve model, students who attend SCCS in middle school are strongly encouraged to continue their education in our high school.",Spanish,,,,,,31.0,,,,Fully Accessible,21.0,,,19,,,,,,,,,,,,,,,,,,11239.0,
212-860-6003,,,,,,,"At the Talented and Gifted School for Young Scholars faculties, parents and students work together to prepare all students to excel in life and develop to their full potential, both intellectually and socially.   TAG's 6th-8th grade program features accelerated core academic classes (English, Math, Social Studies, and Science) that culminates in all 8th grade students taking Regents-level classes in each of these core academic subjects.   8th Grade students will take Regents classes and exams in Algebra, English/Language Arts, Science-Living Environment, and US History.  In addition to the core academic program, all 6th-8th grade students will play a musical instrument in the band, and take classes in visual arts.",Spanish,,,,,,92.0,"Art, Chorus, Spelling Bee, Latin Jazz Band",,,Partially Accessible,2.0,,,4,,Uniform,,"English,Spanish,US History,Algebra I,Living Environment",,,,,,,,,,,,,,10029.0,
212-927-7739,,,,,,,"I.S. 143 has many partnerships and services we provide to support the development of the whole child and address the complex and multi-faceted processes of raising physically, socially, emotionally, and academically successful  children.  Students' learning and development  are greatly enhanced by the affiliations with our partners, such as: Yeshiva University (START); Yeshiva Tutors; Columbia Medical and Dental Clinic; CHAMPS sports programs; Alianza Dominicana (Community-Based Organization).",,,,,,,19.0,"Art, Coding, National Junior Honor Society, Robotics, Saturday Academy, Student Council, Tutoring",,,Partially Accessible,14.0,,,6,,"Weekend Program,Uniform",,"Algebra I,Living Environment",,,,,,,,,,,,,,10033.0,
718-392-5402,,,,,,,"We focus on providing our students with a challenging and global education while meeting the emotional, creative, and social needs of all students. We focus on critical thinking and problem solving through interactive literacy and math activities, enhanced through an integration of the arts into the core curriculum. Parents are actively involved in their children's education and we share the joys of watching our children grow, learn new skills, and make friends. We implement the Renzulli Schoolwide Enrichment Model (SEM) in all grades and include parent talent, community volunteers, and experts from the community in developing an enrichment curriculum. By addressing the needs of all students, including our students with special needs, English Language Learners, and gifted students, the SEM Model engages all of the children in visual, musical, spatial, and kinesthetic activities through their interests and talents thereby enabling them to enhance their academic potential.",Spanish,,,,,,64.0,,,,Fully Accessible,13.0,,,30,,,,Algebra I,,,,,,,,,,,,,,11109.0,
212-927-8218,,,,,,,"P.S./I.S. 187's Intermediate School proudly serves students in grades 5-8.   Our school believes in providing our students with the best academic experience possible while focusing on their social-emotional needs as well.   Students in our middle school take classes focused on the four major subjects: Math, Science, Literacy, and Social Studies while also participating in Visual Art, Instrumental Band, and Spanish.   For those students interested in music theater, our middle schooler's have the opportunity to audition for our annual musical.   For those individuals looking for sports, 187 offers track and field, basketball, soccer, and more!  187 is a school built on traditions and community.  Whether it's raising funds for breast cancer awareness during our Think Pink week in October to our spirited staff versues 8th-grade March Madness volleyball game, our commitment is to providing a safe and nurturing environment where every child can grow.",Spanish,,,,,,70.0,"Art, Band, Choir, Homework Help, Math Team, Musical Theater, Rock Band, Saturday Academy, Student Council, Talent Show, Visual Arts, Yearbook",,,Not Accessible,17.0,,,6,,Weekend Program,,Algebra I,,,,,,,,,,,,,,10040.0,
718-235-1785,,,,,,,"Highland Park Community School is a project-based STEAM school. Scholars focus on an issue in the community or the world & complete a project to share their findings and solutions. Our core classes are Scimatics (Science & Math combined), Humanities (ELA & Social Studies combined), Italian, Art, Music, Technology, and Physical Education. We offer electives where students select a club and rotate through 6 week cycles. HPCS has a travel abroad program for scholars interested in studying Korean language and culture. Scholars can exit middle school with 6 regents exams. HPCS is student-led; Scholars teach classes, lead clubs & plan events. Everyone belongs to an advisory house and meets with their mentor group weekly. We partner with the Middle School Student Success Center to help scholars navigate through the high school choice process. MSSSC offers tours of high schools and colleges in NYC. Each grade attends tours to universities and historical sites in Washington D.C., Philadelphia and Boston. Cypress Hills Local Development Corporation runs an afterschool program that offers homework help, arts, & sports. HPCS teachers provide afterschool tutoring and Saturday academy for scholars who may need extra support.",Italian,,,,,,32.0,"Book Club, Glee Club, Homework Help, Saturday Academy, Student Council, Tutoring, Yearbook",,,Not Accessible,28.0,,,19,,"Extended Day,Weekend Program,Uniform",,"English,US History,Algebra I,Living Environment",,,,,,,,,,,,,,11208.0,
718-455-0180,,,,,,The Evergreen Middle School for Urban Exploration Spanish Dual Language Program,"Evergreen Middle School is committed to ensuring that students are able to compete with their peers from across the city.  Students have the opportunity to benefit from the following programs:  -The Middle school Quality Initiative (MSQI). MSQI supports us in developing school wide cross content literacy practices.  -We also  partner Edible Schoolyard. Through a farm-to-table experiential education model, our students  learn how to grow and cook sustainable, organic food. Students and parents  grow and cultivate a beautiful garden, and kitchen classrooms enable them to cook the food that they grow.  -EMS is exceptionally proud to have been a Showcase Schools host for the 2018-2019 school year.  -We maintain a  partnership with the NYC Department of Education's Office of Teacher Recruitment through which our teachers and students help prepare student teachers to enter the classroom. In order to ensure all students are college and career ready, we offer:  -Computer Science for All,  -Civics for All  -College Access for All,  -Algebra Regents,  -Living Environment Regents,  -One-to-one laptops. In addition, Evergreen concluded the 18-19 school year with a 95% student attendance rate, the highest in District 32.",Other Language;Spanish,,,,,,27.0,"Art, Band, Book Club, Coding, Comic Book Club, Cooking, Creative Writing, Dance, Debate, Drama, Gardening, Green Team, Homework Help, Leadership, Lego Robotics, Peer Mediation, Restorative Circles, Robotics, Saturday Academy, School Newspaper, Science Club, Service Learning, Student Council, Technology, Theater, Tutoring, Video Game Club, Peer Mediation, Soccer, Basketball, Volleyball, Cheerleading",,,Not Accessible,22.0,,,32,,"Weekend Program,Uniform",,"Algebra I,Living Environment",,,,Open to students and residents of Brooklyn,,,Y,,,,,,,11207.0,112.0
718-659-3792,,,,,,,"Hawtree Creek Middle School (HCMS), opened in September 2013, is a small middle school co-located within the Virgil I. Grissom Campus in South Ozone Park. HCMS serves a diverse population of approximately 375 students.  The mission and vision of the school is dedicated to developing students as leaders prepared to enter high school with a set of skills and a body of knowledge that will serve each student beyond high school. The school boasts a strong college-going culture and each student visits 3-5 college campuses before he/she graduates. Some features that support our college-going culture include development of the school character traits: Community, Perseverance, Collaboration, and Leadership; student-led conferences twice a year; the school-wide  independent reading program; collaborative study groups and student to student dialogue in each class; being an AVID Showcase School; and being a pilot school for College Access For All in 2014.  Academic values include developing communication, research, and problem-solving skills in each of our students.  Instruction is differentiated, giving all students the direction and support needed to master these skills and engage in rigorous content on a daily basis.",Spanish,,,,,,44.0,"Art, Band, Book Club, Chorus, Debate, Guitar, Homework Help, Math Team, Music, National Junior Honor Society, Peer Mediation, School Newspaper, Science Club, Step Team, Student Council, Yearbook",,,Partially Accessible,20.0,,,27,,"Extended Day,Summer Session,Uniform",,"Algebra I,Living Environment",,,,,,,,,,,,,,11420.0,
718-326-8243,,,,,,,"PS/IS 87 is a zoned Pre-k to 8 school that is committed to developing leaders in society, advocates for humanity, and fostering an appreciation for diversity, differences and cultures. The school has monthly celebrations honoring the cultures, holidays and traditions of the people in the school community.  Students learn in a same, family friendly nurturing and caring environment where they learn to ""treat people the way they want to be treated"" which is the school mantra. The school has many collaborations: The Middle Village Chamber of Commerce, Elevate Education, Harlem Magic Masters, 7 - 11, Oyster Project, Alley Pond Environmental Center, Ronald McDonald House, 104th Pct. and GRYC.",Albanian,,,,,,56.0,"Art, Chess, Dance, Fashion, Fitness, Green Team, Science Club, Technology, Yearbook, Yoga, Sketching, Jewelry Making, Comics, Scrabble, Origami",,,Fully Accessible,13.0,,,24,,,,,,,,,,,,,,,,,,11379.0,
718-991-4027,,,,,,,"Soundview Academy values our students, treats them with respect, challenges them academically, and supports them through their personal challenges. As a nationally-recognized Apple ConnectED school, we infuse our district- wide Language & Arts Program with a 1-to-1 student-to-iPad classroom environment to provide a 21st-century approach to teaching and learning. Instruction is individualized and delivered through global, state-of-the-art online and hands-on curricula. Students also specialize in either visual art, theater, or dance while strengthening their social-emotional and linguistic competencies in our mentoring, English as a New Language, and Spanish Dual Language programs. Families cherish the commitment of our teachers who create instruction that leverages student interest and real-world application. They also appreciate our open-door policy, use of Pupil Path to provide regular online updates of grades, and the constant outreach by mentors on their children's academic and social progress.",French,,,,,,28.0,"Coding, Dance, Debate, Fitness, Homework Help, Leadership, Restorative Circles, Saturday Academy, Service Learning, STEM, Step Team, Technology, Theater, Tutoring, Visual Arts, Yearbook",,,Not Accessible,29.0,,,8,,"Summer Session,Weekend Program,Uniform",,"Algebra I,Living Environment",,,,,,,,,,,,,,10473.0,
718-901-0436,,,,,,,"CS211 has been serving the South Bronx  Community for over 50 years. All scholars from PreK through 8th grade benefit from our challenging academic curriculum. Currently, our students have scored in the highest percentile in Math in New York State. In ELA, our students have demonstrated to increase their performance at a steady pace for the past five years.",Other Language,,,,,,22.0,"Art, Creative Writing, Gardening, Leadership, Music, Peer Mediation, Restorative Circles, Student Council, Technology, Urban Arts, Yearbook",,,Partially Accessible,25.0,,,12,,"Summer Session,Uniform",,Algebra I,,,,,,,,,,,,,,10457.0,
212-678-2960,,,,,,,"We are dedicated to the academic and personal development of our scholars. We value community, diversity, high expectations and embracing the gifts and talents of each member of our community. We believe that all children are capable of success, no exceptions. We offer multiple opportunities for scholars to develop as leaders and to become well-rounded individuals through our various partnerships and programs. Scholars are challenged to question, anticipate, and solve problems. They take responsibility and emerge as lifelong learners and independent thinkers, motivated by the pursuit of academic excellence, cultural experience, and social responsibility.",Other Language,,,,,,56.0,"Art, Book Club, Chess, Chorus, Creative Writing, Dance, French Club, Green Team, Guitar, Homework Help, Math Team, Musical Theater, Photography, Restorative Circles, Spelling Bee, Technology, Theater, Visual Arts, Yearbook, Yoga, Model United Nations",,,Not Accessible,28.0,,,3,,,This program prioritizes 25% of seats for students who qualify for the federal free or reduced price lunch program (FRL) and who are lower-performing.,"Algebra I,Living Environment",,,,,,,,,,,,,,10025.0,
718-829-3254,,,,,,Mott Hall Community School,"Mott Hall Community School combines a rigorous program in science, technology, engineering, and math with an ambitious, arts-based grounding in humanities. Our goal is to facilitate growth in the next generation of leaders through the extension and promotion of engineering and arts. We raise the performance levels of students through a collaborative, community-based approach, the endeavors of a committed faculty, and active, engaged parents. Housed in the heart of Throgs Neck, we prepare students for entry into high school by exposing them to the multitude of educational opportunities that our city has to offer. A fully functional science lab, a computer lab, and internet-ready classrooms with interactive technology promote technologically proficient, well-rounded students who are prepared for the challenges of the 21st century.",Spanish,,,,,,24.0,,,,Partially Accessible,15.0,,,8,,,,Algebra I,,,,Open to students and residents of the Bronx,,,N,,,,,,,10465.0,190.0
718-621-5730,,,,,,,"The Brooklyn School of Inquiry programs are designed to foster self-directed learning by encouraging exploration, inquiry and reflective thinking. We are a K-8, citywide gifted and talented school, rooted in the principles of inquiry-based learning and progressive education.  We emphasize STEAM education, literacy development, play-based learning and social and emotional development.  The 2017-2018 school year marked the beginning of the Diversity in Admissions program and 40% of our incoming kindergarten class is eligible for free or reduced price lunch.   We are not a zoned, community school and 85% of our students are bussed to the school by either the Office of Pupil Transportation or private busses that are funded by the families that use them.  We are deeply committed to a strong sense of community based on Tribes Agreements, Responsive Classroom approaches and our middle school advisory program.  We feel strongly that student choice allows for positive growth and development, therefore during the school day, we offer lunch clubs, elective courses and our students engage in a variety of after school programs such as debate, band, musical theater and art and math clubs.",Spanish,,,,,,92.0,"Art, Band, Book Club, Chess, Creative Writing, Dance, Debate, Green Team, Math Team, Musical Theater, Restorative Circles, Science Club, Service Learning, STEM, Student Council, Talent Show, Yearbook",,,Fully Accessible,13.0,,,20,,,,"Spanish,Algebra I,Living Environment",,,,,,,,,,,,,,11204.0,
212-678-2861,,,,,,,"Booker T. Washington MS54 is located on the Upper West Side of Manhattan. It is distinctive for these reasons: (1) 	Students with diverse needs which range from acceleration, remediation, special accommodations and language development have a place within the school.  There are Integrated Co- Teaching classes on every grade level.  There are a total of 31 classes in this 6th-8th grade middle school. (2) Every student has the opportunity to take art and music during their middle school years.  Our music department includes chorus, strings and band classes. There are also electives in art, drama, technology, public speaking and film studies. (3) 	Through the Early Academy Program students are provided with additional academic support two days a week before school.  During this same time, students are able to meet with their teachers in small groups. (4) 	The school has a science lab, 2 computer labs, and a library media center has a  collection of over 30,000 and is staffed by a full-time librarian.  	Extra-curricular activities include Student Council, Newspaper Club, Debate Club, Boys and Girls Basketball Teams, Track Team, Art Portfolio Program, Music Enrichment, Math Team, Model United Nations and Drama Program.",French;Latin;Mandarin;Other Language;Spanish,,,,,,88.0,"Art, Band, Chorus, Coding, Creative Writing, Dance, Debate, Engineering, Homework Help, Leadership, Lego Robotics, Math Team, Music, Restorative Circles, School Newspaper, Science Club, Student Council, Talent Show, Technology, Theater, Visual Arts, Yearbook",,,Not Accessible,60.0,,,3,,Extended Day,This program prioritizes 25% of seats for students who qualify for the federal free or reduced price lunch program (FRL) and who are lower-performing.,"Algebra I,Earth Science",,,,,,,,,,,,,,10025.0,
718-471-6042,,,,,,,"Village Academy is a family-oriented school where every child is known well.  We have a technology rich environment to engage our students.  We also have a robust arts program.  Our STEM program uses state of the art technology and exploratory learning including trips to engage our students.  We offer a strong sports program with both soccer and basketball teams in addition to cheerleading.  Our students have state of the art facilities including a dance studio and recording studio.  Each year our students write, produce, and record their own albums in addition to videos and short films.  Our students participate in rigorous and engaging curriculum with culturally rich texts and real world problem solving.  At the end of 8th grade students have the opportunity to graduate with four regents exams including English Language Arts allowing our students to take more AP and college courses in high school.  We also offer free specialized high school preparation courses.  Each year our students travel around the country to visit colleges and universities on our annual VA College Tour.  Our students also participate in community service through our cross-age tutoring program. Village Academy provides an individualized and robust education.",Spanish,,,,,,27.0,"Art, Book Club, Chess, Chorus, Coding, Cooking, Creative Writing, Dance, Debate, Drama, Fashion, Fitness, Gardening, Green Team, Guitar, Homework Help, Latin Dance, Leadership, Lego Robotics, Math Team, Music, National Junior Honor Society, Peer Mediation, Photography, Restorative Circles, Robotics, School Newspaper, Science Club, Service Learning, Spelling Bee, STEM, Student Council, Talent Show, Technology, Theater, Tutoring, Visual Arts, Yearbook, Yoga",,,Partially Accessible,23.0,,,27,,"Extended Day,Summer Session,Uniform",,"English,Algebra I,Living Environment",,,,,,,,,,,,,,11691.0,
212-595-7193,,,,,,,"The Anderson Middle School (AMS) provides a judicious combination of an accelerated and enriched curriculum for the distinct needs of gifted learners. Our upper grades are fully integrated within our highly successful K-8 school. With only two classes per grade, the relationship between students and teachers is personal and supportive. This smaller population fosters a strong sense of community. Guided by educators who recognize the needs of children with outstanding intellectual potential, we provide intimate, differentiated, and departmentalized instruction that encourages critical thinking, creative problem-solving, divergent thinking, research, independent study, collaboration, and self-evaluation. Parental involvement and support sustains the spirit and growth of AMS. The Anderson School seeks a diverse student population, including ICT students, and welcomes applications from across the five boroughs. Please visit our website to review our admissions rubric before applying.",Spanish,,,,,,97.0,,,,Partially Accessible,13.0,,,3,,,,"Algebra I,Living Environment",,,,,,,,,,,,,,10024.0,
718-964-1180,,,,,,,"PS 89/IS 89 is a dual language school (English/Spanish) and offers an expanded school day by three hours (from 2:20 pm to 5:20 pm) Monday through Friday in order to provide more time for innovative academic enrichment, differentiated instruction and other activities that inspire kids and support their well- being. Art, dance, music, sports, conflict-resolution skills, and academic support will be brought to all of our students by some of the teachers and the after-school community educators. It also houses Brooklyn's first ""green"" public school featuring a high-tech greenhouse and an innovative kitchen and cafeteria that serves wholesome nutritious meals.",,,,,,,21.0,"Art, Band, Book Club, Fitness, Gardening, Green Team, Homework Help, Music, Restorative Circles, School Newspaper, Service Learning, Student Council, Visual Arts, Yearbook",,,Fully Accessible,6.0,,,19,,"Extended Day,Uniform",,,,,,,,,,,,,,,,11207.0,
718-860-4181,,,,,,,"The School for Inquiry and Social Justice empowers students with the education they need to be successfulÃÂÃÂ and cultivates the character necessary to be socially responsible leaders. We currently have partnerships with 2 Community Based Organization's (CBO), The East Side House and New York Edge, each of which serve 120 students in our after school program, for a total of 240 students served. In addition, both CBOs host summer programs, with a total of 240 seats. The School for Inquiry and Social Justice has been offering coding instruction to our 6th and 7th grade students since the 2014-2015 school year, and will be implementing an expanded technology program through our participation in the CS4ALL program for the 2019-2020 school year. This program will include extensive teacher training and curriculum to enhance our current technology offering.",,,,,,,51.0,"Art, Book Club, Homework Help, Leadership, Music, Student Council, Technology, Tutoring",,,Not Accessible,37.0,,,8,,"Summer Session,Uniform",,,,,,,,,,,,,,,,10472.0,
