uid,latitude,longitude,ct2020,servarea,policeprct,facdomain,facname-opabbrev
014453b76714561ee2c7d3bce4b3308c,40.7018188937,-73.901190673,55100.0,Local,104,"EDUCATION, CHILD WELFARE, AND YOUTH",RIDGEWOOD PROPERTY OWNERS AND CIVIC ASSOCIATION INC-nan
02eaf24e99a40931385454019d19999b,40.6717252273,-73.9232256997,35900.0,Local,77,"EDUCATION, CHILD WELFARE, AND YOUTH",PARK ROCK-CROWN HGTS-Non-public
03db8dabc947d9234ace5380f17793d3,40.73929,-73.961175,101.0,Local,108,CORE INFRASTRUCTURE AND TRANSPORTATION,HUNTERS POINT SOUTH PARKING CORP.-Non-public
02137a374479df62770811bed4456e8c,40.7470887397,-73.9779548803,8000.0,Local,17,"PARKS, GARDENS, AND HISTORICAL SITES",SNIFFEN COURT HISTORIC DISTRICT-nan
05eb5dfa38a0e5ce40d8cefabc0cc2f9,0.0,0.0,,Local,0,HEALTH AND HUMAN SERVICES,"FUND FOR THE CITY OF NEW YORK, INC.-nan"
057fd2f523d464776052f42eb33f9d76,40.8119030303,-73.847502756,400.0,Local,43,"PARKS, GARDENS, AND HISTORICAL SITES",CASTLE HILL PARK-NYCDPR
03de3bcc213748ee0aef8a6fbf8375d7,40.7590903565,-73.9658777931,10803.0,Local,17,"EDUCATION, CHILD WELFARE, AND YOUTH",GLOBAL KIDS INC-nan
05b0c7c821a506da833fa818f080dcfa,40.5945326295,-73.7815147837,97204.0,Regional,101,HEALTH AND HUMAN SERVICES,CASSENA KIDNEY CARE AT PENINSULA-Non-public
026283d53ea24dca20f1d7293d6af076,40.637549,-74.140502,21300.0,Regional,121,CORE INFRASTRUCTURE AND TRANSPORTATION,RAIL LINE-NYCSBS
059654abc7c7fa678e2dc4bab7239ba1,40.8363121782,-73.8906474617,15500.0,Local,42,"EDUCATION, CHILD WELFARE, AND YOUTH",LYFE PROGRAM ATBRONX HS OF PERFORMAN-Non-public
05dd81c1ab54f729a72075491e7cef83,40.7408521803,-73.8801439308,48500.0,Local,110,"EDUCATION, CHILD WELFARE, AND YOUTH",NY TIBETAN SERVICE CENTER - ELEMENTARY-nan
040531061c804d65910d681fe05886b7,40.7281010834,-73.9792584814,3400.0,Local,9,"PARKS, GARDENS, AND HISTORICAL SITES",CHILDREN'S GARDEN-NYCDPR
067190f9b3ab8e8d389a1fef6e62421f,40.7558440155,-73.8802028657,27900.0,Local,115,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILDREN OF AMERICA QUEENS-Non-public
006ad2462e33e67def73aaae76f7145e,40.7500072057,-74.0042943363,9901.0,Regional,10,LIBRARIES AND CULTURAL PROGRAMS,ART RESOURCES TRANSFER-Non-public
a9f043f77df16e95b3,40.7443305688,-73.9569566783,101.0,Local,108,"EDUCATION, CHILD WELFARE, AND YOUTH",LITTLE ONES-Non-public
04c5885039bec1a689dd434ae675a915,40.746576554,-74.003088194,9300.0,Local,10,HEALTH AND HUMAN SERVICES,WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING INC-nan
038c22b677a92c0ddb6de489b231db61,40.7531210622,-73.9357059245,3100.0,Local,114,"EDUCATION, CHILD WELFARE, AND YOUTH",GROWING UP GREEN CHARTER SCHOOL-Non-public
050d340615ab3e1f34a53ca4cd57993a,40.706240596,-74.0124343251,900.0,Local,1,HEALTH AND HUMAN SERVICES,CENTER FOR EMPLOYMENT OPPORTUNITIES INC-nan
03E,40.8168690627,-73.8605933877,1600.0,Local,43,"EDUCATION, CHILD WELFARE, AND YOUTH",HOLY CROSS SCHOOL-Non-public
0433c0cf90cb0bcf052bc2c4547b3c14,40.7560900465,-73.984380499,11900.0,Local,14,"PARKS, GARDENS, AND HISTORICAL SITES",TOWN HALL-nan
011fe4d58950a4865e70b8d4481276a8,40.8214636656,-73.8413623315,9000.0,Regional,43,CORE INFRASTRUCTURE AND TRANSPORTATION,"BORO TRANSIT, INC.-Non-public"
01d14eff2c7029de2ad5ea63dae1368b,40.6582835135,-73.9549706887,80200.0,Local,71,"PARKS, GARDENS, AND HISTORICAL SITES",LEFFERTS MANOR HISTORIC DISTRICT BOUNDARY INCREASE-nan
04e43f073db774b3aef4cb659250b980,40.7196,-73.841536,73700.0,Local,112,CORE INFRASTRUCTURE AND TRANSPORTATION,ET CAPITAL INC-Non-public
02aac6d4b3ce2af21e4a7af2bd2b6129,40.7060133849,-73.7569066424,50800.0,Regional,113,HEALTH AND HUMAN SERVICES,MEDISYS FAMILY CARE - HOLLIS TUDORS-Non-public
0374b2ef6318b94b0459eca236120b93,40.8153166255,-73.9197711399,6500.0,Local,40,"EDUCATION, CHILD WELFARE, AND YOUTH",BRILLA VERITAS CMS UPPER-NYCDOE
04b6961a4374b85c1e011afc7db6a529,40.8643147025,-73.8365524412,31000.0,Local,49,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMM CTR-nan
0011155e33ae4c3e93192065de4135ea,40.8533700223,-73.8908467235,37504.0,Regional,48,HEALTH AND HUMAN SERVICES,ST. BARNABAS HOSPITAL PSYCHIATRIC INPATIENT UNIT-Non-public
0469cbae7bc4dd093d7002eef9848bc6,40.6185998354,-73.9419152597,74600.0,Local,63,"EDUCATION, CHILD WELFARE, AND YOUTH",YESHIVAT LEV TORAH HIGH SCHOOL-Non-public
0550680591da3aecd0128b404a55dae7,40.839102767,-73.9009200713,16700.0,Local,42,"EDUCATION, CHILD WELFARE, AND YOUTH","TREMONT-MONTEREY DAY CARE CENTER, INC.,-Non-public"
0418259e076b894993c27676a1f8f724,40.6821324491,-73.9389871659,27300.0,Regional,79,LIBRARIES AND CULTURAL PROGRAMS,"RADIOHOLE, INC.-Non-public"
01ec629993c6d0f3cc7eba011f0852fb,40.8031845018,-73.9531543339,21800.0,Local,28,HEALTH AND HUMAN SERVICES,FIRST CORINTHIAN BAPTIST CHURCH-Non-public
0663d9ecb66ca4d9c69443e133bcea39,40.6900105739,-73.9893268145,4300.0,Local,84,"EDUCATION, CHILD WELFARE, AND YOUTH",DODGE YMCA-Non-public
01431ee6453c8daccebe950332ae5e97,40.6669433592,-73.9076840667,91200.0,Local,73,"EDUCATION, CHILD WELFARE, AND YOUTH","THE GREGORY JOCKO JACKSON SCHOOL OF SPORTS, ART, AND TECHNOLOGY-NYCDOE"
04cf0a065b90fdcf8c9a79e6a54ac508,40.6692785635,-73.9172462844,90200.0,Local,73,"EDUCATION, CHILD WELFARE, AND YOUTH",ARTS & CRAFTS CORNER-Non-public
00af67c008a30963855c4a8b69a6387e,40.8164714493,-73.8442600095,9000.0,Regional,43,CORE INFRASTRUCTURE AND TRANSPORTATION,"GRANDPA`S BUS CO., INC.-Non-public"
00691c84282d443dc01999c155efdba3,40.7056050074,-73.7991676001,44601.0,Regional,103,HEALTH AND HUMAN SERVICES,SCO FAMILY OF SERVICES-nan
05d0cd8037ef78f2ef73073e80eea8e8,40.8381039737,-73.928746215,19300.0,Local,44,"EDUCATION, CHILD WELFARE, AND YOUTH",HIGHBRIDGE GARDENS-nan
05064335c0c617f3fe6ef1633d42a356,40.6764500276,-73.740579267,63200.0,Local,116,"EDUCATION, CHILD WELFARE, AND YOUTH",ART TRANSFORMS INC-nan
019cce4f008ed999a15d5ff4803a1925,40.5331895395,-74.1908047023,17005.0,Local,123,"EDUCATION, CHILD WELFARE, AND YOUTH",OUR LADY STAR OF THE SEA SCHOOL-Non-public
02b11c1011e1d07aa6a1996a19611c53,40.8554995983,-73.9161893788,24900.0,Local,46,"EDUCATION, CHILD WELFARE, AND YOUTH",P.S. 226-NYCDOE
0174a937eee5a67ebd4e3a27d5a1223b,40.5955092163,-73.7731347752,99200.0,Local,101,"EDUCATION, CHILD WELFARE, AND YOUTH","KIDS-CENTRIC, INC COMM PARENT FAR RO-Non-public"
05601de94006cc0b5ec99e025c6bfe0b,40.8440100646,-73.9100923152,22703.0,Local,44,LIBRARIES AND CULTURAL PROGRAMS,GRAND CONCOURSE LIBRARY-NYPL
03f85e9badea4d0c04eb6d8adc26847c,40.762669,-73.968262,11402.0,Regional,19,CORE INFRASTRUCTURE AND TRANSPORTATION,SAGESSE COMMERCE & LOGISTICS LLC-Non-public
0589abe428ff9ef59da81e993b31d659,40.772957328,-73.9466185891,13604.0,Local,19,"EDUCATION, CHILD WELFARE, AND YOUTH",THE BREARLEY SCHOOL-Non-public
0509e557aeb15867ce6238cb8aa9a905,40.7159547569,-73.7448676431,56800.0,Local,105,"PARKS, GARDENS, AND HISTORICAL SITES",LITCHHULT SQUARE-NYCDPR
042537cb8bae980b4ef4dab85e805eb8,40.6752358828,-73.9153639458,30300.0,Local,73,"EDUCATION, CHILD WELFARE, AND YOUTH",NEW YORK EDGE INC-nan
0249b89f6eecd87dc4d84a94d94f2410,40.7571785496,-73.831266963,84902.0,Local,109,HEALTH AND HUMAN SERVICES,CHINESE AMERICAN PLANNING COUNCIL INC-Non-public
03157f69910b8dd9a8586d3119abeb4d,40.764879,-73.985455,13300.0,Regional,18,"PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE",MIDTOWN COMMUNITY COURT-NYCOCA
01066f0712139df3cdb0cd5307f288bb,40.756503,-73.998997,9903.0,Local,10,CORE INFRASTRUCTURE AND TRANSPORTATION,515 WEST 36TH STREET PARKING CORP.-Non-public
0024ba8b2f4caafc9144056eb196f818,40.6877534145,-73.9591242673,23300.0,Local,79,"PARKS, GARDENS, AND HISTORICAL SITES",CEDAR TREE GARDEN-NYCDPR
045baf12136a9b3893c4e0bf7aa35973,40.6485940731,-74.009697907,8000.0,Local,72,"EDUCATION, CHILD WELFARE, AND YOUTH",EARLY CHILDHOOD LEARNING CTR-Non-public
02dd560c299b4de03c2cd30b0079f454,40.7204986232,-73.8606467212,69702.0,Local,112,"EDUCATION, CHILD WELFARE, AND YOUTH",P.S. 174 WILLIAM SIDNEY MOUNT-NYCDOE
051d4b12d87f7c3bdaf50a02c2fa8411,40.8137846041,-73.9615345806,21100.0,Local,26,"PARKS, GARDENS, AND HISTORICAL SITES",INTERNATIONAL HOUSE-nan
0620ab37daf2939dea8fd0967852021b,40.694923,-73.7876,25800.0,Regional,103,CORE INFRASTRUCTURE AND TRANSPORTATION,WELL STATION #6-NYCDEP
03aba7ea9cbf3a9abeea921b29200a9c,40.6762334039,-73.7550579043,35800.0,Local,116,"EDUCATION, CHILD WELFARE, AND YOUTH",LITTLE PEOPLE LEARNING CENTER-Non-public
0090b949e84e1bdfaa48e0cdb89018f1,40.831187,-73.900567,14900.0,Regional,42,CORE INFRASTRUCTURE AND TRANSPORTATION,MORRISANIA FARMSTAND FOOD DROP-OFF SITE-nan
034efc56034200b4e4fd4ab2bb29e8d4,40.7566343911,-73.9022567307,29700.0,Local,114,"EDUCATION, CHILD WELFARE, AND YOUTH",FOUNDATION FOR FILIPINO ARTISTS-Non-public
01d7cee2a2d8ea2796f206b2212c9f9a,40.6455077087,-74.0238996982,1804.0,Regional,72,HEALTH AND HUMAN SERVICES,BAY RIDGE SUNSET PARK DIALYSIS CENTER-Non-public
015cab4e40ae31fc371c22a5d54bd9af,40.7217122915,-73.9974385461,4500.0,Local,5,"PARKS, GARDENS, AND HISTORICAL SITES",PETROSINO SQUARE-NYCDPR
050e9cb526cc81fd3338b9fb2b29e96a,40.7457188849,-73.9788265259,7200.0,Regional,17,HEALTH AND HUMAN SERVICES,NYU LANGONE PERLMUTTER CANCER CENTER-34TH STREET-Non-public
03c93e6d030f63a7677309e4d77a3838,40.6148486317,-73.9869802747,25600.0,Local,62,"EDUCATION, CHILD WELFARE, AND YOUTH",BROOKLYN CHINESE-AMERICAN ASSOCIATION INC-nan
0683e8e70a9be218b7ba5b49ae87b245,40.751162,-73.907212,25500.0,Regional,108,CORE INFRASTRUCTURE AND TRANSPORTATION,NYCT FACILITY-MTA
006741f1ecd09a4e13d7ed103d38a86a,40.6808103899,-73.9052810638,40500.0,Regional,83,CORE INFRASTRUCTURE AND TRANSPORTATION,Y & M TRANSIT CORP (B2192)-Non-public
0173ab1c04f7baa1b66660613a97e2b7,40.816205103,-73.9534931389,21303.0,Local,26,"EDUCATION, CHILD WELFARE, AND YOUTH",ANNUCIATION HEAD START-Non-public
0044b7fdf6fecd0c88d9fda284544c6f,40.6956687512,-73.9154297074,43300.0,Local,83,"EDUCATION, CHILD WELFARE, AND YOUTH",JHS 291 ROLAND HAYES - 32K291-nan
0461e2912c24f5243b168ce66e5f95db,40.807790845,-73.8877619973,9302.0,Regional,41,CORE INFRASTRUCTURE AND TRANSPORTATION,ESPAILLAT MOTORS INC-Non-public
011e6d8b62c97e17dd501240e63f26d6,40.651389,-73.942566,81600.0,Regional,67,CORE INFRASTRUCTURE AND TRANSPORTATION,3705 CHURCH AVE TEXTILE DROP-OFF SITE-nan
04e4b1a72552bb0eec035173674c5a0d,40.632850224,-73.9819718886,47600.0,Local,66,"EDUCATION, CHILD WELFARE, AND YOUTH",KINDERLAND DAY CARE INC.-Non-public
01a2c22bcda80480abf264015b104dc7,40.5331895395,-74.1908047023,17005.0,Local,123,"EDUCATION, CHILD WELFARE, AND YOUTH",OUR LADY STAR OF THE SEA PRESCHOOL-Non-public
01566a8be09548cda2328f053ffdf85e,40.6125579651,-74.176698266,29102.0,Regional,121,HEALTH AND HUMAN SERVICES,RICHMOND MEDICAL CENTER-nan
05baf4a2d8539d91349b57b955fadc58,40.8152852786,-73.9078622676,7300.0,Local,40,"EDUCATION, CHILD WELFARE, AND YOUTH",SOUTH BRONX SCHOOL OF TECHNOLOGY-Non-public
016dafca40ad01343213762d4966a736,40.8751930398,-73.8616360226,37200.0,Local,47,HEALTH AND HUMAN SERVICES,MOSHOLU MONTEFIORE COMMUNITY CENTER INC-nan
0154c706b89e9a4caa2728564c01aec9,40.558446306,-74.15512591,14608.0,Local,122,"EDUCATION, CHILD WELFARE, AND YOUTH",P.S. 032 THE GIFFORD SCHOOL-NYCDOE
02fc8f328db8c795b844f48686776217,40.8184244807,-73.9137485142,7100.0,Regional,40,HEALTH AND HUMAN SERVICES,VISITING NURSE SERVICE OF NEW YORK HOMECARE II-nan
01c301235a0411861d7b55cc7e39ed26,40.6940640613,-73.9936213401,502.0,Local,84,"EDUCATION, CHILD WELFARE, AND YOUTH",GAN ISRAEL OF BROOKLY HEIGHTS-Non-public
063396bf2a6b99766b74e433662f21d2,40.8741071657,-73.8323014604,46205.0,Local,45,"EDUCATION, CHILD WELFARE, AND YOUTH",BRONX HEALTH SCIENCES HIGH SCHOOL-NYCDOE
00dc7b42b6ee1c4a7914e20419530cf0,40.5120054664,-74.2184057116,19800.0,Local,123,"EDUCATION, CHILD WELFARE, AND YOUTH",SOUTH RICHMOND HIGH SCHOOL IS / PS 25 (75R025)-nan
010f5c8e1c3ca5527829e90ecb3f06bc,40.8157962841,-73.9299823677,6301.0,Local,40,"EDUCATION, CHILD WELFARE, AND YOUTH",COMMUNITY SCHOOL FOR SOCIAL JUSTICE-NYCDOE
053e647aa31bfa8c8181 feb099a065d2,40.794604,-73.970956,18300.0,Regional,24,CORE INFRASTRUCTURE AND TRANSPORTATION,ST. FRANCIS THRIFT STORE TEXTILE DROP-OFF SITE-nan
00193d4c8867ba07d718b49b5ace6b20,40.6896913701,-73.9906938731,900.0,Local,84,HEALTH AND HUMAN SERVICES,ST VINCENT'S SERVICES INC-nan
0418e1555b2eac345f7fe9453e21fc7c,40.7099462381,-73.9433296424,49301.0,Local,90,"PARKS, GARDENS, AND HISTORICAL SITES",WILLIAMSBURG HOUSES-nan
045af51ca638b6f9ee5377c8e2374baf,40.692577,-73.984974,1502.0,Local,84,CORE INFRASTRUCTURE AND TRANSPORTATION,BELLTEL 365 PARKING LLC-Non-public
065c108e99a6fc0c21300b1fce66d399,40.7383555089,-73.9827450651,6400.0,Local,13,HEALTH AND HUMAN SERVICES,STEIN SENIOR CENTER INC-Non-public
04627048b3e5452e923854cdeca1b210,40.8404607278,-73.8418965464,9600.0,Local,45,"PARKS, GARDENS, AND HISTORICAL SITES",WESTCHESTER SQUARE PLAZA-NYCDOT
013bed1c53edc3c6c24f09041962ba3f,40.675179975,-73.816742805,84000.0,Local,106,"EDUCATION, CHILD WELFARE, AND YOUTH",HAWTREE CREEK MIDDLE SCHOOL-NYCDOE
047e318b7c5461ccfad3340b8540ac86,40.800391,-73.942921,18400.0,Regional,25,ADMINISTRATION OF GOVERNMENT,OFFICES-NYCCB111
009f80322027c5a38e1697dde91d81 8f,40.6780107005,-73.9734287511,16100.0,Regional,78,HEALTH AND HUMAN SERVICES,BROOKLYN CENTER FOR PSYCHOTHERAPY INC.-Non-public
01101118253a8ce519754c2daff5873d,40.7074692248,-74.0058913809,1502.0,Local,1,"PARKS, GARDENS, AND HISTORICAL SITES",116 JOHN STREET-nan
006d4995c302e75b925dc061e6b41de6,40.7427348866,-73.8767080353,46700.0,Local,110,"EDUCATION, CHILD WELFARE, AND YOUTH",PS 14 ANNEX-Non-public
006b8603543da11106f7416600c67036,0.0,0.0,,Local,0,HEALTH AND HUMAN SERVICES,MASBIA OF BORO PARK-Non-public
03e16bc54cd3bb32c75e2836bca781b8,40.6654338622,-73.9256715549,89200.0,Local,67,"EDUCATION, CHILD WELFARE, AND YOUTH",P.S. 189 THE BILINGUAL CENTER-nan
060dc67981427e157d0ec1ef7cc0bb60,40.8527514079,-73.8391299911,28400.0,Regional,49,HEALTH AND HUMAN SERVICES,MONTEFIORE HUTCHINSON CAMPUS-Non-public
00538d0b3d13d3a37e1bc23b03a9981c,40.7717573443,-73.8155863412,104700.0,Local,109,"EDUCATION, CHILD WELFARE, AND YOUTH",THE CORNER SCHOOL-Non-public
