location,ntacode,x,remarks,borocd,city,boroname,y
41-19 31 AVENUE,QN70,1007639.50636,"Tablet Internet -phone , Free 1 GB Wi-FI Service",401.0,Queens,Queens,216426.415622
32nd Ave between 155th and 156th St,QN51,1037995.19335,3 free 10 min sessions,407.0,Queens,Queens,219699.015048
60 HENRY STREET,BK09,986416.474658,"Tablet Internet -phone , Free 1 GB Wi-FI Service",302.0,Brooklyn,Brooklyn,194065.684753
Along Boardwalk and Beach,SI36,960354.569433,3 free 10 min sessions,595.0,Staten Island,Staten Island,147797.241857
North East side of Park,QN54,1033930.94853,3 free 10 min sessions,409.0,Queens,Queens,192582.587654
18th Street - 7th Avenue,MN13,984839.96764,SN 321,104.0,New York,Manhattan,209257.479173
207 WEST 34 STREET,MN17,986724.373976,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,212986.120994
"Bergen St (F,G)",BK38,986784.318738,SN 236,302.0,Brooklyn,Brooklyn,189257.687151
1053 Nostrand Ave,BK60,997954.002436,"Tablet Internet -phone , Free 1 GB Wi-FI Service",309.0,Brooklyn,Brooklyn,180624.28119
151-10 14 ROAD,QN49,1036664.93092,,407.0,Whitestone,Queens,226616.80305
817 Manhattan Ave,BK76,997155.024047,"Tablet Internet -phone , Free 1 GB Wi-FI Service",301.0,Brooklyn,Brooklyn,204558.476103
856 AMSTERDAM AVE,MN12,993179.813165,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,229948.214038
230 2 AVENUE,MN21,988491.887502,"Tablet Internet -phone , Free 1 GB Wi-FI Service",106.0,New York,Manhattan,206153.297061
Admin Office,MN04,1000173.92352,3 free 10 min sessions,110.0,New York,Manhattan,239535.578721
250 West 93 Street,MN12,991605.000698,"Tablet Internet -phone , Free 1 GB Wi-FI Service",107.0,New York,Manhattan,228078.415284
"Wall St (2,3)",MN25,981727.002738,SN 333,101.0,New York,Manhattan,196790.564146
260 WEST 52 STREET,MN17,988388.357525,"Tablet Internet -phone , Free 1 GB Wi-FI Service",105.0,New York,Manhattan,217413.039961
691 4 AVENUE,BK32,985355.035836,"Tablet Internet -phone , Free 1 GB Wi-FI Service",307.0,Brooklyn,Brooklyn,180529.72462
9th Ave and 12th St,MN23,982513.422753,,102.0,New York,Manhattan,208691.370069
