latitude,longitude,data_center_gross_floor_area,bar_nightclub_gross_floor,postcode,national_median_site_energy,green_power_offsite_kwh,natural_gas_cost,energy_star_score,medical_office_number_of_1,year_built,museum_gross_floor_area_ft,hospital_general_medical_16,parking_open_parking_lot,bank_branch_number_of,enclosed_mall_gross_floor,retail_store_weekly_operating,county,medical_office_mri_machine,estimated_savings_from_energy,other_water_sources_combined,fuel_oil_no_5_and_no_6_cost,office_worker_density_number,office_number_of_computers,fuel_oil_no_4_cost,data_center_national_median,net_emissions_metric_tons,national_median_source_energy,energy_star_certification_2,municipally_supplied_potable_4,courthouse_gross_floor_area,percent_of_electricity_that,vocational_school_gross_floor,electricity_use_grid_purchase,adult_education_gross_floor,other_weekly_operating_hours,fuel_oil_no_2_cost,parking_gross_floor_area,retail_store_number_of_open,multifamily_housing_number,weather_normalized_source_1,multifamily_housing_maximum,multifamily_housing_primary,energy_alerts,data_center_it_source_energy,green_power_onsite_kwh,estimated_data_flag_district,release_date,national_median_energy_cost,financial_office_weekly,data_center_pue,district_steam_use_kbtu,year_ending,multifamily_housing_percent_2,direct_ghg_emissions_metric
40.619938,-74.092171,Not Available,Not Available,10301,Not Available,0,0,Not Available,Not Available,1951,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,133.7,Not Available,Not Available,Not Available,Not Available,0,Not Available,74311.8,Not Available,Not Available,Not Available,Not Available,Not Available,56,2789586.4,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T11:04:49.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,127.7
40.750156,-73.970935,1100,Not Available,10017,18278640,0,0,Not Available,Not Available,1967,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,0.96053,250,Not Available,Not Available,1881.4,42563940,Not Available,1342,Not Available,0,Not Available,13084971.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52145725.8,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-04-29T14:50:59.000,0,Not Available,Not Available,8962481.8,2013-12-31T00:00:00.000,Not Available,23.3
40.792132,-73.938046,Not Available,Not Available,10029,3955160,0,20080.37105,Not Available,Not Available,1913,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,521.2,10576720,Not Available,268.2,Not Available,0,Not Available,5391369.6,Not Available,0,Not Available,Not Available,Not Available,Not Available,18251567.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-25T11:32:31.000,198669.65,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,82.6
40.742093,-73.998528,Not Available,Not Available,10011,11421321.6,0,15614.59982,87,Not Available,1929,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,1.40492,200,Not Available,Not Available,463.7,25593443.2,Not Available,1921.7,Not Available,0,Not Available,3817873.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14842122,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T12:27:18.000,458260.92,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,153.1
40.598335,-74.005315,Not Available,Not Available,11214,Not Available,0,0,Not Available,Not Available,1960,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,378.4,Not Available,Not Available,Not Available,Not Available,0,Not Available,1304622.6,Not Available,Not Available,Not Available,Not Available,Not Available,531,9495740,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T11:04:49.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,272.3
40.758744,-73.968618,1000,Not Available,10012,106632830.4,0,Not Available,77,Not Available,1968,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,2.29816,2500,Not Available,Not Available,6585.9,239231190.4,08/31/2012,14625,Not Available,0,Not Available,41778023.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,173535924.8,Not Available,Not Available,Not Available,12878243,Not Available,No,2014-04-30T15:49:02.000,2789156.31,Not Available,Not Available,35992934.9,2013-12-31T00:00:00.000,Not Available,0
40.573627,-73.995033,Not Available,Not Available,11222,Not Available,0,0,Not Available,Not Available,1975,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,977.8,Not Available,Not Available,Not Available,Not Available,0,Not Available,8669250.7,Not Available,Not Available,Not Available,Not Available,Not Available,280,32494546.8,16,Natural Gas,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T11:55:29.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,70,272.5
40.787832,-73.97947,Not Available,Not Available,10024,Not Available,0,0,Not Available,Not Available,1950,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,362.9,Not Available,Not Available,Not Available,Not Available,0,Not Available,726030.1,Not Available,Not Available,Not Available,Not Available,Not Available,48,6346060.4,6,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,2014-04-30T13:51:25.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,303.8
40.661058,-73.959116,Not Available,Not Available,11226,Not Available,0,Not Available,Not Available,Not Available,1938,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,1309657.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>G-NationalGrid-HHWH</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; The most recent bill for one or more meters in use in the selected timeframe is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-04-25T12:01:57.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,Not Available
40.823563,-73.944993,Not Available,Not Available,10031,Not Available,0,Not Available,Not Available,Not Available,1930,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13.3,Not Available,Not Available,Not Available,Not Available,0,Not Available,163285.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,512715.3,6,Not Available,Not Available,Not Available,Not Available,Not Available,2014-05-02T14:57:55.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,0
40.714645,-73.780762,Not Available,Not Available,11432,Not Available,0,0,Not Available,Not Available,1964,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1130.5,Not Available,Not Available,14792.8,Not Available,0,Not Available,3458440,Not Available,Not Available,Not Available,Not Available,Not Available,498,27494674.6,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T11:04:49.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,849.1
40.759826,-73.972036,Not Available,Not Available,10022,14364107.2,0,Not Available,54,Not Available,1957,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,1.67551,328,Not Available,Not Available,3847.8,36338555.6,Not Available,Not Available,Not Available,0,Not Available,9340140.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,<b>CT1HE5707435 AIB 3rd Floor</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,Not Available,Not Available,No,2014-04-30T11:37:32.000,96996.91,Not Available,Not Available,4299172.1,2013-12-31T00:00:00.000,Not Available,0
40.73848,-73.983419,Not Available,Not Available,10010,Not Available,0,80628.28068,Not Available,Not Available,1992,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,636.7,Not Available,Not Available,5441.1,Not Available,0,Not Available,4322868.5,Not Available,57.01,Not Available,Not Available,Not Available,176,19201498.4,31,Natural Gas,Not Available,Not Available,Not Available,Not Available,2014-04-17T12:48:27.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,285
40.76574,-73.959026,Not Available,Not Available,10065,5129317.4,0,Not Available,2,67.85,2003,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,Not Available,0,Not Available,Not Available,2.3,36.68,Not Available,Not Available,888.8,12313978.2,Not Available,Not Available,Not Available,0,Not Available,6530192.6,Not Available,19.39,Not Available,Not Available,Not Available,Not Available,25364993.6,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-04-29T11:18:38.000,75811.66,Not Available,Not Available,4037428.6,2013-12-31T00:00:00.000,Not Available,0
40.778072,-73.95873,Not Available,Not Available,10028,Not Available,0,0,Not Available,9,1929,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,0,Not Available,Not Available,Not Available,Not Available,832.3,Not Available,Not Available,4028,Not Available,0,Not Available,3340108.3,Not Available,Not Available,Not Available,Not Available,Not Available,130,17976105,16,Fuel Oil (No. 5 and No. 6),The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T23:17:57.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,560.5
40.753024,-73.985411,Not Available,Not Available,10018,22189000,0,444.170068,77,Not Available,1925,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,108037.2369,2.23985,465,Not Available,Not Available,1255.3,57070108,Not Available,2657.1,Not Available,0,Not Available,11550225,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40375249.6,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-04-30T12:44:23.000,1137684.07,Not Available,Not Available,0,2013-12-31T00:00:00.000,Not Available,315.6
40.853081,-73.863894,Not Available,Not Available,10462,Not Available,0,0,Not Available,Not Available,1950,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,0,Not Available,Not Available,Not Available,Not Available,619.3,Not Available,Not Available,Not Available,Not Available,0,Not Available,1270026.7,Not Available,Not Available,Not Available,Not Available,Not Available,299,10980488.6,6,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,2014-04-30T13:51:25.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,516
40.760789,-73.968776,Not Available,Not Available,10022,9158100,0,Not Available,90,Not Available,1928,Not Available,Not Available,Not Available,Not Available,Not Available,80,Not Available,Not Available,0,349.1,Not Available,6.04839,320,Not Available,Not Available,414,19153120,Not Available,349.1,Not Available,0,Not Available,2229400.8,Not Available,Not Available,Not Available,Not Available,0,Not Available,10079891.5,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-04-21T13:26:02.000,495078.41,Not Available,Not Available,2627432.4,2013-12-31T00:00:00.000,Not Available,0
,,4517,Not Available,10022,Not Available,Not Available,Not Available,Not Available,Not Available,1960,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,1.5637,1024,Not Available,Not Available,Not Available,93986185.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Natural Gas</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; The most recent bill for one or more meters in use in the selected timeframe is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,No,2014-04-02T11:20:07.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,Not Available
40.762497,-73.997119,Not Available,Not Available,10036,4286754,0,310.434262,78,Not Available,1905,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,0.96761,36,7665.45553,Not Available,226,8085994.8,Not Available,Not Available,Not Available,0,Not Available,1196882.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5421936.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-21T14:30:43.000,102783.3,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,128.6
40.845856,-73.847756,Not Available,Not Available,10461,Not Available,0,0,Not Available,Not Available,1928,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,0,Not Available,Not Available,Not Available,Not Available,508.4,Not Available,Not Available,Not Available,Not Available,0,Not Available,823898.6,Not Available,Not Available,Not Available,Not Available,Not Available,132,11152106.5,6,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-22T15:44:41.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,441.4
40.765869,-73.959333,Not Available,Not Available,10035,Not Available,0,1272.663078,Not Available,2,1928,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,91634.801,Not Available,Not Available,Not Available,Not Available,487.7,Not Available,Not Available,Not Available,Not Available,0,Not Available,1883091.6,Not Available,Not Available,Not Available,Not Available,Not Available,147,10283517.3,16,Fuel Oil (No. 5 and No. 6),The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T23:17:57.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,334.5
40.758825,-73.974877,Not Available,Not Available,10022,29437197.3,0,0,66,Not Available,1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,3.59604,1024,Not Available,Not Available,1923,75447615.6,Not Available,Not Available,Not Available,0,Not Available,17337834.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,62135505.5,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-04-21T16:50:21.000,0,Not Available,Not Available,3971540.1,2013-12-31T00:00:00.000,Not Available,160.7
40.781542,-73.983206,Not Available,Not Available,10023,Not Available,0,0,Not Available,Not Available,1925,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,463.4,Not Available,Not Available,Not Available,Not Available,0,Not Available,1305035.1,Not Available,Not Available,0,Not Available,Not Available,148,9005458.6,17,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,2014-04-30T13:51:25.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,357.2
40.742101,-73.994901,Not Available,Not Available,10011,Not Available,Not Available,Not Available,Not Available,Not Available,1939,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Manhattan,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11086184.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>436015257500050  12fl</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T16:39:15.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,Not Available
40.704638,-74.006694,Not Available,Not Available,10005,52877698.9,0,Not Available,100,Not Available,1965,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Manhattan,Not Available,0,Not Available,Not Available,2.42971,700,Not Available,Not Available,753.8,77341316.1,Not Available,344.5,Not Available,0,Not Available,1152155.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12586484.3,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-04-30T16:50:23.000,0,Not Available,Not Available,7455037.6,2013-12-31T00:00:00.000,Not Available,0
40.754145,-73.964823,Not Available,Not Available,10022,Not Available,0,1596.709945,Not Available,Not Available,1928,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,0,Not Available,Not Available,Not Available,Not Available,396.5,Not Available,Not Available,Not Available,Not Available,0,Not Available,947666.3,Not Available,Not Available,104940.0261,Not Available,Not Available,130,7293951.3,10,Fuel Oil (No. 2),The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T23:17:57.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,319.4
40.728435,-74.007151,Not Available,Not Available,10014,110706120.8,0,Not Available,85,Not Available,1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,3.65653,3800,Not Available,Not Available,5676.7,306957880.4,03/31/2013,Not Available,Not Available,0,Not Available,55630282.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,190031027.1,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-04-29T14:46:07.000,0,Not Available,Not Available,12994796.5,2013-12-31T00:00:00.000,Not Available,0
40.764225,-73.982391,Not Available,Not Available,10019,6943800,0,0,60,Not Available,1922,Not Available,Not Available,Not Available,Not Available,Not Available,65,USA,Not Available,0,Not Available,Not Available,1.62767,75,Not Available,Not Available,409.8,14100600,Not Available,3227.3,Not Available,0,Not Available,2896156.8,Not Available,95,Not Available,Not Available,0,Not Available,12520437.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-29T18:23:46.000,0,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,174.2
,,Not Available,Not Available,10018,3703700,0,Not Available,39,Not Available,1910,Not Available,Not Available,Not Available,Not Available,Not Available,40,Not Available,Not Available,0,Not Available,Not Available,2.54958,91,Not Available,Not Available,332.9,9836820,08/31/2012,Not Available,Not Available,0,Not Available,3229435.4,Not Available,Not Available,6008.1364,Not Available,0,Not Available,11109335.4,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.; One or more of the meters in use in the selected timeframe has estimated bills. Enter actual bills through the Meters tab for this property.,Not Available,Not Available,Not Available,2014-05-01T18:02:57.000,100939.09,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,70.1
40.661077,-73.958799,Not Available,Not Available,11226,Not Available,0,Not Available,Not Available,Not Available,1938,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,1266788.3,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>G-NationalGrid-HH</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; The most recent bill for one or more meters in use in the selected timeframe is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-04-25T12:01:57.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,Not Available
40.741253,-73.990978,Not Available,Not Available,10010,20746100,0,0,91,Not Available,1910,Not Available,Not Available,Not Available,Not Available,Not Available,40,Not Available,Not Available,0,Not Available,Not Available,3.33734,484,Not Available,Not Available,837.4,46038800,Not Available,2947.3,Not Available,0,Not Available,6165484,Not Available,Not Available,Not Available,Not Available,6,Not Available,24177254,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-23T15:25:05.000,0,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,335.8
40.709809,-74.005905,Not Available,Not Available,10038,91407720.5,0,Not Available,82,Not Available,1968,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,4.93339,2645,Not Available,Not Available,5178.7,173233795.7,Not Available,Not Available,Not Available,0,Not Available,21520473.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,114249405.3,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-04-29T14:09:35.000,0,Not Available,Not Available,38714964.4,2013-12-31T00:00:00.000,Not Available,0
40.740246,-73.992324,Not Available,Not Available,10011,8138000,0,25353.48784,Not Available,Not Available,1923,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,4.34932,358,Not Available,Not Available,775.5,19253000,08/31/2011,Not Available,Not Available,0,Not Available,6595677.9,Not Available,Not Available,39325.48902,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,<b>Castle Fuel Oil #2- 88379000</b> has one or more bills in the selected timeframe that cover more than 65 days. Please enter energy use in bills less than 65 days.,Not Available,Not Available,Not Available,2014-04-21T13:45:25.000,251475.95,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,238.9
40.762629,-73.972125,Not Available,Not Available,10022,37617964.8,0,Not Available,51,Not Available,1967,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,2.05633,660,Not Available,Not Available,3126.4,84382649.6,Not Available,12392.6,Not Available,0,Not Available,19808905.3,Not Available,72,Not Available,Not Available,Not Available,Not Available,82273915,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-04-29T18:14:22.000,0,Not Available,Not Available,17107605.8,2013-12-31T00:00:00.000,Not Available,0
40.714529,-74.015677,Not Available,Not Available,10281,65901024,0,Not Available,67,Not Available,1986,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,0.76706,1750,Not Available,Not Available,8867.8,456222816,Not Available,48397.9,Not Available,0,Not Available,145611608.6,Not Available,Not Available,Not Available,128759,Not Available,Not Available,376360085.8,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-04-25T11:50:15.000,7213492.06,Not Available,Not Available,51139009.1,2013-12-31T00:00:00.000,Not Available,0
40.562111,-74.113336,Not Available,Not Available,10306,Not Available,0,0,Not Available,Not Available,1969,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,676.5,Not Available,Not Available,Not Available,Not Available,0,Not Available,1899725.9,Not Available,Not Available,Not Available,Not Available,Not Available,245,16462381.9,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T11:04:49.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,521.9
40.707725,-74.011632,Not Available,Not Available,10005,20039250,0,Not Available,56,Not Available,1932,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,2.20549,542,Not Available,Not Available,1558.7,51994250,Not Available,Not Available,Not Available,0,Not Available,13420533.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,48355699.6,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-04-21T13:45:25.000,1039910.45,90,Not Available,5271687.2,2013-12-31T00:00:00.000,Not Available,0
40.855513,-73.93324,Not Available,Not Available,10040,Not Available,0,444.180941,Not Available,Not Available,1928,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13.9,Not Available,Not Available,4908.7,Not Available,0,Not Available,168471.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,532410.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-14T11:44:17.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,0.2
40.734676,-74.009483,Not Available,Not Available,10014,Not Available,0,0,Not Available,Not Available,1961,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,297.8,Not Available,Not Available,Not Available,Not Available,0,Not Available,1609818.5,Not Available,Not Available,Not Available,Not Available,Not Available,75,8295073.5,6,Natural Gas,Not Available,Not Available,Not Available,Not Available,2014-04-30T13:51:25.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,166.8
40.746817,-73.826155,Not Available,Not Available,11355,175517298.3,0,0,56,Not Available,1978,Not Available,0.7436,Not Available,Not Available,Not Available,Not Available,Queens,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11044.8,336806655.5,Not Available,Not Available,Not Available,0,Not Available,70451072.5,Not Available,Not Available,0,Not Available,Not Available,Not Available,325086299,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2014-04-22T19:14:18.000,0,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,Not Available,5312.8
40.758715,-73.974956,Not Available,Not Available,10022,24999828.9,0,Not Available,36,Not Available,1953,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,1.15311,315,Not Available,Not Available,2417.6,64796625.3,Not Available,Not Available,Not Available,0,Not Available,20771928.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,75745672.2,Not Available,Not Available,Not Available,Not Available,Not Available,No,2014-04-30T11:37:32.000,0,Not Available,Not Available,8217701.2,2013-12-31T00:00:00.000,Not Available,0
40.766197,-73.987636,Not Available,Not Available,10019,Not Available,Not Available,60832.15058,Not Available,Not Available,1993,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,New York,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4985.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,101,Not Available,11,Natural Gas,The meter <b>Line D - 2D</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; The most recent bill for one or more meters in use in the selected timeframe is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-04-23T12:36:04.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,256.4
40.620064,-74.092791,Not Available,Not Available,10301,Not Available,0,0,Not Available,Not Available,1951,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,139.6,Not Available,Not Available,Not Available,Not Available,0,Not Available,146325.3,Not Available,Not Available,Not Available,Not Available,Not Available,53,3018283,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,2014-05-01T11:04:49.000,Not Available,Not Available,Not Available,Not Available,2013-12-31T00:00:00.000,100,127.7
