project_name,construction_permit_id,impacted_parks_division_s,multisite_project,construction_permit_special_conditions,construction_permit_request_received_date,final_public_design_commission_approval,public_design_commission_approval_required,forestry_permit_status,impacted_park_id_s,latest_site_visit,park_impact_type
PS 46Q School Expansion/ Tall Oak Playground,Q317.20201113,Borough Operations;#Borough Forestry;#Capital Projects;#Planning and Parklands,Single Site,,2020-03-09T00:00:00.000,,,Pending,Q317;,,Loss of Property;#Park Improvement
Pole Replacement at Broad Channel American Park,Q467.20180227,Natural Resources Group (NRG);#Borough Operations,Single Site,,2018-02-08T00:00:00.000,,,,Q467;,,Excavation;#Partial Park Closure
102nd St Field House Renovation,M071.20200228,Conservancy,Single Site,,2020-02-26T00:00:00.000,,,Not Required,M071;,,Park Improvement
Bronx/Manhattan Sidewalks,CNYG.20170404,Borough Operations;#Borough Forestry,Multi Borough,,2017-03-07T00:00:00.000,,,Approved,M132;,,Sidewalk Closure;#Park Improvement
Installation of Grove Trees on the High Line  High Line (30th Street Between 10th and 11th Ave.),M360.20201013,Borough Operations;#Other,Single Site,,2020-09-28T00:00:00.000,,,,M360;,,Other
Inspection of Concrete Gravity Wall and Investigation of Fireboat House,M144.20200602,Borough Operations;#Capital Projects,Single Site,,2020-06-02T00:00:00.000,,,Not Required,M144;,,Staging
Alfred E. Smith HS/ Governor Smith Playground,X210.20190107,Borough Operations;#Borough Forestry,Single Site,,2018-10-31T00:00:00.000,,,Approved,X210;,,Staging
AMNH Hall of Gems and Minerals Renovation,M053.20180803,Borough Forestry;#Borough Operations,Single Site,,2018-07-20T00:00:00.000,,,Approved,M053;,2018-08-02T00:00:00.000,
Sparrow lawn fence installation,M052.20170206,,Single Site,,,,,,M052;,,
Borough Based Jail Queens Trunk Water Main,,,Single Site,,,,,,,,No Parkland Impact
Sanitary and Storm Sewer in Manee Avenue,,Borough Forestry,Single Site,,,,,,,,No Parkland Impact
Lower East Side Playground Reconstruction,M321.20161114,Borough Operations,Single Site,,,,,,M321;,,Park Improvement
"Naughton Avenue Outfall - New Creek West Branch Bluebelt (Kiswick St, etc.)",R046.20170426,,Multi Site,,,,,,R026;,,
NYPD Rodman's Neck Firearms and Tactics Facility,X039.E.20181018,Borough Forestry;#Borough Operations;#Natural Resources Group (NRG),Single Site,,2018-09-24T00:00:00.000,,,,X039;,,Other
"Regional Drainage Cleaning on Bridges, Highway, and Cleaning of Vortechs All Counties in NYC",,,Multi Borough,,,,,,,,
Citywide Annual Emergency Permit,CNYG.20161123,Borough Operations;#Legal/MOUs,Multi Borough,,2016-10-31T00:00:00.000,,,Not Required,,,Other
Renovations and Improvements to Duarte Square,,Other,Single Site,,,,,,M279;,,Park Improvement
Pier 42 Seawall and Open Space Reconstruction (ESCR),M369.20201118,Borough Operations;#Borough Forestry;#Capital Projects,Single Site,"Permittee shall install a double swing gate just west of the Corlears Hook Ferry entrance, to
prevent an unsafe park condition along the esplanade between the ferry landing and the
fenced-off construction area.
ii. All vehicles and equipment entering, exiting, and traveling within the limits of the park shall
adhere to a max speed limit of 5MPH. Additionally, flaggers shall accompany all
construction vehicles entering, exiting, and traveling within the limits of the park.
iii. All vehicles associated with the seawall reconstruction scope of work shall enter the park via
the Montgomery St entrance.
iv. Permittee shall obtain a Tree Work Permit prior to the removal of any trees or commencing
any site work within the dripline of existing trees.",2020-10-28T00:00:00.000,,,Pending,M369;,,Staging;#Excavation;#Park Improvement
Install Frank Stella Sculpture at NY Aquarium,,Borough Operations;#Arts & Antiquities,Single Site,,,,Yes,,B080;,,Staging;#Excavation
Waterfront demolition and platform installation at Newton Barage Park,B135.20161025,,Single Site,,,,,,B135;,,
New System Interconnect Valve  Fronting Innis Park,,,Single Site,,,,,,B095;,,No Parkland Impact
Pumping Stations Storm Mitigation Loan Program,,Borough Forestry,Multi Borough,,,,,Not Required,,,No Parkland Impact
Group C Substation Remediation - Shea Substation,,CPI Site; Capital Projects;#Environmental Remediation;#Environmental Review (EIS/EAS);#Central Forestry;#Borough Forestry,Single Site,,,,,,Q099;,,Excavation;#Other
Spectrum Fiber Optic Service Upgrade to Chelsea Health Center,M011.20181109,Borough Operations,Single Site,"Permittee shall take care to ensure the existing fence and curbs are not impacted by the Work.
All sidewalk flags impacted by the Work shall be replaced in kind. Permittee shall remove existing hexblock pavers prior to the commencement of Work, and store the pavers in a secure location during the duration of Work. Such pavers shall be reinstalled upon the completion of Work. Damaged pavers shall be replaced in kind. Spectrum shall secure the area of Work with barricades while the Work is in progress. 
All planted areas disturbed will be replaced in kind upon the completion of Work. Permittee must notify Parks of planned activities on Saturdays and receive written approval prior to commencing such activities.",2018-10-26T00:00:00.000,,,Approved,M011;,,Excavation
"Above Grade Facility Hardening of Fan Plant 7207, Joralemon tunnel Fan Plant",M005.20180219,Borough Operations;#Borough Forestry;#Conservancy,Single Site,,2018-01-22T00:00:00.000,,No,,M005;,2018-01-09T00:00:00.000,Staging;#Excavation
Fourth Avenue Safety Improvements Phase A from 8th Street to 64th Street,,Borough Forestry,Single Site,,,,,,,,
Empire State Trail,CNYG.20201001,Borough Operations;#Central Forestry;#Planning and Parklands,Multi Borough,,2020-09-21T00:00:00.000,,,,X092;M071;M072;M028;,,Park Improvement
citywide installation of wireless communications equipment on existing street poles,CNYG.20170125,Borough Operations,Multi Borough,"i.	Disturbed park areas including sidewalks, pedestrian paths, bike paths, planted areas, etc. must be replaced in kind. 
ii.	Decorative pavers must be restored to original state. Any damaged or lost pavers must be replaced to match. 
iii.	Sidewalk trenching within 50 feet of a tree requires approval from Forestry.
iv.	Equipment installations that require tree pruning also require Forestry Permits. 
v.	Equipment should be painted to match pole aesthetics.
vi.	Construction activities should not restrict park access.
vii.	Safe work zones should be established as necessary to protect users from construction.",2016-11-30T00:00:00.000,,,,M017;,,Excavation;#Sidewalk Closure
DEP in-house flooding mitigation,,Borough Operations;#Natural Resources Group (NRG),Single Site,,,,,,R149;,,Excavation;#Other
"New 20'"" Sub-Aqueous Water Mains to City Island incl Sewer and Outfall Work","X039.20190329, X039.S.20191209, X039.20200828",Natural Resources Group (NRG);#Borough Forestry;#Central Forestry;#Borough Operations;#Environmental Review (EIS/EAS),Multi Site,"X039.20200828:  i.	With the execution of this document permit X039.20190329 is revoked.
ii.	This permit covers expansion of the work area to allow for pipe laydown, welding, and pulling, (from Phase 1 to Phase 2 fencing plan), and the subsequent reduction of the work area upon completion of the work (from Phase 2 to Phase 3 fencing plan.)
iii.	The bike path on the south side of City Island Road must remain open through Labor Day 2020, Monday, September 7, 2020, and be reopened by the end of Friday, May 28, 2021, the start of Memorial Day weekend.
iv.	Reopening of the bike path is subject to Parks approval of the restoration of the bike path and adjacent work area.
v.	Permission to work on Saturdays and Sundays is granted.

X039.20190329:  i.	Site Restoration. Drawing C3 is amended as outlined below, and called out in detail in Attachment B:
a)	The area indicated for seeding (stipple-hatch) is expanded to cover the full Permitted Premises. 
b)	The table titled SEEDING SCHEDULE is deleted. “Lawn seed mix” is not to be used in this natural area. Cover crop and final perennial seed mixes to be used instead are specified in “BROADCAST SEEDING OF NATIVE SEED & COVER CROP” specification in Attachment B.
c)	Permittee is required to notify NYC Parks as seedbed preparation commences, prior to decompaction work and no later than six weeks prior to the intended seeding date. Seedbed shall be prepared through the following work, with quality checks by Parks:
(1)	Decompact all unpaved areas of Permitted Premises (DECOMPACTION OF DISTURBED AND COMPACTED SOIL). Notify NYC Parks to verify and accept decompaction work.
(2)	Submit soil tests for soil qualities specified in SOIL FOR PLANTING AREA to Engineer and NYC Parks for acceptance or amendment if advised. 
(3)	Amend or add SOIL FOR PLANTING AREA if directed. Notify NYC Parks to verify and accept fine-grading.
(4)	Place and establish seed as specified by BROADCAST SEEDING OF NATIVE SEED & COVER CROP
d)	Limit of work barriers may be removed only following permission of NYC Parks. Parks may require that barriers remain in place until acceptance of stand of vegetation.",2020-08-19T00:00:00.000,,No,Approved,X039;,2019-04-03T00:00:00.000,Staging;#Excavation;#Partial Park Closure
PS 127Q Overhead Protection,Q-27-14NF,Borough Operations,Single Site,,,,,,Q373;,,Other
Reconstruction of Valves at the 37th Ave Pumping Station,,Borough Operations,Single Site,,,,No,,QZ1039;,2019-10-21T00:00:00.000,Partial Park Closure;#Sidewalk Closure
Queensboro Bridge Feeder Repair,Q104.20170512,Capital Projects;#Borough Operations,Single Site,"Parks is letting contract Q104-114M with estimated start date of Nov 1 2017 to reconstruct the disused park building near the Permitted Premises. Permittee is advised that an access route adjustment, to be approved by Parks, may be required this autumn. Permittee is being provided with Q104-114M's access and site plan for coordination use.",2017-05-01T00:00:00.000,,,Not Required,Q104;,2017-03-23T00:00:00.000,Access-Only
MCU Parking Lot Staging for Adjacent Development,B336.20190206,Borough Operations;#Revenue/Concession,Single Site,"i.	The fence cannot obstruct or take up parking spaces
ii.	The exit out of the parking lot along the west curb line (at W 20th St) must be maintained
iii.	Upon permit expiration, the property must either be restored in-kind with chain link fence or to a final treatment approved by the Borough
iv.	Permit expires when the land is no longer under Parks’ jurisdiction or when the future 20th Street construction begins",2018-11-30T00:00:00.000,,,Not Required,B336;,2018-12-17T00:00:00.000,Staging;#Sidewalk Closure
Multi-Site Pedestrian Safety Phase 4 - Location 17,RZ185.20190620,Borough Operations;#Borough Horticulture;#Borough Forestry,Single Site,,2019-06-20T00:00:00.000,,,,RZ25;RZ184;,2019-08-14T00:00:00.000,Excavation;#Sidewalk Closure
"ADA Upgrade at Chambers Street Station, Nassau Loop Line (BMT), Borough of Manhattan",M030.20190415,Borough Operations,Single Site,Loud work not permitted during events at Thomas Paine Park.,2019-03-14T00:00:00.000,,No,,M030;,,Excavation
Right-of-Way Green Infrastructure - Jamaica Bay CSO Tributary Areas - Outfall 26W-004 & 26W-005,,Borough Operations;#Borough Horticulture;#Central Forestry,Multi Site,,,,,,B491;B417;B453;B469;B163;,,Sidewalk Closure;#Park Improvement
WSFSSH Development at Anibal Aviles - Demolition,M200A.20180710,Borough Operations;#Borough Forestry;#Central Forestry;#Capital Projects;#Planning and Parklands,Single Site,Demolition Phase Only,2018-02-28T00:00:00.000,,,Approved,M200A;,2018-03-27T00:00:00.000,Staging;#Excavation;#Partial Park Closure;#Park Improvement
Castle Hill Steam Replacement in Randall Playground,X203.20180606,Borough Operations,Single Site,,2018-02-09T00:00:00.000,,,,X203;,,
Neptune Playground,B331.20190320,Borough Operations;#Green Infrastructure,Single Site,Permittee will close the gates to the park (requested by the borough for all the sites where that is an option).,,,,,B331;,,Other
Unity Community Garden - 59 West 128th Street – Overhead protection,,Greenthumb,Single Site,,2018-03-20T00:00:00.000,,,,M298;,,Staging
"Priority Grid Group 1 Reconstruction of Multiple Locations, South East Queens, including sewer, water main, street lighting, and traffic work.",,Borough Forestry;#Capital Projects,Single Site,,,,,,Q106;,,No Parkland Impact
Construction Compound for Met Museum Skylight Replacement,M010.20180807; M010.20200706,Borough Operations;#Borough Forestry;#Conservancy;#Legal/MOUs;#Environmental Review (EIS/EAS),Single Site,,2018-07-12T00:00:00.000,,,Approved,M010;,2018-08-01T00:00:00.000,Staging;#Partial Park Closure
National Grid SI Vegetation Clearing,CNYG.20190926,Borough Forestry;#Borough Operations,Multi Site,,2019-09-08T00:00:00.000,,,Approved,R143;R112;R017;R120;R172;R013;,,Access-Only
Project No. PW348-61 - T15 Removal and Replacement of Heating oil tank systems at Chrystie & Stanton Street,,5-Boro Project,Single Site,,2017-03-22T00:00:00.000,,,,M105;,,
HBCR01C - Component Rehab of 9 Bridges - Douglaston Parkway Bridge over Cross Island Parkway,Q-65-15NF,Other;#Borough Operations,Single Site,,,,,,Q135;,2017-06-12T00:00:00.000,Staging
N 5th St Pier Repair,B536.20190318,Borough Operations;#Planning and Parklands,Single Site,,2018-11-27T00:00:00.000,,,Not Required,B536;,2018-12-10T00:00:00.000,Partial Park Closure
"Simple Pedestrian Ramp Upgrades, Borough of Queens and the Bronx",,,Single Site,,,,,,,,Sidewalk Closure
ER Bikeway Test Pits South of Manhattan Bridge,M391.E.20200724,Borough Operations,Single Site,,2020-07-15T00:00:00.000,,,,M391;,,Excavation
"The Extension of High Level Storm Sewers, Combined Sewers and Appurtenances on 130th Road",QG.20190424,Borough Operations;#Borough Forestry;#Natural Resources Group (NRG),Single Site,"QG.S.20190424 is an early-issued ""staging"" permit allowing laydown onsite, and has minor special conditions",2019-01-22T00:00:00.000,,No,Approved,Q027;Q005;,2019-04-03T00:00:00.000,Staging;#Excavation;#Park Improvement;#Sidewalk Closure
Hudson Boulevard Park – 7 Line Tunnel,M399.20180522,Borough Operations;#Borough Forestry;#Conservancy;#Planning and Parklands,Single Site,,2018-04-21T00:00:00.000,,No,,M399;,,Excavation;#Sidewalk Closure
PS 232Q Staging Area for School Basement Renovation,,Borough Operations;#Borough Forestry,Single Site,,,,,,Q408;,,Staging
Coney Island Hospital Interim Flood Protection,B065.20160928,Borough Operations;#Natural Resources Group (NRG),Single Site,,2016-09-12T00:00:00.000,,,Pending,B065;,,Other
Restore Historic Walls - Castle Clinton National Monument,M005.20201210,Borough Forestry;#Conservancy,Single Site,,2020-09-25T00:00:00.000,,,,M005;,2019-11-13T00:00:00.000,Access-Only;#Staging
Dean Playground Basketball Court Refurb,B232.20180612,Borough Operations,Single Site,,2018-06-12T00:00:00.000,,,Not Required,B232;,2018-06-08T00:00:00.000,Partial Park Closure;#Park Improvement
"Water Mains in South Conduit Avenue, etc.",,,Single Site,,,,,,,,No Parkland Impact
Monitoring Well Access for Shell Oil,,CDOT Arterial Maintenance,Single Site,,,,,,Q135;,,Access-Only
Controlled Access Zone for 425 Grand Concourse,X106.20191218,Borough Operations;#Borough Forestry;#Capital Projects;#Planning and Parklands,Single Site,,2019-12-09T00:00:00.000,,,Approved,X106;,,Staging;#Park Improvement;#Partial Park Closure
Truck Intrusion Warning System at Hutchinson River Parkway and Grand Central Parkway (Height Sensors),X-35-14NF,Borough Forestry,Multi Borough,,,,,,X101;Q084A;,,Staging
Coney Island Boardwalk Telecomm Upgrade,B169.20200123,Borough Operations;#Borough Forestry,Single Site,,2019-11-25T00:00:00.000,,,Approved,B169;,,Excavation
Bridge Maintenance Citywide,,CDOT Arterial Maintenance,Single Site,,,,,,Q084;,,Other
Complex Pedestrian Ramps Upgrades Landmark Boroughs of Brooklyn and Manhattan,,,Multi Site,,,,,,,,
Rosedale Area Street Reconstruction Phase 2,,,Single Site,,,,,,,,No Parkland Impact
IS 323 (Scholars Academy) Alley Concrete Replacement,Q389.20170609,Borough Operations,Single Site,,2017-05-30T00:00:00.000,,,,Q389;,,Access-Only
Hook Creek Blvd - Extension and reconstruction of combined sewers and the construction of high level storm sewers and appurtenances,Q-73-15NF,Natural Resources Group (NRG);#Borough Forestry;#Borough Operations,Multi Site,,,,,Approved,Q027;Q096C;,2018-03-06T00:00:00.000,Excavation;#Staging
Shaft 16A Chamber,,Borough Forestry;#Central Forestry,Single Site,,,,,,,,No Parkland Impact
Reconstruction of Victory Blvd & Clove Road,,Borough Forestry,Single Site,,,,,,,,Sidewalk Closure;#No Parkland Impact
Reconstruction of Empire Boulevard,BG.20200406,Borough Operations;#Borough Horticulture;#Borough Forestry;#Central Forestry,Multi Site,contractor to provide two weeks notice of start of work at BZ19 so Borough Horticulture can salvage plants.,2020-02-20T00:00:00.000,,,Approved,BZ23;BZ19;BZ20;BZ135;,,Excavation;#Partial Park Closure;#Sidewalk Closure;#Staging
Flag and Priority Repairs at RFK Facility,Q-32-16NF,Borough Operations,Multi Site,"DPR to be notified prior to any full or partial closures of the skate park, if deemed necessary in the field. 

No operations permited int he Astoria Park parking lot permitted between June 16 and June 28, 2016.",2016-05-23T00:00:00.000,,,Not Required,Q004;,,Other
Waterside Protection and Pier Rehabilitation at the Harlem River Lift Bridge,M039.20201119,,Single Site,"i.	Access to Harlem River Park is only permitted for service of portable toilets and fuel deliver to offsite staging, up to two trucks per week.  
ii.	Trucks must be accompanied by a flagger. 
iii.	Access is permitted to paved areas of the park only. No access is granted to landscaped areas or lawns, and operations are not permitted within 50’ of city owned trees. 
iv.	No staging or other use of parkland or parks owned assets is permitted under this permit without written amendment.",2020-11-11T00:00:00.000,,,,M039;,,
Install Fence for Inwood Canoe Club,M028.20200310,Conservancy;#Borough Operations;#Other,Single Site,,2020-03-04T00:00:00.000,,,Not Required,M028;,,Staging
Queens Theater in the Park Original Circular Lobby Reconstruction,Q099.20170721,Borough Operations,Single Site,,,,,,Q099;,,Staging
"Storm, Sanitary, Combined Sewers & Water Mains in Fresh Creek Basin Area – Phase 1A","B384.20160811, B384.20201005",Borough Operations;#Borough Forestry;#Natural Resources Group (NRG),Single Site,,,,,,B384;,2020-09-02T00:00:00.000,Staging;#Excavation;#Partial Park Closure
Golfers Underpass at Mosholu Parkway North of Major Deegan Expressway,,Borough Operations;#Revenue/Concession,Single Site,,,,,,X092;,,Staging
Tennis Courts Restoration - Orchard Beach,X039.20170628,,Single Site,,,,,,X039;,,
Right-of-Way Green Infrastructure in Flushing Creek CSO Tributary Area TI-010,,Borough Operations;#Central Forestry;#Green Infrastructure,Multi Site,,,,,,Q024;Q300;Q099;,,Sidewalk Closure
McGorlick Park Improvements Sponsored by the Greenpoint Community Environmental Fund,B114.20170426,Other,Single Site,"Permittee to avoid work during special events in the Park that would interfere with said events, including, but not limited to the regular Sunday Farmers Market and the 5/13/17 and 6/3/17 movie nights.",2017-03-07T00:00:00.000,,No,,B114;,,Park Improvement
2847 Frederick Douglas Blvd – Repairs to building façade,M377.20210318,Greenthumb,Single Site,"i.	Contractor will clean-up and remedy community garden to existing conditions, restore garden to its former state, and remove all the construction debris. 
ii.	Any impact to community garden soil must be remedied or replaced with soil according to GreenThumb specifications. 
iii.	No gaps or egresses may be allowed along the property line. If gaps or egresses are left as a result of construction along the property they must be fenced off according to GreenThumb fence specifications. 
iv.	Any structure, rain water harvesting system, planting beds, composting bins and sheds that has to be moved by contractor must be placed back to its original position and any damage is the responsibility of the contractor. 
v.	All damaged plants, bush and trees must be replaced with its equivalent. 
vi.	All impacts to shrubs or plants must be replaced in kind or for their full monetary value. 
vii.	All impacts to garden pathways and topsoil must be restored or remedied according to Parks specifications.  
viii.	No more than 5’ft for interior scaffolding and fabric mesh must be used to counter construction dust and debris. -Contractor will not store building materials and supplies inside the garden. -Contractor will not keep port-o-san/port-o-potty inside garden.",2021-02-03T00:00:00.000,,,,M377;,,Other
Multi-site Trench Restoration,,Borough Operations,Multi Site,,,,,,B115;BZ273;B245;BZ238;,,Sidewalk Closure
116 JEFFERSON STREET - Waterproofing,B577.20180503,Greenthumb,Single Site,"*i.	Bring back the garden to it's former state, remove the bricks and fill in the trench with soil ( to Green thumb Specs ), 


**ii.	Remove the plants along the trench line and put into containers
***iii.	Replace the water barrel platform and replace any damaged plants ( from before photos )  fix the whole in the back fence (where contractor broke in to dig the trench ) ****
iv.	The material that the contractor uses to fill the trench should have the following a French Drain of PVC pipe with water draining away from garden and building, topped with 2-3"" of gravel, and then topped with topsoil to bring the trench to grade.",2018-07-23T00:00:00.000,,,,B577;,2018-06-13T00:00:00.000,
PS 231Q MPPA Reconstruction,Q406.20180809,Borough Operations;#Borough Forestry,Single Site,"Permittee shall protect existing asphalt surfaces from damage during mobilization, staging, and
demobilization of all construction-related materials and equipment, including dumpsters and
storage containers. Permittee is responsible to replace, in kind, any park assets damaged in the course of carrying
out the Work.
Permittee shall ensure the work area is kept secure from unauthorized public entry during the
term of this Permit.",2018-08-08T00:00:00.000,,,Approved,Q406;,,Park Improvement
Con Ed Soundview Park Headhouse Reconstruction,X118.20200212,Borough Operations;#Borough Forestry,Single Site,,2019-08-26T00:00:00.000,,,,X118;,,Excavation
PS 354Q - North Rochdale Playground,,Borough Operations;#Borough Forestry,Single Site,,,,,,,,Staging
Replacement of Six (6) Traction Elevators at 181st and 190th Street Stations,M029.20210422,Borough Operations;#Borough Forestry,Single Site,,2021-03-25T00:00:00.000,,,,M029;,2021-03-16T00:00:00.000,Staging
Con Ed Test Pits for NYCEDC Pier 42 Utility Project,M144.20180424,Borough Operations,Single Site,,2018-02-22T00:00:00.000,,,,M144;,,Excavation;#Sidewalk Closure
Phase 2B Construction of HLSS and Combined Sewers and Water Work in Fresh Creek Basin Area,,Borough Forestry;#Environmental Review (EIS/EAS),Single Site,,,,,,,,No Parkland Impact
Jackson Forest Community Garden - Install paved pathway in the Jackson Forest Community Garden,X319.20190930,Greenthumb,Single Site,,2019-09-10T00:00:00.000,,,,X319;,,
Signage installation at Cross Island Parkway,Q135.20181113,Borough Operations;#Capital Projects,Single Site,,,,No,,Q135;,2018-11-02T00:00:00.000,Access-Only
Brady's Pond Park Turbidity Curtain Removal,R075G.20170619,Borough Operations;#Environmental Remediation,Single Site,i.	Vehicular Access Prohibited. Vehicles and driven machinery may not enter the Permitted Permises.,2017-06-02T00:00:00.000,,,Not Required,R075G;,2017-10-11T00:00:00.000,Access-Only;#Other
Subsurface Geotechnical Investigations,QG.20190213,Green Infrastructure,Multi Site,,2019-02-04T00:00:00.000,,,,0;,,Other
Terrace Playground (PS 35R),,,Single Site,,,,,,R069;,,
Safety Improvements on Grand Central Parkway Between Francis Lewis Blvd and 188th Street,QG.20191217,CDOT Arterial Maintenance;#Borough Forestry;#Natural Resources Group (NRG);#Legal/MOUs,Multi Site,,,,,Not Received,Q021;Q084;,2019-11-20T00:00:00.000,Other;#Staging;#Excavation
JFK Lead-In Light Pole Extensions - Lefferts Blvd,Q096B.20190903,Borough Operations;#Borough Forestry;#CDOT Arterial Maintenance,Single Site,,,,,Approved,Q096B;Q096;,2019-11-18T00:00:00.000,Staging;#Other;#Access-Only;#Sidewalk Closure
Rehabilitation of 678I (SB) to BCIP (EB) over Access Road 678I,Q135.20191225,Borough Forestry;#CDOT Arterial Maintenance,Single Site,,2019-12-19T00:00:00.000,,No,Approved,Q135;,,Access-Only
Protective Coating of 8 Bridges in Queens - Roosevelt Avenue over Shea Road.,Q084A.20170920,Borough Operations;#Borough Horticulture;#Borough Forestry,Single Site,,2017-09-19T00:00:00.000,,,,Q084A;Q099;,2017-10-24T00:00:00.000,Staging
Con Ed Manhole Repair for Service Box Enlargement beneath RFK,Q004.20200803,Borough Operations,Single Site,"In the interest of public safety, Permittee shall utilize pedestrian barriers around the work area.
Permittee shall utilize flaggers for all vehicles and equipment traveling within the park and along the sidewalk adjacent to park entrances.
All vehicles and equipment traveling within the park should remain on asphalt paths at all times, have hazard lights on, and travel no greater than 5 MPH at any time. 
Upon completion of Work, Permittee shall restore the asphalt path to the satisfaction of Parks.",2020-08-03T00:00:00.000,,,,Q004;,,Excavation
Linden Park Restoration of Tennis Courts,B214.20160816,,Single Site,Sump must be a minimum of 2ft -6in. Rebar cover is a minimum of 2 inches.,,,,,B214;,,
Hunts Point Interstate Access Improvement - Phase I,XG.20200109,Borough Operations;#Borough Forestry;#Central Forestry;#Conservancy;#Environmental Review (EIS/EAS);#ADA Accessibility;#Planning and Parklands;#Other;#Environmental Remediation;#Capital Projects,Multi Site,"i.	Form of Notice of work: A minimum of a two-week advance schedule of operations shall be provided to interagency@parks.nyc.gov and kept current. The schedule shall clearly designate operations that are within Concrete Plant Park and Garrison Park.
ii.	Unbuilt Parcel, Limits Do Not Apply: None of the conditions following within this section apply to Block 2759 Lot 160, which is an unbuilt parcel intended for transfer to State ownership, or already so transferred.
iii.	Within Concrete Plant Park, all lands east of the Amtrak and CSX rail lines, the following conditions apply:
a)	Between December 1st and April 15th, access and work are permitted all days of the week. 
b)	Between April 16th and November 30th, access and work are permitted Monday through Friday only.
c)	Vehicles operated within Concrete Plant Park must be both below gross vehicle weight of 36,000 lbs and FHWA Vehicle Category Classification 2, 3, or 5. The following limited exceptions to this restriction will apply:
(1)	Upon advance notice in the two-week advance schedule: Parks grants access before 8 am on weekdays to larger-class vehicles.
(2)	Following notice in the two-week advance schedule that the Permittee is commencing construction of permanent improvements to Concrete Plant Park: this vehicular weight and size limitation will be lifted.
d)	Exceptions to these restrictions will be at Parks’ sole discretion, following advance notice and review of the particulars of each case. Any grant of exception will be separate and in writing.
e)	Concrete Tower Stabilization Work by Parks. Parks intends to advance capital contract# CNYG-1617M, “Citywide Building and Structure Reconstruction and Stabilization,” which will close substantial areas of the park to general access during the Construction Term. As noted in 6A, coordination with this work will be required.",2019-12-19T00:00:00.000,2020-04-20T00:00:00.000,Yes,Approved,X305;X306;,2020-04-03T00:00:00.000,Total Park Closure;#Park Improvement;#Loss of Property;#Excavation
PS 44X Overhead Protection Area,X148H.20170928,Borough Operations;#Borough Forestry,Single Site,,2017-10-02T00:00:00.000,,,,X148H;,,Other
Jackson Pond Comfort Station - NYSDEC Spill Number 0904308,Q105.20170416,Borough Operations,Single Site,"i.	Occupying, using or in any way affecting Parks premises, systems or resources other than that within the Permitted Premises,
ii.	Performing any activities within the Permitted Premises other than those described in  Attachment B, 
iii.	Performing any Work or other activities pursuant to the Permit not supported by industry standards, best practices or applicable construction or material codes, and
iv.	Using or connecting to any of Parks’ utilities, including but not limited to water and electric service. Permittee must independently source its own utility service.",2018-03-21T00:00:00.000,,,,Q105;,,
Onsite GI at Park Slope Playground - Gowanus Canal CSO Tributary Area Outfall OH-007,B320.20180705,Borough Operations;#Borough Forestry;#Green Infrastructure,Single Site,"i.	Construction work that will generate substantial noise and dust must be completed by August 31, 2018, to avoid interference with P.S. 282’s use of Permitted Premises as a schoolyard.
ii.	Tree planting, painting, and similar non-invasive, low-noise construction activities may occur after August 31, 2018.
iii.	Due to a pre-existing special events permit for a basketball tournament during the summer months, there shall be no impacts to the basketball courts by the Permittee.",2018-06-19T00:00:00.000,,,Approved,B320;,2018-06-22T00:00:00.000,Staging;#Partial Park Closure;#Park Improvement;#Excavation
HED569 Trunk and Distribution Water Mains & Combined Sewers in Bainbridge Ave,X092.20201016,Borough Operations;#Borough Forestry,Single Site,Attachment B outlines the site protection and restoration requirements.  No work on south side of Shandler Road permitted.,2019-10-22T00:00:00.000,,,,X092;,2018-09-07T00:00:00.000,Staging;#Excavation;#Partial Park Closure;#Park Improvement
FDR South Street Viaduct Painting,,Borough Operations;#Capital Projects,Single Site,,,,,,,,No Parkland Impact
Install New Septic System,M071.20190809,Conservancy;#Borough Operations,Single Site,,2019-08-07T00:00:00.000,,,Not Required,M071;,,Park Improvement
DDC SE830/SANDR02 Utility Relocation,QZ656.20200113,Borough Operations;#Borough Forestry,Single Site,,2020-02-11T00:00:00.000,,,Approved,QZ656;,,Excavation;#Total Park Closure
Fordham Kinsbridge Pedestrian Improvements,,Borough Operations;#Central Forestry;#Borough Forestry,Single Site,,,,,,X005;,,Staging;#Total Park Closure
"Rehabilitation of 72"" circular brick outfall sewer by guniting along Wolcott Street",,,Single Site,,,,,,,,No Parkland Impact
PS 87M/ Tecumseh Playground,M219.20200827,Borough Operations,Single Site,"i. Permittee is not authorized to stage or store materials within the permitted safety zone without prior written consent from NYC Parks.
ii. Apart from mobilization and demobilization of the sidewalk shed, Permittee is not authorized to use the playground for access for equipment, materials or workers without prior written consent from NYC Parks.
iii. Permittee shall ensure the permitted safety zone is kept secure from unauthorized public access throughout the duration of Work.",2020-08-07T00:00:00.000,,,,M219;,,Other
Women's Rights Pioneer Monument,M010.20200805,Borough Operations;#Borough Forestry;#Conservancy;#Arts & Antiquities,Single Site,"Construction permit was NOT issued. Parks Legal determined that Central Park Conservancy would hire contractor, Kelco, directly, which their license agreement permits them to do.",2020-03-20T00:00:00.000,,,Not Required,M010;,2020-01-28T00:00:00.000,
Survey Work at Squibb Park,,Conservancy,Single Site,,,,,,B223F;,,Access-Only
Sherman Creek W201 Substation Storm Hardening,M-18-16NF,Borough Operations;#Borough Forestry,Single Site,also WW10MF16,,,,Approved,MZ467;,2016-10-07T00:00:00.000,Staging;#Partial Park Closure
