telephone,priority1_prog6,selectioncriteria2_prog1,bin,selectioncriteria2_prog8,geappsperseat_prog11,start_time,swdapps_prog6,code_prog10,swdappsperseat_prog13,selectioncriteria6_prog9,swdfilled_prog15,swdfilled_prog11,eligibility_prog2,neighborhood,selectioncriteria2_prog4,selectioncriteria1_prog4,geseats_prog4,geapps_prog14,geapps_prog6,gefilled_prog13,swdfilled_prog2,latitude,admissionsmethod_prog5,gradespan,swdfilled_prog7,selectioncriteria6_prog4,swdapps_prog14,gefilled_prog1,eligibility_prog10,selectioncriteria4_prog7,swdseats_prog13,selectioncriteria1_prog3,swdseats_prog5,eligibility_prog15,champscoed,geappsperseat_prog1,admissionsmethod_prog3,priority3_prog2,swdapps_prog3,name_prog7,selectioncriteria6_prog8,swdappsperseat_prog4,geseats_prog7,name_prog13,champsboys,swdseats_prog1,geapps_prog9,gefilled_prog12,swdseats_prog3,othersports,selectioncriteria4_prog9,geapps_prog3,geappsperseat_prog6,swdappsperseat_prog8,geapps_prog15,end_time,swdfilled_prog5,geseats_prog2,geapps_prog13,code_prog3,selectioncriteria3_prog7,name_prog4,geapps_prog8,admissionsmethod_prog11,mathprof,priority2_prog9,eligibility_prog4,geappsperseat_prog9,geappsperseat_prog7,geapps_prog7
718-831-4000,,4th Grade New York State Math Exam: 22.5%,4178464.0,,,8:00am,,,,,,,Open to students residing in the zone,Floral park,,,,,,,0.0,40.741944,,Gr 6-8,,,,1.0,,,,,,,Volleyball,3.0,,,,,,,,,,12.0,,,,"Baseball, Basketball, Fitness Club, Flag Football, Handball, Soccer, Volleyball",,,,,,2:20pm,,155.0,,,,,,,63.0,,,,,
718-901-3520,,,2005133.0,,,8:20am,,,,,,,,Longwood,,,,,,,,40.815429,,Gr 6-8,,,,0.0,,,,,,,Volleyball,1.0,,,,,,,,,,23.0,,,,,,,,,,2:40pm,,,,,,,,,19.0,,,,,
718-585-2950,,,2004496.0,,,8:15am,,,,,,,,South Bronx,,,,,,,,40.822474,,Gr 6-8,,,,0.0,,,,,,,"Baseball,Soccer,Volleyball",3.0,,,,,,,,,,12.0,,,,,,,,,,3:44pm,,,,,,,,,11.0,,,,,
212-860-6003,,Academic and Personal Behavior Scores,1052433.0,,,8:05am,,,,,,,,East Harlem,,,,,,,,40.79307,,Gr K-8,,,,1.0,,,,,,,,25.0,,,,,,,,,,13.0,,,,Volleyball,,,,,,2:25pm,,,,,,,,,95.0,,,,,
212-740-4900,,,1063928.0,,,8:40am,,,,,,,,Washington Heights,,,,,,,,40.85051,,Gr 6-8,,,,0.0,,,,,,,,4.0,,,,,,,,,,20.0,,,,,,,,,,4pm,,,,,,,,,21.0,,,,,
718-843-2260,,,4253607.0,,,8:10am,,,,,,,,South Ozone Park,,,,,,,,40.675771,,Gr 6-8,,,,0.0,,,,,,,,1.0,,,,,,,,,,49.0,,,,,,,,,,2:30pm,,,,,,,,,22.0,,,,,
212-281-6339,,,1059942.0,,,8:00am,,,,,,,"Open to students currently in an ASD (Autism Spectrum Disorder) Horizon program. If you are not currently an ASD Horizon student and are interested in the program, please contact asdprograms@schools.nyc.gov",Manhattanville,,,,,,,0.0,40.819481,,Gr 6-8,,,,0.0,,,,,,,,1.0,,,,,,,,,,18.0,,,,"Basketball, Dance, Fitness Club, Flag Football, Soccer, Volleyball",,,,,,2:20pm,,,,,,,,,11.0,,,,,
718-456-8218,,,3071024.0,,,8:00am,,,,,,,,Williamsburg,,,,,,,,40.708723,,Gr 6-8,,,,1.0,,,,,,,Flag Football,4.0,,,,,,,,,,19.0,,,,,,,,,,2:20pm,,,,,,,,,24.0,,,,,
718-477-4500,,,5088090.0,,,8:00am,,,,,,,"Open to students currently in an ACES (Academics, Career, and Essential Skills) program. If you are not currently an ACES student and are interested in the program, please contact acesprograms@schools.nyc.gov",Tottenville,,,,,,,,40.508284,,Gr 6-8,,,,,,,,,,,,,Zoned,,73.0,,,,,,,,,,84.0,"Basketball, Bowling, Fitness Club, Flag Football, Golf",,217.0,,,,2:20pm,,,,R034Z,,,,,67.0,,,,,
718-462-5298,,,3327776.0,,,8:20am,,,,,,,,East Flatbush,,,,,,,,40.648215,,Gr PK-8,,,,0.0,,,,,,,Soccer,1.0,,,,,,,,,,22.0,,,,,,,,,,2:39pm,,,,,,,,,21.0,,,,,
718-561-1617,,,2012359.0,,,8:20am,,,,,,,,East Tremont,,,,,,,,40.848472,,Gr 6-8,,,,0.0,,,,,,,,2.0,,,,,,,,,,13.0,,,,,,,,,,5:30pm,,,,,,,,,13.0,,,,,
718-789-4251,,Attendance,3053993.0,,,8:00am,,,,,,,,Bedford Stuyvesant,,,,,,,,40.679097,,Gr 6-8,,,,0.0,,,,,,,,2.0,,,,,,,,,,16.0,,,,Basketball,,,,,,3:20pm,,,,,,,,,8.0,,,,,
718-584-0832,,Attendance,2013307.0,,,8:20am,,,,,,,,Tremont,,,,,,,,40.854515,,Gr 6-12,,,,1.0,,,,,,,,6.0,,,,,,,,,,19.0,,,,"Baseball, Basketball, Flag Football, Step",,,,,,2:50pm,,,,,,,,,20.0,,,,,
718-977-6181,,,4285682.0,,,8:20am,,,,,,,,Springfield Gardens,,,,,,,,40.664608,,Gr 6-8,,,,0.0,,,,,,,"Soccer,Volleyball",2.0,,,,,,,,,,26.0,,,,"Basketball, Cheerleading, Dance, Fitness Club",,,,,,2:40pm,,,,,,,,,11.0,,,,,
212-927-7739,,,1063703.0,,,8:00am,,,,,,,,Washington Heights,,,,,,,,40.848908,,Gr 6-8,,,,0.0,,,,,,,Flag Football,2.0,,,,,,,,,,12.0,,,,Basketball,,,,,,2:20pm,,,,,,,,,12.0,,,,,
718-833-1000,,4th Grade New York State Math Exam: 22.5%,3148031.0,,,8:35am,,,,,,,Open to students residing in the zone,Dyker Heights,,,,,,,0.0,40.62668,,Gr 6-8,,,,1.0,,,,,,,Volleyball,16.0,,,,,,,,,,24.0,,,,"Basketball, Cheerleading, Dance, Fitness Club, Flag Football, Running Club, Softball, Volleyball, Track",,,,,,2:55pm,,292.0,,,,,,,70.0,,,,,
212-535-8610,,Academic and Personal Behavior Scores,1044058.0,,,8:20am,,,,,,,Open to students and residents of District 2,Upper East Side,,,,,,,0.0,40.77205,,Gr 6-8,,,,1.0,,,,,,,,7.0,,,,,,,,,,23.0,,,,"Baseball, Basketball, Cheerleading, Cross Country, Flag Football, Running Club, Soccer, Table Tennis, Tennis, Track and Field, Volleyball, Yoga",,,,,,2:40pm,,236.0,,,,,,,81.0,,,,,
718-845-5942,,,4188567.0,,,8:20am,,,,,,,Open to students residing in the zone,Ozone Park,,,,,,,0.0,40.683858,,Gr 6-8,,,,0.0,,,,,,,Cross Country,,,,,,,,,,,,,,,Dance,,,,,,2:40pm,,459.0,,,,,,,33.0,,,,,
718-326-8261,,4th Grade New York State Math Exam: 22.5%,4092660.0,,,8:00am,,,,,,,Open to continuing 5th grade students and students residing in the zone,Glendale,,,,,,,0.0,40.704406,,Gr K-8,,,,1.0,,,,,,,,9.0,,,,,,,,,,18.0,,,,Various club opportunities,,,,,,2:20pm,,122.0,,,,,,,57.0,,,,,
718-438-3893,,,3125676.0,,,8:45am,,,,,,,,Borough Park,,,,,,,,40.634875,,Gr 6-12,,,,1.0,,,,,,,,4.0,,,,,,,,,,15.0,,,,"Basketball, Soccer, Yoga",,,,,,3:05pm,,,,,,,,,41.0,,,,,
929-362-3300,,,4098406.0,,,TBD,,,,,,,,,,,,,,,,40.785327,,Gr 6-7,,,,1.0,,,,,,,"Cheerleading,Dance,Soccer,Softball",2.0,,,,,,,,,,23.0,,,,"Basketball, Soccer",,,,,,,,,,,,,,,,,,,,
212-860-5831,,,1081340.0,,,8:55am,,,,,,,,East Harlem,,,,,,,,40.791179,,Gr PK-8,,,,0.0,,,,,,,Soccer,3.0,,,,,,,,,,20.0,,,,,,,,,,3:15pm,,,,,,,,,17.0,,,,,
929-600-5777,,,4288640.0,,,8:10am,,,,,,,,Rosedale,,,,,,,,40.659728,,Gr PK-8,,,,0.0,,,,,,,Volleyball,1.0,,,,,,,,,,19.0,,,,"Basketball, Dance, Track and Field, Volleyball",,,,,,2:30pm,,,,,,,,,16.0,,,,,
212-860-5827,,,1083501.0,,,8:00am,,,,,,,,East Harlem,,,,,,,,40.801007,,Gr PK-8,,,,0.0,,,,,,,,2.0,,,,,,,,,,17.0,,,,Basketball,,,,,,2:20pm,,,,,,,,,6.0,,,,,
718-333-7850,,,3186454.0,,,8:30am,,,,,,,,Bath Beach,,,,,,,,40.594291,,Gr 6-12,,,,1.0,,,,,,,,5.0,,,,,,,,,,20.0,,,,Gymnastics,,,,,,2:50pm,,,,,,,,,34.0,,,,,
718-847-0724,,,4094055.0,,,8:00am,,,,,,,,Glendale,,,,,,,,40.705516,,Gr PK-8,,,,0.0,,,,,,,"Flag Football,Volleyball",1.0,,,,,,,,,,21.0,,,,Tennis,,,,,,2:20pm,,,,,,,,,54.0,,,,,
212-475-8086,,,1018014.0,,,8:20am,,,,,,,Open to students and residents of District 2,Flatiron District,,,,,,,0.0,40.738952,,Gr 6-12,,,,,,,,,,,Cross Country,,,,,,,,,,,,,,,"Baseball, Basketball, Cross Country, Fitness Club, Flag Football, Soccer, Softball, Table Tennis, Track and Field, Volleyball",,,,,,3:20pm,,82.0,,,,,,,65.0,,,,,
718-251-4411,,4th Grade New York State Math Exam: 20%,3326732.0,,,8:20am,,,,,,,Open to students and residents of District 18,Canarsie,,,,,,,1.0,40.643278,,Gr 6-8,,,,1.0,,,,,,,,4.0,ASD/ACES Program,,,,,,,,,5.0,,,,,,,,,,2:40pm,,101.0,,K211Y,,,,,18.0,,,,,
718-453-3039,,,3041561.0,,,8:20am,,,,,,,,Ocean Hill,,,,,,,,40.680318,,Gr 6-8,,,,0.0,,,,,,,Flag Football,2.0,,,,,,,,,,11.0,,,,"Baseball, Basketball, Dance, Double Dutch, Flag Football, Kickball, Softball, Volleyball, Wrestling",,,,,,2:40pm,,,,,,,,,22.0,,,,,
718-681-7093,,,2009611.0,,,8:40am,,,,,,,,South Bronx,,,,,,,,40.833511,,Gr 6-8,,,,0.0,,,,,,,,2.0,,,,,,,,,,29.0,,,,"Dance, Track and Field",,,,,,4pm,,,,,,,,,10.0,,,,,
718-829-3254,,Attendance,2077130.0,,,8:20am,,,,,,,Open to students and residents of the Bronx,Throggs Neck,,,,,,,0.0,40.826526,,Gr 6-8,,,,0.0,,,,,,,"Flag Football,Volleyball",2.0,,Then to Bronx students and residents,,,,,,,,14.0,,,,,,,,,,2:40pm,,46.0,,,,,,,20.0,,,,,
718-840-1951,,,3010580.0,,,8:40am,,,,,,,,Sunset Park,,,,,,,,40.651977,,Gr 6-8,,,,1.0,,,,,,,Cross Country,6.0,,,,,,,,,,34.0,,,,"Basketball, Cross Country, Soccer, Track and Field, Volleyball",,,,,,3pm,,,,,,,,,41.0,,,,,
646-672-9020,,,1051434.0,,,8:20am,,,,,,,Open to students and residents of Manhattan,Harlem,,,,,,,0.0,40.802136,,Gr PK-8,,,,,,,,,,,,,,Then to District 3 students and residents,,,,,,,,,,,,"Basketball, Lacrosse, Running Club, Soccer",,,,,,4pm,,47.0,,,,,,,6.0,,,,,
718-727-6201,,,5014184.0,,,8:00am,,,,,,,,Stapleton,,,,,,,,40.620347,,Gr 6-11,,,,1.0,,,,,,,,2.0,,,,,,,,,Flag Football,21.0,,,,,,,,,,2:20pm,,,,,,,,,17.0,,,,,
929-397-2938,,,,,,,,,,,,,,,,,,,,,,40.680655,,Gr 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718-292-2683,,,2004548.0,,,8:20am,,,,,,,"Open to students currently in an ASD (Autism Spectrum Disorder) Horizon program. If you are not currently an ASD Horizon student and are interested in the program, please contact asdprograms@schools.nyc.gov",Melrose,,,,,,,0.0,40.813728,,Gr PK-8,,,,0.0,,,,,,,"Soccer,Volleyball",3.0,,,,,,,,,,20.0,,,,"Baseball, Basketball, Cheerleading, Flag Football, Kickball, Soccer, Softball, Track and Field, Volleyball",,,,,,2:40pm,,,,,,,,,14.0,,,,,
