schooldbn,telephone,priority3_prog3,swdseats_prog8,gefilled_prog5,selectioncriteria2_prog7,selectioncriteria2_prog2,swdfilled_prog10,admissionsmethod_prog13,swdappsperseat_prog7,code_prog7,eligibility_prog7,selectioncriteria5_prog4,swdappsperseat_prog6,code_prog15,geseats_prog12,gefilled_prog2,geseats_prog5,gefilled_prog7,geapps_prog4,admissionsmethod_prog6,gefilled_prog3,activities,selectioncriteria1_prog8,selectioncriteria6_prog1,admissionsmethod_prog8,geseats_prog10,borough,swdappsperseat_prog11,name_prog9,selectioncriteria7_prog1,priority2_prog6,name_prog6,geseats_prog3,priority3_prog1,gefilled_prog11,selectioncriteria3_prog8,priority1_prog3,geappsperseat_prog15,geapps_prog5,geappsperseat_prog12,swdseats_prog10,eligibility_prog14,geseats_prog15,swdfilled_prog4,name_prog12,swdfilled_prog6,council_district,eligibility_prog5,admissionsmethod_prog12,selectioncriteria1_prog2,geseats_prog8,diversityinadmissions,eligibility_prog3,geseats_prog9,selectioncriteria1_prog6,gefilled_prog6,eligibility_prog13,geseats_prog13,selectioncriteria8_prog1
19K452,718-348-2465,,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Dance, Debate, Lego Robotics, Music, Musical Theater, National Junior Honor Society, Photography, Saturday Academy, School Newspaper, Service Learning, Step Team, Student Council, Theater, Visual Arts, Yearbook, Basketball Team",,On-Site Assessment,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,
22K278,718-375-3523,,,,,,,,,,,,,,,1.0,,,,,0.0,"Art, Band, Chorus, Coding, Debate, Drama, Gardening, Lego Robotics, Music, Musical Theater, National Junior Honor Society, Saturday Academy, STEM, Student Council, Technology, Theater, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,46.0,,,,,,"Open to students currently in an ASD (Autism Spectrum Disorder) Nest program. If you are not currently an ASD Nest student and are interested in the program, please contact asdprograms@schools.nyc.gov",,,,,,
15K464,718-832-4300,,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,39.0,,,,,"Students from low-income households, students in temporary housing, and English Language Learners (ELLs) have an admissions priority for 52% of seats at this school.",,,,,,,
29Q259,718-454-4957,,,,,,,,,,,,,,,,,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,
09X232,718-583-7007,,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Coding, Drama, Fitness, Leadership, Lego Robotics, Music, Peer Mediation, Photography, Saturday Academy, STEM, Step Team, Student Council, Talent Show, Technology, Yoga",,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,14.0,,,,,,,,,,,,
27Q043,718-327-5860,,,,,,,,,,,,,,,0.0,,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,
29Q270,718-341-8280,,,,,,,,,,,,,,,,,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,
09X313,718-583-1736,,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,16.0,,,,,,,,,,,,
24Q102,718-446-3308,,,,,,,,,,,,,,,,,,,,,"Art, Chorus, Fitness, Gardening, Green Team, Guitar, Spelling Bee, Student Council, Theater, Yearbook",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,
29Q192,718-479-5540,,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chess, Choir, Dance, Debate, Drama, Fitness, Green Team, Homework Help, Leadership, Lego Robotics, Music, National Junior Honor Society, Photography, Restorative Circles, Robotics, Saturday Academy, School Newspaper, Science Club, Service Learning, STEM, Student Council, Talent Show, Technology, Tutoring, Visual Arts, Yearbook, Champs sports, Y-Scholars YMCA, Male mentoring, Student leaders",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,
22K207,718-645-8667,,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Fitness, Glee Club, Green Team, Photography, Saturday Academy, STEM, Student Council, Theater, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,
29Q268,718-206-3240,,,,,,,,,,,,,,,,,,,,,"Art, Band, Coding, Dance, Debate, Drama, Homework Help, Leadership, Lego Robotics, Music, Musical Theater, National Junior Honor Society, Restorative Circles, Robotics, Spelling Bee, STEM, Student Council, Visual Arts, Yearbook, Chinese Language",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,
06M366,212-304-3320,,,,,,,,,,,,,,,,,,,,,"Dance, Homework Help, Musical Theater, Saturday Academy, Service Learning, Student Council, Yearbook",,,,,MANHATTAN,,,,,,,Then to District 6 students and residents,,,,,,,,,,,,,10.0,,,,,,,,,,,,
25Q294,718-428-0587,,,,,,,,,,,,,,,,,,,,,"Art, Band, Chorus, Creative Writing, Dance, Drama, Fashion, Fitness, Guitar, Music, Musical Theater, National Junior Honor Society, Photography, Student Council, Technology, Theater, Visual Arts, Yearbook",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,
32K384,718-642-4890,,,,,,,,,,,,,,,0.0,,,,,,"Art, Chorus, Coding, Cooking, Dance, Gardening, Guitar, Peer Mediation, Robotics, STEM, Step Team, Student Council, Talent Show, Technology, Video Game Club, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,
25Q194,718-746-0818,,,,,,,,,,,,,,,,,,,,,"Chess, Dance, Debate, Homework Help, Lego Robotics, Math Team, National Junior Honor Society, Student Council",,,,,QUEENS,,,,,,,Then to District 25 students and residents,,,,,,,,,,,,,19.0,,,,,,,,,,,,
31R861,718-697-5250,,,,,,,,,,,,,,,1.0,,,,,,"Art, Band, Book Club, Chorus, Coding, Creative Writing, Debate, Engineering, Gardening, Green Team, Homework Help, Leadership, Lego Robotics, Math Team, Music, National Junior Honor Society, Peer Mediation, Restorative Circles, Robotics, Rock Band, Science Club, Service Learning, STEM, Student Council, Talent Show, Technology, Tutoring, Visual Arts, Yearbook",,,,,STATEN IS,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,
23K392,718-498-2491,,,,,,,,,,,,,,,,,,,,,,,On-Site Assessment,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,
20K192,718-633-3061,,,,,,,,,,,,,,,0.0,,,,,,"Art, Band, Chorus, Coding, Engineering, Fitness, Homework Help, Math Team, Music, Peer Mediation, School Newspaper, Spelling Bee, STEM, Step Team, Student Council, Talent Show, Technology, Tutoring, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,
14K577,718-486-6211,,,,,,,,,,,,,,,,,,,,,"Art, Band, Cooking, Creative Writing, Debate, Homework Help, Leadership, Photography, Robotics, School Newspaper, Science Club, STEM, Student Council",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,
25Q025,718-961-3480,,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chorus, Dance, Debate, Fitness, Music, Saturday Academy, School Newspaper, STEM, Student Council, Talent Show, Visual Arts, Yearbook, Soccer Team",,,,,QUEENS,,,,,,,Then to District 25 students and residents,,,,,,,,,,,,,19.0,,,,,,,,,,,,
18K366,718-688-6400,,,,,,,,,,,,,,,,,,,,,"Chess, Chorus, Dance, Debate, Gardening, Glee Club, Green Team, Homework Help, Leadership, Peer Mediation, Restorative Circles, Service Learning, Student Council, Yearbook, Green Girls, My Brother's Keeper, PBIS Team",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,
25Q499,718-461-7462,,,,,,,,,,,,,,,1.0,,,,,,"Art, Chorus, Coding, Debate, Engineering, Latin Dance, Music, Restorative Circles, Robotics, STEM, Student Council, Technology, Visual Arts, Yearbook",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,
02M126,212-962-2188,,,,,,,,,,,,,,,,,,,,,"Chess, Fitness, Lego Robotics, Saturday Academy, Student Council, Yearbook, Jazz Band",,On-Site Assessment,,,MANHATTAN,,,,,,,Then to District 2 students and residents,,,,,,,,,,,,,1.0,,,,,,,,,,,,
17K722,718-467-4501,,,,,,,,,,,,,,,,,,,,,"Coding, Cooking, Dance, Debate, Engineering, Homework Help, Leadership, Lego Robotics, National Junior Honor Society, Peer Mediation, Robotics, Saturday Academy, Science Olympiad, Spelling Bee, STEM, Student Council, Talent Show, Technology, Theater, Tutoring, Video Game Club, Visual Arts, Yearbook, Medgar Evers College S.T.E.P., Girls Empowerment Movement (GEM), Peer Group Connection Peer Leaders, Achievement Mentoring , National Junior Broadway",,,,,BROOKLYN,,,,,,,Then to District 17 students and residents who sign in at an event,,,,,,,,,,,,,41.0,,,,,,,,,,,,
02M177,917-432-5413,,,,,Academic and Personal Behavior Scores,,,,,,,,,,1.0,,,,,,"Art, Book Club, Coding, Comic Book Club, Cooking, Creative Writing, Debate, Drama, Fashion, Homework Help, Math Team, Peer Mediation, Restorative Circles, Robotics, Service Learning, Student Council, Visual Arts, Yearbook, Yoga",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,5.0,,,4th Grade New York State ELA and Math Exams,,,,,,,,,
17K484,718-467-0306,,,,,,,,,,,,,,,,,,,,,"Dance, Drama, Gardening, Leadership, National Junior Honor Society, Restorative Circles, STEM, Step Team, Student Council, Visual Arts",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,
07X584,718-742-2900,,,,,,,,,,,,,,,0.0,,,,,,"Debate, Music, Saturday Academy, STEM, Student Council, Theater, Visual Arts, Yoga",,,,,BRONX,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,
25Q185,718-445-3232,,,,,,,,,,,,,,,,,,,,,"Art, Band, Chorus, Debate, Drama, Engineering, Green Team, Guitar, Lego Robotics, Music, Musical Theater, National Junior Honor Society, Restorative Circles, School Newspaper, Spelling Bee, Student Council, Technology, Visual Arts, Yearbook, Best Buddies, Broadway Junior, Confucius Classroom, Rising Stars, Silk Road Connect",,,,,QUEENS,,,,,,,Then to District 25 and 28 students and residents,,,,,,,,,,,,,19.0,,,,,,,,,,,,
04M206,212-860-5809,,,,,,,,,,,,,,,0.0,,,,,0.0,"Art, Music, Saturday Academy, Service Learning, Spelling Bee, Technology",,,,,MANHATTAN,,,,,,,Then to District 4 students and residents who sign in at an event,,,,,,,,,,,,,8.0,,,,,,"Open to students currently in an ASD (Autism Spectrum Disorder) Nest program. If you are not currently an ASD Nest student and are interested in the program, please contact asdprograms@schools.nyc.gov",,,,,,
02M312,212-691-6119,,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chess, Chorus, Coding, Comic Book Club, Cooking, Creative Writing, Dance, Debate, Drama, Engineering, Fitness, Gardening, Green Team, Homework Help, Leadership, Lego Robotics, Math Team, Music, Musical Theater, Photography, Robotics, School Newspaper, Science Club, STEM, Student Council, Talent Show, Technology, Theater, Video Game Club, Visual Arts, Yearbook, Yoga",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
27Q146,718-659-3140,,,,,,,,,,,,,,,,,,,,,"Drama, National Junior Honor Society, Student Council, Talent Show, Algebra For All, College Access For All, Urban Advantage Science Program, Computer Science For All",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,
29Q283,718-949-8405,,,,,,,,,,,,,,,,,,,,,"Art, Coding, Creative Writing, Dance, Drama, Homework Help, Leadership, Music, Peer Mediation, Restorative Circles, School Newspaper, STEM, Student Council, Theater, Visual Arts, Yearbook",,,,,QUEENS,,,,,,,Then to Queens students and residents who sign in at an event,,,,,,,,,,,,,31.0,,,,,,,,,,,,
32K562,718-455-0180,,,,,,,,,,,,,,,1.0,,,,,,"Art, Band, Book Club, Coding, Comic Book Club, Cooking, Creative Writing, Dance, Debate, Drama, Gardening, Green Team, Homework Help, Leadership, Lego Robotics, Peer Mediation, Restorative Circles, Robotics, Saturday Academy, School Newspaper, Science Club, Service Learning, Student Council, Technology, Theater, Tutoring, Video Game Club, Peer Mediation, Soccer, Basketball, Volleyball, Cheerleading",,,,,BROOKLYN,,,,,,,Then to District 32 students and residents who sign in at an event,,,,,,,,,,,,,37.0,,,,,,,,,,,,
06M311,212-544-8021,,,,,,,,,,,,,,,,,,,,,"Art, Choir, Chorus, Dance, Drama, Fitness, Music, Musical Theater, Saturday Academy, School Newspaper, STEM, Student Council, Theater, Tutoring, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,
