schooldbn,final_address,district_outdistrict_1,flexschedule,district_otherzone,earlydropoff,play,district_otherzone_1,halfday_offers,nyceec_services_none,borough,programcode1
20KBBB,"405 81st Street, Brooklyn NY 11209",,,,Contact program for time,Outdoor (Onsite) Playspace,,,,Brooklyn,20KBBBFDPK
19KBLB,"851 Liberty Avenue, Brooklyn NY 11208",,,,8am,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,19KBLBFDPK
09X443,"1116 Sheridan Avenue, Bronx NY 10456",,,,,Contact program,x,,,Bronx,09X443FDPK
12X AKD,"1211 Croes Avenue, Bronx NY 10472",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,12XAKDFDPK
12XAKQ,"785 Crotona Park North, Bronx NY 10460",,,,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,12XAKQFDPK
21K100,"2951 West 3rd Street, Brooklyn NY 11224",,,x,Contact program for time,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,21K100FDPK
04MATB,"1724-26 Madison Avenue, Manhattan NY 10029",,,,,Indoor/Outdoor (Offsite) Playspace,,,,Manhattan,04MATBFDPK
20KBIS,"600 McDonald Avenue, Brooklyn NY 11218",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,Contact program to apply.
02MATL,"35 Division Street, Manhattan NY 10002",,,,8am,Outdoor (Onsite) Playspace,,,,Manhattan,02MATLFDPK
07XAHW,"528 East 146th Street, Bronx NY 10455",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,07XAHWFDPK
11XAVX,"1564 St. Peters Avenue, Bronx NY 10461",,,,,Outdoor (Offsite) Playspace,,,,Bronx,11XAVXFDPK
17KAYS,"1950 Bedford Avenue, Brooklyn NY 11225",,,,,Outdoor (Offsite) Playspace,,,,Brooklyn,17KAYSFDPK
18KCJF,"8801 Glenwood Road, Brooklyn NY 11236",,,,7:05am,Outdoor (Offsite) Playspace,,,,Brooklyn,18KCJFFDPK
02MBIW,"4 Washington Square Village, Manhattan NY 10012",,,,8am,Outdoor (Offsite) Playspace,,,,Manhattan,02MBIWFDPK
10XAUP,"695 East 182nd Street, Bronx NY 10457",,,,,Indoor/Outdoor (Onsite) Playspace/Outdoor (Offsite) Playspace,,,,Bronx,10XAUPFDPK
19K158,"400 Ashford Street, Brooklyn NY 11207",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,19K158FDPK
09XARK,"95 West 168th Street, Bronx NY 10452",,,,,Indoor/Outdoor (Onsite) Playspace,,Who Got Offers Last Year refers only to full-day applicants.,,Bronx,09XARKFDPK
15KBMQ,"55 Hanson Place, Brooklyn NY 11217",,,,7:30am,Outdoor (Offsite) Playspace,,,,Brooklyn,15KBMQFDPK
15Z108,"219 25th Street, Brooklyn NY 11232",,,,7:40am,Indoor (Onsite) Playspace,,,,Brooklyn,15Z108FDPK
02M042,"71 Hester Street, Manhattan NY 10002",x,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,02M042FDPK
02M116,"210 East 33rd Street, Manhattan NY 10016",,,,,Outdoor (Onsite) Playspace,x,,,Manhattan,02M116FDPK
02M397,"12 Spruce Street, Manhattan NY 10018",,,,,Indoor/Outdoor (Onsite) Playspace,x,,,Manhattan,02M397FDPK
09XARC,"1717 Fulton Avenue, Bronx NY 10457",,May utilize flexible scheduling policy. Contact for more information.,,,Outdoor (Offsite) Playspace,,,,Bronx,09XARCFDPK
09XANT,"1240 Webster Avenue, Bronx NY 10456",,May utilize flexible scheduling policy. Contact for more information.,,,Outdoor (Onsite) Playspace,,,,Bronx,09XANTFDPK
09X110,"580 Crotona Park South, Bronx NY 10456",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,09X110FDPK
04MAGN,"314 East 110th Street, Manhattan NY 10029",,,,7:30am,Indoor/Outdoor (Onsite) Playspace,,,,Manhattan,04MAGNFDPK
07X001,"335 East 152nd Street, Bronx NY 10451",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,07X001FDPK
18K235,"525 Lenox Road, Brooklyn NY 11203",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,18K235FDPK
08X072,"2951 Dewey Avenue, Bronx NY 10465",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Bronx,08X072FDPK
17KBEZ,"995 Carroll Street, Brooklyn NY 11225",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,17KBEZFDPK
17KASK,"36 Ford Street, Brooklyn NY 11213",,,,,Contact program,,,,Brooklyn,17KASKFDPK
15KBKW,"1169 43rd Street, Brooklyn NY 11219",,,,,Contact program,,,,Brooklyn,Contact program to apply.
04MAWA,"1893 2nd Avenue, Manhattan NY 10029",,,,,Outdoor (Onsite) Playspace,,,,Manhattan,04MAWAFDPK
13KBLI,"972 Fulton Street, Brooklyn NY 11238",,,,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,13KBLIFDPK
06M004,"500 West 160th Street, Manhattan NY 10032",,,,7:30am,Indoor/Outdoor (Onsite) Playspace,x,,,Manhattan,06M004FDPK
15KCMN,"165 Prospect Park Southwest, Brooklyn NY 11218",,,,,Outdoor (Offsite) Playspace,,,,Brooklyn,15KCMNFDPK
20K112,"7115 15th Avenue, Brooklyn NY 11228",,,,7:30am,Indoor/Outdoor (Onsite) Playspace/Outdoor (Offsite) Playspace,,,,Brooklyn,20K112FDPKIT
03MBBG,"15 Mt Morris Park West, Manhattan NY 10027",,,,,Outdoor (Offsite) Playspace,,,,Manhattan,03MBBGFDPK
10XAZG,"604 West 227th Street, Bronx NY 10463",,,,7:30am,Contact program,,,,Bronx,10XAZGFDPK
04MAWD,"345 East 101st Street, Manhattan NY 10029",,May utilize flexible scheduling policy. Contact for more information.,,,Outdoor (Onsite) Playspace,,,,Manhattan,04MAWDFDPK
15K118,"211 8th Street, Brooklyn NY 11215",,,,Contact program for time,Indoor/Outdoor (Onsite) Playspace,x,,,Brooklyn,15K118FDPK
15KARS,"1019 46th Street, Brooklyn NY 11219",,,,Contact program for time,Outdoor (Onsite) Playspace,,,,Brooklyn,15KARSFDPK
21K238,"1633 East 8th Street, Brooklyn NY 11223",,,x,,Indoor/Outdoor (Onsite) Playspace,,,,Brooklyn,21K238FDPK
02MAUY,"129 Fulton Street, Manhattan NY 10038",,,,,Outdoor (Offsite) Playspace,,,,Manhattan,02MAUYFDPK
