project_name,project_description_type,expected_construction_end_date_op,latest_permit_extension_amendment_issuance_date,permit_amendment_content,modified,scoping_response_due_date_op,conditional_letter_issued,created,actual_construction_end_date_op,forestry_permit_id_number,borough,impacted_park_name_s,address_intersection,original_permit_expiration_date,exploratory_permit_id,construction_manager_company_op,contract_value_op,scoping_initiated_kick_off_op,construction_kickoff_op
Mears Verizon Brooklyn to Staten Island Project,Exploratory survey to facilitate the completion of design for a proposed Verizon pipeline between Brooklyn (Ft. Hamilton) and Staten Island (FDR Boardwalk & Beach),,,,2019-11-05T15:28:00.000,,,2018-08-21T09:01:00.000,,,Brooklyn;#Staten Island,Franklin D. Roosevelt Boardwalk and Beach;,,2018-10-31T00:00:00.000,R046.E.20181019,,,,
Gowanus Canal Superfund Site Cleanup,"Dredging and capping of the infamous canal to remediate contaminants. Blukhead reconstruction including sensitive work at two city bridges, including one semi-defective drawbridge. Includes wetland constroction at First St, east side of canal.",,,,2020-07-28T10:38:00.000,,,2020-07-14T14:02:00.000,,,Brooklyn,,,,,,,,
"319 South 4th Street - (Keep Fourth Garden) scaffolding, overhead protection and temporary construction fence","319 South 4th Street - (Keep Fourth Garden) scaffolding, overhead protection and temporary construction fence",,,,2020-10-28T11:38:00.000,,,2020-10-28T11:38:00.000,,,Brooklyn,Garden;,,2021-09-01T00:00:00.000,,,,,
Façade repairs - erect a scaffolding,Façade repairs - erect a scaffolding,,,,2019-11-05T15:14:00.000,,,2017-11-09T13:41:00.000,,,Bronx,Little Green Garden;,,2016-10-30T00:00:00.000,,,,,
Complex Pedestrian Ramps Upgrades Landmark Borough of Manhattan,"Sidewalk corner quadrant modification for installation of new pedestrian ramps along with pavement restoration along the curb, relocation of street light poles, traffic signals, drainage structures and other incidental work.",,,,2020-10-05T13:31:00.000,,,2020-10-05T13:30:00.000,,,Manhattan,,Multi-site,,,,,,
55 Hudson Yards Fence and Protection Canopy,"In Nov 2015, Related was issued a permit to erect a temporary 50’ construction fence around the 55 Hudson construction work site. In Feb 2018, Related requested to install a Protection Canopy over the Hudson Boulevard Park 7 Line subway entrance adjacent to 55 Hudson Yards. They've requested to amend the existing construction permit to include the protection canopy and extend the permit through November 30, 2018 at which point the canopy will have been removed and park landscaping and furnishings restored per the conditions of the original permit.",,,"A1 - Protection Canopy over the Hudson Boulevard Park 7 Line subway entrance adjacent to 55 Hudson Yards.
A2- DOB Exclusion Zone and Extension through 5/31/19",2020-08-27T14:48:00.000,,2019-07-03T00:00:00.000,2018-03-14T12:12:00.000,,WW11MF18,Manhattan,Hudson Park;,55 Hudson Yards,2018-05-24T00:00:00.000,,,,,
Non-Structural Corrective Maintenance Where & When Contract in New York City,Work Order 30 WO30: electrical junction box at requested staging area,,,,2021-03-04T09:19:00.000,,,2021-03-04T09:12:00.000,,,Brooklyn,Belt Parkway/Shore Parkway;,,,,,,,
City Island Gas Main ROV and Vent Post Installation,Temporary closure of bike path on the North side of City Island Road to facilitate excavation for the installation of a gas vent post and remote operating valves in a portion of right-of-way at the Pelham Bay Park landing of City Island Bridge,,,,2019-11-05T15:11:00.000,,,2019-01-23T11:19:00.000,,,Bronx,Pelham Bay Park;,,2019-03-31T00:00:00.000,,,,,
Roadway Reconstruction and Construction of Bulkheads - Broad Channel Phase 1,"Full Reconstruction of short streets west of Cross Bay Blvd running to the bay. Might have had no parkland impacts but for the fact that the Rockaway Administrator independently negotiated for the contractor to stage at American Ballfields Parking Lot. Also, there may be some associated wetland mitigation performed at this park.",,,,2020-08-31T14:46:00.000,,,2018-02-22T12:06:00.000,,,Queens,Broad Channel American Park;,W 12 Rd and Cross Bay Blvd,,,,,,
PS 134M Exterior Rehabilitation Project,Temporary overhead protection over a portion of landscaped area along the perimeter of the playground,,,,2020-07-01T08:04:00.000,,,2020-03-04T08:35:00.000,,,Manhattan,Sol Lain Plgd;,,2021-06-21T00:00:00.000,,,,,
Reconstruct Pedestrian Walkway on Riverside Drive from W 95th to 97th St,Reconstruct Pedestrian Walkway on Riverside Drive from W 95th to 97th St,,,,2020-06-16T15:59:00.000,,,2020-05-18T14:27:00.000,,,Manhattan,Riverside Park;,"Riverside Dr & W 95th St, Manhattan",2020-09-30T00:00:00.000,,,,,
Atlantic Avenue Safety Improvements from Georgia Avenue to Logan Street,Roadway reconstruction and new medians.  Reconstruction of sidewalk along Sperandeo Brothers Playground,,2020-04-17T00:00:00.000,,2020-04-17T16:16:00.000,,,2020-04-17T15:49:00.000,,I18-002,Brooklyn,Sperandeo Brothers Playground;,Atlantic Avenue at Elton Street,2019-09-30T00:00:00.000,,KS Engineers,,,
Amboy Road Improvement,Amboy Road Improvement between Richmond and Armstrong Avenues,,,,2020-12-17T14:47:00.000,,,2020-12-17T14:47:00.000,,,Staten Island,,Amboy Road between Richmond and Armstrong Avenues,,,,,,
Fresh Creek Basin Drainage Area High Level Storm Sewers Phase 3A,"CS-FC-SEW (Phase IIIA) High Level Storm Sewer, Storm, Combined and Sanitary Sewers together with Distribution water main work in Pennsylvania Avenue between Flatlands Avenue and Dumont Avenue",,,,2020-10-20T15:57:00.000,,,2020-08-26T14:31:00.000,,,Brooklyn,,New Lots Avenue and Georgia Avenue,,,,,,
"Storm and Sanitary Sewers in College Place, Etc.","Storm and Sanitary Sewers in College Place, Etc - specifically an outfall via MacNeil Park",,,,2019-11-05T15:26:00.000,,2018-09-18T00:00:00.000,2016-12-15T10:57:00.000,,QP 16-514,Queens,Macneil Park;,Poppenhusen Ave at College Place,2018-11-07T00:00:00.000,,,,,
Reconstruction of Rockaway Beach Boulevard between Beach 88th Street and Beach 73rd Street,"Roadway reconstruction including installation of new trunk and distribution water main, sewer, traffic signal, and street lighting work.",,,,2020-11-04T09:52:00.000,,,2020-09-04T14:22:00.000,,,Queens,Hammel Playground;,Rockaway Beach Boulevard and Beach 84th Street,,,,,,
Squibb Park Bridge Reconstruction,Squibb Park Bridge Reconstruction,,,,2020-06-01T11:21:00.000,,,2019-07-22T13:10:00.000,,I19-038,Brooklyn,Squibb Park;,"Furman St & Old Fulton St, Brooklyn",2020-06-30T00:00:00.000,,,6500000.0,,
"Replacement of Trunk and Distribution Water Main in Cypress Avenue, etc",Replacement of Trunk and Distribution Water Main,,,,2020-12-30T10:02:00.000,,,2017-09-23T15:16:00.000,,,Queens,,Cypress Ave between Willoughby Ave and Himrod St,,,,,,
JHS 72Q Playground Redevelopment,JHS 72Q  Playground Redevelopment,,,,2019-11-05T15:29:00.000,,,2019-03-11T13:37:00.000,,,Queens,Rochdale Park;,,2016-12-31T00:00:00.000,,,,,
Alley Creek Tidal Wetland,"Creation of a tidal wetland between Northern Blvd and the LIRR in Alley Park, above the DEP detention tanks. The Work includes the construction of an approximately one acre tidal wetland along Alley Creek: Protection of existing trees and shrubs, Clearing and grubbing, Herbicide application of invasive nonnative species, Excavation and grading to achieve design elevations, removal of unsuitable materials, and using stockpiled clean sand fill as required. Supply and installations of plugs, and upland seeding.",,,"Revised Work Hours: Permittee may work during hours specially authorized by NYCDOT OCMC. Weekday work is authorized as early as 5 AM per 
OCMC Permit Q02-2019065-A92.",2020-05-20T11:59:00.000,,,2018-01-17T11:58:00.000,,QP18-470,Queens,Alley Pond Park;,Northern Blvd & 234 Street,2019-06-30T00:00:00.000,Q-19-16NF,,1800000.0,,
PS 165Q Vleigh Playground Redevelopment,Reconstruction of Vleigh Playground MPPA area adjacent to PS 165Q,,,,2020-08-28T12:30:00.000,,,2019-03-13T11:26:00.000,,,Queens,Vleigh Playground;,,2019-12-31T00:00:00.000,,,,,
Replacement of Three (3) Hydraulic Elevators at Various Locations,Replacement of exiting elevator and removal of an unused vent grate.,,,,2020-04-28T13:36:00.000,,,2018-05-02T11:38:00.000,,,Brooklyn,Columbus Park;,Montague and Court St.,2021-06-01T00:00:00.000,,,,,
PS 1M Retaining Wall and Ramp Reconstruction,"Establishment of a temporary work and safety zone to facilitate the
reconstruction of an existing ramp, retaining wall, and egress stairs",,2019-08-08T00:00:00.000,,2021-03-24T15:58:00.000,,,2019-07-24T10:21:00.000,,,Manhattan,Playground One;,,2021-12-31T00:00:00.000,M196.E.20190724,,,,
Queens Theater in the Park Emergency Boiler,Installation of an emergency boiler trailer to provide heat to Queens Theater in the Park during replacement of the building's heating system,,,,2019-11-05T15:29:00.000,,,2019-03-11T13:41:00.000,,,Queens,Flushing Meadows Corona Park;,,2017-11-30T00:00:00.000,,,,,
"MED642-Installation of water mains and appurtenances for new building construction, etc.",Water mains for new construction,,,,2020-09-08T18:29:00.000,,,2017-09-27T14:49:00.000,,,Manhattan,First Park;Dr. Gertrude B. Kelly Playground;GREENSTREET;GREENSTREET;GREENSTREET;GREENSTREET;,E. 1st St & 1st Avenue,,,,,,
"Construction of storm and sanitary sewers; installation of distribution water mains, and appurtenances in Ramble Road, etc.",Storm and sanitary sewers and water mains construction,,,,2020-12-29T16:38:00.000,,,2017-09-19T16:04:00.000,,,Staten Island,,Ramble Road and Dent Road,,,,,,
Safe Routes to School - Brooklyn,Pedestrian safety,,,,2021-01-13T14:42:00.000,,,2017-03-14T09:16:00.000,,,Brooklyn,Greenstreet;,"Flatlands and M, other locations no to low Park impact.",,,,,,
Right of Way Green Infrastructure in CSO Tributary Area NCB-083 in the Borough of Queens/Brooklyn,"Construction of Right of Way Bioswales, Rain Gardens, and Infiltration Basins - 2 Parkland frontage sites",,,,2019-11-05T15:17:00.000,,,2018-05-01T14:24:00.000,,,Queens,Starr Playground;Middle Village Playground;,Starr Street and Onderdonk Ave,2019-06-30T00:00:00.000,,,,,
Reservation ID: 13268 (Across from 81 Prospect Street) Installing radio equipment and omni-directional antenna on existing light pole.,Reservation ID: 13268 (Across from 81 Prospect Street) Installing radio equipment and omni-directional antenna on existing light pole.,,,,2020-12-03T08:59:00.000,,,2020-12-03T08:59:00.000,,,Brooklyn,Bar and Grill Park;,,2021-04-21T00:00:00.000,,,,,
331-333 E 108 Street – Façade work (Installation of sidewalk Bridge),331-333 E 108 Street – Façade work (Installation of sidewalk Bridge),,,,2019-11-05T14:46:00.000,,,2019-10-21T11:39:00.000,,,Manhattan,Humacao Community Garden;,,2019-12-01T00:00:00.000,,,,,
Con Ed Canarsie Manhole MH63307,Access to perform work on an existing facility- Manhole #63307,,,,2020-02-24T14:55:00.000,,,2020-02-24T14:54:00.000,,,Brooklyn,Canarsie Park;,,2020-03-31T00:00:00.000,,,,,
Aboveground Water Quality Monitoring Stations At Shaft 3B & Croton Site in Van Cortlandt Park,"Construction of a Water Quality Monitoring Station (WQMS), Shaft 3B for the Catskill/Delaware Aqueduct entry point shaft for City Water Tunnel 3. This is a ""compliance site,"" a site where drinking water first goes to the consumer and as such requires extensive monitoring using equipment at the site and telemetry. Two other WQMSes being built in this project are not on parkland and so are not treated here.",,,,2020-05-14T14:09:00.000,,,2016-09-07T14:30:00.000,,,Bronx,Van Cortlandt Park;,Shandler Road & Jerome Ave,2020-10-02T00:00:00.000,,DEP,775000.0,,2019-06-26T00:00:00.000
"Reconstruction of HAROLD AVENUE, OCEAN DRIVEWAY, AND ARDEN AVENUE","Reconstruction of road next to paper streets and coastal park, involving riprap and retaining wall placement.",,,,2021-01-21T16:00:00.000,,,2017-02-13T10:18:00.000,,33037,Staten Island,Blueberry Park;,Ocean Driveway & Harold Ave,2022-06-30T00:00:00.000,,,,,
"Combined Sewers, Water Main, and Appurtenances in Penelope Avenue","Combined Sewers, Water Main, and Appurtenances in Penelope Avenue",,,,2020-08-31T08:23:00.000,,,2020-08-26T11:33:00.000,,,Queens,,Penelope Avenue and 174th Street,,,,,,
2 Pierrepont Street Façade Work,Erect sidewalk bridge and scaffold,,,,2019-11-05T15:14:00.000,,,2017-11-09T13:41:00.000,,,Brooklyn,Pierrepont Playground;,,2017-10-01T00:00:00.000,,,,,
American Museum of Natural History Driveway Repairs,Driveway repairs - replacement in kind,,,,2019-11-05T14:46:00.000,,,2017-09-20T16:59:00.000,,,Manhattan,Theodore Roosevelt Park;,81st Street between CPW and Amsterdam,,,,,,
Subway Street Stair Repairs S4 and P10 at Fulton Street Station Crosstown Line (IND),Staircase and sidewalk repair,,,,2019-11-05T14:57:00.000,,,2018-11-15T16:45:00.000,,,Brooklyn,,Fulton and Lafayette,,,,,,
Snug Harbor Music Hall Renovation,Expansion to the music hall and landscaping,,,,2020-06-01T11:03:00.000,,,2017-03-14T15:40:00.000,,,Staten Island,Snug Harbor Cultural Center;,"Richmond Ter., Tysen St., Kissel Ave., Henderson Ave., Staten Island",,,,,,2019-05-31T00:00:00.000
East River Bulkhead Rehabilitation Project,East River Bulkhead Rehabilitation project (East River- Rutgers Slip and Pier 35) Re-establish the original structural capacity of the pile supported platforms and granite seawalls along the water waterfront esplanade,,2019-03-27T00:00:00.000,"E1 - Extension thru 12/31/18
E2 - Extension thru 4/5/19
E3 - Extension thru 7/9/19",2019-11-05T15:57:00.000,,,2017-06-05T09:36:00.000,,,Manhattan,East River Esplanade;,(East River- Rutgers Slip and Pier 35),2018-12-31T00:00:00.000,,,166678231.0,,
Construction of New Fan Plant - Forsyth & Delancey Streets (aka Sara D Roosevelt Park Fan Plant),Construction of a fan plant along the east side of Sara D. Roosevelt Park at Forsyth below Delancey (Closer to Rivington/Forsyth intersection).,,,,2020-08-27T18:02:00.000,,,2016-09-06T16:25:00.000,,,Manhattan,Sara D. Roosevelt Park;,Forsyth St. and Chrystie St.,2021-08-26T00:00:00.000,,,,,
Van Sinderen Avenue Streetscape Improvements,"Work program includes installation of new sidewalks, curb extensions, medians and raised speed reducers, accessible pedestrian paths, lighting at both crossings and beneath elevated structure and street scape enhancements along Van Sinderen Avenue between East New York Avenue and Sutter Avenue.",,,,2020-12-23T08:29:00.000,,,2020-12-23T08:18:00.000,,,Brooklyn,,Van Sinderen Avenue and Riverdale Avenue,,,,,,
Erect a construction fence 2 feet onto Oark's property,Erect a construction fence 2 feet onto Oark's property,,,,2019-11-05T15:14:00.000,,,2017-11-09T13:41:00.000,,,Bronx,Genesis Park Community Garden;,,2016-10-15T00:00:00.000,,,,,
Basketball Court Refurb at Rodney Park N,Basketball Court Refurb at Rodney Park N,,,,2019-11-05T14:47:00.000,,,2019-05-08T17:54:00.000,,,Brooklyn,Rodney Park North;,"S 4th St & Rodney St, Brooklyn",2019-07-31T00:00:00.000,,,,,
Rehabilitation of Stone Retaining Walls along Henry Hudson Bridge Southbound Parkway,Rehabilitation of Stone Retaining Walls along Henry Hudson Bridge Southbound Parkway,,,,2020-08-27T17:45:00.000,,,2020-04-16T16:32:00.000,,,Manhattan,Inwood Hill Park;,,2021-12-31T00:00:00.000,,,,,
Right-of-Way Green Infrastructure - Jamaica Bay CSO Tributary Areas - Outfall 26W-005,Right-of-Way Bioswales,,,,2019-11-05T15:23:00.000,,,2019-09-16T17:12:00.000,,,Queens,Forest Park;,Park Lane south and 79th Street,,,,,,
"South Ferry Terminal Complex Rehabilitation - South Ferry Subway Station, Manhattan",Resiliency improvements and total rehabilitation of the Sandy-damaged South Ferry station.,,2017-01-25T00:00:00.000,,2019-11-05T15:29:00.000,,,2017-03-15T17:21:00.000,,,Manhattan,The Battery;,Peter Minuit Place and State St.,2017-06-26T00:00:00.000,,,,,
Olmsted-Beil House Stabilization,Olmsted-Beil House Stabilization,,,,2020-08-24T14:42:00.000,,,2019-12-16T13:08:00.000,,,Staten Island,Olmsted-Beil House Park;,"Orchard Lane and Hylan Blvd, Staten Island",2020-06-30T00:00:00.000,,,,,
Painting and Wallpaper in Morris-Jumel Mansion,Painting and Wallpaper in Morris-Jumel Mansion,,,,2019-11-05T15:15:00.000,,,2018-11-09T16:18:00.000,,,Manhattan,Roger Morris Park;,,2018-11-30T00:00:00.000,,,,,
WSFSSH Development - Construction and Park Restoration,WSFSSH Development Adjacent to Anibal Aviles Playground – Construction and Park Restoration Phases,,,,2020-09-07T16:19:00.000,,,2019-03-14T11:19:00.000,,WSP103MF18,Manhattan,Anibal Aviles Playground;,"108th Street and Amsterdam and Columbus Avenue, Manhattan",2021-02-19T00:00:00.000,,,,,
"Combined Sewers, Tide Gate Outfall, and Water Main Work in Calamus Avenue, 69th Street, and 81st Street","Combined Sewers, Tide Gate Outfall, and Water Main Work in Calamus Avenue, 69th Street, and 81st Street",,,,2020-09-08T10:29:00.000,,,2020-09-08T10:16:00.000,,,Queens,,Maurice Avenue and 69th Street,,,,,,
Manhattan Psych Electrical Cable Replacement,Access to facilitate electrical cable replacement,,2019-07-31T00:00:00.000,,2019-11-05T15:07:00.000,,,2019-07-31T08:27:00.000,,,Manhattan,Wards Island Park;,,2019-07-01T00:00:00.000,,,,,
135-20 40th Road repairing the stucco on the west wall of the building – Erecting scaffold,135-20 40th Road repairing the stucco on the west wall of the building – Erecting scaffold,,,,2019-11-05T15:14:00.000,,,2018-08-04T10:47:00.000,,,Queens,Bland Playground;,"135-20 40th Road, Queens NY",2018-08-01T00:00:00.000,,,,,
Pugsley Creek Infrastructure Upgrades,"Combined Sewer and Water Main at Pugsley Creek, etc",,2019-09-26T00:00:00.000,Permit amended to extend expiration. Planting plan for Greenstreet XZ60 included in amendment.,2019-11-05T14:46:00.000,,,2017-10-03T14:51:00.000,,BX17-021,Bronx,Pugsley Creek Park;GREENSTREET;,O'Brien Ave & White Plains Rd,2019-09-10T00:00:00.000,,DDC,,,
Play Equipment Installation at River Run Playground in Riverside Park,River Bend Construction Corp is installing play equipment at River Run Playground at West 83rd St and Riverside Drive. They will begin March 12 and it will take approximately two weeks.,,,,2019-11-05T15:11:00.000,,,2018-02-12T10:56:00.000,,,Manhattan,Riverside Park;,West 83rd St & Riverside Drive,2018-04-15T00:00:00.000,,,,,
"Simple Pedestrian Ramp Upgrades, Boroughs of Brooklyn and Staten Island","Rehabilitation of standard pedestrian ramps.  Scope includes repair and upgrade to the maximum extent feasible and, therefore, must comply with applicable PROWAG guidelines and Federal ADA 2010 requirements. Ped ramp repairs will be adjacent to resurfaced roadways, from the complaint program, and/or priority based. DDC working with DDC will direct the order of construction.  Final list of locations will be provided by SIM prior to issuance of NTP. (2020 CPI)",,,,2020-10-06T08:56:00.000,,,2020-10-06T08:56:00.000,,,Brooklyn;#Staten Island,,Multi-site,,,,,,
Roof and Enclosure Rehabilitation of Circuit Breaker House #76,Roof and Enclosure Rehabilitation of Circuit Breaker House #76 at Broadway/Myrtle Avenue in the Borough of Brooklyn,,,,2019-12-20T13:23:00.000,,,2019-03-06T14:58:00.000,,,Brooklyn,Beattie Square;,Broadway and Stuyvesant Ave,2019-07-08T00:00:00.000,,,7800000.0,,
"George Washington Bridge, Rehabilitation of 178th and 179th Street Ramps, Bus Ramps and Bus Turnaround",Rehabilitation of George Washington Bridge components and staging on nearby parkland.,,,"Language has been changed in Section 1. B. ii of the permit. Specifically, the clause: “to its pre-Work condition or better,” has been removed. Section 1. B. ii. now reads as follows:
“Permittee to restore the Permitted Premises, along with any other Parks premises or systems affected by the Work as directed by Parks and to Parks’ sole satisfaction and approval.”
Pursuant to this change in the language, and as agreed upon in the field, the Permittee is required to restore the area to NYC Parks specifications - which are topsoil restoration (acceptable topsoil with a foot of soil de-compaction) and turf establishment.",2019-12-29T16:51:00.000,,,2018-02-16T16:35:00.000,,WW306MF18,Manhattan,Fort Washington Park;,Henry Hudson Parkway,2020-02-14T00:00:00.000,,,,,
Parks Sidewalk Repairs by NYCDOT for NYC Parks,"Commissioner-priority project in which NYCDOT has agreed to repair or replace existing sidewalks alongside and within parklands at their expense, using existing contracts and funding",,,,2020-08-24T14:29:00.000,,,2019-02-25T12:06:00.000,,,Bronx;#Brooklyn;#Manhattan;#Queens;#Staten Island,,,,,,,,
"Trunk and Distribution Water Mains Replacement in Leonard Street between Driggs Avenue and Maujer Street, AND, Chamber Roof Slab Replacement and Support Columns Rehabilitation at the intersection of Flatbush Ave and Lafayette Ave","Trunk and Distribution Water Mains Replacement, AND, Chamber Roof Slab Replacement and Support Columns Rehabilation",,,,2021-02-10T14:22:00.000,,,2017-02-03T10:31:00.000,,,Brooklyn,McCarren Park;Pvt. Sonsire Triangle;,"Leonard Street between Driggs Avenue and Maujer Street, AND, intersection of Flatbush Ave and Lafayette Ave",,,,,,
New Storm and Sanitary Sewers and Water Main Work in Xenia Street,"Xenia Street from Hurlbert to Mason Avenue, Hurlbert Street from Evergeen Avenue  to Benton Avenue, etc.",,,,2021-02-10T14:35:00.000,,,2021-02-10T12:13:00.000,,,Staten Island,,Xenia Street from Hurlbert to Mason Avenue,,,,,,
Sidewalk Conduit Work on Goulden Avenue,Conduit replacement work,,2017-12-04T00:00:00.000,,2019-11-05T15:15:00.000,,,2018-02-02T10:03:00.000,,BX17-017,Bronx,Harris Park;,,2017-11-30T00:00:00.000,,,,,
Dumpster Staging for Met Cloisters,The Met Cloisters is staging a dumpster in Fort Tryon Park for two weeks while they de-install the Heavenly Bodies exhibit. Much of the casework displays are being thrown out.,,,,2019-11-05T14:57:00.000,,,2018-10-02T15:24:00.000,,,Manhattan,Fort Tryon Park;,Margaret Corbin Drive,2018-10-25T00:00:00.000,,,,,
Pier 42 Outfall Sewer Reconstruction,"Reconstructon of a collapsed outfall sewer (55' between Jackson Street Outfall and Diversion Chamber NCM23) located at Pier 42, Manhattan, by DEP under their Emergency Sewer Repair contract. Associated with Regulator M-23",2017-10-27T00:00:00.000,,,2019-11-05T15:18:00.000,,2017-11-27T00:00:00.000,2017-06-19T15:15:00.000,2017-10-30T00:00:00.000,,Manhattan,Pier 42;,South St & Jackson St,2017-12-01T00:00:00.000,,,,,
St. Nicholas Park Basketball Court Refurb,"Basketball court refurb includes re-surfacing/color sealing the court, new backboards, and cutting out and repairing two areas of the pavement where there are large lumps.",,,,2019-11-05T15:18:00.000,,,2018-06-13T14:52:00.000,,,Manhattan,St. Nicholas Park;,St. Nicholas Ave & W 140th St,2018-06-20T00:00:00.000,,,,,
Reconstruction of Patterson Park Battlefield,Reconstruction of Patterson Park Battlefield,,,,2019-11-05T15:21:00.000,,,2017-11-09T13:41:00.000,,,Bronx,Patterson Playground;,,2016-07-01T00:00:00.000,,,,,
535 East 12th Street,Temporary closure of a community garden for the establishment of a no-access safety fall zone to facilitate the construction of a new building (Phase II),,,,2020-07-01T09:43:00.000,,,2020-07-01T09:43:00.000,,,Manhattan,El Sol Brilliante Jr;,,2021-07-02T00:00:00.000,,,,,
DEP manhole rising and resetting at Location #53 inside Spring  Creek Park at intersection of Pennsylvania Ave and Shore Parkway,DEP manhole rising and resetting at Location #53 inside Spring  Creek Park at intersection of Pennsylvania Ave and Shore Parkway. JOC Job order contract,,2017-03-28T00:00:00.000,,2020-01-29T09:14:00.000,,,2017-11-09T13:41:00.000,,,Brooklyn,Spring Creek Park;,,2017-03-01T00:00:00.000,,,,,
The Highline -,"Demolition of Stair and Electrical modifications at 18th Street & 10th Avenue – Highline 76 11th Avenue, Manhattan",,,,2019-11-05T15:29:00.000,,,2018-05-14T11:57:00.000,,,Manhattan,The High Line;,76 11th Avenue. New York NY,,,,12000.0,,
"HWCSCH3MM – Safe Routes to Schools for PS 17, Borough of Queens",Safe Routes to School,,,,2020-03-17T09:38:00.000,,,2016-10-20T16:23:00.000,,,Queens,Athens Square;Hope Ballfield;,"30th Avenue between 29th and 30th Streets
Astoria, NY",2016-06-21T00:00:00.000,,,3671964.45,,
Installation of wireless communications attachment consisting of a control box with internal antenna to pole (Reservation #10643),Installation of wireless communications attachment consisting of a control box with internal antenna to pole (Reservation #10643),,,,2019-11-05T15:38:00.000,,,2017-11-09T13:41:00.000,,,Manhattan,Riverside Park;,,2016-08-25T00:00:00.000,,,,,
Nike Gym Floor Refurbs,Nike Gym Floor Refurbs,,,,2020-08-26T14:53:00.000,,,2019-12-21T13:46:00.000,,,Brooklyn;#Manhattan,Thomas Jefferson Park;Highbridge Park;Sunset Park;,,2020-04-30T00:00:00.000,,,,,
Onsite GI at Martin Luther King Jr. Playground - Jamaica Bay CSO Tributary Area Outfall 26W-005,Green Infrastructure Retrofit - EDC for DEP,,,,2020-08-24T14:28:00.000,,,2017-11-14T10:57:00.000,,,Brooklyn,Martin Luther King Jr. Playground;,Dumont Ave and Miller Ave,,B056.E.20180216,,,,
UPK NY Hall of Science,Access and work to facilitate exploratory borings in the NY Hall of Science Parking Lot Area; construction permit is under a separate entry,,,,2020-12-04T08:06:00.000,,,2018-04-09T11:19:00.000,,QP 18-046,Queens,Flushing Meadows Corona Park;,,2018-04-20T00:00:00.000,,,,,
Amtrak Access to Inwood Hill Park for Fiber Optic Cable Pull,Confined space entry in the Amtrak Manholes within Inwood Park for the purpose of pulling cable.,,,,2020-03-17T10:31:00.000,,,2018-09-18T15:41:00.000,,,Manhattan,Inwood Hill Park;,Park Path and Henry Hudson Parkway,2018-10-31T00:00:00.000,,,,,
East 91st Street Marine Transfer Station,Construction of  a Marine Transfer Station adjacent to the East River Esplanade for Department of Sanitation (DSNY) use.,,2018-10-19T00:00:00.000,"Reference is made to your letter dated August 6, 2018, requesting a time extension of the above permit.

Your permit is hereby extended until December 31, 2018, but the request to maintain a full closure of the esplanade until November 30, 2018 is denied. The esplanade provides the only ADA-accessible route to the E. 90th St. Ferry Station and must be reopened by September 30, 2018. Any esplanade closures past that time must be coordinated with the New York City Economic Development Corporation (EDC) in their role as administrators of the ferry service. 

Please be advised that Permit No. M-14-13NF is hereby amendment/extended in accordance with the attached request with the exception of the terms laid out above.  All other terms and conditions of said permit remain in full force and effect.",2020-03-17T12:02:00.000,,,2018-09-12T14:03:00.000,,,Manhattan,Asphalt Green;East River Esplanade;,E 91. St at the East River Esplanade,2013-08-31T00:00:00.000,,,,,
Inspection of Suspension Span Anchorages at RFK Bridge.,Inspection of Suspension Span Anchorages at RFK Bridge.,,2019-10-30T00:00:00.000,"•	Revised Scope of work: Access is granted to the Queens Anchorage of the RFK Bridge through Astoria Park (Q004). 
o	Work in Astoria Park cannot begin until January 9, 2017, after the conclusion of MulchFest.
o	Contractor to submit before/after photos of any operations on the Astoria Park tennis courts. 
o	Plywood protection or approved equal to be used in all tennis court operations. 
o	Standard tree protection must be installed if inspection access circumvents use of the Astoria Park tennis courts. 
o	An additional NYC Parks Tree Work Permit will be required if any pruning is deemed necessary to the inspection. Details can be found at: https://www.nycgovparks.org/services/forestry/tree-work-permit
o	Staging permitted in front of bridge anchorage. 
o	Contact Brendan Shera and Norman Chan at Brendan.Shera@parks.nyc.gov and Norman.Chan@parks.nyc.gov 48 hours prior to start of work. 
•	Extended Duration: Permit No. CNYG.20161104 is hereby extended to the new Expiration date given above.  All other terms and conditions of said permit remain in full force and effect.",2019-11-07T10:35:00.000,,,2016-10-31T15:57:00.000,,,Manhattan;#Queens,Wards Island Park;Astoria Park;,,2016-12-30T00:00:00.000,,,1904921.0,,
Reconstruction of Father Capodanno Boulevard from Hunter Avenue to Cherokee Street From Seaver Avenue to Slater Boulveard Midland Beach,"Roadway reconstruction. Dead tree removal, some new roadway trees planted.",,,,2020-04-29T10:01:00.000,,,2016-04-10T11:55:00.000,,25380,Staten Island,Franklin D. Roosevelt Boardwalk and Beach;,Graham Blvd & Father Capodanno Boulevard,2019-12-31T00:00:00.000,,,,,
807 Courtlandt Avenue - façade repairs - repairs to existing stucco,façade repairs - repairs to existing stucco,,,,2020-09-24T13:38:00.000,,,2020-09-24T13:37:00.000,,,Bronx,811 Family and Friends Garden;,,2020-10-23T00:00:00.000,,,,,
Minnieford Avenue Outfall,Construction of outfall.,,,,2020-08-31T08:42:00.000,,,2020-05-12T13:24:00.000,,,Bronx,,Minnieford Avenue between Bridge Street and Terrace Street,,,,,,
