code1,academicopportunities3,seats102,diplomaendorsements,directions2,seats3specialized,admissionspriority22,admissionspriority51,ell_programs,admissionspriority43,auditioninformation7,requirement7_1,start_time,grade9swdapplicants10,admissionspriority54,method9,eligibility6,appperseat4specialized,grade9geapplicantsperseat9,interest1,admissionspriority53,requirement4_1,directions4,grade9swdfilledflag5,directions3,grade9swdapplicants1,grade9swdapplicantsperseat8,school_sports,admissionspriority25,program5,admissionspriority28,requirement4_6,seats104,requirement1_3,admissionspriority19,admissionspriority36,grade9swdfilledflag1,applicants1specialized,requirement5_5,grade9geapplicants2,college_career_rate,code7,grade9geapplicants5,international,code10,auditioninformation2,admissionspriority29,grade9geapplicantsperseat7,earlycollege,requirement4_4,auditioninformation1,grade9swdfilledflag2,requirement4_8
X87R,"Trips to cultural, historic, and recreational sites in and out of New York City",,,,,,,English as a New Language,,,,7:55am,,,,,,,Humanities & Interdisciplinary,,,,,,77.0,,"Baseball, Basketball, Lacrosse, Rugby, Soccer, Softball, Table Tennis, Volleyball, Weight Training, Track",,,,,,,,,N,,,,0.73,,,1.0,,,,,,,,,
K41A,"Electives include: Science Research, Earth Science, Geology, Anatomy and Physiology, Science and Sustainability, AP Computer Science",,,,,,,English as a New Language,,,,8:30am,,,,,,,Science & Math,,,,,,54.0,,Cheerleading,,,,,,,,,N,,,,0.58,,,,,,,,,,,,
Y52A,College Applications: College counselors provide support throughout the college application and financial aid process.,,,,,,,English as a New Language,,,,8:23am,,,,,,,Humanities & Interdisciplinary,,,,,,49.0,,,,,,,,,,,N,,,,0.52,,,1.0,,,,,,,,,
Y43A,"We offer AP English courses, AP Environmental Science, and AP History courses",,,,,,,English as a New Language,,,,8am,,,,,,,Humanities & Interdisciplinary,,,,,,67.0,,"Baseball, Boys Intramural Basketball, Soccer, Softball, Volleyball",,,,,,,,,N,,,,0.32,,,,,,,,,,,,
Q51A,"Independent Studies, AP, Honors and Accelerated Courses, CUNY College Now, University at Albany",,,,,,,English as a New Language,,,,8am,,,,,,,Humanities & Interdisciplinary,,,,,,104.0,,Our school will participate in the sports offered by our campus which include intramural badminton and table tennis. Intramural sports will be offered as per student interest.,,,,,,,,,Y,,,,,,,,,,,,,,,,
X96A,"Bloomberg, Early College, CUNY College Now, Advisory, Blended Learning, Project-Based Learning, Cornell University, Narrative 4, STEM,",No,Science,Students are directly contacted by the school and will receive notification by mail and or by phone. It is important that the latest contact information listed for all applicants is correct so that we can contact you.,,,,English as a New Language,,,,8:45am,,,,,,,Humanities & Interdisciplinary,,"Standardized Test Scores: English Language Arts (2.1-4.5), Math (1.9-4.5)",,,,259.0,,"Cheerleading, Intramural Basketball, Flag Football, Track, Young Runners Program",,,,,,,,,N,,,873,0.77,,,,,,,,,,,Y,
M92A,,,,,,,,English as a New Language,,,,9am,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,N/A - new program,,,,,,,,,,,,,,,,
L27A,Students also develop professional skills in our computer programming and teaching assistant programs.,Yes-5,,,,,,English as a New Language; Transitional Bilingual Education: Spanish,,,,8am,,,,,,,Humanities & Interdisciplinary,,,,,,55.0,,"Basketball, Cheerleading, Runners Club, Soccer, Volleyball, Weight Training",,,,,,,,,N,,,81,0.4,,,,,,,,,,,N,
M45A,College Now,,,,,,,English as a New Language,,,,8:05am,,,,,,,Humanities & Interdisciplinary,,,,,,80.0,,Boys Basketball,,,,,,,,,N,,,,0.47,,,,,,,,,,,,
L64A,CUNY College Now courses in Health Science; APEX Learning (all subjects),,,,,,,English as a New Language,,,,8:30am,,,,,,,Health Professions,,,,,,80.0,,Cheerleading,,,,,,,,,N,,,,0.42,,,,,,,,,,,,
Y53A,"Advisory, Pre-College and Career Planning, Read 180, College Board's Springboard, Great Books; Technology in every classroom",,,,,,,English as a New Language,,,,8:25am,,,,,,,Humanities & Interdisciplinary,,,,,,273.0,,Boys Wrestling,,,,,,,,,Y,,,,0.58,,,,,,,,,,,,
X04R,International travel opportunities through partnerships with buildOn and Summer Search,,,,,,,English as a New Language,,,,8:30am,,,,,,,Humanities & Interdisciplinary,,,,,,269.0,,"Flag Football, Girls Basketball, Soccer, Tennis, Volleyball, Step team, Cheerleading, Track",,,,,,,,,Y,,,,0.65,,,,,,,,,,,,
X61X,Computer Science Academy option beginning in 10th grade: 3-year sequence concluding with AP Computer Science Processing (after-school option available),,CTE,,,,,English as a New Language,,,,8:15am,,,,,,,Engineering,,,,,,197.0,,All students are eligible for John F. Kennedy Campus sports teams,,,,,,,,,Y,,,,0.45,,,,,,,,,,,,
X20B,,No,Arts,,,Then to Bronx students or residents,,English as a New Language,,,,8:30am,,,,,,,Performing Arts,,,,N,,40.0,,"Boys Baseball, Boys Basketball, Boys Soccer, Girls Soccer, Girls Softball, Volleyball.",Then to Bronx students or residents,Visual Arts & Technology,,,Yes-5,Attendance,,,Y,,,52,0.59,,78,,,"Perform a song without accompaniment. Audition includes on-site music tasks in which originality, pitch, and one's ability to harmonize with other singers will be assessed. Check school website (tapconyc.org) for suggestions.",,,,,"You may audition on more than one instrument. Perform a prepared solo selection (memorized or with sheet music). Bring your own instrument(s) (except piano, tuba, double bass, harp, percussion and guitar amplifiers, which are provided by the school). Audition includes on-site music tasks (may include singing back melodic patterns, tapping back rhythmic patterns, play selected scales, or completing a sight reading, music theory or improvisation task).",N,
NO CODE 1,Each studio has a four-year sequence of courses and opportunities for students to participate in performances and exhibitions.,Yes-5,"Arts, CTE, Math, Science",,211.0,,,English as a New Language,,,,8am,,,,,12.0,,Performing Arts,,Attendance and Punctuality,,,,,,,,Technical Theater,,Attendance and Punctuality,Yes-5,Academic information will be considered for students who successfully audition,,,,1885.0,Written Response (on-site),,0.85,,,,,Applicants should be prepared to perform two contrasting one-minute monologues. Applicants will be asked to do an impromptu reading and participate in an interview. Attire should allow free movement since applicants may be asked to demonstrate how well they move physically.,,,,Attendance and Punctuality,Applicants participate in both a ballet class and a modern dance class. Applicants must wear ballet shoes and fitted black dance attire. Applicants are evaluated for their potential to succeed in the specific training offered.,,
X55A,Peer Enabled Restructured Classroom (PERC),No,,,,,,English as a New Language; Transitional Bilingual Education: Spanish,,,,8:50am,,,,,,,Business,,,,,,71.0,,"Intramural Basketball, Softball, Volleyball",,,,,,,,,N,,,47,0.24,,,,,,,,,,,Y,
K21A,CUNY College Now: college-level courses (offered on weekends); Summer Search: travel abroad to complete community service and internship requirements,No,,,,Then to District 15 students or residents,,Dual Language: French; English as a New Language,,,Interview,8:15am,,,,,,,Humanities & Interdisciplinary,,"Course Grades: English (60-100), Math (63-100), Science (65-100), Social Studies (56-100)",,,,32.0,,"Our school athletes join with students from Digital Tech to compete in the Public Schools Athletic League (PSAL). We also offer Flag Football, Handball, Soccer, Softball, Track.",,,,,,,,,Y,,,112,0.44,,,,,,,,,,,N,
M76A,Syracuse University Project Advance: opportunity to earn Syracuse University credits,Yes-10,,,,,,English as a New Language,,,,8:30am,,,,,,,Humanities & Interdisciplinary,,,,,,55.0,,,,,,,,,,,N,,,111,0.44,,,,,,,,,,,N,
X05R,Summer Enrichment at universities and colleges,,,,,,,English as a New Language,,,,7:27am,,,,,,,Science & Math,,,,,,427.0,,"Contact Michelle Walters, Athletic Director, at 718-992-7089 for information regarding additional sports offerings.",,,,,,,,,Y,,,,0.75,,,,,,,,,,,,
