qrent,qschooltravelcode17,qstudenttravelcode05,qpackagedeliver,qbiketype2,qschooltravelcode15,qcarreducea9,qlanguagepref,qstudenttravelcode17,qworktravelcode06,gchild1_qchild1_ma,qnoelectric2,qworktravelcode20,qridehail2,qpostalstore,qtransportnosubway09,qtimework3,qworktravelcode16,qschooltravelcode19,qridehail7,qstudenttravelcode11,qcarincreasea5,qshare8,qbikewhynot4,qdisability4,qautovehiclefam,gcitibk1_qcitibikeissues2,qschooltransitfrom7,qnoelectric6,qschooltransitfrom1,qziphome,qcarhybrid5,qschool,qtransportnobus11,qstudenttravelcode08,qridehail8,qchild2schooladdr,qbikeride,qtimehome2,qschooltravelcode02,qchild1schooladdr,qnocitibike09,qtransportnobus08,qcaraccess,qchild3schooladdr,qworktravelcode02,qsubwayservice,qcarreducea1,qbikewhy6,qwelfare4,qtransportnobus01,qbikeown,qbikewhy2,qfreight_cmb7,qsmartphone,qschooltravelcode10,qbikewhynot1,qstudenttravelcode18,qnoelectric7,qcarincreasea3,gcarpark1_qcarpark2_ma,qschooltravelcode14,qtransportnobus04,qstudenttravelcode16,qcarhybrid6,qschooltravelcode20,qstudenttravelcode07,qworktravelcode23
Rent,,No,A postal store,,,,English,No,,,,,,6-10 blocks,,,,,,No,,No,No,No,Somewhat familiar,,,,,10472.0,,"Yes, I attend school full time",,No,,,Never,,,,No,,I do not have access to a car,,,Getting worse,,,No,,No,,No,Yes,,Yes,No,,,,,,No,,,No,
Own,,No,Other,,,,English,No,No,,,No,Yes,,,,No,,No,No,,No,Yes,No,Somewhat familiar,,,,,11373.0,,"No, I do not attend school",,No,No,,Never,Varies depending on the shoot times,,,No,,I do not have access to a car,,Yes,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
Own,,No,My doorstep,,,,English,No,No,,,No,No,,No,,No,,No,No,,No,,No,Not at all familiar,,,,,10308.0,,"No, I do not attend school",,No,No,,,,,,No,,I personally own or lease a car,,No,Getting worse,,,No,,No,,Yes,Yes,,,No,,,On the street,,,No,,,No,No
,No,No,An alternative address (i.e. a family member or friend's),,No,,English,No,No,Yes,,No,,1-2 blocks,,,No,No,,No,,No,,No,Somewhat familiar,,,,,10452.0,,"No, I do not attend school",,No,,,At least once a month,,No,The Bronx,No,,I personally own or lease a car,,No,Getting better,,No,No,,No,No,No,Yes,No,,No,,,,No,,No,,No,No,No
Rent,,No,My lobby,,,,English,No,No,,,No,,,No,,No,,,No,,No,Yes,No,Somewhat familiar,,,,,10033.0,,"No, I do not attend school",,No,,,Never,,,,No,,I do not have access to a car,,Yes,Getting worse,,,No,,No,,Yes,Yes,,Yes,No,,,,,,No,,,No,No
Own,,No,My doorstep,No,,,,No,,No,,,No,,,,,,No,No,,No,No,No,Not very familiar,,,,,10312.0,,"No, I do not attend school",,No,No,,A few times a year,,,,No,,I personally own or lease a car,,,Getting worse,,,No,,Yes,,No,Yes,,No,No,,,On the street,,,No,,,No,
Rent,,No,My doorstep,No,,No,English,No,No,,,No,,,,,No,,,No,,No,,No,Not very familiar,Not very frequently,,,,11225.0,,"No, I do not attend school",,No,,,Several times a month,10pm,,,,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,No,Getting better,No,No,No,,Yes,No,No,Yes,,,No,,,,,,No,,,No,No
Rent,,No,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",,,,Espa�ol,No,,,,,,,,,,,,No,,No,No,No,Not very familiar,,,,,10453.0,,"Yes, I attend school full time",,No,,,A few times a year,,,,Yes,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,Staying the same,,,No,,No,,Yes,Yes,,Yes,No,,,,,,No,,,No,
Own,,No,My lobby,,,,English,No,,,,,,,,,,,,No,,No,Yes,No,Somewhat familiar,,,,,11374.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,,Staying the same,,,No,,No,,Yes,Yes,,Yes,No,,,,,,No,,,No,
Own,No,No,My doorman,,No,,,No,,Yes,Yes,,,,,,,No,,No,No,No,,No,Very familiar,,,No,,10003.0,,"No, I do not attend school",,No,,,Several times a month,,Yes,Brooklyn,No,,I personally own or lease a car,,,Getting better,,No,No,,No,No,No,Yes,No,,No,No,No,,No,,No,,No,No,
Rent,,No,An alternative address (i.e. a family member or friend's),No,,,English,No,,,No,,,3-5 blocks,No,,,,,No,No,No,,No,Somewhat familiar,Not very frequently,,No,,10469.0,,"Yes, I attend school part time",,No,,,Several times a month,,,,,,I personally own or lease a car,,,Getting worse,,No,No,,Yes,No,No,Yes,,,No,No,No,,,,No,,,No,
Rent,,No,A postal store,No,,No,,No,,,,,,6-10 blocks,No,,,,,No,,No,,No,Somewhat familiar,Somewhat frequently,,,,10453.0,,"No, I do not attend school",,No,,,At least once a month,,,,,,I do not have access to a car,,,Getting worse,Yes,No,No,,Yes,No,Yes,Yes,,,No,,,,,,No,,,No,
Own,,No,My doorman,,,No,English,No,No,No,,No,,,,,No,,,No,,No,,No,Somewhat familiar,,,,,10458.0,,"Yes, I attend school part time",,No,,,Several times a month,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,No,Staying the same,No,No,No,,No,No,No,Yes,,,No,,,In a single family home garage or driveway,,,No,,,No,No
Rent,,No,An alternative address (i.e. a family member or friend's),,,,English,No,No,No,,No,,3-5 blocks,,,No,,,No,,No,Yes,No,Not very familiar,,,,,10001.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,Yes,Getting better,,,No,,No,,No,Yes,,Yes,No,,,,,,No,,,No,No
Rent,,No,My doorstep,,,,English,No,,,No,,,,,,,,,No,No,No,No,No,Somewhat familiar,,,No,,11385.0,,"Yes, I attend school full time",,No,,,Never,,,,No,,I do not have access to a car,,,Getting worse,,,No,,No,,Yes,Yes,,Yes,No,No,No,,,,No,,,No,
Own,,No,An alternative address (i.e. a family member or friend's),,,,,No,,,,,,6-10 blocks,,,,,,No,,No,No,No,Not at all familiar,,,,,11421.0,,"No, I do not attend school",,No,,,Never,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,,,,No,,No,,Yes,No,,No,No,,,,,,No,,,No,
Rent,,No,My doorstep,,,,English,No,,,,,,,No,,,,,No,,No,No,No,Not very familiar,,,,,10461.0,,"No, I do not attend school",,No,,,Never,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Own,,No,My doorman,,,No,English,No,,No,,,,,,,,,,No,,No,,No,Not very familiar,,,,,11354.0,,"Yes, I attend school full time",,No,,,At least once a month,,,,No,,I personally own or lease a car,,,Staying the same,Yes,No,No,,,No,No,Yes,,,No,,,,,,No,,,No,
Own,,No,My doorstep,,,,,No,No,,,No,No,,,,No,,No,No,,No,No,No,Not very familiar,,,,,10314.0,,"No, I do not attend school",,No,No,,Never,pm,,,No,,I personally own or lease a car,,No,Staying the same,,,No,,No,,No,Yes,,No,No,,,In a single family home garage or driveway,,,No,,,No,No
Rent,,No,My doorstep,,,No,English,No,No,,,No,Yes,,,,No,,No,No,,No,Yes,No,Not very familiar,Never,,,,10040.0,,"No, I do not attend school",,No,No,,A few times a year,4:30PM,,,,,Other,,Yes,Getting worse,No,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
Rent,,No,My doorstep,,,,,No,No,No,,No,,,,,No,,,No,,No,Yes,No,,,,,,10314.0,,"No, I do not attend school",,No,,,Never,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,No,,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
Rent,,No,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",No,,,English,No,,,,,,1-2 blocks,,,,,,No,,No,Yes,No,Not very familiar,,,,,10456.0,,"No, I do not attend school",,No,,,Never,,,,No,,I do not have access to a car,,,Getting worse,,,No,,Yes,,No,No,,Yes,No,,,,,,No,,,No,
Own,,No,My doorstep,,,,English,No,No,,,No,No,,,,No,,No,No,,No,Yes,No,Not at all familiar,,,,,10312.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I personally own or lease a car,,No,Getting better,,,No,,No,,Yes,Yes,,No,No,,,In a single family home garage or driveway,,,No,,,No,No
Rent,,No,My doorstep,,,,English,No,,,,,,,No,,,,,No,,No,,No,Somewhat familiar,,,,,10454.0,,"No, I do not attend school",,No,,,Physically unable to ride a bike,,,,No,,I personally own or lease a car,,,Getting worse,,,No,,No,,No,Yes,,,No,,,,,,No,,,No,
Own,,No,My doorstep,,,,English,No,,No,No,,,,,,,,,No,No,No,Yes,No,Somewhat familiar,,,No,,10469.0,,"No, I do not attend school",,No,,,Never,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,Getting better,,,No,,No,,Yes,Yes,,No,No,No,No,In a single family home garage or driveway,,,No,,,No,
Rent,,No,Other,,,,,No,,,,,,,No,,,,,No,,No,No,No,Not very familiar,,,,,11208.0,,"No, I do not attend school",,No,,,Never,,,,No,,I do not have access to a car,,,Getting worse,,,No,,No,,No,No,,No,No,,,,,,No,,,No,
Rent,,No,My doorman,,,,English,No,,,,,,,,,,,,No,,No,,No,Not very familiar,,,,,10033.0,,"No, I do not attend school",,No,,,Physically unable to ride a bike,,,,No,,I personally own or lease a car,,,Getting worse,,,No,,No,,Yes,Yes,,,No,,,,,,No,,,No,
Rent,,No,My doorman,,,,,No,,,,,No,,,,,,No,No,,No,,Yes,Somewhat familiar,,,,,10025.0,,"No, I do not attend school",No,No,No,,Physically unable to ride a bike,,,,Yes,Yes,I personally own or lease a car,,,Getting worse,,,No,No,No,,Yes,Yes,,,No,,,,,No,No,,,No,
Own,,No,My doorstep,,,,English,No,,,,,No,,,,,,No,No,,No,Yes,No,Not very familiar,,,,,11375.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I do not have access to a car,,,Staying the same,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Own,No,No,My lobby,No,No,,English,No,No,Yes,,No,,,No,,No,No,,No,,No,,No,Somewhat familiar,,,,,10033.0,,"No, I do not attend school",,No,,Manhattan,Once a week or more,,No,Manhattan,No,,I personally own or lease a car,,No,Getting worse,,No,No,,Yes,No,No,Yes,No,,No,,,,No,,No,,No,No,No
Own,No,No,My doorstep,,No,,,No,No,Yes,,No,,,,,No,No,,No,,No,Yes,No,Not very familiar,,,,,11214.0,,"No, I do not attend school",,No,,,Never,,No,Brooklyn,No,,I personally own or lease a car,,Yes,Getting worse,,,No,,No,,Yes,Yes,No,Yes,No,,,,No,,No,,No,No,No
Own,No,No,My doorstep,No,No,,English,No,No,Yes,,No,,,No,,No,No,,No,,No,No,No,Not very familiar,,,,,10310.0,,"No, I do not attend school",,No,,Staten Island,Never,,No,Staten Island,No,,I personally own or lease a car,,No,Getting worse,,,No,,Yes,,No,Yes,No,No,No,,,On the street,No,,No,,No,No,No
Own,,No,My doorstep,,,,English,No,,,,,,,,,,,,No,,No,No,No,Not very familiar,,,,,11374.0,,"No, I do not attend school",No,No,,,Never,,,,No,No,I personally own or lease a car,,,Getting worse,,,No,Yes,No,,No,No,,Yes,No,,,,,No,No,,,No,
Rent,No,No,A postal store,No,No,,,No,No,Yes,,No,No,More than 20 blocks,No,,No,No,No,No,,No,No,No,Somewhat familiar,,,,,10462.0,,"No, I do not attend school",,No,No,,Never,,No,The Bronx,No,,I personally own or lease a car,,No,Getting worse,,,No,,Yes,,Yes,Yes,No,Yes,No,,,,No,,No,,No,No,No
Rent,,No,Other,,,,,No,,,,,No,,No,,,,No,No,,No,,No,Not at all familiar,,,,,11220.0,,"No, I do not attend school",,No,No,,,,,,No,,I do not have access to a car,,,Getting worse,,,No,,No,,Yes,Yes,,,No,,,,,,No,,,No,
Own,,No,Other,No,,,,No,,,,,,,No,,,,,No,,No,No,No,Not very familiar,,,,,10009.0,,"No, I do not attend school",,No,,,Never,,,,Yes,,I do not have access to a car,,,Getting worse,,,No,,Yes,,Yes,Yes,,No,No,,,,,,No,,,No,
Own,,No,My doorstep,No,,,English,No,,,,,No,,,,,,No,No,,No,No,No,Not very familiar,,,,,10306.0,,"No, I do not attend school",,No,No,,Never,,,,Yes,,I personally own or lease a car,,,Staying the same,,,No,,Yes,,No,Yes,,No,No,,,In a single family home garage or driveway,,,No,,,No,
Rent,,No,My doorman,,,,English,No,,,,,,,,,,,,No,,No,No,No,Not very familiar,Not at all frequently,,,,10027.0,,"Yes, I attend school full time",,No,,,A few times a year,,,,,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,Staying the same,,,No,,No,,Yes,Yes,,No,No,,,In a single family home garage or driveway,,,No,,,No,
Rent,,No,A postal store,,,,English,No,,,,,,3-5 blocks,,,,,,No,,No,No,No,,,,,,10456.0,,"No, I do not attend school",,No,,,Never,,,,No,,I do not have access to a car,,,,,,No,,No,,No,Yes,,No,No,,,,,,No,,,No,
Own,,No,My doorstep,,,,,No,,,,,,,,,,,,No,,No,Yes,No,Not at all familiar,,,,,11360.0,,"No, I do not attend school",,No,,,Never,,,,Yes,,I personally own or lease a car,,,Getting worse,,,No,,No,,No,No,,No,No,,,,,,No,,,No,
Own,,No,My doorman,,,,,No,,,,,No,,,,,,No,No,,No,Yes,No,Not very familiar,,,,,10025.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I personally own or lease a car,,,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Own,,No,My doorstep,No,,,,No,,,,,No,,,,,,No,No,,No,,No,Not very familiar,,,,,11231.0,,"No, I do not attend school",,No,No,,Once a week or more,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,Staying the same,,No,No,,Yes,No,Yes,Yes,,,No,,,,,,No,,,No,
,,No,Other,,,,English,No,,,,,,,,,,,,No,,No,Yes,No,Somewhat familiar,,,,,11370.0,,"Yes, I attend school full time",,No,,,Never,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Own,,No,My doorstep,,,,,No,No,,,No,,,,,No,,,No,,No,Yes,No,Very familiar,,,,,10465.0,,"No, I do not attend school",,No,,,Never,,,,Yes,,I personally own or lease a car,,Yes,Getting better,,,No,,No,,No,No,,No,No,,,In a single family home garage or driveway,,,No,,,No,No
Own,,No,My lobby,,,,English,No,No,,,No,,,,,No,,,No,,No,Yes,No,Not very familiar,,,,,11101.0,,"No, I do not attend school",,No,,,Never,10:30pm,,,No,,I do not have access to a car,,Yes,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
Own,,No,My lobby,No,,,,No,,,,,No,,,,,,No,No,,No,No,No,Somewhat familiar,,,,,10044.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I do not have access to a car,,,Getting worse,,,No,,Yes,,No,Yes,,No,No,,,,,,No,,,No,
Own,No,No,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",No,No,,English,No,No,Yes,No,No,,6-10 blocks,,,No,No,,No,No,No,,No,Not very familiar,,,No,,10314.0,,"No, I do not attend school",,No,,,Several times a month,,No,Staten Island,No,,I personally own or lease a car,,No,Staying the same,,No,No,,Yes,No,No,Yes,No,,No,No,No,In a single family home garage or driveway,No,,No,,No,No,No
Own,,No,My doorstep,No,,,English,No,No,,,No,Yes,,,,No,,No,No,,No,Yes,No,Not at all familiar,,,,,10312.0,,"No, I do not attend school",,No,No,,A few times a year,,,,No,,I personally own or lease a car,,No,Staying the same,,,No,,Yes,,No,Yes,,No,No,,,,,,No,,,No,No
Own,,No,"An alternative access point (i.e. Amazon locker, UPS, Access Point)",No,,,,No,,No,No,,No,More than 20 blocks,,,,,No,No,No,No,No,No,Not very familiar,,,No,,10475.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I personally own or lease a car,,,Staying the same,,,No,,Yes,,No,Yes,,No,No,No,No,In another parking garage or lot,,,No,,,No,
Rent,,No,My doorstep,,,,,No,No,,,No,No,,,,No,,No,No,,No,Yes,No,Not very familiar,,,,,10469.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I personally own or lease a car,,Yes,Getting worse,,,No,,No,,Yes,Yes,,Yes,No,,,,,,No,,,No,No
Rent,,No,My doorstep,,,,,No,No,,,No,Yes,,,,No,,No,No,,No,No,No,,,,,,11377.0,,"No, I do not attend school",,No,No,,Never,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,Yes,Getting worse,,,No,,No,,No,Yes,,Yes,No,,,,,,No,,,No,No
Rent,,No,My workplace,,,No,English,No,No,,,No,,,,,No,,,No,,No,Yes,No,Not very familiar,,,,,11417.0,,"No, I do not attend school",,No,,,Never,I work from home,,,No,,I do not have access to a car,,No,Getting better,No,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
Own,,No,My doorstep,No,,,,No,No,,,No,,,,,No,,,No,,No,No,No,Not at all familiar,,,,,10312.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,No,,,,No,,Yes,,Yes,Yes,,Yes,No,,,On the street,,,No,,,No,No
Rent,,No,Refused,,,,,No,Yes,,,No,No,,,,No,,No,No,,No,,No,Not at all familiar,,,,,11210.0,,"No, I do not attend school",,No,No,,,,,,No,,I do not have access to a car,,No,Getting better,,,No,,No,,No,Yes,,,No,,,,,,No,,,No,No
Own,,No,My doorstep,,,,,No,,,,,,,,,,,,No,,No,No,No,Not at all familiar,,,,,11414.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,,Getting worse,,,No,,No,,Yes,No,,No,No,,,,,,No,,,No,
,,No,My doorstep,,,,,No,,,,,,,,,,,,No,,No,No,No,Not at all familiar,,,,,10473.0,,"No, I do not attend school",,No,,,Never,,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,,,,,No,,No,,Yes,No,,No,No,,,,,,No,,,No,
Own,,No,My doorstep,No,,,,No,,,,,,,No,,,,,No,,No,Yes,No,Very familiar,,,,,10312.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,,Getting worse,,,No,,Yes,,No,Yes,,No,No,,,On the street,,,No,,,No,
Rent,,No,My doorstep,No,,,English,No,No,,,No,Yes,,No,,No,,No,No,,No,No,No,Somewhat familiar,Not very frequently,,,,11215.0,,"No, I do not attend school",,No,No,,A few times a year,,,,,,I personally own or lease a car,,Yes,Getting worse,,,No,,Yes,,Yes,Yes,,Yes,No,,,,,,No,,,No,No
Rent,No,No,An alternative address (i.e. a family member or friend's),No,No,,English,No,No,Yes,,No,,6-10 blocks,,,No,No,,No,,No,Yes,No,Not very familiar,,,,,10458.0,,"No, I do not attend school",,No,,The Bronx,A few times a year,,No,The Bronx,No,,Other,,No,Getting better,,,No,,Yes,,No,Yes,No,No,No,,,,No,,No,,No,No,No
Rent,,No,,,,,,No,,,,,No,,No,,,,No,No,,No,,No,Not very familiar,,,,,11215.0,,"No, I do not attend school",,No,No,,,,,,No,,I do not have access to a car,,,Getting worse,,,No,,No,,Yes,Yes,,,No,,,,,,No,,,No,
Rent,,No,My lobby,No,,,English,No,No,,,No,,,,,No,,,No,,No,,No,Not at all familiar,,,,,10304.0,,"No, I do not attend school",,No,,,Once a week or more,,,,No,,I do not have access to a car,,No,Staying the same,,No,No,,Yes,No,No,Yes,,,No,,,,,,No,,,No,No
Own,No,No,My doorstep,No,No,,English,No,No,Yes,,No,,,,,No,No,,No,,No,,No,Somewhat familiar,,,,,11357.0,,"No, I do not attend school",,No,,,At least once a month,,No,Queens,No,,I personally own or lease a car,,No,Staying the same,,No,No,,Yes,No,Yes,Yes,No,,No,,,,No,,No,,No,No,No
Own,,No,My doorstep,,,,,No,No,,,No,,,,,No,,,No,,No,No,No,Not at all familiar,,,,,10467.0,,"No, I do not attend school",,No,,,Never,2pm,,,No,,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",,No,Staying the same,,,No,,No,,Yes,No,,No,No,,,,,,No,,,No,No
Rent,,No,My doorstep,,,,English,No,,,,,No,,,,,,No,No,,No,No,No,Not at all familiar,,,,,10462.0,,"No, I do not attend school",,No,No,,Never,,,,,,I do not have access to a car,,,Staying the same,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Own,,No,My doorstep,,,,,No,,,,,No,,,,,,No,No,,No,,No,Somewhat familiar,,,,,11217.0,,"No, I do not attend school",,No,No,,,,,,No,,I personally own or lease a car,,,,,,No,,No,,No,Yes,,,No,,,,,,No,,,No,
Own,,No,My doorman,,,,,No,,,,,,,,,,,,No,,No,Yes,No,Not very familiar,,,,,10025.0,,"No, I do not attend school",,No,,,Never,,,,No,,I do not have access to a car,,,Staying the same,,,No,,No,,Yes,No,,No,No,,,,,,No,,,No,
Own,No,No,A postal store,No,No,,,No,No,Yes,,No,,1-2 blocks,No,,No,No,,No,Yes,No,,Yes,Somewhat familiar,Very frequently,,,,11208.0,,"No, I do not attend school",,No,,,Once a week or more,,No,Brooklyn,,,I personally own or lease a car,,No,Getting better,,No,No,,Yes,No,No,Yes,No,,No,,No,,No,,No,,No,No,No
Own,,No,My doorstep,No,,,,No,,,,,,,,,,,,No,,No,,No,Not at all familiar,,,,,11367.0,,"No, I do not attend school",,No,,,Physically unable to ride a bike,,,,No,,I do not have access to a car,,,Staying the same,,,No,,Yes,,Yes,No,,,No,,,,,,No,,,No,
Own,,No,My doorstep,,,No,English,No,,,,,,,No,,,,,No,,No,,No,Somewhat familiar,,,,,10473.0,,"No, I do not attend school",,No,,,Several times a month,,,,No,,I personally own or lease a car,,,Getting worse,No,No,No,,,No,No,Yes,,,No,,,,,,No,,,No,
Own,No,No,My doorstep,No,No,,Espa�ol,No,No,Yes,,No,,,,,No,No,,No,,No,,No,Not at all familiar,,,,,10016.0,No,"No, I do not attend school",,No,,Manhattan,Once a week or more,,No,Manhattan,No,,I personally own or lease a car,Manhattan,No,Getting better,,No,No,,Yes,No,No,Yes,No,,No,,,On the street,No,,No,No,No,No,No
Rent,,No,Refused,,,,,No,,,,,,,No,,,,,No,,No,,No,Not at all familiar,,,,,10029.0,,"No, I do not attend school",,No,,,,,,,No,,I do not have access to a car,,,Getting worse,,,No,,No,,No,No,,,No,,,,,,No,,,No,
Rent,,No,My doorman,,,,,No,,No,,,No,,No,,,,No,No,,No,,No,Somewhat familiar,,,,,11230.0,,"No, I do not attend school",,No,No,,,,,,No,,I do not have access to a car,,,Getting worse,,,No,,No,,No,Yes,,,No,,,,,,No,,,No,
Rent,,No,My doorstep,,,,English,No,,,,,,,,,,,,No,,No,,No,Not very familiar,,,,,10029.0,,"Yes, I attend school part time",,No,,,Physically unable to ride a bike,,,,No,,I do not have access to a car,,,Getting worse,,,No,,No,,No,Yes,,,No,,,,,,No,,,No,
Own,,No,My doorstep,,,,,No,No,,,No,No,,No,,No,,No,No,,No,,No,Not at all familiar,,,,,10465.0,,"No, I do not attend school",,No,No,,,,,,No,,I personally own or lease a car,,No,Getting worse,,,No,,No,,No,Yes,,,No,,,On the street,,,No,,,No,No
Rent,No,No,My doorstep,No,No,,English,No,No,Yes,,No,,,,,No,No,,No,,No,Yes,No,Not very familiar,,No,,Yes,11432.0,,"No, I do not attend school",,No,,Queens,Never,,Yes,Queens,No,,I personally own or lease a car,,No,Staying the same,,,No,,Yes,,Yes,Yes,No,No,No,,,,No,,No,,No,No,No
Own,,No,My doorstep,,,,English,No,No,,,No,,,No,,No,,,No,,No,Yes,No,Not very familiar,,,,,10461.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,No,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
Own,,No,Other,No,,,,No,,,,,No,,,,,,No,No,,No,,No,Not very familiar,,,,,11378.0,,"No, I do not attend school",,No,No,,Once a week or more,,,,No,,I personally own or lease a car,,,Getting worse,,No,No,,Yes,No,Yes,Yes,,,No,,,In a single family home garage or driveway,,,No,,,No,
Own,,No,An alternative address (i.e. a family member or friend's),,,,,No,No,,,No,No,3-5 blocks,,,No,,No,No,,No,,No,Not at all familiar,,,,,11236.0,,"No, I do not attend school",,No,No,,,,,,No,,I personally own or lease a car,,No,,,,No,,No,,Yes,Yes,,,No,,,On the street,,,No,,,No,No
Rent,,No,A postal store,,,,English,No,No,,,No,Yes,6-10 blocks,,,No,,No,No,,No,No,No,Not very familiar,Not at all frequently,,,,10031.0,,"No, I do not attend school",,No,No,,Never,,,,,,I do not have access to a car,,Yes,Staying the same,,,No,,No,,Yes,Yes,,Yes,No,,,,,,No,,,No,No
Own,,No,My doorstep,,,,English,No,No,,,No,,,No,,No,,,No,,No,Yes,No,Somewhat familiar,,,,,10033.0,,"No, I do not attend school",,No,,,A few times a year,,,,No,,I personally own or lease a car,,Yes,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
Rent,No,No,My doorstep,No,No,,,No,No,Yes,,No,,,,,No,No,,No,,No,No,No,Not very familiar,,,,,11412.0,,"No, I do not attend school",,No,,Queens,A few times a year,,No,Outside of NYC,No,,I personally own or lease a car,,No,Staying the same,,,No,,Yes,,Yes,Yes,No,Yes,No,,,In a single family home garage or driveway,No,,No,,No,No,No
Own,,No,,,,,English,No,No,,,No,,,,,No,,,No,,No,Yes,No,Not at all familiar,,,,,10310.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,No,Getting worse,,,No,,No,,Yes,Yes,,Yes,No,,,,,,No,,,No,No
Own,,No,My doorstep,,,,,No,No,,,No,,,,,No,,,No,,No,Yes,No,Not very familiar,,,,,11427.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,No,Getting worse,,,No,,No,,Yes,Yes,,Yes,No,,,,,,No,,,No,No
Rent,No,No,My doorstep,No,No,,English,No,,Yes,,,,,No,,,No,,No,,No,Yes,No,Somewhat familiar,,,,,11421.0,,"No, I do not attend school",,No,,Queens,Never,,Yes,Queens,No,,I personally own or lease a car,,,Getting worse,,,No,,Yes,,Yes,Yes,No,Yes,No,,,,No,,No,,No,No,
Rent,,No,My doorstep,,,,English,No,No,,,No,,,,,No,,,No,,No,,No,Not at all familiar,,,,,11216.0,,"No, I do not attend school",,No,,,Physically unable to ride a bike,,,,No,,I personally own or lease a car,,No,Staying the same,,,No,,No,,Yes,Yes,,,No,,,,,,No,,,No,No
Own,No,No,My doorstep,No,No,,English,No,No,Yes,,No,No,,,,No,No,No,No,,No,,No,Not very familiar,,,,,11370.0,,"No, I do not attend school",,No,No,,Several times a month,,Yes,Queens,No,,I personally own or lease a car,,No,Staying the same,,No,No,,Yes,No,Yes,Yes,No,,No,,,,No,,No,,No,No,No
Own,,No,My doorstep,,,,English,No,,,,,,,,,,,,No,,No,Yes,No,Not at all familiar,,,,,10310.0,,"No, I do not attend school",,No,,,Never,,,,No,,I personally own or lease a car,,,Staying the same,,,No,,No,,Yes,No,,Yes,No,,,On the street,,,No,,,No,
Rent,,No,Other,,,,,No,,,,,,,No,,,,,No,,No,No,No,Somewhat familiar,,,,,11106.0,,"No, I do not attend school",,No,,,Never,,,,Yes,,I do not have access to a car,,,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,
Rent,,No,My doorman,,,,,No,No,,,No,No,,,,No,,No,No,,No,,No,Somewhat familiar,,,,,10280.0,,"No, I do not attend school",,No,No,,,,,,No,,I do not have access to a car,,Yes,Staying the same,,,No,,No,,No,Yes,,,No,,,,,,No,,,No,No
Own,,No,My doorman,,,,English,No,No,,,No,No,,,,No,,No,No,,No,Yes,No,Not at all familiar,,,,,11694.0,,"No, I do not attend school",,No,No,,Never,,,,No,,I personally own or lease a car,,Yes,Getting worse,,,No,,No,,Yes,Yes,,No,No,,,,,,No,,,No,No
