name,swdseats_prog15,swdfilled_prog8,selectioncriteria5_prog7,swdseats_prog2,swdapps_prog9,code_prog12,swdapps_prog2,swdapps_prog12,swdfilled_prog12,name_prog11,swdseats_prog9,selectioncriteria3_prog3,bbl,geappsperseat_prog13,swdappsperseat_prog2,geappsperseat_prog2,priority6_prog1,languageclasses,admissionsmethod_prog9,sharedbuilding,name_prog2,name_prog10,swdfilled_prog1,geappsperseat_prog3,name_prog3,selectioncriteria1_prog13,swdseats_prog6,geappsperseat_prog14,admissionsmethod_prog10,champsgirls,eligibility_prog6,geapps_prog2,admissionsmethod_prog15,priority2_prog3,swdappsperseat_prog3,selectioncriteria1_prog5,swdfilled_prog14,district,swdappsperseat_prog5,selectioncriteria4_prog2,ellprograms,eligibility_prog12,admissionsmethod_prog7,gefilled_prog9,selectioncriteria2_prog3,other_features,swdappsperseat_prog9,swdapps_prog7,nta,name_prog5,selectioncriteria1_prog7,tophs3,geapps_prog11,community_board,swdseats_prog4,eligibility_prog1,name_prog14,swdappsperseat_prog14,name_prog8
John Ericsson Middle School 126 (14K126),,,,,,,,,,,,,3027120001.0,,,,,Spanish,,0,,,1.0,,,,,,,Softball,,,,,,,,14,,,English as a New Language,,,,,"Extended Day,Uniform,Weekend Program",,,Greenpoint,,,Williamsburg Preparatory School,,301.0,,Open to students and residents of District 14,,,
Esperanza Preparatory Academy (04M372),,,,14.0,,,51.0,,,,,ELL Status,1016560100.0,,4.0,4.0,,Spanish,,1,Esperanza Preparatory Academy,,,1.0,Spanish Dual Language Program,,,,,,,159.0,,,1.0,,,4,,,English as a New Language;Dual Language: Spanish,,,,Attendance,,,,East Harlem South,,,,,111.0,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov.",,,
P.S./M.S. 194 (11X194),,,,,,,,,,,,,2038340070.0,,,,,Spanish,,0,,,0.0,,,,,,,,,,,,,,,11,,,English as a New Language,,,,,,,,Westchester-Unionport,,,,,210.0,,Open to students and residents of the Bronx,,,
I.S. 072 Rocco Laurie (31R072),,,,,,,,,,,,,5023640001.0,,,,,Italian;Spanish,,0,ROCCO LAURIE ASD HORIZON PROGRAM,,0.0,1.0,Rocco Laurie (I.S. 72),,,,,,,,,,1.0,,,31,,,English as a New Language,,,,,,,,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,,,Gaynor McCown Expeditionary Learning School,,502.0,,"Open to students currently in an ASD (Autism Spectrum Disorder) Nest program. If you are not currently an ASD Nest student and are interested in the program, please contact asdprograms@schools.nyc.gov",,,
Bronx Early College Academy for Teaching & Learning (09X324),,,,,,,,,,,,,2024460043.0,,,,Then to Bronx students and residents,,,1,,,1.0,,,,,,,,,,,,,,,9,,,English as a New Language,,,,,Uniform,,,East Concourse-Concourse Village,,,,,204.0,,Open to students and residents of the Bronx,,,
School of Performing Arts (12X217),,,,,,,,,,,,,2027140004.0,,,,,Spanish,,1,,,1.0,,,,,,,,,,,,,,,12,,,English as a New Language,,,,,"Summer Session,Uniform,Weekend Program",,,Hunts Point,,,,,202.0,,Open to students and residents of the Bronx,,,
P.S. 047 Chris Galas (27Q047),,,,,,,,,,,,,4153130485.0,,,,,Spanish,,0,,,0.0,,,,,,,,,,,,,,,27,,,English as a New Language,,,,,Uniform,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,,,Rockaway Park High School for Environmental Sustainability,,414.0,,Open to continuing 5th grade students and students residing in the zone,,,
I.S. 254 (10X254),,,,19.0,,,9.0,,,,,,2030580003.0,,0.0,0.0,Then to Bronx students and residents who sign in at an event,Spanish,,0,I.S. 254 Zoned Program,,1.0,,,,,,,,,30.0,,,,,,10,,,English as a New Language;Transitional Bilingual Education: Spanish,,,,,"Summer Session,Uniform,Weekend Program",,,Belmont,,,New Visions Charter High School for the Humanities,,206.0,,Open to students and residents of the Bronx,,,
P.S. 308 Clara Cardwell (16K308),,,,,,,,,,,,,3016300001.0,,,,,,,0,,,0.0,,,,,,,,,,,,,,,16,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,Stuyvesant Heights,,,,,303.0,,Open to students and residents of District 16,,,
P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School (09X218),,,,,,,,,,,,,2024800008.0,,,,,,,1,,,1.0,,,,,,,,,,,,,,,9,,,English as a New Language;Dual Language: Spanish,,,,,"Uniform,Weekend Program",,,West Concourse,,,,,204.0,,Open to students and residents of the Bronx,,,
M.S. 51 William Alexander (15K051),,,,,,,,,,,,,3009810111.0,,,,,French;Spanish,,0,,,1.0,,,,,,,,,,,,,,,15,,,English as a New Language,,,,,"Diversity in Admissions,Extended Day,Summer Session",,,Park Slope-Gowanus,,,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,,306.0,,Open to students and residents of District 15,,,
The Riverside School for Makers and Artists (03M191),,,,,,,,,,,,,1011717510.0,,,,,Spanish,,1,,,0.0,,,,,,,,,,,,,,,3,,,English as a New Language,,,,,,,,Lincoln Square,,,,,107.0,,Open to students and residents of District 3,,,
The Laboratory School of Finance and Technology: X223 (07X223),,,,7.0,,,157.0,,,,,,2023060054.0,,22.0,23.0,,Spanish,,1,The Laboratory School of Finance and Technology: X223,,1.0,,,,,,,Softball,,537.0,,,,,,7,,,English as a New Language;Dual Language: Spanish,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,Mott Haven-Port Morris,,,Bronx Career and College Preparatory High School,,201.0,,Open to students and residents of the Bronx,,,
J.H.S. 057 Whitelaw Reid Academy of Arts and Business (16K057),,,,,,,,,,,,,3016160001.0,,,,,,,0,,,0.0,,,,,,,,,,,,,,,16,,,English as a New Language,,,,,"Extended Day,Uniform,Weekend Program",,,Stuyvesant Heights,,,,,303.0,,Open to students and residents of District 16,,,
"P.S. 279 Captain Manuel Rivera, Jr. (10X279)",,,,,,,,,,,,,2031780014.0,,,,,,,0,,,0.0,,,,,,,,,,,,,,,10,,,English as a New Language;Transitional Bilingual Education: Spanish,,,,,Uniform,,,Mount Hope,,,,,205.0,,Open to students and residents of the Bronx,,,
Pelham Academy of Academics and Community Engagement (11X468),,,,,,,,,,,,,2044320001.0,,,,,,,1,,,1.0,,,,,,,,,,,,,,,11,,,English as a New Language,,,,,,,,Bronxdale,,,New World High School,,211.0,,Open to students and residents of the Bronx,,,
P.S. 211 (12X211),,,,,,,,,,,,,2029510032.0,,,,,Spanish,,1,,,0.0,,,,,,,,,,,,,,,12,,,English as a New Language;Transitional Bilingual Education: Spanish,,,,,"Summer Session,Uniform",,,East Tremont,,,,,206.0,,Open to students and residents of the Bronx,,,
J.H.S. 217 Robert A. Van Wyck (28Q217),,,,,,,,,,,,,4097240173.0,,,,,Latin;Spanish,,0,,,1.0,,,,,,,,,,,,,,,28,,,English as a New Language,,,,,"Summer Session,Uniform,Weekend Program",,,Briarwood-Jamaica Hills,,,Thomas A. Edison Career and Technical Education High School,,408.0,,Open to students and residents of District 28,,,
I.S. 061 William A Morris (31R061),,,,8.0,,,25.0,,,,,,5001000100.0,,3.0,3.0,,American Sign Language;Italian,,0,Spanish Dual Language Program,,,6.0,Performing Arts Program,,,,,,,67.0,,,5.0,,,31,,,English as a New Language;Dual Language: Spanish,,,,,Summer Session,,,New Brighton-Silver Lake,,,Susan E. Wagner High School,,501.0,53.0,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov.",,,
The Brooklyn Green School (16K898),,,,,,,,,,,,,3013550023.0,,,,,Korean,,1,,,1.0,,,,,,,,,,,,,,,16,,,English as a New Language,,,,,"Extended Day,Summer Session,Weekend Program",,,Crown Heights North,,,,,308.0,,Open to students and residents of Brooklyn,,,
M.S. M247 Dual Language Middle School (03M247),,,,,,,,,,,,,1011480014.0,,,,,Spanish,,1,,,1.0,,,,,,,,,,,,,,,3,,,English as a New Language;Dual Language: Spanish,,,,,"Diversity in Admissions,Extended Day,Summer Session,Uniform",,,Upper West Side,,,The Global Learning Collaborative,,107.0,,Open to students and residents of Manhattan,,,
M.S. 158 Marie Curie (26Q158),,,,55.0,,,29.0,,,,,,4073120001.0,,1.0,1.0,,Mandarin;Spanish,,0,M.S. 158 Marie Curie Zoned Program,,1.0,,,,,,,,,222.0,,,,,,26,,,English as a New Language,,,,,,,,Bayside-Bayside Hills,,,Benjamin N. Cardozo High School,,411.0,,Open to students and residents of District 26,,,
Science School for Exploration and Discovery (M.S. 224)  (07X224),,,,,,,,,,,,,2022860036.0,,,,,Spanish,,1,,,1.0,,,,,,,Volleyball,,,,,,,,7,,,English as a New Language;Transitional Bilingual Education: Spanish,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,Mott Haven-Port Morris,,,,,201.0,,Open to students and residents of the Bronx,,,
J.H.S. 220 John J. Pershing (20K220),,,,0.0,,,78.0,,,,,,3007780023.0,,,,,Spanish,,0,Spanish Dual Language Program,,1.0,5.0,Federal Magnet Program,,,,,Volleyball,,292.0,,,5.0,,,20,,,English as a New Language;Dual Language: Spanish;Transitional Bilingual Education: Chinese,,,,,Weekend Program,,,Sunset Park East,,,Sunset Park High School,,312.0,46.0,Open to students and residents of District 20,,,
J.H.S. 383 Philippa Schuyler (32K383),,,,,,,,,,,,,3032980001.0,,,,,French;Spanish,,0,,,1.0,,,,,,,,,,,,,,,32,,,English as a New Language,,,,,,,,Bushwick North,,,,,304.0,,Open to students and residents of Brooklyn and Queens. Students may apply for 5th or 6th grade admission.,,,
I.S. R002 George L. Egbert (31R002),,,,52.0,,,37.0,,,,,,5036960100.0,,1.0,1.0,,Italian;Spanish,,0,Zoned Program,,1.0,,,,,,,,,153.0,,,,,,31,,,English as a New Language,,,,,Summer Session,,,New Dorp-Midland Beach,,,Curtis High School,,502.0,,Open to students and residents of District 31,,,
P.S. 127 Aerospace Science Magnet School (30Q127),,,,17.0,,,18.0,,,,,,4011090016.0,,1.0,1.0,,Spanish,,0,Aerospace And Science Academy,,1.0,,,,,,,,,81.0,,,,,,30,,,English as a New Language;Dual Language: Spanish,,,,,"Extended Day,Uniform,Weekend Program",,,East Elmhurst,,,,,403.0,,Open to students and residents of Queens,,,
P.S./M.S. 004 Crotona Park West (09X004),,,,6.0,,,14.0,,,,,,2029300001.0,,2.0,2.0,,,,0,Crotona Park West (P.S./M.S. 4),,0.0,,,,,,,,,42.0,,,,,,9,,,English as a New Language,,,,,Uniform,,,Claremont-Bathgate,,,,,203.0,,"Open to students currently in an ACES (Academics, Career, and Essential Skills) program. If you are not currently an ACES student and are interested in the program, please contact acesprograms@schools.nyc.gov",,,
Community Voices Middle School (29Q356),,,,,,,,,,,,,4133310001.0,,,,,Spanish,,1,,,0.0,,,,,,,,,,,,,,,29,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,Springfield Gardens South-Brookville,,,,,413.0,,Open to students and residents of District 29,,,
The Boerum Hill School for International Studies (15K497),,,,17.0,,,158.0,,,,,,3004020001.0,,9.0,15.0,,French,,1,Boerum Hill School for International Studies,,0.0,,,,,,,,,1063.0,,,,,,15,,,English as a New Language;Dual Language: French,,,,,Diversity in Admissions,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,,Beacon High School,,306.0,,Open to students and residents of Brooklyn.,,,
P.S. 076 A. Philip Randolph (03M076),,,,14.0,,,20.0,,,,,,1019260017.0,,1.0,2.0,,French;Spanish,,0,A. Philip Randolph (P.S./I.S. 76),,,,,,,,,,,82.0,,,,,,3,,,English as a New Language,,,,,"Diversity in Admissions,Uniform,Weekend Program",,,Central Harlem South,,,,,110.0,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov.",,,
The Highbridge Green School (09X361),,,,,,,,,,,,,2025270058.0,,,,,,,1,,,1.0,,,,,,,,,,,,,,,9,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform,Weekend Program",,,Highbridge,,,,,204.0,,Open to students and residents of the Bronx,,,
I.S. 303 Herbert S. Eisenberg (21K303),,0.0,,11.0,31.0,,13.0,,,,14.0,,3072500025.0,,1.0,3.0,,Spanish,Open,0,Herbert S. Eisenberg (I.S. 303) Magnet Program (Computer/Math),Herbert S. Eisenberg (I.S. 303) Magnet Program (Vocal Music),0.0,3.0,Herbert S. Eisenberg (I.S. 303) Magnet Program (Dance),,7.0,,Talent Test,,Open to students and residents of District 21,152.0,,,2.0,,,21,,,English as a New Language,,Talent Test,0.0,,"Summer Session,Weekend Program",2.0,2.0,West Brighton,I.S. 303 Herbert S. Eisenberg D75 Inclusion Program,Students who apply to these programs will be selected based on their score on the District 21 Talent Tests,Rachel Carson High School for Coastal Studies,,313.0,6.0,Open to students and residents of District 21,,,Herbert S. Eisenberg (I.S. 303) Magnet Program (Science)
J.H.S. 131 Albert Einstein (08X131),,,,,,,,,,,,,2036440001.0,,,,,,,0,,,0.0,,,,,,,,,,,,,,,8,,,English as a New Language,,,,,"Extended Day,Uniform,Weekend Program",,,Soundview-Castle Hill-Clason Point-Harding Park,,,Bronx Compass High School,,209.0,,Open to students and residents of the Bronx,,,
Waterside School For Leadership (27Q318),,,,4.0,,,8.0,,,,,,4161810001.0,,2.0,2.0,,,,1,Waterside School for Leadership,,1.0,,,,,,,,,34.0,,,,,,27,,,English as a New Language,,,,,"Summer Session,Uniform,Weekend Program",,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,,,,,414.0,,Open to students and residents of Queens,,,
Jonas Bronck Academy (10X228),,,,,,,,,,,,,2030337501.0,,,,,Mandarin,,1,,,1.0,,,,,,,,,,,,,,,10,,,English as a New Language,,,,,"Extended Day,Summer Session,Uniform",,,Fordham South,,,,,206.0,,Open to students and residents of the Bronx,,,
I. S. 381 (22K381),,,,10.0,,,84.0,,,,,,3076290030.0,,8.0,5.0,,Latin,,1,"Center for Science, Mathematics & Computer Science",,1.0,,,,,,,,,248.0,,,,,,22,,,English as a New Language,,,,,"Summer Session,Uniform,Weekend Program",,,Midwood,,,John Dewey High School,,314.0,,Open to students and residents of District 22,,,
