schooldbn,priority3_prog3,swdseats_prog8,gefilled_prog5,selectioncriteria2_prog7,swdfilled_prog10,admissionsmethod_prog13,swdappsperseat_prog7,code_prog7,eligibility_prog7,selectioncriteria5_prog4,swdappsperseat_prog6,code_prog15,geseats_prog12,gefilled_prog2,geseats_prog5,gefilled_prog7,geapps_prog4,admissionsmethod_prog6,gefilled_prog3,activities,selectioncriteria1_prog8,selectioncriteria6_prog1,admissionsmethod_prog8,geseats_prog10,borough,swdappsperseat_prog11,name_prog9,selectioncriteria7_prog1,priority2_prog6,name_prog6,geseats_prog3,priority3_prog1,gefilled_prog11,selectioncriteria3_prog8,priority1_prog3,geappsperseat_prog15,geapps_prog5,geappsperseat_prog12,swdseats_prog10,eligibility_prog14,geseats_prog15,swdfilled_prog4,name_prog12,swdfilled_prog6,council_district,eligibility_prog5,admissionsmethod_prog12,selectioncriteria1_prog2,geseats_prog8,diversityinadmissions,eligibility_prog3,geseats_prog9,selectioncriteria1_prog6,gefilled_prog6,eligibility_prog13,geseats_prog13,selectioncriteria8_prog1,nan with telephone,Academic and Personal Behavior Scores with telephone,All student applicants must come for our open Auditions in January. with telephone,Attendance with telephone
04M206,,,,,,,,,,,,,,0.0,,,,,0.0,"Art, Music, Saturday Academy, Service Learning, Spelling Bee, Technology",,,,,MANHATTAN,,,,,,,Then to District 4 students and residents who sign in at an event,,,,,,,,,,,,,8.0,,,,,,"Open to students currently in an ASD (Autism Spectrum Disorder) Nest program. If you are not currently an ASD Nest student and are interested in the program, please contact asdprograms@schools.nyc.gov",,,,,,,212-860-5809,,,
11X019,,,,,,,,,,,,,,,,,,,,"Art, Chorus, Fitness, Leadership, National Junior Honor Society, Yearbook",,,,,BRONX,,,,,,,Then to District 11 students and residents,,,,,,,,,,,,,11.0,,,,,,,,,,,,,718-324-1924,,,
32K562,,,,,,,,,,,,,,1.0,,,,,,"Art, Band, Book Club, Coding, Comic Book Club, Cooking, Creative Writing, Dance, Debate, Drama, Gardening, Green Team, Homework Help, Leadership, Lego Robotics, Peer Mediation, Restorative Circles, Robotics, Saturday Academy, School Newspaper, Science Club, Service Learning, Student Council, Technology, Theater, Tutoring, Video Game Club, Peer Mediation, Soccer, Basketball, Volleyball, Cheerleading",,,,,BROOKLYN,,,,,,,Then to District 32 students and residents who sign in at an event,,,,,,,,,,,,,37.0,,,,,,,,,,,,,718-455-0180,,,
M054,,,,,,,,,,,,,,,,,,,,"Art, Band, Chorus, Coding, Creative Writing, Dance, Debate, Engineering, Homework Help, Leadership, Lego Robotics, Math Team, Music, Restorative Circles, School Newspaper, Science Club, Student Council, Talent Show, Technology, Theater, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,7.0,,,,,This program prioritizes 25% of seats for students who qualify for the federal free or reduced price lunch program (FRL) and who are lower-performing.,,,,,,,,212-678-2861,,,
08X375,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to District 8 students and residents who sign in at an event,,,,,,,,,,,,,18.0,,,,,,,,,,,,,718-542-5063,,,
02M276,,,,,,,,,,,,,,,,,,,,"Art, Band, Chorus, Homework Help, Leadership, Math Team, National Junior Honor Society, Restorative Circles, School Newspaper, Science Club, Service Learning, STEM, Student Council, Tutoring, Yearbook",,,,,MANHATTAN,,,,,,,Then to residents of the elementary school zone,,,,,,,,,,,,,1.0,,,,,,,,,,,,,212-266-5800,,,
03M421,,,,,,,,,,,,,,,,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,7.0,,,,,This program prioritizes 25% of seats for students who qualify for the federal free or reduced price lunch program (FRL) and who are lower-performing.,,,,,,,,212-280-8502,,,
08X371,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,718-823-6042,,,
10X280,,,,,,,,,,,,,,,,,,,,,,,,,BRONX,,,,,,,Then to District 10 students and residents,,,,,,,,,,,,,11.0,,,,,,,,,,,,,718-405-6360,,,
22K278,,,,,,,,,,,,,,1.0,,,,,0.0,"Art, Band, Chorus, Coding, Debate, Drama, Gardening, Lego Robotics, Music, Musical Theater, National Junior Honor Society, Saturday Academy, STEM, Student Council, Technology, Theater, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,46.0,,,,,,"Open to students currently in an ASD (Autism Spectrum Disorder) Nest program. If you are not currently an ASD Nest student and are interested in the program, please contact asdprograms@schools.nyc.gov",,,,,,,718-375-3523,,,
18K581,,,,,,,,,,,,,,,,,,,,,,,,,BROOKLYN,,,,,,,Then to District 18 students and residents who sign in at an event,,,,,,,,,,,,,41.0,,,,,,,,,,,,,718-773-3059,,,
25Q499,,,,,,,,,,,,,,1.0,,,,,,"Art, Chorus, Coding, Debate, Engineering, Latin Dance, Music, Restorative Circles, Robotics, STEM, Student Council, Technology, Visual Arts, Yearbook",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,718-461-7462,,,
19K452,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Dance, Debate, Lego Robotics, Music, Musical Theater, National Junior Honor Society, Photography, Saturday Academy, School Newspaper, Service Learning, Step Team, Student Council, Theater, Visual Arts, Yearbook, Basketball Team",,On-Site Assessment,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,718-348-2465,,,
17K189,,,,,,,,,,,,,,,,,,,,"Art, Band, Dance, Leadership, Saturday Academy, Spelling Bee, Student Council, Technology, Visual Arts",,Lateness,,,BROOKLYN,,,,,,,Then to District 17 students and residents,,,,,,,,,,,,,41.0,,,,,,,,,,,,,718-756-0210,,,
14K071,,,,,,,,,,,,,,0.0,,,,,0.0,"Art, Band, Book Club, Chess, Coding, Cooking, Dance, Debate, Drama, Gardening, Guitar, Homework Help, Lego Robotics, Music, Musical Theater, Peer Mediation, Robotics, Rock Band, Saturday Academy, STEM, Student Council, Technology, Theater, Tutoring, Visual Arts, Yearbook, Textiles (Sewing)",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,33.0,,,4th Grade New York State ELA and Math Exams,,,"Open to students currently in an ACES (Academics, Career, and Essential Skills) program. If you are not currently an ACES student and are interested in the program, please contact acesprograms@schools.nyc.gov",,,,,,,,718-302-7900,,
26Q266,,,,,,,,,,,,,,1.0,,,,,,"Art, Band, Chess, Chorus, Coding, Debate, Drama, Fitness, Music, Musical Theater, National Junior Honor Society, Restorative Circles, Saturday Academy, Student Council, Technology, Theater",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,718-479-3920,,,
09X593,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Dance, Fashion, Fitness, Homework Help, Leadership, Music, Peer Mediation, Photography, Restorative Circles, Saturday Academy, Service Learning, Student Council, Talent Show, Yoga, Small Group Instruction, Advisory",,,,,BRONX,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,718-588-0341,,,
01M184,,,,,,,,,,,,,,,,,,,,"Art, Dance, Leadership, Music, Restorative Circles, Saturday Academy, Spelling Bee, Technology, Tutoring, Visual Arts, Yearbook, Yoga",,Lateness,,,MANHATTAN,,,On-Site Assessment,,,,Then to Manhattan students and residents,,,,,,,,,,,,,1.0,,,,,,,,,,,,,212-602-9700,,,
20K223,,,,,,,,,,,,,,1.0,,,,,0.0,"Art, Band, Chess, Chorus, Fitness, Gardening, Glee Club, Green Team, Lego Robotics, Music, Peer Mediation, Robotics, Saturday Academy, Science Olympiad, STEM, Step Team, Technology, Urban Arts, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,149.0,,,,,,,,,,,,,,44.0,,,,,,Open to students residing in the zone,,,,,,,718-438-0155,,,
26Q067,,,,,,,,,,,,,,1.0,,,,,0.0,"Chess, Debate, Gardening, Green Team, Homework Help, Lego Robotics, Math Team, Musical Theater, School Newspaper, Spelling Bee, STEM, Student Council, Theater, Yearbook",,,,,QUEENS,,,,,,163.0,,,,,,,,,,,,,,19.0,,,,,,Open to students residing in the zone,,,,,,,718-423-8138,,,
13K113,,,,,,,,,,Math and English Assessment - Multiple choice and Essay,,,,0.0,,,127.0,,0.0,"Dance, Debate, National Junior Honor Society, Service Learning, Step Team, Student Council, Technology, Yearbook",,Home Language,,,BROOKLYN,,,Lateness,,,69.0,,,,,,,,,,,0.0,,,35.0,,,4th Grade New York State ELA and Math Exams,,,Open to students and residents of District 13,,,,,,On-Site Assessment,,718-834-6734,,
13K265,,,,,,,,,,,,,,0.0,,,,,,"Art, Band, Choir, Chorus, Coding, Dance, Engineering, Fitness, Lego Robotics, Music, National Junior Honor Society, Peer Mediation, Restorative Circles, Robotics, Saturday Academy, Step Team, Student Council, Talent Show, Technology, Tutoring, Visual Arts, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,35.0,,,On-Site Assessment,,,,,,,,,,718-834-6760,,,
30Q111,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chess, Choir, Chorus, Creative Writing, Dance, Debate, Drama, Homework Help, Leadership, Musical Theater, Peer Mediation, Science Club, Service Learning, Student Council, Technology, Theater, Tutoring, Visual Arts, Yearbook",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,718-786-2073,,,
29Q192,,,,,,,,,,,,,,,,,,,,"Art, Band, Book Club, Chess, Choir, Dance, Debate, Drama, Fitness, Green Team, Homework Help, Leadership, Lego Robotics, Music, National Junior Honor Society, Photography, Restorative Circles, Robotics, Saturday Academy, School Newspaper, Science Club, Service Learning, STEM, Student Council, Talent Show, Technology, Tutoring, Visual Arts, Yearbook, Champs sports, Y-Scholars YMCA, Male mentoring, Student leaders",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,718-479-5540,,,
09X232,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Coding, Drama, Fitness, Leadership, Lego Robotics, Music, Peer Mediation, Photography, Saturday Academy, STEM, Step Team, Student Council, Talent Show, Technology, Yoga",,,,,BRONX,,,,,,,Then to Bronx students and residents,,,,,,,,,,,,,14.0,,,,,,,,,,,,,718-583-7007,,,
04M964,,,,,,,,,,,,,,,,,,,,"Art, Cooking, Dance, Yearbook",,,,,MANHATTAN,,,,,,,Then to District 4 students and residents,,,,,,,,,,,,,8.0,,,,,,,,,,,,,212-860-5992,,,
19K663,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Chess, Choir, Coding, Drama, Engineering, Homework Help, Leadership, Lego Robotics, Math Team, Music, National Junior Honor Society, Photography, Restorative Circles, Robotics, Saturday Academy, Science Club, STEM, Step Team, Student Council, Talent Show, Technology, Theater, Tutoring, Video Game Club, Visual Arts, Yearbook, Yoga",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,718-345-5190,,,
27Q043,,,,,,,,,,,,,,0.0,,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,718-327-5860,,,
16K035,,,,,,,,,,,,,,,,,,,,"Art, Book Club, Chess, Creative Writing, Dance, Debate, Drama, Green Team, Homework Help, Leadership, Lego Robotics, Math Team, Peer Mediation, Restorative Circles, Robotics, Saturday Academy, Spelling Bee, Student Council, Visual Arts, Thurgood Marshall Mock Trial, Adelaide Sanford Oratory Contest",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,718-574-2345,,,
05M148,,,,,,,,,,,,,,,,,,,,"Art, Band, Chess, Coding, Comic Book Club, Creative Writing, Debate, Engineering, Guitar, Music, Musical Theater, Peer Mediation, Photography, Restorative Circles, Service Learning, Spelling Bee, Student Council, Technology, Theater, Urban Arts, Video Game Club, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,212-694-6051,,,
06M311,,,,,,,,,,,,,,,,,,,,"Art, Choir, Chorus, Dance, Drama, Fitness, Music, Musical Theater, Saturday Academy, School Newspaper, STEM, Student Council, Theater, Tutoring, Visual Arts, Yearbook",,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,212-544-8021,,,
25Q294,,,,,,,,,,,,,,,,,,,,"Art, Band, Chorus, Creative Writing, Dance, Drama, Fashion, Fitness, Guitar, Music, Musical Theater, National Junior Honor Society, Photography, Student Council, Technology, Theater, Visual Arts, Yearbook",,,,,QUEENS,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,718-428-0587,,,
32K384,,,,,,,,,,,,,,0.0,,,,,,"Art, Chorus, Coding, Cooking, Dance, Gardening, Guitar, Peer Mediation, Robotics, STEM, Step Team, Student Council, Talent Show, Technology, Video Game Club, Yearbook",,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,718-642-4890,,,
29Q270,,,,,,,,,,,,,,,,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,718-341-8280,,,
