code1,fax_number,academicopportunities1,requirement1_2,admissionspriority18,state_code,requirement2_5,grade9gefilledflag9,common_audition2,eligibility7,appperseat6specialized,requirement5_4,grade9swdapplicantsperseat7,offer_rate2_2,admissionspriority31,method8,requirement5_6,method9,interest8,appperseat5specialized,requirement3_4,seats107,code6,seats108,requirement5_8,requirement1_3,offer_rate1_9,grade9geapplicants6,auditioninformation2,seats109,requirement3_7,seats9swd3,grade9swdapplicantsperseat4,code3,grade9swdapplicants6,program3,admissionspriority41,program7,auditioninformation6,common_audition1,seats9swd1,seats9ge1,grade9gefilledflag10,grade9swdapplicants10,admissionspriority21,grade9geapplicantsperseat9,grade9swdfilledflag1,requirement7_3,admissionspriority43,requirement3_8,prgdesc10,offer_rate1_8,requirement6_1,seats9swd5,method7,transfer,admissionspriority22,grade9geapplicants1,seats9ge5,requirement6_8,interest5,applicants1specialized,seats104,method6,grade9swdapplicantsperseat3,extracurricular_activities,requirement1_4,seats4specialized
M81H,212-247-7514,"We provide a cross-curricular academic program that culminates in a college level public policy research project including a community service component where students debate, present or perform in a public setting.",Attendance,,NY,,,1.0,,,Audition with common components,,,,,,,,,Standardized Test Scores: Average (2.4-4.5),,,,,Attendance,,,"Prepare two contrasting monologues (one minute each), for example: dramatic/comedic, classical/contemporary, published/original, or theater/film. Choose characters close to your age or life experience, decide who your characters are talking to and why, and completely memorize both pieces.",,,6.0,4.0,M81K,,Classical Vocal Music,,,,1.0,6.0,22.0,,,Then to New York City residents,,N,,,,,,,,,,Then to New York City residents,241.0,,,,,No,,5.0,"Audition Coaching, Black History Planning Committee, College Tutoring, Community Service, Full-Scale Musical Production, Gay & Straight Alliance (GSA), Global Glimpse International Service Club, Leadership Club, National Honor Society, Photography Club, Playwriting Club, Filmmaking Club, SAT Preparation, School Newspaper, Science Lab Internships, Senior Leadership Council, Social Action Committee, Student Council, Teaching Assistant Internships, Yearbook Club. Students are encouraged to start new clubs.",Attendance,
L39A,718-782-5283,NYS Performance Consortium: students complete four graduation-level Performance-Based Assessment Tasks in lieu of Regents except the ELA Regents,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,30.0,,,Open to New York City residents,,Y,,,,,,,,,,,191.0,,,,,,,,"Art, Theater, Chess, Community Action, Dance, El Puente, Fundraising Club, Homework Help, Music, Peer Mediation, Peer Mentorship, Peer Tutoring, Restorative Justice, Gender & Sexuality Alliance (GSA), Talent Shows, Anime and Yearbook",,
L44A,718-968-4296,iLearnNYC: Program for expanded online coursework and self-paced learning through APEX and blended learning.,Attendance,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,50.0,,,,,Y,,,,,,,,,,,319.0,,,,,,,,"ACE Hornets Basketball Team, Chess Club, Dance club, Gamers club, Fashion club, Painting and Art Club, Peer Mediation, SAVE, Senior Council, Student Organization and Gender & Sexuality Alliance (GSA).",,
Q25X,718-463-3514,"Performance-based assessment tasks (PBATs) in English, Math, Science, History, and Native Language.",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,76.0,,,,,N,,,,,,,,,,,374.0,,,,,,,,"Before- and After-School Academic Support, Chess, Creative Writing, Digital Video/Photography, Drama, Dream Team, Easy English Academy, Food and Cultural Explorers, Green Team, Guitar, IT, Music Club, Newspaper, Regents Prep, SAT Prep, Science Challenge/Robotics, Student Government and Video club",,
M57B,646-557-3926,Dual Language and Transitional Bilingual Programs,Attendance,,NY,,,,,,"NYSESLAT Score, if available",,,,,,,,,"Course Grades: English (78-100), Math (80-100), Science (76-100), Social Studies (80-100)",,,,,Attendance,,,,,,4.0,5.0,M57D,,Dual Language Spanish Pre-Engineering,,,,,13.0,47.0,,,,,N,,,,,,,,,,,443.0,,,,,No,,7.0,"Clubs: Chess, Creative Writing, Newspaper, Music (Piano & Guitar), Gamer & Robotics Internships: Cornell Hydroponics, MOUSE Squad, CTE Summer Scholars, ACE (Turner Construction and Rockefeller Group), & School Construction Authority Other: Theater, NYPD Explorer, SAT Prep, Yearbook Committee, Student Government Association & National Honors Society",Attendance,
M44X,212-586-1731,"Four year studies in English, Math, Science and Social Studies",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,85.0,,,,,N,,,,,,,,,,,267.0,,,,,,,,"URBAN ASSEMBLY SPORTS Basketball and Soccer Leagues  PSAL SPORTS - GIRLS Basketball and Volleyball  PSAL SPORTS - BOYS Baseball, Basketball, Bowling, Soccer, Tennis and Volleyball  EXTRACURRICULAR CLUBS Boxing and Weightlifting Team, Mural/Art Club, Woodworking Club, Video Game Club, Anime, Code Nation, Drama Club, and National Honor Society",,
Q48A,718-734-3276,"College Access for All, CUNY College Now program through Kingsborough Community College and York College",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,115.0,,,Then to New York City residents,,N,,,,,,,,,,,187.0,,,,,,,,,,
M19B,212-690-6805,,Attendance,,NY,,,,,,,,,,,,,,,Course Grades: Average (64-100),,M19Y,,,Attendance,,,,,,21.0,2.0,M19J,,The Academy of Engineering,,,,,22.0,82.0,,,,,Y,,,,,,,7,,,,666.0,27,,Humanities & Interdisciplinary,,Yes,ASD/ACES Program,5.0,,Attendance,
K00S,718-381-3012,"IB Programme: extended independent essay, on a subject of choice, the completion of which correlates closely to college-level research writing",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17244.0,,,,,,
K29A,718-832-0273,STEAMD _ {STEM + Art & Design} Entrepreneurship Accelerator; iLearnNYC: Program for expanded online coursework; All classes have an Honors option,,,NY,,,,,,,,,Then to New York City residents,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,104.0,,,Then to Brooklyn students or residents,,N,,,,,,,,,,,147.0,,,,,,,,"Audio & Video Production, Boxing, Bric Arts Media (school residencies), College & Career Planning, Digital Publications, Documentary Film, Drama/Theater, iClub, National Honor Society, Photography, PRY, Robotics, Tai Chi, Tech Corp, Virtual Reality",,
Q30J,718-392-3315,Performance/Portfolio-based assessment tasks (PBATs) required in sophomore (Gateway) and senior (Oral Defense) year.,,,NY,,,,,,,,,Then to New York City residents,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,82.0,,,Then to Queens students or residents,,Y,,,,,,,,,,,1517.0,,,,,,,,,,
M29A,212-260-8124,"Minds Matter, SEO Scholars, POSSE Scholarship, CUNY College Now, Computer Science Partnership with Harvard University and Microsoft_CS50 Curriculum",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,126.0,,,Then to New York City residents,,Y,,,,,,,,,,,5736.0,,,,,,,,"Student Government, National Honor Society, NHS Peer Tutoring, Art Exhibitions, Bi-annual Writing Competitions, Black Student Union, Hispanic Student Union, Muslim Student Association, Gender & Sexuality Alliance (GSA), Chess Competitions, Comedy Troupe, Creative Writing Club, Debate, Girls Who Code, Hackathons, Key Club, Literary Magazine, Math Team, Model United Nations, Annual School Play, Open Mic Events, Peer Leaders, NESTFest Talent Show",,
Y55A,718-860-8232,Monday-Thursday school is from 7:50am-2:43pm; Friday school is from 7:50am-12:01pm,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,86.0,,,Then to New York City residents,,Y,,,,,,,,,,,389.0,,,,,,,,"National Honor Society, Peer Group Connection, Beacon Enrichment After-school program, Cheerleading, Community Service, Dance, Fitness, Gender & Sexuality Alliance (GSA), Intramural Basketball, Peer Mediator Program, Sponsors for Educational Opportunity, Student Council and Video Gaming",,
M58A,212-260-9657,All students develop graduation portfolios in the core subjects and present and defend their work in roundtables to committees each semester.,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,69.0,,,Then to New York City residents,,Y,,,,,,,,,,,1511.0,,,,,,,,"Bio Bus Science Program, Brotherhood, Chess, Community Service, Cooking, Crew/Rowing Team, Cycling, Dance, Debate, Environmental Club, Gardening, Gender & Sexuality Alliance (GSA), Graphic Novel, Jewelry Making, LES Girls Club, Model UN, National Honors Society, Photography, Principal's Book Club, Rock Band, Rock Climbing, School Newspaper, Sisterhood, Snowboarding & Surfing, Stoked: Skateboarding, Student Council, Travel Club, Yoga and more",,
K73A,718-452-3603,AVID is a nationwide elective program for students who possess a desire for college and career success with a willingness to work hard. These are often the students who will be the first in their families to attend college and are from groups traditionally underrepresented in higher education.,,,NY,,,,,,,,,Then to Brooklyn students or residents,,,,,,,,,,,,,,,,,,,,,,Then to New York City residents,,,,21.0,105.0,,,"Then to Districts 13, 19 and 23 students or residents",,Y,,,,,,,,,,,436.0,,,,,,,,"After-school enrichment, chorus, college courses, Dance Team, Debate Team, Guitar, Instrumental Band, peer tutoring, POWER (a pro-diversity group), SAT Prep courses, Saturday School",,
L67A,718-221-1781,"Internships, Mentorship Program, Early College Experience, Courses in Computer Systems and Information Technology",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,90.0,,,Then to New York City residents,,Y,,,,,,,,,,,1087.0,,,,,,,,,,
M34X,212-586-4205,"Cooking, Baking, Food and Culture, Food-Related Financial Management, Entrepreneurship, Internships",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,85.0,,,,,Y,,,,,,,,,,,1607.0,,,,,,,,"4-H, Anime, Arts, Baking, Cornell Nutrition, Entrepreneurship, National Honor Society, Peer Mediation/Conflict Resolution, Poetry, ProStart, Saturday Academy, Scholarship, School Newsletter, Step Dance, Student Government,  Monthly Visiting Chef Program, Yearbook, Youth Leadership, and Youth-Run Entrepreneurship",,
M86A,212-860-6043,Three Week Summer Bridge Program,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,91.0,,,,,Y,,,,,,,,,,,4761.0,,,,,,,,"Class of Consciousness, College Access Youth Leaders, Girls Inc. of NY, Green Team, High School Law Institute, International Travel, Brotherhood/Sister Sol, Korean Pop Culture, Anime Club, Badminton Club, Yearbook, National Honor Society, Opportunity Network, Peer Tutoring, PGC Peer Mentors, Search & Care Community Service, Step-Up Program, Student Council, Urban Arts Partnership (DJ Club & Latin Dance), and Young Audiences of NY Arts (Photography, Digital Film, Percussion & Improv Theater)",,
K71B,718-797-3862,"Pre-Engineering, Pre-Medicine, Humanities, Media Communication, New York University (NYU) BEST Program, Collaborative Team Teaching",Attendance,,NY,,,,,,,,51% of offers went to this group,Then to New York City residents,,,,,,,,,,,Attendance,,,,,,10.0,,K71K,,Pre-Medicine,,,,,10.0,50.0,,,Then to Brooklyn students or residents,,Y,,,,,,,,,,Then to Brooklyn students or residents,1287.0,,,,,,,10.0,,,
Q08R,718-389-3724,Portfolio-Based Assessments,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,105.0,,,Then to New York City residents,,Y,,,,,,,,,,,1941.0,,,,,,,,"After-School Programs: Regents Prep, AP Prep, NY Cares SAT & Sophomore Skills, PSAT Prep through Khan Academy. CUNY College Now: AOFE is affiliated with Baruch College and La Guardia Community College and other Colleges. Extra: DECA, Toastmaster, Young Debaters Program, Girls Inc., Big Brother & Big Sister, Junior Achievement, NFTE, VE, NAF, Lenovo App Inventor, Amazon Edhesive Future Engineer, OpNet, SEO, Urban Up bound. National & BTA Honor Society. Clubs: Asian, DECA, ER, Chess, Dance etc.",,
L01R,718-372-2514,Marine Biology,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,90.0,,,Then to New York City residents,,N,,,,,,,,,,,261.0,,,,,,,,"After-School Tutoring, Drama, GSA (LBGTQ Club), Leadership, NY Aquarium Internships, Saturday Program, Student Council",,
K07X,718-486-2505,"STEM offerings include Coding, Chemistry, Financial Literacy, Java, Physics, Science Genius, ScriptEd, & Three STEM AP courses",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,110.0,,,Then to New York City residents,,Y,,,,,,,,,,,1497.0,,,,,,,,"ACT/SAT Prep, Art Clubs, BAM Programs, College Exploration, CUNY College Now, Dance Team, Expanded Success Initiative, Film/Documentary Club, Girl Be Heard, Gender & Sexuality Alliance (GSA), H.S. Heroes, Job Shadowing, Museum Internships, National Honor Society, NY Cares, NYU Writing Partnership, Peer Mediation, Peer Tutoring, Restorative Justice Center, Science Genius, STAR Program, Steve's Camp, Student Ambassador Program, Student Council, Talent Show, Woke to Evoke: Social Justice Club, Youth Philanthropy Initiative",,
A13A,212-787-1455,"Technical Science- Horticulture: Urban Agriculture, Food and Natural Resources",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,85.0,,,Then to New York City residents,,N,,,,,,,,,,,400.0,,,,,,,,"Alvin Ailey Dance, Facilities Operations, Gardening, Gender & Sexuality Alliance (GSA), Green Team, Horticulture, Latin Dance, Management, Minecraft, Music, Poetry Writing and Performance, Strategy Club, Student Government, Theater, Tutoring",,
K22A,718-499-3947,"Paul Hastings Law Institute, Deloitte, Mock Trial, Moot Court, Peer Court, Debate, Introduction to Law, Global Law, Criminal and Constitutional Law",,,NY,,,,,,,,,Then to New York City residents,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,104.0,,,Then to Brooklyn students or residents,,Y,,,,,,,,,,,1567.0,,,,,,,,"Book Clubs, Chess, Dance Team, Gender & Sexuality Alliance (GSA), Martial Arts, Mock Trial, Moot Court, Musical Theater, Student Government, Tutoring in all content areas",,
M70A,212-979-7261,CTE program: Medical Lab Assistant. Students enrolled in this program work alongside healthcare professionals in various medical institutions.,Attendance,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,148.0,,,,,N,,,,,,,,,,,1348.0,,,,,,,,"Art, Best Buddies, Big Brothers Big Sisters, Cheer Leading, Chess, Computer, Dancing Classrooms, Debate Team, Friends of Latin America, GSA, Leadership, Model UN, Multicultural Shows, NHS, Ninth Grade Advisory through Kids Connect, Photography, Poetry, Rise to College, SAT Prep, Science, Sponsors for Educational Opportunity Scholars, Student Government, Teen Talk, Theater, Tutoring, Webmasters, Weight Training, Writing, Yearbook",,
Q33A,718-558-9807,Culinary Program,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,92.0,,,Then to New York City residents,,Y,,,,,,,,,,,295.0,,,,,,,,Gender & Sexuality Alliance (GSA),,
Q62A,718-888-7526,CUNY College Now classes at Queens College: students can take enrichment classes for high school and college credit.,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,92.0,,,Then to New York City residents,,N,,,,,,,,,,,530.0,,,,,,,,,,
M59A,212-674-1392,Four-Year Chinese Language Program,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,85.0,,,,,N,,,,,,,,,,,1231.0,,,,,,,,"Academic Enrichment, Art, Badminton Club, Chinese Culture and Enrichment, College Prep, Gallery Exhibits, Kaplan SAT Prep, Lion Dance, Math Research, Math Team, Peer Tutoring, Ping Pong Club, PM School, Saturday ESL Classes, Taekwondo Classes",,
Y49A,718-292-2355,"Four years English, Math, Science, and Social Studies with additional teaching assistants (Blue Engine partner) in 10th grade ELA.",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,86.0,,,Then to New York City residents,,Y,,,,,,,,,,,941.0,,,,,,,,"Blue Engine, buildOn Community Service, Campus College Center, Center for Supportive Schools, Here to Here, Hostos College, i-Mentor, Mock Trial/Law, Montefiore, National Honor Society, Newspaper, Opening Act, Leadership Program - Cheerleading, Partnerships: AP for All, AP Elevate, PSAL, SAT Prep, Saturday School, Sports and Dinner, Student Council, Theater Program, Womens'/Men Empowerment, Yearbook, and additional school clubs as per student interest.",,
Y54A,718-589-1595,Our portfolio program includes round-table reviews. Juniors present in-depth independent arts and research projects. Seniors lead capstone seminars.,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,86.0,,,Then to New York City residents,,Y,,,,,,,,,,,454.0,,,,,,,,"Artist Residencies, Chorus, Curatorial Program, Dance Ensemble, Digital Photography, Elite Productions DJ and Music Production Club, Fitness, Gay-Straight Alliance (GSA), Anime Club, Mural Painting, Musical Theater, Voice and Instrument Lessons, Restorative Justice Committee, Student Government, Video Game Club, Student Activities Committee, Step Team, Chinese Club, Soccer Club, and Visual Art",,
X87R,718-696-3801,Earn college credits while you are in high school,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,86.0,,,,,N,,,,,,,,,,,742.0,,,,,,,,"Student Government, Youth Philanthropy Initiative, Community Service, Yearbook, Enrichment Activities including dance, music, clubs, talent shows, and multicultural shows",,
X35A,718-319-5165,"Studio Art, Portfolio, Digital Media, Photography, Museum Apprenticeships/ Internships, CUNY College Now, AP Courses, Syracuse University Courses",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,X35U,,Bronx High School for the Visual Arts D75 Inclusion Program,,,,,11.0,43.0,,,Then to New York City residents,,Y,,,,,,,,,,Then to New York City residents,688.0,,,,,,,,,,
Q19A,718-793-7850,Carl Sagan Science/Math Honors Academy (STEM): Health Professions,,,NY,Course Grades: Average (69-100),,,,,,N/A - zoned program,,,,,,,,,Yes,Q19P,,,Attendance,,289,,,,24.0,25.0,Q19J,39,Carl Sagan STEM Honors Academy,,Zoned,"Vocal Music: Perform a prepared vocal selection. Please provide sheet music for pianist. Instrumental Music: Perform a prepared solo selection and a scale. Bring your own instrument (except piano, double bass, tuba, percussion and guitar amplifiers, which will be provided). For both art forms, the audition includes on-site music tasks (may include singing back melodic patterns, tapping back rhythmic patterns, play selected scales, or completing a sight reading, music theory or improvisation task).",,5.0,25.0,,,,,Y,,,,,,,5,Zoned Guarantee,,Then to New York City residents,556.0,25,,Performing Arts,,Yes,Audition,6.0,,,
A53A,212-242-4173,"Students complete Performance-Based Assessment Tasks (PBATs) in lieu of Regents. They must complete 4 Capstones to graduate and 4 ""Gateways"" in 10th.",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,95.0,,,Then to New York City residents,,Y,,,,,,,,,,,2255.0,,,,,,,,,,
K65A,718-922-0709,"Advanced Courses: Berkeley College-Medical Terminology, Adjustments of Psychology; CUNY College Now; AP Calculus, AP English Language Composition",,,NY,,,,,,,,60% of offers went to this group,Then to New York City residents,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,56.0,,,Then to Brooklyn students or residents,,N,,,,,,,,,,Then to Brooklyn students or residents,174.0,,,,,,,,"Arista/National Honor Society, Book Club, Campus Culture Club, Career Fairs, Choir, College Explorations, Extended Learning, Film/Media, Knitting/Crocheting Club, Math Tutoring Club, National College Fairs, Photography, SAT Prep, Saturday Academy, Sports Team Management, Student Government, Tutoring, Yearbook Club",,
Q26G,718-480-2697,"PSAT/SAT Prep, College Now, Tutoring, Internships, Volunteering, College Planning, Trips, Boys/Girls Groups, College-Readiness Courses, Regents Prep",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,92.0,,,Then to New York City residents,,Y,,,,,,,,,,,1359.0,,,,,,,,"ACE Program, Band, Board Game Club, Book Club, Charity Club, Chess Club, Crochet, Dance, Double Dutch, Graphic Novel & Animation, Law Team, Medical Club, Model UN, Robotics and Engineering, Slam Poetry, Step, Student Council, Yearbook Committee",,
X63X,718-538-9796,"Our core values: community awareness, respect, professionalism, and education are embedded in the education experience.",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,86.0,,,Then to New York City residents,,N,,,,,,,,,,,470.0,,,,,,,,"Art, Athletics, Book Club, Chess, Chorus, Computer Science and Technology, Culinary Arts, Dance, Drama, Expanded Success Initiative (ESI) for Young Men, Film, Fitness, Homework Help, Media, National Honor Society, Peer Mediation, Scholar Ambassadors (Link Crew), Student Government, Video Game Club, Weight Lifting, Yearbook",,
X80A,718-796-8657,All students may earn the Advanced Regents Diploma.  Students are programmed individually for courses which challenge and support each student.,,,NY,,,,,,,,,Then to Bronx students or residents,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,128.0,,,Then to students residing in the geographical catchment area,,Y,,,,,,,,,,,1226.0,,,,,,,,"Accreditation Committee, Anime, Art, Art/Poetry/Writing Competitions, Band, Book Club, Car Wash, Chorus, Concerts, Conflict Resolution, Dance, Festivals/Carnivals, Foreign Film, Glee, Library, Literary Magazine, Math, Model UN, Newspaper, NHS, Nutrition, Pep Rallies, Quiz Bowl, Regents Prep, RKA's Got Talent, Science Olympiad, Screenwriting, SLT, Spanish, Spelling Bee, Spring Festival, Step, Student Council, Tech Interns, Theater, Video Editing, Video Game Club, Yearbook",,
M47A,212-283-8109,"We offer a Regents curriculum designed to graduate students, equipped with critical thinking skills and a broad, global perspective.",,,NY,,,,,,,,,Then to Manhattan students or residents,,,,,,,,,,,,,,,,,,,,,,Then to New York City residents,,,,23.0,85.0,,,Then to District 5 students or residents,,Y,,,,,,,,,,,514.0,,,,,,,,"Cheerleading, Dance, Fashion, National Honor Society, Peer Mediation, Rites of Passage, Squash, Step Team, Student Government, Student Interns, TMA Ambassadors",,
K26H,718-724-8515,"Special program(s) in: Media Arts, Law and Public Safety, Scientific Research, Social Science Research and Engineering/Robotics","Course Grades: English (90-100), Math (88-100), Science (88-100), Social Studies (90-100)",,NY,,,,,,,,,,,,,,,,,,,,"Course Grades: English (90-100), Math (91-100), Science (91-100), Social Studies (90-100)",,,,,,69.0,11.0,K26K,,Medical Science Institute,,,,,63.0,305.0,,,,,N,,,,,,,,,,,485.0,,,,,No,,6.0,"Archon, Argus, Art, BioMed Society, Chorus, Concerts, Conflict Resolution, Dance, Drama, Fashion, Film, Gospel Choir, Gender & Sexuality Alliance (GSA), Historical Society, Japanese Animation, Knitting Circle, Marching Band, Microsoft Academy, Model Congress, Patterns, Peer Tutoring, Philosophy, Photography, Political Discussion, SING, Step Team, Student Government, Student Mentoring program, Writing","Course Grades: English (76-100), Math (75-100), Science (68-100), Social Studies (75-100)",
M50B,212-732-6622,iLearnNYC: Program for expanded online coursework and self-paced learning,,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,119.0,,,,,N,,,,,,,,,,,143.0,,,,,,,,,,
K95A,718-636-3819,"Health Professions, Engineering and Computer Technology, Law",Attendance,,NY,,,,,,,,4% of offers went to this group,Then to New York City residents,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,34.0,,,Then to Brooklyn students or residents,,Y,,,,,,Math Exercise (On-Site),,,,Then to Brooklyn students or residents,1160.0,,,,,,,,,,
Q53A,718-978-2309,"Graduate Early Program, SAT Prep Classes, Saturday Academy, Internships",Attendance,,NY,,,,,,,,,,,,,,,,,,,,Attendance,,,,,,14.0,,Q53K,,Cosmetology/Barbering Science and Entrepreneurship,,,,,18.0,102.0,,,Then to New York City residents,,N,,,,,,,,,,Then to New York City residents,257.0,,,,,,,,"Arista, Band, Video Game Club, Choir, Dance Ensemble, Spanish, Glee Club, Game Design, Jazz Band, Opportunity to audition for HAI Theater Company, Project Prize Queensborough Community College Liberty Partnership, Robotics, Student Government, Theater Arts, Tutoring, Urban Word, Web Design, Words from Within Poetry, and Yearbook, Gender & Sexuality Alliance (GSA), Swimming, Multi-media Club, Graduate Early Program.",,
K70C,718-596-9434,"Industry-recognized certifications: Culinary - NYC Department of Health Food Handlers' Certificate, Computer Systems Support -  CCENT/CCNA (Cisco), A+ Computer Repair, Internet Core Competency Certification (IC3), Electrical Installation and Practice -  NCCER and OSHA (10 hr), Multimedia - HTML5 certification, All programs NOCTI industry readiness exam.",Attendance,,NY,Punctuality,,,,,,,,,,,,,,Course Grades: Average (65-100),,K70U,,,Attendance,,,,,,10.0,13.0,K70E,,Electrical Installation and Practice,,,,,10.0,47.0,,,,,Y,,,,,,,10,,,,299.0,46,,Computer Science & Technology,,No,D75 Special Education Inclusive Services,8.0,"Anime Club, Cheerleading Club, Chess Team, Creative Arts Club, FIRST Robotics Club, Fitness Club, Girl Power, Gender & Sexuality Alliance (GSA), Equity Club, National Honor Society, Poetry/Creative Writing Club, Science Club, SkillsUSA, Student Government, Video Game Club, GW TV club, Guitar Club and Yearbook.",Attendance,
X51A,718-295-3605,"Project Student Opportunities for Academic Reinforcement (Project SOAR), Tutoring, Counseling, SAT Prep, CUNY College Now",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,22.0,86.0,,,Then to New York City residents,,Y,,,,,,,,,,,970.0,,,,,,,,"Cheerleading, Dance, Dramatic Arts, Instrumental Music, JROTC, Musical Theater, National Honor Society (NHS), Poetry Club, Regents Academy, Small Group Tutoring, Student Government, Technical Theater, Visual Arts, Vocal Music, Yearbook",,
M20X,212-382-2306,"College Access: Research and Action, Advanced Dance/Chorus/Tech/Acting",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13.0,47.0,,,,,Y,,,,,,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,,,,,252.0,,,,,,,,"Advanced Dance/Chorus/Tech/Acting, Annual Musical Production, Annual Play Production, August Wilson Monologue Competition, CORE (Coalition on Racial Equity), Gender & Sexuality Alliance (GSA), Hip Hop Dance Crew, International Thespian Society, Movie/Gaming Club, National Honor Society, NYPD Explorers, Peer Mediation, Saturday Academy, Schoolwide Assembly Performances, Shakespeare Society Competition, Student Council, Tech Crew and Yearbook",,
R55A,718-370-6960,"NYC Outward Bound Schools: In-depth expeditions that incorporate real-world connections, project-based learning, and character development.",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,82.0,,,Then to New York City residents,,Y,,,,,,,,,,,545.0,,,,,,,,"Art Appreciation, Cheerleading, Chess, Club 360, Coding, Dance, Debate, Fashion Club, Film Club, Gender & Sexuality Alliance (GSA), Guitar, Key Club, Martial Arts, Music, National Honor Society, Peer Mediators, S!NG, Spring Show, Step, Student Council",,
M67B,212-941-7934,Advanced Placement & College Readiness Curricula.,Attendance,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,M67U,,Chelsea Career and Technical Education High School D75 Inclusion Program,,,,,9.0,36.0,,,Then to New York City residents,,Y,,,,,,,,,,Then to New York City residents,565.0,,,,,,,,"After School Academic Tutoring, Extracurricular Clubs (by student interest), Mentoring, National Technical Honor Society, SAT Prep and Student Government",,
Q49A,718-286-3501,"Crew: Crew is a small advisory group of no more than 16 students, which focuses on community, academics, and college.",,,NY,,,,,,,,,Then to New York City residents,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,92.0,,,Then to Queens students or residents,,Y,,,,,,,,,,,2218.0,,,,,,,,,,
K48A,718-230-6262,"We use iLearnNYC, which is a program for expanded online coursework and self-paced learning.",,,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,90.0,,,Then to New York City residents,,N,,,,,,,,,,,522.0,,,,,,,,,,
K62X,718-922-0593,Introduces the occupational benefits of the Fire and Emergency Medical Services (EMS),,,NY,,,,,,,,,Then to New York City residents,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,90.0,,,Then to Brooklyn students or residents,,Y,,,,,,,,,,,320.0,,,,,,,,"EMT Explorers, Explorer Program, Graphic Arts, Internships within FDNY, PSAL Activities, School Newsletter, Student Council Activities and Events, Student Government, Technology",,
A37A,212-722-6717,"Dual Language Program, Career and College Counseling and Advisory, CUNY College Now Courses",,,NY,,,,,,,,,Then to New York City residents,,,,,,,,,,,,,,,,,,,A37U,,Esperanza Preparatory Academy D75 Inclusion Program,,,,,16.0,62.0,,,Then to Manhattan students or residents,,N,,,,,,,,,,,245.0,,,,,,,,,,
