school_name,admissionspriority34,common_audition7,bus,grade9swdfilledflag5,requirement2_4,borough,program5,requirement4_6,grade9gefilledflag1,website,offer_rate1_7,requirement4_1,grade9swdapplicantsperseat6,admissionspriority35,code8,grade9swdapplicants7,admissionspriority17,diplomaendorsements,common_audition8,interest1,offer_rate1_4,eligibility5,requirement2_9,code2,requirement4_7,boys,seats105,requirement5_7,grade9swdapplicants8,specialized,offer_rate2_3,school_sports,offer_rate2_5,auditioninformation1,seats106,admissionspriority19,grade9swdfilledflag3,seats9swd2,grade9geapplicantsperseat7,requirement4_2,shared_space,requirement7_2,requirement3_9,academicopportunities5,code10,grade9gefilledflag8,program4,pbat,grade9geapplicantsperseat4,requirement1_5,admissionspriority32,subway,interest6,seats9swd6,interest10,prgdesc8,program1,grade9gefilledflag2,grade9geapplicantsperseat10,eligibility2,requirement8_5,requirement6_3,admissionspriority210,seats9ge8,borocode,building_code,grade9geapplicantsperseat2,grade9swdapplicants2,pct_stu_safe,admissionspriority38,eligibility9,prgdesc3,admissionspriority29,prgdesc1,program10,admissionspriority26,requirement6_9,advancedplacement_courses
Bushwick Leaders High School for Academic Excellence,,,"B38, B46, B46-SBS, B47, B52, B54, B60, M Shuttle Bus, Q24",,,BROOKLYN,,,N,www.bushwickleaders.org,,,,,,,,,,Humanities & Interdisciplinary,,,,K36B,,,,,,,,"Baseball/Softball, Basketball, Soccer, Volleyball",,,,,,5.0,,,,,,,,,,,,,,J to Kosciusko St; M to Central Ave; Z to Myrtle Ave,,,,,Bushwick Leaders High School for Academic Excellence,N,,,,,,,K,K865,4.0,23.0,0.86,,,,,,,,,"AP Computer Science Principles, AP English Literature and Composition, AP Environmental Science, AP Spanish Language and Culture, AP United States History"
Queens Metropolitan High School,,,"BM5, Q11, Q21, Q23, Q52-SBS, Q53-SBS, Q54, Q55, QM12, QM15, QM42",,,QUEENS,,,N/A - zoned program,www.queensmetro.com,,,,,,,,Science,,Zoned,,,,Q39U,,,,,,,,Track/Cross Country,,,,,,,,,Yes,,,,,,,,,,,,,,,,Zoned,,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov",,,,,Q,Q686,,,0.88,,,,,,,,,"AP Biology, AP Calculus AB, AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Spanish Language and Culture, AP Statistics, AP U.S. Government and Politics, AP United States History, AP World History: Modern"
Rockaway Park High School for Environmental Sustainability,,,"Q21, Q22, Q53-SBS, QM16",,,QUEENS,,,N,RockawayParkHS.com,,,,,,,,,,Humanities & Interdisciplinary,,,,Q36G,,,,,,,,,,,,,,8.0,,,Yes,,,"Attendance incentive trips such as Citifield, Hershey Park and Great Adventure",,,,,,,,"A, S to Beach 105th St",,,,,Rockaway Park High School for Environmental Sustainability,N,,,,,,,Q,Q410,2.0,33.0,0.79,,,,,,,,,"AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Psychology, AP United States History"
The Laboratory School of Finance and Technology,,,"Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",,,BRONX,,,Y,www.mshs223.org,,,,,,,,,,Computer Science & Technology,,,,Y72B,,,,,,,,"Basketball, Football, Intramural Sports, Soccer",,,,,,1.0,,Standardized Test Scores: Average,Yes,,,,,,,1.0,,,Then to New York City residents,"2, 5 to 3rd Ave-149th St; 4 to 138th St; 6 to 3rd Ave-138th St",,,,,Dual Language Spanish Program,Y,,,,,,,X,X149,296.0,236.0,0.9,,,,,"The vision of this program is to educate our students to become bilingual, bi-literate, and bicultural in this ever-increasing global society. Our students will achieve academic excellence in two languages while attaining a multicultural understanding and appreciation for the different cultures represented in our program and in our world.",,,,"AP Biology, AP Calculus AB, AP Computer Science A, AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Physics 1, AP Spanish Language and Culture"
Hostos-Lincoln Academy of Science,,,"Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx4A",,,BRONX,,,Y,hostoslincoln.org,,,,,,,,,,Health Professions,,,,,,,,,,,,"Baseball/Softball, Basketball, Soccer",,,,,,,,,Yes,,,,,,,,,,,"2, 5 to Jackson Ave; 6 to East 149th St",,,,,Hostos-Lincoln Academy of Science,,,,,,,,X,X162,,,0.89,,,,,,,,,
Discovery High School,,,"Bx1, Bx10, Bx12, Bx12-SBS, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9, BxM3, BxM4",,,BRONX,,,Y,https://www.schools.nyc.gov/schools/X549,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,4 to Kingsbridge Rd,,,,,Discovery High School,,,,,,,,X,X430,,,0.82,,,,,Arts-integrated academic program with a concentration in the creative and technical arts,,,,"AP English Language and Composition, AP Environmental Science, AP European History, AP Spanish Language and Culture, AP United States History"
The Urban Assembly School for Media Studies,,,"BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42",,,MANHATTAN,,,N,uamhighschool.org,,,,,,,,,,Communications,,,,,,,,,,,,"Basketball, Cheerleading",,,,,,,,,Yes,,,,,,,,,,,"1 to 66th St-Lincoln Center; 2, 3 to 72nd St; A, C, B, D to 59th St-Columbus Circle",,,,,The Urban Assembly School for Media Studies,,,,,,,,M,M490,,,0.95,,,,,,,,,"AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP United States History"
The High School for Global Citizenship,,,"B41, B43, B44-SBS, B45, B48, B49",,Punctuality,BROOKLYN,,,N,Www.hs-gc.org,,,,,,,,,,Science & Math,,,,K32B,,,,,,,,"Badminton, Basketball, Cheerleading, Dance, Soccer, Swimming, Track/Cross Country",,,,,Y,4.0,,,Yes,,,"Elective art courses (Visual Arts, Drama, Photography)",,,Brooklyn STEAM Center,,4.0,,,"2, 3, 4, 5 to Franklin Ave; S to Botanic Gardens",,,,,Engineering,N,,,,,,,K,K440,7.0,20.0,0.79,,,"This program is designed to build student interest and engagement in computer science and prepare more students for great career opportunities that require computational thinking. The program comprises introductory, foundation, and specialty courses.",,"This program is taught by certified Project Lead the Way teachers. Engineering students engage in open-ended problem solving, learn and apply the engineering design process, and use the same industry-leading technology and software as are used in the world's companies. Students are immersed in design as they investigate topics such as ethics, sustainability, mechatronics, forces, structure, aerodynamics, digital electronics, circuit design, manufacture, and the environment.",,,,"AP English Literature and Composition, AP Seminar, AP World History: Modern"
PROGRESS High School for Professional Careers,,,"B24, B43, B60, Q54, Q59",,,BROOKLYN,,,N,progresshighschool.com,,Honors Courses,,,,,,,,Health Professions,,,,K87B,,,,,,,,,,,,,N,6.0,,Honors Courses,Yes,,,"Concert Band for beginners; Intermediate Symphonic Band; Latin Band, Advanced Wind Ensemble; Visiting Artists Program and All-City Marching Band",,,,,,,,L to Grand St,,,,,STEM Professional Careers,N,,,,,,,K,K450,5.0,35.0,0.96,,,"Four full concert bands, three jazz bands, Latin Band, two choral ensembles, Chamber groups such as guitar ensemble, brass choir, and clarinet choir; Annual theater/musical theater performances by students; Presentations at City/State Conferences; sight singing, Latin music theory, and music history, perform original repertoire. Art-Courses in art history, drawing, painting, graphic arts, stage design, and AP Studio Art (2-D & 3-D Design, Drawing). Also ceramics, mural painting, and sculpture.",,"Preparation for entry-level positions in the health field as well as admission to two- and four-year colleges. This program equips students with the knowledge, skills, and competencies for success in college pre-med programs. This four-year math and science program culminates in internships at various medical facilities. Students take AP courses in biology, chemistry, anatomy, and physiology and participate in Health Occupation Students of America.",,,,"AP 2-D Art and Design, AP Biology, AP Computer Science Principles, AP Drawing, AP English Literature and Composition, AP United States History"
Young Women's Leadership School of the Bronx (TYWLS),,,"Bx1, Bx18, Bx2, Bx3, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, BxM4",,,BRONX,,,Y,www.tywlsbronx.org,,Group Interview (On-Site),,,,,,,,Computer Science & Technology,,,,,,,,,,,,"Basketball, Softball, Track, Volleyball",,,,,,,,,Yes,,,School uniform required that includes shirt and pants/skirt with school logo and gym uniform.,,,,,,,,"4 to 176th St; B, D to 174-175th Sts",,,,,"Young Womens Leadership School, Bronx",,,,,,,,X,X117,,,0.88,,,,,We partner with Software Engineering for All and offer Software Engineering for grades 6-12 as well as AP Computer Science to 10th -12th grade students.,,,,"AP Computer Science Principles, AP Psychology, AP U.S. Government and Politics, AP United States History, AP World History: Modern"
Brooklyn Collegiate: A College Board School,,,"B12, B14, B25, B47, B60, B7",,,BROOKLYN,,,N,Brooklyncollegiate.net,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,"WEB Quest; Laptop access for all students; Parents certified as Learning Leaders, Career Internships, Anti-bias workshops",,,,,,,,"C to Rockaway Ave; A, J, L, Z to Broadway Junction",,,,,Brooklyn Collegiate Preparatory HS: A College Board School,,,,,,,,K,K055,,,0.92,,,,,"Students will learn to read complex texts and write in all content areas, using pre-AP strategies. All students will be enrolled in pre-AP courses beginning freshman year. Students are offered the opportunity to achieve an AP Capstone diploma, beginning with AP Seminar in their Freshman year followed by AP Research. Student leadership programs are available through the Brooklyn TRIO Program and the Leaders of Tomorrow program. Internships are available to all students in every content area.",,,,"AP Biology, AP Calculus AB, AP English Literature and Composition, AP Seminar, AP Statistics, AP United States History, AP World History: Modern"
August Martin High School,,,"Q111, Q113, Q114, Q6, Q7, QM21",,,QUEENS,,,N,AUGUSTMARTIN.ORG,,,,,,,,,,Engineering,,,,Q50H,,,,,,,,"Football, Girls Basketball, Soccer, Softball, Track and Volleyball",,,,,,10.0,,,Yes,,,"Communication Arts Academy offers Career Development and Arts Administration Workshops, Internships, and Summer College Bridge Program",,,,,,,,,,,,,Aerospace and Technology Academy,N,,,,,,,Q,Q400,4.0,68.0,0.83,,,,,"This program helps prepare students for careers in aviation. Students will have the opportunity to train in FAA flight and ground certification. Technical Certification is also offered for A+, C-Tech, and Microsoft MOUS Certification.",,,,"AP 2-D Art and Design, AP Drawing, AP English Language and Composition, AP Environmental Science"
Brooklyn Community Arts & Media High School (BCAM),,,"B38, B44, B44-SBS, B48, B52, B54, B57, B62",,,BROOKLYN,,,N,bcamhs.org,,,,,,,,,,Performing Arts/Visual Art & Design,,,,,,,,,,,,"Football, Soccer, Track/Cross Country",,,,,,,,,Yes,,,"Intensive Language Travel Abroad Program: Spanish & Mandarin language studies, BCAM Globetrotters completing international travel in Spring (Spain '16, Japan '17, Italy '19, Ghana '21)",,,,,,,,G to Classon Ave,,,,,Brooklyn Community Arts and Media,,,,,,,,K,K117,,,0.85,,,,,"Ninth grade summer bridge intensive, Ninth grade scholars academy",,,,"AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP United States History"
Newcomers High School,,,"B62, Q100, Q101, Q102, Q103, Q32, Q39, Q60, Q66, Q67, Q69, X63, X64, X68",,,QUEENS,,,N,newcomershs.schoolwires.net,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,"Basketball, Soccer, Swimming, Volleyball, Cricket",,,,,,,,,Yes,,,,,,,,,,,"7, N, W to Queensboro Plaza; E, M, R to Queens Plaza; F to 21st St-Queensbridge",,,,,Newcomers High School,,,,,,,,Q,Q450,,,0.89,,,,,"Intensive integrated English Language Arts and English as a New Language. Core subjects: science, social studies, and mathematics integrate English language development and English common core standards.",,,,"AP Calculus AB, AP Chinese Language and Culture, AP English Language and Composition, AP Spanish Language and Culture, AP Spanish Literature and Culture, AP U.S. Government and Politics"
Flushing High School,,,"Q12, Q13, Q15, Q15A, Q16, Q17, Q19, Q20A, Q20B, Q25, Q26, Q27, Q28, Q34, Q44-SBS, Q48, Q50, Q65, Q66, QM20, QM3",,,QUEENS,,,N,flushinghighschool.org,,,,,,,,,,Law & Government,,,,Q18B,,,,,,,,,,,,,Y,19.0,,,Yes,,,,,,Zoned,,,,,7 to Flushing-Main St,,,,,Thurgood Marshall Law Pathway,N,,,,,,,Q,Q460,4.0,72.0,0.73,,,"As a registered testing center for Microsoft programs, students taking business courses with participation in the Virtual Enterprise Program are eligible for Microsoft MOUS certification. Students may also pursue CTE Business certification.",,"Introduction to Law, Criminology and Juvenile Justice, Practical Law, Constitutional Law, Civil Rights Law, Trial Techniques, and Advanced Topics in Law and Public Service. Students can choose one area of study: Legal Studies or Public Service.",,,,"AP Biology, AP Calculus AB, AP Chemistry, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP European History, AP Macroeconomics, AP Physics 1, AP Spanish Language and Culture, AP Spanish Literature and Culture, AP United States History, AP World History: Modern"
Eagle Academy for Young Men of Harlem,,,"Bx19, Bx33, M1, M10, M100, M101, M102, M104, M11, M2, M3, M4, M5, M7",,,MANHATTAN,,,N,www.eagleharlem.org,,"Standardized Test Scores: English Language Arts, Math",,,,,,,,Humanities & Interdisciplinary,,,,,,1.0,,,,,,,,,,,,,,,Yes,,,After-school enrichment opportunities and Saturday Academic Academy.,,,,,,,,"1 to 137th St-City College; B, C to 135th St",,,,,Eagle Academy for Young Men of Harlem,,,,,,,,M,M136,,,0.63,,,,,"Eagle Academy will prepare scholars for their choice of colleges and careers. Our young men will not only leave our program academically sound, but culturally competent and armed with a strong sense of self.",,,,
Westchester Square Academy,,,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",,,BRONX,,,N,westchestersquare.wordpress.com,,Individual Interview (On-Site),,,,,,,,Humanities & Interdisciplinary,,,,Y58B,,,,,,,,Track/Cross Country,,,,,,11.0,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.6-4.5)",Yes,,,Peer Mediation/Mentoring Program (Peer Group Connection),,,,,,,,6 to Westchester Square-East Tremont Ave,,,,,Westchester Square Academy,N,,,,,,,X,X405,4.0,37.0,0.71,,,,,College-preparatory curriculum with a liberal arts focus,,,,"AP 2-D Art and Design, AP English Language and Composition, AP English Literature and Composition, AP Spanish Language and Culture, AP Spanish Literature and Culture, AP U.S. Government and Politics, AP United States History"
East New York Family Academy,,,"B15, B20, B6, B83, B84, BM5",,,BROOKLYN,,,N,https://www.schools.nyc.gov/schools/K409,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",,,,,,,,Humanities & Interdisciplinary,,,,K45U,,,,,,,,"We offer Intramural sport opportunities for all of our students in Baseball, Basketball, Football, Intramural Sports, Softball, Soccer, and Volleyball",,,,,,,,,Yes,,,College for All - All Juniors and Seniors are provided with individualized guidance through the college and career application process.,,,,,,,,3 to Van Siclen Ave,,,,,East New York Family Academy,,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov",,,,,K,K660,,,0.84,,,,,"Grade 10: AP World History, AP Capstone English Seminar. Grade 11: AP Language and Composition,  AP US History, and AP Computer Science Principles. Grade 12: Medgar Evers College Dual Pipeline Math Course for College Credit or AP Statistics, Medgar Evers College Dual Pipeline English Course for College Credit or AP Literature and Composition, AP Spanish Culture and Language, and AP Environmental Science. All students have Advisory one period per week. All academic classes meet in 90 minute blocks.",,,,"AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Spanish Language and Culture, AP Statistics, AP United States History, AP World History: Modern"
Civic Leadership Academy,,,"Q29, Q38, Q53-SBS, Q58, Q72",,,QUEENS,,,Y,www.clanyc.org,,"Standardized Test Scores: English Language Arts, Math",,,,,,"Math, Science",,Humanities & Interdisciplinary,,,,,,,,,,,,Basketball,,,,,,,,,Yes,,,After-School programs: The After-School Corporation (TASC),,,,,,,,7 to Junction Blvd,,,,,Civic Leadership Academy,,,,,,,,Q,Q744,,,0.93,,,,,,,,,"AP Biology, AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP United States History"
Community School for Social Justice,,,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx33, M1, M102, M7",,,BRONX,,,Y,www.cssjbronx.org,,,,,,,,,,Law & Government,,,,,,,,,,,,"Baseball/Softball, Basketball, Football, Soccer, Track/Cross Country, Volleyball",,,,,,,,,Yes,,,9th grade students must complete the Project Exhibition & Community Membership PBAT. 10th grade students must complete a Humanities and STEM PBAT.,,,,1.0,,,,"2 to 149th St-Grand Concourse; 3 to 145th St; 4, 5 to 138th St-Grand Concourse; 6 to 3rd Ave-138th St",,,,,Social Action,,,,,,,,X,X884,,,0.92,,,,,"Components of the program include: social action club, work with activists who are involved with social justice issues, social action and community service internships, whole school examination of social justice issues.",,,,
Brooklyn Academy of Science and the Environment (BASE),,,"B41, B43, B44-SBS, B45, B48, B49",,,BROOKLYN,,,N,basehighschool.org,,,,,,,,,,Science & Math,,,,,,,,,,,,Cheerleading,,,,,,,,,Yes,,,"Internships and paid positions available at Brooklyn Botanic Garden, Prospect Park, Nature Conservancy, Brooklyn Museum and many more.",,,,,,,,"2, 3, 4, 5 to Franklin Av; S to Botanic Garden",,,,,Science Exploration Program,,,,,,,,K,K440,,,0.86,,,,,"Integrated curriculum includes lab-based learning and hands-on experiences. Our program exposes students to a wide-range of science pathways including computer science, environmental justice, urban ecology, and anatomy and physiology. Includes real-world experiences such as job shadowing, mentoring, internships and paid job opportunities through our many partnerships. Selection criteria: Attendance (100-85%), Science grades (100-70), State ELA and Math exam scores (4-2).",,,,"AP Art History, AP Biology, AP Calculus AB, AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP United States History"
Vanguard High School,,,"BxM1, BxM10, BxM11, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M57, M66, M72, M98, Q101, Q32, Q60, QM2, QM20, QM3",,,MANHATTAN,,,Y,vanguardnyc.net,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,"Students stay in same advisory for all four years, enabling us to get to know students and families well and support student growth; daily tutoring",,,,1.0,,,,"4, 5, N, R, W to 59th St-Lexington Ave; 6 to 68th St-Hunter College; Q to 72nd St; F to Lexington Ave",,,,,College Preparatory,,,,,,,,M,M480,,,0.91,,,,,"Students' growth in understanding and thinking is assessed by researching, writing, presenting, and defending portfolios in math, science, history and literary analysis and working on in-depth projects. Students also complete an autobiography portfolio, using oral and visual components.",,,,"AP Calculus AB, AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition, AP Human Geography, AP Physics C: Mechanics, AP Spanish Language and Culture, AP United States History"
Brooklyn Lab School,,,"B13, Q56",,,BROOKLYN,,,N,brooklynlabschool.org,,,,,,,,,,Engineering,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,"J, Z to Elderts Lane-75th St",,,,,Engineering and Science,,,,,,,,K,K420,,,0.81,,,,,"Introduction to Engineering Design, Principles of Engineering, Digital Electronics, Civil Engineering, and Architecture are part of our learning from career-focused curricula and working on collaborative projects where students gain critical career knowledge through a series of work based learning activities both inside and outside the classroom. This includes internships, resume building, Mock interviews, and working with community CBOs.",,,,"AP Calculus AB, AP Computer Science Principles, AP English Literature and Composition, AP United States History"
Essex Street Academy,,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9",,,MANHATTAN,,,Y,essexstreetacademy.org,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,"Advanced courses in English, Spanish, French, calculus, computer science. Students take free college classes at NYU and CUNY College Now.",,,,1.0,,,,"B, D to Grand St; F, J, M, Z to Delancey St-Essex St",,,,,Essex Street Academy,,,,,,,,M,M445,,,0.89,,,,,"We provide a supportive, performance-based, college-preparatory program for all students. Please visit our school website for tour and open house dates.",,,,
The Urban Assembly School for Collaborative Healthcare,,,"B13, Q56",,,BROOKLYN,,,N,www.uasch.org,,,,,,,,,,Health Professions,,,,,,,,,,,,"Baseball/Softball, Basketball, Dance, Football, Soccer, Swimming, Track/Cross Country, Volleyball",,,,,,,,,Yes,,,,,,,,,,,"J, Z to Elderts Lane-75th St",,,,,The Urban Assembly School for Collaborative Healthcare,,,,,,,,K,K420,,,0.78,,,,,Prepares students for careers in the medical assisting field and beyond.,,,,"AP Chemistry, AP English Language and Composition, AP English Literature and Composition, AP Statistics, AP U.S. Government and Politics, AP United States History"
South Bronx Preparatory: A College Board School,,,"Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",,,BRONX,,,Y,www.southbronxprep.net,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,Cheerleading,,,,,,,,,Yes,,,"Online Learning, Powerspeak, Achieve3000, Desire To Learn, Common sense media",,,,,,,,"2, 5 to 3rd Ave-149th St; 4 to 138th St; 6 to 3rd Ave-138th St",,,,,South Bronx Preparatory,,,,,,,,X,X149,,,0.96,,,,,,,,,"AP 2-D Art and Design, AP Computer Science Principles, AP English Literature and Composition, AP Psychology, AP Spanish Language and Culture, AP U.S. Government and Politics, AP United States History"
High School of Computers and Technology,,,"Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11",,,BRONX,,,N,https://www.schools.nyc.gov/schools/X275,,,,,,,,,,Computer Science & Technology,,,,X01U,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,"2, 5 to Gun Hill Rd",,,,,High School of Computers and Technology,,,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov",,,,,X,X425,,,0.74,,,,,"All students will complete a four-year sequence of computer repair and maintenance and will be required to complete exams in SkillUSA Computer Repair, and optional exams in IC3, A+ Computer Hardware and Software, and Network +.",,,,"AP English Language and Composition, AP English Literature and Composition, AP Statistics, AP United States History"
The High School for Language and Diplomacy,,,"BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23-SBS, M3, M34-SBS, M34A-SBS, M55, M8, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",,,MANHATTAN,,,N,hsflad.org,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,"Badminton, Intramural Sports",,,,,,,,,Yes,,,"College preparatory courses including statistics, personal finance, and courses in visual arts and theater.",,,,,,,,"4, 5, 6, L, N, Q, R, W to 14th St-Union Square",,,,,High School for Language and Diplomacy,,,,,,,,M,M460,,,0.65,,,,,"Through a challenging academic program that provides opportunities for public service and global awareness, our students learn the craft of international diplomacy while developing their technological and communication skills. Students also have the opportunity to achieve proficiency in Mandarin through an intensive, engaging program designed for students of all levels, including those who have never studied the language before.",,,,"AP Chinese Language and Culture, AP English Language and Composition, AP English Literature and Composition"
Bronx International High School,,,"Bx13, Bx15, Bx17, Bx21, Bx35, Bx41, Bx41-SBS, Bx6, Bx6-SBS",,,BRONX,,,N,BronxInternationalHS.com,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,"CTE program(s): Construction Engineering Technology/Technician/ Historic Preservation/Sustainability, Web & Digital Media Communications",,,,1.0,,,,"2, 5 to Intervale Ave",,,,,Bronx International High School,,,,,,,,X,X400,,,0.89,,,,,,,,,"AP Calculus AB, AP French Language and Culture, AP Spanish Language and Culture"
Manhattan / Hunter Science High School,,,"BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42",,,MANHATTAN,,,Y,mhshs.org,,"Standardized Test Scores: English Language Arts (4.0-4.5), Math (3.5-4.5)",,,,,,"Math, Science",,Science & Math,,,,,,,,,,,,,,,,,,,,,Yes,,,The only Congressional Award school in the nation. Students graduate with Congressional certificate for community service/personal goal achievement.,,,,,,,,"1 to 66th St-Lincoln Center; 2, 3 to 72nd St; A, C, B, D to 59th St-Columbus Circle",,,,,Manhattan/Hunter Science High School,,,,,,,,M,M490,,,0.89,,,,,"Early College program in which students complete college coursework at Hunter College prior to graduation. Students spend 12th grade on the Hunter campus. Strong accelerated academic programs, four years of rigorous math and science credit. Ability to earn additional college credits while at the high school. Priority given to students who are eligible for Free or Reduced Price Lunch (based on family income) for up to 69% of seats.",,,,"AP Biology, AP Computer Science Principles, AP English Language and Composition, AP Spanish Language and Culture, AP United States History"
Stephen T. Mather Building Arts & Craftsmanship High School,,,"BxM2, M10, M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, M7, X1, X12, X14, X17J, X21, X22, X22A, X30, X31, X42, X7, X9",,,MANHATTAN,,,Y,www.matherhsnyc.org,,,,,,,,,,Architecture,,,,,,,,,,,,"Basketball, Football, Intramural Sports, Soccer",,,,,,,,,Yes,,,After-school and Saturday tutoring and enrichment classes are available,,,,,,,,"1, C, E to 50th St; 2, 3, 7, A, S to Times Square-42nd St; B, D to 7th Ave; N, R, W to 49th St",,,,,Building Arts/Carpentry & Landscape Management in Historic Preservation,,,,,,,,M,M625,,,0.91,,,,,"This is a hands-on/minds-on nine-credit CTE sequence in Historic Preservation: Intro to Historic Preservation (9); Landscape Mgmt. I & II, (10); Building Arts-Decorative Finishing and Carpentry (11); Adv. Building Arts-Carpentry/Masonry (12). Students must participate in apx. Fourteen work-based learning trips, complete an internship and a final CTE performance assessment. Students will work with wood, bricks, stone, and plants, often OUTSIDE in ALL types of weather, and they WILL occasionally get dirty!",,,,"AP Biology, AP English Language and Composition, AP Spanish Language and Culture, AP U.S. Government and Politics, AP United States History"
Mott Haven Village Preparatory High School,,,"Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx46, Bx4A, Bx6, Bx6-SBS",,,BRONX,,,N,https://www.schools.nyc.gov/schools/X473,,,,,,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,Yes,,,"Day and overnight college trips, wireless computer network, cooperative learning groups",,,,,,,,"2, 5 to Jackson Ave",,,,,Mott Haven Village Preparatory High School,,,,,,,,X,X470,,,0.83,,,,,A challenging college readiness program that prepares students for varied career choices.,,,,"AP English Literature and Composition, AP United States History"
High School for Public Service: Heroes of Tomorrow,,,"B12, B17, B43, B44, B44-SBS, B49",,,BROOKLYN,,,Y,https://www.highschoolforpublicservice.com/,,Demonstrated Interest: School Visit,,,,,,"Math, Science",,Law & Government,,,,K64B,,,,,,,,,,,,,Y,12.0,,Demonstrated Interest: School Visit,Yes,,,College Now,,,,,,,,"2, 5 to Winthrop St",,,,,Law Academy-HSPS,Y,,,,Shadow/Interview,,,K,K470,8.0,52.0,0.91,,,"Students will engage in a sequence of courses and project based learning opportunities to gain knowledge in Urban Farming, Food Justice, Hydroponics, and Agricultural Sciences blended with a commitment to community service embedded in the surrounding community. Coursework includes: Food Justice, Botany, Growing Soils, Environmental Carpentry and Building, Ecosystems, Crop Management, Irrigation, Small Farm Planning, and AP Environmental Science.",,"Criminal, civil and constitutional law, juvenile justice, corrections, and criminology. Students will explore education requirements of lawyers, paralegals, court reporters, judges, police officers, criminal psychologists, and criminal investigators with the aid of an assigned mentor. Course sequence includes: Global and US History, Intro to Legal Studies, Advanced Topics in Law, Constitutional Law, Law and Literature, Social Sciences and the Law, Argument and Debate, and The Art of Public Speaking.",,,,"AP English Language and Composition, AP English Literature and Composition, AP Physics 1, AP United States History, AP World History: Modern"
