dbn,code1,school_10th_seats,requirement2_8,requirement3_6,bin,admissionspriority15,eligibility6,admissionspriority14,applicants2specialized,requirement1_6,code4,admissionspriority12,requirement2_7,grade9swdfilledflag9,prgdesc4,grade9swdfilledflag2,grade9geapplicantsperseat1,seats9swd8,applicants5specialized,offer_rate3_2,requirement6_6,code5,eligibility1,offer_rate1_3,grade9swdapplicants3,interest9,grade9swdapplicantsperseat10,interest3,seats101,grade9gefilledflag4,grade9swdfilledflag10,grade9gefilledflag3,academicopportunities6,offer_rate1_2,program9,admissionspriority28,requirement5_9,seats9ge2,appperseat2specialized,common_audition4,grade9swdapplicantsperseat2,requirement6_5,seats9ge4,auditioninformation8,code9,offer_rate2_4,grade9swdapplicantsperseat8,psal_sports_girls,academicopportunities4,international,bbl,applicants6specialized,grade9gefilledflag7,admissionspriority11,city,requirement4_9,seats9swd7,overview_paragraph,longitude,:@computed_region_efsh_h5xi,geocoded_column,finalgrades,:@computed_region_sbqj_enih
29Q313,Q73A,Y,,,4238003,,,,,,,,,,,,7.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Badminton, Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",iLearnNYC: Program for expanded online coursework and self-paced learning. After-School tutoring Monday-Thursday,,4110490001,,,Priority to Queens students or residents,CAMBRIA HEIGHTS,,,"Our mission is to provide young men and women with the foundations for success in college and for careers in information technology (IT) and finance. We support students' growth and learning while providing strong foundations and preparation for college and professional life. As a CTE school, we nurture and support our students while providing rich, industry-approved coursework and recognized certification in the fields of IT and finance. Our students graduate with the 21st century skills to achieve success in any educational pursuit as active citizens and advocates for their community.",-73.745728,15311.0,"{'type': 'Point', 'coordinates': [-73.745728, 40.697819]}",9 to 12,63
22K630,L73A,Y,,,3203631,,,,,,,,,,,,1.0,,,,,,For Current Eighth Grade Students-Open only to students who are at least 15 years of age and entering high school for the first time. For Other Students-Open only to students who are at least 16 years of age and have attended another high school for at least one year.,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Bowling, Cross Country, Flag Football, Gymnastics, Indoor Track, Outdoor Track, Softball, Volleyball",,,3074250002,,,,BROOKLYN,,,"In partnership with CAMBA, Professional Pathways High School is a small school dedicated to educating and motivating students in an alternative setting through a personalized approach to learning and development. The school's mission is to support the academic and social needs of students through strong partnerships between all members of the school community, re-engaging students academically through project-based learning with an emphasis on post-secondary readiness and literacy, and building college/career readiness through computer literacy and career exposure. We will ensure that each student graduates with clearly articulated goals and a plan for post-secondary success.",-73.937696,13826.0,"{'type': 'Point', 'coordinates': [-73.937696, 40.594124]}","School is structured on credit needs, not grade level",36
02M298,M38X,,,,1082489,,,,,,,,,,,,27.0,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,"Basketball, Cross Country, Outdoor Track, Softball, Volleyball",Advanced Placement (AP) classes in 11th and 12th grades,,1003010003,,,Open to New York City residents,MANHATTAN,,,"PACE High School creates a college-oriented, student-centered environment with high expectations for every student. Students create a resume of quality educational experiences that will prepare them for success in college and beyond. Students are known well through our advisory program and are appreciated for their unique talents and contributions to our learning community. Our curriculum and practices are tailored to the individual needs of our students, enabling them to reach their ambitious goals. Working in close collaboration with Pace University, our school shares the extensive resources of the university, with access to classes, libraries, computer labs, and recreational facilities.",-73.993092,11723.0,"{'type': 'Point', 'coordinates': [-73.993092, 40.716553]}",9 to 12,2
13K499,K85A,Y,,,3027982,,,,,,,Priority to Brooklyn students or residents,,,,N,1.0,,,,,,,,,,,,Yes,,,,CTE program(s): Web & Digital Media Communications,100% of offers went to this group,,,,104.0,,,4.0,,,,,,,"Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Volleyball",AVID (Advancement Via Individual Determination) Program,,3011410005,,,Priority to Brooklyn students or residents,BROOKLYN,,,"We prepare our students to become leaders of the 21st century. We believe that through real-world, rigorous, and collaborative educational experiences our students are prepared to embark on their college and career journey. ACHS believes in educating the whole child, by providing small nurturing learning communities that are specific to our students' needs. Our students' lives matter and we work tirelessly to facilitate their progress even beyond graduation. As we empower our scholars to transform, ""Success is the only option!""",-73.962105,13829.0,"{'type': 'Point', 'coordinates': [-73.962105, 40.678488]}",9 to 12,49
29Q272,Q45A,,,,4280845,,,,,,,Priority to Queens students or residents,,,,N,6.0,,,,,,,,,,,,No,,,,,95% of offers went to this group,,,,46.0,,,7.0,,,,,,,"Basketball, Flag Football, Indoor Track, Soccer, Softball, Tennis, Volleyball",CTE program(s): Veterinary Science,,4130570056,,,Priority to Queens students or residents,SPRINGFIELD GARDENS,,,"The mission of our school is to provide students with an in-depth, well-rounded education that emphasizes science and mathematics. Classroom teaching and learning are complemented with authentic, inquiry-based research experiences. The combination of research and teaching experience prepares students to become critical-thinkers and problem-solvers who pursue careers in biological sciences, physical sciences, mathematics, engineering, and veterinary sciences. The physical, emotional, and social well-being of our student body is nurtured through advisories, community service, and a small and personalized learning community.",-73.756839,15313.0,"{'type': 'Point', 'coordinates': [-73.756839, 40.668235]}",9 to 12,71
08X376,Y34A,,,,2022205,,,,,,,,,,,,3.0,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,"Badminton, Basketball, Indoor Track, Soccer, Softball, Tennis, Volleyball","College tours, social action projects with an emphasis on community service; peace ambassadors",,2036040039,,,Priority to continuing 8th graders,BRONX,,,"Antonia Pantoja Preparatory Academy (APPA) is a college preparatory school offering a continuum of instruction from middle school through high school, with a focus on preparing students to compete and succeed in a global workforce. Our program develops fully multilingual and biliterate students through an integration of social learning experiences. Students participate in programs designed to enhance their understanding of the real world in order to develop critical thinking and problem solving skills, so that they may become productive members of society. We focus on creating a family friendly culture, making the environment receptive to all. Our Restorative Justice program increases equity for all.",-73.856167,11611.0,"{'type': 'Point', 'coordinates': [-73.856167, 40.82229]}",6 to 12,26
11X508,Y53A,,,,2050179,,,,,,,,,,,,15.0,,,,,,,,,,,,No,,,,CTE program(s): Culinary Arts,,,,,,,,,,,,,,,"Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Tennis, Volleyball",Arts & Electives: Dance with endorsement; Visual and Graphic Arts; Drama Partnerships with organizations across NYC; Campus Band,,2043580001,,,Priority to Bronx students or residents,BRONX,,,"Our school fosters a realistic, relevant, and hands-on educational experience for students. We use collaborative approaches that benefit students by teaching them skills they will need beyond high school, such as the ability to work in teams, solve multi-faceted problems, and apply what they learn in various settings. Our class sizes are approximately 22 students per academic course, and advisory sections have an average of 15 students each. We have an extended school day to provide structured time, individual attention, and other supports students may need to succeed, and have folded tutoring into the school day. Bronxdale helps each child develop the critical-thinking skills and habits of work necessary for success beyond high school.",-73.861006,11607.0,"{'type': 'Point', 'coordinates': [-73.861006, 40.859665]}",9 to 12,32
11X544,X48A,Y,,,2057045,,,,,,,Priority to Bronx students or residents,,,,Y,8.0,,,,,,,,,,,,Yes,,,,,97% of offers went to this group,,,,43.0,,,10.0,,,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Swimming, Volleyball",Opportunities to gain college credits through CUNY College Now program partnering with Lehman College and Hostos Community College,,2046330040,,,Priority to Bronx students or residents,BRONX,,,"We are a collaborative learning community that combines a challenging curriculum consisting of humanities, science, and math with an intensive arts program. The Arts studios bring together study in the traditional arts (dance, theater, fine arts, and music) with contemporary arts (film, multimedia graphic design, and animation). Through our partnerships our students gain special residencies both within and outside the school. Our students have the opportunity to participate in special programs, performances, exhibitions, mentorships, and internships. The entire school is actively involved in the process of building a democratic, self-governing community.",-73.86197,11605.0,"{'type': 'Point', 'coordinates': [-73.86197, 40.875953]}",9 to 12,30
21K337,K38R,Y,,,3186454,,,,,,,,,,,,3.0,,,,,,"Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R",,,,,,Yes,,,,,,,,,,,,,,,,,,,"Badminton, Basketball, Bowling, Flag Football, Soccer, Softball, Table Tennis, Volleyball",Students complete Performance-Based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,1.0,3068830001,,,,BROOKLYN,,,"The International High School at Lafayette welcomes students who are recently arrived to the United States and learning English. We provide a supportive environment, incorporating language development into all classes, engaging students in projects, and preparing students for college and career. Our students have multiple opportunities to earn college credit, participate in different sports, join extra-curricular activities, and engage in the community through internship, service learning, arts, and more. Students complete and present a series of portfolio projects as part of the graduation requirements, and all students have an individual mentor that helps guide them through the college and scholarship application process.",-73.98577,17616.0,"{'type': 'Point', 'coordinates': [-73.98577, 40.594291]}",9 to 12,35
20K445,K28A,Y,,,3162711,Open to New York City residents,,Open to New York City residents,,,K28D,Open to New York City residents,,,"A discipline-based art program with courses in: Drawing, Digital Design, Fashion Illustration & Construction, Painting, Photography, and Sculpture. Individualized mentoring and portfolio development for students who intend to pursue studies in fine arts.",Y,10.0,,,,,K28H,,,145.0,,,"Hospitality, Travel, & Tourism",No,Y,,Y,,,,,,33.0,,,22.0,,33.0,,,,,"Badminton, Basketball, Bowling, Flag Football, Handball, Soccer, Softball, Swimming, Tennis, Volleyball","AP Courses in: Computer Programming, Italian, Mandarin, Spanish; Electives: Chorus, Drafting, Forensics, Piano, Rock & Jazz Band, Web Design, Robotics",,3062710001,,N/A - zoned program,Open to New York City residents,BROOKLYN,,N/A - zoned program,"New Utrecht High School is committed to educating its students to their maximum potential. To reach this end, we offer a full academic program designed to meet and exceed state standards. The main goal of our staff is to support our students in mastering the challenging curriculum and preparing for success. We offer an ever-expanding range of extracurricular activities and programs that enhance students' high school experience. We are a school steeped in tradition where parents are welcomed and encouraged to be partners in their child's success.",-74.003404,17616.0,"{'type': 'Point', 'coordinates': [-74.003404, 40.613262]}",9 to 12,37
05M692,M00S,Y,,,1084085,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Soccer, Softball",CCNY College Now Program: eligible students can enroll in college-credit bearing classes on weekends and after-school,,1019570200,,,Open to New York City residents who take the Specialized High Schools Admissions Test (SHSAT),MANHATTAN,,,"HSMSE @ CCNY provides a unique and unparalleled collaborative educational experience. The school's mission is to encourage students to develop the habits of inquiry, written and verbal expression, and critical thinking. Students are drawn from all five boroughs, making it one of the most ethnically diverse schools in New York City. The academically rigorous learning environment focuses on mathematics, science, and engineering, while emphasizing civic responsibility and the value of acquiring knowledge for its own intrinsic reward. The deep professional and personal experiences of the faculty enrich the learning community; many faculty members have earned doctorates and distinguished themselves in business, engineering, and other fields.",-73.949097,12428.0,"{'type': 'Point', 'coordinates': [-73.949097, 40.82074]}",9 to 12,17
22K555,K84X,Y,,,3328370,,,,,,,,,,,,16.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Volleyball",Middle College National Consortium member and National Network for Educational Renewal member.,,3053220069,,,Priority to Brooklyn students or residents,BROOKLYN,,,"As an Early College High School, our unique, successful collaboration with Brooklyn College enables highly motivated students with diverse backgrounds and interests to move from 9th to 12th grade within a challenging academic atmosphere. We encourage our students to function independently in educational settings outside the school building and in a college campus environment. We are a collaborative community of leaders and learners whose learning environment is characterized by equity and excellence.",-73.971736,17620.0,"{'type': 'Point', 'coordinates': [-73.971736, 40.649404]}",9 to 12,45
23K697,K20A,Y,,,3081419,,,,,,,,,,,,2.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Soccer, Volleyball","Science: Science Fair, Dual-Credit college-level Science course",,3035410001,,,Priority to continuing 8th graders,BROOKLYN,,,"We provide a curriculum that encourages students to enter teaching and related professions. We offer 2 programs that begin in the 10th grade. Our Arts Centered Program is for students interested in the arts, including studio art, performance art, dance, and music. Our Teach for Tomorrow program is for students interested in careers in education. Teach for Tomorrow includes training at local elementary and middle schools. Our students take college level courses at LIU, Medgar Evers and with a dual-college program with Buffalo State College.",-73.911705,17614.0,"{'type': 'Point', 'coordinates': [-73.911705, 40.665878]}",9 to 12,46
11X253,X76X,,,,2057045,,,,,,,,,,,,5.0,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Swimming, Volleyball",Stand alone theatre and embedded drama program all four years of high school,,2046330040,,,Priority to Bronx students or residents,BRONX,,,"We value rigorous academics, college and career preparation, and participation in extracurricular activities. We offer academic support through lunch and learns, after-school and Saturday tutoring, and advisory periods where students engage in college and career exploration beginning in the 9th grade. We are a community of writers. Students compose poetry, drama, fiction, non-fiction, and songs. We write for school publications, participate in poetry slams, act in school plays, make films, and create artwork with professional writers, actors, and artists from our lead partners Epic Theatre Ensemble, DC-TV, and Community-Word Project. We encourage all students to take part in extracurriculars like anime, film, and songwriting all four years.",-73.86197,11605.0,"{'type': 'Point', 'coordinates': [-73.86197, 40.875953]}",9 to 12,30
02M551,K51A,,,,1000003,,,,,,,,,,,,7.0,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,College Now program prepares students for college and career experiences in maritime-related courses. Advanced Placement courses are also offered.,,1000020002,,,Open to New York City residents,Manhattan,,,"Urban Assembly New York Harbor School focuses on marine science, marine technology, and marine policy. We believe in learning by doing. Students should expect to spend time outdoors in sites all over New York Harbor in all seasons. With our partners, including the Billion Oyster Project, we work to develop authentic activities on, around, and related to the water that create a sense of responsibility to New York Harbor and develop a new generation of maritime advocates, enthusiasts, workers, and decision-makers. New York Harbor School's location on Governors Island is easily accessible from Lower Manhattan via the Governors Island ferry.",-74.011631,11725.0,"{'type': 'Point', 'coordinates': [-74.011631, 40.701695]}",9 to 12,1
17K600,K50A,Y,,,3029702,,,,,,K50Y,,,,,N,3.0,,,,,K50U,,,33.0,,,Science & Math,Yes,,,N,,,,,,22.0,,,2.0,,,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Volleyball",Through Medgar Evers College we give students the opportunity to begin their associate's degree through the Pipeline Program.,,3011880001,,,Open to New York City residents,BROOKLYN,,,"Clara Barton High School prepares students with an interest in the health professions for college and/or entry-level positions in a health career. As a CTE (Career and Technical Education) School, we offer students many career opportunities through a variety of special programs and courses. Majors: Nursing (LPN-Practical Nurse), Medical Assistant/Billing & Coding, Nurse Assistant, Dental Assistant, Dental Lab Technician, Vision Technician, Pharmacy Technician, Emergency Medical Technician (EMT) We also provide a challenging honors program (Gateway) for students that qualify.",-73.961962,13509.0,"{'type': 'Point', 'coordinates': [-73.961962, 40.669567]}",9 to 12,44
02M427,A22A,Y,,,1087537,,,,,,,,,,,,3.0,,,,,,Open only to New York City residents who are English Language Learners (ELL),,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Softball, Volleyball",CUNY LINCT to Success,,1008897501,,,,MANHATTAN,,,"Manhattan Academy for Arts and Language prepares English Language Learners and former ELLs for a successful future by offering unique opportunities for students to excel in Regents examinations, Advanced Placement (AP) courses, early college experiences and on-time graduation. MAAL embraces students from all over the world and motivates them by balancing rigorous instruction, individualized attention, and focused language development. MAAL integrates theater, film/documentary making in content courses and offers a strings music program and photography. Interested students also take part in internships.",-73.981241,12078.0,"{'type': 'Point', 'coordinates': [-73.981241, 40.746176]}",9 to 12,8
24Q296,Q03A,Y,,,4437166,,,,,,,,,,,,4.0,,,,,,Open only to New York City residents whose home language is Spanish,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball","Advanced Placement in: Computer Science, Spanish Language, Spanish Literature, Biology, English and Studio Art.",1.0,4016000061,,,,ELMHURST,,,"Pan American International High School is a diverse learning community of recently-immigrated English Language Learners (ELLs). Our primary focus is English language development, while providing opportunities for students to enhance their Spanish language skills. Our partnerships with organizations such as Urban Arts cultivate the leadership of students in their communities through service, learning projects, internships, and the arts. We are committed to creating an environment that celebrates students' individual identities while preparing them to be successful in college and become productive members of the global community.",-73.870642,14784.0,"{'type': 'Point', 'coordinates': [-73.870642, 40.74373]}",9 to 12,68
14K610,K60J,Y,,,3066698,,,,,,,Open to New York City residents,,,,N,2.0,,,,,,,,50.0,,,Engineering,Yes,,,N,,,,,,23.0,,,8.0,,,,,,,,"Advanced Regents diplomas, blended learning through iZone, Software Engineering offerings (HTML, Java, Python, Robotics)",,3026700001,,,Open to New York City residents,BROOKLYN,,,"This school is more than just automotive repair and technology. We have evolved to develop future leaders to meet academic and workforce challenges of the 21st century in Visual Arts, Software Engineering, Automotive Design, and Technology. Students receive personalized guidance and support in small classes. All students are offered the courses needed for the Advanced Regents Diploma and can earn college credits through CUNY College Now and Advanced Placement. Here, students learn 'grit', responsibility, creativity, and leadership skills. We empower them to create and follow the academic and social paths that will lead to success.",-73.953281,18182.0,"{'type': 'Point', 'coordinates': [-73.953281, 40.721981]}",9 to 12,57
27Q262,Q97A,,,,4303773,,,,,,Q97H,Priority to continuing 8th graders,,,,Y,6.0,,,1% of offers went to this group,,Q97U,,,,,,,No,,,,,65% of offers went to this group,,,,51.0,,,10.0,,,,,,,"Basketball, Lacrosse, Soccer, Softball, Tennis, Volleyball","Film and Mass Media, Spanish Cultural Dance, Community Service, Crew (Advisory), Student-Led Conferences, Gallery",,4161670099,,,Priority to continuing 8th graders,ROCKAWAY PARK,,,"As an Expeditionary Learning school, our approach to curriculum connects learning to real-world issues. Our Learning Expeditions and field visits get students out of the classroom and into the practice of investigating solutions to real-world problems. Our Expeditionary Learning emphasis invests students in their community, teaches them the value of leadership and service, and establishes a solid academic base from which students can launch careers in fields such as science, government, medicine, law, research technology, robotics, and education. Character development is our foundation; students' habits of work and learning are service, trust, accountability, and respect (STAR).",-73.822624,20532.0,"{'type': 'Point', 'coordinates': [-73.822624, 40.586066]}",6 to 12,58
24Q550,Q99A,Y,,,4048306,,,,,,,,,,,,14.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Cross Country, Handball, Soccer, Table Tennis","Microsoft Office Specialist (MOS) Certification, Center for Arts Education Internships, Rewarding Achievement (REACH), Computer Science",,4019630005,,,Priority to Queens students or residents,CORONA,,,"The High School for Arts and Business is committed to providing opportunities for our students to achieve excellence in academic, career, and technical pursuits. Our individualized programming helps students earn an Advanced Regents diploma and continue on to the college or career path of their choice. Through broad-based educational experiences, our students develop technological and artistic literacy using an interactive approach. Our culturally diverse school community features partnerships that support personal growth and emphasize global understanding, leadership, and integrity.",-73.853178,14510.0,"{'type': 'Point', 'coordinates': [-73.853178, 40.737427]}",9 to 12,68
24Q530,Q27J,Y,,,4003442,,,,,,,,,,,,8.0,,,,,,"Open only to New York City residents living in the United States four years or fewer and are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging, or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Golf, Soccer, Softball, Tennis, Volleyball","Tuition-free college courses including Math, Science, English, History, Psychology, Sociology, Art, Music, native language classes and more",1.0,4002490001,,,,LONG ISLAND CITY,,,"We are a small, multicultural high school on the campus of LaGuardia Community College. All of our students are new to the country. We focus on English language development. Our teachers collaborate on interdisciplinary teams. We prepare English Language Learners for success in college and careers. Students develop their academic and English skills by completing individual and group projects. Students present portfolios for graduation and are able to stay for a free year of college as part of our Early College Program after they complete their high school graduation requirements within four years. While in the Early College Program, we provide students with academic support classes to ensure their success in college.",-73.93364,16858.0,"{'type': 'Point', 'coordinates': [-73.93364, 40.744412]}",9 to 12,66
30Q575,Q71A,Y,,,4005026,,,,,,,Priority to Queens students or residents,,,,Y,37.0,,,,,,,,,,,,Yes,,,,,100% of offers went to this group,,,,58.0,,,3.0,,,,,,,"Basketball, Bowling, Cross Country, Flag Football, Soccer, Softball, Volleyball","Linkages with the Metropolitan Opera, Noguchi Museum, 92nd Street Y, Museum of Modern Art, Theatre for a New Audience; community service activities.",,4004170016,,,Priority to Queens students or residents,LONG ISLAND CITY,,,"Our college preparatory school focuses on American history and its interdisciplinary connections. Students learn in a supportive environment, allowing them to grow socially, emotionally, and academically. As the flagship high school of the Gilder Lehrman Institute of American History, we provide insights into America's history through a rigorous curriculum that includes study in art, music (with a focus on opera), theater, and journalism. Our Advanced Placement (AP) program and partnerships with CUNY and St. John's University allow students to earn college credits. Our curriculum is enriched with trips to historical sites, the theater, and the opera, as well as community service, sports, and additional activities.",-73.937434,16858.0,"{'type': 'Point', 'coordinates': [-73.937434, 40.751331]}",9 to 12,72
29Q283,Q84A,Y,,,4280845,,,,,,,,,,,,4.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Flag Football, Indoor Track, Soccer, Softball, Tennis, Volleyball","Our video production course teaches students to use professional audio/video equipment to produce short films, original music, documentaries, etc.",,4130570056,,,Priority to continuing 8th graders,SPRINGFIELD GARDENS,,,"Preparatory Academy for Writers: A College Board School is a 6th through 12th grade school committed to providing our students with a challenging curriculum with a focus on writing and publishing as well as a strong community of students and adults who support each other academically, socially and emotionally. Through our school's unique instructional model focused on reading, writing and discussing, students learn to think critically, communicate effectively, and be open to a wide range of ideas and experiences. With middle school students taking high school courses and high school students taking college courses, the Preparatory Academy for Writers supports our students in writing successful futures.",-73.756839,15313.0,"{'type': 'Point', 'coordinates': [-73.756839, 40.668235]}",6 to 12,71
19K659,L56A,Y,,,3090738,,,,,,,,,,,,5.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Bowling, Indoor Track, Softball, Tennis, Volleyball","Full-time College Advisor, College Planning beginning in ninth grade, AP for All, Summer Bridge, College Early Awareness, CUNY College Now",,3040940001,,,Open to New York City residents,BROOKLYN,,,"Cypress Hills Collegiate Preparatory School (CHCP) is a community school where students are known as individuals and receive a rigorous education based on high-expectations, inquiry, and reflection. College readiness begins in ninth grade summer bridge and continues with a well-structured academically rigorous curriculum that incorporates individual college counseling. Student voice and leadership is empowered through Advisory, which is aligned to the school's core values, social-emotional learning and restorative practices. Students graduate college-ready with experience in Pre-AP and college level courses. CHCP is a candidate International Baccalaureate (IB) World School to offer the Diploma Programme.",-73.868328,17215.0,"{'type': 'Point', 'coordinates': [-73.868328, 40.691146]}",9 to 12,47
02M432,A19A,Y,,,1087537,,,,,,,,,,,,4.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,"Basketball, Softball, Volleyball",College Now program with the CUNY campuses of Borough of Manhattan Community College and Baruch College.,,1008897501,,,Priority to Manhattan students or residents,MANHATTAN,,,"Murray Hill Academy has a unique admissions model: 80% of the students are admitted through the High School Admissions process and 20% are admitted as transfer students throughout the year. Our school offers students a challenging curriculum with blended learning. We learn inside and outside the traditional classroom, including online courses with in-school mentors and internships. We are committed to academic progress, as well as the social and emotional growth of our students. Our goal is to have our students graduate prepared for college and careers and ready to become successful and productive citizens. Every child can fulfill his/her potential, one successful step at a time.",-73.981241,12078.0,"{'type': 'Point', 'coordinates': [-73.981241, 40.746176]}",9 to 12,8
10X477,X43A,Y,,,1064532,,,,,,,,,,,N,19.0,,,,,,,,,,,,Yes,,,,,,,,,43.0,,,5.0,,,,,,,"Basketball, Flag Football, Golf, Gymnastics, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball","11th and 12th Grade AP: Biology, US History, English Literature, European History, English Language, Statistics, Spanish Literature & Spanish Language",,1022150080,,,Priority to Bronx students or residents,BRONX,,,Marble Hill SIS is an international community whose student body encompasses over 45+ countries and speaks over 30+ languages. Each 9th grade is composed of 50% ELLs and 50% mainstream students-creating a very diverse and challenging college preparatory learning environment with: School dress code -Four years of Math & Science -Three years of a foreign language (for mainstream students) -Semester Portfolio presentations -IMentor program matching college educated mentor with every student for four years -Community Service-100 hours -College Bound Initiative Partnership -Seven AP's (11th & 12th grades) -International exchange & travel opportunities -Summer bridge for incoming 9th graders -Dedicated and experienced teaching and support staff.,-73.912256,11272.0,"{'type': 'Point', 'coordinates': [-73.912256, 40.877105]}",9 to 12,33
12X479,Y43A,Y,,,2004868,,,,,,,,,,,,5.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,"All ninth grade students participate in an entrepreneurial program with BUILD. Students learn how to build a company/business from the ground, up.",,2026710011,,,Open to New York City residents,BRONX,,,"Our school couples relevant internship experiences with rigorous academic learning. Students learn to be prompt, prepared, positive, and productive and strive to embody our core principles as they develop responsibility, teamwork, and the resiliency needed to enter college and to exceed academic and industry-based standards. We provide our students small class size, advisory, internships, and quality college and career readiness instruction and training to ensure that 100% of students graduate prepared for college and careers. There is a strong culture that mirrors college and employment where students respect teachers, work hard, and arrive on time. We ensure that each student is cognitively engaged, fully valued, and fully heard.",-73.900105,10934.0,"{'type': 'Point', 'coordinates': [-73.900105, 40.827743]}",9 to 12,25
15K423,L69A,,,,3000533,,,,,,,,,,,,1.0,,,,,,Open only to 15-16-year-old New York City residents entering high school for the first time. Students must have a record of being held back two times in elementary and/or middle school.,,,,,,No,,,,,,,,,,,,,,,,,,,,Paid Learning to Work Internships,,3001690009,,,,BROOKLYN,,,"Brooklyn Frontiers High School serves entering ninth grade students who have fallen behind their peers by two or more years. We offer a personalized educational experience for students, recognizing the unique strengths and needs of each individual. The academic program is designed to challenge each learner and is implemented in a supportive environment that emphasizes the value of critical thinking skills, personal relationships, and student self-advocacy. We are committed to ensuring that students stretch their goals beyond graduation and gain the skills and self-confidence to successfully transition to college and careers.",-73.989132,16865.0,"{'type': 'Point', 'coordinates': [-73.989132, 40.690145]}",9 to 12,54
03M415,M26A,Y,,,1055204,Priority to continuing 8th graders,Open only to new students,Priority to continuing 8th graders,,,M26M,Priority to continuing 8th graders,,,"This program introduces students to the fundamentals of instrumental playing. The program is also designed to extend the boundaries of the musically talented student. Students learn techniques in Jazz Band, Modern Band, and Concert Band. Strong emphasis is placed in the following areas: Music Theory, Composition, and Music History. Students participate in school performances throughout the school year and partner with several of our renowned partnerships.",N,3.0,,,,,M26R,,0% of offers went to this group,35.0,,,Visual Art & Design,Yes,N,,N,,0% of offers went to this group,,,,25.0,,1.0,2.0,Audition with common components,16.0,,,50% of offers went to this group,,Basketball,College For Every Student (CFES); CUNY College Now at City College; Teacher's College Summer Bridge; SAT Prep; Saturday Regents Prep; PM School,,1018300019,,,Priority to continuing 8th graders,MANHATTAN,,,"Wadleigh Secondary School for the Performing and Visual Arts is a nurturing and unique environment which offers two distinct programs that equally prepare students for college and career readiness. Our Performing and Visual Arts Program offers majors in: Dance, Theater Arts, Vocal Music, Instrumental Music and Visual Arts, which require individual auditions. The Wadleigh Honors Academy offers a rigorous academic program with advanced studies in science and math, as well as an opportunity to explore the performing and visual arts. Our varied internships and partnerships expose our students to careers and interests in both the performing and visual arts.",-73.954142,12423.0,"{'type': 'Point', 'coordinates': [-73.954142, 40.802207]}",6 to 12,18
09X412,X55A,Y,,,2007806,,,,,,,Open to New York City residents,,,,N,4.0,,,,,,,,,,,,Yes,,,,CTE program(s): Entrepreneurship/Virtual Enterprise,,,,,20.0,,,5.0,,,,,,,"Basketball, Cross Country, Flag Football, Indoor Track, Outdoor Track, Softball, Volleyball, Wrestling","Job shadowing and internships with local businesses, non-profits, and organizations",,2028170002,,,Open to New York City residents,BRONX,,,"Through a focus on business administration and entrepreneurship, students prepare for success at competitive colleges and universities. We are committed to building a community of learners and leaders.",-73.91091,10935.0,"{'type': 'Point', 'coordinates': [-73.91091, 40.840422]}",9 to 12,27
