dbn,school_name,fax_number,grade9swdapplicantsperseat10,applicants2specialized,admissionspriority110,seats109,auditioninformation8,grade9swdfilledflag8,requirement3_7,offer_rate8,grade9swdapplicantsperseat8,common_audition10,psal_sports_boys,requirement4_3,grade9gefilledflag3,requirement3_5,requirement2_8,total_students,admissionspriority23,grade9geapplicantsperseat9,grade9geapplicants2,grade9geapplicantsperseat1,academicopportunities2,requirement3_10,seats9swd2,common_audition5,admissionspriority19,grade9geapplicants6,requirement3_6,specialized,auditioninformation10,requirement8_1,seats9swd5,zip,grade9swdapplicantsperseat1,grade9swdfilledflag6,requirement5_3,grade9swdfilledflag2,code10,grade9swdapplicants3,academicopportunities1,interest5,offer_rate6,academicopportunities4,seats9ge6,requirement8_2,grade9geapplicants7,requirement1_3,requirement3_3,admissionspriority14,program7,building_code,common_audition1,requirement6_9,applicants1specialized,requirement1_9,auditioninformation9,grade9geapplicants9,admissionspriority18,subway,grades2018
09X250,Eximius College Preparatory Academy: A College Board School,718-590-1081,,,,,,,,,,,"Badminton, Baseball, Basketball, Soccer",,,,,432,,,,16.0,"Kaplan SAT Test Preparation program, Lehman College's CUNY College Now Program",,,,,,,,,,,10456,13.0,,,,,,"Hayden Foundation summer bridge program, mentoring and leadership through service opportunities",,,Regents preparation academy,,,,,,,,X002,,,,,,,,,9 to 12
02M305,The Urban Assembly Academy of Government and Law,212-674-8021,,,,,,,,,,,"Badminton, Baseball, Basketball, Bowling, Handball, Volleyball, Wrestling",,,,,307,,,,7.0,All students take at least one Advanced Placement (AP) course starting in 11th grade and can take CUNY College Now courses to earn college credit.,,,,,,,,,,,10002,6.0,,,,,,"College readiness courses that prepare students for Regents and Advanced Regents diplomas including advanced math courses, AP, and law themed classes.",,,Ninth grade Bridge to High School program that includes a ninth period extended-day program and academic advisement.,,,,,,,,M445,,,,,,,,"B, D to Grand St; F, J, M, Z to Delancey St-Essex St",9 to 12
02M531,Repertory Company High School for Theatre Arts,212-382-2306,,,,,,,,,,,"Baseball, Basketball, Bowling, Handball, Outdoor Track, Soccer, Volleyball",,,,,242,,,,6.0,"Advisory, Acting, Playwriting, Stagecraft, Musical Theater, Chorus, Music Theory, Dance & Movement, Senior Distinction Project, International Thespian Society",,,,,,,,,,,10036,4.0,,,,,,"iLearnNYC: Program for expanded online coursework and self-paced learning; College Access: Research and Action, Advanced Dance/Chorus/Tech/Acting",,,"Learning Through Expanded Arts Playwriting Program (LeAp), August Wilson Monologue Competition, Young People's Chorus of New York City, TDF Open Doors",,,,,,,,M896,1.0,,,,,,,"1, 2, 3, 7, A, C, E, S, N, Q, R, W to Times Square-42nd St; 4, 5, 6 to Grand Central; B, D, F, M to Bryant Park-42nd St",9 to 12
12X248,"Metropolitan High School, The",718-542-7294,,,,,,,,,,,"Baseball, Basketball, Soccer",,,,,411,,,,1.0,After-school activities and academic assistance,,,,,,,,,,,10459,1.0,,,,,,STEAM Program,,,Advisories,,,,,,,,X099,,,,,,,,"2, 5 to Simpson St",9 to 12
02M416,Eleanor Roosevelt High School,212-772-1440,,,,,,,,,,,"Baseball, Basketball, Outdoor Track, Soccer, Tennis",,,,,541,,,,49.0,"Wide array of arts options in all grades includes offerings in visual arts, music, and media/technology.",,,,,,,,,,,10021,19.0,,,,,,"Four years of Advisory, English, Math, Science, and Social Studies courses.",,,"Upperclassmen have electives available in every subject, including Advanced Placement (AP) courses.",,,,,,,,M855,,,,,,,,6 to 77th St; Q to 72nd St,9 to 12
03M479,Beacon High School,212-465-4235,,,,,,,,,,,"Baseball, Basketball, Bowling, Fencing, Soccer, Tennis, Wrestling",,,,,1380,,,,21.0,"Free college classes at New York University, John Jay College, Hunter College, The City College of New York, Fordham University",,,,,,,,,,,10036,7.0,,,,,,"Students complete Performance-Based Assessment Tasks (PBATs) as a replacement for some Regents Exams, and graduate with a Regents diploma.",,,"Advanced classes: Engineering, Robotics, Data Modeling, Forensics, Statistics, Advanced History and English senior electives",,,,,,,,M912,,,,,,,,"1, 2, 3, 7, A, C, E, N, Q, R, W, S to Times Square-42nd St",9 to 12
27Q351,Rockaway Collegiate High School,718-734-3276,,,,,,,,-98% of offers went to this group,,,"Baseball, Basketball, Football, Soccer, Tennis, Volleyball",,,,,329,,,,2.0,"College Preparatory-Advanced Placement Courses in Literature, Statistics, Environmental Science, and US History",,,,,,,,,,,11694,3.0,,,,,,"College Access for All, CUNY College Now program through Kingsborough Community College and York College",,-98% of offers went to this group,CTE program(s) in: Web Design and Digital Communications,,,,,,,,Q410,,,,,,,,"A, S to Beach 105th St",9 to 12
14K558,Williamsburg High School for Architecture and Design,718-486-2580,,,,,,,,,,,"Baseball, Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Volleyball",,,,,566,,,,10.0,Distinctive course of study that promotes both creative thought and technical proficiency.,,,,,,,,,,,11211,10.0,,,,,,Four-year Career & Technical Education (CTE) program: Architectural & Design,,,Paid internship opportunities with professional industry partners.,,,,,,,,K650,,,,,,,,G to Lorimer St; L to Bedford Ave,9 to 12
09X350,New Directions Secondary School,718-410-4101,,,,,,,,,,,"Baseball, Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,234,,,,2.0,Online access to student grades and graduation progress trackers for all students and families.,,,,,,,,,,,10457,4.0,,,,,,"Multi-media arts courses allow students to use our production studio to produce and publish webinars, videos, record songs, and other creative items.",,,Access to a fitness-club-grade weight room with PE courses and after-school clubs.,,,,,,,,X410,,,,,,,,"4 to Mt Eden Ave; B, D to 170th St",6 to 12
15K463,Secondary School for Journalism,718-832-0273,,,,,,,,,,,"Baseball, Basketball, Swimming, Volleyball",,,,,215,,,,2.0,"Students pursue 3 concentrations: Computer Action Lab, Graphic Design Lab, Digital Media Lab (Podcast Booth, Multimedia Audio and Video Center)",,,,,,,,,,,11215,2.0,,,,,,STEAMD - {STEM + Art & Design} Entrepreneurship Accelerator; iLearnNYC: Program for expanded online coursework; All classes have an Honors option,,,"US History, Govt & Politics, Seminar, Research, Studio Art, Comp Sci Principles",,,,,,,,K460,,,,,,,,"F, G to 7th Ave; R to 4th Ave-9th St",9 to 12
23K514,Frederick Douglass Academy VII High School,718-922-2761,,,,,,,,,,,"Baseball, Basketball",,,,,157,,,,2.0,"Full-Time college advisor, College-Prep curriculum, Annual local and overnight college tours, Expanded Success Initiative (ESI)",,,,,,,,,,,11212,4.0,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,,,"Sponsors for Educational Opportunity (SEO), School Construction Authority Summer Internships, International Travel",,,,,,,,K175,,,,,,,,3 to Rockaway Ave,9 to 12
08X530,Longwood Preparatory Academy,718-860-1934,,,,,,,,,,,"Baseball, Basketball, Wrestling",,,,,199,,,,3.0,"Peer Group Connections, Dance Studio, National Honor Society, Student Success Center, College Access for All, College Bound Initiative, Monroe College",,,,,,,,,,,10459,5.0,,,,,,"Advanced Placement (AP) courses, CUNY College Now courses beginning in 11th grade, Career and Technical Education (CTE) classes in App Development and Audio.",,,"SAT Preparation, Advisory, International Trips, Service Learning Projects, Paid Internships, Beat-making, Recording Studio",,,,,,,,X039,,,,,,,,"2, 5 to Prospect Ave; 6 to Longwood Ave",9 to 12
!19K615,Transit Tech Career and Technical Education High School,718-647-4458,,,,,,,,,,,"Baseball, Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Volleyball","Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.7-4.5)",N,"Course Grades: English (55-100), Math (65-100), Science (55-100), Social Studies (55-100)",,713,,,80,7.0,"FRC/FTC, Robotics, Justice Resource Center (JRC) partnership provides course pathways in Law Enforcement, AVID college- and career-readiness program",,13,,,132.0,,,,,12.0,11208,11.0,N,,N,,46,"CTE programs: Informational Technology, Cyber-Security & Law Enforcement, Transportation Systems, Energy Management & Green Technology, Engineering",Computer Science & Technology,,"Internships and training through industry partners: MTA, Amtrak, ASI System Integration, DIIT, Scholars At Work, NYC Division of School Facilities",62.0,,68,Attendance,"Course Grades: English (55-100), Math (65-100), Science (55-100), Social Studies (55-100)",Open to New York City residents,Information Technology,K615,,,,,,,,"A, C to Euclid Ave; J, Z to Norwood Ave",9 to 12
09X227,Bronx Collegiate Academy,718-340-3659,,,,,,,,,,,"Baseball, Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,396,,,,5.0,"Elective Courses: American Sign Language, History Through Film, SAT Prep, Art Technology, Economics, Business Math, Accounting",,,,,,,,,,,10457,6.0,,,,,,"Honors Courses: English Language Arts, Chemistry, Government, Geometry, Algebra II & Trigonometry, Precalculus, Statistics, Psychology",,,"Morning and after-school tutoring, CUNY College Now, winter showcase, career day, SAT prep, Saturday academy, Food 4 Thought",,,,,,,,X410,,,,,,,,"4 to Mt Eden Ave; B, D to 170th St",9 to 12
07X551,The Urban Assembly Bronx Academy of Letters,718-401-6626,,,,,,,,,,,"Baseball, Basketball, Soccer",,,,,590,,,,4.0,"Our full-time enrichment & partnership coordinator supports students in finding internships, extra curricular activities, & study abroad experiences.",,,,,,,,,,,10451,6.0,,,,,,"Our in-residence program offers activism, writing, theater and music to our scholars, taught by industry leaders.",,,"Students take part in yearly exhibitions where they present college level research projects to the community, highlighting their learning and skills.",,,,,,,,X183,,,,,,,,"2 to 149th St-Grand Concourse; 4, 5 to 138th St-Grand Concourse; 6 to 3rd Ave-138th St",6 to 12
28Q325,Hillside Arts & Letters Academy,718-658-1613,,,,,,,,-100% of offers went to this group,,,"Baseball, Basketball, Bowling, Fencing, Football, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,,,,467,,,,7.0,"CUNY College Now, AP courses, St. John's University English course, St John's University Business course",,,,,,,,,,,11432,9.0,,,,,,"Art, Music, Writing, Advisory Classes, Lifeguard Certification, College/Career Counseling, SAT Prep, CUNY College Now, AP Courses & Regents Prep",,-100% of offers went to this group,Partnership with Lincoln Center Theater. English as a New Language students participate in Learning English and Drama (LEAD) Project.,,,,,,,,Q470,,,,,,,,F to 169th St,9 to 12
09X329,DreamYard Preparatory School,718-410-4312,,,,,,,,,,,"Baseball, Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,266,,,,5.0,"AP Government, AP English Language, AP Spanish Language, AP Psychology, AP Computer Science",,,,,,,,,,,10457,5.0,,,,,,"CUNY College Now classes, SAT Preparation, Life-Ready Class, Senior Seminar, Poetry, Cosmetology, Fashion Design, Barbershop, Technology Classes",,,"Arts Major in 11th and 12th grades, School-wide display of student artwork",,,,,,,,X410,,,,,,,,"4 to Mt Eden Ave; B, D to 170th St",9 to 12
02M542,Manhattan Bridges High School,646-557-3926,,,,,,,,,,,"Baseball, Basketball, Bowling, Soccer, Tennis, Volleyball","Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.7-4.5)",Y,,,517,,,265,10.0,"Honors, Advanced Placement (AP), and College Courses",,5,,,,,,,,,10019,5.0,,"NYSESLAT Score, if available",N,,20,Dual Language and Transitional Bilingual Programs,,,"Work-Based Learning, Job Shadowing, Internships & Community Service, Financial Literacy",,,,Attendance,"Course Grades: English (70-100), Math (70-100), Science (71-100), Social Studies (71-100)",,,M535,,,,,,,,"C, E to 50th St",9 to 12
13K605,George Westinghouse Career and Technical Education High School,718-596-9434,,,,,,,,,,,"Baseball, Basketball, Bowling, Handball, Indoor Track, Outdoor Track, Soccer","Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",N,Course Grades: Average (63-100),,756,,,308,12.0,"Industry-recognized certifications: NYC Department of Health Food Handlers' Certificate, CCENT/CCNA (Cisco), A+, NOCTI, NCCER and OSHA (10 hr).",,10,,,,,,,,10.0,11201,18.0,,,Y,,78,"CTE programs: Electrical Installation and Practice, Culinary Arts, Computer Information Systems (repair, networking, security), Multimedia, and STEAM",Computer Science & Technology,,"College credit opportunities: CUNY College Now, Pace Upward Bound, Medgar Evers Early College, St. Joseph's College",,,,Attendance,Course Grades: Average (56-100),Open to New York City residents,,K580,,,,,,,,"2, 3, 4, 5 to Borough Hall; A, C, F, R to Jay St-MetroTech; B, Q to DeKalb Ave; G to Hoyt & Schermerhorn",9 to 12
10X442,"Celia Cruz Bronx High School of Music, The",718-329-8559,,,,,,,,,,,"Baseball, Basketball, Bowling, Handball, Indoor Track, Outdoor Track, Soccer, Volleyball",,N,,,427,,,178,7.0,"Jazz Band, Latin Band, String Orchestras, Full Orchestra, Piano, and Choirs",,13,,,,,,,,,10468,7.0,,,Y,,6,"Advanced Regents Diploma program; Chancellor's Arts Endorsed Diploma, double periods of Ensemble, Music Electives, SAT prep, and six AP courses",,,"Minimum of two major performances yearly, evaluated by New York State School Music Association (NYSSMA) as soloists and ensembles",,,,Audition,,,,X430,1.0,,,,,,,4 to Kingsbridge Rd,9 to 12
10X225,Theater Arts Production Company School (TAPCo),718-584-5102,,,,,,,,,,,,,N,Audition,,608,Then to Bronx students or residents,,61,3.0,"Theater, Dance, Vocal Music, Instrumental Music, or Visual Studies (Studio & Digital-Video) are our primary tracks in the Arts.",,7,1.0,,,,,,,7.0,10457,5.0,,,N,,17,"Saturday Academy, Regents Prep, SAT Prep, Lehman College Now, the LINCT program for raising Math & ELA Regents' scores to increase college readiness.",Performing Arts/Visual Art & Design,,,,,,Attendance,Audition,Priority to continuing 8th graders,,X137,1.0,,,,,,,"4 to 183rd St; B, D to 182nd-183rd Sts",6 to 12
13K594,Gotham Professional Arts Academy,718-574-3971,,,,,,,,,,,"Basketball, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball",,,,,168,,,,3.0,"All students select an Arts track to complete their required Art PBAT. Art tracks include: Visual Art Production, Art Criticism, or Theater/Acting.",,,,,,,,,,,11238,5.0,,,,,,Students graduate by passing five Performance-Based Assessment Tasks (PBATs) and the ELA Regents. Gotham Academy graduates earn a Regents Diploma.,,,Frequent class trips and partnerships with community organizations allow us to use the city as our classroom and expose students to new opportunities,,,,,,,,K040,,,,,,,,A to Utica Ave; C to Ralph Ave,9 to 12
21K690,Brooklyn Studio Secondary School,718-266-5093,,,,,,,,,,,"Baseball, Basketball, Bowling, Handball, Soccer",,Y,,,942,,,471,8.0,Instructional Program in Instrumental Music: Performance music sequence aligned to NYC Blueprint for the Arts,,7,,,,,,,,,11214,13.0,,,Y,,N/A - continuing program,CTE program(s) in: Digital Media Communications,,,Rigorous instructional intensive through tutoring and credit-earning classes to support credit accumulation.,,,,,,,,K721,,,,,,,,D to 20th Ave,6 to 12
30Q502,Information Technology High School,718-937-5236,,,,,,,,,,,"Baseball, Basketball, Fencing, Football, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,1007,,,,7.0,"Technology Academies: state certified CTE Web Design, Video Production; Cisco Cyber Security will be introduced this fall.",,,,,,,,,,,11101,9.0,,,,,,CTE program(s) in: Web Design Academy and Film and Video Production,,,"Junior and Senior Band; ITHS Band students compete in NYSSMA Band Competition, as well as NYSSMA Solo and Ensemble Competition",,,,,,,,Q725,,,,,,,,"7, E, G, M to Court Square; N, W to Queensboro Plaza; R to Queens Plaza",9 to 12
27Q302,"Queens High School for Information, Research, and Technology",718-868 -1653,,,,,,,,,,,"Baseball, Basketball, Football, Indoor Track, Outdoor Track, Soccer, Swimming, Table Tennis",,,,,443,,,163,7.0,"Certification in IC3, preparation for Cisco Certification exam, programs in C++, Adobe, Cloud Applications",,9,,,,,,,,,11691,8.0,,,Y,,,"CTE program(s) in: Information Technology, Computer Science",,,"SUNY in the HS Program (SUNY-Albany): College Courses in Literature, Spanish, American Government and Politics, Pre-Calculus, & Environmental Science",,,,,,,,Q465,,,,,,,,A to Beach 25th St,9 to 12
31R600,Ralph R. McKee Career and Technical Education High School,718-981-8776,,,,,,,,,,,"Baseball, Basketball, Bowling, Cross Country, Fencing, Football, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,N,,,792,,,204,5.0,30 business partners; CTE-ISP; Futures & Options; DSF; Grant Associates; Scholars at Work; SYEP; WBL; NCCER; Industry Certifications,,14,,,103.0,,,,,6.0,10301,10.0,Y,,N,,67,"CTE: Architectural Drafting, Automotive Tech, Construction/Carpentry, Electrical, Graphic Design, Software Engineering, Virtual Enterprise.",Engineering,,"AVID: a premiere college & career readiness program featuring research based strategies, curriculum, and enrichment of metacognitive skills.",38.0,,78,,,Open to New York City residents,Carpentry,R600,,,,,,,,SIR to St. George,9 to 12
02M399,The High School For Language and Diplomacy,212-253-2539,,,,,,,,,,,"Baseball, Basketball, Handball, Soccer, Volleyball",,,,,327,,,,3.0,"Four-year language sequence in Mandarin with additional one-year courses in languages including: Arabic, American Sign Language, and Spanish",,,,,,,,,,,10003,2.0,,,,,,Additional Advanced Placement (AP) courses: Chinese Language & Culture,,,All 9th grade students are matched with a senior Peer Group Connection Leader who assists them with transitioning between middle and high school.,,,,,,,,M460,,,,,,,,"4, 5, 6, L, N, Q, R, W to 14th St-Union Square",9 to 12
14K454,The Williamsburg High School of Arts and Technology,718-387-7945,,,,,,,,,,,"Baseball, Wrestling",,N,,,269,,,143,8.0,"Electives courses include: studio art, photography, peer mediation, and peer leadership.",,5,,,,,,,,,11206,9.0,,,Y,,4,College courses at CUNY-New York City College of Technology available to Juniors and Seniors,,,"Electives include: Peer Mediation and Internships; Creative Movement, Dance, Theater, Art",,,,,,,,K049,,,,,,,,"G to Broadway; L to Grand St; J, M, Z to Lorimer St",9 to 12
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",718-585-8019,,,,,,,,,,,"Baseball, Basketball, Outdoor Track",,,,,496,,,,9.0,Free two-year Associates degree in Applied Science in Nursing or Community Health Work,,,,,,,,,,,10455,8.0,,,,,,CTE program(s) in: Nursing,,,Paid internships in nursing and community health; advisory and tutoring in every subject,,,,,,,,X655,,,,,,,,"2, 5 to Jackson Ave; 6 to East 143rd St-St Mary's St",9 to 14
17K600,Clara Barton High School,718-857-3688,,,,,,,,,,,"Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track","Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.6-4.5)",N,,,1221,,,32,3.0,"Majors: Nursing(LPN- Practical Nurse), Medical Assistant/Billing & Coding, Nurse Assistant, Dental Assistant, Dental Lab Technician, Vision Technician",,5,,,,,,,,,11225,3.0,,Demonstrated Interest: School Visit,Y,,32,"Students may receive CTE state endorsements in one of eight different majors, preparing students for State Certification and Licenses.",,,"We offer in-school paid jobs. Students attend ""Exploring"" Workshops in Medicine, Law, Engineering,Fashion, Real Estate, Construction.",,,,Attendance,Course Grades: Average (63-100),,,K600,,,,,,,,"2, 3, 4, 5 to Franklin Av; S to Botanic Garden",9 to 12
10X439,Bronx High School for Law and Community Service,718-295-3631,,,,,,,,,,,"Baseball, Basketball, Swimming, Volleyball",,,,,409,,,,13.0,"CUNY College Now, SAT preparation, AP, and Honors courses are included alongside forensic science, mock trial, moot court, criminology, and swimming",,,,,,,,,,,10458,12.0,,,,,,CTE program(s) in: Law and Law Enforcement,,,"Futures and Options, Urban Ambassadors, Literacy Leaders, SEO Scholars, Fordham University",,,,,,,,X435,,,,,,,,"B, D to Fordham Rd",9 to 12
19K507,Performing Arts and Technology High School,718-922-0953,,,,,,,,,,,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",,N,,,450,,,120,10.0,CUNY College Now Courses are offered for qualified students.,,4,,,,,,,,,11207,12.0,,,N,,58,"Introduction to the Performing Arts and Technology; Students select a major in Dance, Theater, Technology or Choir.",,,Student Success Center that assist students with the college process. The college counselors also arrange college tours and SAT prep.,,,,,,Open to New York City residents,,K435,,,,,,,,3 to Pennsylvania Ave; L to Livonia Ave,9 to 12
12X521,"Metropolitan Soundview High School, The",718-860-8232,,,,,,,,,,,"Baseball, Basketball, Bowling, Soccer, Swimming",,,,,429,,,,6.0,"Double literacy and mathematics for grades 9-10, AP Literature, AP Language, AP Calculus, AP History, PGC, Advisories, STEM Electives, Digital Art",,,,,,,,,,,10472,6.0,,,,,,Monday-Thursday school is from 8am-2:35pm; Friday school is from 8am-1pm,,,"iLearnNYC: Program for expanded online coursework and self-paced learning; AIS: Empower 3000 for literacy, Blended learning in ELA and Mathematics",,,,,,,,X420,,,,,,,,6 to Elder Ave,9 to 12
06M423,High School for Excellence and Innovation,212-569-1190,,,,,,,,,,,Baseball,,,,,201,,,,1.0,"Saturday Academy and PM School provide students with test prep, tutoring, and online credit recovery",,,,,,,,,,,10034,2.0,,,,,,iLearnNYC: Program for expanded online coursework and self-paced learning,,,NDA Paid Internship Program for students in which students are paired with an outside company while receiving academic tutoring.,,,,,,,,M052,,,,,,,,"1, A to Dyckman St",9 to 12
32K554,All City Leadership Secondary School,718-246-6509,,,,,,,,,,,"Baseball, Basketball, Bowling, Handball, Volleyball",,,,,435,,,N/A - continuing program,23.0,"Computer Technology, Visual Arts (after-school program), Leadership Skill Development",,N/A - continuing program,,,,,,,,,11237,20.0,,,Y,,,Students participate in the Leadership-Cadet meetings on Friday evenings; We offer Robotics/Pre-Engineering.,,,Introduction to Business and Financial Markets,,,,,,,,K554,,,,,,,,"L, M to Myrtle-Wyckoff Avs",6 to 12
03M415,Wadleigh Secondary School for the Performing & Visual Arts,212-749-6463,,,,,,,,,,,Basketball,"Standardized Test Scores: English Language Arts (1.5-4.5), Math (1.4-4.5)",N,Course Grades: Average (60-100),,278,Then to New York City residents,,31,3.0,AP Courses: Studio Art; Language and Composition; US History; Spanish Language; Environmental Science. Honors Courses in all core subjects.,,5,,,30.0,,,,,5.0,10026,3.0,N,Audition,N,,19,Advanced Regents Diploma Program; Regents Endorsed Diploma in the Arts; CDOS Certificate; College Readiness courses,Performing Arts,-30% of offers went to this group,College For Every Student (CFES); CUNY College Now at City College; Teacher's College Summer Bridge; SAT Prep; Saturday Regents Prep; PM School,27.0,,N/A - continuing program,Attendance,Course Grades: Average (60-100),"Priority to Districts 3, 5, and 6 students or residents",Wadleigh Honors Academy for Current Students,M088,,,,,,,,"2, 3 to 110th St-Central Park North; B, C to 116th St",6 to 12
11X544,High School for Contemporary Arts,718-944-5650,,,,,,,,,,,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Swimming",,,,,446,,,165,5.0,"Visual, audio, media, and performing arts",,12,,,,,,,,,10467,5.0,,,N,,,Additional Advanced Placement (AP) courses in: Biology and Environmental Science,,,Opportunities to gain college credits through CUNY College Now program partnering with Lehman College and Hostos Community College,,,,,,,,X425,,,,,,,,"2, 5 to Gun Hill Rd",9 to 12
15K684,Millennium Brooklyn High School,718-499-2126,,,,,,,,,,,"Baseball, Basketball, Cross Country, Fencing, Soccer, Table Tennis",,,,,672,,,,39.0,Advisory-students placed with an academic advisor for all four years of high school; Executive Functioning for students in need of extra support,,,,,,,,,,,11215,23.0,,,,,,"Four years of ELA, Math, Social Studies, Science, and Research; Ten Advanced Placement course options; Three years of Foreign Language",,,Two college counselors work with students over four years for college advisement; Individual and family college meetings during 11th and 12th grade,,,,,,,,K460,,,,,,,,"F, G to 7th Ave; R to 4th Ave-9th St",9 to 12
12X682,Fannie Lou Hamer Freedom High School,718-861-0619,,,,,,,,,,,"Baseball, Basketball, Volleyball, Wrestling",,,,,473,,,,5.0,"Students create a portfolio of rich, personal work in seven areas: literature, math, social studies, science, social issues, art, STEAM, and electives",,,,,,,,,,,10460,7.0,,,,,,We require an academic portfolio for graduation: all students must complete seven portfolios and four Performance-based Assessment Tasks (PBATS).,,,"CUNY College Now and NYU Partnership college courses; community outreach, internship and entrepreneurship programs",,,,,,,,X878,,,,,,,,"2, 5 to Freeman St; 6 to Whitlock Ave",9 to 12
05M499,Frederick Douglass Academy,212-491-4414,,,,,,,,,,,"Baseball, Basketball, Fencing, Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",,N/A - new program,,,1362,Then to New York City residents,,320,7.0,"Naviance online college software/application tracking, Harlem Educational Activities Fund (HEAF), Double Discovery Columbia University, Greenhouse",,27,,,,,,,,,10039,8.0,,,N,,N/A - new program,"CUNY College Now, Summer NYU, Syracuse, and Ithaca College Enrichment, Harlem DNA Lab partnership, SAT Prep, College Tours/Visits, HBO Mentoring",,,"Year-Round Robotics Program, Aviation/Aeronautics, Mentoring in Medicine, Be Her Circle Young Women's Empowerment After-school, Yearbook Club",,,,,,,,M010,,,,,,,,"3 to Harlem-148th St; B, D to 155th St",6 to 12
28Q686,Queens Metropolitan High School,718-286-3601,,,,,,,,-82% of offers went to this group,,,"Baseball, Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,1091,,,,,,,,,,,,,,,,11375,,,,,,,"Dance, Theater, College 101",,-82% of offers went to this group,,,,,,,,,Q686,,,,,,,,,9 to 12
31R047,CSI High School for International Studies,718-370-6915,,,,,,,,,,,"Baseball, Basketball, Cross Country, Fencing, Indoor Track, Soccer, Tennis, Wrestling",,,,,495,,,,11.0,"Four year Advisory class for students to enrich communication skills, social/emotional proficiency, global competence, and college/career readiness.",,,,,,,,,,,10314,5.0,,,,,,"College courses with CUNY College of Staten Island, and some tuition waivers.",,,"Strong academic/college prep. with strict policy on timely homework (late work not graded), strong school tone: zero tolerance of student misconduct.",,,,,,,,R043,,,,,,,,,9 to 12
07X221,South Bronx Preparatory: A College Board School,718-292-2172,,,,,,,,,,,"Baseball, Basketball, Cross Country, Soccer",,,,,659,,,1308,,"Knowledge for College, SAT Readiness-Pathways, academic support services, advisory, CUNY College Now, college visits, workshops at Lehman College",,20,,,,,,,,,10454,,,,Y,,,iLearnNYC: Program for expanded online coursework and self-paced learning,,,"STEM initiatives: Robotics, Hour of Code, Power My Learning",,,,,,,,X149,,,,,,,,"2, 5 to 3rd Ave-149th St; 4 to 138th St; 6 to 3rd Ave-138th St",6 to 12
