account_number,vendor_formal_name,id6_digit_naics_code,name_of_client_job_exp_1,description_of_work_job_exp_2,signatory_to_union_contracts,date_of_establishment,description_of_work_job_exp_1,description_of_work_job_exp_3,largest_value_of_contract,zip,certification,naics_subsector,naics_title,name_of_client_job_exp_2,bbl,aggregate_bonding_limit,census_tract_2020_,business_description,percent_self_performed_job_exp_3
100821,"Ampersand Fundraising, LLC",541990,NYU Langone Hospitals,"Provided support for annual fundraising efforts during a time of staff transition.

Development Plan",,2016-01-20T00:00:00.000,"Managed donor stewardship naming opportunities:
- Tracked donor recognition, coordinating with real","Served as Interim Director of Development:
- Set fundraising priorities with Executive Director and",30000.0,10069,"MBE,WBE","Other Professional, Scientific, and Technical Services","All Other Professional, Scientific, and Technical Services",New York Cares Inc.,1011717505.0,,15102.0,"Ampersand Fundraising, LLC provides development consulting services to nonprofit organizations. We work with you to create personalized solutions for your fundraising needs. Our services are customized to your goals, timelines, and resources. Projects fall broadly into three categories: planning and feasibility studies, campaign management, and interim staffing. In addition to providing high-level guidance, we offer hands-on support implementing our recommendations and plans.",100.0
368623,"A-Team Consulting Group, LLC",611710,AnaMaria Corbett,Purchased workshops on school violence and child abuse to satisfy requirements for NYS teaching cred,,2020-07-20T00:00:00.000,Client purchased bundle workshops.,,130.0,11758,"MBE,WBE",Educational Support Services,Educational Support Services,Megan Stuve,,,,A-Team Consulting offers workshops that cater to the professional development needs of educators across different grade levels and subject areas.,
317289,"ActiveCare Physical Therapy, PC",621340,1199SEIU Training and Employment Fund,Elective topics taping course for DPT students.,,2003-04-09T00:00:00.000,This 1.5 hour online seminar will discuss the use of telehealth for rehabilitative services in a cha,,700.0,10018,"MBE,WBE",Offices of Other Health Practitioners,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",Hunter College,1008400023.0,,84.0,"ActiveCare Physical Therapy, PC is a holistic specialty outpatient private practice owned and operated by Dr. Karena Wu, PT, DPT. ActiveCare PT is located in the heart of midtown Manhattan in a spacious boutique facility. Dr. Wu has been in practice since 2000 specializing in orthopedics, sports, manual therapy and Pilates based rehabilitation. Her team of physical therapists emphasize a holistic practice philosophy with individualized care on a concierge level. Her office has expanded internationally while maintaining the highest quality of one on one care to offer the best services to their patients. Dr. Wu oversees all operations and training to maintain consistency in care and customer service. 

ActiveCare Physical Therapy encompasses wellness services. We offer acupuncture, massage, reiki, Pilates training, personal training and intuitive services. These services are add-ons to the physical therapy services, making ActiveCare PT a one-stop shop for health and wellness.",
1638,"Armand Resource Group, Inc.",541611,NYC DOT,"Comprehensive Civil Rights, DBE/MWBE, Workforce and Labor Compliance Monitoring and Reporting",,2001-12-21T00:00:00.000,"Independent integrity monitor oversight services, DBE, EEO compliance monitoring and reporting, Davi",DBE/EEO and Workforce Davis Bacon Compliance Monitoring and Reporting,1458000.0,7601,MBE,"Management, Scientific, and Technical Consulting Services",Administrative Management and General Management Consulting Services,NYC DOT,,,,"Comprehensive Civil Rights, Diversity, Equity, and Inclusion, D/M/WBE Program design and Implementation Services, Workforce/Labor/Contract Compliance Monitoring and Reporting Services, Business Impact Mitigation Services, Business Development and Technical Assistance Services, Outreach/Recruitment/Public Participation and Community Relations Services, Disparity Study Data Collection and Call Center Services, IPSIG Oversight Compliance Monitoring and Reporting; Civil Rights and Ethics Training Services.",100.0
4997,AMC Engineering PLLC,541620,EAI Environmental,"SWPPP applications and inspections
NOI application at 13 locations.",,2000-12-01T00:00:00.000,Engineering Services: Vapor Barrier inspections at various schools throughout the boroughs of New Yo,Excavation Plan and CAMP,1000000.0,11105,MBE,"Management, Scientific, and Technical Consulting Services",Environmental Consulting Services,Maspeth Supply,4008020067.0,,12301.0,"Environmental compliance services environmental permits, soil & groundwater characterization, materials handling plans, soil samplings, SWPPP plans and inspections, SPDES permits. Dewatering design and permits, NYSDEC and NYCDEP permits, air and noise monitoring plans and implementation, environmental boring services, in-situ soil and water characterization, subslab depressurization system.",100.0
386694,Abruzzo Bodziak Architects llc,541310,NYC Department of Design and Construction,Architectural Design,,2009-01-29T00:00:00.000,Architectural Design,Architectural Design,831478.0,6405,WBE,"Architectural, Engineering, and Related Services",Architectural Services,OnTheMarc Events,,,,"ABA works with inspired clients to create visionary residential, cultural, commercial, and civic projects through everyday means. 

An internationally recognized New York and Connecticut-based office, our work is defined by an innovative approach to contextuality and focus on detail. Current projects include a New York Public Library branch, a Community Justice Center in Connecticut, a culinary and event planning team's headquarters, several urban townhouses, and restoration of two buildings listed on the National Register of Historic Places.

Our projects have included implementing effective water management strategies, integrating landscape with built form, and overhauling existing buildings for better energy management and control. With all team members trained in sustainable design, our work is underscored by choices that support human health and the environment.

ABA has received numerous recognitions including the Architectural League Prize, AIA New Practices New York, Architectural Record’s Design Vanguard, and Curbed’s Groundbreakers Award. A proponent of civic engagement and the importance of public space, the office is included in New York City Department of Design and Construction’s Design Excellence Program and is a Design Advocates contributing firm. Our projects have been featured in diverse international publications and have been exhibited widely.",100.0
379659,"AIM & Co., LLC",541990,Deparment of Education,Garlands,,2024-08-20T00:00:00.000,Arches and columns,Arch and Column Balloons,2225.0,6810,"MBE,WBE","Other Professional, Scientific, and Technical Services","All Other Professional, Scientific, and Technical Services",Department of Education,,,,"Aim & Co is a minority and woman-owned balloon décor company with over 10 years of experience serving the New York City area. Specializing in creative and personalized balloon arrangements, Aim & Co transforms any event into a memorable celebration. Whether it's a birthday, wedding, corporate event, or community gathering, they bring a unique touch with stunning designs that cater to each client’s vision. Their expertise and passion for detail ensure that every decoration is not just eye-catching but also reflects the personality and style of the occasion. From elegant arches to custom balloon installations, Aim & Co is dedicated to delivering high-quality service and one-of-a-kind décor that makes every event extraordinary.",100.0
363136,1030 Production Services LLC,711510,NYPD,As a newly appointed MWBE (Minority and Women-owned Business Enterprise) certified by both New York,,2022-04-01T00:00:00.000,We are currently collaborating with Northwell Health and the NYPD on a branded commercial that spotl,Produced photo and video content,40000.0,10031,MBE,"Independent Artists, Writers, and Performers","Independent Artists, Writers, and Performers",NYC Small Business Services,1020020101.0,,22301.0,"FortyLove is a leading photo and video production company, proudly certified as a Minority and Women-Owned Business Enterprise (MWBE) by both New York State and New York City. Based in NYC, we specialize in producing high-quality visual content for both commercial brands and government clients. With a team of experienced professionals, we deliver exceptional work across various industries including fashion, lifestyle, real estate, healthcare, technology, and public sector projects.

At FortyLove, we’re storytellers at heart, bringing creativity, technical skill, and innovation to every project we undertake. Our services span from concept development through post-production, ensuring that we provide an end-to-end solution for all visual production needs. We have earned the trust of globally recognized brands and government agencies by consistently delivering compelling content with a commitment to quality, professionalism, and inclusivity.

MWBE Certification

As an MWBE-certified company, FortyLove is committed to supporting diversity and inclusion in the workforce. This certification allows us to participate in government contracting opportunities, where MWBE engagement is prioritized, and enables clients to meet their diversity goals. We ensure that every project not only reflects high standards of craftsmanship but also promotes equitable representation, both in front of and behind the camera.

Our Services

FortyLove offers a wide range of photo and video production services, catering to the unique needs of commercial and government clients. Our expertise extends to various types of projects, including branding campaigns, public service announcements, product shoots, corporate events, and more. Below are our primary service offerings:

1. Commercial Photo and Video Production
We work with brands across industries to create visually stunning content that enhances their message and engages their target audience. Our commercial services include:

Advertising Campaigns: Creating eye-catching visuals that build brand awareness.
Product Photography & Videography: Highlighting product features and quality for marketing purposes.
Corporate Videos: Producing company profiles, testimonials, and internal communication content.
Event Coverage: Documenting key moments at corporate events, launches, and trade shows.
Social Media Content: Generating dynamic visuals optimized for social platforms.
Fashion & E-commerce Photography: Crafting professional lookbooks and product images that drive sales.
2. Government Photo and Video Production
FortyLove is experienced in working with government agencies to produce content that meets strict compliance and quality standards. Our government services include:

Public Service Announcements (PSAs): Communicating important messages to the public.
Training Videos: Creating instructional content for employees and the public.
Documentary Production: Capturing critical social, political, and environmental issues.
Infrastructure Documentation: Recording the progress of public works and infrastructure projects.
Event Documentation: Providing professional coverage of government events and initiatives.
Emergency Response & Preparedness Videos: Helping public safety departments communicate important guidelines.
As a certified MWBE, we ensure all diversity and inclusion goals are met in compliance with state and federal regulations, making us an ideal partner for government contracting.

3. End-to-End Production Services
We offer comprehensive production services that cover every aspect of a project, from pre-production planning to final delivery. Our full-service capabilities include:

Pre-Production: Creative development, budgeting, casting, location scouting, and permitting.
Production: On-set photography and videography, drone filming, and live-streaming.
Post-Production: Professional editing, sound design, color grading, motion graphics, and VFX.
We also handle all necessary compliance, ensuring that each project meets regulatory standards, particularly in the case of government contracts or productions involving minors.

4. Specialized Services
Multilingual Content: We produce content in various languages, ensuring it resonates with diverse audiences.
Green Production: Offering eco-friendly production practices for clients focused on sustainability.
Government Contracting: Our expertise in public sector work and MWBE certification makes us a trusted partner for government agencies.",100.0
365849,"Alamo Insurance Group, Inc.",524210,Jersey City Housing Authority,"Risk management Consulting and placement, oversight, and maintenance of P&C insurance policies",,1998-06-24T00:00:00.000,"Risk Management Consulting, policy placement, oversight and maintenance for Workers Compensation,","Marketing, selection, and ongoing administration of Dental, Vision, Life & AD&D Insurance",125000.0,7094,MBE,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,Princeton Housing Authority,,,,"Alamo Insurance Group is among New Jersey's largest qualified MBE Insurance Brokers/Consultants. With 25 years in business, whether independently or as part of a dedicated broker team, Alamo boasts a proven track record of delivering quality Employee Benefits and Risk Management Consulting with exceptional, white-glove, concierge service at significant savings. Client-centric and carrier-agnostic, our approach includes thorough due diligence scouring of the marketplace across alternative funding options at no upfront cost or obligation to help our clients make decisions in their best interest.  What's more, as a ""Gallagher Connect Partner"", we have teamed up with the world's 3rd largest Insurance Broker to provide a unique offering that combines expertise, vast tools, and resources, while helping large employers impact their DE&I goals.",100.0
10241,Active Healing Physical Therapy PLLC,621340,,,,2008-06-18T00:00:00.000,,,,11432,MBE,Offices of Other Health Practitioners,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",,4098600040.0,,454.0,WE PROVIDE PHYSICAL THERAPY SERVICES TO PATIENTS IN AN OUTDOOR CLINIC SETTING.,
358463,Arch of Self LLC,611710,NYC DOE Office of Teacher Development FUND for Public Schools,Conducted a training session.,,2018-11-27T00:00:00.000,Create a video series based on the components of the RLD model.,Workshop on Wellness.,27000.0,10027,"MBE,WBE",Educational Support Services,Educational Support Services,New York City Men Teach,1019750029.0,,203.0,"The Arch of Self conducts professional development workshops for teachers, educators and school leaders.",100.0
2651,"Akhtar Construction Co., Inc.",236116,HPD,General Construction,,2000-02-10T00:00:00.000,General Construction,,540211.0,11435,MBE,Residential Building Construction,New Multifamily Housing Construction (except For-Sale Builders),TARIK NASSER,4097040063.0,15000000.0,238.0,"General construction for single, multifamily building and apartments.",
10081,6 Miles Mobile LLC,449210,Music World Avenue Inc,Sold iPhone accessories.,,2013-10-24T00:00:00.000,"Sold Apple cable, charger and air tag.",Sold screen for Samsung phone.,332.0,11374,MBE,Electronics and Appliance Retailers,Electronics and Appliance Retailers,Xtra Innovation,4020860038.0,,71701.0,"6 Miles Mobile sells smartphones, mobile data plans, cellphones, bluetooth and cellphone accessories.",100.0
356140,"Amalie Industries, LLC",531210,,,,2017-05-10T00:00:00.000,,,,12586,"MBE,WBE",Offices of Real Estate Agents and Brokers,Offices of Real Estate Agents and Brokers,,,,,Amalie Industries does real estate brokerage and property management. The company also provides consulting services.,
358365,All 4 Lexington LLC,541990,Claremont Community Center,,,2021-05-03T00:00:00.000,Conducted coaching sessions.,,1180.0,10453,"MBE,WBE","Other Professional, Scientific, and Technical Services","All Other Professional, Scientific, and Technical Services",,2032080053.0,,251.0,"All 4 Lexington LLC, sells packages that contain three (3) coaching sessions which teach entrepreneurs about bank accounts, business domain and website production.",
314146,"Art for Film, LLC",711410,20th Television-American Horror Story: Hamptons,Provided copyright cleared artwork for set decoration on a tv show.  Since 2016 we have been paid $1,,2007-03-12T00:00:00.000,Provided original sculptures and painting reproductions for set decoration on a tv show,Provided copyright cleared artwork for use as set decoration in a movie.,41382.0,11205,WBE,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures","Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",Universal Television-Chicago Med,3020230001.0,,543.0,"Since 2006 Art for Film has built a reputation as the most trusted source for high-caliber artwork in a large range of styles and genres for the entertainment, hospitality, corporate, health care and government sectors. We work with hundreds of artists, from Emerging talents to award-winning stars, to provide our clients with thousands of curated artwork solutions.  We are known not only for our superb client service and the exceptional breadth and quality of our artwork, but for our deep and diverse connections in the art world, as the far majority of our artists identify as women, African, American, Asian, Latinx, and LGBTQI New Yorkers.",100.0
10057,3D Spectrum Enterprise LLC,517911,SCI,,,2002-05-08T00:00:00.000,Telecom and Data Support,,57000.0,11413,MBE,Other Telecommunications,Telecommunications Resellers,,4131290001.0,,358.0,"IT, telecommunications, voice and data, cloud, CCTV, IVR, voicemail, PBX, installations, maintenance, voice auditing, cabling, server installs, router installs, low voltage.",
392652,Aqua Treat LLC,561990,American Red Cross,Did water treatment for a cooling tower. Did legionella testing and remediation.,,2023-06-01T00:00:00.000,Provided water treatment for a colling tower. Did legionella testing and remediation.,Did water treatment for a cooling tower. Did legionella testing and remediation.,76428.0,11040,MBE,Other Support Services,All Other Support Services,Connaught Tower Corp,,,,"Aqua Treat specializes in efficient water treatment solutions to protect commercial boilers, cooling towers and other HVAC equipment from corrosion, scale and microbiological fouling.",100.0
808,Abacus Building Innovations Inc.,238190,Boilermatic welding Industries,,,2008-01-01T00:00:00.000,Site Demolition removals,,,11105,"MBE,WBE","Foundation, Structure, and Building Exterior Contractors","Other Foundation, Structure, and Building Exterior Contractors",,4007810047.0,,137.0,"Construction company specializing in foundation work & superstructures. Our services include; site work, excavation, curbs, sidewalks, reinforced concrete, masonry work.",
387269,Architectural Research & Design P.C.,541310,"DEMAJ 1, LLC",,,2011-03-10T00:00:00.000,PARTIAL GUT REHABILITATION OF 3 STORY  BLDG. AND CONVERSION  TO A 5 DWELLING BLDG.,,27726.0,10461,MBE,"Architectural, Engineering, and Related Services",Architectural Services,,2041050012.0,,254.0,"ARCHITECTURE & ENGINEERING SERVICES
CONSTRUCTION SUPERINTENDENT SERVICES
CONSTRUCTION INSPECTION SERVICES
AUTOCAD (DRAFTING) SERVICES
RESEARCH & PROJECT MANAGEMENT SERVICES
PROJECT FEASIBILITY SERVICES
PROJECT ZONING & DEVELOPMENT SERVICES",
10491,"America Works of New York, Inc.",561311,Human Resources Administration,YouthPathways: Service Area II. BK,,1985-09-11T00:00:00.000,"Career assessments and development of individual employability plan, referral to edcuation provider.",CareerAdvance: Service Area IV. QN,11932003.0,10017,WBE,Employment Services,Employment Placement Agencies,HRA,1013180033.0,,90.0,"America works of New York, Inc. changes people's lives by lifting them from dependence into the productive world of employment. America Works of New York, Inc. (AWNY) provides low-income, needy individuals with education, occupational and vocational training, work readiness, job placement and job retention services.",100.0
365896,A. Ceriello Corp,445298,Cimino and Son,,,1984-08-01T00:00:00.000,Sold pasta sauce for re-distribution.,,11785.0,11596,WBE,Specialty Food Retailers,All Other Specialty Food Retailers,,,,,"A. Ceriello Corp is an Italian specialty food company that also manufactures pasta sauces, dressings etc. for distribution.",
370048,Adria Consulting LLC,541990,Etsy,,,2020-09-15T00:00:00.000,sold specific books and services,,2000.0,11370,WBE,"Other Professional, Scientific, and Technical Services","All Other Professional, Scientific, and Technical Services",,4010117501.0,,317.0,we provide business with products and consulting services,
388029,A.F. PAREDES & CO. CPAS LLP,541211,NYC ADMINISTRATION FOR CHILDREN SERVICES,"Perform audit of financial statements for the year ended June 30, 2024to include audit of compliance",,2008-12-30T00:00:00.000,Perform audits and agreed upon procedures as assigned by NYC MOCS for its agencies,"Perform audit of financial statements for the year ended June 30, 2024to include audit of compliance",1271375.0,10038,MBE,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Offices of Certified Public Accountants,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION,1000767502.0,,1502.0,"A full services CPA firm providing auditing, accounting, bookkeeping, consulting and tax services.",100.0
10104,A & T Corp.,541330,Edgar Carpio,Construction support design,,2003-10-16T00:00:00.000,"New Building Design, including architectural, structural, SOE, MEP, demolition, sewer, site safety p","SOE Design, TR1/TR8 inspection, Construction Management",85000.0,11358,MBE,"Architectural, Engineering, and Related Services",Engineering Services,Suffolk Concrete Construction Inc,4055120034.0,,1459.0,"Architecture design, structure design, loan rating, temperate structure design, construction inspection, design inspection, construction support, construction management.",100.0
936,Aimes Medical Equipment Rental and Props,423450,Metropolitan Hospital,Medical Equipment,,1999-06-24T00:00:00.000,Medical Equipment,"Provided Equipment for Props. Universal Network Television LLC#5 Universal City, CA.",33250.0,10701,MBE,Professional and Commercial Equipment and Supplies Merchant Wholesalers,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",Episcopal Health Services Inc.,,,,"Buy and sell medical equipment.
Rent medical equipment to health and the movie industry.
Repair Medical Equipment.",
325958,"ARC Document Solutions, LLC.",541490,FDNY,Paper order to several divisions within the FDNY.,,2024-11-22T00:00:00.000,Reproduction services.,FDNY bought paper.,5985270.0,10018,MBE,Specialized Design Services,Other Specialized Design Services,FDNY,1007870072.0,,109.0,"ARC Document Solutions, LLC is a leading provider of document management, printing, and digital solutions for businesses across multiple industries. WIth decades of experience, ARC has evlolved from a traditional reprographics company into a cutting-edge provider of managed print services, digital document solutions, environmental graphics, and large-format printing. By leveraging state-of-the-art technology, ARC helps businesses optimize their document workflows, enhance collaboration, and create visually compelling brand experiences.
ARC operates a vast network of service centers, production facilities, and technology solutions that serve a diverse customer base, including architects, engirneers, contractors, retail brands, corporate offices, and facility managers. The company's expertise in document lifecycle management, from creation and storage to distribution and security, ensures that clients receive customized solutions that streamline their operations and drive efficiency. 

Core Services
1. Print and Document Management Solutions
ARC provides businesses with end-to-end print and document management services, allowing them to reduce costs, improve efficiency, and maintain secure document workflows. Key offerings include:
-Managed Print Services (MPS): ARC optimizes in-office print environments, elping companies lower costs, improve security, and enhance productivity through centralized print management. 
-Digital Document Solutions: Secure cloud-based platforms enable seamless access, retrieval, and sharing of business-critical documents.
-On-Site Print Solutions: ARC deploys dedicated print infrastructure within client facilities to ensure efficient document management without the need for off-site outsourcing.
-Scanning and Archiving: ARC converts paper documents into digital assets, making it easier to store, search, and manage information with improved security and compliance. 

2. Large-Format Printing and Environmental Graphics
ARC's expertise in large-format printing enables businesses to create visually impactful displays, signage, and branding solutions tailored to their needs. We offer: 
-Environmental Graphics: Transforming physical spaces through branded wall murals, floor graphics, and wayfinding signage that enhance customer engagement. 
-Retail and Event Signage: High-quality banners, posters, and promotional displays for in-store branding, trade shows, and corporate events. 
-Custom Digital Displays: Dynamic digital signage solutions that provide real-time content updates for enhanced communication and brand storytelling. 

3. Construction and Building Information Solutions
ARC is a trusted partner for the Architecture, Engineering, and Construction (AEC) industry, offering specialized services that streamline document workdflows, improve collaboration, and increase project efficiency. Solutions include: 
-Project Document Management: Digital plaforms that store, track, and distribute construction drawings, specifications, and other critical documents. 
-BIM (Building Information Modeling) Print Services: HIgh-resolution printing of BIM models, blueprints, and construction plans for precise project execution. 
-Jobsite Services: On-demand printing and document delivery directly to construction sites, ensuring teams have the most up-to-date plans available. 

4. Cloud and Digital Transformation Services
As businesses move toward digital-first strategies, ARC supports clients in digitzing workflows, improving accessibility, and enhancing security through: 
-ARC Facilities: A cloud-based facility management solution that allows organizations to store, track and access building plans and maintenance records from anywhere.
-SkySite: A digital project management platform tailored to the construction industry, offering seamless document collaboration and team communication. 
-AI-Driven Document Search and Retrieval: Advanced tools that enable businesses to quickly locate critical files within their document repositories. 

5. Customized Business Solutions
ARC Tailors its services to meet the specific needs of various industries, ensuring that businesses can operate more effieciently while maintaining compliance and security. The compay provides: 
-Corporate Office Solutions: Document security, print optimization, and workplace branding solutions that improve office productivity and employee engagement. 
-Healthcare Solutions: Secure document digitization and print services that support HIPAA compliance and enhance patient experience. 
-Financial Services and Legal SOlutions: Reliable document mangement services that ensure data confidentiality, regulatory compliance, and efficient workflow management.",100.0
333333,"Allure Mgmt & Dev, Inc.",531311,allure logistics & transportation inc,,,2020-01-02T00:00:00.000,"cleaning of space, supplies, and trailers",,1500.0,11416,"MBE,WBE",Activities Related to Real Estate,Residential Property Managers,,4090380054.0,,32.0,We have a team of dedicated specialists and contractors that handle matters dealing with property management and construction sites. We deal with services like rentals and maintenance of the rentals/properties/and construction sites.,
183361,Applied Safety LLC,561790,Cloud Kitchens,"On a quarterly schedule, we provided kitchen range hood, filter, duct and fan cleaning service, in c",,2007-12-14T00:00:00.000,"On a quarterly schedule, we provided kitchen range hood, filter, duct and fan cleaning service, in c","On a quarterly schedule, we provided kitchen range hood, filter, duct and fan cleaning service, in c",12057.9,11101,MBE,Services to Buildings and Dwellings,Other Services to Buildings and Dwellings,The Manhattan Time Square Hotel,4004530023.0,,1903.0,"Applied Safety, LLC is a licensed contractor approved by the NYC Fire Department (FDNY), with a certification as a commercial cooking exhaust system servicing company (41 P). We provide regularly scheduled range hood, filter, duct, precipitator and fan cleaning service, in compliance with the current state and local fire codes. We also offer emergency repair service on all components of the grease exhaust system to keep our customers cooking. Additionally, we facilitate installation of the kitchen exhaust systems as well as the installation, filing and inspection of the kitchen fire suppression systems and portable fire extinguishers. We are able to take appropriate steps to correct violations related to the kitchen exhaust and fire systems. We have been operating for over 15 years and serve restaurants, community centers, day care centers, schools, hotels, nursing homes and other facilities that offer public food service in the Tri-State area.",100.0
388157,Architectural Building Products Inc.,236220,Leeding Builders Group,Window Wall,,1992-08-04T00:00:00.000,"Windows Wall, Panels, Storefronts",Unitized curtainwall.,8100000.0,10309,WBE,Nonresidential Building Construction,Commercial and Institutional Building Construction,Architectural Window Services,5072060150.0,,22602.0,"Commercial Construction Company Installing window wall, curtain wall, storefronts.",100.0
366486,"ALBOE, LLC",711510,Generator Collective,Provided painting touch up & repair services for a mural design ALBOE created in 2020.,,2019-11-22T00:00:00.000,"Designed and created digital, graphic arts assets, for Generator Collective's political campaigns to",Designed and painted a mural on NYC's 34th Street Bridge overpass/jersey walls for the Lincoln Tunne,5700.0,11101,"MBE,WBE","Independent Artists, Writers, and Performers","Independent Artists, Writers, and Performers",Hudson Yards Hell's Kitchen Alliance,4002140249.0,,17102.0,"ALBOE is an art production and fabrication company. Providing custom,  interior and exterior design solutions for institutions; residential and commercial properties; and public spaces.",100.0
365429,"APC Supplies and Services, LLC",423850,,,,2021-10-27T00:00:00.000,,,,11423,"MBE,WBE","Machinery, Equipment, and Supplies Merchant Wholesalers",Service Establishment Equipment and Supplies Merchant Wholesalers,,4103520079.0,,444.0,"APC Supplies and Services LLC distributes supplies to businesses. Not only do we sell janitorial supplies and equipment, but we offer training on how to use the products we sell. Examples of the items we sell are toilet tissue, hand towels, trash liners, cleaning solutions and personal protective equipment (i.e., masks, gloves, goggles, etc.). APC also sells janitorial equipment such as dust pans, brushes, mops, brooms, trash receptacles and vacuums. Our free training on the use of our products is a benefit our customers love. We also provide education and budget analysis relating to the products the customer purchases.

We offer sustainable choices and alternate solutions for the products our customers need. Another service we offer is budget saving analysis. Over time, we can analyze the ordering patterns and can anticipate usage and low stock. We will always look to see 
where we can save time and/or cost for our customers. As business owners, we are flexible and innovative and can think outside of the box. We understand the uncertainty of the times and are always looking for new or better products that will save money and time. If our client has a need, we will find a solution.

APC Supplies and Service sells janitorial products to the aviation community. Our client base are Janitorial companies, airline tenants, construction subcontractors and vendors, food court vendors and retail stores and kiosks.",
344854,A.M.J Electric Corp,238210,ICC Commonwealth,,,2016-01-05T00:00:00.000,Installed electrical wiring conduits.,,152447.0,11225,MBE,Building Equipment Contractors,Electrical Contractors and Other Wiring Installation Contractors,,3011970006.0,,327.0,"A.M.J is an Electric Corp is an Electrical company. We provide  Residential, Commercial and Industrial Electrical Services including installation, maintenance and renovations.",
342965,Asheena Baez Consulting LLC,611710,Research and Services HS,Leadership Training,,,Leadership Training,Leadership Training,25000.0,11510,"MBE,WBE",Educational Support Services,Educational Support Services,Valley Stream Union Free School District Thirteen,,,,Our company offers a series of training sessions exploring the theories and practices of mindfulness.,100.0
328327,A & E Cleaning Solutions Inc.,561720,Babylon Dental Care,"Clean bathroom toilet, sink, replenish paper toilet and toilet tissues. wipe all surfaces, office de",,2016-01-17T00:00:00.000,"Wipe/clean all surfaces- office desks, counters, and dust off objects. Clean doctors operating rooms","Clean all bathroom toilet, sick, floors, wipe all walls and back splashes, replenish all paper towel",2541.0,11757,"MBE,WBE",Services to Buildings and Dwellings,Janitorial Services,"Gogov, inc",,,,"A & E Cleaning Solutions is a cleaning/janitorial, disinfecting and pressure washing service company.
Our company specializes in standard and heavy duty cleaning, construction site clean up, Covid 19/electrostatic cleaning, steam and pressure washing, move in/move out cleaning, window cleaning and carpet cleaning.",100.0
367180,2Hands2Help Inc,624190,Strive International Inc,,,2021-03-03T00:00:00.000,Provide psychoeducation regarding vicarious trauma and countertransference as the caregivers. Gain s,,750.0,10471,"MBE,WBE",Individual and Family Services,Other Individual and Family Services,,2059530230.0,,323.0,"2Hands2Help Inc is a boutique group therapy practice. Our practice is comprised of licensed therapists from diverse walks of life with one common thread; We are women of color who prioritize working with people of color from all walks of life-across age, groups, and genders. We work together to hold culturally sensitive, safe and LGBTQIA+ affirming spaces for our clients. Our goal as a practice is to support individuals and families by addressing their concerns, celebrating accomplishments as people and encouraging them to reach their highest mental and emotional self.  Our goal is to support individuals in reaching their desired mindset or lifestyle.
Our group has over 20 years of experience as clinicians. We integrate psychotherapy with a holistic approach, respecting a person's individual lived experience and viewing them as a whole person. We prioritize culturally competent, gender and sexuality affirming, trauma informed care.  Our approach is based on evidence based practices, coupled with real world experience and clinical expertise areas. As a business we have incorporated opportunities that align with our individual strengths, our professional skill set and our mission to deliver healing throughout diasporic communities. 

Empower was presented to 2H2H by the Davis’ siblings and it aligned perfectly with our mission. As a result, an afterschool curriculum was curated to provide the social and emotional learning for children and their families post pandemic. Our program seeks to disrupt and provide tools for children and their primary caregivers who have been negatively impacted by the events of the pandemic and reside in communicates that often expose them to single or multiple instances of trauma. The Adverse Childhood Experiences (ACEs) Study, provides data correlation between 10 key major risk factors for children and their families contributing to the worst health and social problems in the United States currently. The program seeks to address the needs of the children while educating and supporting their families as well.",
