dbn,printed_name,state_code,bus,first_priority01,import_info_free_text,footer01,online_language_courses,third_priority03,building_code,psal_sports_girls,total_student_10_26,start_time,fifth_priority05,subway,bin,latitude,language_classes,eighth_priority08,second_priority02
08X320,Pelham Lab High School,NY,"BX21, BX31, BX4, BX40, BX4A, BX5, BX8",Priority to Bronx students or residents who attend an information session,"Uniform Required: Please contact the school for more  information about school uniforms., Extended Day, Summer Bridge Program, iLearn Online Blended Learning Opportunities, College Preparatory Environment",,,Then to Bronx students or residents,X405,"Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball",,8:00 AM,,6 to Westchester Square,2074045.0,40.839987,,,Then to New York City residents who attend an information session
02M288,Food and Finance High School,NY,"M11, M20, M31, M34A-SBS, M42, M50, M57",Priority to New York City residents who attend an information session,"Uniform Required: Solid white or blue school polo shirt with logo, black or khaki pants, and a chef's uniform in all culinary classes.  In cold weather: black cardigan/sweater vest, Requirements: Pass all five Regents Exams, year 1 and year 2 of the ProStart Exams, NOCTI hands-on practical, complete at least 400 hours of paid work experience, pass the NYC Food Handlers Certificate, and pass the national Serve Safe Exam, Many Food and Finance students earn their NYC Food Handlers License and ServSafe Certification before graduation., In order to qualify for scholarships, students should participate in numerous highly competitive culinary competitions.",,,,M535,"Basketball & JV Basketball, Handball, JV Softball",433.0,7:40 AM,,"C, E to 50th St",1083802.0,40.7653384,French,,Then to New York City residents
09X517,Frederick Douglass Academy III Secondary School,NY,"BX11, BX15, BX17, BX21, BX32, BX35, BX41",Priority to continuing 8th graders,"Uniform Required: collared white button-down shirt with official school tie, black pants/skirt, black or maroon sweater. Students have the option of purchasing an official FDA III polo., Mandatory three-day summer transition seminar",,,Then to New York City residents who attend an information session,X148,,447.0,8:30 AM,Then to New York City residents,"2, 5 to Freeman St ; 4, B, D to 170th St",2009611.0,40.8341,"French, Spanish",,Then to Bronx students or residents who attend an information session
09X404,School for Excellence,NY,"BX13, BX15, BX17, BX21, BX35, BX4, BX41, BX6",Priority to Bronx students or residents who attend an information session,"Dress Code Required: white shirt/blouse, dark blue pants/skirt, Our school requires an Academic Portfolio for Assessment, Extended Day Program",,,Then to Bronx students or residents,X400,"Basketball, Softball, Volleyball",382.0,8:00 AM,,"2, 5 to Intervale Av",2004526.0,40.8280148,Spanish,,Then to New York City residents who attend an information session
11X288,Collegiate Institute for Math and Science,NY,"BX12, BX12-SBS, BX26, BX39, BX8",Priority to Bronx students or residents who attend an information session,"Four years of study in Math and Science, Early College Awareness begins in 9th grade, Extended Day and Saturday Program, Attendance expected at monthly parent meetings",,,Then to Bronx students or residents,X415,"Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball & JV Volleyball",641.0,8:15 AM,,"2, 5 to Pelham Pkwy",2050179.0,40.85964,Spanish,,Then to New York City residents who attend an information session
09X505,"Bronx School for Law, Government and Justice",NY,"BX1, BX13, BX32, BX35, BX41, BX6",Priority to continuing 8th graders,"Dress Code Required: blue shirt, black slacks, hard-soled black shoes",,,Then to New York City residents,X460,"Basketball, Softball, Volleyball",770.0,8:15 AM,,"4, B, D to 161st St-Yankee Stadium",2109459.0,40.8276083,Spanish,,Then to Bronx students or residents
02M135,The Urban Assembly School for Emergency Management,NY,"M10, M104, M11, M20, M31, M34, M42, M50, M57, M7",Priority to Manhattan students or residents who attend an information session,"Internship Program Offered, Freshman Summer Orientation at the American Red  Cross Headquarters, Home visits scheduled for all incoming freshmen, Incoming freshmen are assessed in reading and math in  the late summer prior to the school year",,,Then to Manhattan students or residents,M625,"Basketball, Outdoor Track, Soccer, Softball, Volleyball",,9:00 AM,,"1, C, E to 50th St; A to 42nd St-Port Authority Bus Terminal; B, D to 7th Av; N, Q, R to 49th St",1026646.0,40.7636131,,,Then to New York City residents who attend an information session
17K382,Academy for College Preparation and Career Exploration: A College Board School,NY,"B12, B16, B35, B41, B44, B49",Priority to continuing 8th graders,"Uniform Required: Boys - white button-down shirt, maroon tie, black/gray slacks, maroon blazer with school logo, black socks, black shoes. Girls - white button-down shirt/blouse, maroon tie, maroon and gray plaid skirt, maroon blazer with school logo, maroon tights, black shoes, Extended Day Program, Summer Institutes for English, Mathematics and a third subject of the student's choice, Our school requires an Academic Portfolio Assessment of Internships/Mentor Programs and Community Service Programs",,,Then to New York City residents,K465,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Tennis, Volleyball",557.0,8:00 AM,,"2, 5, B, Q to Church Av",3336215.0,40.649541,"French, Spanish",,Then to New York City residents who attend an information session
05M367,Academy for Social Action: A College Board School,NY,"BX15, BX33, M10, M100, M101, M104, M11, M3, M4, M5",Priority to continuing 8th graders,"Uniform Required: school shirt with logo, gray pants/skirt, Our school requires an Academic Portfolio for Assessment, Summer Session, Bi-weekly Saturday Academy",,,Then to New York City residents,M043,,398.0,8:35 AM,,"1, A, B, C, D to 125th St",1059723.0,40.8150928,Spanish,,Then to New York City residents who attend an information session
11X299,Astor Collegiate Academy,NY,"BX12, BX12-SBS, BX26, BX39, BX8",Priority to Bronx students or residents who attend an information session,"* Students may earn high school and college credits by participating in Lehman College Programs (Summer Bridge to High School, Talent Search, Saturday Academy, College Now)  * Community Service Requirement  * Five Week Incoming Freshman Summer Academy  * June Orientation Day  * Student Attire Policy: Students are expected to wear physical education attire for their physical education classes.",,,Then to Bronx students or residents,X415,"Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball & JV Volleyball",475.0,7:35 AM,,"2, 5 to Pelham Pkwy",2050179.0,40.85964,Spanish,,Then to New York City residents who attend an information session
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",NY,"B103, B25, B26, B38, B41, B52, B54, B57, B61, B62, B65, B67, B69",Open to New York City residents,,,,,K805,"Cross Country, Indoor Track",534.0,8:05 AM,,"2, 3, 4, 5 to Court St - Borough Hall;  B, Q to DeKalb Av;  A, C to High St;  R to Jay St-MetroTech;  F to York St",3000216.0,40.6972089,"French, Spanish",,
26Q430,Francis Lewis High School,NY,"Q17, Q30, Q31, Q88",Priority to Queens students or residents,,,,For Zoned Program only: priority to students who live in the zoned area,Q430,"Basketball & JV Basketball, Bowling, Cross Country, Fencing, Handball, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball",4129.0,8:30 AM,,7 to Main Street-Flushing; F to 169th Street,4148763.0,40.741154,"Chinese, French, Japanese, Korean, Latin, Modern Greek, Spanish",,Then to New York City residents
02M416,Eleanor Roosevelt High School,NY,"M101, M15, M31, M66, M72, M79, M86, M98, Q102",Priority to District 2 students or residents,,,Chinese (Mandarin),Then to New York City residents,M855,"Basketball, Football, Outdoor Track, Soccer, Softball, Tennis",516.0,8:30 AM,,6 to 77th St,1045949.0,40.7702094,"French, Spanish",,Then to Manhattan students or residents
07X427,Community School for Social Justice,NY,"BX1, BX15, BX19, BX2, BX32, BX33, M1, M102, M7",Priority to Bronx students or residents who attend an information session,We hold a Summer Bridge Program for our incoming 9th graders and an Orientation program for parents/guardians.,,,Then to Bronx students or residents,X884,Basketball,320.0,8:30 AM,,"4, 5 to 138th St - Grand Concourse;  3 to 145th St;  2 to 149th St - Grand Concourse;  6 to 3rd Av - 138th St",2001027.0,40.8156524,Spanish,,Then to New York City residents who attend an information session
24Q530,International High School at LaGuardia Community College,NY,"B24, B62, Q100, Q101, Q32, Q39, Q60, Q67",Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LAB-R.,"Portfolio Assessment required for graduation, Students may take tuition-free college Native Language  classes in Tibetan, Spanish, Chinese, Bengali, Polish,  Arabic, French, Korean, Italian and American Sign  Language.",,,,Q520,"Basketball, Golf, Handball, Outdoor Track, Soccer, Tennis, Volleyball",496.0,8:00 AM,,"7 to 33rd St;  E, M, R to Queens Plaza",4003442.0,40.7433034,"American Sign Language, Arabic, Bengali, Chinese, Chinese (Cantonese), French, Italian, Korean, Polish, Spanish, Spanish Native Language Arts",,
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",NY,"B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B63, B65, B67, B69",Priority to New York City residents who attend an information session,"Uniform Required: collared golf shirt with school logo, waist-high jeans/khakis/pants/slacks/skirt, Trimester Schedule, Summer Program",,,,K580,,426.0,8:45 AM,,"2, 3, 4, 5 to Court St - Borough Hall;  B, Q to DeKalb Av;  G to Hoyt-Schermerhorn Sts;  A, C, F, R to Jay St-MetroTech",3348041.0,40.695438,"Chinese (Mandarin), French, German, Latin, Spanish",,Then to New York City residents
07X670,Health Opportunities High School,NY,"BX1, BX15, BX19, BX2, BX32, BX33, M1, M102, M7",Open to New York City residents,"Uniform Required: short-or long-sleeved shirt with school logo, black or khaki dress pants/knee-length skirt. In cold weather, students may wear the school sweatshirt or cardigan., All students must complete a health-related internship of no less than 120 hours.",,Spanish,,X884,Basketball,559.0,8:15 AM,,"4, 5 to 138th St - Grand Concourse;  3 to 145th St;  2 to 149th St - Grand Concourse;  6 to 3rd Av - 138th St",2001027.0,40.8156524,Spanish,,
12X372,Urban Assembly School for Wildlife Conservation,NY,"BX17, BX19, BX21, BX36, BX40, BX9, Q44",Priority to continuing 8th graders,"Uniform Required: white or maroon polo shirt/sweater with logo, khaki or black pants, Advisory groups",,,Then to New York City residents who attend an information session,X067,Volleyball,463.0,8:40 AM,Then to New York City residents,"2, 5 to East Tremont Av-West Farms Sq",2013142.0,40.84377,Spanish,,Then to Bronx students or residents who attend an information session
14K610,Automotive High School,NY,"B43, B48, B62",Open to New York City residents,,,"French, Japanese",,K610,Outdoor Track,620.0,8:45 AM,,L to Bedford Av;  G to Nassau Av,3066698.0,40.7222486,Italian,,For K60R only: a. Priority to New York City residents who attend an information session b. Then to New York City residents
08X293,Renaissance High School for Musical Theater & Technology,NY,"BX21, BX24, BX31, BX4, BX40, BX4A, BX8",Priority to Bronx students or residents who attend an information session,,,Spanish,Then to Bronx students or residents,X405,"Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball & JV Volleyball",463.0,8:15 AM,,6 to Westchester Sq - East Tremont Av,2074045.0,40.839987,Spanish,,Then to New York City residents who attend an information session
17K548,Brooklyn School for Music & Theatre,NY,"B16, B41, B43, B45, B49, B69",Priority to Brooklyn students or residents,,,,,K440,"Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball",393.0,8:30 AM,,"S to Botanic Garden;  2, 3, 4, 5 to Franklin Av - Botanic Garden;  B, Q to Prospect Park",3029686.0,40.669806,"Latin, Spanish",,Then to New York City residents
03M860,Frederick Douglass Academy II Secondary School,NY,"M1, M10, M102, M11, M116, M2, M3, M4, M7",Priority to continuing 8th graders,"Uniform Required: Dress for Success is required for all Frederick Douglass Academy II scholars., Participation in our Summer Bridge (Orientation) is mandatory.",,,Then to New York City residents,M088,Basketball,398.0,8:00 AM,,"2, 3, B, C to 116th St",1055204.0,40.8023592,Spanish,,Then to Districts 3 and 5 students or residents
04M372,Esperanza Preparatory Academy,NY,"M1, M101, M102, M106, M116, M15, M15-SBS, M2, M3, M98",Open only to heritage Spanish speakers and students who attended Transitional Bilingual Education or Dual Language middle school programs a. Priority to continuing 8th graders b. Then to Manhattan students or residents c. Then to New York City residents,"Uniform Required: Please contact the school for more information, Summer School Orientation Required, 50 Hours of Community Service per Semester, Dual Language Program, College Readiness Advisory",,,,M117,,344.0,8:00 AM,,6 to 110th St,1052433.0,40.7926928,Spanish,,
18K637,Academy for Conservation and the Environment,NY,"B47, B6, B82",Priority to New York City residents who attend an information session,"Dress Code Required: Students are expected to dress in an appropriate manner, which can be found in our student handbook.",,"French, Spanish",,K515,"Basketball & JV Basketball, Bowling, Cross Country, Fencing, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",285.0,8:30 AM,,"2, 5 to Brooklyn College-Flatbush Avenue;  L to Canarsie-Rockaway Parkway",3224139.0,40.633142,"French, Spanish",,Then to New York City residents
14K632,Frances Perkins Academy,NY,"B43, B48, B62",Priority to New York City residents who attend an information session,"Internships available for Juniors and Seniors, PM Academy for Credit Recovery/Make-Up",,,,K610,,144.0,8:00 AM,,L to Bedford Av;  G to Nassau Av,3066698.0,40.7222486,Spanish,,Then to New York City residents
14K454,Green School: An Academy for Environmental Careers,NY,"B24, B43, B46, B48, B60, Q54, Q59",Priority to New York City residents who attend an information session,"College courses available to Juniors and Seniors, Dress Code Required: Please contact the school for more information",,,,K049,,346.0,8:00 AM,,"L to Grand St;  J, M to Lorimer St;  G to Metropolitan Av - Lorimer St",3070825.0,40.710353,"American Sign Language, Spanish",,Then to New York City residents
17K543,"Science, Technology and Research Early College High School at Erasmus",NY,"B12, B16, B35, B41, B44, B49",Priority to continuing 8th graders,"Uniform Required: white polo shirt with STAR logo or white polo shirt/blouse, black or navy blue pants/slacks/skirt, Interviews will be scheduled during November and December 2013; please call the school for more information",,,Then to New York City residents,K465,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Swimming, Tennis, Volleyball",529.0,8:00 AM,,"2, 5, B, Q to Church Av",3336215.0,40.649541,"French, Spanish",,Then to Brooklyn students or residents
04M409,Coalition School for Social Change,NY,"BX15, M100, M101, M102, M103, M116, M15, M35, M60, M98",Priority to Manhattan and Bronx students or residents,,,,,M045,"Basketball, Bowling, Golf, Indoor Track, Softball, Volleyball",348.0,8:45 AM,,"6 to 116th St;  4, 5, 6 to 125th St",1054786.0,40.7993904,Spanish,,Then to New York City residents
01M539,"New Explorations into Science, Technology and Math High School",NY,"M14AD, M21, M22, M8, M9",Priority to continuing 8th graders,"9th grade math and science are single gender classes., Interested candidates for 9th and 10th grade must take our school-based qualifying exam. See our website www.nestmk12.net for exam dates and to register., Dress Code Required: Business Casual - shirt/blouse, khaki, corduroy or dark denim (navy, black, brown, dark gray) pants, dress slacks/skirt/dress. On Assembly Days, students wear job interview clothing (Boys - shirt and tie, optional blazer)., Community Service Requirement - All Upper School students are required to  complete 60 hours of Community Service.",,,,M022,"Basketball, Fencing, Indoor Track",1672.0,8:15 AM,,"F, J, M, Z to Delancey St-Essex St",1004070.0,40.7194927,"Chinese (Mandarin), French, German, Latin, Spanish",,Then to New York City residents
10X440,DeWitt Clinton High School,NY,"BX1, BX10, BX16, BX22, BX28",Priority to Bronx students or residents,,,,,X440,"Basketball, Bowling, Cross Country, Gymnastics, Handball, Indoor Track, JV Softball, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball",3654.0,8:45 AM,,4 to Mosholu Pkwy,2095215.0,40.879995,"Latin, Spanish",,Then to New York City residents
10X353,World View High School,NY,"Bx 1, Bx2, ,Bx 10, Bx 16, Bx 26, Bx 28, Bx 38",Priority to Bronx students or residents who attend an information session,"Uniform Required: School WVHS polo shirt, black or  khaki slacks/skirt, all-black shoes, Summer Orientation, Family Orientation",,,Then to Bronx students or residents,X440,"Basketball, Bowling, Cross Country, Gymnastics, Handball, Indoor Track, JV Softball, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball",,9:00 AM,,4 to Mosholu Parkway; B or D to Bedford Park,2095215.0,40.879969,"Spanish, Spanish Native Language Arts",,Then to New York City residents who attend an information session
18K617,High School for Innovation in Advertising and Media,NY,"B17, B42, B6, B60, B82",Priority to New York City residents who attend an information session,"Dress Code Required: collared button-down/polo shirt, khakis/slacks (any color)/skirt (below the knee), belt, sneakers/shoes. In colder months, sweaters are permitted. On days above 85 degrees, long khaki shorts may be worn, Our school requires an Academic Portfolio for graduation, Internship Requirement, Extended Day Programs offered, Weekend Program offered, Student and Parent Summer Orientation, Summer Internship Program, Community Service Requirement, As a CTE school, students may be eligible for state-approved and industry-sponsored Career and Technical Education endorsements, Microsoft Office certification and Adobe Certified Associate opportunities",,,,K500,"Basketball & JV Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Tennis",330.0,8:00 AM,,L to Canarsie - Rockaway Pkwy,3230949.0,40.6404168,Spanish,,Then to New York City residents
02M414,NYC Museum School,NY,"M11, M14AD, M20, M23, M5, M7",Priority to District 2 students or residents,,,,,M070,"Basketball, Golf, Indoor Track, Soccer, Softball, Tennis, Volleyball",480.0,8:15 AM,,"2, 3, F, M to 14th St;  A, C, E, L to 14th St-8th Av;  1 to 18th St",1079152.0,40.7422594,"Japanese, Spanish",,Then to New York City residents
02M400,High School for Environmental Studies,NY,"M10, M104, M11, M20, M31, M5, M50, M57, M66, M7",Open to New York City residents,"Honors Academy, Environmental Internship/Career and College Advisory, Community Service, SUNY College of Environmental Science and Forestry courses for juniors and seniors in Environmental Science and Nature Writing (students can gain up to 10 SUNY credits), All Freshmen take the PSAT, Required Freshman Parent/Student Orientation and Placement Testing: Part I - Thursday, June 5, 2014",,,,M834,"Basketball, Cross Country, Handball, Soccer, Softball, Tennis, Volleyball",1339.0,8:15 AM,,"E to 50th St;  N, Q, R to 57th St - 7 Av;  1, A, B, C, D to 59th St-Columbus Circle",1026841.0,40.7679979,"French, Italian, Spanish",,
30Q445,William Cullen Bryant High School,NY,"Q101, Q104, Q18, Q66",Priority to Queens students or residents,,,,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area.,Q445,"Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball & JV Volleyball",2766.0,8:45 AM,,"M, R to 46th St;  E to Northern Blvd",,40.7576896,"Chinese (Mandarin), French, German, Italian, Latin, Modern Greek, Spanish, Spanish Native Language Arts",,Then to New York City residents
03M417,Frank McCourt High School,NY,"M10, M104, M5, M7, M79, M86",Open to New York City residents,"Our school uses “problem-based learning” to develop students' higher level thinking skills., All students will participate in regular teamwork and group presentations., Additional requirements include: 2 credits of Internship-related Action Research, a Digital Portfolio, and Community Service, Non-traditional assessments, in addition to Regents exams, are used to measure student progress., Projects, presentations and extensive writing are required for all courses.",,"Chinese, French, German, Latin",,M470,"Bowling, Softball, Tennis, Volleyball",294.0,8:45 AM,,"1, B, C to 86th St;  2, 3 to 96th St",1032128.0,40.7858722,Spanish,,
32K403,Academy for Environmental Leadership,NY,"B13, B20, B26, B38, B52, B54, B60, Q55, Q58",Priority to New York residents who attend an information session,"Uniform Required: school shirt (may be purchased through the school), black or brown pants/skirt",,,,K480,"Basketball, Bowling, Softball, Swimming, Volleyball",344.0,8:00 AM,,"L, M to Myrtle-Wyckoff Avs",3076908.0,40.6969825,Spanish,,Then to New York City residents
24Q264,Academy of Finance and Enterprise,NY,"B62, Q100, Q101, Q102, Q32, Q39, Q60, Q66, Q67, Q69",Priority to Queens students or residents who attend an information session,"Business Dress Code Required: Boys - gray pants, powder blue shirt, tie, navy blue blazer, dress shoes; Girls - gray pants/skirt, powder blue blouse, navy blue vest, dress shoes, Community-based Service Learning activities required, Portfolio-based Assessments",,,Then to Queens students or residents,Q735,"Softball, Volleyball",436.0,8:15 AM,,"7 to 33rd St;  G to Court Square - 23rd St;  E, M, R to Queens Plaza;  N, Q to Queensboro Plaza",4003517.0,40.7449238,Spanish,,Then to New York City residents who attend an information session
07X259,"Health, Education, and Research Occupations (H.E.R.O.) High School",NY,B19,Priority to Bronx students or residents who attend an information session,"Uniform Required: Please contact the school for more  information about school uniforms., Summer Orientation",,,Then to Bronx students or residents,X655,"Basketball, Indoor Track, Outdoor Track, Softball",,8:30 AM,,6 to E 143rd Street - St Marys Street Station ,2003883.0,40.8104132,,,Then to New York City residents who attend an information session
24Q267,High School of Applied Communication,NY,"B62, Q100, Q101, Q102, Q32, Q39, Q60, Q66, Q67, Q69",Priority to Queens students or residents who attend an information session,,,,Then to Queens students or residents,Q735,"Basketball, Rugby, Softball",428.0,8:30 AM,,"7 to 33rd St;  G to Court Square - 23rd St;  E, M, R to Queens Plaza;  N, Q to Queensboro Plaza",4003517.0,40.7449238,Spanish,,Then to New York City residents who attend an information session
12X242,Mott Hall V,NY,"BX11, BX27, BX36, BX4, Q44",Priority to continuing 8th graders,"Uniform Required: school shirt, khaki pants, solid black footwear.  Contact Ms. Rosa for shirt orders at 718-620-8165, Required Summer Bridge Program - prepares incoming freshman for their first year of high school. One high school elective credit awarded at completion of course",,,Then to New York City residents who attend an information session,X423,,570.0,9:00 AM,Then to New York City residents,6 to Elder Av,2117663.0,40.8312676,Spanish,,Then to Bronx students or residents who attend an information session
16K688,Brooklyn Academy of Global Finance,NY,"B15, B38, B43, B46, B47, B52, B54",Priority to New York City residents who attend an information session,,,,,K057,,176.0,8:15 AM,,"J to Kosciusko St;  M, Z to Myrtle Av",3043822.0,40.691449,"Chinese (Mandarin), Spanish",,Then to New York City residents
29Q259,Pathways College Preparatory School: A College Board School,NY,"Q2, Q4, Q77, Q83",Priority to continuing 8th graders,"Uniform Required: white Pathways College Preparatory School oxford shirt, Pathways blazer, khaki or navy pants/skirt, black shoes",,,Then to New York City residents who attend an information session,Q192,"Basketball, Double Dutch, Volleyball",567.0,8:00 AM,Then to New York City residents,F to 169th Street,4234318.0,40.7067642,Spanish,,Then to Queens students or residents who attend an information session
09X327,Comprehensive Model School Project (CMSP),NY,"BX1, BX11, BX18, BX3, BX32, BX35, BX36",Priority to continuing 8th graders,"Dress Code Required: white or baby blue button-down collared shirt, black pants/skirt, black or brown shoes/boots; boys wear a tie, Student Summer Orientation Required, Service Requirements Required, Extended Day for 9-12 Grades Required, College Courses for College Credit in 12th Grade",,,Then to New York City residents who attend an information session,X240,,466.0,8:00 AM,Then to New York City residents,"B, D to 170th St;  4 to Mt Eden Av",2008336.0,40.8423818,Spanish,,Then to Bronx students or residents who attend an information session
15K448,Brooklyn Secondary School for Collaborative Studies,NY,"B57, B61",Priority to continuing 8th graders,"Our school requires an Academic Portfolio for graduation (students must write and present four in-depth performance-based assessment papers), Freshmen are required to take part in a 4-5 day Outward Bound leadership development camping trip that is physically and intellectually demanding",,,Then to New York City residents who attend an information session,K142,"Basketball, Softball, Volleyball",674.0,8:30 AM,Then to New York City residents,"F, G to Carroll St",3336036.0,40.679453,"American Sign Language, Spanish",,Then to Brooklyn students or residents who attend an information session
09X525,Bronx Leadership Academy High School,NY,"BX1, BX11, BX15, BX17, BX32, BX36, BX40, BX41",Priority to Bronx students or residents,"DRESS CODE REQUIRED: white button-down dress shirt/blouse, black or navy blue slacks/skirt (no more than one inch above the knee), solid black dress shoes; boys must wear a tie",,,,X876,"Basketball, Softball, Volleyball",693.0,8:00 AM,,"B, D to 174-175th Sts",2094564.0,40.8434312,Spanish,,Then to New York City residents
