fax_number,location,seats103,common_audition5,method4,grade9gefilledflag5,requirement8_2,program8,total_students,method3,eligibility8,common_audition3,requirement5_1,offer_rate1_6,ell_programs,grade9geapplicants8,requirement2_3,latitude,requirement7_1,requirement5_3,requirement3_3,grade9geapplicants3,earlycollege,admissionspriority42,method5,auditioninformation7,grade9geapplicants5,seats9ge10,applicants4specialized,grade9swdapplicants1,:@computed_region_yeji_bk3q,method1,offer_rate1_5,seats3specialized,grade9gefilledflag6,prgdesc9,language_classes,applicants3specialized,grade9geapplicantsperseat6,addtl_info1,requirement3_2,requirement2_2,requirement4_4,:@computed_region_92fq_4b7q,interest2,psal_sports_coed,auditioninformation5,grade9swdapplicantsperseat1,graduation_rate,seats1specialized,neighborhood,requirement2_1,school_accessibility,appperseat4specialized,seats9ge6,offer_rate3_3,seats9swd10,offer_rate3_1,method2,interest7,requirement4_3,grade9geapplicants7,grade9geapplicants2,seats102,grade9swdfilledflag4,requirement4_8,admissionspriority25,census_tract,requirement1_1,admissionspriority16,grade9geapplicantsperseat5,prgdesc5,prgdesc7,requirement1_7,requirement5_2,requirement8_1,requirement6_4,academicopportunities3,requirement2_6,seats1010,appperseat3specialized,grades2019,offer_rate2_1,community_board,admissionspriority24
718-432-4310,"2975 TIBBETT AVENUE, BRONX NY 10463(40.877935, -73.913694)",,,,,,,1022,,,,Writing Exercise (On-Site),,English as a New Language; Transitional Bilingual Education: Spanish,,,40.879368,,,,,,,,,,,,163.0,5,Screened,,,,,"French, Spanish",,,College Trips; Dress Code; Extended Day Program; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,40,,,,6.0,0.77,,Spuyten Duyvil-Kingsbridge,Punctuality,Fully Accessible,,,,,0% of offers went to this group,,,,,,,,,,29302,Attendance,,,,,,,,,College credit for Physiology and Architecture,,,,6 to 12,7% of offers went to this group,208,
718-712-3273,"143-10 SPRINGFIELD BOULEVARD, SPRINGFIELD GARDENS NY 11413(40.66903, -73.757744)",,,,,,,387,,,,,,English as a New Language,,,40.668235,,,,,,,,,,,,67.0,3,Ed. Opt.,,,,,Spanish,,,College Trips; Extended Day Program; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program,,,,47,,"Cricket, Stunt",,4.0,0.67,,Springfield Gardens North,Punctuality,Partially Accessible,,,,,,,,,,,,,,,330,Attendance,,,,,,,,,"Science, Technology, Engineering, and Mathematics (STEM) Elective Courses",,,,9 to 12,,412,
718-410-4038,"240 EAST 172ND STREET, BRONX NY 10457(40.839307, -73.911366)",,,,,,,361,,,,,,English as a New Language,,,40.840422,,,,,,,,,,,,48.0,5,Screened: Language,,,,,Spanish,,,College Trips; Extended Day Program; Health Center; Saturday Programs,,,,42,,Table Tennis,,3.0,0.67,,E. Concourse-Concourse Village,,Partially Accessible,,,,,,,,,,,,,,,225,,,,,,,,,,"Advisory, Service Learning, CUNY College Now courses",,,,9 to 12,,204,
212-666-3805,"425 WEST 123RD STREET, MANHATTAN NY 10027(40.810793, -73.955722)",,,,,,,718,,,,Individual Interview (On-Site),,English as a New Language,,,40.810431,,,,,,,,,,,,232.0,4,Screened,,,,,"French, German, Greek, Spanish, Urdu",,,Dress Code; Extended Day Program; Online Grading System; Student Parent Orientation,,,,23,,,,12.0,0.99,,Morningside Heights,Punctuality,Partially Accessible,,,,,,,,,,,,,,,20901,Attendance,,,,,,,,,"Focus on sustainability and community service, Access to Columbia University facilities and may participate in early college study on campus",,,,6 to 12,,109,
212-691-2147,"333 WEST 17TH STREET, MANHATTAN NY 10011(40.742512, -74.002222)",,,,,,,471,,,,,,English as a New Language,,,40.742129,,,,,,,,,,,,359.0,4,Screened,,,,,Spanish,,,,,,,10,,Golf,,21.0,1.0,,Chelsea-Union Sq,Course Grades,Fully Accessible,,,,,,ASD/ACES Program,,,,,,,,,83,Attendance,,,,,,,,,"9th grade peer advisory, 11th & 12th grade college advisory, 12th grade culminates in interdisciplinary project",,,,9 to 12,1% of offers went to this group,104,
718-733-7951,"75 BRONX SCIENCE BOULEVARD, BRONX NY 10468(40.879958, -73.889011)",,,,,,,3016,,,,,,English as a New Language,,,40.87759,,,,,,,,,,,,,5,Test,,,,,"French, Italian, Japanese, Latin, Mandarin, Spanish",,,,,,,40,,"Cricket, Golf",,,1.0,661.0,Van Cortlandt Village,,Partially Accessible,,,,,,,,,,,,,,,409,,,,,,,,,,"Nutritional Science, Animal Behavior with the Bronx Zoo, Astronomy (planetarium on-site), Forensic Science, Holocaust Studies, Digital Music",,,,9 to 12,,207,
718-840-1925,"153 35TH STREET, BROOKLYN NY 11232(40.655583, -74.004342)",,,,,,,1216,,,,,,English as a New Language; Dual Language: Spanish,,,40.65571,,,,,,,,,,,,271.0,2,Open,,,,,"French, Spanish",,,College Trips; Community Service Expected; Extended Day Program; Extended Day Tutoring; Extended Year; Health Center; Internship Expected; Internships Available; Online Grading System; Orientation,,,,7,,,,4.0,0.87,,Sunset Park West,,Fully Accessible,,,,,,D75 Special Education Inclusive Services,,,,,,,,,84,,,,,,,,,,"All students take three years of arts coursework including: Visual Art, Music, Dance, and Media Studies (digital arts-based class).",,,,9 to 12,9% of offers went to this group,307,
,"325 BUSHWICK AVENUE, BROOKLYN NY 11206(40.705005, -73.93879)",,,,,,,382,,,,,,English as a New Language,,,40.705204,,,,,,,,,,,,103.0,2,Screened,,,,,Spanish,,,College Trips; Community Service Expected; Dress Code; Extended Day Tutoring; Internships Available; Online Grading System; Weekend Programs; Orientation; Summer Bridge; Summer Internships; Summer Orientation; Uniform,,,,30,,,,6.0,0.97,,Bushwick,Punctuality,Not Accessible,,,,,,,,,,,,,,,485,Attendance,,,,,,,,,"Ongoing college advising, grades 9-12, multiple trips to NYC colleges & out-of-state universities",,,,6 to 12,66% of offers went to this group,301,
212-865-9281,"215 WEST 114TH STREET, MANHATTAN NY 10026(40.80261, -73.954152)",,,,,,,362,,,,,,English as a New Language,,,40.802207,,,,,,,,,,,,68.0,4,Ed. Opt.,,,,,Spanish,,,College Trips; Dress Code; Extended Day Program; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Uniform; Weekend Programs,,,,36,,,,4.0,0.78,,Central Harlem South,Standardized Test Scores: Average,Partially Accessible,,,,,,,,,,,,,,,218,Course Grades: Average,,,,,,,,,Humanities Courses integrate the arts & research. We offer six AP classes.,,,,6 to 12,27% of offers went to this group,110,
718-466-7801,"1595 BATHGATE AVENUE, BRONX NY 10457(40.839508, -73.901774)",,,,,,,606,,,,,,English as a New Language,,,40.839244,,,,,,,,,,,,203.0,5,Ed. Opt.,,,,,"Cantonese, French, Spanish",,,,,,,42,,Double Dutch,,68.0,0.85,,Claremont-Bathgate,,Fully Accessible,,,,,,ASD/ACES Program,,,,,,,,,167,,,,,,,,,,"SAT/ACT Test Preparation, partnerships with many summer academic and enrichment programs.",,,,6 to 12,8% of offers went to this group,203,
212-265-1307,"525 WEST 50TH STREET, MANHATTAN NY 10019(40.765474, -73.9927)",,,,,,,380,,,,,,English as a New Language,,,40.76525,,,,,,,,,,,,118.0,4,Ed. Opt.,,,,,Italian,,,Community Service Expected; Health Center; Internships Available; Online Grading System; Weekend Programs; Orientation,,,,10,,,,5.0,0.81,,Clinton,Geographic Proximity,Partially Accessible,,,,,,,,,,,,,,,135,Attendance,,,,,,,,,"Technology integrated throughout school curriculum, project- and inquiry-based learning, SAT prep courses, digital learning",,,,9 to 12,,104,
718-332-2544,"25 BRIGHTON 4TH ROAD, BROOKLYN NY 11235(40.583263, -73.963764)",No,,Ed. Opt.,N,,,412,Ed. Opt.,,,,,English as a New Language,,,40.582585,,,,194.0,,,Ed. Opt.,,119,,,74.0,2,Ed. Opt.,,,,,Spanish,,,,,,,15,Computer Science & Technology,,,7.0,0.69,,Brighton Beach,,Not Accessible,,,,,,Ed. Opt.,,,,193.0,Yes,N,,,366,,,2,"Students complete a state certified three-year sequence including electrical installation, plumbing, and carpentry. Students must take industry exams for certification. Internships and union opportunities are available for eligible students. Students are prepared for college and industry positions.",,,,,,,,,,9 to 12,,313,
718-410-4101,"240 EAST 172ND STREET, BRONX NY 10457(40.839307, -73.911366)",,,,,,,228,,,,,,English as a New Language,,,40.840422,,,,,,,,,,,,32.0,5,Transfer,,,,,"French, Spanish",,,College Trips; Extended Day Program; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Weekend Programs,,,,42,,Double Dutch,,5.0,,,E. Concourse-Concourse Village,,Partially Accessible,,,,,,,,,,,,,,,225,,,,,,,,,,"Paid internships for high school students, with support to obtain and keep jobs outside of school.",,,,6 to 12,64% of offers went to this group,204,
212-267-5611,"200 MONROE STREET, MANHATTAN NY 10002(40.712269, -73.984128)",Yes,,,,,,483,Screened,,,,,English as a New Language,,Punctuality,40.712399,,,"Course Grades: English (65-100), Math (72-100), Science (75-100), Social Studies (69-100)",611.0,,,,,,,,114.0,4,Ed. Opt.,,,,,"Mandarin, Spanish",,,College Trips; Community Service Expected; Extended Day Program; Extended Day Credit Recovery; Extended Day Tutoring; Internships Available; Online Grading System; Weekend Programs; Orientation; Summer Bridge,,,,32,Business,,,7.0,0.93,,Lower East Side,Punctuality,Not Accessible,,,,,,Screened: Language,,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (2.0-4.5)",,42.0,Yes,,,,202,Attendance,,,,,,,,,"All core classrooms are equipped with laptops or iPads, and students use Google Classroom to write their assignments and to submit homework.",,,,9 to 12,,103,
718-699-8584,"48-01 90TH STREET, ELMHURST NY 11373(40.740824, -73.874129)",Yes,,Zoned Priority,,,,1805,Audition,,,"Standardized Test Scores: English Language Arts, Math",,English as a New Language; Transitional Bilingual Education: Spanish,,Punctuality,40.741122,,Geographic Proximity,Course Grades: Average (63-100),82.0,,,,,,,,80.0,3,Ed. Opt.,,,,,"French, Italian, Mandarin, Spanish",,,College Trips; Extended Day Program; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Orientation; Weekend Programs,Course Grades: Average (65-100),Punctuality,,5,Engineering,Cricket,,5.0,0.73,,Elmhurst,Punctuality,Not Accessible,,,,,,Screened,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.6-4.5)",,523.0,Yes,N/A - zoned program,,,461,Attendance,,,,,,Geographic Proximity,,,Robotics; Journalism; Guitar Classes; Piano Keyboard; Spanish Drama; Spanish Heritage; Chinese Heritage,,,,9 to 12,,404,Then to Queens students or residents
718-466-6801,"1595 BATHGATE AVENUE, BRONX NY 10457(40.839508, -73.901774)",,,,,,,379,,,,,,English as a New Language,,,40.839244,,,,,,,,,,,,336.0,5,Ed. Opt.,,,,,French,,,,,,,42,,Double Dutch,,20.0,0.81,,Claremont-Bathgate,,Fully Accessible,,,,,,,,,,,,,,,167,,,,,,,,,,International travel opportunities through partnerships with buildOn and Summer Search,,,,9 to 12,,203,
212-927-2388,"549 AUDUBON AVENUE, MANHATTAN NY 10040(40.856532, -73.92606)",,,,,,,427,ASD/ACES Program,,,,,English as a New Language; Dual Language: Spanish; Transitional Bilingual Education: Spanish,,,40.855855,,,,,,,,,,,,67.0,4,Ed. Opt.,,,,,Spanish,,,College Trips; Extended Day Program; Extended Day Tutoring; Health Center; Internships Available; Online Grading System; Weekend Programs; Orientation; Summer Bridge; Summer Orientation,,,,39,Humanities & Interdisciplinary,,,4.0,0.72,,Washington Heights N.,Punctuality,Partially Accessible,,,,,,Screened: Language,,,,72.0,No,,,,277,Attendance,,,,,,,,,PSAT and SAT preparation classes Mid-Winter recess until SAT School Day prepare students for college success. CUNY College Now Courses in-house and at campuses earn college credit while in high school. Student Success Center to help with college applications and financial aid applications.,,,,9 to 12,18% of offers went to this group,112,
718-564-2581,"911 FLATBUSH AVENUE, BROOKLYN NY 11226(40.649602, -73.957173)",,,,,,,196,,,,,,English as a New Language,,,40.649787,,,,,,,,,,,,70.0,2,Ed. Opt.,,,,,"French, Spanish",,,College Trips; Dress Code; Extended Day Program; Extended Day Program  (Credit Recovery); Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,11,,"Cricket, Double Dutch, Stunt",,4.0,0.83,,Flatbush,Punctuality,Partially Accessible,,,,,,,,,,,,,,,794,Attendance,,,,,,,,,"College Courses:  Hospitality Management, Philosophy, Law, Sociology, Psychology, Marketing, English,",,,,9 to 12,,314,
718-260-2301,"283 ADAMS STREET, BROOKLYN NY 11201(40.694629, -73.988323)",,,,,,,500,,,,,,English as a New Language,,,40.694682,,,,,,,,,,,,39.0,2,Ed. Opt.,,,,,Spanish,,,College Trips; Dress Code; Online Grading System; Student Parent Orientation,,,,38,,,,4.0,0.87,,DUMBO-Downtown Brooklyn,"Course Grades: English, Math, Science, Social Studies",Fully Accessible,,,,,,,,,,,,,,,11,Attendance,,,,,,,,,"Social and Emotional Learning: self awareness, self management, social awareness, relationship building, and responsible decision making",,,,6 to 12,,302,
718-564-2567,"911 FLATBUSH AVENUE, BROOKLYN NY 11226(40.649602, -73.957173)",,,,,,,360,,,,,,English as a New Language,,,40.649787,,,,,,,,,,,,64.0,2,Ed. Opt.,,,,,Spanish,,,College Trips; Dress Code; Extended Day Program; Extended Day Program  (Credit Recovery); Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Orientation; Uniform; Weekend Programs,,,,11,,"Cricket, Double Dutch, Stunt",,5.0,0.7,,Flatbush,"Course Grades: English, Math, Science, Social Studies",Partially Accessible,,,,,,,,,,,,,,,794,Attendance,,,,,,,,,College Now partnership supported by New York City College of Technology (CUNY) and Long Island University,,,,6 to 12,,314,
718-803-7105,"54-40 74TH STREET, ELMHURST NY 11373(40.729104, -73.887909)",,,,,,,1212,,,,,,English as a New Language,,,40.729939,,,,,,,,,,,,613.0,3,Open,,,,,"Latin, Mandarin, Spanish",,,College Trips; Dress Code; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Weekend Programs,,,,34,,Cricket,,15.0,0.98,,Maspeth,,Fully Accessible,,,,,,,,,,,,,,,49302,,,,,,,,,,"Maspeth High School offers an extensive fully-integrated fine arts program featuring Visual Arts, Orchestra, Dance, Theater, and Choir.",,,,9 to 12,,405,
718-575-1366,"149-11 MELBOURNE AVENUE, FLUSHING NY 11367(40.737038, -73.821532)",,,,,,,1182,,,,,,English as a New Language,,,40.73439,,,,,,,,,,,,237.0,3,Screened,,,,,"French, Greek, Japanese, Latin, Spanish",,,College Trips; Online Grading System; Student Parent Orientation; Summer Bridge Program; Summer Orientation,,,,24,,,,6.0,1.0,,Kew Gardens Hills,Course Grades: Average (94-100),Fully Accessible,,,,,,,,,,,,,,,809,Attendance,,,,,,,,,"All students study two years of Classical Greek or Latin in addition to a modern language (Spanish, French, Japanese).",,,,9 to 12,,408,
718-387-3281,"850 GRAND STREET, BROOKLYN NY 11211(40.711134, -73.938921)",No,,,,,,304,Open,,,,,English as a New Language; Transitional Bilingual Education: Spanish,,,40.712184,,,,102.0,,,,,,,,45.0,2,Ed. Opt.,,,,,"Cantonese, Spanish",,,College Trips; Dress Code; Extended Day Program; Extended Day Tutoring; Health Center; Internships Available; Multi-Session School; Online Grading System; Weekend Programs; Orientation; Summer Bridge; Summer Internships; Summer Orientation,"Course Grades: English, Math, Science, Social Studies",Punctuality,,30,Computer Science & Technology,Golf,,3.0,0.66,,Bushwick,Punctuality,Partially Accessible,,,,,,Ed. Opt.,,,,195.0,Yes,,,,485,Attendance,,,,,,,,,"Performing Arts Major in Music. Courses available in Music are Percussion, Band, Jazz,Technical Theater, and Guitar. No previous experience necessary.",,,,9 to 12,,301,
718-542-7294,"1180 REV. J.A. POLITE AVENUE, BRONX NY 10459(40.827539, -73.896925)",,,,,,,356,,,,,,English as a New Language,,,40.827315,,,,,,,,,,,,67.0,5,Open,,,,,Spanish,,,Community School,,,,43,,,,2.0,0.45,,Longwood,,Fully Accessible,,,,,,D75 Special Education Inclusive Services,,,,,,,,,131,,,,,,,,,,Culture of respect and responsibility,,,,9 to 12,,202,
718-827-4013,"999 JAMAICA AVENUE, BROOKLYN NY 11208(40.693002, -73.869305)",,,,,,,422,,,,,,English as a New Language,,,40.691146,,,,,,,,,,,,192.0,2,Ed. Opt.,,,,,Spanish,,,,,,,37,,"Cricket, Golf",,11.0,0.84,,Cypress Hills,,Partially Accessible,,,,,,,,,,,,,,,1180,,,,,,,,,,Internships: Students complete a semester long job readiness program culminating with job placements across the NYC area (both summer & after-school).,,,,9 to 12,,305,
718-891-0047,"3000 AVENUE X, BROOKLYN NY 11235(40.593157, -73.936635)",,,,,,,414,,,,,,English as a New Language,,,40.594124,,,,,,,,,,,,71.0,2,Ed. Opt.,,,,,"Italian, Mandarin, Russian",,,College Trips; Extended Day Program; Extended Day Program  (Credit Recovery); Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Weekend Programs,,,,15,,,,4.0,0.86,,Sheepshead Bay,Geographic Proximity,Partially Accessible,,,,,,,,,,,,,,,626,Attendance,,,,,,,,,"We offer individualized college, academic, and career counseling, a junior/senior internship program, and CUNY College NOW courses",,,,9 to 12,,315,
718-824-1663,"1980 LAFAYETTE AVENUE, BRONX NY 10473(40.821218, -73.85593)",,,,,,,532,,,,,,English as a New Language,,,40.82229,,,,,,,,,,,,102.0,5,Ed. Opt.,,,,,Spanish,,,College Trips; Extended Day Program; Health Center; Online Grading System; Saturday Programs; Summer Bridge Program,,,,31,,,,5.0,0.64,,Castle Hill-Clason Point,"Course Grades: English, Math",Partially Accessible,,,,,,D75 Special Education Inclusive Services,,,,,,,,,16,Attendance,,,,,,,,,Post-secondary Plans: College & Career Readiness Curriculum all 4 years; Internships,,,,9 to 12,,209,
718-733-3085,"2474 CROTONA AVENUE, BRONX NY 10458(40.855392, -73.882487)",,,,,,,406,,,,,,English as a New Language,,,40.855698,,,,,,,,,,,,166.0,5,Ed. Opt.,,,,,Spanish,,,College Trips; Extended Day Program; Extended Day Tutoring; Health Center; Internships Available; Online Grading System; Weekend Programs; Orientation; Summer Internships; Summer Orientation,,,,22,,,,8.0,0.76,,Belmont,Punctuality,Partially Accessible,,,,,,,,,,,,,,,393,Attendance,,,,,,,,,"Monthly town hall meetings, student e-portfolios, opportunities for collaborative and problem-based learning; tutoring and office hours available",,,,9 to 12,,206,
212-724-5748,"100 AMSTERDAM AVENUE, MANHATTAN NY 10023(40.774202, -73.985976)",Yes,1.0,Audition,,,,2760,Audition,,1.0,Written Response (On-Site),,English as a New Language,,"Standardized Test Scores: English Language Arts (3.0-4.5), Math (3.3-4.5)",40.773629,Audition with common components,Written Response (On-Site),Academic information will be considered for students who successfully auditioned,,,,Audition,,,,1139.0,,4,Audition,,118.0,,,"French, Italian, Japanese, Mandarin, Spanish",752.0,,,Academic information will be considered for students who successfully auditioned,"Standardized Test Scores: English Language Arts (2.6-4.5), Math (2.3-4.5)",,19,Performing Arts,,,,0.99,211.0,Lincoln Square,"Standardized Test Scores: English Language Arts (2.7-4.5), Math (2.9-4.5)",Partially Accessible,6.0,,,,,Audition,,Attendance and Punctuality,,,Yes,,,,151,"Course Grades: English (85-100), Math (85-100), Science (85-100), Social Studies (86-100)",Open to New York City residents,,"The Drama program focuses on acting preparation through block-programmed courses in acting (Meisner and Stanislavsky method), voice and diction, physical techniques, theater history, musical theater, acting on film, career management, and script analysis. Students have numerous opportunities to perform in professional theater spaces throughout their four years, culminating in our Senior Drama Festival. Applicants should be prepared to perform two contrasting one-minute monologues. Applicants will be asked to do an impromptu reading and participate in an interview. Attire should allow free movement since applicants may be asked to demonstrate how well they move physically.",,,Written Response (On-Site),,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,Each studio has a four-year sequence of courses and opportunities for students to participate in performances or exhibitions.,"Standardized Test Scores: English Language Arts (3.2-4.5), Math (3.1-4.5)",,6.0,9 to 12,,107,
718-260-9245,"29 FT GREENE PLACE, BROOKLYN NY 11217(40.688896, -73.976435)",,,,,,,5937,,,,,,English as a New Language,,,40.688834,,,,,,,,,,,,,2,Test,,,,,"French, Italian, Mandarin, Spanish",,,,,,,48,,"Cricket, Golf, Stunt",,,0.98,1305.0,Fort Greene,,Partially Accessible,,,,,,,,,,,,,,,33,,,,,,,,,,"Additional majors in: Environmental Science, Finance & Economics, Math, Physics, and Software Engineering",,,,9 to 12,,302,
212-488-3335,"351 WEST 18TH STREET, MANHATTAN NY 10011(40.743407, -74.00254)",,,,,,,476,,,,,,English as a New Language,,,40.742867,,,,,,,,,,,,186.0,4,Open,,,,,Spanish,,,,,,,10,,,,7.0,0.72,,Chelsea-Union Sq,,Partially Accessible,,,,,,D75 Special Education Inclusive Services,,,,,,,,,89,,,,,,,,,,Advisory and Right to Read (R2R)-our literacy support program.,,,,9 to 12,,104,
718-992-4129,"240 EAST 172ND STREET, BRONX NY 10457(40.839307, -73.911366)",,,,,,,419,,,,,,English as a New Language,,,40.840422,,,,,,,,,,,,198.0,5,Screened,,,,,Spanish,,,College Trips; Dress Code; Health Center; Internships Available; Online Grading System; Orientation,,,,42,,Double Dutch,,12.0,0.77,,E. Concourse-Concourse Village,Punctuality,Partially Accessible,,,,,,,,,,,,,,,225,Attendance,,,,,,,,,Students can earn up to 12 credits through CUNY College Now.,,,,6 to 12,76% of offers went to this group,204,
212-668-0635,"26 BROADWAY, MANHATTAN NY 10004(40.705688, -74.013303)",,,,,,,179,,,,,,English as a New Language,,,40.70568,,,,,,,,,,,,24.0,4,Ed. Opt.,,,,,Spanish,,,College Trips; Dress Code; Extended Day Program; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,32,Business,,,2.0,0.7,,Lower Manhattan,,Fully Accessible,,,,,,Ed. Opt.,,,,107.0,Yes,,,,9,We do not rank students for this program; all students will be selected randomly.,,,,,,,,,National Academy Foundation: Academy of Finance and Information Technology Courses,,,,9 to 12,,101,
718-991-7872,"1300 BOYNTON AVENUE, BRONX NY 10472(40.832508, -73.878191)",,,,,,,444,,,,,,English as a New Language,,,40.831601,,,,,,,,,,,,27.0,5,Screened: Language,,,,,Spanish,,,College Trips; Extended Day Program; Health Center; Saturday Programs,,,,31,,Stunt,,1.0,0.8,,West Farms-Bronx River,,Partially Accessible,,,,,,,,,,,,,,,56,,,,,,,,,,Students complete Performance-Based Assessment Tasks (PBATs) as a replacement for some Regents exams.,,,,9 to 12,,209,
718-543-1029,"100 WEST MOSHOLU PARKWAY SOUTH, BRONX NY 10468(40.879958, -73.889011)",,,,,,,587,,,,,,English as a New Language; Transitional Bilingual Education: Spanish,,,40.882178,,,,,,,,,,,,116.0,5,Open,,,,,"Japanese, Spanish",,,College Trips; Extended Day Tutoring; Health Center; Internship Expected; Online Grading System; Weekend Programs; Orientation; Summer Bridge,,,,40,,Cricket,,4.0,0.62,,Van Cortlandt Village,,Partially Accessible,,,,,,,,,,,,,,,409,,,,,,,,,,"In all departments, faculty create courses based on their area of expertise: ex. Food Chemistry, Casino- Does the House Always Win? (Math), I Need A Hero (ELA), Modern Genocide (History), etc.",,,,9 to 12,,207,
718-828-3732,"1980 LAFAYETTE AVENUE, BRONX NY 10473(40.821218, -73.85593)",,,,,,,381,,,,,,English as a New Language,,,40.82229,,,,,,,,,,,,94.0,5,Ed. Opt.,,,,,"French, Spanish",,,College Trips; Extended Day Program; Extended Day Tutoring; Health Center; Internships Available; Online Grading System; Weekend Programs; Orientation; Summer Orientation,,,,31,,,,4.0,0.63,,Castle Hill-Clason Point,Punctuality,Partially Accessible,,,,,,,,,,,,,,,16,Attendance,,,,,,,,,Community service projects in 9th through 12th grade that are student led and required for our National Honor Society chapter.,,,,9 to 12,,209,
718-620-8161,"1551 EAST 172ND STREET, BRONX NY 10472(40.832508, -73.878191)",,,,,,,672,,,,,,English as a New Language,,,40.831416,,,,,,,,,,,,370.0,5,Ed. Opt.,,,,,"French, Spanish",,,,,,,31,,Stunt,,185.0,0.87,,West Farms-Bronx River,,Fully Accessible,,,,,,,,,,,,,,,56,,,,,,,,,,CUNY College Now,,,,6 to 12,17% of offers went to this group,209,
718-232-9513,"5800 20TH AVENUE, BROOKLYN NY 11204(40.621299, -73.982583)",No,,Ed. Opt.,Y,,Studio Art Design,3214,Ed. Opt.,Open only to Brooklyn students or residents,,,,"English as a New Language; Dual Language: Chinese; Transitional Bilingual Education: Chinese, Spanish",N/A - new program,Course Grades: Average,40.620446,,,Standardized Test Scores: Average,392.0,,,Ed. Opt.,,644,,,198.0,2,Ed. Opt.,,,Y,Comprehensive academic program.,"Mandarin, Spanish",,9,College Trips; Community Service Expected; Multi-Session School; Online Grading System; Weekend Programs; Orientation; Summer Orientation,Standardized Test Scores: Average,Course Grades: Average,,18,Environmental Science,"Cricket, Golf",,6.0,0.7,,Borough Park,Course Grades: Average,Not Accessible,,25,,,,Ed. Opt.,Humanities & Interdisciplinary,,186,465.0,Yes,Y,,,468,Attendance,,12,"This program will allow students to explore the natural world through hands-on and project-based learning. Students will record observations, develop questions, design and conduct experiments, collect and interpret data, and propose new ideas from their conclusions. Students will have the opportunity to use multimedia to present their research articles or findings as a Capstone Project to panels of their peers in class, science fairs, research symposiums, and competitions throughout NYC.",Dual Language programs are designed to integrate English Language Learners with English-proficient students to receive content instruction in English and a target language.,,,,,"Exciting and current, extensive elective and major course offerings including:  Programming/Robotics, Photography, Videography, Illustrator and Photoshop, Woodshop, Forensics, Piano, Marching Band, Chorus, English electives such as Myths, Monsters and Legends, Criminal Mind, Accounting and more!",Course Grades: Average,,,9 to 12,,312,
718-824-0963,"1980 LAFAYETTE AVENUE, BRONX NY 10473(40.821218, -73.85593)",,,,,,,422,,,,,,English as a New Language,,,40.82229,,,,,,,,,,,,211.0,5,Ed. Opt.,,,,,Spanish,,,College Trips; Community Service Expected; Extended Day Credit Recovery; Extended Day Tutoring; Health Center; Internships Available; Online Grading System; Weekend Programs; Orientation; Summer Bridge; Summer Internships; Summer Orientation,,,,31,,,,23.0,0.77,,Castle Hill-Clason Point,Course Grades: Average,Partially Accessible,,,,,,ASD/ACES Program,,,,,,,,,16,Attendance,,,,,,,,,CUNY College Now,,,,9 to 12,,209,
212-877-1138,"145 WEST 84TH STREET, MANHATTAN NY 10024(40.786134, -73.974483)",,,,,,,414,,,,,,English as a New Language,,,40.785803,,,,,,,,,,,,225.0,4,Ed. Opt.,,,,,"French, Spanish",,,College Trips; Community Service Expected; Extended Day Tutoring; Health Center; Online Grading System; Orientation,,,,19,,,,10.0,0.81,,Upper West Side,Course Grades: Average,Partially Accessible,,,,,,,,,,,,,,,169,Attendance,,,,,,,,,Spring Break Study Abroad with a service learning focus,,,,9 to 12,,107,
