fax_number,appperseat3specialized,grades2018,common_audition4,admissionspriority17,directions5,prgdesc9,interest7,requirement6_2,grade9geapplicantsperseat6,offer_rate5,offer_rate2,requirement4_2,code3,method5,grade9geapplicantsperseat2,seats6specialized,seats2specialized,seats9ge9,requirement1_7,language_classes,program7,extracurricular_activities,prgdesc5,admissionspriority63,city,admissionspriority42,boys,primary_address_line_1,ptech,grade9swdfilledflag7,eligibility3,pct_stu_safe,grade9swdapplicants3,geoeligibility,seats1010,grade9gefilledflag2,grade9gefilledflag3,interest9,seats106,requirement2_7,seats108,prgdesc3,addtl_info1,grade9geapplicantsperseat3,seats1specialized,interest5,method8,end_time,requirement2_6,requirement6_6,prgdesc6,method3,psal_sports_girls,requirement5_7,grade9swdapplicantsperseat5,total_students,requirement2_1,eligibility7,seats103,longitude,admissionspriority26,requirement1_2,offer_rate3,requirement4_3
718-368-8555,,9 to 12,,,,,,,,,,,,,,,,,,"Italian, Spanish",,"Clubs: African American, American Red Cross, Animal Rights, Archon, Arista, Asian American, Business/Finance, Dissection & Microscopy, Forensics, Gamers, Hispanic, Irish-American, Italian-American, Jewish Culture, Key Club, LGBT, Musical Concerts, Muslim, Newspaper, Robotics, Russian, Scholastic Art Competition, SING, Tech Squad, Yearbook",,,Brooklyn,,,1830 Shore Boulevard,,,,0.91,,,,,,,,,,,Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Online Grading System; Student Parent Orientation,,,,,3:05pm,,,,,"Basketball, Bowling, Flag Football, Soccer, Swimming, Tennis, Volleyball",,,1029,"Standardized Test Scores: English Language Arts (3.0-4.5), Math (4.0-4.5)",,,-73.934449,,,,
212-289-7728,,6 to 12,,,,,,,,,,,,,,,,,,Spanish,,,,,New York,,,105 East 106th Street,,,,0.93,,,,,,,,,,,,,,,,3:15pm,,,,,"Basketball, Flag Football, Golf, Outdoor Track, Soccer, Softball, Volleyball",,,482,Standardized Test Scores: Average (2.3-4.5),,,-73.947171,,,,
212-674-8021,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"LoMA students are required to participate in two days of extracurricular activities or tutoring a week: After-School of Rock/Pop/Rap, Cheerleading, Chorus, LoMA Dance, LoMA Theatre Ensemble, LoMA Cares Volunteer Group, Student Council, Step-Up Mentoring, Swimming, Theater Tech and Stage Crew, Weight Room, Yoga",,,Manhattan,,,350 Grand Street,,,,0.88,,,,,,,,,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Student Parent Orientation; Summer Internships,,,,,3pm,,,,,"Badminton, Basketball, Bowling, Softball, Table Tennis, Tennis, Volleyball",,,354,,,,-73.989329,,,,
212-772-1440,,9 to 12,,,,,,,,,,,,,,,,,,"French, Spanish",,"Chamber Music, Chess, Dance, Drama, ElRo Ambassadors, ElRo Experiment Science Magazine, ElRo Sibs (Peer Mentors), Film, Gender & Sexuality Alliance, Green Team, Investment & Finance, Jazz Ensemble, Law Team, Lego Art, Making a Difference, Math, Model UN, Multicultural Club, NHS, PawPrint Online Newspaper, Speech & Debate, Student Government, Student Movement Against Cancer, Tech Volunteers, Yearbook",,,Manhattan,,,411 East 76th Street,,,,0.98,,,,,,,,,,,Community Service Expected; Internships; Online Grading System; Student Parent Orientation; Summer Internships,,,,,2:40pm,,,,,"Basketball, Cross Country, Flag Football, Soccer, Softball, Table Tennis, Tennis, Volleyball",,,543,Standardized Test Scores: Average (3.8-4.5),,,-73.953276,,,,
718-387-3281,,9 to 12,,,,,,,,,,,,,1,,,,,Spanish,,"Art, Big Siblings Program, Cheerleading, Chess, College and Career Prep Program, Community Service, Dance, Digital Music, Drama, Extended Learning Academy, Explorers, Leadership Classes, Math, Men's and Latino Empowerment Program, Mentoring, Moot Court, Mock Trial, Multicultural, Peer Mediators, Percussion, Sing, Women's, Youth Court; Three full concert bands, two jazz bands, two choral ensembles; numerous chamber groups such as guitar ensemble, brass choir, and clarinet choir",,,Brooklyn,,,850 Grand Street,,,,0.7,,,,N,,,,,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation,,,,,3:41pm,,,,,"Basketball, Handball, Outdoor Track, Soccer, Softball, Volleyball",,,432,,,,-73.938921,,,,
718-333-7725,,9 to 12,,,,,,,,,,,,,,,,,,"French, Spanish",,"After-School clubs and activities include: Cheerleading, Chess, Community Service Club, Cooking, English Language Learners Club, Gay/Straight Alliance, Guitar, Hip Hop Music Production, I Challenge Myself Bicycling Program, Peer Mediators, Peer Mentors, Poetry, Robotics, Rock Climbing, Saturday SAT Prep, Student Government, Table Top Board Game Club, and Yearbook. In addition, students can compete for any of the Lafayette Campus' PSAL sports teams.",,,Brooklyn,,,2630 Benson Avenue,,,,0.84,,,,,,,,,,,College Trips; Community Service Expected; Dress Code; Internship Expected; Online Grading System; Saturday Programs; Student Parent Orientation; Uniform,,,,,3:25pm,,,,,"Badminton, Basketball, Bowling, Flag Football, Soccer, Softball, Table Tennis, Volleyball",,,325,,,,-73.986313,,,,
718-933-1568,,9 to 12,,,,,,,,,-100% of offers went to this group,,,,15,,,,,"French, Spanish",,"Adventure Club, Anime Club, Capital One Paid internships, Cooking Club, Debate Team, Film Club, Gay-Straight Alliance (GSA), JROTC, Mentoring and Medicine, Monthly Town Hall Meetings, Multicultural Club, NYU Mini-Meds, Student Magazine, Yoga Club",,,Bronx,,,500 East Fordham Road,,,,0.9,,,,Y,,,,,,,College Trips; Community Service Expected; Saturday Programs; Student Parent Orientation; Uniform; Weekend Programs,,,,,3:30pm,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball",,,473,,,,-73.888625,,,,
718-736-7325,,9 to 12,,,,,,,,,,,,,,,,,,"French, Spanish",,"Art, Basketball, Bowling, Chess, Chorus, Dance, Digital Music, Environmental, Music Production, New Media, Robotics, Step Team, Student Government, Theater, Track, Yearbook",,,Hollis,,,188-04 91st Avenue,,,,0.8,,,,,,,,,,,College Trips; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,,2:40pm,,,,,"Basketball, Bowling, Indoor Track",,,359,Punctuality,,,-73.771196,,,,
718-861-8634,,6 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Art, Band, Boys Group, BRASS Athletic League, Chess, Dance/Theater, Engineering and Robotics, Girls Group, Humanities, Music, National Honor Society, Running/Track, School Leadership Team, Science, Senior Committee, Student Government, Technology Class, Tutoring (Before- and After-School)",,,Bronx,,,1716 Southern Boulevard,,,,0.65,,,,,,,,,,,College Trips; Community School; Health Center; Online Grading System; Student Parent Orientation,,,,,3pm,,,,,"Basketball, Indoor Track, Softball, Volleyball",,,673,,,,-73.887688,,,,
718-372-2514,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"After-School Program (collaboratively developed by teachers and students), After-School Tutorials, Basketball, Cross-Age Tutoring, Debate, Ecology, Environmental Science, Film and Video, Intel Research, Literary Journal, Mouse Squad, National Honor Society, New York Aquarium Internships, Odyssey Blended Learning, Rosetta Stone, SAT Prep, Saturday School Enrichment and Tutorial Programs, Saturday School Tutorials, Student Government, YWCA Program and Special Trips",,,Brooklyn,,,521 West Avenue,,,,0.83,,,,,,,,,,,College Trips; Community School; Extended Day Program; Extended Day Program (Tutoring); Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Summer Orientation; Weekend Programs,,,,,4:10pm,,,,,"Basketball, Bowling, Softball, Volleyball",,,587,,,,-73.972009,,,,
718-295-3674,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,,,,Bronx,,,500 East Fordham Road,,,,0.74,,,,,,,,,,,Community School; Internships; Uniform,,,,,4pm,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball",,,349,,,,-73.888625,,,,
718-758-7341,,9 to 12,,,,,,,,,,"Standardized Test Scores: English Language Arts (2.2-4.5), Math (2.5-4.5)",K25Z,,18,,,,,"Cantonese, French, Italian, Russian, Spanish",,"Anime Club, Arista, The Challenge, Comic Book Club, Fidelitas, First Aide Club, Flag Squad, Gay-Straight Alliance, Key Club, Law Journal, Letters to Heroes, Magic Club, Marching Band, Math Honor Society, Math Team, Mock Trial, Model United Nations, The MOUSE Squad, Multicultural, Science Honor Society, Senior Yearbook, SING, Spring Musical, Step Team, Women's Empowerment, We The People; Clubs are continuously created based on student interest.",,,Brooklyn,,,3787 Bedford Avenue,,,,0.73,N/A - zoned program,Open only to Brooklyn students/residents,,Y,N/A - zoned program,,,,,Comprehensive academic program,College Trips; Internships; Multi-Session School; Online Grading System; Student Parent Orientation,N/A - zoned program,,,,2:48pm,,,,Zoned Guarantee,"Badminton, Basketball, Bowling, Cross Country, Flag Football, Golf, Handball, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Softball, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,,3418,Punctuality,,Yes,-73.947661,,Attendance,,
718-836-3955,,9 to 12,0.0,,,,,,N/A - zoned program,-28% of offers went to this group,-92% of offers went to this group,,K17R,Audition,8,,,,,"Arabic, French, Greek, Italian, Mandarin, Spanish",,,"A sequential course of study focusing on acting, scene study, dramatic literature, playwriting, and performance.",,Brooklyn,,,8301 Shore Road,,,,0.82,9,,,Y,N,,Yes,,,"In addition to studying the required music courses, students will develop their ability to perform on a musical instrument, study music theory, and enhance solo and ensemble techniques.",,6,,Performing Arts,,3:45pm,,,Comprehensive academic program.,Audition,"Basketball, Bowling, Cross Country, Flag Football, Golf, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Swimming, Tennis, Volleyball",,3,4551,"Standardized Test Scores: English Language Arts (3.2-4.5), Math (3.5-4.5)",,Yes-10,-74.038103,,Audition,-97% of offers went to this group,
718-935-5089,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Chess, Dance and Salsa, Debate, Entrepreneurship, Health and Fitness, Model UN, Newspaper, Step Team, Student Government, Yearbook and partnerships with various organizations for after-school programs.",,,Bronx,,,3000 East Tremont Avenue,,,,0.73,,,,,,,,,,,College Trips; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Weekend Programs,,,,,2:36pm,,,,,"Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,359,,,,-73.839583,,,,
212-267-5611,,9 to 12,,,,,,,,,,,M35C,,2,,,,,"Mandarin, Spanish",,"Clubs: Art, Band, Book, Chess, Computer, Cooking, Dance, Glee, LGBTQ, Music, National Honor Society, School Newspaper, Student Government, Travel, Weight Training, Young Women's Empowerment. Extra Support: After-School/Saturday Regents Prep, After-School/Saturday SAT Prep, ESL Saturday Academy, Lunchtime/After-School Tutoring.",,,Manhattan,,,200 Monroe Street,,,,0.92,31,,,N,N,,,,,"Through the University Neighborhood Early College program (UNEC), students can earn up to 24 tuition-free college credits from CUNY Baruch and LaGuardia Colleges. The program is designed for students interested in advancing their education towards college readiness as they work toward meeting high school graduation requirements. Students take College Now courses on the UNHS and college campuses after school and during the school day.",College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Weekend Programs,7,,,,2:40pm,,,,Screened,"Bowling, Softball",,,392,,,Yes-10,-73.984128,,,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.7-4.5)"
718-634-2896,,6 to 12,,,,,,,,,-45% of offers went to this group,,,,6,,,,,Spanish,,"Art and Design, Chess, Chorus, Computer, Expanded Success Initiative, Future Teachers, International Club, International Youth Leadership Institute, Jazz Band, Junior and Senior Student Council, Marching Band, Media, Mentoring Club, National Honor Society, Nature Photography, NYC Outward Bound, Oceanography-Marine Biology, Peace, Recycling, Steel Drum Band, Step, Student Government Organization, Robotics Club",,,Rockaway Park,Then to New York City residents who signed in at a fair or at an information session,,100-00 Beach Channel Drive,,,,0.92,,,,Y,,,,,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,,2:40pm,,,,,"Basketball, Lacrosse, Soccer, Softball, Tennis, Volleyball",,,804,,,,-73.825317,,,,
718-230-6262,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Chess, LGBT, Peer Mediation, Restorative Justice Practices, Set Design, Stage Crew, Step Team, Student Government, Tech Team, Women's Group; After-School program with Breaking the Cycle; Extensive Arts After-School Program: Chorus Companies, Dance, Drama, and Tech; Saturday and after-school classes for Regents preparation; School Leadership Team; Three annual major school-wide productions; Two annual talent show competitions",,,Brooklyn,,,883 Classon Avenue,,,,0.76,,,,,,,,,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Student Parent Orientation; Summer Orientation,,,,,2:35pm,,,,,"Badminton, Basketball, Soccer, Softball, Volleyball",,,312,,,,-73.960689,,,,
212-696-2498,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"After-School Opportunities for Students: Individualized Tutoring, Regents, and SAT Preparation (STARS); BEATS Music and Poetry, Community Service, Dance, Film, Green Team, GSA, International Trips, Mentoring with various organizations, MOUSE Squad/Tech Squad, National Honor Society, NYPD Youth Explorers, Peer Mediation, Saturday Tutoring, School Newspaper, Student Activities (COSA), Students Against Destructive Decisions, Student Government, Student Voice Collaborative, Visual Arts, Yearbook",,,Manhattan,,,111 East 33rd Street,,,,0.86,,,,,,,,,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation,,,,,2:20pm,,,,,"Basketball, Softball, Volleyball",,,315,,,,-73.98107,,,,
718-904-5099,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Art, Gaming Club, Guitar Club, Science Research, Service Learning, STEM Club",,,Bronx,,,3000 East Tremont Avenue,,,,0.67,,,,,,,,,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Uniform,,,,,3pm,,,,,"Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,459,,,,-73.839583,,,,
718-221-1794,,9 to 12,,,,,,,,,,,,,,,,,,French,,"Art Club, Choir, Dance, Homework Help, Peer-Mentoring, National Honor Society, Regents Prep, Saturday Academy, School Magazine, Speech/Debate, Student Government, Writing Tutors",,,Brooklyn,,,600 Kingston Avenue,,,,0.9,,,,,,,,,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Health Center; Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,,3pm,,,,,"Basketball, Bowling, Cross Country, Outdoor Track, Rugby, Soccer, Volleyball, Wrestling",,,359,,,,-73.943839,,,,
212-683-7338,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"After-School Open Help Sessions (in all academic areas), Chess Club, Coding Club, Community Service, Dance, Debate, Drama, Film, Gay-Straight Alliance (GSA), International Exchange, InvenTeam, Lorax (Environmental Club), Model UN, Music, National Honor Society (NHS), Peer Tutoring, Red Cross, School Newspaper, School Play, Senior Mentors, Student Government, Tech Team, UNICEF, Writing, Yearbook",,,Manhattan,,,55 East 25th Street,,,,0.92,,,,,,,,,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Student Parent Orientation,,,,,2:50pm,,,,,"Basketball, Fencing, Soccer, Softball, Volleyball",,,440,Course Grades: Average (90-100),,,-73.985723,,,,
718-471-0314,,6 to 12,,,,,,,,,-22% of offers went to this group,,,,6,,,,,Spanish,,"Clinical Internship, Health Occupations Students of America (HOSA), Karate, Mentoring, Service Learning Internship Program",,,Far Rockaway,,,8-21 Bay 25th Street,,,,0.8,,,,Y,,,,,,,College Trips; Dress Code; Extended Day Program; Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Uniform; Weekend Programs,,,,,1:50pm,,,,,"Basketball, Flag Football, Soccer, Softball, Swimming, Tennis, Volleyball",,,629,,,,-73.763995,,,,
718-991-6627,,6 to 12,,,,,,,,,,,,,,,,,,Spanish,,"After-School and Peer Tutoring, Art Club, Band, Electric Guitar, Dance/Cheer Team, Film, Flag Football, Glee, Indoor Soccer, Keyboard, National Honor Society (NHS), Peer Mediation and Mentor Training Program, Running, School Newspaper, Yearbook Committee",,,Bronx,,,800 Home Street,,,,0.9,,,,,,,,,,,College Trips; Dress Code; Saturday Programs,,,,,2:35pm,,,,,Soccer,,,561,,,,-73.900593,,,,
718-904-5451,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"After-School/Saturday Tutoring Programs, Community Service, Council for Unity, National Honor Society, Newsletter, Science, Science and Health Fairs, Student Government, Student Leadership Team",,,Bronx,,,750 Baychester Avenue,,,,0.86,,,,,,,,,,,,,,,,3pm,,,,,"Basketball, Cross Country, Flag Football, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",,,322,,,,-73.831669,,,,
718-875-1947,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Academic Enrichment, Audio Engineering Club, City Girls Rock, National Honor Society, Peer Tutoring, Photography Club, Robotics, Scholars HOOP, ScriptEd Coding, Student Government Association, Yearbook Club, Youth Mentoring",,,Brooklyn,,,105 Tech Place,1.0,,,0.85,,,,,,,,,,,Internship Expected; Saturday Programs; Student Parent Orientation; Summer Bridge Program,,,,,3:37pm,,,,,"Basketball, Handball, Softball, Volleyball",,,449,,,,-73.986105,,,,
718-824-0963,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Anime, Art Club, Book Writing, Broadway Shows, Community Volunteering, Cricket Club, Crochet/Knitting, Drama, Ernst and Young Mentorship Program, Gardening, Good Shepards, Internships, Lehman College Art Gallery Program, LGBTQ Committee, Lincoln Center Theater for the Arts Program, Model United Nations, Mural Painting, National Honor Society, Nutrition and Wellness, Peer Mediation, Photography, Poetry, School Newspaper, Shakespeare, Songwriting, Student Ambassadors, Student Government, Ukulele",,,Bronx,,,1980 Lafayette Avenue,,,,0.84,,,,,,,,,,,College Trips; Community Service Expected; Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation,,,,,2:30pm,,,,,"Badminton, Basketball, Indoor Track, Soccer, Softball, Tennis, Volleyball",,,447,,,,-73.85593,,,,
718-556-4800,,9 to 12,,Priority to Staten Island students or residents,,"This program offers students the opportunity to study fine arts or graphic design through a variety of classes that are enriched by after-school programs and a design partnership with Roundabout Theater. Course offerings include: Drawing, Painting, AP Art History, IB Art, and/or CTE Graphic Design using Adobe Creative Suite.",Performing Arts,,6.073528767,-100% of offers went to this group,-97% of offers went to this group,,R19C,Ed. Opt.,3.764705896,,,54,,"French, Italian, Spanish",Performing Arts,"Anime, ARISTA, Art, Asian Culture/Dance, Astronomy, Chess, Consultative Council, Design, Dreamers, Engineering, Environmental, Fashion, Go Chefs, Guitar Ensemble, Health Ambassadors, Jazz Band, Journalism, Kaleidoscope, Key Club, Law Club, Literary Magazine, Math, Mock Trial, Moot Court, Multi-Cultural, Newspaper, Nursing, Orchestra, Peer Mediation, Pride, Robotics, Student Government/Organization, Symphonic/Concert Bands, Teen Health Educators, Theater Arts, Vocal Ensembles, Writers, Yearbook","The Naval JROTC program is a leadership and citizenship training program co-sponsored by the Department of Education and the United States Navy. The curriculum is divided into three areas: academic, military skills, and physical fitness.",,Staten Island,,,105 Hamilton Avenue,,N,,0.75,7,,Yes,N,Y,Visual Art & Design,Yes-10,,No,"The IB Diploma Program offers students a unique, rigorous curriculum in Humanities and STEM-related fields authorized by the IB Organization. All students are expected to achieve an Advanced Regents Diploma and will also take numerous Advanced Placement courses in addition to their seven required IB courses.",College Trips; Community School; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Orientation; Weekend Programs,4.259259224,,JROTC,Screened,3:30pm,Punctuality,,This program offers two State-approved CTE health career programs. The Practical Nursing program includes 798 clinical hours in addition to the curriculum. These students are then eligible to take the NCLEX State Board examination for Licensed Practical Nurse. The Nursing Assistant program includes 108 clinical hours along with a curriculum that allows students to take the NYS certification exam to be certified as a Nursing Assistant.,Screened,"Basketball, Bowling, Cross Country, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Softball, Swimming, Tennis, Volleyball, Wrestling",,3.083333015,2558,,,Yes-10,-74.082149,Then to New York City residents,,-100% of offers went to this group,"Standardized Test Scores: English Language Arts (2.3-4.5), Math (2.1-4.5)"
718-332-2544,,9 to 12,,,,,,,,,,,K67H,Ed. Opt.,3,,,,,Spanish,,"Art, C-CAP, Construction Skills, Creative Writing, For Inspiration and Recognition of Science and Technology (FIRST) Robotics, MOUSE Squad, National Honor Society, Peer Mediation and Conflict Resolution, SkillsUSA, Student Government, Web Design, Women's Empowerment, Work-Based Learning, Yearbook","Students complete a state certified three-year sequence including electrical installation, plumbing, and carpentry. Students must take industry exams for certification. Internships and union opportunities are available for eligible students. Students are prepared for college and industry positions.",,Brooklyn,,,25 Brighton 4th Road,,,,0.75,17,,,N,N,,,,,Preparation for entry-level positions in the health field as well as admissions to two- and four-year colleges.,,2,,Engineering,,2:30pm,,,,Ed. Opt.,"Basketball, Bowling, Softball, Volleyball",,2,539,,,No,-73.963764,,,,
718-432-4310,,6 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Art, Band, Dance, Debate, Digital Media, DiversiDream, Drama, Guitar, Robotics, Morning News Team, MOUSE Squad, Music Appreciation, Musical Productions, National Honor Society, Student Government, Tutoring, Vocal Music, Web Design, Yearbook",,,Bronx,,,2975 Tibbett Avenue,,,,0.83,,,,,,,,,,,College Trips; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,,3:34pm,,,,,"Basketball, Outdoor Track, Softball, Volleyball",,,945,Punctuality,,,-73.913694,,,,
212-576-0518,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,,,,Manhattan,,,111 East 33rd Street,,,,0.79,,,,,,,,,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Multi-Session School; Saturday Programs; Uniform,,,,,3:23pm,,,,,"Basketball, Softball, Volleyball",,,288,,,,-73.98107,,,,
718-466-7801,,6 to 12,,,,,,,,,,,,,,,,,,"Spanish, Vietnamese",,"Art, Chess, Classical, Dance, Digital, Drama, Hip-Hop, Math League, Mock Trial, Music, Music Production, Peer Counseling, Piano, Robotics, Step, Student Advisory, Student Leadership, Tutoring, Visual Arts, Vocal, Wilderness/Camping",,,Bronx,,,1595 Bathgate Avenue,,,,0.81,,,,,,,,,,,College Trips; Dress Code; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Online Grading System; Saturday Programs; Student Parent Orientation; Uniform; Weekend Programs,,,,,3:05pm,,,,,"Basketball, Flag Football, Softball, Wrestling",,,635,,,,-73.901774,,,,
718-277-6106,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Clubs: Air Force JROTC, Anime, Choir, College Counseling and Awareness, Dance, Drama, Gender and Sexuality Alliance, National Honor Society, SAT Prep, Social Justice, Student Council",,,Brooklyn,,,999 Jamaica Avenue,,,,0.78,,,,,,,,,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform,,,,,3:12pm,,,,,"Basketball, Bowling, Indoor Track, Softball, Tennis, Volleyball",,,230,,,,-73.869305,,,,
212-787-1455,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"Gardening, Gay-Straight Alliance, Green Team, Latin Dance, Poetry Writing and Performance, Minecraft, Music, Running and Fitness, Strategy, Strategy Club, Student Government, Theater, Tutoring, Weightlifting; Other enrichment activities based on student interest; Paid Internships in Horticulture, Culinary, Facilities Operations, and Management",,,Manhattan,,,145 West 84th Street,,,,0.87,,,,,,,,,,,College Trips; Community School; Dress Code; Extended Day Program; Internship Expected; Internships; Multi-Session School; Online Grading System; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation,,,,,3:30pm,,,,,"Basketball, Bowling, Soccer, Softball, Tennis, Volleyball",,,319,,,,-73.974483,,,,
718-832-0273,,9 to 12,,,,,,,,,,,,,,,,,,"French, Spanish",,"BRIC Digital Media, College Planning, Journalism Club, Mindfulness Club, Music, National Honor Society, PRY, Regents Tutoring, Running, School Website/Digital Newspaper, Soccer, Student Government, Swimming, Technology iClub, Yearbook",,,Brooklyn,,,237 7th Avenue,,,,0.78,,,,,,,,,,,Online Grading System; Student Parent Orientation,,,,,2:36pm,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Volleyball",,,236,,,,-73.97858,,,,
212-255-4756,,9 to 12,,,,,,,,,,Audition,M68M,,3,,,,,"French, Spanish",,"HSFI wants every student to feel connected! Here's a sample of some of our EVENTS: Variety Show, SING where students produce & perform in a musical. TEAMS: 14 Varsity Sports, Dance, Latin Groove, Step. CLUBS: Accessories, Animal Welfare, Anime, Book Club, Coding/Programming, Cooking, Crochet, Fashion Cares Service-Learning, Gaming, Film, K-Pop, Math, Newspaper and Literary Magazine, Photography, Physics, Styling, UNICEF. Don't see one you like? Start your own and we'll support you.",,,Manhattan,,,225 West 24th Street,,,,0.88,42,,,Y,N,,,,,"Introduction to Business Marketing, Introduction to Visual Merchandising, Beginner & Advanced Computer Applications, Business Law, Business Marketing Tools, Techniques, & Lab, Window Display and Exhibition Design, Fashion Buying & Marketing, and Entrepreneurship.",College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Summer Orientation,2,,,,3:37pm,,,,Audition,"Badminton, Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball, Wrestling",,,1671,Punctuality,,Yes-5,-73.996354,,Attendance,,Audition
212-382-2306,,9 to 12,,,,,,,,,,,,,,,,,,Spanish,,"A Cappella Chorus, Advanced Dance, Annual Musical Production, Annual Play Production, August Wilson Monologue Competition, Community Service Club, Electronic Music Production, Gay-Straight Alliance, Hip Hop Dance Crew, International Thespian Society, Literary Magazine, National Honor Society, NYPD Explorers, Peer Mediation, Poetry Club, Rock Band, Saturday Academy, Schoolwide Assembly Performances, Shakespeare Society Competition, Student Council, Tech Crew, Yearbook",,,Manhattan,,,123 West 43rd Street,,,,0.9,,,,,,,,,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation,,,,,2:35pm,,,,,,,,246,Punctuality,,,-73.984381,,,,
