dbn,bn,expected_grade_span_max,primary_address_line_1,tenth_priority10,context,school_type,open_house_info,expected_grade_span_min,independent_website,import_info_drop_down,online_ap_courses,location_1,last_year_subway,:@computed_region_yeji_bk3q,school_district,email,fax_number
29Q326,Q326,,188-04 91St Avenue,,http://schema.org,,Please contact the school for Open House dates and times.,,http://www.nycacademy.org,"Dress Code Required, Extended Day Program, Internship Requirement, Weekend Program offered",,"{'latitude': '40.7119429', 'longitude': '-73.7709457', 'human_address': '{""address"": ""188 04 91St Avenue"", ""city"": ""Hollis"", ""state"": ""NY"", ""zip"": ""11423""}'}",1.0,3,29,mmenake@schools.nyc.gov,718-776-2818
13K595,K595,,1119 Bedford Avenue,,http://schema.org,,Please call the school for Open House dates and times.,,http://schools.nyc.gov/schoolportals/13/K595,"Community Service Requirement, Extended Day Program, Student Summer Orientation, Weekend Program offered",,"{'latitude': '40.685361', 'longitude': '-73.954213', 'human_address': '{""address"": ""1119 Bedford Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",,2,13,,718-636-3819
32K556,K556,,797 Bushwick Avenue,,http://schema.org,,Please visit our website for Open House dates or call the school at 718-919-4212 for information.,,http://www.bushwickleaders.org,"Community Service Requirement, Extended Day Program Requirement, Student Summer Orientation",,"{'latitude': '40.69512', 'longitude': '-73.9273387', 'human_address': '{""address"": ""797 Bushwick Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",,2,32,32k556@schools.nyc.gov,718-574-1103
32K545,K545,,1155 Dekalb Avenue,,http://schema.org,,Please call the school for Open House dates and times.,,http://schools.nyc.gov/schoolportals/32/K545,,,"{'latitude': '40.694733', 'longitude': '-73.929295', 'human_address': '{""address"": ""1155 Dekalb Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",,2,32,32k545@schools.nyc.gov,718-452-3603
10X477,X477,,99 Terrace View Avenue,,http://schema.org,,Our 2013 Open House dates are: Mondays: November 18 and November 25 from 4:30 PM - 6:30 PM; Thursdays: November 7 and November 21 from 4:30 PM - 6:30 PM; Saturdays: November 2 and November 16 from 10:00 AM - 12:00 PM,,http://www.Marblehillschool.org,,,"{'latitude': '40.8770697', 'longitude': '-73.9126169', 'human_address': '{""address"": ""99 Terrace View Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10463""}'}",,4,10,Ireyes@marblehillschool.org,718-561-5612
17K122,K122,,150 Albany Avenue,,http://schema.org,CTE School,Please contact the school for Open House information.,,http://www.ptechnyc.org,Extended Day Program,,"{'latitude': '40.675907', 'longitude': '-73.938959', 'human_address': '{""address"": ""150 Albany Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11213""}'}",,2,17,ptechnyc@schools.nyc.gov,718-221-1781
30Q502,Q502,,21-16 44Th Road,,http://schema.org,,"There are several Open House sessions held throughout the school year. For additional information, please check our website www.ithsnyc.net or contact our parent coordinator. Ms. Michelle Solomon via phone at 718-937-4270 ext. 117 or via email at msolomon@schools.nyc.gov.",,http://www.ithsnyc.net,,,"{'latitude': '40.7487316', 'longitude': '-73.9468488', 'human_address': '{""address"": ""21 16 44Th Road"", ""city"": ""Long Island City"", ""state"": ""NY"", ""zip"": ""11101""}'}",,3,30,msolomon@schools.nyc.gov,718-937-5236
09X324,X324,,250 East 164 Street,,http://schema.org,,Please contact the school for Open House information,,http://www.bronxearlycollegeacademy.com,Extended Day Program Requirement,,"{'latitude': '40.8283536', 'longitude': '-73.9172419', 'human_address': '{""address"": ""250 East 164 Street"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",,5,9,,718-681-8650
02M475,M475,,345 Chambers Street,,http://schema.org,Specialized School,Our Open House is held one evening in late October. Please call 212-312-4800 ext. 1031 for additional information.,,http://stuy.enschool.org/,,,"{'latitude': '40.7179707', 'longitude': '-74.0140348', 'human_address': '{""address"": ""345 Chambers Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10282""}'}",,4,2,JZhang@schools.nyc.gov,212-587-3874
09X260,X260,,1363 Fulton Avenue,,http://schema.org,,Please call the school for Open House dates and times.,,http://www.bcsmschool.com,,,"{'latitude': '40.833875', 'longitude': '-73.902818', 'human_address': '{""address"": ""1363 Fulton Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",1.0,5,9,etom2@schools.nyc.gov,718-590-1052
05M692,M692,,240 Convent Ave,,http://schema.org,Specialized School,Please call the school for Open House dates and times.,,http://www.hsmse.org,Community Service Requirement,,"{'latitude': '40.8174284', 'longitude': '-73.9523094', 'human_address': '{""address"": ""240 Convent Ave"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10031""}'}",,4,6,,212-281-6918
14K478,K478,,850 Grand Street,,http://schema.org,,Please check our school website for more information.,,http://schools.nyc.gov/schoolportals/14/K478,,,"{'latitude': '40.711125', 'longitude': '-73.9389209', 'human_address': '{""address"": ""850 Grand Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11211""}'}",,2,14,14K478@schools.nyc.gov,718-387-2748
02M298,M298,,100 Hester Street,,http://schema.org,,"We strongly encourage interested families to attend an Open House/Information Session before a tour is requested. Open House/Information Sessions (including tours) will be scheduled shortly after city and borough High School Fairs. Please call the school for our calendar. Daytime small group tours are by appointment only, on Tuesdays, Thursdays and Fridays at 10:00 AM, from October through the end of November 2013. It is necessary to call the school at 212-334-4663 to make an appointment for a tour after you have attended an Open House/Information Session.",,http://www.pacehighnyc.com,,"Biology, Chemistry, Chinese Language and Culture, English Language and Composition, United States History, World History","{'latitude': '40.71651', 'longitude': '-73.9936997', 'human_address': '{""address"": ""100 Hester Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10002""}'}",,4,2,ysy@schools.nyc.gov,212-334-4919
21K348,K348,,2630 Benson Avenue,,http://schema.org,,Please call the school for Open House dates and times.,,http://thehssm.com,Weekend Program offered,,"{'latitude': '40.593015', 'longitude': '-73.986315', 'human_address': '{""address"": ""2630 Benson Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11214""}'}",,2,21,rpitts@schools.nyc.gov,718-333-7675
02M419,M419,,351 West 18 Street,,http://schema.org,,Please contact the school for Open House information.,,http://www.landmarkhs.org,,,"{'latitude': '40.743436', 'longitude': '-74.0031734', 'human_address': '{""address"": ""351 West 18 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10011""}'}",,4,2,,212-647-7416
25Q241,Q241,12.0,35-01 Union Street,,http://schema.org,New School,Please contact the school or visit our website for the most up-to-date information.,9.0,http://www.qhsls.org,,,"{'latitude': '40.764868', 'longitude': '-73.826819', 'human_address': '{""address"": ""35 01 Union Street"", ""city"": ""Flushing"", ""state"": ""NY"", ""zip"": ""11354""}'}",,3,25,info@qhsls.org,
24Q296,Q296,,45-10 94Th Street,,http://schema.org,International School,Please contact the school for Open House information.,,http://schools.nyc.gov/schoolportals/24/Q296,"Community Service Requirement, Internship Requirement, Our school requires an Academic Portfolio for graduation",,"{'latitude': '40.743204', 'longitude': '-73.871482', 'human_address': '{""address"": ""45 10 94Th Street"", ""city"": ""Elmhurst"", ""state"": ""NY"", ""zip"": ""11373""}'}",,3,24,,718-271-4041
06M348,M348,12.0,511 West 182Nd Street,,http://schema.org,,Please check our website for Open House dates and times.,,http://schools.nyc.gov/schoolportals/06/M348,,,"{'latitude': '40.8489656', 'longitude': '-73.9310113', 'human_address': '{""address"": ""511 West 182Nd Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10033""}'}",,4,6,a.glynn@wheelsnyc.org,212-781-0742
11X455,X455,,750 Baychester Avenue,,http://schema.org,,"Open Houses will be conducted during the fall in early October and November. Please contact Assistant Principal, Ms. Pozzuto, at 718-904-5493, or consult our website for additional information.",,http://www.bxtrumanhighschool.com,"Community Service Requirement, Student Summer Orientation",,"{'latitude': '40.87404', 'longitude': '-73.831687', 'human_address': '{""address"": ""750 Baychester Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10475""}'}",,5,11,SNasser@schools.nyc.gov,718-904-5502
13K483,K483,,283 Adams Street,,http://schema.org,,Please check our website for Open House dates and times: www.sljhs.org.,,http://www.sljhs.org,"Dress Code Required, Extended Day Program, Student Summer Orientation, Summer Internship Program offered, Weekend Program offered",,"{'latitude': '40.6945218', 'longitude': '-73.9885598', 'human_address': '{""address"": ""283 Adams Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11201""}'}",,2,13,info@sljhs.org,718-858-4733
02M529,M529,,120 West 46 Street,,http://schema.org,,Open House events are scheduled in late September and early October. Please contact the school or visit our website for additional information.,,http://schools.nyc.gov/schoolportals/02/M529,"Community Service Requirement, Internship Requirement, Student Summer Orientation",,"{'latitude': '40.7579023', 'longitude': '-73.9834821', 'human_address': '{""address"": ""120 West 46 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10036""}'}",,4,2,edemeo@schools.nyc.gov,212-391-1293
08X305,X305,,1980 Lafayette Avenue,,http://schema.org,,Please call the parent coordinator at 718-824-1682 for Open House information.,,http://www.pablonerudaacademy.org,Extended Day Program,"English Literature and Composition, Government and Politics: United States","{'latitude': '40.8223255', 'longitude': '-73.8559569', 'human_address': '{""address"": ""1980 Lafayette Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10473""}'}",1.0,5,8,Ysantos22@schools.nyc.gov,718-824-1663
07X334,X334,,345 Brook Avenue,,http://schema.org,International School,Please call the school at 718-665-4128 for Open House information.,,http://www.ichs.weebly.com,Our school requires an Academic Portfolio for graduation,,"{'latitude': '40.8099078', 'longitude': '-73.9180559', 'human_address': '{""address"": ""345 Brook Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10454""}'}",,5,7,internationalcommunityhs@gmail.com,718-665-4547
19K618,K618,,999 Jamaica Avenue,,http://schema.org,CTE School,Please call the school for Open House dates and times.,,http://www.aoiths.org,,,"{'latitude': '40.69228', 'longitude': '-73.868927', 'human_address': '{""address"": ""999 Jamaica Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11208""}'}",,2,19,aoiths@gmail.com,718-827-4013
10X442,X442,,2780 Reservoir Avenue,,http://schema.org,,"Friday, October 25, 2013 from 6:00 PM - 8:00 PM and Saturday, October 26, 2012 from 10:00 AM - 1:00 PM. Students and families will receive detailed information about our academic programs and will participate in a workshop on the audition process. Prospective students and families are strongly encouraged to attend.",,http://www.ccbxhsm.org,"Extended Day Program, Student Summer Orientation, Weekend Program offered",,"{'latitude': '40.8708801', 'longitude': '-73.8977529', 'human_address': '{""address"": ""2780 Reservoir Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10468""}'}",,5,10,wrodrig2@schools.nyc.gov,718-329-8559
24Q52 0,Q520,,45-35 Van Dam Street,,http://schema.org,,Open Houses are very limited; please contact parent coordinator for more information.,,http://www.mchslic.com,,,"{'latitude': '40.7433034', 'longitude': '-73.9336253', 'human_address': '{""address"": ""45 35 Van Dam Street"", ""city"": ""Long Island City"", ""state"": ""NY"", ""zip"": ""11101""}'}",,3,24,jgonzalez10@schools.nyc.gov,718-392-3315
25Q263,Q263,,144-80 Barclay Avenue,,http://schema.org,International School,Please contact our parent coordinator for more information about visiting our school.,,http://www.flushinginternational.org,Internship Requirement,,"{'latitude': '40.7603471', 'longitude': '-73.8179093', 'human_address': '{""address"": ""144 80 Barclay Avenue"", ""city"": ""Flushing"", ""state"": ""NY"", ""zip"": ""11355""}'}",,3,25,levange@schools.nyc.gov,718-463-3514
04M435,M435,,260 Pleasant Avenue,,http://schema.org,,"Open Houses are held every Wednesday from 9:30 AM-11:15 AM during October and November; our evening Open Houses will be held on Thursdays, October 17 and November 14, 2013 from 5:30PM-7:00 PM.",,http://www.mcsm.net,Extended Day Program,,"{'latitude': '40.794172', 'longitude': '-73.932852', 'human_address': '{""address"": ""260 Pleasant Avenue"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",1.0,4,4,info@mcsm.net,212-996-5946
17K533,K533,,600 Kingston Avenue,,http://schema.org,,Please contact the school for Open House information.,,http://schools.nyc.gov/schoolportals/17/K533,Our school requires an Academic Portfolio for graduation,,"{'latitude': '40.658665', 'longitude': '-73.943838', 'human_address': '{""address"": ""600 Kingston Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",,2,17,rostro@schools.nyc.gov,718-771-5847
16K393,K393,,1014 Lafayette Avenue,,http://schema.org,,Please call the school for Open House dates and times.,,http://schools.nyc.gov/schoolportals/16/K393,"Student Summer Orientation, Weekend Program offered",French Language,"{'latitude': '40.6921497', 'longitude': '-73.9314894', 'human_address': '{""address"": ""1014 Lafayette Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",,2,16,ecrespo@schools.nyc.gov,718-574-2821
10x565,X565,12.0,2474 Crotona Avenue,,http://schema.org,CTE School,Please contact the school for Open House dates and times.,9.0,http://www.hsenergytech.org,"Internship Requirement, Weekend Program offered",,"{'latitude': '40.856088', 'longitude': '-73.8824885', 'human_address': '{""address"": ""2474 Crotona Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10458""}'}",1.0,5,10,hsenergytech@gmail.com,718-733-3085
29Q248,Q248,,143-10 Springfield Boulevard,,http://schema.org,,"Our Open House will be held on Saturday, November 16, 2013 from 10:00 AM to 12:00 PM. School tours are available upon request. Please call the school to schedule a visit.",,http://qpacademy.org,Internship Requirement,,"{'latitude': '40.6682589', 'longitude': '-73.7568961', 'human_address': '{""address"": ""143 10 Springfield Boulevard Springfield Gardens"", ""city"": ""NY"", ""state"": """", ""zip"": ""11413""}'}",1.0,3,29,,718-712-3273
19K404,K404,12.0,1065 Elton Street,,http://schema.org,,We have three Open Houses during the first semester. Please refer to our website (www.academyforyoungwriters.org) for dates and times.,6.0,http://www.academyforyoungwriters.org,,,"{'latitude': '40.6575576', 'longitude': '-73.8747593', 'human_address': '{""address"": ""1065 Elton Street"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11208""}'}",1.0,2,19,cwinkfield@schools.nyc.gov,718-688-7236
02M418,M418,,75 Broad Street,,http://schema.org,,Please visit our school website for fall tour information. Registration is required; please register at www.millenniumhs.org.,,http://www.millenniumhs.org,,,"{'latitude': '40.7045644', 'longitude': '-74.0115607', 'human_address': '{""address"": ""75 Broad Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10004""}'}",,4,2,admissions@millenniumhs.org,212-825-9095
06M346,M346,,504 West 158Th Street,,http://schema.org,,Please contact our parent coordinator at 212-568-3401 for Open House dates and times.,,http://www.mychah.org,"Extended Day Program, Student Summer Orientation, Weekend Program offered",,"{'latitude': '40.8335513', 'longitude': '-73.9417183', 'human_address': '{""address"": ""504 West 158Th Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10032""}'}",1.0,4,6,mhouse@schools.nyc.gov,212-928-1716
17K537,K537,,911 Flatbush Avenue,,http://schema.org,,Please contact the school for Open House information.,,http://schools.nyc.gov/schoolportals/17/K537,,,"{'latitude': '40.649541', 'longitude': '-73.9585007', 'human_address': '{""address"": ""911 Flatbush Avenue"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11226""}'}",,2,17,ycdhs1@gmail.com,718-564-2471
04M680,M680,,1680 Lexington Avenue,,http://schema.org,,Please contact the school for Open House information.,,http://schools.nyc.gov/schoolportals/04/M680,,,"{'latitude': '40.791964', 'longitude': '-73.946878', 'human_address': '{""address"": ""1680 Lexington Avenue"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",,4,4,contact@heritage-school.org,212-828-2861
09X252,X252,,1595 Bathgate Avenue,,http://schema.org,,Please contact school at 718-466-6800 for details.,,http://schools.nyc.gov/schoolportals/09/X252,"Community Service Requirement, Student Summer Orientation, Uniform Required",,"{'latitude': '40.839491', 'longitude': '-73.901765', 'human_address': '{""address"": ""1595 Bathgate Avenue"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",1.0,5,9,gpeguero@schools.nyc.gov,718-466-6801
02M545,M545,,350 Grand Street,,http://schema.org,,Daily opportunities are given to students accompanied by parents to visit our school and meet our staff during regular school hours. Interested? Curious? Give us a call to schedule your appointment.,,http://schools.nyc.gov/schoolportals/02/M545,"Extended Day Program, Weekend Program offered",,"{'latitude': '40.717321', 'longitude': '-73.989323', 'human_address': '{""address"": ""350 Grand Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10002""}'}",,4,2,,212-674-1392
02M413,M413,,127 East 22 Street,,http://schema.org,,All admission and tour information can be found on our website at www.sof.edu/about-ps-32/admission,,http://www.sof.edu,Internship Requirement,,"{'latitude': '40.7390222', 'longitude': '-73.9854507', 'human_address': '{""address"": ""127 East 22 Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10010""}'}",,4,2,02M413@schools.nyc.gov,212-475-9273
12X251,X251,,1619 Boston Road,,http://schema.org,,Please contact the school at 718-893-6173 for Open House information.,,http://www.explorationsacademy.org,"Extended Day Program, Student Summer Orientation, Weekend Program offered",,"{'latitude': '40.8358209', 'longitude': '-73.8909833', 'human_address': '{""address"": ""1619 Boston Road"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10460""}'}",,5,12,krodriguez10@schools.nyc.gov,718-893-6439
