telephone,code_prog1,admissionsmethod_prog4,selectioncriteria2_prog3,eligibility_prog2,swdseats_prog2,selectioncriteria3_prog5,selectioncriteria12_prog4,priority2_prog4,geappsperseat_prog2,selectioncriteria9_prog3,swdapps_prog3,selectioncriteria5_prog2,district,code_prog5,priority7_prog4,communityschool,revealed_prog5,latitude,geapps_prog5,selectioncriteria11_prog1,selectioncriteria12_prog5,revealed_prog3,mathprof,priority6_prog5,admissionsmethod_prog1,selectioncriteria7_prog5,name_prog3,geseats_prog5,selectioncriteria7_prog4,swdapps_prog2,priority7_prog6,selectioncriteria5_prog1,selectioncriteria8_prog2,ellprograms,priority2_prog2,swdapps_prog1,priority3_prog1,revealed_prog2,eligibility_prog1,selectioncriteria9_prog2,acceleratedclasses,priority7_prog3,gefilled_prog4,selectioncriteria10_prog6,geapps_prog4
718-969-7780,Q200U,.,.,,,.,.,.,,.,,,25,.,.,No,.,40.731369,.,.,.,.,40.0,.,Open,.,,.,.,,.,,.,English as a New Language,,42,Then to students and residents of District 25.,.,Open to students and residents of District 25,.,"Living Environment, Spanish",.,.,.,.
718-326-2111,Q049Z,,.,,,.,.,.,,.,,.,24,.,.,No,.,40.719867,.,.,.,.,57.0,.,Zoned,.,,.,.,,.,,.,English as a New Language,,,,.,Open to continuing 5th grade students and students residing in the zone,.,"Algebra I, Living Environment",.,,.,.
718-647-1301,K662L,.,,,,.,.,.,,.,,.,19,.,.,No,.,40.677104,.,.,.,.,14.0,.,Limited Unscreened,.,,.,.,,.,,.,"English as a New Language, Dual Language: Spanish",,132,Then to students and residents of District 19 who sign in at an event,.,Open to students and residents of District 19,.,"Algebra I, Living Environment",.,.,.,.
718-583-6767,X339L,,,,,.,.,.,,.,,,9,,.,"Yes, BronxWorks",.,40.840878,,.,.,.,8.0,.,Limited Unscreened,.,,,.,,.,,.,"English as a New Language, Transitional Bilingual Education: Spanish",,105,Then to students and residents of District 9 who sign in at an event,.,Open to students and residents of the Bronx,.,,.,,.,
718-590-5455,X215S,,,,,.,.,.,,.,,,9,,.,No,.,40.833511,,.,.,.,24.0,.,Screened,.,,,.,,.,,.,English as a New Language,,134,,.,Open to students and residents of Districts 9 and 10,.,"Algebra I, Living Environment",.,,.,
718-353-6464,Q237U,.,.,,,.,.,.,,.,,,25,.,.,No,.,40.749545,.,.,.,.,61.0,.,Open,.,,.,.,,.,,.,"English as a New Language, Transitional Bilingual Education: Chinese",,85,,.,Open to students and residents of Districts 25 and 28,.,"Algebra I, Earth Science, Living Environment, Spanish, US History",.,.,.,.
718-703-5400,K590M,.,.,.,.,.,.,.,.,.,.,.,17,.,.,No,.,40.667195,.,.,.,.,81.0,.,Screened,.,.,.,.,.,.,.,.,English as a New Language,.,,.,.,Open to students and residents of Brooklyn,.,"Algebra I, Algebra II, Chemistry, English, Geometry, Global History, Living Environment, Physics, US History",.,.,.,.
718-495-7775,K184U,,.,,,.,.,.,,.,,.,23,.,.,No,.,40.659966,.,.,.,.,11.0,.,Open,.,,.,.,,.,,.,English as a New Language,,34,,.,Open to students and residents of District 23,.,,.,,.,.
718-293-4017,X454L,,,,,.,.,.,,.,,,9,,.,No,.,40.828696,,.,.,.,31.0,.,Limited Unscreened,.,,,.,,.,,.,"English as a New Language, Transitional Bilingual Education: Spanish",,168,Then to students and residents of District 9 who sign in at an event,.,Open to students and residents of Districts 9 and 10,.,,.,,.,
212-690-5932,M129L,,.,,,.,.,.,,.,,.,5,.,.,No,.,40.814637,.,.,.,.,8.0,.,Limited Unscreened,.,,.,.,,.,,.,"English as a New Language, Transitional Bilingual Education: Spanish",,47,Then to students and residents of District 5 who sign in at an event,.,Open to students and residents of District 5,.,"Algebra I, Living Environment",.,,.,.
718-987-5336,R002A,,.,Open to students residing in the zone,,.,.,.,,.,,.,31,.,.,No,.,40.576725,.,.,.,.,35.0,.,Composite Score,.,,.,.,,.,Punctuality 5%,.,English as a New Language,,87,,.,Open to students and residents of District 31,.,"Algebra I, Earth Science, Spanish",.,,.,.
718-401-4891,X551L,,,,,.,.,.,,.,,,7,,.,No,.,40.813641,.,.,.,.,4.0,.,Limited Unscreened,.,,.,.,,.,,.,English as a New Language,,90,,.,Open to students and residents of District 7,.,"Living Environment, US History",.,,.,
718-743-5598,K206U,.,,,,.,.,.,,.,,.,22,.,.,No,.,40.597369,.,.,.,.,49.0,.,Open,.,,.,.,,.,,.,"English as a New Language, Dual Language: Russian",,Continuing Students,,.,Open only to continuing 5th grade students,.,"Algebra I, Living Environment",.,.,.,.
917-432-5413,M177L,.,,Open to students and residents of District 2,5,.,.,.,10,.,,.,2,.,.,No,.,40.770419,.,.,.,.,63.0,.,Limited Unscreened,.,,.,.,57,.,,.,English as a New Language,,58,,.,Open to students and residents of District 2,.,Algebra I,.,.,.,.
718-254-9401,K691S,,,,,.,.,.,,.,,,13,,.,No,.,40.694633,,.,.,.,7.0,.,Screened,.,,,.,,.,,.,English as a New Language,,61,,.,Open to students and residents of District 13,.,"Algebra I, Living Environment, Spanish",.,,.,
718-222-1605,K492S,,,,,.,.,.,,.,,,13,,.,No,.,40.690765,,.,.,.,41.0,.,Screened,.,,,.,,.,,.,English as a New Language,,81,,.,Open to students and residents of District 13,.,Algebra I,.,,.,
718-401-0059,X296U,,,,,.,.,.,,.,,,7,,.,No,.,40.818874,.,.,.,.,9.0,.,Open,.,,.,.,,.,,.,English as a New Language,,59,,.,Open to students and residents of District 7,.,,.,,.,
718-961-3480,Q025U,.,.,,,.,.,.,,.,,,25,.,.,No,.,40.765133,.,.,.,.,54.0,.,Open,.,,.,.,,.,,.,English as a New Language,,77,Then to students and residents of District 25.,.,Open to students and residents of District 25,.,"Algebra I, Living Environment, US History",.,.,.,.
