dbn,school_name,eligibility3,grade9geapplicants4,requirement3_5,admissionspriority33,college_career_rate,code7,ptech,nta,grade9swdapplicantsperseat9,postcode,grade9geapplicants10,grade9geapplicantsperseat3,eligibility10,requirement6_7,grade9swdapplicants5,auditioninformation3,seats9ge3,admissionspriority13,school_email,grade9swdapplicants9,admissionspriority23,grade9swdfilledflag6,grade9geapplicants9,admissionspriority27,diversity_in_admissions,seats9swd9,attendance_rate,requirement3_1,geoeligibility,grade9swdfilledflag7,prgdesc6,requirement1_9,interest4,grade9swdapplicantsperseat5,requirement6_2,requirement1_8,offer_rate1_1,requirement5_5,:@computed_region_f5dn_yrer,program6,seats6specialized,requirement4_5,pct_stu_enough_variety,phone_number,prgdesc2,seats9ge9,program2,eligibility4,campus_name,academicopportunities2,end_time,requirement7_4,admissionspriority110,method10,requirement7_5,auditioninformation4,council_district,start_time,grade9swdapplicants4,seats9swd4,grade9geapplicantsperseat8,primary_address_line_1,seats2specialized,girls,grade9swdfilledflag8,common_audition6,psal_sports_boys,seats5specialized,seats9ge7,appperseat1specialized
02M475,Stuyvesant High School,,,,,0.89,,,Battery Park City-Lower Manhattan,,10282,,,,,,,,,02M475@schools.nyc.gov,,,,,,,,0.97,,,,,,,,,,,,56,,,,0.95,212-312-4800,,,,,,"Organic Chemistry, Existentialism, Engineering, Genetics, Science Fiction, Modern China, Research, and Music",3:35pm,,,,,,1,8am,,,,345 CHAMBERS STREET,,,,,"Badminton, Baseball, Basketball, Bowling, Cross Country, Fencing, Football, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,,29.0
32K168,The Brooklyn School for Math and Research,,,,,0.77,,,Bushwick North,,11237,,,,,,,,,DTorres@schools.nyc.gov,,,,,,,,0.9,,,,,,,,,,82% of offers went to this group,,42,,,,0.74,718-381-7100,,,,,Bushwick Educational Campus,College Prep Curriculum features the opportunity to take 6 Advanced Placement (AP) courses,3:45pm,,,,,,37,8:15am,,,,400 IRVING AVENUE,,,,,"Baseball, Basketball, Soccer, Volleyball",,,
02M400,High School for Environmental Studies,,,,,0.73,,,Clinton,,10019,,,,,,,,,ANajmi@schools.nyc.gov,,,,,,,,0.84,"Course Grades: English, Math, Science, Social Studies",,,,,,,,,,,12,,,,0.84,212-262-8113,"Mathematics and science research, work in university laboratories.",,Honors Academy,,,"Honors Academy, Environmental Internship/Career and College Advisory, CUNY College Now, Financial Literacy, SAT Prep",2:40pm,,,,,,3,7:33am,,,,444 WEST 56TH STREET,,,,,"Baseball, Basketball, Cross Country, Handball, Soccer, Tennis, Volleyball",,,
17K531,The School for Human Rights,,,,,0.48,,,Prospect Lefferts Gardens-Wingate,,11203,,,,,,,,,malexan@schools.nyc.gov,,,,,,,,0.88,,,,,,,,,,34% of offers went to this group,,17,,,,0.68,718-771-4793,,,School for Human Rights D75 Inclusion Program,,George Wingate Educational Campus,"Anatomy and Physiology, Big Brothers Big Sisters, CUNY College Now, Global Kids, buildOn",2:20pm,,,,,,40,8am,,,,600 KINGSTON AVENUE,,,,,"Baseball, Basketball, Bowling, Soccer, Tennis, Volleyball, Wrestling",,,
02M439,Manhattan Village Academy,,,,,0.82,,,Hudson Yards-Chelsea-Flatiron-Union Square,,10010,,,,,,,,,ms.cho.mva.admissions@gmail.com,,,,,,,,0.98,"Course Grades: English (79-100), Math (77-100), Science (80-100), Social Studies (81-100)",,,,,,,,,,,11,,,,0.48,212-242-8752,,,,,,"New York University (NYU) Preview, CUNY College Now, Opportunity Network, Sponsors for Educational Opportunity (SEO), Let's Get Ready",2:40pm,,,,,,3,8:15am,,,,43 WEST 22ND STREET,,,,,"Baseball, Basketball, Soccer",,,
27Q302,"Queens High School for Information, Research, and Technology",,,,,0.61,,,Far Rockaway-Bayswater,,11691,,,,,,,,,tworley@schools.nyc.gov,,,,,,,,0.84,,,,,,,,,,,,51,,,,0.89,718-868-2978,"Program emphasis is on math and science, using computer applications associated with inspection, repair, assembly, and troubleshooting. Student will receive training in IC3, Adobe, C++, and various multi-media programs.",,CISCO Networking and Internet Computer Core Certification,,Far Rockaway Educational Campus,"Advanced Placement Courses (AP4All)-AP Computer Science Principles, AP US History, AP Psychology",2:45pm,,,,,,31,8:20am,,,,8-21 BAY 25TH STREET,,,,,"Baseball, Basketball, Football, Indoor Track, Outdoor Track, Soccer, Swimming, Table Tennis",,,
02M411,Baruch College Campus High School,,,,,0.96,,,Hudson Yards-Chelsea-Flatiron-Union Square,,10010,,,,,,,,,bcchs@bcchsnyc.net,,,,,,Diversity in Admissions (DIA): Priority to applicants eligible for free or reduced price lunch for 34% of seats,,0.96,Standardized Test Scores,,,,,,,,,99% of offers went to this group,,11,,,,0.66,212-683-7440,,,,,,"Students interested in visual arts can complete a three year art sequence, taking art in 10th grade and Advanced Art in 11th & 12th grade.",2:50pm,,,,,,2,8:30am,,,,55 EAST 25TH STREET,,,,,"Baseball, Basketball, Soccer, Wrestling",,,
25Q240,Veritas Academy,,,,,0.63,,,Flushing,,11354,,,,,,,,,cquatrano@schools.nyc.gov,,,,,,,,0.88,,,,,,,,,,99% of offers went to this group,,22,,,,0.69,718-888-7520,,,,,Flushing Educational Campus,"Law and Social Justice, Literary Arts, Media Studies, Medicine and Health Professions, Technological Sciences, and Visual and Performing Arts",3:30pm,,,,,,20,8:00am,,,,35-01 UNION STREET,,,,,"Badminton, Baseball, Basketball, Bowling, Football, Handball, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,,
32K554,All City Leadership Secondary School,,,,,0.74,,,Bushwick North,,11237,,,,,,,,,EEsteve@schools.nyc.gov,,,,,,,,0.93,,,,,,,,,,84% of offers went to this group,,42,,,,0.89,718-246-6500,,,,,,"Computer Technology, Visual Arts (after-school program), Leadership Skill Development",2:30pm,,,,,,37,7:45am,,,,321 PALMETTO STREET,,,,,"Baseball, Basketball, Bowling, Handball, Volleyball",,,
11X265,Bronx Lab School,,,,,0.45,,,Williamsbridge-Olinville,,10467,,,,,,,,,admissions@bronxlabschool.org,,,,,,,,0.78,,,,,,,,,,,,29,,,,0.67,718-696-3700,,,Bronx Lab School D75 Inclusion Program,,Evander Childs Educational Campus,Advisory! Our advisory classes meet four times a week and stay together for four years with the same teacher.  You will join a small family group that will help you navigate high school and beyond!,3:00pm,,,,,,12,8:30am,,,,800 EAST GUN HILL ROAD,,,,,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Swimming",,,
20K485,High School of Telecommunication Arts and Technology,"Open to students currently in or recommended for District 75 Special Education Inclusive Services. If you are not currently in or recommended for these services, please contact D75info@schools.nyc.gov",,,,0.72,,,Bay Ridge,,11220,,,,,,,,,byarshewitz@schools.nyc.gov,,,,,,,,0.92,"Course Grades: English, Math, Science",,,,,,,,,100% of offers went to this group,,10,,,,0.86,718-759-3400,,,High School of Telecommunication Arts and Technology ASD Nest Program,,,Nest Program for students with autism.,2:25pm,,,,,,43,8:05am,,,,350 67TH STREET,,,,,"Baseball, Basketball, Bowling, Cross Country, Handball, Outdoor Track, Soccer, Swimming, Volleyball",,,
14K561,Williamsburg Preparatory School,,,,,0.76,,,North Side-South Side,,11211,,,,,,,,,kwitkowski@williamsburgprep.org,,,,,,Diversity in Admissions (DIA): Priority to applicants eligible for free lunch for 63% of seats,,0.89,"Standardized Test Scores: English Language Arts, Math",,,,,,,,,,,36,,,,0.87,718-302-2306,,,,,Harry Van Arsdale Educational Campus,"Physics, Yearbook, Coding, Advanced Art Studio, Current Events, Computer Technology, Statistics, Pre-Calculus and Trigonometry",3:30pm,,,,,,33,9:00am,,,,257 NORTH 6TH STREET,,,,,"Baseball, Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Volleyball",,,
06M211,Inwood Early College for Health and Information Technologies,,,,,,,1.0,Marble Hill-Inwood,,10034,,,,,,,,,inwoodearlycollege@gmail.com,,,,,,,,0.92,,,,,,,,,,100% of offers went to this group,,47,,,,0.75,212-567-1394,,,,,,"IC3, Microsoft Office Suite (MOS), Microsoft Technology Associate (MTA), and A+ Certifications",3:05pm,,,,,,10,8:45am,,,,650 ACADEMY STREET,,,,,Baseball,,,
15K656,Brooklyn High School of the Arts,,204.0,,,0.67,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,11217,,8.0,,,32,Participate in both a ballet class and a modern dance class. Applicants must wear ballet shoes and fitted black dance attire. A brief exam will be given to determine their level of dance knowledge.,41.0,Priority to Brooklyn students or residents,enrollment@brooklynartshs.nyc,,Then to New York City residents,,,,,,0.9,,,,,,Performing Arts,4,,,94% of offers went to this group,,68,,,,0.81,718-855-2412,"Students pursue a rigorous program of solo and ensemble playing as well as studying basic music theory and music history. Students have the opportunity to work closely with top professional musicians in the New York scene through our various partnerships. Classical, contemporary and ""pop"" literature, as well as world music, is studied and performed. Offerings include String Orchestra, Concert Band, Jazz Band, Guitar, and Digital Music, as well as Music Theory and Composition courses.",,Instrumental Music,,,"Our Fine Arts studio includes Drawing, Painting, Sculpture, Digital Art, Photoshop, Ceramics, College Portfolio Preparation, Elective Arts, Multimedia",3:20pm,,,,,"Perform a song without accompaniment. Audition includes on-site music tasks (e.g., sing back melodic patterns and tap back rhythmic patterns).",33,8:30am,26.0,6.0,,345 DEAN STREET,,,,,Bowling,,,
26Q415,Benjamin N. Cardozo High School,Open only to Queens students or residents,186.0,"Standardized Test Scores: English Language Arts (3.3-4.5), Math (4.0-4.5)",,0.81,Q16U,,Oakland Gardens,,11364,,24.0,,,218,,102.0,,Mcolby@schools.nyc.gov,,,N/A - zoned program,,,,,0.91,"Standardized Test Scores: English Language Arts, Math",Open only to Queens students/residents,,,,Performing Arts,24,,,,,26,Zoned,,Honors/Accelerated Coursework in Math/Science,0.88,718-279-6500,"This program is designed for students who have an interest in pursuing a career in media, broadcasting, and journalism.",,School of Journalism and Media Studies,Open only to Queens students or residents,,"Science, Chemistry, Biology and Physics Olympiad, Project Lead the Way: Engineering & Bio-Medical, Math Team for NY State Math League",3:00pm,,,,,"Students will be taken through a series of ballet, modern and jazz dance combinations which they must perform in small groups. Students must also perform a dance solo prepared in advance of the dance audition.",23,8:00am,33.0,9.0,,57-00 223RD STREET,,,,,"Baseball, Basketball, Bowling, Cross Country, Fencing, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,,
30Q502,Information Technology High School,,,,,0.68,,,Hunters Point-Sunnyside-West Maspeth,,11101,,,,,,,,,infotechadmissions@infotechhs.net,,,,,,,,0.89,"Course Grades: Math, Science, Social Studies",Open only to Queens students/residents,,,,,,,,,,53,,,,0.77,718-937-4270,,,Information Technology High School D75 Inclusion Program,,,"Visual Arts, Chorus and Junior and Senior Band; ITHS Band students compete in NYSSMA Band Competition, as well as NYSSMA Solo and Ensemble Competition. Arts Endorsed Diplomas- beginning in 2020.",2:55pm,,,,,,26,7:15am,,,,21-16 44TH ROAD,,,,,"Baseball, Basketball, Fencing, Football, Outdoor Track, Soccer, Volleyball, Wrestling",,,
12X271,East Bronx Academy for the Future,,,,,0.46,,,Crotona Park East,,10460,,,,,,,,,information@eastbronxacademy.org,,,,,,,,0.82,,,,,,,,,,38% of offers went to this group,,34,,,,0.65,718-861-8641,,,,,,Advanced Placement courses,2:35pm,,,,,,17,8:15am,,,,1716 SOUTHERN BOULEVARD,,,,,Tennis,,,
14K454,The Williamsburg High School of Art and Technology,,,,,0.37,,,East Williamsburg,,11206,,2.0,,,,,17.0,Open to New York City residents,admissions@whsat.org,,,,,,,,0.84,Course Grades: Average,,,,,,,,,,,36,,,,0.67,718-599-1207,"This screened program offers web, digital media and college-credit bearing coursework. 9th grade students learn video game engineering and web design in addition to the traditional liberal arts. Students continue their computer science classes and take college-level courses. Upperclassmen can continue their CS training at tech company offices such as Google, Major League Baseball and Disney. Students also participate in internships facilitated by our partner St. Nicks Alliance.",,Liberal Arts and Technology,,,"Electives courses include visual art, peer mediation, internships and peer leadership.",2:18pm,,,,,,34,8:00am,,,,223 GRAHAM AVENUE,,,,,"Baseball, Wrestling",,,
32K549,The Brooklyn School for Social Justice,,,,,0.39,,,Bushwick North,,11237,,,,,,,,,AUribeOrtiz@shools.nyc.gov,,,,,,,,0.77,,,,,,,,,,67% of offers went to this group,,42,,,,0.66,718-381-7100,,,Smart Scholars,,Bushwick Educational Campus,"Opportunities to earn college credits:CUNY College Now, Student Success Center offers electives through Brooklyn College, Medgar Evers Early College and Smart Scholars programs",2:35pm,,,,,,37,8:15am,,,,400 IRVING AVENUE,,,,,"Baseball, Basketball, Soccer, Volleyball",,,
27Q308,Robert H. Goddard High School of Communication Arts and Technology,,,,,0.75,,,Ozone Park,,11417,,,,,,,,,acastillo8@schools.nyc.gov,,,,,,,,0.92,Course Grades: Average,,,,,,,,,,,62,,,,0.88,718-848-8357,,,,,,"Robotics, Studio Art, Digital Art, Literature Through Film, Finance, Creative Writing, Precalculus, Honors Classes, Microsoft Certification,",1:40pm,,,,,,32,7:20am,,,,138-30 LAFAYETTE STREET,,,,,"Baseball, Basketball, Soccer",,,
22K425,James Madison High School,Open only to Brooklyn students or residents,,,,0.77,,,Madison,,11229,,,,,,,,Guaranteed offer to students who live in the zoned area,22K425@schools.nyc.gov,,Then to Brooklyn students or residents,,,,,,0.94,Course Grades: Average (91-100),Open only to Brooklyn students/residents,,,,,,,,,,32,,,,0.89,718-758-7200,"This is a four-year honors program, introduces students to legal concepts and terminology that include, but are not limited to, constitutional law, criminology, international law, and family law.",,Law Institute,,,iLearnNYC: Program for expanded online coursework and self-paced learning,2:48pm,,,,,,48,8:10am,,,,3787 BEDFORD AVENUE,,,,,"Badminton, Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,,
25Q285,World Journalism Preparatory: A College Board School,,,,,0.92,,,Auburndale,,11358,,,,,,,,,HReed2@schools.nyc.gov,,,,,,,,0.92,"Standardized Test Scores: English Language Arts, Math",,,,,,,,,48% of offers went to this group,,26,,,,0.48,718-461-2219,,,,,,"Four years of English, Math, Science, and Social Studies courses",2:20pm,,,,,,19,8:00am,,,,34-65 192ND STREET,,,,,"Baseball, Basketball, Bowling, Cross Country, Fencing, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,,
15K448,Brooklyn Collaborative Studies,,,,,0.78,,,Carroll Gardens-Columbia Street-Red Hook,,11231,,,,,,,,,tracey@bcs448.org,,,,,,,,0.86,,,,,,,,,,44% of offers went to this group,,14,,,,0.69,718-923-4700,,,,,,Presentations of Learning: Students participate in roundtables in each core class every year where they defend their writing to external panelists,3:05pm,,,,,,39,8:45am,,,,610 HENRY STREET,,,,,"Baseball, Basketball, Soccer",,,
09X365,Academy for Language and Technology,Open only to New York City residents whose home language is Spanish,,,,0.72,,,University Heights-Morris Heights,,10453,,11.0,,,,,26.0,,CTorres51@schools.nyc.gov,,,,,,,,0.88,,,,,,,,,,,,6,,,,0.87,718-731-0219,"Four year program provides students with computer literacy, maintenance and repair skills, knowledge of programming languages and the ability to solve technical problems.",,National Academy Foundation Institute for Computer Technology,,,Saturday academy,4pm,,,,,,14,8am,,,,1700 MACOMBS ROAD,,,,,"Baseball, Basketball, Volleyball",,,
15K429,Digital Arts and Cinema Technology High School,,,,,0.53,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,11201,,,,,,,,,cfox7@schools.nyc.gov,,,,,,,,0.9,"Course Grades: English (65-100), Math (65-100), Science (65-100), Social Studies (63-100)",,,,,,,,,56% of offers went to this group,,14,,,,0.84,718-694-9741,,,,,,"Four years of English Language Arts, Math, History, Science and the Arts. Three years of foreign language opportunity. Advancement Via Individual Determination (AVID) and OneGoal college prep classes",2:35pm,,,,,,33,8:15am,,,,284 BALTIC STREET,,,,,"Baseball, Basketball",,,
10X213,Bronx Engineering and Technology Academy,,,,,0.52,,,Marble Hill-Inwood,,10463,,,,,,,,,MBrice@schools.nyc.gov,,,,,,,,0.8,,,,,,,,,,99% of offers went to this group,,48,,,,0.75,718-563-6678,,,,,John F. Kennedy Educational Campus,Computer Science Academy option beginning in 10th grade: Three-year sequence concluding with AP Computer Science Processing; after-school option available.,4:30pm,,,,,,10,8:15am,,,,99 TERRACE VIEW AVENUE,,,,,"Baseball, Basketball, Bowling, Cross Country, Football, Gymnastics, Indoor Track, Outdoor Track, Soccer, Volleyball",,,
06M346,Community Health Academy of the Heights,,,,,0.63,,,Washington Heights South,,10032,,,,,,,,,mhouse@schools.nyc.gov,,,,,,,,0.82,,,,,,,,,,98% of offers went to this group,,47,,,,0.85,212-342-6600,,,,,,"Problem-Based Learning (PBL), College Awareness, Career Awareness, SAT Prep (11th grade), Intro to Community Health, Concepts in Wellness",3pm,,,,,,7,8:15am,,,,504 WEST 158TH STREET,,,,,"Baseball, Basketball, Soccer",,,
02M422,Quest to Learn,,,,,0.68,,,Hudson Yards-Chelsea-Flatiron-Union Square,,10011,,,,,,,,,info@q2l.org,,,,,,,,0.89,,,,,,,,,,23% of offers went to this group,,12,,,,0.81,212-488-3645,,,,,Bayard Rustin Educational Campus,"Advisory, Game Design & Media Arts, Electives, National Honor Society, Student Government",2:25pm,,,,,,3,8:05am,,,,351 WEST 18TH STREET,,,,,"Baseball, Basketball, Bowling, Soccer, Volleyball, Wrestling",,,
08X293,Renaissance High School for Musical Theater and the Arts,,,,,0.53,,,Schuylerville-Throgs Neck-Edgewater Park,,10461,,,,,,,,,mherrer2@schools.nyc.gov,,,,,,,,0.83,"Course Grades: English, Math, Science",,,,,,,,,100% of offers went to this group,,43,,,,0.88,718-430-6390,,,Renaissance High School for Musical Theater D75 Inclusion Program,,Herbert H. Lehman Educational Campus,"Access to courses in a variety of art forms in drama, instrumental music, vocal music, and studio art. Students of all levels welcome to participate.",2:40pm,,,,,,13,8:15am,,,,3000 EAST TREMONT AVENUE,,,,,"Baseball, Basketball, Football, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Tennis, Wrestling",,,
08X320,Pelham Lab High School,,,,,0.51,,,Schuylerville-Throgs Neck-Edgewater Park,,10461,,,,,,,,,pelhamlabschool@gmail.com,,,,,,,,0.82,"Course Grades: English, Math, Science",,,,,,,,,98% of offers went to this group,,43,,,,0.73,718-904-5090,,,,,Herbert H. Lehman Educational Campus,Pelham Lab is a member of the AP for All program on the Lehman Educational Campus. AP English Language and AP Environmental Science are currently offered.,2:35pm,,,,,,13,8:15am,,,,3000 EAST TREMONT AVENUE,,,,,"Baseball, Basketball, Football, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Tennis, Wrestling",,,
18K617,High School for Innovation in Advertising and Media,,,,,0.41,,,Canarsie,,11236,,,,,,,,,info@iam-hs.org,,,,,,,,0.84,,,,,,,,,,,,5,,,,0.64,718-290-8760,,,,,Canarsie Educational Campus,Advisory classes in grades 9-12 focusing on college exploration-application and restorative practices.,2:20pm,,,,,,46,8am,,,,1600 ROCKAWAY PARKWAY,,,,,"Baseball, Basketball, Football, Handball, Indoor Track, Outdoor Track, Rugby, Soccer, Wrestling",,,
19K404,Academy for Young Writers,,,,,0.74,,,East New York,,11208,,,,,,,,,admissions@afyw.org,,,,,,,,0.86,,,,,,,,,,19% of offers went to this group,,45,,,,0.81,718-688-7230,,,,,Spring Creek Educational Campus,"Computer science, coding, and robotics courses, integrated technology use across the curriculum, Google apps, Chromebooks, iPads, and SMART Boards",3:38pm,,,,,,42,9:00am,,,,1065 ELTON STREET,,,,,"Basketball, Bowling",,,
30Q258,Energy Tech High School,,,,,0.92,,1.0,Queensbridge-Ravenswood-Long Island City,,11106,,,,,,,,,energytech@energytechhs.org,,,,,,,,0.92,"Standardized Test Scores: English Language Arts, Math",,,,,,,,,100% of offers went to this group,,39,,,,0.68,718-472-0536,,,Energy Tech High School D75 Inclusion Program,,,Internship and other career opportunities required; offsite technical training; networking fairs and career classes offered to all students.,3:45pm,,,,,,26,8:45am,,,,36-41 28TH STREET,,,,,"Basketball, Handball",,,
17K751,Academy for Health Careers,,,,,0.56,,,Crown Heights North,,11213,,,,,,,,,dmartin.staff@academyhc.org,,,,,,,,0.85,,,,,,,,,,80% of offers went to this group,,16,,,,0.51,718-773-0128,,,,,Paul Robeson Educational Campus,Literacy Focus (Readers and Writers Seminar),2:50pm,,,,,,36,8:35am,,,,150 ALBANY AVENUE,,,,,"Baseball, Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Tennis",,,
13K483,The Urban Assembly School for Law and Justice,,,,,0.82,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,,11201,,,,,,,,,tgoodger@sljhs.org OR dmoldovan@sljhs.org,,,,,,,,0.9,,,,,,,,,,,,68,,,,0.87,718-858-1160,,,,,,"Global Issues, Research Writing",3:30pm,,,,,,33,8:40am,,,,283 ADAMS STREET,,,,,"Basketball, Soccer",,,
11X509,High School of Language and Innovation,,,,,0.57,,,Bronxdale,,10469,,,,,,,,,info@languageandinnovation.org,,,,,,,,0.88,,,,,,,,,,98% of offers went to this group,,59,,,,0.81,718-944-3625,,,,,Christopher Columbus Educational Campus,"Trips & Activities: Staff-student sports tournaments, cultural food nights, field trips to cultural and historic sites in New York City and beyond.",2:44pm,,,,,,13,8:24am,,,,925 ASTOR AVENUE,,,,,"Baseball, Basketball, Bowling, Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball",,,
30Q301,Academy for Careers in Television and Film (ACTV),,,,,0.84,,1.0,Hunters Point-Sunnyside-West Maspeth,,11101,,,,,,,,,info@actvf.org,,,,,,Diversity in Admissions (DIA): Priority to applicants eligible for free lunch for 63% of seats,,0.93,Course Grades: Average,,,,,,,,,,,53,,,,0.8,718-609-3330,,,Academy for Careers in Television and Film ASD Nest Program,,Hunter's Point Campus,Advanced Placement (AP) course selections in 11th and 12th grade; CUNY College Now partnership with LaGuardia Community College,3:30pm,,,,,,26,9:00am,,,,1-50 51ST AVENUE,,,,,"Baseball, Basketball, Soccer",,,
02M413,School of the Future High School,,,,,0.9,,,Gramercy,,10010,,,,,,,,,jrutman@sof.edu,,,,,,,,0.94,"Course Grades: English (85-100), Math (83-100), Science (87-100), Social Studies (85-100)",,,,,,,,,52% of offers went to this group,,11,,,,0.69,212-475-8086,,,,,,"Free college classes, AP classes, Honors classes, electives in documentary film making, BEATs music production, and Chinese Calligraphy",3:00pm,,,,,,2,8:25am,,,,127 EAST 22ND STREET,,,,,"Baseball, Basketball, Soccer, Volleyball",,,
26Q315,Business Technology Early College High School (BTECH),,,,,,,1.0,Bellerose,,11427,,,,,,,,,info@btechnyc.org,,,,,,,,0.9,,,,,,,,,,100% of offers went to this group,,63,,,,0.74,718-217-3613,,,,,,Small school community that provides individualized support to students and families.,2:40pm,,,,,,23,8:20am,,,,230-17 HILLSIDE AVENUE,,,,,"Baseball, Basketball, Indoor Track, Outdoor Track, Soccer, Volleyball",,,
10X284,Bronx School of Law and Finance,,,,,0.69,,,Marble Hill-Inwood,,10463,,,,,,,,,aburgos@bxslf.org,,,,,,,,0.8,,,,,,,,,,98% of offers went to this group,,48,,,,0.71,718-561-0113,,,,,John F. Kennedy Educational Campus,"Mentoring, Internships, Student Fieldwork, Federal Reserve Challenge, Moot Court, Mock Trial, Model UN",2:20pm,,,,,,10,8:10am,,,,99 TERRACE VIEW AVENUE,,,,,"Baseball, Basketball, Bowling, Cross Country, Football, Gymnastics, Indoor Track, Outdoor Track, Soccer, Volleyball",,,
02M533,Union Square Academy for Health Sciences,,,,,0.69,,,Gramercy,,10003,,,,,,,,,BAscona@unionsquareacademy.org,,,,,,,,0.9,,,,,,,,,,53% of offers went to this group,,71,,,,0.71,212-253-3110,"Students who wish to enter the dental field can acquire certification by completing the Dental Laboratory Technician program in high school, complete four years of courses which include Career and Financial Management, with 150 hours of internship time in the dental field. You will also need to pass the NOCTI Dental Laboratory Technician examination to get certification.",,Dental Laboratory Technician,,Washington Irving Educational Campus,"Advisory Program: Peer Group Connection for 9th grade and iMentor program for 10th, 11th, and 12th grade into Freshman year of college.",2:40pm,,,,,,2,8:20am,,,,40 IRVING PLACE,,,,,"Baseball, Basketball, Handball, Soccer, Volleyball",,,
11X542,Pelham Preparatory Academy,,,,,0.72,,,Bronxdale,,10469,,,,,,,,,BFerron@schools.nyc.gov,,,,,,,,0.9,"Standardized Test Scores: English Language Arts, Math",,,,,,,,,100% of offers went to this group,,59,,,,0.8,718-944-3601,,,,,Christopher Columbus Educational Campus,"Enrichment classes and academic interventions sponsored by Lehman College, GEAR UP, TRIO and Career Visions",2:40pm,,,,,,13,8:20am,,,,925 ASTOR AVENUE,,,,,"Baseball, Basketball, Bowling, Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball",,,
26Q495,Bayside High School,Open only to Queens students or residents,1441.0,"Course Grades: Math, Science",,0.85,Q12Z,,Bayside-Bayside Hills,,11361,,26.0,,,425,,87.0,,info@baysidehighschool.org,,,Y,,Then to Queens students or residents,,,0.93,"Course Grades: English (69-100), Math (65-100), Science (69-100), Social Studies (69-100)",Open only to Queens students/residents,N/A - zoned program,"Preparation to pursue sports-related careers, inclusive of physical rehabilitation, therapy, athletic training, as well as coaching, management and media. Numerous college-credit courses included. Visit www.baysidehighschool.org for more information about college-credit courses.",,Humanities & Interdisciplinary,21,Audition - Go to https://www.myschools.nyc/en/help/high-school/audition-dates/ for information and dates,,,Academic rigor adjustment,26,Sports Medicine & Management,,"Standardized Test Scores: English Language Arts, Math",0.88,718-229-7600,"Preparation for careers in vocal and instrumental performance, as well as music production and studio recording. Beginners and experienced musicians are encouraged to apply and audition. Learn to perform on guitar, piano, bass, drums and vocals, and learn to write songs, record, and produce in our Music Production Studio. Numerous college-credit courses included. Visit www.baysidehighschool.org for more information about college-credit courses.",,Music: Performance & Production,Open only to Queens students or residents,,Comprehensive college preparatory curriculum and guidance model.,3:40pm,,,,,,19,8:00am,132.0,15.0,,32-24 CORPORAL KENNEDY STREET,,,,,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball",,N/A - zoned program,
29Q259,Pathways College Preparatory School: A College Board School,,,,,0.52,,,Hollis,,11412,,,,,,,,,info@pathwaysprep.org,,,,,,,,0.88,,,,,,,,,,48% of offers went to this group,,41,,,,0.67,718-454-4957,,,,,,"Student Support: IVY Keys SAT Prep, Blended Learning; iLearn NYC: APEX and Edgenuity, IVY Keys SAT Prep, AVID, Advisory, PBIS, Regents Prep, Tutoring",2:30pm,,,,,,27,8:10am,,,,109-89 204TH STREET,,,,,"Basketball, Swimming",,,
