license_number,location,vehicle_safety_technology_used,serving_areas,borough,percent_hybrid_alt_fuel_vehicles,_24_hours,_2015_honor_roll_drivers,:@computed_region_yeji_bk3q,green_taxi_service,hosted_vision_zero_training,top_vehicle_models_2,year_base_opened,website,base_name
B01616,"{'latitude': '40.739709', 'longitude': '-73.890955'}",No,New York City,QUEENS   ,10.0,Not Reported,0.0,3.0,No,Yes,Toyota Camry,1997.0,,(SUNNYSIDE CAR SERVICE)
B00084,"{'latitude': '40.736268', 'longitude': '-73.916901'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,Yes,Chevrolet Suburban,1997.0,,
B01010,"{'latitude': '40.677492', 'longitude': '-74.006165'}",No,New York City,BROOKLYN ,36.0,Not Reported,0.0,2.0,Yes,No,Ford Escape,1997.0,,(COLUMBIA STREET CAR SERVICE)
B02634,"{'latitude': '40.86927', 'longitude': '-73.90281'}",No,New York City,,20.0,Not Reported,1.0,5.0,No,No,Lincoln Town Car,2013.0,,
B02824,"{'latitude': '40.605445', 'longitude': '-74.008379'}",No,New York City,BROOKLYN ,10.0,Not Reported,0.0,2.0,No,No,Hyundai Sonata,2015.0,,
B02724,"{'latitude': '41.046382', 'longitude': '-73.56163'}",No,New York City,,0.0,Yes,0.0,,No,No,Chevrolet Tahoe,2014.0,,(PRIME TIME GLOBAL)
B02414,"{'latitude': '40.758356', 'longitude': '-73.936101'}",No,New York City,QUEENS   ,56.0,Not Reported,0.0,3.0,Yes,No,Toyota Camry,2010.0,,
B01353,"{'latitude': '40.617534', 'longitude': '-74.03347'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,No,No,Lincoln Town Car,1997.0,,
B02716,"{'latitude': '40.745178', 'longitude': '-73.928076'}",No,New York City,QUEENS   ,0.0,Not Reported,0.0,3.0,No,Yes,,2014.0,,(CLIQCAR)
B01190,"{'latitude': '40.694109', 'longitude': '-73.95885'}",No,New York City,BROOKLYN ,10.0,Not Reported,0.0,2.0,Yes,No,Toyota Camry,1998.0,,
B02715,"{'latitude': '40.752365', 'longitude': '-73.9885'}",No,New York City,MANHATTAN,8.0,Not Reported,0.0,4.0,No,Yes,Toyota Avalon,2013.0,,
B00037,"{'latitude': '40.657261', 'longitude': '-73.95051'}",No,New York City,BROOKLYN ,4.0,Not Reported,0.0,2.0,No,No,Toyota Camry,1997.0,,
B02855,"{'latitude': '40.641619', 'longitude': '-73.96416'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,No,No,Chevrolet Impala,2015.0,,
B02410,"{'latitude': '40.778792', 'longitude': '-73.949371'}",No,New York City & the Tri-State Area,MANHATTAN,5.0,Not Reported,0.0,4.0,No,Yes,Lincoln Town Car,2010.0,{'url': 'http://www.pololimo.com'},
B02835,"{'latitude': '40.74844', 'longitude': '-73.93946'}",Yes,New York City,QUEENS   ,16.0,Yes,0.0,3.0,No,No,Toyota Highlander,2015.0,,(DREIST)
B02533,"{'latitude': '40.746697', 'longitude': '-73.926818'}",No,New York City,QUEENS   ,8.0,Not Reported,0.0,3.0,No,Yes,Honda Pilot Touring 4WD,2012.0,,
B01194,"{'latitude': '40.697777', 'longitude': '-73.926688'}",No,Brooklyn,BROOKLYN ,9.0,Not Reported,0.0,2.0,No,No,Toyota Camry,1998.0,,
B01938,"{'latitude': '40.717012', 'longitude': '-73.406118'}",No,New York City,,0.0,Not Reported,0.0,,No,No,Lincoln MKS,2001.0,,
B02864,"{'latitude': '40.75242', 'longitude': '-74.006218'}",Yes,New York City,MANHATTAN,12.0,Yes,0.0,4.0,No,No,Honda Accord,2015.0,,(SIEBEN)
B00227,"{'latitude': '40.754855', 'longitude': '-73.929205'}",No,New York City,QUEENS   ,2.0,Not Reported,2.0,3.0,No,No,Toyota Highlander,1999.0,,(TOWN CARS)
B00278,"{'latitude': '40.676416', 'longitude': '-73.984273'}",No,New York City,BROOKLYN ,0.0,Not Reported,1.0,2.0,No,Yes,Lincoln Town Car,1997.0,,
B01351,"{'latitude': '40.629082', 'longitude': '-73.98057'}",No,Brooklyn,BROOKLYN ,15.0,No,0.0,2.0,Yes,No,Ford Crown Victoria,2010.0,,
B00054,"{'latitude': '40.683921', 'longitude': '-73.813971'}",No,New York City,QUEENS   ,34.0,Not Reported,0.0,3.0,No,No,Lincoln Town Car,1997.0,,(LATCH CAR SERVICE)
B01923,"{'latitude': '40.647572', 'longitude': '-74.192462'}",Yes,New York City,,0.0,Not Reported,0.0,,No,No,Cadillac XTS,1985.0,{'url': 'http://WWW.DIVALIMO.COM'},
B00131,"{'latitude': '40.650545', 'longitude': '-74.0042'}",No,New York City,BROOKLYN ,18.0,Not Reported,0.0,2.0,Yes,No,Toyota Sienna,1997.0,,(AZTECA EXPRESS)
B01177,"{'latitude': '40.566361', 'longitude': '-74.10189'}",No,Staten Island and nearby locations,STATEN IS,0.0,Not Reported,0.0,1.0,No,No,Toyota Camry,2009.0,,(AA PDQ CAR & LIMO SERVICE)
B02408,"{'latitude': '40.758334', 'longitude': '-73.92795'}",No,New York City,QUEENS   ,4.0,Not Reported,1.0,3.0,No,Yes,Lincoln Town Car,2010.0,,
B02890,"{'latitude': '40.695191', 'longitude': '-73.93237'}",No,New York City,BROOKLYN ,0.0,Not Reported,0.0,2.0,No,No,Ford E350,2015.0,,
B00888,"{'latitude': '40.638477', 'longitude': '-73.983333'}",No,New York City,BROOKLYN ,20.0,Not Reported,1.0,2.0,No,No,Lincoln Town Car,2000.0,,
B00375,"{'latitude': '40.844708', 'longitude': '-73.90983'}",No,New York City,BRONX    ,17.0,Not Reported,0.0,5.0,Yes,Yes,Honda Accord,1997.0,,
B02111,"{'latitude': '40.763587', 'longitude': '-73.831238'}",No,New York City,QUEENS   ,6.0,Not Reported,1.0,3.0,No,No,Toyota Camry,2005.0,,(HUANG HOU CAR SERVICES)
