system_code,location_code,location_name,police_precinct,community_school_sup_name,grades_final_text,highschool_network_name,tier_2_support_location_name
21K288,K288,P.S. 288 The Shirley Tanyhill,60,"DIMOLA, ISABEL","PK,0K,01,02,03,04,05,06,07,08",,School Support Team 5- Brooklyn South
84K356,K356,Achievement First Crown Heights Charter School,71,,"0K,01,02,03,04,05,06,07,08,09,10,11,12",,
02M416,M416,Eleanor Roosevelt High School,19,,"09,10,11,12",HS Network 04 Superintendent Office,School Support Team 1- Manhattan
03M404,M404,Innovation Diploma Plus,20,,"09,10,11,12",HS Network 10 Superintendent Office,School Support Team 3- Affinity Group
18K233,K233,P.S. 233 Langston Hughes,67,"WILKINS, BEVERLY","PK,0K,01,02,03,04,05",,School Support Team 3- Brooklyn South
22K278,K278,J.H.S. 278 Marine Park,61,"BOVE, JULIA","06,07,08",,School Support Team 6- Brooklyn South
76K460,K460,John Jay Hs,78,Rosemary Stuart,"09,11,12",,
17K484,K484,Ronald Edmonds Learning Center II,73,"ELLIS, CLARENCE","06,07,08",,School Support Team 2- Brooklyn South
17K547,K547,Brooklyn Academy of Science and the Environment,71,,"09,10,11,12",HS Network 07 Superintendent Office,School Support Team 3- Affinity Group
84M204,M204,Capital Preparatory (CP) Harlem Charter School,23,,"06,07,08,09,10,11,12",,
