dbn,school_name,fax_number,prgdesc1,offer_rate8,eligibility10,school_email,seats9ge3,seats9swd3,website,interest4,council_district,grade9swdapplicants2,requirement1_1,code4,grade9geapplicantsperseat10,graduation_rate,requirement2_3,directions6,grade9geapplicants1,grade9geapplicantsperseat8,appperseat2specialized,seats9ge8,admissionspriority14,requirement2_8,seats105,grade9swdapplicantsperseat6,seats109,prgdesc4,psal_sports_coed,seats9ge2,directions7,grade9swdfilledflag9,applicants4specialized,campus_name,applicants2specialized,seats5specialized,offer_rate1,method2,appperseat6specialized,seats9ge10,community_board,requirement2_2,grade9gefilledflag7,code6,program2,method4,requirement8_1,school_10th_seats,applicants5specialized,eligibility2,prgdesc7,admissionspriority18,seats9swd9,directions1,admissionspriority35,seats9ge4,grade9swdapplicants9,grade9gefilledflag6
11X299,Astor Collegiate Academy,718-944-3638,Students are programmed to attend the July Summer STEM Program.,,,LCook3@schools.nyc.gov,,,astorcollegiate.com,,13.0,,,,,0.72,,,764.0,,,,,,,,,,,,,,,Christopher Columbus Educational Campus,,,-69% of offers went to this group,,,,11.0,,,,,,,Y,,,,,,,,,,
31R460,Susan E. Wagner High School,718-698-5213,This program is an interdisciplinary program that combines economic and business courses with hands-on work experience.,,,drabinowitz@schools.nyc.gov,27,7,www.wagnerhigh.net,Humanities & Interdisciplinary,50.0,93,Attendance,R17F,,0.85,"Course Grades: English (89-100), Social Studies (90-100)",,702.0,N/A - zoned program,,N/A - zoned program,Priority to Staten Island students or residents,,No,27.66666985,,"The goal of the Scholars' Academy is to provide students of outstanding ability and potential with an enriched program that emphasizes inquiry, critical thinking, and research skills.","Golf, Stunt",12,,,,,,,-100% of offers went to this group,Ed. Opt.,,,2.0,,Y,R17H,Air Force Junior Reserve Officers' Training Corps,Screened,,Y,,,"A comprehensive program that includes all aspects of theater. Courses include: acting, stage design, musical theater, directing, and playwriting courses. In addition to the annual spring musical, students may showcase their talents in S!NG, holiday and spring shows, and dramatic theater productions.",Guaranteed offer to students who apply and live in the zoned area,,,,81,,Y
07X522,Bronx Design and Construction Academy,718-402-4216,"Ninth graders will experience a rotation of the CTE concentrations through the CTE Survey course, which allows them to explore plumbing, electric, carpentry and HVAC. At the end of their 9th grade year, students will decide on one concentration to pursue for grades 10 through 12. As a result of their intense CTE training, students will have access to internships and work-based learning experiences during their 11th and 12th grade years.",,,acrowe@bxdca.org,,,schools.nyc.gov/SchoolPortals/07/X522,,17.0,67,Individual Interview (on-site),,,0.63,,,299.0,,,,,,,,,,,21,,,,Alfred E. Smith Educational Campus,,,-99% of offers went to this group,Ed. Opt.,,,1.0,,,,Architecture and Design,,,,,,,,,,,,,
09X413,Bronx High School for Medical Science,718-992-4129,,,,hsms@hsmedicalscience.org,,,schools.nyc.gov/SchoolPortals/09/X413,,16.0,,Attendance,,,0.95,,,1563.0,,,,,,,,,,Double Dutch,,,,,William Howard Taft Educational Campus,,,-27% of offers went to this group,,,,4.0,,,,,,,Y,,,,,,,,,,
05M670,Thurgood Marshall Academy for Learning and Social Change,212,College preparatory program that prepares students to be lifelong learners and good citizens while gaining cultural awareness and leading social change.,,,pamoakoa@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/05/M670,,9.0,,Attendance,,,0.77,,,536.0,,,,,,,,,,,,,,,,,,-27% of offers went to this group,,,,10.0,,,,,,,Y,,,,,,,,,,
02M412,N.Y.C. Lab School for Collaborative Studies,212-691-2147,Collaborative work and interdisciplinary projects; all courses are Honors or AP.,,,BJackso8@schools.nyc.gov,,,nyclabschool.org,,3.0,,Course Grades: Average (89-100),,,0.98,,,3019.0,,,,,,,,,,Golf,,,,,,,,-99% of offers went to this group,,,,4.0,,,,,,,Y,,,,,,,,,,
17K408,Academy of Hospitality and Tourism,718-564-2581,"Beginning in the ninth grade, students will receive three years of premiere culinary arts instruction through hands-on experience in our restaurant grade kitchen and dining room. Twelfth grade students will have obtained the skills and certifications necessary to earn paid internships with one of our industry partners.",,,smiller18@schools.nyc.gov,,,aohterasmus.org,,40.0,,,,,0.52,,,206.0,,,,,,,,,,"Double Dutch, Stunt",,,,,Erasmus Hall Educational Campus,,,,,,,14.0,,,,,,,Y,,,,,,,,,,
03M417,Frank McCourt High School,212-362-5926,,,,info@fmhsnyc.org,,,fmhsnyc.org,,6.0,,Attendance,,,0.9,,,1883.0,,,,,,,,,,,,,,,Louis D. Brandeis Educational Complex,,,,,,,7.0,,,,,,,Y,,,,,,"Students selected for an interview will be notified after online submission of a writing sample. Interviews are typically held at 4pm on Tuesday, Wednesday, and Thursday afternoons.",,,,
04M 555,Central Park East High School,212-860-6043,Priority is given to applicants eligible for Free Lunch for up to 63% of seats.,,,slisbon@schools.nyc.gov,,,centralparkeasths.org,,8.0,,Attendance,,,0.93,,,4998.0,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,Y,,,,,,,,,,
32K554,All City Leadership Secondary School,718-246-6509,"Participation in Advanced Placement courses will prepare students to enter college programs of medicine, teaching, engineering, and technology.",,,EEsteve@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/32/K554,,37.0,,,,,1.0,,,831.0,,,,,,,,,,,,,,,,,,-82% of offers went to this group,,,,4.0,,,,,,,,,,,,,,,,,
07X473,Mott Haven Village Preparatory High School,718-665-2363,A challenging college readiness program that prepares students for varied career choices.,,,mwilliams81@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/07/X473,,17.0,,,,,0.6,,,207.0,,,,,,,,,,"Double Dutch, Stunt",,,,,South Bronx Educational Campus,,,-2% of offers went to this group,,,,1.0,,,,,,,,,,,,,,,,,
24Q236,International High School for Health Sciences,718-595-8605,,,,cfinney2@schools.nyc.gov,,,ihshealthsciences.org,,25.0,,,,,,,,340.0,,,,,,,,,,Cricket,,,,,Newtown Educational Campus,,,-100% of offers went to this group,,,,4.0,,,,,,,Y,,,,,,,,,,
28Q310,Queens Collegiate: A College Board School,718-658-5149,"Students are offered a well-rounded education that includes arts (theater, music, or visual art) each year throughout high school. We also offer numerous Advanced Placement courses and academic intervention to ensure each child's needs are met.",,,MrErskine@queenscollegiate.org,,,schools.nyc.gov/SchoolPortals/28/Q310,,24.0,,,,,0.77,,,408.0,,,,,,,,,,"Cricket, Double Dutch, Golf, Stunt",,,,,Jamaica Educational Campus,,,-46% of offers went to this group,,,,8.0,,,,,,,,,,,,,,,,,
03M403,The Global Learning Collaborative,212-877-1138,,,,casillas@theglcnyc.org,,,theglcnyc.org,,6.0,,,,,0.8,,,498.0,,,,,,,,,,,,,,,Louis D. Brandeis Educational Complex,,,-38% of offers went to this group,,,,7.0,,,,,,,,,,,,,,,,,
02M288,Food and Finance High School,212-586-4205,Focuses on Culinary Arts in cooking and baking and the financial aspects related to the industry.,,,cmercado4@schools.nyc.gov,,,foodfinancehs.org,,3.0,,,,,0.88,,,1431.0,,,,,,,,,,,,,,,Park West Educational Campus,,,-100% of offers went to this group,,,,4.0,,,,,,,Y,,,,,,,,,,
28Q690,High School for Law Enforcement and Public Safety,718-977-4802,"Challenging standards-driven academic program. In collaboration with the school community and various partners, students will be introduced to careers in law enforcement and public safety.",,,Hsleaps2014@gmail.com,,,schools.nyc.gov/SchoolPortals/28/Q690,,28.0,,Attendance,,,0.81,,,536.0,,,,,,,,,,Double Dutch,,,,,,,,-97% of offers went to this group,,,,12.0,,,,,,,,,,,,,,,,,
28Q167,Metropolitan Expeditionary Learning School,718-286-3501,,,,metropolitanels@gmail.com,,,metropolitanels.com,,29.0,,,,,1.0,,,1550.0,,,,,,,,,,Stunt,,,,,Metropolitan Educational Campus,,,-88% of offers went to this group,,,,6.0,,,,,,,,,,,,,,,,,
13K483,The Urban Assembly School for Law and Justice,718-858-4733,"Law and justice are the lenses through which subject matter is viewed and academic skills are developed. Our theme reflects our conviction that educating is in itself an act of social justice, and that learning can be amplified when done through the lens of the law.",,,mharris@sljhs.org OR smelo@sljhs.org,,,sljhs.org,,33.0,,,,,0.94,,,1125.0,,,,,,,,,,,,,,,,,,-99% of offers went to this group,,,,2.0,,,,,,,Y,,,,,,,,,,
27Q475,Richmond Hill High School,718-847-0980,"Our Academy of Hospitality and Tourism helps students develop career paths in some of the world's largest industries, from hotels to sports, to entertainment and event management. In partnership with NAF (National Academy Foundation) students gain critical career knowledge through a series of work-based learning activities including job shadowing, mock interviews, and paid internships.",,,contact@richmondhillhs.org,N/A - zoned program,N/A - zoned program,richmondhillhs.org,,28.0,58,,,,0.64,,,438.0,,,,,,,,,,"Cricket, Golf",67,,,,,,,-93% of offers went to this group,Screened,,,9.0,"Course Grades: Math (65-100), Science (55-100)",,,Criminology and Forensics Institute (CFI),,,Y,,,,,,,,,,
02M507,!Urban Assembly Gateway School for Technology,212-246-2654,"Digital Design & Animation, Information Technology & Systems, Software Engineering.",,,admissions@uagateway.org,,,uagateway.org,,3.0,,,,,0.91,,,1304.0,,,,,,,,,,,,,,,Graphics Educational Campus,,,-55% of offers went to this group,,,,4.0,,,,,,,,,,,,,,,,,
15K667,Sunset Park High School,718-840-1925,"Through our partnership with the Institute for Student Achievement, we are a college-preparatory school. Part of our mission is to ensure all students graduate within four years having choices in post-secondary educational options that best match their short and long term career goals. We are unwavering in accomplishing this in an inclusive environment undergirded by our core values of equity, community and collaboration. Learner-led, inquiry learning is the way we see all students grow.",,,tnesbit-leslie@sunsetparkhighschool.org,,,sunsetparkhighschool.org,,38.0,,,,,0.68,,,647.0,,,,,,,,,,,,,,,,,,-75% of offers went to this group,,,,7.0,,,,,,,Y,,,,,,,,,,
1 4K558,Williamsburg High School for Architecture and Design,718-486-2580,"Students engage in a distinctive course of study that promotes both creative thought and technical proficiency. Students learn the principles of design and are encouraged to articulate and defend their creative decisions, then learn industry methodologies to draft, communicate, and render physical prototypes of their designs. This joint ability to both create and build has made our students highly desirable for paid internships with industry partners. Priority is given to applicants eligible for Free Lunch for up to 63% of seats.",,,chu@whsad.org,,,WHSAD.org,,33.0,,,,,0.94,,,1033.0,,,,,,,,,,,,,,,Harry Van Arsdale Educational Campus,,,-53% of offers went to this group,,,,1.0,,,,,,,,,,,,,,,,,
31R455,Tottenville High School,718-317-0962,"The Marine Corps JROTC program is co-sponsored by the Department of Education and the US Marine Corps. The curriculum is divided into three areas: academic, military, and physical fitness and is designed to provide students with a sense of leadership and self-discipline.",,,31R455@schools.nyc.gov,54,14,www.tottenvillehs.net,Zoned,51.0,31,,R30Z,,0.88,Punctuality,,174.0,,,,Guaranteed offer to students who apply and live in the zoned area.,,,,,A comprehensive academic college preparatory program.,Golf,54,,,,,,,,Screened,,,3.0,Punctuality,,,Classics Institute,Zoned Guarantee,,Y,,,,,,,,N/A - zoned program,,
29Q327,Eagle Academy for Young Men III,718-480-2610,,,,eagleacademy3@gmail.com,,,schools.nyc.gov/SchoolPortals/29/Q327,,27.0,,,,,,,,161.0,,,,,,,,,,,,,,,,,,-27% of offers went to this group,,,,12.0,,,,,,,Y,,,,,,,,,,
11X545,Bronx Aerospace High School,718-696-6030,Qualifying students will be admitted into our Aviation Program. Accepted students will learn about the engineering and aerodynamics behind flying aircrafts. Students will attend Vaughn College for Aeronautics to complete Ground School and earn college credits while preparing to pass the FAA Written Exam. Students will have access to the FMX REDBIRD Flight Simulator to begin flight training in addition to logging flight hours that can be applied towards their Private Pilot's License.,,,ehurtado@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/11/X545,,12.0,,,,,0.71,,,311.0,,,,,,,,,,,,,,,Evander Childs Educational Campus,,,-3% of offers went to this group,,,,12.0,,,,,,,Y,,,,,,,,,,
28Q350,Jamaica Gateway to the Sciences,718-480-2697,,,,cbirchw@schools.nyc.gov,,,jamaicagateway.org,,24.0,,Demonstrated Interest: School Visit,,,0.91,,,1388.0,,,,,,,,,,"Cricket, Double Dutch, Golf, Stunt",,,,,Jamaica Educational Campus,,,-99% of offers went to this group,,,,8.0,,,,,,,,,,,,,"Email school counselor Dennis Tai, wtai@schools.nyc.gov",,,,
02M534,Harvest Collegiate High School,@212-242-4173,Priority is given to applicants eligible for Free Lunch for up to 63% of seats.,,,info@harvestcollegiate.org,,,harvestcollegiate.org,,3.0,,,,,0.9,,,1851.0,,,,,,,,,,,,,,,,,,-65% of offers went to this group,,,,2.0,,,,,,,Y,,,,,,,,,,
02M418,Millennium High School,212-825-9095,Comprehensive interdisciplinary liberal arts program with many opportunities for honors and AP courses; Thesis paper in grade 12.,,,admissions@millenniumhs.org,,,millenniumhs.org,,1.0,,Attendance,,,0.99,,,6017.0,,,,,,,,,,Stunt,,,,,,,,-61% of offers went to this group,,,,1.0,,,,,,,Y,,,,,,,,,,
24Q455,Newtown High School,718-699-8584,"Electronic Information Processing, Desktop Publishing, Web Page Design, e-commerce, and Microsoft Office certification training.",,,77Q455@schools.nyc.gov,25,5,newtownhighschool.org,Zoned,25.0,78,,Q34Z,,0.71,Punctuality,,247.0,,,,Priority to students who apply and live in the zoned area,,,,,"Students may take courses offered in the specialized programs, all academic departments, all elective departments, AP classes, CUNY College Now classes, and Extended Day and Saturday classes.",Cricket,91,,,,Newtown Educational Campus,,,,Screened,,,4.0,Punctuality,,,Pre-Engineering & Computer Technology,Zoned Priority,,Y,,Open only to Queens students or residents,,,,,,N/A - zoned program,,
21K337&,International High School at Lafayette,718-333-7861,,,,jharrim@schools.nyc.gov,,,schools.nyc.gov/SchoolPortals/21/K337,,47.0,,,,,0.67,,,208.0,,,,,,,,,,Cricket,,,,,Lafayette Educational Campus,,,,,,,13.0,,,,,,,Y,,,,,,,,,,
31R440,New Dorp High School,718-987-4889,"This is a teacher preparatory program that encompasses Life Cycles, where the student learns about intellectual growth of young children; Teaching Methodology, where the student learns about classroom management and lesson planning; Technology in the Classroom; and Child Development, which is college-credited through Saint John's University. A student-teaching internship is required in the senior year, where the students work in classrooms in local schools.",-100% of offers went to this group,,cgannon@schools.nyc.gov,54,14,www.newdorphs.org,Health Professions,50.0,116,Demonstrated Interest: School Visit,R20F,,0.81,,,295.0,9.962963104,,54,Priority to Staten Island students or residents,,No,6.5,Yes,"This is a rigorous program that will prepare students for college as well as a career in the health care profession. As a member of the Institute of Health Sciences, students will develop academic and practical skills that will enable them to be successful learners in a diverse society. Some of the potential careers may include athletic training and physical therapy. Senior internships will focus on physical therapy, sports rehabilitation and assessing human movement.","Golf, Stunt",54,,N/A - zoned program,,,,,-99% of offers went to this group,Ed. Opt.,,,2.0,,Y,R20P,Law Institute & AFJROTC,Ed. Opt.,,Y,,,"This STEM program incorporates Pre-Professional Honors Program and Advanced Placement courses which help students master critical thinking, problem solving and independent investigative research skills so that they are ready for colleges and a variety of careers in medical science, computer science, robotics, mathematics and engineering. In addition, students will participate in leadership development, internships, regional and national competitions, professional conferences, and field trips.",Priority to Staten Island students or residents,N/A - zoned program,,,54,N/A - zoned program,Y
26Q415,Benjamin N. Cardozo High School,718-631-7880,"This program is dedicated to fostering interest in the legal field. Open to wide range of academic performance levels. Students will engage in a sequence of history courses in topics including civil, criminal, and constitutional law. They will also participate in activities such as Mock Trial, NYPD Explorers and law internships.",,,Mcolby@schools.nyc.gov,101,19,cardozohigh.com,Performing Arts,,197,,Q16K,,0.89,"Course Grades: Math (90-100), Science (90-100)",,3862.0,,,,,,Yes,,,"Students study ballet, modern, and jazz techniques along with choreography. Students also have the opportunity to explore additional forms of dance by attending live performances and participating in school productions.","Golf, Stunt",93,,,,,,,,Limited Unscreened,,,,,,,School of Journalism and Media Studies,Audition,,Y,,Open only to Queens students or residents,,,,,,51,,
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",718-472-9117,"Opportunities in the arts, career education, athletics, college classes, trips, and conferences.",,,svu@schools.nyc.gov,,,www.rfwagner.org,,26.0,N/A - continuing program,Group Interview,,,0.87,,,919.0,,,,,,,,,,Golf,N/A - continuing program,,,,,,,-95% of offers went to this group,For Continuing 8th Graders,,,2.0,,,,Arts and Technology for Current Students,,,Y,,Open only to continuing 8th graders,,,,,,,,
