brooklyn_condominiums_comparable_properties_condo_section,brooklyn_condominiums_comparable_properties_address,comparable_rental_3_total_units,brooklyn_condominiums_comparable_properties_year_built,comparable_rental_2_boro_block_lot,comparable_rental_3_building_classification,brooklyn_condominiums_comparable_properties_estimated_expense,comparable_rental_2_year_built,comparable_rental_1_market_value_per_sqft,brooklyn_condominiums_comparable_properties_total_units,comparable_rental_1_expense_per_sqft,comparable_rental_1_net_operating_income,comparable_rental_1_year_built,comparable_rental_3_gross_income_per_sqft,comparable_rental_2_building_classification,brooklyn_condominiums_comparable_properties_building_classification,comparable_rental_2_total_units,comparable_rental_2_estimated_expense,comparable_rental_3_net_operating_income,brooklyn_condominiums_comparable_properties_net_operating_income
0942-R1,555 FLUSHING AVENUE,29,2003.0,3-02424-0016,D9-ELEVATOR,141292,1915.0,43.52,14,13.3,178498,1920,21.45,D9-ELEVATOR,R4-CONDOMINIUM,24.0,229306.0,"227,847",203322
2158-R1,457 ATLANTIC AVENUE, ,,3-00268-0039, ,121834,1900.0,78.91,21,8.35,298688,1900, ,D9-ELEVATOR,R4-CONDOMINIUM,32.0,195029.0, ,286458
2913-R1,1725 STILLWELL AVENUE, ,2008.0,3-06449-0001, ,158382,1926.0,76.61,24,5.54,477360,1929, ,C1-WALK-UP,R4-CONDOMINIUM,44.0,214364.0, ,369558
1837-R1,2784 EAST 12 STREET,52,2006.0,3-01251-0001,D9-ELEVATOR,114117,1910.0,101.43,14,12.7,225645,1912,19.53,D9-ELEVATOR,R4-CONDOMINIUM,80.0,890581.0,"449,004",164217
1316-R1,1811 AVENUE P,62,2004.0,3-06784-0012,D1-ELEVATOR,112289,2006.0,46.76,10,7.17,201230,1963,19.62,D1-ELEVATOR,R4-CONDOMINIUM,13.0,36686.0,"235,351",137258
2043-R1,525 LEFFERTS AVENUE, ,2006.0,3-04694-0038, ,129097,1925.0,23.23,13,8.63,103926,1948, ,C1-WALK-UP,R4-CONDOMINIUM,27.0,114838.0, ,193645
2191-R1,1773 EAST 19 STREET, ,2006.0,3-05079-0019, ,88320,1912.0,63.77,8,8.88,1157178,1974, ,D9-ELEVATOR,R4-CONDOMINIUM,16.0,204184.0, ,128736
2663-R1,173 SKILLMAN STREET,23,2010.0,3-01852-0025,C1-WALK-UP,101050,1900.0,41.2,12,8.38,126148,1900,14.23,C1-WALK-UP,R2-CONDOMINIUM,16.0,96109.0,"155,053",179052
0178-R1,562 BEDFORD AVENUE,29,1920.0,3-02421-0035,D9-ELEVATOR,1068161,1915.0,48.18,66,7.92,204336,1925,21.45,D9-ELEVATOR,R4-CONDOMINIUM,29.0,322483.0,"227,847",909915
0883-R1,1250 42 STREET, ,2003.0,3-05351-0008, ,55424,1930.0,65.31,3,9.69,73628,1931, ,C1-WALK-UP,R2-CONDOMINIUM,20.0,131815.0, ,60608
1386-R1,42 SKILLMAN STREET, ,2004.0,3-01914-0135, ,189915,2005.0,73.35,20,8.03,264977,2005, ,D3-ELEVATOR,R4-CONDOMINIUM,18.0,206197.0, ,273292
0733-R1,35 HEYWARD STREET,24,,3-02424-0006,D9-ELEVATOR,234987,1920.0,45.13,12,11.74,227847,1915,22.58,D9-ELEVATOR,R4-CONDOMINIUM,29.0,320801.0,"203,057",234986
1349-R1,107 SKILLMAN STREET,29,2004.0,3-02424-0012,D9-ELEVATOR,184069,1915.0,51.84,12,11.07,277159,1912,21.45,D9-ELEVATOR,R4-CONDOMINIUM,30.0,283683.0,"227,847",264880
1132-R1,202 DIVISION AVENUE,29,1998.0,3-02421-0035,D9-ELEVATOR,134277,1915.0,48.18,12,7.92,204336,1925,24.64,D9-ELEVATOR,R4-CONDOMINIUM,29.0,322483.0,"277,159",164117
2557-R1,1835 EAST 14 STREET, ,2005.0,3-08792-0063, ,54150,2004.0,63.77,7,8.88,1157178,1974, ,D6-ELEVATOR,R4-CONDOMINIUM,55.0,508209.0, ,121505
2687-R1,273 MANHATTAN AVENUE,29,2007.0,3-02412-0027,D9-ELEVATOR,131281,1920.0,42.18,14,9.76,197187,1915,20.70,D9-ELEVATOR,R4-CONDOMINIUM,25.0,388575.0,"178,498",154772
1009-R1,45 SOUTH 8 STREET,20,,3-02408-0038,D9-ELEVATOR,149452,1907.0,95.17,14,13.6,166243,1906,22.13,D9-ELEVATOR,R4-CONDOMINIUM,11.0,132139.0,"230,182",182664
1360-R1,111 SKILLMAN STREET,71,2003.0,3-02424-0035,D9-ELEVATOR,146605,1915.0,51.8,12,13.38,237661,1915,18.79,D9-ELEVATOR,R4-CONDOMINIUM,29.0,275528.0,"417,651",210967
1597-R1,570 7 STREET,16,1900.0,3-01089-0001,C1-WALK-UP,119066,1905.0,117.34,15,10.05,172459,1905,22.95,C1-WALK-UP,R2-CONDOMINIUM,32.0,309216.0,"171,869",145526
1215-R1,105 KINGS HIGHWAY,55,2003.0,3-08693-0012,D1-ELEVATOR,313932,1983.0,62.58,19,10.8,449004,1991,13.13,D9-ELEVATOR,R4-CONDOMINIUM,154.0,1054800.0,"264,103",340092
0377-R1,207 PROSPECT PARK SOUTHWE, ,1990.0,3-01164-0035, ,277343,1915.0,60.5,35,7.65,210394,1940, ,D1-ELEVATOR,R4-CONDOMINIUM,20.0,102867.0, ,264150
1982-R1,483 WASHINGTON AVENUE,26,,3-02104-0008,D9-ELEVATOR,128077,1927.0,110.9,16,13.03,1102334,1982,15.26,D9-ELEVATOR,R4-CONDOMINIUM,71.0,409988.0,"184,684",152152
2261-R1,783 BEDFORD AVENUE,22,2008.0,3-02424-0006,D9-ELEVATOR,176659,1920.0,45.13,12,11.74,227847,1915,19.48,D9-ELEVATOR,R4-CONDOMINIUM,29.0,320801.0,"197,187",199212
1652-R1,297 DRIGGS AVENUE,20,2007.0,3-02408-0007,D9-ELEVATOR,82422,1912.0,49.14,14,15.3,102967,1911,22.13,D9-ELEVATOR,R4-CONDOMINIUM,21.0,237872.0,"230,182",118607
1874-R1,417 HART STREET,16,2005.0,3-01970-0001,C1-WALK-UP,149916,1930.0,75.4,16,7.63,198472,2007,19.49,C1-WALK-UP,R2-CONDOMINIUM,20.0,142174.0,"157,068",173160
0983-R1,59 THROOP AVENUE,35,2002.0,3-02425-0029,D9-ELEVATOR,161973,1917.0,69.33,15,16.66,332170,1916,18.83,D9-ELEVATOR,R4-CONDOMINIUM,29.0,376742.0,"255,225",197967
0689-R1,1153 42 STREET, ,1998.0,3-05608-0011, ,52035,1923.0,66.67,3,8.35,138640,1924, ,C1-WALK-UP,R2-CONDOMINIUM,36.0,383499.0, ,48984
0380-R1,3145 BRIGHTON 4 STREET, ,1929.0,3-08709-0072, ,748101,1931.0,49.07,97,8.61,624405,1932, ,D1-ELEVATOR,R9-CONDOMINIUM,96.0,659232.0, ,626706
1495-R1,2511 OCEAN AVENUE,60,2005.0,3-05186-0038,D9-ELEVATOR,267205,1915.0,58.75,25,8.79,1143600,1983,10.59,D9-ELEVATOR,R4-CONDOMINIUM,48.0,346061.0,"446,289",250971
2160-R1,462 52 STREET,102,2006.0,3-05872-0071,D1-ELEVATOR,83198,1928.0,49.17,18,7.7,260334,1911,16.19,D1-ELEVATOR,R4-CONDOMINIUM,118.0,647031.0,"674,929",91962
0455-R1,249 HULL STREET,16,1900.0,3-03466-0038,C1-WALK-UP,348353,1925.0,37.43,40,6.93,78211,1910,12.18,C7-WALK-UP,R2-CONDOMINIUM,23.0,118620.0,"67,134",334693
2350-R1,378 BALTIC STREET,94,2007.0,3-00407-0026,D7-ELEVATOR,204609,2006.0,68.85,36,8.9,955718,1985,23.34,D1-ELEVATOR,R4-CONDOMINIUM,56.0,321025.0,"1,177,623",379988
1369-R1,858 BEDFORD AVENUE,35,,3-02424-0006,D9-ELEVATOR,114320,1920.0,45.13,10,11.74,227847,1915,18.83,D9-ELEVATOR,R4-CONDOMINIUM,29.0,320801.0,"255,225",164509
1543-R1,84 FRONT STREET, ,2006.0,, ,473819,,110.65,56,8.16,734254,1920, , ,R4-CONDOMINIUM,,, ,880861
1305-R1,430 CLINTON AVENUE,71,1930.0,3-02108-0021,D9-ELEVATOR,337557,1900.0,110.9,48,13.03,1102334,1982,18.79,D9-ELEVATOR,R4-CONDOMINIUM,35.0,226573.0,"417,651",398827
2291-R1,630 METROPOLITAN AVENUE,24,2007.0,3-02412-0033,D9-ELEVATOR,63260,1919.0,39.95,10,8.91,200194,1920,24.70,D9-ELEVATOR,R4-CONDOMINIUM,24.0,228216.0,"270,025",80010
0338-R1,260 LINDEN BOULEVARD, ,,3-04871-0052, ,359699,1926.0,37.62,58,9.16,226548,1926, ,C1-WALK-UP,R2-CONDOMINIUM,70.0,324469.0, ,441230
0070-R1,2108 DORCHESTER ROAD,16,1912.0,3-05186-0034,C1-WALK-UP,433440,1917.0,29.85,48,6.49,100178,1931,13.14,C1-WALK-UP,R4-CONDOMINIUM,20.0,144536.0,"85,838",420840
1865-R1,2882 WEST 15 STREET, ,2007.0,3-05186-0038, ,126284,1915.0,58.75,10,8.79,1143600,1983, ,D9-ELEVATOR,R4-CONDOMINIUM,48.0,346061.0, ,106939
0665-R1,29 TIFFANY PLACE,35,1930.0,3-00171-0049,D9-ELEVATOR,713427,1930.0,141.86,71,9.94,162525,1900,19.35,D1-ELEVATOR,R4-CONDOMINIUM,60.0,261107.0,"298,688",1026640
1056-R1,38 SKILLMAN STREET,71,2004.0,3-02413-0031,D9-ELEVATOR,101165,1915.0,43.52,10,13.3,178498,1920,18.79,D9-ELEVATOR,R4-CONDOMINIUM,22.0,198149.0,"417,651",145578
1550-R1,57 MASPETH AVENUE,25,2004.0,3-02412-0025,D9-ELEVATOR,179040,1920.0,42.18,17,9.76,197187,1915,21.08,D9-ELEVATOR,R2-CONDOMINIUM,22.0,177309.0,"218,542",257643
1407-R1,2421 OCEAN AVENUE, ,,3-07404-0020, ,131801,1963.0,63.77,12,8.88,1157178,1974, ,D1-ELEVATOR,R4-CONDOMINIUM,106.0,784572.0, ,161361
1010-R1,41 SOUTH 8 STREET,21,,3-02408-0014,D9-ELEVATOR,185250,1905.0,95.17,14,13.6,166243,1906,20.00,D9-ELEVATOR,R4-CONDOMINIUM,24.0,264301.0,"230,180",179174
2127-R1,50 BAYARD STREET,11,1900.0,3-02409-0008,D9-ELEVATOR,534141,1915.0,49.14,48,15.3,102967,1911,19.39,D9-ELEVATOR,R4-CONDOMINIUM,24.0,231687.0,"127,891",652838
0867-R1,42 BROADWAY,7,2000.0,3-02417-0041,C1-WALK-UP,380198,2005.0,148.4,31,3.56,171775,2001,10.62,C1-WALK-UP,R2-CONDOMINIUM,7.0,37636.0,"56,746",547113
1426-R1,55 BERRY STREET,22,1900.0,3-02412-0027,D9-ELEVATOR,504448,1920.0,48.37,45,14.63,107927,1915,18.97,D9-ELEVATOR,R4-CONDOMINIUM,25.0,388575.0,"200,194",488572
2382-R1,282 21 STREET,33,2008.0,3-00899-0022,D1-ELEVATOR,103185,2002.0,113.61,10,4.23,330865,2010,34.01,D9-ELEVATOR,R4-CONDOMINIUM,22.0,182511.0,"638,596",122961
1771-R1,4 WATER STREET,68,2007.0,3-00171-0049,D3-ELEVATOR,154655,1930.0,92.95,13,5.79,366768,2002,34.85,D1-ELEVATOR,R4-CONDOMINIUM,60.0,261107.0,"1,246,599",287416
1703-R1,206 FRONT STREET,23,2006.0,3-00042-0018,D5-ELEVATOR,232506,2002.0,30.71,31,9.55,316260,2009,24.75,D8-ELEVATOR,R4-CONDOMINIUM,26.0,164180.0,"759,244",546406
1564-R1,176 SOUTH 4 STREET,20,2005.0,3-02409-0015,D9-ELEVATOR,100827,1911.0,67.4,9,9.85,127891,1907,22.13,D9-ELEVATOR,R4-CONDOMINIUM,24.0,221366.0,"230,182",125805
2462-R1,597 OCEAN PARKWAY, ,2008.0,3-06264-0029, ,386093,1991.0,52.26,44,16.34,390592,1910, ,D9-ELEVATOR,R4-CONDOMINIUM,52.0,555180.0, ,550630
0379-R1,86 MESEROLE AVENUE, ,1910.0,3-02715-0007, ,119321,1920.0,90.08,15,11.22,160580,1930, ,C1-WALK-UP,R2-CONDOMINIUM,16.0,106743.0, ,134554
1139-R5,104 SPENCER STREET,35,2003.0,3-02424-0014,D9-ELEVATOR,71205,1915.0,40.61,5,9.97,201966,1915,15.84,D9-ELEVATOR,R4-CONDOMINIUM,24.0,305900.0,"204,336",76001
1019-R1,51 LORIMER STREET,29,2003.0,3-02140-0013,D1-ELEVATOR,225418,1910.0,79.15,16,10.36,567889,2009,21.03,D7-ELEVATOR,R4-CONDOMINIUM,26.0,279040.0,"242,876",264621
1303-R1,1642 WEST 9 STREET, ,2004.0,3-07023-0021, ,163239,2005.0,62.58,21,10.8,449004,1991, ,D1-ELEVATOR,R4-CONDOMINIUM,41.0,337149.0, ,199453
1058-R1,79 BRIDGE STREET,35,1920.0,3-00263-0044,D9-ELEVATOR,232998,1900.0,113.08,37,6.57,614045,1930,19.35,D9-ELEVATOR,R4-CONDOMINIUM,18.0,112744.0,"298,688",547565
1956-R1,242 GREENE AVENUE,16,1930.0,3-01892-0061,C1-WALK-UP,120553,1946.0,98.7,13,5.78,297446,2005,17.89,C1-WALK-UP,R2-CONDOMINIUM,26.0,215155.0,"128,744",287201
1109-R1,392 14 STREET, ,2001.0,, ,107122,,78.93,24,11.25,221650,1931, , ,R4-CONDOMINIUM,,, ,174779
2277-R1,41 MELROSE STREET, ,2006.0,3-03374-0026, ,100546,1913.0,134.39,16,5.32,280244,1931, ,C1-WALK-UP,R2-CONDOMINIUM,12.0,160475.0, ,138849
1367-R1,3429 GUIDER AVENUE,52,,3-01251-0001,D9-ELEVATOR,73322,1910.0,101.43,6,12.7,225645,1912,19.53,D9-ELEVATOR,R4-CONDOMINIUM,80.0,890581.0,"449,004",105513
0232-R2,387 ADELPHI STREET, ,,3-02096-0014, ,157792,1931.0,87.82,16,10.26,205131,1930, ,C1-WALK-UP,R2-CONDOMINIUM,16.0,256419.0, ,227812
1442-R1,2012 JEROME AVENUE, ,2006.0,3-05079-0019, ,244645,1912.0,62.58,12,10.8,449004,1991, ,D9-ELEVATOR,R4-CONDOMINIUM,16.0,204184.0, ,353520
1376-R1,532 BROADWAY,30,,3-02425-0029,D9-ELEVATOR,825167,1917.0,68.59,35,16.56,350455,1915,30.80,D9-ELEVATOR,R4-CONDOMINIUM,29.0,376742.0,"332,170",825167
0644-R1,443 4 STREET, ,,3-01097-0067, ,29930,1920.0,210.21,2,12.91,133513,1925, ,C1-WALK-UP,R2-CONDOMINIUM,16.0,72779.0, ,42128
1246-R1,150 MIDDLETON STREET,11,2004.0,3-02264-0063,D1-ELEVATOR,190131,2004.0,116.0,14,14.76,464597,1931,26.36,D9-ELEVATOR,R4-CONDOMINIUM,20.0,164161.0,"93,800",273604
0872-R1,580 WYTHE AVENUE,24,,3-02409-0009,D9-ELEVATOR,751461,1915.0,78.01,68,11.25,230182,1905,21.45,D9-ELEVATOR,R4-CONDOMINIUM,24.0,231550.0,"107,927",1037533
0022-R2,1840 52 STREET,16,1927.0,3-01042-0059,D9-ELEVATOR,383460,2002.0,53.46,28,4.55,582806,1900,10.27,D1-ELEVATOR,R4-CONDOMINIUM,24.0,178463.0,"60,040",352584
2445-R1,556 5 AVENUE,35,2007.0,3-00171-0049,D9-ELEVATOR,62673,1930.0,110.9,8,13.03,1102334,1982,19.35,D1-ELEVATOR,R4-CONDOMINIUM,60.0,261107.0,"298,688",83143
1077-R1,90 MIDDLETON STREET,29,2002.0,3-02140-0013,D1-ELEVATOR,130169,1910.0,79.15,17,10.36,567889,2009,21.03,D7-ELEVATOR,R4-CONDOMINIUM,26.0,279040.0,"242,876",187317
2055-R1,2388 OCEAN AVENUE, ,,3-06783-0055, ,107029,2006.0,19.3,21,4.52,203137,2010, ,D1-ELEVATOR,R4-CONDOMINIUM,12.0,75072.0, ,307354
2572-R1,4602 6 AVENUE, ,2008.0,3-01281-0027, ,78442,1915.0,141.86,9,9.94,162525,1900, ,D9-ELEVATOR,R4-CONDOMINIUM,16.0,135050.0, ,113168
2849-R1,5 ROEBLING STREET, ,2008.0,3-02317-0001, ,259407,2008.0,140.77,20,11.53,786921,2006, ,D3-ELEVATOR,R4-CONDOMINIUM,11.0,155225.0, ,299180
2103-R1,84 ENGERT AVENUE,22,2005.0,3-02412-0027,D9-ELEVATOR,159065,1920.0,39.95,16,8.91,200194,1920,19.48,D9-ELEVATOR,R4-CONDOMINIUM,25.0,388575.0,"197,187",228899
2072-R1,18 LYNCH STREET,29,2006.0,3-02424-0012,D9-ELEVATOR,167845,1915.0,43.52,14,13.3,178498,1920,21.45,D9-ELEVATOR,R4-CONDOMINIUM,30.0,283683.0,"227,847",273852
1294-R1,74 SPENCER STREET,29,2003.0,3-02424-0035,D9-ELEVATOR,102778,1915.0,51.8,12,13.38,237661,1915,20.70,D9-ELEVATOR,R4-CONDOMINIUM,29.0,275528.0,"178,498",147899
1721-R1,25 MESEROLE STREET,11,2006.0,3-03031-0015,C1-WALK-UP,81307,1930.0,94.67,16,8.13,48322,1930,37.18,C1-WALK-UP,R2-CONDOMINIUM,12.0,34435.0,"63,905",104670
2021-R1,415 LEONARD STREET,20,2006.0,3-02409-0015,D9-ELEVATOR,519896,1911.0,48.89,54,11.95,203057,1919,22.13,D9-ELEVATOR,R4-CONDOMINIUM,24.0,221366.0,"230,182",635429
1862-R1,2570 EAST 17 STREET, ,2005.0,3-08786-0029, ,76376,1982.0,56.99,16,9.11,102086,1982, ,C1-WALK-UP,R4-CONDOMINIUM,16.0,90652.0, ,167267
2304-R1,131 JACKSON STREET,41,2008.0,3-03044-0029,C1-WALK-UP,297144,1930.0,93.24,24,8.5,285983,1931,23.41,C1-WALK-UP,R2-CONDOMINIUM,39.0,159764.0,"326,486",363176
1422-R1,70 WASHINGTON STREET, ,1916.0,3-00171-0001, ,3111750,2005.0,108.36,259,11.38,3635565,2003, ,D1-ELEVATOR,R4-CONDOMINIUM,158.0,2075059.0, ,3803250
1288-R1,354 2 STREET,18,2004.0,3-00268-0039,D9-ELEVATOR,202369,1900.0,113.08,30,6.57,614045,1930,31.36,D9-ELEVATOR,R4-CONDOMINIUM,32.0,195029.0,"196,915",475583
1052-R1,544 5 AVENUE, ,1925.0,3-01029-0015, ,202607,1925.0,116.5,18,7.78,287875,1914, ,C1-WALK-UP,R2-CONDOMINIUM,20.0,198211.0, ,290715
1816-R1,2381 OCEAN AVENUE, ,2006.0,3-07321-0066, ,216514,1960.0,70.0,22,3.91,260928,2006, ,D1-ELEVATOR,R4-CONDOMINIUM,65.0,362463.0, ,264628
0939-R1,547 FLUSHING AVENUE,39,2001.0,3-02183-0058,D9-ELEVATOR,141581,1925.0,30.62,14,6.58,130890,1920,39.54,D9-ELEVATOR,R4-CONDOMINIUM,35.0,204336.0,"464,597",203803
1500-R1,34 BUTLER PLACE, ,2005.0,3-01173-0043, ,348387,1911.0,132.34,48,9.95,285787,1910, ,C1-WALK-UP,R2-CONDOMINIUM,20.0,185959.0, ,462159
1619-R1,1520 BEDFORD AVENUE, ,1931.0,3-01281-0007, ,75856,1905.0,87.58,11,10.06,109919,1910, ,C1-WALK-UP,R2-CONDOMINIUM,16.0,110227.0, ,113870
1584-R1,88 CONSELYEA STREET,22,2004.0,3-02762-0003,C4-WALK-UP,66294,1930.0,76.64,8,9.04,66888,1928,23.38,C7-WALK-UP,R2-CONDOMINIUM,12.0,102660.0,"207,408",81243
1184-R1,2469 65 STREET,16,,3-05079-0021,D9-ELEVATOR,106363,1912.0,29.61,13,6.09,325361,1915,10.27,D9-ELEVATOR,R4-CONDOMINIUM,16.0,138530.0,"63,840",119941
1510-R1,273 ALBANY AVENUE,24,1906.0,3-01377-0008,C1-WALK-UP,70051,1907.0,94.07,13,11.22,77572,1906,17.07,C1-WALK-UP,R2-CONDOMINIUM,12.0,53048.0,"120,384",72654
1345-R1,61 GREEN STREET,12,2005.0,3-02495-0040,C4-WALK-UP,232062,1931.0,78.71,15,9.0,77070,1931,18.64,C4-WALK-UP,R2-CONDOMINIUM,14.0,62240.0,"58,140",283632
0753-R1,411 DITMAS AVENUE, ,1930.0,3-06592-0045, ,14314,1916.0,44.11,3,8.15,57516,1922, ,C1-WALK-UP,R2-CONDOMINIUM,12.0,53717.0, ,11731
1859-R1,1530 EAST 15 STREET, ,2005.0,3-01383-0042, ,103536,2005.0,59.45,12,6.75,110119,1939, ,D7-ELEVATOR,R2-CONDOMINIUM,11.0,35284.0, ,126544
0847-R1,330 2 STREET,32,,3-00171-0049,D9-ELEVATOR,331613,1930.0,78.91,36,8.35,298688,1900,19.44,D1-ELEVATOR,R4-CONDOMINIUM,60.0,261107.0,"214,018",615854
1790-R1,177 BAY 49 STREET, ,2007.0,3-06630-0001, ,51987,1929.0,59.76,6,7.26,110477,1931, ,C1-WALK-UP,R2-CONDOMINIUM,38.0,155040.0, ,104868
1465-R1,6917 SHORE ROAD, ,2005.0,3-05881-0038, ,119593,1960.0,43.79,10,6.94,127448,1928, ,D1-ELEVATOR,R4-CONDOMINIUM,69.0,273716.0, ,172079
0019-R1,1620 EAST 2 STREET, ,1941.0,3-06587-0017, ,373902,1941.0,42.53,64,7.04,390354,1953, ,D1-ELEVATOR,R4-CONDOMINIUM,60.0,339946.0, ,417534
0798-R1,401 BEDFORD AVENUE,40,1999.0,3-02412-0027,D1-ELEVATOR,283788,1920.0,71.04,27,9.64,360365,1910,8.63,D9-ELEVATOR,R4-CONDOMINIUM,25.0,388575.0,"115,573",426044
0161-R1,451 BERGEN STREET, ,,3-00958-0039, ,63056,1920.0,160.29,8,9.52,147555,1920, ,C1-WALK-UP,R2-CONDOMINIUM,12.0,90025.0, ,86189
0967-R1,579 WASHINGTON AVENUE,80,,3-01281-0027,D9-ELEVATOR,137410,1915.0,57.81,16,8.81,134996,1915,23.50,D9-ELEVATOR,R4-CONDOMINIUM,16.0,135050.0,"390,592",134985
0656-R1,150 SOUTH 9 STREET, ,1924.0,3-02412-0027, ,351334,1920.0,71.04,12,9.64,360365,1910, ,D9-ELEVATOR,R4-CONDOMINIUM,25.0,388575.0, ,351334
0935-R1,605 EAST NEW YORK AVENUE,52,,3-05062-0026,D9-ELEVATOR,518672,1939.0,57.81,50,8.81,134996,1915,14.89,D9-ELEVATOR,R4-CONDOMINIUM,24.0,85738.0,"582,806",563479
1037-R1,42 TIFFANY PLACE, ,,3-00319-0030, ,126761,1910.0,90.47,12,9.02,123579,1900, ,C1-WALK-UP,R4-CONDOMINIUM,16.0,74584.0, ,154915
0841-R1,25 BERGEN STREET,35,1910.0,3-00171-0049,D9-ELEVATOR,127379,1930.0,148.86,14,11.42,196915,1900,19.35,D1-ELEVATOR,R4-CONDOMINIUM,60.0,261107.0,"298,688",299351
2188-R1,349 METROPOLITAN AVENUE,11,2007.0,3-02409-0015,D9-ELEVATOR,282963,1911.0,48.37,35,14.62,108064,1915,19.39,D9-ELEVATOR,R4-CONDOMINIUM,24.0,221366.0,"127,891",345844
2196-R1,2955 BRIGHTON 7 STREET,52,2006.0,3-01251-0001,D9-ELEVATOR,73087,1910.0,101.43,8,12.7,225645,1912,19.53,D9-ELEVATOR,R4-CONDOMINIUM,80.0,890581.0,"449,004",135734
0378-R2,210 LYNCH STREET,42,1990.0,3-02157-0037,C1-WALK-UP,321440,1915.0,91.88,21,10.81,326486,1917,26.54,C1-WALK-UP,R2-CONDOMINIUM,35.0,228735.0,"895,419",331960
0482-R1,321 DEAN STREET, ,1910.0,3-00181-0037, ,42128,1930.0,97.03,1,8.19,83696,1900, ,C1-WALK-UP,R2-CONDOMINIUM,14.0,82408.0, ,38887
0295-R1,2955 SHELL ROAD,441,1989.0,3-07234-0100,D3-ELEVATOR,1082157,1949.0,53.23,166,6.29,1910734,1951,15.51,D1-ELEVATOR,R4-CONDOMINIUM,120.0,587361.0,"3,642,500",1687751
1675-R1,215 PARKVILLE AVENUE, ,2006.0,3-06264-0029, ,108743,1991.0,52.26,12,16.34,390592,1910, ,D9-ELEVATOR,R4-CONDOMINIUM,52.0,555180.0, ,138629
0545-R1,293 DIVISION AVENUE,24,1995.0,3-02424-0012,D9-ELEVATOR,90127,1915.0,48.18,4,7.92,204336,1925,18.75,D9-ELEVATOR,R4-CONDOMINIUM,30.0,283683.0,"201,966",93806
1309-R1,863 50 STREET,113,2004.0,3-05602-0030,D3-ELEVATOR,126085,1924.0,56.96,14,10.1,325222,1992,21.19,D1-ELEVATOR,R4-CONDOMINIUM,40.0,358204.0,"726,098",166100
1916-R1,143 AVENUE O, ,2005.0,3-06595-0005, ,163219,1927.0,58.65,11,6.92,260247,1927, ,D1-ELEVATOR,R4-CONDOMINIUM,65.0,381367.0, ,244828
1562-R1,2801 EAST 11 STREET,52,2005.0,3-01251-0001,D9-ELEVATOR,208694,1910.0,101.43,21,12.7,225645,1912,19.53,D9-ELEVATOR,R4-CONDOMINIUM,80.0,890581.0,"449,004",300316
1188-R1,328 BERGEN STREET, ,2004.0,3-00396-0053, ,216949,1900.0,104.2,20,9.54,373196,1900, ,C1-WALK-UP,R2-CONDOMINIUM,20.0,189101.0, ,482886
1202-R1,717 BEDFORD AVENUE, ,2002.0,3-02173-0027, ,150703,1915.0,48.55,12,8.69,47795,1915, ,C1-WALK-UP,R2-CONDOMINIUM,35.0,162960.0, ,184612
0964-R1,159 SOUTH 8 STREET,29,2004.0,3-02420-0041,D9-ELEVATOR,187958,1907.0,64.28,12,11.47,224216,1914,21.45,D9-ELEVATOR,R4-CONDOMINIUM,35.0,277519.0,"227,847",306668
1025-R1,341 WALLABOUT STREET,24,2001.0,3-02412-0025,D9-ELEVATOR,251995,1920.0,40.61,12,9.97,201966,1915,18.75,D9-ELEVATOR,R4-CONDOMINIUM,22.0,177309.0,"184,081",307993
2400-R1,75 SKILLMAN STREET,29,2009.0,3-02424-0012,D9-ELEVATOR,166788,1915.0,51.84,12,11.07,277159,1912,21.45,D9-ELEVATOR,R4-CONDOMINIUM,30.0,283683.0,"227,847",240011
0559-R1,224 22 STREET, ,1995.0,3-00719-0051, ,82300,1914.0,71.27,14,9.77,108058,1931, ,C1-WALK-UP,R2-CONDOMINIUM,16.0,95179.0, ,102700
1654-R1,2231 64 STREET, ,2006.0,3-00925-0037, ,82960,1930.0,65.31,12,9.69,73628,1931, ,C1-WALK-UP,R2-CONDOMINIUM,16.0,126178.0, ,124554
2341-R1,125 NORTH 10 STREET,60,2007.0,3-02418-0040,D1-ELEVATOR,426776,2005.0,56.98,86,7.72,959177,2002,22.68,D1-ELEVATOR,R4-CONDOMINIUM,66.0,822367.0,"710,752",521615
1643-R1,529 COURT STREET,16,2005.0,3-00171-0049,D9-ELEVATOR,162732,1930.0,153.12,25,8.62,154987,2002,26.73,D1-ELEVATOR,R4-CONDOMINIUM,60.0,261107.0,"225,645",382434
0169-R1,542 DAHILL ROAD, ,,3-05382-0033, ,93193,1922.0,38.75,22,6.14,145404,1930, ,C1-WALK-UP,R2-CONDOMINIUM,20.0,82847.0, ,139878
0520-R1,4050 NOSTRAND AVENUE, ,1994.0,3-07414-0033, ,129994,1962.0,59.55,25,9.66,462641,1959, ,D1-ELEVATOR,R4-CONDOMINIUM,55.0,330717.0, ,129993
1933-R1,2233 CATON AVENUE,12,,3-05125-0033,C1-WALK-UP,113789,1912.0,101.43,15,12.7,225645,1912,20.24,C1-WALK-UP,R4-CONDOMINIUM,20.0,181134.0,"112,328",170684
0324-R1,420 64 STREET,76,1990.0,3-00407-0026,D1-ELEVATOR,589750,2006.0,78.0,76,2.55,582410,1998,21.65,D1-ELEVATOR,R4-CONDOMINIUM,56.0,321025.0,"1,050,479",720949
