bin,:@computed_region_92fq_4b7q,point_1,census_tract,email,borough,categoriesavailable
3092410.0,37.0,"{'type': 'Point', 'coordinates': [-73.8704369997687, 40.6857419995968]}",3118400.0,info@helpsy.co,Brooklyn,
,30.0,"{'type': 'Point', 'coordinates': [-73.9307500004132, 40.6953639999519]}",3039300.0,secondhandrecordsnyc@gmail.com,Brooklyn,Books/Media
4270034.0,6.0,"{'type': 'Point', 'coordinates': [-73.7618349998863, 40.6800749999645]}",4036600.0,info@helpsy.co,Queens,
1077211.0,50.0,"{'type': 'Point', 'coordinates': [-73.9899469999551, 40.7308660003688]}",1004200.0,noemail@email.com,Manhattan,Books/Media
2000000.0,40.0,"{'type': 'Point', 'coordinates': [-73.9095310003564, 40.8789410003301]}",,info@usagain.com,,
,,"{'type': 'Point', 'coordinates': [-73.720432999884, 40.7095209998974]}",,info@rtcany.org,,"Clothing/Personal Accessories, Food/Beverage, Household Furniture/Furnishings"
,10.0,"{'type': 'Point', 'coordinates': [-73.9991639996199, 40.7536849995663]}",,info@agentcycollective.org,,"Clothing/Personal Accessories, Footwear, HealthCare, Personal Care/Hygiene, Sports Equipment, Tools/Equipment"
4437977.0,20.0,"{'type': 'Point', 'coordinates': [-73.8418590002936, 40.7848559999077]}",4092500.0,tf@mycountyrecycling.org,Queens,
3060375.0,38.0,"{'type': 'Point', 'coordinates': [-73.9559770000395, 40.7049290003762]}",3053300.0,marydunbar48@gmail.com,Brooklyn,Food/Beverage
1056067.0,23.0,"{'type': 'Point', 'coordinates': [-73.9706060001678, 40.794462999571]}",1018300.0,mortega@fccnyc.org,Manhattan,"Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Household Furniture/Furnishings, Kitchen Items, Sports Equipment, Toys/Games"
4087421.0,34.0,"{'type': 'Point', 'coordinates': [-73.900139999862, 40.7122940000712]}",,info@helpsy.co,,
3.0493520E+6,49.0,"{'type': 'Point', 'coordinates': [-73.9456040001255, 40.6932549998216]}",,bikeplantnyc@gmail.com,,
1083026.0,10.0,"{'type': 'Point', 'coordinates': [-73.9914029996497, 40.7494330004359]}",1010100.0,vadimkhaimov@yahoo.com,Manhattan,
