schooldbn,printedschoolname,postcode,selectioncriteria2_prog6,selectioncriteria4_prog5,swdseats_prog4,selectioncriteria2_prog2,tophs3,prefnote_prog6,geappsperseat_prog3,priority3_prog2,priority1_prog4,eligibility_prog6,swdfilled_prog1,prefnote_prog5,selectioncriteria11_prog6,geseats_prog3,priority1_prog1,selectioncriteria11_prog4,swdappsperseat_prog6,priority4_prog3,selectioncriteria4_prog1,selectioncriteria8_prog4,swdapps_prog5,swdappsperseat_prog2,selectioncriteria4_prog3,selectioncriteria4_prog2,coursepassrate,champsboys,eligibility_prog3,priority4_prog4,selectioncriteria6_prog3,priority1_prog5,selectioncriteria12_prog3,priority7_prog2,gefilled_prog1,prefnote_prog4,priority2_prog3,priority1_prog3,bus,bbl,swdfilled_prog4,priority3_prog6,code_prog6,geseats_prog1,priority4_prog2,priority7_prog1,priority6_prog1,revealed_prog4,priority3_prog5,tophs2,geapps_prog1,geappsperseat_prog6,uniform,summersession,selectioncriteria6_prog4,selectioncriteria3_prog4,selectioncriteria11_prog5,admissionsmethod_prog3
19K654,Van Siclen Community Middle School,11207.0,.,.,.,,,.,,.,.,.,Yes,.,.,,Priority to students residing in the zone who sign in at an event,.,.,.,,.,.,,,,82.0,,,.,.,.,.,.,No,.,.,.,"B15, B20, B6, B82, B83, B84, BM2, BM5",3043490050.0,.,.,.,79.0,.,.,.,.,.,Victory Collegiate High School,304.0,.,Yes,Yes–For incoming sixth graders and for Academic support and enrichment.,.,.,.,
05M286,Urban Assembly Academy for Future Leaders,10027.0,.,.,.,.,,.,,.,.,.,Yes,.,.,,Priority to students and residents of District 5 who sign in at an event,.,.,.,,.,.,,.,.,77.0,,,.,.,.,.,.,No,.,.,.,"Bx15, Bx33, M10, M100, M101, M104, M11, M3, M4, M5, M60-SBS",1019840033.0,,.,.,73.0,.,.,.,.,.,The Global Learning Collaborative,108.0,.,Yes—Official uniform must be purchased,Yes—Academic support and enrichment.,.,.,.,
06M311,Amistad Dual Language School,10034.0,.,.,,,,.,,.,.,,No,.,.,,Priority to continuing 5th grade students,.,.,.,Spanish Reading and Writing Activity,.,.,,,,86.0,,,.,.,.,.,.,Yes,.,,,"Bx12, Bx12-SBS, Bx20, Bx7, BxM1, M100, M4",1022340007.0,,.,,41.0,.,.,.,.,.,The Global Learning Collaborative,148.0,.,No,Yes–Academic support for certain students.,.,,.,
27Q262,Channel View School for Research,11694.0,.,.,,,,.,,.,.,,Yes,.,.,,Priority to students and residents of District 27,.,.,.,Interview,.,.,,,,95.0,,,.,.,.,.,.,Yes,.,,,"Q22, Q52, Q53, QM16, QM17",4161670099.0,,.,,86.0,.,.,.,.,.,,648.0,.,"Yes—Top, bottom, and shoes specific colors or styles",Yes,.,,.,
28 Q008,Richard S. Grossley (J.H.S. 8),11433.0,.,.,.,,John Bowne High School,.,,,.,.,Yes,.,.,,Priority to students residing in the zone,.,.,.,,.,.,,.,,90.0,,,.,.,.,.,.,No,.,,,"Q111, Q112, Q113, Q114, Q4, Q42, Q5, Q60, Q83, Q84, Q85, X64",4101780001.0,.,.,.,100.0,,.,,.,.,Hillcrest High School,272.0,.,Yes—Top and bottom-specific colors or styles,Yes–Academic support for certain students.,.,.,.,
21K209,P.S. 209 Margaret Mead,11235.0,.,.,,,Edward R. Murrow High School,.,,.,.,,,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,,,63.0,,,.,.,.,.,.,,.,,,"B1, B36, B4, B49, B68, BM3",3072440001.0,,.,,,.,.,.,.,.,John Dewey High School,,.,No,Yes,.,,.,
02M408,Professional Performing Arts School,10036.0,.,.,.,,,.,,.,.,.,No,.,.,,,.,.,.,Final 4th Grade Report Card,.,.,,,,100.0,,,.,.,.,.,.,Yes,.,.,.,"BxM2, M10, M104, M11, M12, M20, M31, M34A-SBS, M42, M5, M50, M57, M7, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM24, QM3, QM4, QM5, QM6, X1, X12, X14, X17J, X21, X22, X22A, X30, X31, X42, X7, X9",1010380014.0,.,.,.,24.0,.,.,.,.,.,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,1533.0,.,No,No,.,.,.,
23K644,Eagle Academy for Young Men II,11233.0,.,.,.,.,,.,,.,.,.,Yes,.,.,,Priority to students and residents of Brooklyn who sign in at an event,.,.,.,,.,.,,.,.,93.0,Fitness Club,,.,.,.,.,.,Yes,.,.,.,"B12, B20, B25, B45, B47, B60, B65, B7, Q24",3015500001.0,,.,.,75.0,.,.,.,.,.,,262.0,.,Yes,No,.,.,.,
23K137,P.S./I.S. 137 Rachel Jean Mitchell,11233.0,.,.,.,.,,.,,.,.,.,No,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,.,.,62.0,,,.,.,.,.,.,No,.,.,.,"B20, B25, B26, B47, B60, B7, Q24",3015100001.0,,.,.,37.0,.,.,.,.,.,,43.0,.,Yes,Yes—Academic support for certain students,.,.,.,
14K084,Jose de Diego Magnet School of Visual Arts and Sciences (P.S./M.S. 84),11249.0,.,.,.,,,.,,.,.,.,Yes,.,.,,Priority to continuing 5th grade students,.,.,,,.,.,,.,,91.0,,,.,.,.,.,.,No,.,,,"B24, B32, B39, B44, B44-SBS, B46, B60, B62, Q54, Q59",3023910001.0,.,.,.,87.0,.,.,.,.,.,Williamsburg Preparatory School,227.0,.,Yes—Top and bottom-specific colors or styles,No,.,.,.,
19K404,Academy for Young Writers,11208.0,.,.,.,,,.,,.,.,.,Yes,.,.,,Priority to students and residents of District 19 who sign in at an event,.,.,.,,.,.,,,,93.0,,,.,.,.,.,.,No,.,.,.,"B100, B13, B20, B3, B41, B47, B6, B83, B84, BM1, BM5, Q8",3044490001.0,.,.,.,73.0,.,.,.,.,.,,289.0,.,No,Yes–Academic support and enrichment.,.,.,.,
15K448,Brooklyn Collaborative Studies,11231.0,.,.,.,,,.,,,.,.,Yes,.,.,,"Students from low-income households, students in temporary housing, and English Language Learners (ELLs) have an admissions priority for 52% of seats at this school.",.,.,.,,.,.,,.,,96.0,Basketball League,,.,.,.,.,.,No,.,,,"B57, B61, X12, X14, X17, X17A, X19, X3, X31, X42, X5, X8, X9",3003690001.0,.,.,.,66.0,,.,,.,.,The High School of Fashion Industries,423.0,.,No,Yes–Academic support for certain students.,.,.,.,
27Q146,P.S./M.S. 146 The Howard Beach School,11414.0,.,.,,,,.,,.,.,,,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,,,97.0,"Developmental Basketball, Fitness Club",,.,.,.,.,.,,.,,,"B15, Q11, Q21, Q41, Q52, Q53, QM15, QM16, QM17",4141680016.0,,.,,,.,.,.,.,.,"High School for Construction Trades, Engineering and Architecture",,.,Yes—Top and bottom-specific colors or styles,No,.,,.,
31R024,I.S. 024 Myra S. Barnes,10308.0,.,.,.,.,Tottenville High School,.,,.,.,.,No,.,.,,,.,.,.,,.,.,,.,.,97.0,,,.,.,.,.,.,No,.,.,.,"S54, S78, S79-SBS, X1, X4, X5, X7, X8",5051530108.0,,.,.,,.,.,.,.,.,Susan E. Wagner High School,,.,No,No,.,.,.,
24Q125,I.S. 125 Thom J. McCann Woodside,11377.0,.,.,.,.,William Cullen Bryant High School,.,,.,.,.,No,.,.,,,.,.,.,,.,.,,.,.,95.0,"Basketball League, Flag Football",,.,.,.,.,.,No,.,.,.,"B24, Q104, Q32, Q39, Q60, Q67",4022840006.0,,.,.,,.,.,.,.,.,Long Island City High School,,.,No,Yes—Academic support for certain students.,.,.,.,
10X331,The Bronx School of Young Leaders,10453.0,.,.,,,Bronx Collegiate Academy,.,,,.,.,Yes,.,.,,Priority to students residing in the zone,.,.,.,,.,,,,,82.0,"Basketball League, Flag Football",,.,.,.,.,.,Yes,.,,,"Bx1, Bx18, Bx2, Bx3, Bx32, Bx36, Bx40, Bx42, BxM4",2028620014.0,,.,.,85.0,,,,.,.,Harry S Truman High School,701.0,.,Yes—Official uniform provided by school,Yes–For incoming sixth graders and for academic support and enrichment,.,,.,
19K218,James P. Sinnott Magnet School for Health and Health Careers,11208.0,.,.,.,,Victory Collegiate High School,.,,.,.,.,Yes,.,.,,,.,.,.,Final 4th Grade Report Card,.,.,6,,,90.0,"Basketball League, Fitness Club",Open to students residing in the zone,.,.,.,.,.,No,.,.,.,"B13, B14, B15, B20, BM5, Q7, Q8",3042780001.0,.,.,.,52.0,.,.,.,.,.,"The School for Classics: An Academy of Thinkers, Writers and Performers",155.0,.,No,Yes,.,.,.,Zoned
27Q047,P.S. 047 Chris Galas,11693.0,.,.,,,,.,,.,.,,,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,,,99.0,,,.,.,.,.,.,,.,,,"Q52, Q53, QM16, QM17",4153130485.0,,.,,,.,.,.,.,.,,,.,"Yes—Top, bottom, and shoes specific colors or styles",No,.,,.,
29Q356,Community Voices Middle School,11413.0,.,.,,,John Adams High School,.,,,.,.,Yes,.,.,,Priority to students residing in the zone,.,.,.,,.,,,,,76.0,,,.,.,.,.,.,No,.,,,"Q111, Q113, Q114, Q3, Q77, Q85",4133310001.0,,.,.,146.0,,,,.,.,Preparatory Academy for Writers: A College Board School,162.0,.,Yes,Yes,.,,.,
25Q194,J.H.S. 194 William Carr,11357.0,.,.,.,,Francis Lewis High School,.,,.,.,.,Yes,.,.,,Priority to students residing in the zone,.,.,,,.,.,,.,,94.0,Basketball League,,.,.,.,.,.,Yes,.,,,"Q15, Q15A, Q16, Q76, QM2, QM20, QM32",4047290001.0,.,.,.,353.0,.,.,.,.,.,Robert F. Kennedy Community High School,731.0,.,Yes,Yes,.,.,.,
20K163,P.S. 163 Bath Beach,11214.0,.,.,,,John Dewey High School,.,,.,.,,,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,,,98.0,,,.,.,.,.,.,,.,,,"B1, B64, B8, X28, X38",3063990040.0,,.,,,.,.,.,.,.,Midwood High School,,.,No,No,.,,.,
18K068,I.S. 068 Isaac Bildersee,11236.0,.,.,.,,High School for Innovation in Advertising and Media,.,2,,.,.,Yes,.,.,52,,.,.,.,Final 4th Grade Report Card: 40%,.,.,2,.,,89.0,,Open to students and residents of District 18,.,.,.,.,.,No,.,"Then to students and residents of District 18 Last year, this program admitted students from all priority groups",Priority to students residing in the zone,"B103, B17, B47, B6, B82, BM2",3080180001.0,.,.,.,30.0,,.,,.,.,Brooklyn Theatre Arts High School,84.0,.,Yes,No,.,.,.,Open
05M517,Teachers College Community School,10027.0,.,.,.,.,,.,,.,.,.,Yes,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,.,.,,,,.,.,.,.,.,Yes,.,.,.,"Bx15, Bx33, M10, M100, M101, M104, M11, M2, M3, M4, M5, M60 SBS",1019670024.0,,.,.,40.0,.,.,.,.,.,,247.0,.,Yes,No,.,.,.,
13K313,Dock Street School for STEAM Studies,11201.0,.,.,,,,.,,,.,.,Yes,.,.,,,.,.,.,Final 4th Grade Report Card,.,,,,,94.0,,,.,.,.,.,.,Yes,.,,,"B103, B25, B26, B38, B52, B67, B69, X14, X2, X42, X5",3000367504.0,,.,.,83.0,,,,.,.,,419.0,.,Yes,Yes–For incoming sixth graders and for academic support and enrichment,.,,.,
22K278,J.H.S. 278 Marine Park,11229.0,.,.,.,,Edward R. Murrow High School,.,,.,.,.,Yes,.,.,,,.,.,.,Attendance: 10%,.,.,3,,,97.0,,,.,.,.,.,.,Yes,.,.,.,"B100, B2, B3, B31, B36, B41, B44, B44-SBS, BM4",3084960100.0,.,.,.,50.0,.,.,.,.,.,Midwood High School,808.0,.,No,Yes–Academic support for certain students.,.,.,.,
-10X243,West Bronx Academy for the Future,10458.0,.,.,,,,.,,,.,.,Yes,.,.,,Priority to students and residents of District 10 who sign in at an event,.,.,.,,.,,,,,90.0,,,.,.,.,.,.,Yes,.,,,"Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4",2030590001.0,,.,.,76.0,,,,.,.,,492.0,.,Yes,Yes,.,,.,
02M255,M.S. 255 Salk School of Science,10003.0,.,.,.,,The Bronx High School of Science,.,,.,.,.,No,.,.,,This school will give priority to applicants eligible for Free and Reduced Lunch (FRL) for up to 17 percent of seats,.,.,.,,.,.,,,,98.0,,,.,.,.,.,.,Yes,.,.,.,"BM1, BM2, BM3, BM4, BxM7, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",1009250012.0,.,.,.,108.0,.,.,.,.,.,Brooklyn Technical High School,658.0,.,No,No,.,.,.,
06M143,J.H.S. 143 Eleanor Roosevelt,10033.0,.,.,,,Manhattan Bridges High School,.,,.,.,,No,.,.,,"Priority to 5th grade students in P.S. 115, P.S. 132, P.S. 189, and to students residing in the zone",.,.,.,,.,.,,,,90.0,,,.,.,.,.,.,No,.,,,"Bx11, Bx13, Bx18, Bx3, Bx35, Bx36, Bx7, M100, M101, M3, M4, M5, M98",1021550035.0,,.,,98.0,.,.,.,.,.,High School for Health Careers and Sciences,162.0,.,Yes,Yes–Academic support for certain students.,.,,.,
30Q291,Hunter's Point Community Middle School,11101.0,.,.,.,,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",.,,.,.,.,Yes,.,.,,Priority to students and residents of District 30 who sign in at an event,.,.,.,,.,.,,,,99.0,Basketball League,,.,.,.,.,.,Yes,.,.,.,"B32, B43, B62, Q103",4000060008.0,.,.,.,105.0,.,.,.,.,.,Energy Tech High School,542.0,.,No,Yes–Academic support for certain students.,.,.,.,
04M007,P.S. 007 Samuel Stern,10035.0,.,.,.,,,.,,,.,.,Yes,.,.,,Priority to continuing 5th grade students,.,.,.,Final 4th Grade Report Card,.,.,,.,,81.0,,,.,.,.,.,.,No,.,,,"Bx15, BxM10, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M100, M101, M102, M103, M116, M15, M15-SBS, M35, M60-SBS, M98",1017680021.0,.,.,.,54.0,,.,,.,.,Manhattan Center for Science and Mathematics,93.0,.,Yes—Official uniform must be purchased,Yes–Academic support for certain students.,.,.,.,
09X313,I.S. 313 School of Leadership Development,10457.0,.,.,,,Careers in Sports High School,.,,,.,.,No,.,.,,Priority to students residing in the zone,.,.,.,,.,,,,,83.0,"Fitness Club, Flag Football",,.,.,.,.,.,No,.,,,"Bx1, Bx11, Bx15, Bx17, Bx18, Bx2, Bx32, Bx41, Bx41-SBS, BxM4",2028970005.0,,.,.,112.0,,,,.,.,Bronx Leadership Academy High School,381.0,.,Yes,Yes,.,,.,
21K238,P.S. 238 Anne Sullivan,11223.0,.,.,,,John Dewey High School,.,,.,.,,,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,,,98.0,,,.,.,.,.,.,,.,,,"B100, B2, B31, B68, B7, B82, B9",3066400013.0,,.,,,.,.,.,.,.,Edward R. Murrow High School,,.,No,No,.,,.,
03M054,J.H.S. 054 Booker T. Washington,10025.0,.,.,.,,Stuyvesant High School,.,,.,.,.,No,.,.,,,.,.,.,Final 4th Grade Report Card,.,.,,,,99.0,,,.,.,.,.,.,Yes,.,.,.,"M10, M104, M11, M116, M2, M3, M4, M5, M60-SBS, M7",1018620011.0,.,.,.,252.0,.,.,.,.,.,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,788.0,.,No,No,.,.,.,
05M046,P.S./M.S. 46-The Arthur Tappan School,,.,.,.,.,,.,,.,.,.,Yes,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,.,.,82.0,,,.,.,.,.,.,No,.,.,.,"Bx13, Bx6, M10, M100, M101, M2, M3, M4, M5",,,.,.,57.0,.,.,.,.,.,A. Philip Randolph Campus High School,97.0,.,Yes,Yes,.,.,.,
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",11379.0,.,.,.,.,,.,,.,.,.,No,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,.,.,100.0,,,.,.,.,.,.,No,.,.,.,"Q38, Q54, Q67, QM24, QM25, QM34",4030270037.0,,.,.,,.,.,.,.,.,Queens Metropolitan High School,,.,No,No,.,.,.,
20K030,P.S./I.S. 30 Mary White Ovington,11209.0,.,.,,,Brooklyn Technical High School,.,,.,.,,Yes,.,.,,,.,.,.,Final 4th Grade Report Card: 45%,.,.,,,,96.0,Soccer,,.,.,.,.,.,Yes,.,,,"B37, B4, B63, B64, B70, B9, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X31, X37, X38, X4, X42, X5, X7, X8, X9",3058910048.0,,.,,26.0,.,.,.,.,.,High School of Telecommunication Arts and Technology,591.0,.,Yes,Yes,.,,.,
04M224,M.S. 224 Manhattan East School for Arts & Academics,10029.0,.,.,.,,,.,,,.,.,Yes,.,.,,Priority to students and residents of District 4,.,.,.,Entrance Assessment: Math,.,.,,.,,89.0,,,.,.,.,.,.,Yes,.,,,"BxM1, M101, M102, M103, M106, M15, M15-SBS, M31, M86-SBS, M96, M98",1016930001.0,.,.,.,62.0,,.,,.,.,,1187.0,.,No,No,.,.,.,
30Q122,P.S. 122 Mamie Fay,11105.0,.,.,.,,Academy of American Studies,.,,.,.,.,Yes,.,.,,Priority to students in the Gifted & Talented program at P.S. 122 or P.S. 150,.,.,.,Attendance: 10%,.,.,,,,100.0,,,.,.,.,.,.,Yes,.,.,.,"Q100, Q69",4008800001.0,.,.,.,120.0,.,.,.,.,.,The Bronx High School of Science,721.0,.,No,No,.,.,.,
19K409,East New York Family Academy,11207.0,.,.,.,,,.,,.,.,.,Yes,.,.,,,.,.,.,Interview,.,.,,,,87.0,Basketball League,,.,.,.,.,.,Yes,.,.,.,"B15, B20, B6, B83, B84, BM5",3043280015.0,.,.,.,60.0,.,.,.,.,.,,421.0,.,Yes—Official uniform must be purchased,Yes–Academic support for certain students.,.,.,.,
27Q318,Waterside School For Leadership,11694.0,.,.,,,Rockaway Collegiate High School,.,,.,.,,Yes,.,.,,,.,.,.,,.,.,,,,91.0,,,.,.,.,.,.,Yes,.,,,"Q22, Q35, Q52, Q53, QM16",4161810001.0,,.,,25.0,.,.,.,.,.,Rockaway Park High School for Environmental Sustainability,261.0,.,Yes—Official uniform must be purchased,Yes–Academic support for certain students.,.,,.,
28Q190%,J.H.S. 190 Russell Sage,11375.0,.,.,.,,Hillcrest High School,.,,,.,.,Yes,.,.,,Priority to students residing in the zone,.,.,.,,.,.,,.,,96.0,"Baseball, Basketball League",,.,.,.,.,.,Yes,.,,,"Q23, Q60, Q64, QM11, QM12, QM18, QM4, QM42, QM44",4031720002.0,.,.,.,257.0,,.,,.,.,Queens Metropolitan High School,882.0,.,No,No,.,.,.,
06M528,I.S. 528 Bea Fuller Rodgers School,10033.0,.,.,,,High School for Law and Public Service,.,,.,.,,Yes,.,.,,Priority to students residing in the zone,.,.,.,,.,.,,,,88.0,,,.,.,.,.,.,No,.,,,"Bx11, Bx13, Bx3, Bx35, Bx36, Bx7, M100, M101, M3, M4, M5, M98",1021640032.0,,.,,76.0,.,.,.,.,.,High School for Media and Communications,243.0,.,"Yes–Top, bottom, and shoes; specific colors or styles",Yes–For incoming sixth graders and for academic support and enrichment.,.,,.,
18K581,East Flatbush Community Research School,11203.0,.,.,.,,,.,,,.,.,No,.,.,,Priority to students residing in the zone who sign in at an event,.,.,.,,.,.,,.,,90.0,Basketball League,,.,.,.,.,.,No,.,,,"B12, B15, B17, B35, B46, B46-SBS, B47, B7",3046060025.0,.,.,.,82.0,,.,Then to students and residents of Brooklyn.,.,.,,237.0,.,Yes,Yes–Academic support for certain students.,.,.,.,
10X447,The Creston Academy for Responsibility and Excellence (C.A.R.E.),10453.0,.,.,,Attendance,High School for Environmental Studies,.,2,,.,.,Yes,.,.,74,Priority to students and residents of District 10 who sign in at an event,.,.,.,,.,,12,,Punctuality,99.0,Developmental Basketball,Open to students residing in the zone,.,.,.,.,.,Yes,.,,,"Bx1, Bx2, Bx3, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, BxM4",2031700001.0,,.,.,7.0,,,,.,.,Knowledge and Power Preparatory Academy International High School (Kappa),252.0,.,Yes,No,.,,.,Open
09X593,MS 593,10456.0,.,.,,,,.,,,.,.,,.,.,,Priority to students and residents of District 9,.,.,.,,.,,,,,,,,.,.,.,.,.,,.,,,"Bx1, Bx13, Bx15, Bx2, Bx21, Bx32, Bx35, Bx41, Bx41-SBS",2024240001.0,,.,.,,,,,.,.,,,.,NO,Yes,.,,.,
02M413,School of the Future Middle and High School,10010.0,.,.,.,,,.,,.,.,.,Yes,.,.,,,.,.,.,Final 4th Grade Report Card,.,.,,,,95.0,Soccer,,.,.,.,.,.,Yes,.,.,.,"BM1, BM2, BM3, BM4, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M7, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",1008780016.0,.,.,.,83.0,.,.,.,.,.,,428.0,.,No,No,.,.,.,
02M114,East Side Middle School,10128.0,.,.,.,,Stuyvesant High School,.,,.,.,.,Yes,.,.,,This school will give priority to applicants eligible for Free and Reduced Lunch (FRL) for up to 17 percent of seats.,.,.,.,,.,.,,,,100.0,Soccer,,.,.,.,.,.,Yes,.,.,.,"BxM1, BxM10, BxM6, BxM7, BxM8, BxM9, M101, M102, M103, M15, M15-SBS, M31, M86-SBS, M96, M98",1015540032.0,.,.,.,123.0,.,.,.,.,.,The Bronx High School of Science,538.0,.,No,No,.,.,.,
11X529,One World Middle School at Edenwald,10466.0,.,.,,,Alfred E. Smith Career and Technical Education High School,.,,,.,.,Yes,.,.,,Priority to students residing in the zone,.,.,.,,.,,,,,93.0,,,.,.,.,.,.,Yes,.,,,"Bx16, Bx30, Bx31",2049350001.0,,.,.,69.0,,,,.,.,The Bronxwood Preparatory Academy,427.0,.,Yes—Top and bottom-specific colors or styles,Yes–Academic support and enrichment,.,,.,
04M072,The Lexington Academy,10029.0,.,.,.,,,.,,,.,.,No,.,.,,Priority to continuing 5th grade students,.,.,.,,.,.,,.,,77.0,,,.,.,.,.,.,No,.,,,"BxM1, BxM11, BxM2, BxM3, BxM4, M1, M101, M102, M103, M106, M15, M15-SBS, M2, M3, M4, M96, M98",1016320011.0,.,.,.,62.0,,.,,.,.,DREAM Charter School,163.0,.,Yes,Yes,.,.,.,
28Q680,Queens Gateway to Health Sciences Secondary School,11432.0,.,.,.,,Brooklyn Technical High School,.,,,.,.,Yes,.,.,,,.,.,.,,.,.,,.,,97.0,,,.,.,.,.,.,Yes,.,,,"Q25, Q34, Q46, Q65, QM1, QM31, QM35, QM36, QM5, QM6, QM7, QM8",4068580050.0,.,.,.,82.0,,.,,.,.,The Bronx High School of Science,1329.0,.,No,Yes–Academic support for certain students.,.,.,.,
27Q210,J.H.S. 210 Elizabeth Blackwell,11416.0,.,.,,,John Adams High School,.,,.,.,,,.,.,,,.,.,.,,.,.,,,,98.0,,,.,.,.,.,.,,.,,,"Q11, Q112, Q21, Q24, Q37, Q41, Q52, Q53, Q7, Q8, QM15",4090670001.0,,.,,,.,.,.,.,.,Hillcrest High School,,.,Yes—Top only-specific color or style,Yes,.,,.,
08X302,M.S. 302 Luisa Dessus Cruz,10455.0,.,.,.,,School for Tourism and Hospitality,.,,,.,.,,.,.,,,.,.,.,,.,.,,.,,75.0,Basketball League,,.,.,.,.,.,,.,,,"Bx17, Bx19, Bx4, Bx46, Bx4A, Bx6",2026860020.0,.,.,.,,,.,,.,.,Alfred E. Smith Career and Technical Education High School,,.,Yes—Top and bottom-specific colors or styles,No,.,.,.,
17K354,The School of Integrated Learning,11213.0,.,.,.,,Boys and Girls High School,.,,.,.,.,No,.,.,,,.,.,,New York State ELA Exam: 20%,.,.,3,.,,86.0,Basketball League,,.,.,.,.,.,Yes,.,,,"B14, B15, B17, B25, B43, B45, B46, B46-SBS, B65",3013700029.0,.,.,.,25.0,.,.,.,.,.,Clara Barton High School,147.0,.,Yes,Yes,.,.,.,
22K014,J.H.S. 014 Shell Bank,11235.0,.,.,.,,Midwood High School,.,,.,.,.,Yes,.,.,,,.,.,.,Attendance: 10%,.,.,2,,,94.0,Basketball League,,.,.,.,.,.,No,.,.,.,"B3, B31, B36, B4, B44, B44-SBS, BM3, BM4",3074240001.0,.,.,.,54.0,.,.,.,.,.,Abraham Lincoln High School,178.0,.,No,No,.,.,.,
