code_prog1,selectioncriteria10_prog4,prefnote_prog3,schoolday,selectioncriteria3_prog3,priority6_prog6,activities,borough,priority1_prog6,geseats_prog6,address,selectioncriteria9_prog4,selectioncriteria6_prog5,geappsperseat_prog1,geapps_prog3,neighborhood,geapps_prog6,priority1_prog2,overview,code_prog3,selectioncriteria12_prog1,champscoed,elaprof,priority5_prog2,swdseats_prog3,geappsperseat_prog5,selectioncriteria1_prog2,priority5_prog4,priority6_prog3,revealed_prog6,priority5_prog3,priority4_prog1,accessibility,lowestpriority_prog6,geappsperseat_prog4,selectioncriteria3_prog2,lowestpriority_prog5,code_prog4,selectioncriteria5_prog5,priority4_prog5,priority2_prog1,selectioncriteria2_prog4,selectioncriteria12_prog2,selectioncriteria10_prog2,tophs1,swdfilled_prog6,prefnote_prog2,community_board,nta,selectioncriteria7_prog1,gradespan,othersports,selectioncriteria11_prog3,swdappsperseat_prog4,swdapps_prog4,admissionsmethod_prog6,selectioncriteria1_prog3,selectioncriteria2_prog1,geseats_prog2,selectioncriteria9_prog1,selectioncriteria1_prog6,selectioncriteria8_prog1,lowestpriority_prog2,languageclasses,swdseats_prog1,bin,swdseats_prog5,electiveclasses,selectioncriteria8_prog6,name_prog6
X037Z,.,.,8:10am-2:30pm,,.,"Our school offers various after-school programs such as Achieve Success Academy taking place during the week and Saturdays, DreamYard—Arts education used to support curriculum. NY Road Runners Program, Future Teachers Club, Literacy Inc. (LInc.), Perfect Attendance Pizza Parties, and Perfect Attendance End of Year Movie Night. Children’s Arts & Sciences Workshop Inc. runs in our school building and you can apply separately if you are a student of the school.",BRONX,.,.,"360 West 230th Street, Bronx NY 10463",.,.,,,Spuyten Duyvil-Kingsbridge,.,,"Various parent workshops and programs are offered at our school bythe PTA such as homework help, Zumba, nutrition classes, ENL classes,parenting classes, Literacy Inc, movie night, parent field trips, student perfectattendance parent acknowledgement.",,.,,36.0,.,,,,.,.,.,.,,Fully Accessible,.,,,.,,.,.,Then to students residing in the elementary school zone.,,.,.,World View High School,.,.,208.0,Spuyten Duyvil-Kingsbridge,,Gr K-8,,.,,,.,,,,.,.,.,,Spanish,,2097990.0,,,.,.
Q077M,.,.,8:30am-2:50pm,.,.,"25 Book Challenge; Annual Cultural Night; Builders Club (Kiwanis); Community Service; International Food Night (fundraiser for Haiti, Japan, and the Hurricane Sandy fund); Outdoor Assembly in Early Fall; Peer Mediators; Robotics, School Safely Patrol; Tech Squad; Walk to School Day",QUEENS,.,.,"976 Seneca Avenue, Queens NY 11385",.,.,,,Ridgewood,.,,"I.S. 77 is a family of learners. We offer programs for special progress and honors, English as a New Language, and special education. We offer Spanish, with differentiation for native speakers. Each classroom is equipped with a laptop, a projector with a document camera, and speakers. There are opportunities for students to become involved in community outreach programs. We celebrate a Student of the Month based on virtues. We have a partnership with the Greater Ridgewood Youth Council who sponsors an after-school program which offers homework help, sports, and recreation in our school. We also work with the Youth Council in their young adult internship program which benefits many of our graduates. Our PTA is very active and encourages all parents to be a part of our family of learners. Through the use of the internet program PupilPath, parents and teachers are able to communicate with each other regarding grades and assignments. We are part of the Middle School Quality Initiative sponsored by the DOE. We receive support and training in literacy applications! Seventh grade is part of College and Careers for all. Seventh grade students travel to college campuses and attend programs related to College and Careers.",Q077Z,.,"Developmental Basketball, Flag Rugby, Soccer, Volleyball",24.0,,,.,Students who apply to this program will be randomly selected.,.,.,.,.,,Not Accessible,.,.,.,.,,.,.,,.,.,.,Grover Cleveland High School,.,,405.0,Ridgewood,,Gr 6-8,,.,.,.,.,,,70,.,.,,,Spanish,6,4085922.0,.,"iReady (online academic intervention service program), Sixth grade readers go to P.S. 239 to read to the younger students, Wilson Reading Program (for readers that need assistance)",.,.
K497M,.,.,8:15am-2:35pm,.,.,"Basketball, Capoeira, Chess, Coding, Dance, Drama, Fashion, Fitness, Hip Hop Club, Robotics/LEGO, Soccer, Table Murals, Table Tennis, Theatre, Video Game Club, Visual Arts & Digital Portfolio, Yearbook, Yoga",BROOKLYN,.,.,"284 Baltic Street, Brooklyn NY 11201",.,.,8,,Boerum Hill/Cobble Hill,.,"Students from low-income households, students in temporary housing, and English Language Learners (ELLs) have an admissions priority for 52% of seats at this school.","The Boerum Hill School for International Studies is an International Baccalaureate French Dual Language Public School that serves 600 students in grades 6-12. With the implementation of the International Baccalaureate philosophy and mission, we aim to support learning for all students that is both challenging and relevant to real life. Students are enrolled in French Immersion courses and are encouraged to participate in our early bird and/or after-school program (which includes: theater, soccer, fashion, murals, chess, basketball, table-tennis, basketball, visual arts, and dance). Our 7th & 8th grade students will have an opportunity to participate in an international French exchange program. Students receive a comprehensive liberal arts education grounded in inquiry and project-based learning, while participating in numerous educational, & service learning trips and excursions. Middle school students will take the Algebra, Living Environment, and US History regents in the eighth grade. With parent consent, students have the option of going off campus for lunch. Parental involvement through our Leadership Team, the PTA, volunteer work, and fundraising efforts foster a successful school community.",,.,"Basketball League, Track and Field",25.0,.,,.,,.,.,.,.,This school will give priority to applicants eligible for Free and Reduced Lunch (FRL) for up to 40 percent of the seats.,Not Accessible,.,.,,.,.,.,.,,.,.,.,The Boerum Hill School for International Studies,.,.,306.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,.,Gr 6-12,"Basketball, Fitness, Flag-Football, Soccer (Early Bird & After-School), Table-Tennis",.,.,.,.,,,45,.,.,.,,French,8,3006401.0,.,"Chess, Dance, Fitness, Visual Arts & Digital Portfolio",.,.
X211U,.,.,8am-2:20pm,.,.,"Award-Winning Dancing Classrooms Program; Creative Writing; ELL Academy; Encores! New York City Center Program’s Annual Museum & Theater Trips (NYC, New Jersey, and Massachusetts); Extended Day Program; Grow NYC ; New York Common Pantry; School Marching Band (including: Drum Line, Brass Section, and Baton Twirling); Spring Recess Program; Studio in a School; Technology; Trip to Plimoth Plantation for seventh graders and Holiday Hills for eighth grade graduates",BRONX,.,.,"1919 Prospect Avenue, Bronx NY 10457",.,.,3,,East Tremont,.,,"Since our doors opened in 1969, generations of students, including some of our current teachers, have grown and developed in our classrooms. As we serve pre-k to eighth grade, a majority of our students stay in the school for over nine years. We offer a wide curriculum alongside an extensive Sports Program and an Arts Program that includes Encores!, a program at New York City Center which has affiliations with various museums in New York City (including The Mount Vernon Hotel Museum & Garden) as well as out of state (Plimoth Plantation in Massachusetts). Additionally, we have a strong partnership with the New York Botanical Garden and with the NY Common Pantry Healthy Eating Program. The Healthy Eating Program provides nutritional lessons for students in all grades as well as a parent workshop that involves our school community vegetable. We are a bilingual school committed to providing high-quality education to all students by meeting their emotional, social, and educational needs. We are also proud of our association with the Children's Aid Society, which enhances our services by providing after-school and holiday programs, and other community building activities.",,.,,19.0,.,,.,,.,.,.,.,,Partially Accessible,.,.,.,.,,.,.,Then to students and residents of District 12.,.,.,.,Academy for Language and Technology,.,.,206.0,East Tremont,,Gr K-8,"Basketball, Dance, Dodgeball, Flag Football, Volleyball",.,.,.,.,,,,.,.,,,Spanish,17,2094582.0,.,"Art, Ballroom Dancing, LEAP Program for English as a New Language Students, Living Environment Regents Prep, Marching Band, NY Common Pantry Healthy Eating, Learn to Earn (L2E)",.,.
M057S,.,.,8am-2:20pm,.,.,Breakthrough New York Academic Program; Chorus; City Year After-School Program; Double Dutch; Drumline (Tiger Band Program); Flag Corps Team; Little Scholars Tutoring Program; Roads To Success AfterSchool Program,MANHATTAN,.,.,"176 East 115th Street, Manhattan NY 10029",.,.,3,,East Harlem,.,,"We provide a rigorous learning environment that encourages all students to expand their horizons, achieve their dreams, and become lifelong learners. Our students will be prepared academically for Specialized High Schools and Regents exams. The main expectation of James Weldon Johnson Leadership Academy is that every student is high school ready and post-secondary ready. We prepare our students with the tools that they need to achieve this goal by partnering with community based organizations to help develop academic and socio-emotional growth. It is our vision that every child will grow up to be an educated and responsible adult. We expect students, parents, staff, and the community to work collaboratively to help us attain our goal of excellence. James Weldon Johnson Leadership Academy is a screened school that caters to the varied academic needs of all students. Our students follow our core values of ""Respect, Responsibility, and Reflection.""",,.,"Cross Country, Dance, Track and Field",31.0,.,,.,,.,.,.,.,,Not Accessible,.,.,,.,.,.,.,Then to students residing in the elementary school zone,.,.,.,Manhattan Center for Science and Mathematics,.,.,111.0,East Harlem North,.,Gr K-8,"Basketball, Cheerleading, Softball, Track and Field, Volleyball",.,.,.,.,,Academic and Personal Behaviors,,.,.,.,,Spanish,25,1083184.0,.,"Algebra, Ballroom Dancing, Hip Hop, Regents: Living Environment, SEP (Coding), US History, Visual Arts",.,.
K663L,.,.,8:45am-3:05pm,,.,"Arts, Basketball, Chess, Chorus, Cooking, Dance, Fashion Design, Flag Football, Instrumental Music, Rugby, STEP Team",BROOKLYN,.,.,"574 Dumont Avenue, Brooklyn NY 11207",.,.,3,,East New York,.,,"School of the Future Brooklyn provides a dynamic learning environment where students love the ability to work as real writers, readers, historians, scientists, and mathematicians. We are a small learning community where all students are challenged in many ways and valued as individuals with various talents and expertise, which allows our students to develop academically and socially. Classes involve small group and individual assignments, as well as interactive projects. Throughout their middle school journey, students are encouraged to develop their own voices in academics through participation in school activities and advisory. One-on-one coaching gives students the chance to develop learning plans and work through their academic challenges with effective guidance and support. Parents love the one-on-one attention that each student receives in his/her academic coaching sessions. In addition, Our free after-school enrichment program offers something for everyone with step, music, dance, sports, and cooking, and so much more. Parents also love that we develop independent and resilient thinkers who are prepared for the demands of high school and beyond. We partner with our sister school, The School of the Future in Manhattan.",,.,,10.0,.,,.,,.,.,.,.,,Not Accessible,.,.,,.,.,.,.,Then to students and residents of District 19.,.,.,.,High School for Public Service: Heroes of Tomorrow,.,.,305.0,East New York (Pennsylvania Ave),,Gr 6-8,Sports and Arts in Schools Foundation provides Basketball; Flag Football; Rugby; Track and Field until 6pm,.,.,.,.,,,,.,.,,,Other Language,16,3084617.0,.,"College Access for All, Creative Writing, Debate, GEMs (Girls Empowerment Movement), Graphic Novel Club, Living Environment Regents, Math Team, Million Oyster Project, Music, My Brother's Keeper, Newspaper, STARI, Theater, Visual Arts",.,.
M291S,.,.,8:20am-2:39pm,,.,Advisory Orientation (an overnight camping experience for incoming students); After-School Program; Arts Clubs; Chorus; Coding; Debate; Drama; Graphic Design; Jazz Band; Math Team; Rock Band; Science Club; Student Council,MANHATTAN,.,.,"227-243 West 61st Street, Manhattan NY 10023",.,.,9,,Lincoln Square,.,,"West End Secondary School promotes and supports scholarly endeavors through a rich and varied curriculum. The school emphasizes the core values of creativity, compassion, wonder, and resilience. Through an interdisciplinary approach, utilizing New York City as a learning lab, students experience rigorous coursework through authentic expeditions, which culminate in public presentations of learning. Expeditions engage students in case studies that examine and analyze compelling topics from a variety of perspectives, often working with experts in the field. Established partnerships with local museums provide students with opportunities to be the stewards of the city's future. Multiple partnerships with arts and performance organizations offer students a comprehensive cultural foundation in which their innate sense of wonder will thrive.",,.,"Cross Country, Track and Field",69.0,.,,.,,.,.,.,.,,Partially Accessible,.,.,,.,.,.,.,,.,.,.,,.,.,107.0,Lincoln Square,,Gr 6-9,"Basketball, Cross Country, Dance, Fitness Club, Soccer, Tennis, Track",.,.,.,.,,Attendance and Punctuality,,.,.,,,"French, Spanish",20,1030328.0,.,"Dance, Fitness, Mathematical Art, Poetry, Science Discovery, Strings, Yoga",.,.
Q087Z,.,.,8am-2:20pm,.,.,Cultural After-School Adventures (CASA); Field Trips to the Middle Village Adult Center; Greater Ridgewood Youth Council (GRYC); Honor Society; Round Table; School’s Out New York City (SONYC),QUEENS,.,.,"67-54 80th Street, Queens NY 11379",.,.,,,Middle Village,.,,"It is our mission to educate our children, not only academically, but through a core foundation of knowledge that includes the arts, technology, and the ability to accept individual differences as assets rather than hindrances. It is our hope that our students will recognize social injustices, speak out against inequities, and value humanity so that when they take over our society they are caring, empathetic people who will advocate for the goodness of all mankind.",,.,"Developmental Basketball, Flag Football",40.0,.,,.,,.,.,.,.,,Fully Accessible,.,.,.,.,,.,.,Then to students residing in the zone.,.,.,.,Queens Metropolitan High School,.,.,405.0,Middle Village,,Gr K-8,Tennis,.,.,.,.,,,,.,.,,,"French, German, Greek, Italian, Japanese, Portuguese",,4091737.0,.,"Art, Dance, Music, Physical Education, Technology",.,.
Q194U,.,.,8:05am-2:25pm,.,.,Boys and Girls Basketball; Chess Club Friends of Rachel; Citizen Science Club; Culture Club; Dance Team; Film Club; Jazz Band; LEGO Robotics; Math Team; Peer Tutoring; Ukulele Club; Volleyball; Yearbook Club,QUEENS,.,.,"154-60 17th Avenue, Queens NY 11357",.,.,2,,Whitestone,.,,"J.H.S. 194 aims to educate children holistically by challenging all students academically, encouraging student voice, and supporting self-expression through a diverse fine and performing arts department, which includes: fine art, concert band, theater, film and media, dance, chorus and photography. J.H.S. 194 strives to support students academically, socially, and emotionally through our grade-level academies, each with a dean, an assistant principal, and two shared guidance counselors. We house a Beacon program on-site which expands the choice of after-school activities for students. Our fine and performing arts department collaborates with numerous arts agencies throughout the city, including: New York City Center, Flushing Town Hall, Jazz from Lincoln Center, and Magic Box. We have student council in every grade and encourage students to be active members in the planning of school events. We believe parental involvement is essential to student success. We welcome open communication with our families and host a variety of events throughout the year.",,.,"Soccer, Volleyball",54.0,.,,.,,.,.,.,.,,Not Accessible,.,.,,.,.,.,.,Then to students zoned to or attending P.S. 193 or P.S. 209,.,.,.,Bayside High School,.,.,407.0,Whitestone,.,6-8,"Boys Basketball, Flag Football, Soccer, Volleyball",.,.,.,.,,,,.,.,.,,Spanish,57,4107342.0,.,"Concert Band, Chorus, Dance, Film and Media, Fine Art, Photography (Seventh and Eighth Grade), Public Speaking/Debate (Sixth Grade), Theater",.,.
X254L,.,.,8:10am-2:30pm,,.,After-School Academic Intervention Services; English Language Learner Program; Field Trips; Fitness Club; Student Government; Student Government; Visual & Performing Arts,BRONX,.,.,"2452 Washington Avenue, Bronx NY 10458",.,.,16,,Belmont,.,,"Students enjoy our family-like atmosphere and small classroom setting. Teachers are readily accessible to students before, during, and after school. Our school features a variety of academic and recreational programs, including after-school varsity sports and arts programs. Parents enjoy having access to teachers, guidance counselors, administrators, and school staff. Parents are invited to school events to learn about their child's academic, social, and emotional progress. Our school conducts special outreach to parents of students with a variety of learning needs. Beyond the required academic courses, students participate in a variety of extracurricular classes such as career development and sports. Our school also collaborates with a number of community organizations such as Fordham University, Manhattan College, Bronx Community College, Lehman College, and Bronx Institute (GEARUP). Unique education programs at TEAM 254: STEM Lab, two state-of-the-art science labs, one business-like Mac lab, Middle School Quality Initiative, Facing History, drama/theater program, Arts in the Middle, Lincoln Center, and Arthur Miller Partner. Regents offered in Algebra and Living Environment. CBO program partner is Community Association of Progressive Dominicans",,.,Soccer,23.0,.,,,,.,.,.,.,Then to students and residents of District 9.,Partially Accessible,.,,,.,,.,.,Then to students and residents of District 9 who sign in at an event,,.,.,DeWitt Clinton High School,.,.,206.0,Belmont,,Gr 6-8,"Basketball, Track and Field, Volleyball",.,,,.,,,,.,.,.,,Spanish,5,2103863.0,,"Arts, Drama, Theater",.,.
K181U,.,.,8:20am-2:39pm,.,.,African Drumming; Brooklyn Ballers Basketball Mentoring Program; Cheerleading; Chorus; Dance (Ballet/Modern); Music Contemporary Band,BROOKLYN,.,.,"1023 New York Avenue, Brooklyn NY 11203",.,.,1,,East Flatbush,.,,"Our mission is to effectively prepare students for the 21st century and align their academic experience with real-world demands. Through educational experiences, students can become lifelong learners and obtain the skills for college and career readiness. All stakeholders of the John Steptoe School are dedicated to achieving high standards of academic excellence for our students. To obtain this goal, we promote excellence through high standards of teaching, positive academic behavior, and social and emotional support. To further assist in this endeavor, we provide our students with a safe, supportive, and highly structured learning environment.",,.,"Developmental Basketball, Double Dutch, Fitness Club, Flag Football, Step",32.0,.,,.,,.,.,.,.,,Partially Accessible,.,.,,.,.,.,.,Then to students residing in the elementary school zone,.,.,.,Clara Barton High School,.,.,317.0,East Flatbush-Farragut,.,K-8,"Elementary Basketball Team, Middle School Basketball Team",.,.,.,.,,,,.,.,.,,Spanish,20,3327776.0,.,"Algebra I, English Regents, Living Environment",.,.
K267U,.,.,8:20am-2:40pm,.,.,3-D Printing/Robotics; Basketball; Chess; Cooking; Cosmetology; Culture Club; Debate Club; Guitar; Mentoring; Tae Kwon Do,BROOKLYN,.,.,"800 Gates Avenue, Brooklyn NY 11221",.,.,2,,Bedford-Stuyvesant,.,,"At M.S. 267, we have high expectations for all our scholars and we uphold the philosophy that all students can excel. Our students are exposed to Common Core aligned instruction each and every day. Teachers integrate technology such as SMART Boards, MacBooks and Google Classroom in their lessons to enhance learning and engage students. Each student has a laptop available for use through the school's state-of-the-art technology lab, including brand new MacBook Pros with Retina Display and 3D Printing. M.S. 267 provides a nurturing, supportive environment where diversity is celebrated. Students are also supported on their paths to success through a collaborative partnership between parents and staff. Parents appreciate our engaging, rich, challenging, and developmental curriculum as well as the ongoing communication from staff.",,.,,41.0,.,,.,4th Grade New York State ELA Exam: 17.5%,.,.,.,.,,Partially Accessible,.,.,Academic and Personal Behaviors: 15%,.,.,.,.,,.,.,.,Benjamin Banneker Academy,.,.,303.0,Stuyvesant Heights,.,6-8,Basketball,.,.,.,.,,,18,.,.,.,,,18,3044657.0,.,"Dance, High School Level Algebra, Living Environment, Regents Debate",.,.
K062A,.,.,8am-2:20pm,,.,ARCHON Service Society; Cheerleading; Crocheting; Culinary Club; Globaloria; Immigrant Literacy Program; Jewelry Making Club; LEGO Robotics; NJHS/ARISTA; Project BOOST; Science of Exercise Club; SHSAT Prep; Show Choir; Student Success Academy; Title III Before- and After-School Math/ELA; Winter and Spring Concerts/Art Show,BROOKLYN,.,.,"700 Cortelyou Road, Brooklyn NY 11218",.,.,4,,Kensington-Ocean Parkway,.,,"To help prepare our students for the ever-changing world of technology, most of our classrooms have SMART Boards. There are also three computer labs and several mobile labs totaling more than 550 desktops/laptops and 90 iPads. Additionally, our library has 30 iPads for student use. Ditmas participates in the Software Engineering Program where our students study computer programming, web design, scratch, circuitry, and robotics. Our Law and Community Service Institute features a community service program where our students go to various schools to perform community service during the school day. Our Academic, Performing and Visual Arts Institute features an intensive arts program of dance, chorus, keyboard, band, and visual arts. Our school has partnerships with Power My Learning, Groundswell, and CITE.",,.,"Fitness Club, Soccer, Track and Field",33.0,.,,.,,.,.,.,.,,Not Accessible,.,,,.,,.,.,,,.,.,Midwood High School,.,.,312.0,Kensington-Ocean Parkway,,Gr 6-8,"Basketball, Volleyball",.,,,,,4th Grade New York State Math Exam: 22.5%,,.,,.,,"French, Spanish",14,3126842.0,.,"College & Career Readiness/Enrichment Classes in Math and English, Ditmas News Network (newscast written, produced, directed, filmed, and edited by students), Foreign Language Proficiency Exams in French and Spanish, Living Environment Regents and Algebra I Regents, Software Engineering Program, SpellRead Program, Story Studio, Wilson Program",.,
X127A,.,.,8:10am-2:30pm,,.,"ARISTA/National Junior Honor Society (NJHS), Broadway Junior, College & Career Readiness, Cooking, Dance, Debate Team, Junior Ambassadors Program, Positive Behavior Interventions and Supports (PBIS) Program, Service Projects (coat, clothing, food, pet/animal drives, temporary housing & elder care visits, green/conservation projects), Specialized High Schools Admissions Prep (SHSAT), Student Council, Student Leadership Programs",BRONX,.,.,"1560 Purdy Street, Bronx NY 10462",.,.,5,,Parkchester,.,Priority to students and residents of District 11 who sign in at an event,"Students like our school because we support the whole child. We offer unique and specialized small learning communities, enrichment programs, and championship and award-winning athletic, arts, and extracurricular programs. We also offer exciting academic programs which give every child a chance to shine at what he or she loves to do. Parents like our school because they are brought into the process of providing a quality education for their child. Parents have an active and meaningful role as co-creators of the school direction through an active Parent Association and the School Leadership Team. We offer dynamic and engaging opportunities for parent and community involvement including a Harvest Fest, a Community Fair, numerous workshops, and training opportunities.",X127Z,.,Fitness Club,36.0,.,,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,.,.,.,.,,Not Accessible,.,,,.,,.,.,,,.,.,Herbert H. Lehman High School,.,.,209.0,Parkchester,,Gr 6-8,"Cheerleading, Fitness, Flag Football, Soccer",.,,,.,,4th Grade New York State Math Exam: 17.5%,73,.,.,.,"Last year, this program admitted students from all priority groups.",Spanish,12,2041247.0,,"Business, Dance, Production & Music, STEM/STEAM, Technology, Theater, Visual Arts, Youth Action Groups",.,.
M054M,.,.,8:40am-3pm,,.,"Art Portfolio; Camera Club; Coding; Community Service Club; Dance; Homework Help; Interactive Boards; Internet Access; JV Basketball; Jazz Ensemble; Laptop Carts; Math Team; Model UN; Musicals; Painting; School Library (29,000 items in collection & full-time librarian); School Musical; School-Wide Computer Network; SHSAT Preparation; Small-Group Academic Support; Student Council; Talent Show; Two Computer Labs",MANHATTAN,.,.,"103 West 107th Street, Manhattan NY 10025",.,.,3,,Morningside Heights,.,,"Students like our challenging academic program, the supportive relationships they form with the faculty, and our diverse curricular and extracurricular opportunities. Parents like that students learn to take responsibility for their academic achievement. Parents also appreciate the open communication they have with our school, the support for students' academic achievement and well-being, and the daily opportunities for students to meet with teachers for academic support. Students are placed in classes that meet their academic needs. These include Delta Honors classes and screened academic classes, amongst others. Students applying to the school are screened. Details about the admissions criteria and review process for those applying to the school can be found on the school website.",,.,,88.0,.,,.,,.,.,.,.,,Not Accessible,.,.,,.,.,.,.,,.,.,.,The Bronx High School of Science,.,.,107.0,Morningside Heights,,Gr 6-8,"Basketball, Soccer, Track and Field",.,.,.,.,,Academic and Personal Behaviors,,.,.,,,"French, Latin, Mandarin, Other Language, Spanish",68,1055990.0,.,"Band, Chorus, Debate, Drama, Film, Public Speaking, Strings, Technology, Visual Art",.,.
K240U,.,.,8am-2:20pm,,.,Academic Intervention and Enrichment; Archery; ARISTA Jr. Honor Society & Hudde Honors; Banking on Our Future; Broadway Jr.; CAMBA Community Based Organization; Chess (Competitions around the city); Coding; Dance; Drama; East Flatbush Village; Garden; Girl Be Heard; Glee; Guitar; Homework Help; LEGO Robotics; Music; Partnership with the District Attorney’s Office; Puppetry Animation; Student Government,BROOKLYN,.,.,"2500 Nostrand Avenue, Brooklyn NY 11210",.,.,2,,Midwood,.,,"Andries Hudde, I.S. 240 STEM Magnet School, promotes choice, equity, diversity, and excellence for all students. Students have full access to cutting edge, state of the art technology, preparing them for 21st century STEM based careers. Our students make real world connections through instruction. We create, collaborate, character build, and foster good self-esteem. We educate the whole child. We believe our instruction builds community, perks student curiosity, and bridges gaps. Our mission is to empower our students by providing solid academic skills, supporting them with resources that will make for dynamic future leaders and entrepreneurs. Our goal is to maximize student growth by providing them with a well-rounded, interdisciplinary education through project-based learning. Students will experience hands-on innovation, making for critical and creative thinkers. Students love to be at Hudde because of the many after-school and Saturday activities. We are rigorous, safe, and nurturing. We value the uniqueness of each student, preparing them for academic, artistic, musical, physical, and social/emotional growth. Hudde is more than a school, we are a family that is ""Magnificent in Midwood"".",,.,"Developmental Basketball, Fitness Club, Soccer",32.0,.,,.,Students who apply to this program will be randomly selected,.,.,.,.,,Not Accessible,.,.,,.,.,.,.,Then to students and residents of District 22.,.,.,.,Midwood High School,.,.,314.0,Midwood,,Gr 6-8,"Archery, Basketball (travelling league), Soccer, Step, Zumba",.,.,.,.,,,25,.,.,,,"French, Italian, Spanish",47,3208638.0,.,"Band, Orchestra, SEM (School Enrichment Model) Related Arts, Visual Arts",.,.
M415S,.,.,8am-3:36pm,,.,"21st Century Leadership; Advisory; Band & Percussion; Basketball; Chess Club; College For Every Student (CFES); Community Service Learning; Culinary Arts; Dance Workshop; Extended Learning Time; Fun STEM (Science, Technology, Engineering, and Math) Club; Glee Club; Musical Theater; Peer Mentoring; Pep Rally; Robotics Club; Student Government; Track and Field",MANHATTAN,.,.,"215 West 114th Street, Manhattan NY 10026",.,.,7,,Central Harlem South,.,,"Wadleigh Middle School is a warm and welcoming artistically rich environment. Our Scholars have the unique opportunity to receive three years of performing and visual arts instruction as they complete a rigorous Common Core-Aligned curriculum. Our performing arts courses include: visual arts, instrumental music, vocal music, dance, and theater arts. Middle school students perform alongside our high school students during the Fall, Winter, and Spring Showcases and other special events throughout the City. Wadleigh is distinctive in that it also exposes students to the arts via career and school fairs, cultural awareness events, arts competitions, school trips and other artistic events. Middle school students also participate in Early College Awareness activities and attend Wadleigh college tours and fairs. Our Scholars are also offered advanced elective courses in Regents Algebra and Regents Living Environment; and participate in varied sports, tutoring, and a wide choice of after-school programs. Wadleigh parents appreciate our family-like environment which allows their children to grow individually and excel academically and artistically.",,.,,11.0,.,,.,,.,.,.,.,,Partially Accessible,.,.,,.,.,.,.,Then to students and residents of Manhattan.,.,.,.,Wadleigh Secondary School for the Performing & Visual Arts,.,.,110.0,Central Harlem South,,Gr 6-12,"Basketball, Track and Field, Volleyball",.,.,.,.,,Attendance and Punctuality,,.,.,,,Spanish,7,1055204.0,.,"Culinary Arts (Cooking and Baking), Foreign Language, Performing Arts (Vocal Music, Instrumental Music, Drama, Dance), Regents Common Core Algebra (high school level course), Regents Living Environment (high school level course), Technology, Visual Arts (Painting, Drawing, Sketching, Photography, Ceramics)",.,.
X 243L,.,.,8:15am-3:05pm,,.,Arts; Cheerleading; Dance; Drama; Girls Talk; Project-Based Learning; Technology Program: Mobile Computer Labs; Voices and Choices; Writing Matters,BRONX,.,.,"500 East Fordham Road, Bronx NY 10458",.,.,6,,Belmont,.,,"Parents and students agree that our school feels like a family. Upon entering the school, it is abundantly apparent that respect for each other and for learning is of utmost importance. The efforts of all school personnel create a climate in which learning is valued. Parents appreciate the consideration and motivation that promotes learning. As one parent said: ""Our kids like school. It motivates us as parents to get involved."" Parents appreciate the wealth of information they receive about their children's progress.",,.,"Basketball League, Fitness Club, Swimming",34.0,.,,,,.,.,.,.,Then to students and residents of District 9.,Fully Accessible,.,,,.,,.,.,Then to students and residents of District 9 who sign in at an event,,.,.,West Bronx Academy for the Future,.,.,206.0,Belmont,,Gr 6-12,"Baseball, Basketball, Flag Football, Rugby, Soccer, Swimming, Volleyball",.,,,.,,,,.,.,.,,Spanish,20,2011810.0,,"Art, Music, Technology, Drama",.,.
M499S,.,.,8am-2:38pm,.,.,"Aviation; Chess; Debate; Field Trips; Hayden Math and Science Programs; Humanity Institute; Karate; Mediation; Mentoring; Mentoring In Medicine (MIM); Music, National Honor Society (NHS); National Junior Honor Society (NJHS); Peer Tutoring; Robotics; Sustainability",MANHATTAN,.,.,"2581 7th Avenue, Manhattan NY 10039",.,.,3,,Central Harlem North,.,,Frederick Douglass Academy is a college preparatory school with a structured liberal arts curriculum. Our goal is to provide a challenging curriculum that enables our students to enter a selective college or university of their choice. All students must abide by our 12 Non-Negotiable Rules and Student Creed.,,.,"Martial Arts (non-contact), Track and Field",19.0,.,,.,,.,.,.,.,,Partially Accessible,.,.,.,.,,.,.,,.,.,.,Frederick Douglass Academy,.,.,110.0,Central Harlem North-Polo Grounds,,Gr 6-12,"Basketball, Lacrosse, Soccer",.,.,.,.,,Attendance,,.,.,,,French,24,1060198.0,.,"Computer Programming: Gaming, JavaScript, Robotics, Web Design",.,.
