omppropid,global_id,descriptio,mou,nys_assemb,classorg,subcategor,proplocati,name,zipcode,shape_star,accessible,ampstype
RZ239,{13B5697A-097C-4FF0-8420-3722E38333B8},Haven Esplanade-Haven Esplanade (lower),DOT,61,NYCPARKS,Type 1,,,10301,1015.12580872,,S
BZ461,{76218816-7AA6-4F46-BC3C-18C40CBBCCEF},Archie C Ketchum Triangle,,47,NYCPARKS,Type 1 Greenstreet,,,11223,2264.70669556,,S
QZ748,{354F35EB-62C2-4972-9BF4-871DEE09FFE9},Greenstreet,DOT,23,NYCPARKS,,,,11694,3061.34115601,,S
MZ311,{CF7A4C9C-9828-4E7C-BB7B-CA7D29E4F745},Thomas Jefferson Park,DOT,68,NYCPARKS,,,,10029,903.484527588,,S
QZ732,{D64AB74E-4A7A-4B4C-91B6-B10E0FF2A2BF},Greenstreet,DOT,40,NYCPARKS,,,,11357,1776.05323792,,S
QZ71,{31C0CDE1-761C-473B-A914-0A789154AE78},Greenstreet,DOT,26,NYCPARKS,Type 1,,,11357,2529.95018005,,S
MZ77,{5A4CB3DF-7271-42A0-AD0D-E417A81E8D9F},Broadway Malls,,69,NYCPARKS,Type 1 Greenstreet,,,10027,4434.10534668,,S
QZ785,{FA20DC23-FFF0-4F83-A288-06181E958C78},B147 btw Dead End (beach entrance) to Newport,DOT,23,NYCPARKS,,,,11694,4069.42396545,,S
XZ387,{A665FE42-768E-4CAD-9F17-EB3CADF0DCAD},Bronx Park-Greenstreet,,87,NYCPARKS,Type 1,,,10462,1339.2303009,,S
MZ205,{D38ABD95-5F50-4AAC-99D1-E21048AC7E49},GREENSTREET,DOT,71,NYCPARKS,Type 1,,,10039,1066.81712341,,S
QZ548,{BCBB8BC5-77B1-408C-A60A-F536EB53D70E},Greenstreet,DOT,29,NYCPARKS,Type 2,,,11413,1342.65879822,,S
BZ557,{E918189E-2962-4DDB-A13F-00C1DDCC25F9},Park Circle Greenstreets,,44,NYCPARKS,Type 1,,,11215,285.358306885,,S
QZ1004,{94618635-582F-4003-B19C-105E0F17F1E9},Jackson Avenue Medians,DOT,37,NYCPARKS,,,,11101,1888.36405945,,S
QZ998,{C13AE8EA-87EB-4E00-9C2D-5FF0E9C2F452},Jackson Avenue Medians,DOT,37,NYCPARKS,,,,11101,278.902130127,,S
QZ290,{98A1B963-F53B-4E96-8698-EBA1492BAC93},Greenstreet,DOT,39,NYCPARKS,Type 1,,,11368,111.107955933,,S
BZ542,{168B4C33-8D3F-4A4B-9935-B8D375EE54A5},Pedestrian Refuge,DOT,51,NYCPARKS,,,,11231,396.703094482,,S
XZ84,{B3A01992-3E3A-478E-8B76-51105731560C},GREENSTREET,DOT,77,NYCPARKS,Type 1,,,10452,73.2001953125,,S
MZ161,{B155FAF5-B7CB-4C00-B331-BA03CB0288D6},Greenstreet,,71,NYCPARKS,Type 2 Greenstreet,,,10039,1938.27311707,,S
QZ880,{65683242-7070-4B1B-98E1-AD3F820CA889},Greenstreet,DOT,25,NYCPARKS,,,,11366,1998.81091309,,S
QZ76,{5B4C3C4C-FD66-42F4-BC7A-D2839CCBBA0B},Greenstreet,DOT,31,NYCPARKS,Type 1,,,11420,966.330780029,,S
QZ103,{FADEAF82-F524-4A2F-AA01-2900B7CF553D},Greenstreet,DOT,29,NYCPARKS,Type 1,,,11433,3437.08091736,,S
RZ242,{57981AF3-9912-44E6-ADA0-18DBBBBA63CC},Greenstreet,,61,NYCPARKS,Type 1 Greenstreet,,,10302,3590.37780762,,S
QZ925,{BF30F0F4-05F9-4314-9F86-0864A1B68723},Greenstreet,DOT,23,NYCPARKS,,,,11691,1519.35818481,,S
QZ726,{F2626322-542F-4E4C-BB8F-CCEB05B8DC4C},Greenstreet,DOT,25,NYCPARKS,,,,11367,5581.83456421,,S
MZ70,{B070BB40-5D36-462C-9995-317D886B4904},Greenstreet,DOT,69,NYCPARKS,Type 1,,,10025,742.942932129,,S
QZ111,{E99DA7F6-2338-4DD8-A2EF-E85EF16ECDBD},Greenstreet-Fagan Square,,30,NYCPARKS,Type 1,,,11377,2203.45484924,,S
BZ559,{30D306CC-034B-4B3E-9CAD-A3AAAEDB8276},"Vanderbilt Av Pedestrian Refuges, Park to Dean",DOT,57,NYCPARKS,,,,11238,408.494491577,,S
RZ308,{710AD2E3-7218-4682-ADA5-81BBB7699F86},Hylan & Vaughan,DOT,64,NYCPARKS,,,,10305,2999.83787537,,S
XZ441,{7C2CF571-5A39-45C0-B85A-90A2B76CAE3D},JOHN MULLALY PARK-Greenstreet,,84,NYCPARKS,,,,10452,394.001373291,,S
QZ70,{382E90A7-CC29-473D-A467-DF64A2E48379},Greenstreet,DOT,26,NYCPARKS,Type 1,,,11357,1930.88656616,,S
XZ414,{C99185B9-3DC3-40B7-9DF9-1827CE77DCD4},Rosedale Bus Stop,,87,NYCPARKS,Type 1 Greenstreet,,,10472,5191.60173035,,S
BZ534,{5AD8BA52-133A-40C5-BE80-6913804427D7},Cropsey Ave,DOT,46,NYCPARKS,,,,11214,12444.0718994,,S
RZ310,{DEA87756-C29C-4494-BBAF-A83EE00B224B},Richmond Ave & Draper Pl & Travis Ave,DOT,63,NYCPARKS,,,,10314,1026.22036743,,S
MZ162,{99D8B83C-7F00-43D2-A705-3F9AF00FC2B0},Greenstreet,,70,NYCPARKS,Type 2 Greenstreet,,,10026,1109.12522888,,S
MZ08,{BA0C428A-F685-42F8-AFFE-51BF463FAEB2},GREENSTREET,DOT,66,NYCPARKS,Type 1,,,10014,1065.79748535,,S
MZ212,{3BB8BCD0-E106-46D4-A2AF-504DC64040BF},GREENSTREET,DOT,"70, 68",NYCPARKS,Type 1,,,10026,2501.51527405,,S
QZ422,{00F694E0-7C8F-4B72-8C97-245F1CF0A251},Greenstreet,DOT,27,NYCPARKS,Type 1,,,11367,1679.26097107,,S
QZ685,{ACCE196E-EC2B-40CF-909F-5B6426C096C5},Greenstreet,DOT,23,NYCPARKS,Type 2,,,11693,8980.94108582,,S
QZ966,{6BFD4558-9F39-4DCD-953D-6ABA74C9E2EA},Bowne st & Northern Blvd,DOT,40,NYCPARKS,,,,11354,362.814193726,,S
QZ552,{776B91A0-FD6E-427F-AB3C-E93351CD8BE3},Greenstreet,DOT,29,NYCPARKS,Type 1,,,11422,2428.83132935,,S
QZ653,{346F737C-CA16-4D7F-AB98-0F535357CD0E},Greenstreet,DOT,23,NYCPARKS,Type 1,,,11691,1690.86647034,,S
MZ53,{8DD3FC4A-9375-4007-AB22-CACA94736233},Riverside Park-Greenstreet,Other,70,NYCPARKS,Type 2,,,10031,1476.04325867,,S
QZ872,{7D4BD8CA-69F4-435D-B1D7-9C63CE95EC25},Greenstreet,DOT,27,NYCPARKS,,,,11356,6838.67056274,,S
MZ296,{C7EAFB95-6661-4E7E-836D-FE44165D1F07},GREENSTREET,DOT,74,NYCPARKS,,,,10009,1051.37513733,,S
QZ897,{1103A80F-3ADA-4BE2-BC94-9B3A7D607D34},Midland Malls-Greenstreet,,24,NYCPARKS,Type 1 Greenstreet,,,11432,510.813690186,,S
QZ865,{60067ECA-8505-414F-B5E0-30E96C3FAF05},Union Tpke bet. Myrtle Ave & Woodhaven Blvd. (1),DOT,28,NYCPARKS,,,,11385,2317.10432434,,S
QZ116,{ED1A6991-4C17-4233-BDD2-1E28E2B759D9},Greenstreet,DOT,40,NYCPARKS,Type 1,,,11354,1043.4586792,,S
QZ930,{E994E396-88D4-45D1-A1D9-D392A6B87CF9},Greenstreet,DOT,28,NYCPARKS,,,,11385,2736.60298157,,S
QZ317,{AFEB1DC2-51AC-4825-B989-73424EB81877},Greenstreet,DOT,28,NYCPARKS,Type 1,,,11375,1025.84318542,,S
XZ83,{183C9DDF-1D9A-415E-89E8-84CD374FF261},GREENSTREET,DOT,77,NYCPARKS,Type 1,,,10456,73.19871521,,S
MZ35,{24429B0A-C594-427F-8D2E-2BE4D1522A40},GREENSTREET,DOT,65,NYCPARKS,Type 1,,,10038,2370.33706665,,S
MZ158,{0999AF7A-9239-41F4-9144-ECB7D4C6492D},Greenstreet,,71,NYCPARKS,Type 2 Greenstreet,,,10039,2171.13800049,,S
QZ121,{37D44841-1C26-4AFC-BAF8-8B2CB19F2BCF},Greenstreet,DOT,26,NYCPARKS,Type 1,,,11361,547.355819702,,S
QZ862,{B3938F51-1D90-4CC1-AFCE-B4EBF9E44186},Greenstreet,DOT,30,NYCPARKS,,,,11378,1717.34405518,,S
QZ248,{F0A1D04A-A2F7-423B-B623-1EA16321B84E},34th Ave Mall-Greenstreet,,34,NYCPARKS,Type 1 Greenstreet,,,11372,1339.32174683,,S
QZ746,{E14F96AD-2FD0-4BD4-825E-562037F2A8F2},Greenstreet,DOT,24,NYCPARKS,,,,11432,1076.32310486,,S
XZ111,{D9A1E2D2-EC07-4A05-B6DF-0D48C26E7F9A},Greenstreet,,78,NYCPARKS,Type 1 Greenstreet,,,10460,13241.8004303,,S
QZ962,{5AFE2465-F046-4D72-9C8B-E8916F9A4966},Nothern Blvd. Btw. 103 & 104,DOT,35,NYCPARKS,,,,11368,352.448150635,,S
QZ754,{29CDD5CD-4332-4A2B-A6F9-1D450FC37C3B},Greenstreet,DOT,23,NYCPARKS,,,,11694,3061.34077454,,S
QZ503,{6DCF351F-CA62-4BD9-9CDC-5BD83C396370},Greenstreet,DOT,32,NYCPARKS,Type 2,,,11434,2162.5725708,,S
QZ354,{D946465E-B8BA-4617-ACD4-9D7E5E01B093},Greenstreet,DOT,25,NYCPARKS,Type 1,,,11358,641.041366577,,S
QZ268,{EAD7F25E-7247-4D08-AB40-2DAC91F1FA87},Greenstreet,,34,NYCPARKS,Type 2 Greenstreet,,,11372,1714.38682556,,S
