dbn,_01_removals,_11_removals,_02_expulsions,_09_expulsions,administrative_district,_09_superintendent,_09_principal,_06_principal,_05_principal,sy1718_total_removals,_12_removals,_08_principal,_12_superintendent,_06_removals,_05_superintendent,_12_principal,location_category,_07_superintendent,_03_expulsions,_09_removals,_05_removals,_11_principal,_03_superintendent
19K325,R,R,R,R,19,R,R,R,R,6,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
02M393,R,R,R,R,2,R,12,R,R,66,R,R,R,R,R,11,High school,R,R,R,R,R,R
07X018,R,R,R,R,7,R,R,R,R,7,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
03M009,R,R,R,R,3,R,R,R,R,10,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
09X555,R,R,R,R,9,R,R,R,R,24,R,R,R,R,R,R,Elementary,R,R,R,12,R,R
12X536,R,R,R,R,12,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
01M134,R,R,R,R,1,R,R,R,R,42,R,R,R,R,R,R,Elementary,R,R,R,11,R,R
15K448,R,R,R,R,15,R,R,R,R,66,R,R,R,R,R,R,Secondary School,9,R,R,R,R,R
03M452,R,R,R,R,3,R,R,R,R,20,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
16K028,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X437,R,R,R,R,10,R,R,R,R,7,R,R,R,R,R,R,High school,R,R,R,R,R,R
19K431,R,R,R,R,19,R,R,R,R,0,R,R,R,R,R,R,High school,R,R,R,R,R,R
20K187,R,R,R,R,20,R,R,R,R,10,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
10X244,R,R,R,R,10,R,R,R,R,63,R,8,R,R,R,R,Junior High-Intermediate-Middle,8,R,R,R,R,R
12X300,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
15K423,R,R,R,R,15,8,12,R,R,49,R,R,R,R,R,R,High school,R,R,R,R,12,R
19K504,R,R,R,R,19,R,21,R,R,91,R,R,8,R,R,R,High school,R,R,R,R,R,R
18K114,R,R,R,R,18,R,R,R,R,9,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
09X454,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
12X006,R,R,R,R,12,R,R,R,10,44,R,R,R,R,R,R,Elementary,R,R,R,6,R,R
20K176,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X396,R,R,R,R,10,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
09X260,R,R,R,R,9,R,R,R,R,11,R,R,R,R,R,R,High school,R,R,R,R,R,R
05M318,R,R,R,R,5,R,R,R,R,6,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
08X392,R,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
14K297,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
16K005,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
03M166,R,R,R,R,3,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
08X107,R,R,R,R,8,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
02M376,R,R,R,R,2,R,R,R,R,22,R,R,R,R,R,6,High school,R,R,R,R,R,R
10X246,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
17K539,R,R,R,R,17,8,7,R,R,58,R,R,R,R,R,R,High school,R,R,R,R,8,R
11X514,R,R,R,R,11,R,33,R,R,91,R,R,R,R,R,R,High school,R,R,8,R,R,R
19K013,R,R,R,R,19,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
01M509,R,R,R,R,1,R,7,R,R,23,R,R,R,R,R,R,High school,R,R,R,R,R,R
12X286,R,R,R,R,12,R,R,7,R,37,R,6,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
02M432,R,R,R,R,2,R,21,R,R,57,R,R,R,R,R,R,High school,R,R,R,R,6,R
08X071,R,R,R,R,8,R,R,R,R,52,R,R,R,R,R,R,K-8,R,R,R,6,R,R
14K017,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
09X028,R,R,R,R,9,R,R,R,R,51,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
07X259,R,R,R,R,7,R,21,R,R,103,R,R,R,R,R,R,High school,R,R,R,R,22,R
15K497,R,R,R,R,15,R,R,R,R,7,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R
11X153,R,R,R,R,11,R,R,R,8,24,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
07X334,R,R,R,R,7,R,13,R,R,54,R,R,R,R,R,R,High school,R,R,R,R,14,R
12X248,R,R,R,R,12,11,42,R,R,161,R,R,R,R,R,15,High school,R,R,R,R,R,R
12X321,R,R,R,R,12,R,R,R,R,16,R,R,R,R,R,7,High school,R,R,R,R,R,R
18K635,R,R,R,R,18,R,R,R,R,19,R,R,R,R,R,R,High school,R,R,R,R,R,R
15K118,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
15K169,R,R,R,R,15,R,R,R,R,14,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
16K267,R,R,R,R,16,R,R,R,R,17,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
08X376,R,R,R,R,8,R,11,8,R,63,R,6,R,R,R,R,Secondary School,R,R,R,R,R,R
07X584,R,R,R,R,7,R,R,31,R,57,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
07X043,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X056,R,R,R,R,10,R,R,R,R,14,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
19K654,R,R,R,R,19,R,R,R,R,29,R,R,R,R,R,R,Junior High-Intermediate-Middle,16,R,R,R,R,R
04M146,R,R,R,R,4,R,R,R,R,18,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
09X568,R,R,R,R,9,R,R,11,R,35,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R
03M180,R,R,R,R,3,R,R,R,R,20,R,R,R,R,R,R,K-8,R,R,R,R,R,R
08X562,R,R,R,R,8,R,R,R,R,6,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
05M129,R,R,R,R,5,R,R,R,R,22,R,R,R,R,R,R,K-8,6,R,R,R,R,R
02M294,R,R,R,R,2,R,R,R,R,15,R,R,R,R,R,R,High school,R,R,R,R,R,R
04M372,R,R,R,R,4,R,14,8,R,71,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R
11X097,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
19K663,R,R,R,R,19,R,R,R,R,31,R,R,R,R,R,R,Junior High-Intermediate-Middle,11,R,R,R,R,R
04M497,R,R,R,R,4,R,R,R,R,6,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
11X566,R,R,R,R,11,R,R,R,R,61,R,8,R,R,R,R,Junior High-Intermediate-Middle,15,R,R,R,R,R
17K745,R,R,R,R,17,R,R,R,R,16,R,R,R,R,R,R,High school,R,R,R,R,R,R
05M175,R,R,R,R,5,R,R,R,R,27,R,R,R,R,6,R,Elementary,R,R,R,R,R,R
05M369,R,R,R,R,5,R,21,R,R,50,R,R,R,R,R,6,High school,R,R,R,R,R,R
18K366,R,R,R,R,18,R,R,R,R,39,R,R,R,R,R,R,Junior High-Intermediate-Middle,6,R,R,R,R,R
13K313,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
05M125,R,R,R,R,5,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
19K501,R,R,R,R,19,R,R,R,R,6,R,R,R,R,R,R,High school,R,R,R,R,R,R
08X559,R,R,R,R,8,12,48,R,R,127,R,R,R,R,R,R,High school,R,R,R,R,19,R
02M297,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
02M630,R,R,R,R,2,R,10,R,R,33,R,R,R,R,R,R,High school,R,R,R,R,11,R
06M457,R,R,R,R,6,R,R,R,R,0,R,R,R,R,R,R,High school,R,R,R,R,R,R
15K058,R,R,R,R,15,R,R,R,R,6,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X007,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X280,R,R,R,R,10,R,R,8,R,18,R,R,R,R,R,R,K-8,R,R,R,R,R,R
07X030,R,R,R,R,7,R,R,R,R,14,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
