ueid_base,nativestatus2,vegetationmaintenance,recordedname3,latinname4,environmentaldisturbance3,ecologicalclassification,nativestatus6,historicalindicators1,currentuse1,latinname2,topography,nativestatus4,dominantwoodyplants,height2,historicalindicators2,vegetationunder15ft
Q021_1988_42,,,,,Erosion,IB2a(3),,Picnic site,Foot traffic,Acer rubrum var. rubrum,Depression,,Deciduous,5'-30',,Hemicryptophytes
Q021_1988_183,,,Eastern cottonwood,Quercus rubra,,IIB2a(3),,,,Malus sp.,Level,,Deciduous,<5' & 5-30',,Hemicryptophytes
Q021_1988_235,Exotic,,Flowering dogwood,,,IB2a(6),,,Vehicle access,Celastrus orbiculatus,Level,,Deciduous,5'-30',,Lianas
Q021_1988_44,,,Black cherry,,Fire,IB2a(1),,,Foot traffic,Quercus palustris,Undulating,,Deciduous,>30',,Phanerophytes
X039_1986_826,,Not mowed/not pruned/not removed,Black locust,Rubus sp.,,IIB3a(2),,.,Foot traffic,Ailanthus altissima,Level,,Deciduous,>5m,,Chamaephytes
X268_2007_29,Exotic,,"Knotweed, Japanese",Rosa multiflora,,IIB2a(6),Exotic,,,Ampelopsis brevipedunculata,Level,Exotic,Deciduous,<5' & 5-30',,Lianas
Q024_1986_16,,,Cool season grass,Allium schoenoprasum,,IVC1e,,Old benches,Foot traffic,Impatiens capensis,Level,,,<5',,Hemicryptophytes
Q001_1987_59,,,Sweetgum,Lysimachia ciliata,,IVA2a,,,Foot traffic,Phytolacca americana var. americana,Level,,,5-30'&5',,Hemicryptophytes
Q021_1988_42,,,,,Erosion,IB2a(3),,Picnic site,Foot traffic,Acer rubrum var. rubrum,Depression,,Deciduous,5'-30',,Hemicryptophytes
X080_2007_13,Exotic,,"Oak, red",Quercus palustris,,,,,,Acer platanoides,Slope,Native,Deciduous,<5' & 5-30',,Hemicryptophytes
Q001_1987_86,Exotic,,Rubus,Rubus phoenicolasius,,IIB2a(6),Exotic,,Foot traffic,Celastrus orbiculatus,Level,Exotic,Deciduous,<5' & 5-30',,Lianas
Q024_1986_11,,,Tulip tree,Quercus rubra,Fire,IB2a(2),,,Foot traffic,Fagus grandifolia,Slope,,Deciduous,>30',,Chamaephytes
Q001_1987_208,,,Sweetgum,Acer rubrum var. rubrum,,IB2a(1),,,Drain,Platanus occidentalis,Level,,Deciduous,All,,Phanerophytes
Q024_1986_56,,,Polygonum,Solidago sp.,,IVC1e,,Landfill,Foot traffic,Phragmites australis,Undulating,,,<5',,Hemicryptophytes
Q001_1987_297,,,,,,IVA3a(5),,Landfill,,,Knoll,,,,,Hemicryptophytes
Q024_1986_170,Exotic,,Weeping willow,,,IVA1a,,,Foot traffic,Artemisia vulgaris,Level,,,<5' & 5-30',,Geophytes
Q021_1988_244,,,Rose,Artemisia vulgaris,Wood dump,VIIICO,,,Foot traffic,Parthenocissus quinquefolia,Slope,Exotic,Deciduous,<5' & 5-30',,Lianas
X308_2005_2,,,Goldenrod sp.,Rubus laciniatus,,,,Building,,Allium schoenoprasum,Level,Exotic,Deciduous,<5',,Lianas
Q021_1988_189,,,,,,IIB2a(2),,,Foot traffic,Rhus glabra,Slope,,Deciduous,<5' & 5-30',,Chamaephytes
Q001_1987_21,,,Sassafras,Parthenocissus quinquefolia,,VIIICO,,Road,Foot traffic,Vitis sp.,Level,,Deciduous,<5' & 5-30',,Lianas
Q001_1987_294,,,,,,IIIA1,,,,,Level,,Deciduous,,,Chamaephytes
X080_2007_12,Exotic,,"Oak, red",Alliaria petiolata,,,,,,Acer pseudoplatanus,Slope,Exotic,Deciduous,<5' & 5-30',,Geophytes
X007_2006_12,Exotic,,,,Trash,,,,Foot traffic,Artemisia vulgaris,Slope,,Deciduous,<5' & 5-30',,Hemicryptophytes
Q021_1988_28,,,Flowering dogwood,,,IB2a(3),,Other,Foot traffic,Carya spp.,Slope,,Deciduous,>30',,Hemicryptophytes
Q001_1987_60,,,Path rush,Cabomba caroliniana,,IVB1b,,,Foot traffic,Polygonum sp.,Slope,Exotic,,<5',,Hemicryptophytes
X092_2010_1104,Native,No,"Pine, white",,,IB2a6,,Fence,,Toxicodendron radicans ssp. radicans,Level,,Deciduous,<5' & 5-30',Planting,Lianas
Q001_1987_32,,,Black cherry,Carya spp.,,IB2a(1),,,Vehicle,Betula lenta,Slope,,Deciduous,>30' & 5-30',,Phanerophytes
Q021_1988_50,,,,,,VDO,,,Sports,,Level,,,,,Hemicryptophytes
Q021_1988_236,,,Tulip tree,Prunus serotina,,IB2a(1),,,Vehicle access,Sassafras albidum,Undulating,,Deciduous,All,,Phanerophytes
X080_2007_10,Exotic,,Linden,Acer negundo var. negundo,,,Exotic,,Foot traffic,Acer platanoides,Slope,Native,Deciduous,<5' & 5-30',,Hemicryptophytes
X005_2007_5,Native,,"Pine, white",,,IB2a6,,Foundation,Foot traffic,Quercus rubra,Slope,,Deciduous,>30',,Phanerophytes
Q021_1988_209,Exotic,,Blackhaw,Prunus serotina,,IIB2a(1),,Road,,Ailanthus altissima,Slope,,Deciduous,<5' & 5-30',,Phanerophytes
Q001_1987_55,,,Black oak,Betula lenta,Compaction,IB2a(1),,Water fntn.,Foot traffic,Fagus grandifolia,Undulating,,Deciduous,All,,Phanerophytes
Q021_1988_272,,,,,,IVA3a(5),,Landfill,Foot traffic,,Level,,,,,Hemicryptophytes
Q021_1988_55,,,,,Trash,IB2a(1),,,Foot traffic,Acer rubrum var. rubrum,Level,,Deciduous,5'-30',,Phanerophytes
Q021_1988_172,,,Rubus,,,IB2a(2),,Landfill,,Sassafras albidum,Level,,Deciduous,<5' & 5-30',,Chamaephytes
Q001_1987_296,,,,,,IVA1b(2),,,Foot traffic,Solidago sp.,Level,,,<5',,Hemicryptophytes
X110A_2007_6,,,,,,VE,,,,,Level,,,,,
Q020_2005_7,Exotic,,"Aspen, quaking",Robinia pseudoacacia,,IIB2a1,,,,Reynoutria japonica,Level,,Deciduous,<5' & 5-30',,Phanerophytes
X268_2007_43,Native,,"Oak, pin",Toxicodendron radicans ssp. radicans,,IB2a(6),,,,Fraxinus pennsylvanica,Undulating,Native,Deciduous,<5' & 5-30',,Lianas
R088_2009_16,,,"Oak, pin",Acer palmatum,,IB2A1,,Fence,,Quercus rubra,Undulating,Exotic,Deciduous,5'-30',Yellow trail,Phanerophytes
X308_2005_7,Exotic,,"Plantain, English",Morus alba,,,,Seawall,,Artemisia vulgaris,Level,Exotic,Deciduous,<5',,Hemicryptophytes
Q021_1988_50,,,,,,VDO,,,Sports,,Level,,,,,Hemicryptophytes
Q024_1986_96,,,Smooth sumac,Artemisia vulgaris,,IIB2a(3),,,Foot traffic,Prunus serotina,Slope,Exotic,Deciduous,<5' & >30',,Hemicryptophytes
Q001_1987_135,,,Phragmites,Rosa sp.,,IIB2a(1),,Culvert,,Liquidambar styraciflua,Level,Exotic,Deciduous,<5' & 5-30',,Phanerophytes
Q024_1986_91,,,Sycamore maple,Viburnum dentatum var. lucidum,,IB2a(1),,Road,Foot traffic,Quercus velutina,Slope,,Deciduous,All,,Phanerophytes
X005_2007_3,Native,,"Ivy, poison",,,IVA31,,,,Circaea canadensis,Slope,,Deciduous,<5',,Hemicryptophytes
