location_name,tier_3_support_leader_name,community_district,grades_text,principal_title,latitude,fax_number,principal_name,location_category_description
W.E.B. Dubois Academic High School,,309,"09,10,11,12",PRINCIPAL,40.669561,718-773-7849,Catherine Hartnett,High school
Frederick Douglass Academy VII High School,,316,"09,10,11,12,SE",I.A. Principal,40.665568,718-922-2761,Tamika Matheson,High school
P.S./I.S. 30 Mary White Ovington,Mauriciere de Govia,310,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.633598,718-491-8445,Carol Heeraman,K-8
P.S. 200- The James McCune Smith School,"CHU, YUET",110,"PK,0K,01,02,03,04,05,SE",Principal,40.823988,212-491-6925,RENEE BELTON,Elementary
The Opportunity Charter School,,110,"06,07,08,09,10,11,12,SE",Executive Director,40.801573,212-665-7436,Sade McCaw/Leonard Goldberg,Secondary School
East Brooklyn Ascend Charter School,,305,0K,,40.681183,,,Junior High-Intermediate-Middle
P.S. 178 Saint Clair Mckelway,,316,"PK,0K,01,02,03,04,05,06,07,08,SE",I.A. Principal,40.67538,718-495-2304,Loren Cooper,K-8
"Magnet School of Math, Science and Design Technolo",,307,"0K,01,02,03,04,05,06,SE",Principal,40.660912,718-369-1736,LAURA SCOTT,Elementary
P.S. 054 Samuel C. Barnes,,303,"PK,0K,01,02,03,04,05,SE",Principal,40.692616,718-852-8129,Anthony Pirro,Elementary
The Ethical Community Charter School (TECCS),,303,"01,02,03,04,05",PRINCIPAL,40.697377,718-599-2814,Annette Keane,Elementary
Manhattan Charter School II,,103,"0K,01,02,03,04,05",PRINCIPAL,40.713362,212-964-3795,Amy Salazar/Genie Depolo,Elementary
P.S. 029 John M. Harrigan,,306,"PK,0K,01,02,03,04,05,06,SE",Principal,40.686843,718-596-1887,Rebecca Fagin,Elementary
P.S. 69 Vincent D. Grippo School,Mauriciere de Govia,310,"0K,01,02,03,04,05,SE",Principal,40.632392,718-630-3894,JAYNEMARIE CAPETANAKIS,Elementary
Brooklyn RISE Charter School,,307,"0K,01",,40.643747,,,Elementary
Edmund W. Gordon Brooklyn Laboratory Charter Schoo,,302,"06,07,09",Principal,40.70043,,"Eric Tucker, Phd",Secondary School
Coalition School for Social Change,,111,"09,10,11,12,SE",PRINCIPAL,40.799265,212-831-5951,Geralda Valcin,High school
Paul Robeson High School,,308,"11,12,SE",PRINCIPAL,40.675905,718-467-3692,Ronald Williams Wells,High school
P.S. 376,,304,"0K,01,02,03,04,05,SE",I.A. Principal,40.69805,718-573-0769,Maria Vera,Elementary
P.S. 397 Foster-Laurie,Mauriciere de Govia,309,"PK,0K,01,02,03,04,05,SE",Principal,40.658663,718-953-4856,Marie Casseus Monteau,Elementary
Lafayette High School,,313,"09,10,11,12",,40.593028,718-996-6684,,High school
The High School for Global Citizenship,Mauriciere de Govia,309,"09,10,11,12,SE",Principal,40.669805,718-230-6301,Michelle Rochon,High school
I.S. 364 Gateway,,305,"06,07,08,SE",Principal,40.646211,718-642-8516,Nicole Fraser Edmund,Junior High-Intermediate-Middle
Frederick Douglass Academy VIII Middle School,,305,"06,07,08,SE",Principal,40.64664,718-642-4537,Chantal Grandchamps,Junior High-Intermediate-Middle
Collegiate Academy for Math and Personal Awareness,,305,"06,07,08",PRINCIPAL,40.65787,,George E. Leonard,Junior High-Intermediate-Middle
I.S. 303 Herbert S. Eisenberg,Mauriciere de Govia,313,"06,07,08,SE",Principal,40.582518,718-996-3785,CARMEN AMADOR,Junior High-Intermediate-Middle
Christopher Avenue Community School,,316,"PK,0K,01,02,03,04,05,SE",Principal,40.672216,718-495-5764,DEON MITCHELL,Elementary
Amistad Dual Language School,"CHU, YUET",112,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.866381,212-569-7765,ROBIN EDMONDS,K-8
P.S. 200 Benson School,Mauriciere de Govia,311,"PK,0K,01,02,03,04,05,SE",Principal,40.602809,718-232-3428,JAVIER MUNIZ,Elementary
Imagine Me Leadership Charter School,,305,"0K,01,02,03,04,05,06",Principal,40.660077,347-985-2145,Katherine Corbett/Bevon Thompson,Elementary
P.S. 023 Carter G. Woodson,,303,"PK,0K,01,02,03,04,05,SE",Principal,40.69447,718-302-2312,Joseph Mattina,Elementary
Brooklyn School of Inquiry,Mauriciere de Govia,311,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.606994,718-621-5735,Eric Havlik,K-8
The Urban Assembly School for Collaborative Health,,305,"09,10,11,12,SE",Principal,40.693002,718-277-6041,Candace Hugee,High school
La Cima Charter School,,303,"0K,01,02,03,04,05",Principal,40.68797,718-443-7291,Guerschmide Saint-Ange/Nisah Brinson,Elementary
Brooklyn Technical High School,,302,"09,10,11,12",I.A. Principal,40.688896,718-260-9245,David Newman,High school
Satellite Three,,302,"08,SE",PRINCIPAL,40.684286,718-789-5814,Beatrice Thompson,Junior High-Intermediate-Middle
P.S. 075 Mayda Cortiella,,304,"PK,0K,01,02,03,04,05,SE",Principal,40.693261,718-574-1051,Yolanda Williams,Elementary
New American Academy Charter School,,317,"0K,01,02,03,04,05",PRINCIPAL,40.651642,718-385-1856,Lisa Parquette Silva,Elementary
Medgar Evers College Preparatory School,,309,"06,07,08,09,10,11,12,SE",Principal,40.66679,718-703-5600,MICHAEL WILTSHIRE,Secondary School
Digital Arts and Cinema Technology High School,,306,"09,10,11,12,SE",Principal,40.685006,718-694-9745,Dawn Meconi,Secondary School
I.S. 171 Abraham Lincoln,,305,"06,07,08,SE",Principal,40.685852,718-827-5834,Indira Mota,Junior High-Intermediate-Middle
