phone,district_indistrict_2,bbl,latitude,district_otherzone_2,census_tract,latepickup,nyceec_current_some,district_2,district_outdistrict,district_outdissibs_2,contact_name,longitude,district_outdistrict_2,meals,programcode3,income_flg,website,magnet
718-624-0501,,3002710032.0,40.690159,,9.0,,,,,,Maria Perdik-Zolotas,-73.99145,,Contact program,,,Afantis.org,
212-254-3070,,1003230073.0,40.717468,,1002.0,,,,,,Betsy Soto,-73.979726,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,,
718-234-6463,,3055130044.0,40.619815,,244.0,5pm,,,,,Joann Serra,-73.98245,,Breakfast/Lunch,,,littlebrilliantminds.com,
718-828-6607,,2035640001.0,40.818228,,16.0,,,,x,,Anne Ogrady,-73.856302,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/08/x182,
347-735-4018,,2030330004.0,40.860848,,38302.0,,,,,,Juliet Sarkodie,-73.892224,,Breakfast/Lunch,,,schools.nyc.gov/Academics/EarlyChildhood/District10PKC,
718-287-0037,,3048850012.0,40.650862,,824.0,6pm,,,,,Pettrina Clarke,-73.948289,,Contact program,,,,
212-679-2393,,1009620100.0,40.739173,,62.0,5:45pm,,,,,Mrs. Tigsi,-73.976862,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,bellevuedaycarecenter.org,
718-363-8200,,3013890035.0,40.669001,,353.0,Contact program for time,,,x,,Kevin Bowles,-73.934635,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/17/k532,
718-913-0100,,3048670025.0,40.653599,,870.0,Contact program for time,,,,,Alfred Cockfield,-73.93403,,Breakfast/Lunch/Snack(s),,,,
212-734-7127,x,1015450005.0,40.775078,x,138.0,,,,,x,Doreen Esposito,-73.953096,x,Contact program,,,,
718-881-2000,,2033350060.0,40.874134,,419.0,,,,,,Ruth Montalvo,-73.88031,,Breakfast/Lunch,,,,
718-387-3241,,3027870001.0,40.710609,,503.0,,,,x,,Alison Alexander,-73.946977,,Breakfast/Lunch,,,ps18k.com,
718-943-0580,,2038090018.0,40.829501,,78.0,Contact program for time,,,,,Maria Garcia,-73.852614,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,lssny.org,
718-654-2055,x,2045260001.0,40.86608,,348.0,,,,,x,Ramona Brunson,-73.850982,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/11/x121,
917-305-1000,,1008187501.0,40.739178,,54.0,6pm,,,,,Beth Segarra,-73.9955,x,Breakfast/Lunch,,,www.ps340.org,
212-795-3700,,1021110058.0,40.837754,,249.0,5:45pm,,,,,Noni Willard,-73.936438,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,Renadaycare.org,
718-584-5275,,2030240021.0,40.8591,,38302.0,,,,x,,Allison Krenn,-73.894946,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/10/x085,
718-788-0246,,3010340001.0,40.667545,,141.0,,,,,,Annabell Burrell,-73.991046,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/15/k124,
212-888-7870,x,1013300013.0,40.75924,x,108.0,,,,,x,Kathleen King,-73.967203,x,Breakfast/Lunch/Snack(s),,,ps59.net,
718-649-2295,,3043550001.0,40.661593,,1110.0,5:45pm,,,,,Ida Robertson,-73.883597,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,,
718-942-5381,,3050710041.0,40.646714,,506.0,6:30pm,,,,,Annmarie Moore,-73.970047,,Lunch/Snack(s),,,www.gatedacademy.com,
718-833-7700,,3060110040.0,40.62032,,140.0,6pm,,,,,Elisa Cassidy,-74.019635,,Lunch/Snack(s),,,www.rsjbrooklyn.org,
718-368-2113,,3086610054.0,40.579312,,364.0,6:30pm,,,,,Marina Kolmanovsky,-73.966521,,Breakfast/Lunch,,,buratinodaycare.com,
718-584-1899,,2030620043.0,40.849897,,37504.0,Contact program for time,,,,,Denise Brown,-73.892289,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/10/x003,
718-367-0453,,2031490140.0,40.854893,,381.0,6pm,,,,,Kinsley R. Jabouin,-73.898983,,Breakfast/Lunch/Snack(s),,,www.stsimonstockschool.org,
718-583-6866,,2029090032.0,40.846162,,395.0,,,,x,,Velma Gunn,-73.899264,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/09/x058,
718-294-8155,,2028590077.0,40.842495,,209.0,,,,,,Jackie Radoslovich,-73.916082,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/09/x555,
212-544-0221,,1021730001.0,40.860412,,283.0,,,,,,Esther Olvera,-73.927936,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,childrensaidsociety.org,
212-427-7644,,1017700159.0,40.802802,,196.0,,,,,,Faheem Pollard,-73.939701,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,unionsettlement.org,
718-665-2056,,2023600080.0,40.822015,,71.0,,,,,,Lynee Lopez,-73.910877,,Breakfast/Lunch/Snack(s),,,ssppschoolsite.org,
212-513-7367,,1000050010.0,40.702373,,9.0,Contact program for time,,,,,Lisa Pacheco,-74.011325,,Lunch/Snack(s),,,cclc.com/4nyplaza,
917-521-3800,,1021670029.0,40.853466,,271.0,,,,,,Tracy Walsh,-73.934048,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/06/m048,
718-812-0426,,3018060007.0,40.688462,,279.0,5:45pm,,,,,Lana Abrams,-73.942018,,Breakfast/Lunch/Snack(s),,,gloriousngifted.com,
718-624-5271,,3004550001.0,40.676668,,119.0,,,,,,,-73.985258,,Breakfast/Lunch,,,,
718-453-0788,,3019690030.0,40.685789,,231.0,,,,,,Ms. Mcneill,-73.960911,,Breakfast/Lunch/Snack(s),,,,
212-740-5157,,1021800035.0,40.853907,,273.0,,,,,,Yvette Rosario,-73.937258,,Breakfast/Lunch,,,birchfamilyservices.org,
718-372-4665,,3055950043.0,40.642867,,112.0,,,,,,Paola Ballester,-73.996025,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,sunnyskiespreschool.com,
212-781-6910,,1021430048.0,40.845604,,263.0,,,,,,Nereida Hill,-73.937006,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,,
646-395-4218,,1003560001.0,40.721351,,20.0,6pm,,,,,Maribel O'Connell,-73.977723,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,edalliance.org,
212-757-2047,,1010830001.0,40.768547,,135.0,,,,,,Cythina Perez,-73.991278,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,ywcanyc.org,
718-647-8387,,3039900001.0,40.676129,,1192.0,,,,,,Wanda Holt,-73.880337,x,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/19/k345,
718-330-9322,x,3004490015.0,40.680149,x,77.0,Contact program for time,,,,x,Katherine Dellostritto,-73.994938,x,Breakfast/Lunch,,,PS58.org,
718-834-6939,,3018210001.0,40.686592,,277.0,,,,x,,Roxanne James,-73.940747,,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/13/k044,
718-542-7230,,2029390045.0,40.836575,,153.0,,,,x,,Patricia Quigley,-73.892817,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/12/x061,
718-241-1300,,3083290250.0,40.635916,,1034.0,,,,x,,Dakota Keyes,-73.886412,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/18/k272,
929-348-4960,,2037330005.0,40.827029,,4001.0,,,,x,,Glorimer Lopez,-73.860034,,Contact program,,,,
718-768-7181,,3006400001.0,40.662777,,145.0,,,,,,Yasmeen Hassan,-73.995599,,Lunch/Snack(s),,,www.alnoornyc.org,
718-574-2336,,3017870014.0,40.691037,,281.0,,,,x,,Esther Wilson,-73.941342,,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/16/k025,
718-994-4650,,2050570001.0,40.897077,,444.0,6pm,,,,,Marc Silva,-73.84524,,Breakfast/Lunch/Snack(s),,,sfabx.com,
212-673-4470,,1002880015.0,40.71457,,202.0,,,,,,Daniel Kim,-73.983724,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/01/m134,
718-462-5298,,3049040010.0,40.648215,,856.0,,,,,,Victor Esannason,-73.946374,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/17/k181,
718-590-7014,,2024720034.0,40.832627,,195.0,,,,,,Monique Van Putten,-73.919398,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,midbronx.org,
718-824-7390,,2040780010.0,40.843024,,256.0,,,,,,Miriam Tyson,-73.848478,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,wtdcc.com,
718-367-5917,,2030580020.0,40.858243,,387.0,,,,,,Melissa Bybel,-73.888671,,Breakfast/Lunch,,,Nylel.org,
718-518-4209,,2023460029.0,40.817954,,63.0,Contact program,,,,,Paulina Martinez,-73.927599,,Breakfast/Lunch,,,hostos.cuny.edu/childrenscenter,
718-277-2003,,3040560145.0,40.670868,,1194.0,6pm,,,,,Barbara Smith,-73.876187,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,blakeandmilforddaycare.com,
212-602-9700,,1002450007.0,40.711549,,201.0,5:30pm,,,,,Alice Ju Mccabe,-73.986542,,Breakfast/Lunch,,,ps184m.org,
718-829-1706,,2041730018.0,40.845475,,26602.0,5:45pm,,,,,John-Paul Barnaba,-73.827018,,Breakfast/Lunch/Snack(s),,,olassumptionbronx.org,
718-547-3346,,2046310075.0,40.876633,,372.0,,,,,,Sr. Leticia Aviles,-73.864113,,Contact program,,,schoolofimmaculateconception.org,
718-332-9304,,3074630005.0,40.588254,,600.0,5:55pm,,,,,Carol Donnelly,-73.950523,,Breakfast/Lunch/Snack(s),,,smcaonthebay.org,
718-858-8111,,3005800016.0,40.674385,,53.0,6pm,,,,,Jessica Figuly,-74.006886,,Breakfast/Lunch,,May have income or other eligibility requirements. Contact for more information.,bumblebeesrus.com,
718-373-1100,,3070650001.0,40.573177,,340.0,Contact program,,,,,Emma Walcott,-74.002509,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,palnyc.org,
718-234-6100,,3055040037.0,40.623606,,244.0,,,,,,Robert Lefkowits,-73.986815,,Contact program,,,,
212-534-5249,,1015960001.0,40.798159,,186.0,,,,,,Daphanie Mcgill,-73.948363,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,eastcalvarydaycare.org,
718-794-2360,,2042930031.0,40.854415,,228.0,,,,,,Desiree Johnson,-73.863732,,Breakfast/Lunch,,,,
718-292-4397,,2024430190.0,40.82316,,61.0,,,,,,William Hewlett,-73.921631,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/07/x031,
212-663-7375,,1019330001.0,40.811811,,224.0,Contact program for time,,,,,Jasmine Quaye,-73.947207,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,,
718-332-8524,,3072620017.0,40.581079,,366.0,,,,,,Marlene Kriegel,-73.964133,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,,
718-284-8147,,3050530018.0,40.654449,,50804.0,Contact program for time,,,,,Olga Thomas,-73.962962,,Lunch/Snack(s),,,,
212-281-1959,,1021080023.0,40.833655,,239.0,Contact program,,,,,Darlene German,-73.94007,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,,
212-799-2440,,1012180010.0,40.78793,,173.0,Contact program for time,,,,,Patricia Machado,-73.973483,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,childcenterny.org,
