property_name,ambulatory_surgical_center,estimated_data_flag_fuel_2,hospital_general_medical_13,financial_office_number_of_1,mailing_center_post_office,leed_us_project_id,fuel_oil_4_use_kbtu,property_use_detail_alerts,other_water_sources_combined_1,data_center_pdu_input_site,data_center_it_energy,data_center_it_equipment,hospital_general_medical_3,property_floor_area_building,laboratory_gross_floor_area,energy_star_certification_3,primary_property_type_epa,national_median_energy_star,convenience_store_without,council_district,medical_office_percent_that,zoo_gross_floor_area_ft,movie_theater_gross_floor,office_percent_that_can_be_1,strip_mall_gross_floor_area,estimated_data_flag_natural,water_wastewater_investment,percent_better_than_national_2,restaurant_gross_floor_area,retail_store_percent_that,weather_normalized_site_energy,retail_store_computer_density,electricity_grid_purchase,indirect_ghg_emissions_metric,source_energy_use_kbtu,residence_hall_dormitory,retail_store_cash_register,multifamily_housing_number_1,parent_property_id,multifamily_housing_resident,hospital_general_medical_5,performing_arts_gross_floor,retail_store_worker_density,veterinary_office_gross_floor,site_energy_use_kbtu,water_wastewater_estimated,wholesale_club_supercenter,hotel_gross_floor_area_ft,electricity_use_generated_1,food_sales_gross_floor_area,hospital_general_medical_17,medical_office_number_of
57 West 38th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1966040.3,One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.,Not Available,Not Available,Not Available,Not Available,Not Available,65033,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,Not Available,5106920,Not Available,0,254.4,11806261.4,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,5094243.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
NE - COURT SQUARE II,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,Not Available,Not Available,528060,Not Available,No,Office,50,Not Available,26.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,Not Available,34643227.4,Not Available,567662.3,2227.1,93879148.5,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,34945293,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
7 East 14th Street  - Victoria Owner's Corp,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,428628,Not Available,No,Multifamily Housing,50,Not Available,2.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,100,51946342.5,0.32185,137705.7991,1138.4,84623060.3,Not Available,0.32185,495,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,0.96556,Not Available,52743320.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Juilliard,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,365000,Not Available,No,College/University,50,Not Available,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,51394021.7,Not Available,348188.3882,4298.6,84836434.8,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,51623323.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Trinity- 304 Hudson Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,207762,Not Available,No,Office,50,Not Available,3.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,Not Available,21337086.4,Not Available,0,1551.9,52481249.6,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,21576229,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"120 Broadway Holdings, LLC",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,Not Available,Not Available,1910503,Not Available,No,Office,50,613,1.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,1704,Not Available,140584027.2,Not Available,5662122.13,11705.5,360048112.9,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,141493315.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Columbia Presbyterian Medical Center,Not Available,No,Non Profit,Not Available,Not Available,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,Not Available,100% Yes,3889181,Not Available,No,Hospital (General Medical & Surgical),50,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,-1999.2,1657954303,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,0.68999,Not Available,Not Available,Not Available,944971372.7,Not Available,Not Available,Not Available,Not Available,Not Available,100% Yes,Not Available
Site 18B,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,300000,Not Available,No,Multifamily Housing,50,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,31352079.9,Not Available,437632.9384,681.2,50417598.9,Not Available,Not Available,401,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,31352079.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
42 Broadway,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.,Not Available,Not Available,Not Available,Not Available,Not Available,389917,Not Available,No,Office,50,Not Available,1.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36814806.9,Not Available,0,2153.3,93267250.7,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,36529511.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Rose Hill,Not Available,No,Not Available,Not Available,Not Available,Not Available,978138.7,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,1472657,Not Available,No,College/University,50,Not Available,15.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,214935557.4,Not Available,2917424.501,5340.5,363375667.1,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,215557024.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
160 East 89 Street Realty Corp.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,71413,Not Available,No,Multifamily Housing,50,Not Available,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4401161.5,Not Available,0,90.5,6971933.2,Not Available,Not Available,53,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,4430224.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Excellence Boys Charter School of Bedford Stuyvesant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90000,Not Available,No,K-12 School,50,Not Available,41.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,5509485,Not Available,163334.7,220.1,11455799.5,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,5526639.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
520 E 81 St.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,103108,Not Available,No,Multifamily Housing,50,Not Available,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,11740083.6,Not Available,0,185.9,17152922.3,Not Available,Not Available,163,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,11803406.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1665 Andrews Ave,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,74633,Not Available,No,Multifamily Housing,50,Not Available,14.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2977899.5,Not Available,7202.115,22.5,3717912.1,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,2991046,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
One Gracie Square Corporation,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,53736,Not Available,No,Multifamily Housing,50,Not Available,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,12775844,Not Available,0,80.3,15042992.7,Not Available,Not Available,17,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,12808403.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
41-10 BOWNE ST 1ENT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,166498,Not Available,No,Multifamily Housing,50,Not Available,20.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,11518280.2,Not Available,0,194.8,17094856.6,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,11515146,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
246 West 17th Street Condominium,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"The meter <b>ConEd AGG EL2</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.; More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,75027,Not Available,No,Multifamily Housing,50,Not Available,3.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,66,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
880 Thieriot (Carol Gardens),Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,176434,Not Available,No,Multifamily Housing,50,Not Available,18.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,23996478.4,Not Available,0,359.2,33725120.3,Not Available,Not Available,0,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,24047246.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
333 East 46th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,161700,Not Available,No,Multifamily Housing,50,Not Available,4.0,100,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,16402010.5,Not Available,0,220.8,22993164.5,Not Available,Not Available,177,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,16495634,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
212 E 48 St.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,51576,Not Available,No,Multifamily Housing,50,Not Available,4.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4505646.4,Not Available,0,71.8,6593778.9,Not Available,Not Available,46,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,4524174,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Capitol Building Loft Corp.,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11242583.8,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,86280,Not Available,No,Multifamily Housing,50,Not Available,3.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,80,12573634.3,0.2,18366.79763,115.5,15819684.2,Not Available,0,43,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,1,Not Available,12669267,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
150 Brighton 15th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,224402,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,61490,Not Available,No,Multifamily Housing,50,Not Available,48.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,5141561,Not Available,0,62.7,7038678,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,5177335,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
103 East 125th Street Realty Corp.,Not Available,Not Available,Not Available,8,Not Available,Not Available,Not Available,Not Available,59518.2766,Not Available,Not Available,Not Available,Not Available,117000,Not Available,Yes,Office,50,Not Available,9.0,Not Available,Not Available,Not Available,77.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5719942.2,Not Available,337734.9493,467.9,18058978.1,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,5751266.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
323 W 39th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,Not Available,Not Available,52570,Not Available,No,Office,50,Not Available,3.0,Not Available,Not Available,Not Available,99.97,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3487296.4,Not Available,89393.618,115.2,6535934.3,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,3485676.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1325 Avenue of the Americas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The most recent bill for one or more meters in use in the selected timeframe is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,Not Available,Not Available,898743,Not Available,No,Office,50,Not Available,4.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,Not Available,61561164.5,Not Available,0,4963.2,165916978.6,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,61970689.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
NE - 111 WALL STREET,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"To be eligible to apply for the ENERGY STAR Certification, the property must meet occupancy requirements (i.e., more than 50% of an office property must be occupied, more than 55% of a hotel property must be occupied and K-12 schools must operate at least 8 months of the year).  If this is an error, please update the occupancy of this property in the Edit Property form (for offices and hotels) or update operation in the use details from the Details tab (for K-12 schools).",Not Available,Not Available,Not Available,Not Available,Not Available,890728,Not Available,No,Office,50,Not Available,1.0,Not Available,Not Available,Not Available,85.71,Not Available,No,Not Available,Not Available,Not Available,Not Available,35344419.3,Not Available,0,2590.8,68843371.7,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,36023051.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Jessarh Realty Co, Inc",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,72280,Not Available,No,Multifamily Housing,50,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96011.6,Not Available,7290.7162,7.8,302338,Not Available,Not Available,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,96286,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Site  18A,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,356786,Not Available,No,Multifamily Housing,50,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,43621532.5,Not Available,659724.359,1001.7,72158138.6,Not Available,Not Available,293,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,44216669.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
