property_id,address_1,non_refrigerated_warehouse,census_tract,city,other_number_of_computers,hospital_general_medical_6,multifamily_housing_gross,self_storage_facility_gross,percent_better_than_national_1,address_2,college_university_gross,electricity_use_generated_2,senior_care_community_gross,repair_services_vehicle_shoe,data_center_it_site_energy,hotel_room_density_number,water_alerts,egrid_output_emissions_rate,multifamily_housing_government,percent_of_recs_retained,hospital_general_medical_9,multifamily_housing_number_5,lifestyle_center_gross_floor,data_center_ups_system,hotel_gym_fitness_center,energy_cost,energy_cost_intensity_ft,financial_office_gross_floor,weather_normalized_site_eui,estimated_data_flag_fuel_1,estimated_data_flag_fuel,medical_office_percent_that_1,distribution_center_gross,custom_property_id_1_name,hospital_general_medical_7,bowling_alley_gross_floor,multifamily_housing_number_2,municipally_supplied_potable_2,national_median_total_ghg,hotel_worker_density_number,office_number_of_workers,hospital_general_medical,multifamily_housing_percent_1,custom_property_id_1_id,stadium_open_gross_floor,convention_center_gross_floor,retail_store_walk_in,laboratory_number_of_computers,energy_power_station_gross,hotel_percent_that_can_be,library_gross_floor_area,hospital_general_medical_10,number_of_buildings
1171363,575 Fifth Avenue,Not Available,94.0,New York,50,Not Available,Not Available,Not Available,-26.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1260455.77,2.3806624,Not Available,77.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4606.5,Not Available,1632,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2561079,1238 Simpson St,Not Available,125.0,bronx,Not Available,Not Available,67986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Master Meter 1</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,0,0,Not Available,114.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
1472861,1633 Broadway,Not Available,131.0,New York,Not Available,Not Available,Not Available,Not Available,-23.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,517121.1,0.1822176,Not Available,99.3,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,31415.7,Not Available,7500,Not Available,Not Available,1-01022-0043,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2383832,257 West 86th Street,Not Available,175.0,New York,Not Available,Not Available,68821,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Water Meter</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,6,Not Available,Not Available,Not Available,0,0,Not Available,72.8,Not Available,No,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,1033196,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
1200524,730 Third Avenue,Not Available,92.0,New York,9,Not Available,Not Available,Not Available,-31,Not Available,Not Available,Not Available,Not Available,Not Available,1795800,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,12900,93.5,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,7127.2,Not Available,1850,Not Available,Not Available,1036195,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2546297,920 Riverside Drive,Not Available,247.0,New York,Not Available,Not Available,83952,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,No,Not Available,Not Available,6,Not Available,Not Available,Not Available,0,0,Not Available,77.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2638939,130 Jane Street,Not Available,79.0,New York,Not Available,Not Available,50820,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,No,Not Available,Not Available,4,Not Available,Not Available,Not Available,0,0,Not Available,76.9,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1012075,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
1465130,20 Broad Street,Not Available,7.0,New York,Not Available,Not Available,Not Available,Not Available,-32.3,Not Available,Not Available,Not Available,Not Available,Not Available,1409720,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,", N+1",Not Available,1258285.16,2.655227,Not Available,105.1,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,6256.4,Not Available,820,Not Available,Not Available,1000816,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2605878,17 State Street,Not Available,9.0,New York,Not Available,Not Available,Not Available,Not Available,22.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,443077.04,0.771783484,Not Available,69.1,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,2663.9,Not Available,2500,Not Available,Not Available,1000020,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2494990,100 Myrtle Ave,Not Available,11.0,Brooklyn,Not Available,Not Available,Not Available,Not Available,-33,Not Available,Not Available,Not Available,Not Available,Not Available,11128363.6,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,"N+1, N",Not Available,0,0,Not Available,167,Not Available,No,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,9529.9,Not Available,575,Not Available,Not Available,BIN#  3255603,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2637924,20 W 77 Street,Not Available,161.0,New York,Not Available,Not Available,58723,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>10001-23870-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,5,Not Available,Not Available,Not Available,0,0,Not Available,67.8,No,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1028818,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2612582,143-09 BARCLAY AVE,Not Available,855.0,Queens,Not Available,Not Available,161038,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>30006-31186-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,139602.23,0.86689,Not Available,69.5,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,4114658,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2615762,1841 Broadway,Not Available,145.0,New York,Not Available,Not Available,Not Available,Not Available,14.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,138.8,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,1060,Not Available,242.82,Not Available,Not Available,1027189,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2386537,1160 Third Avenue,Not Available,120.0,New York,Not Available,Not Available,139626,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,No,Not Available,Not Available,8,Not Available,Not Available,Not Available,49976.93,0.3287394,Not Available,151,Not Available,No,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1076299,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
2603248,220 Riverside Boulevard,Not Available,159.0,New York,Not Available,Not Available,795215,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,No,Not Available,Not Available,4,Not Available,Not Available,Not Available,1190503.25,1.497083,Not Available,76.1,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1086065,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2630712,22-24 78th Street,Not Available,317.0,East Elmhurst,Not Available,Not Available,204459,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>90005-37979-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,0,0,Not Available,75.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6
2639872,111 Fifth Ave,Not Available,52.0,New York,Not Available,Not Available,Not Available,Not Available,-22.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Water - 90001-17303-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,411705.32,1.70604177,Not Available,84.7,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,2100.8,Not Available,643,Not Available,Not Available,1016145,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
2379801,40 Fulton St,Not Available,1502.0,New York,Not Available,Not Available,Not Available,Not Available,-4.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,173701.55,0.695126,Not Available,86.6,Not Available,No,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,1815.8,Not Available,279,Not Available,Not Available,1075618,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
2598270,257 Central Park West,Not Available,169.0,New York,Not Available,Not Available,147030,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,Not Available,Not Available,Not Available,8,Not Available,Not Available,Not Available,86784.04,0.58487694,Not Available,51.6,Not Available,No,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2481300,55 Water St,Not Available,9.0,New York,Not Available,Not Available,Not Available,Not Available,5.1,Not Available,Not Available,Not Available,Not Available,Not Available,3165400.9,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,", , , , , ,",Not Available,0,0,Not Available,119.9,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,34523.1,Not Available,9980,Not Available,Not Available,1083346,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2609674,449 W. 44th Street,Not Available,121.0,Manhattan,Not Available,Not Available,58000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Building Block and Lot,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1010540056,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2633414,309 MADISON AVENUE,Not Available,82.0,NEW YORK,Not Available,Not Available,Not Available,Not Available,-19.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,254447.93,1.704364,Not Available,109,Not Available,No,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,0,1565.7,Not Available,292,Not Available,Not Available,1035336,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2637853,101 Lafayette Ave,7560,181.0,Brooklyn,Not Available,Not Available,126940,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>90003-02796-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,4,Not Available,Not Available,Not Available,0,0,Not Available,91.7,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,3058921,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2565216,48 WEST 37TH STREET,Not Available,84.0,NEW YORK,Not Available,Not Available,Not Available,Not Available,-37,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1328.4,Not Available,325,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2587287,524-534 West 23rd street,Not Available,99.0,New York,Not Available,Not Available,Not Available,131835,68.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>1000113240001-N31914164</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,171692.95,1.302332,Not Available,44.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,220.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2388494,970 Park Avenue,Not Available,142.0,New York,Not Available,Not Available,102804,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Water Meter</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,9,Not Available,Not Available,Not Available,128204.27,1.24707486,Not Available,75.7,No,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,1046760,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
1958459,401 Seventh Avenue,Not Available,101.0,New York,Not Available,Not Available,Not Available,Not Available,-17.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.20606,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2000,617000.04,0.4367023,Not Available,110.4,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,16223.5,0.35389,Not Available,Not Available,Not Available,1015191,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,1
2630972,516 HOWARD AVE ENT,Not Available,39.0,Staten Island,Not Available,Not Available,22033,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>50008-80971-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,131.2,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,5117078,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
1426638,40 East 52nd Street,Not Available,102.0,New York,8,Not Available,Not Available,Not Available,-30.7,Not Available,Not Available,Not Available,Not Available,Not Available,3410992.2,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,115.9,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,5116.7,Not Available,1088,Not Available,Not Available,1076267,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
2535600,175 lawrence avenue,Not Available,480.0,brooklyn,Not Available,Not Available,Not Available,Not Available,-37.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,<b>water meter</b> has bills with dates that overlap in the selected timeframe. Please resolve overlaps for this meter.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,67.8,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,756.3,Not Available,185,Not Available,Not Available,3328479,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2638822,5 Tudor City Place,Not Available,88.0,New York,Not Available,Not Available,408812,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,No,Not Available,Not Available,28,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1038647,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
142639200.00%,845 Third Avenue,Not Available,98.0,New York,0,Not Available,Not Available,Not Available,-6.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,9100,120.6,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,3796.4,Not Available,931,Not Available,Not Available,1038464,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
1422222,415 Madison Avenue,Not Available,94.0,New York,Not Available,Not Available,Not Available,Not Available,-41.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,25139,57.5,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,1942.1,Not Available,784,Not Available,Not Available,1035439,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
1.54e+06,555 Fifth Avenue,Not Available,94.0,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,695,Not Available,Not Available,Not Available,Not Available,Not Available,0.05565,Not Available,Not Available,Not Available,Not Available,Not Available,1
2591915,1212 Avenue of The Americas,Not Available,96.0,New York,Not Available,Not Available,Not Available,Not Available,-16,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"The meter <b>48th Americas Co, Base Building Water</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.",81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,104.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2700.8,Not Available,520.63,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
2587548,401-409 East 110th street,Not Available,162.0,New York,0,Not Available,Not Available,192200,75.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,349032.69,1.57080371,Not Available,30.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,296.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2595424,1850 Second Avenue,Not Available,15601.0,New York,Not Available,Not Available,64198,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,No,Not Available,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,100,1050342,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
255261300.00%,148-25 88th Avenue,Not Available,238.0,Queens,Not Available,Not Available,50070,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Water</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10684.76,0.2133965,Not Available,3.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2562986,317 EAST 34TH STREET,Not Available,78.0,NEW YORK,Not Available,Not Available,Not Available,Not Available,-44.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,Not Available,No,90,Not Available,Not Available,Not Available,Not Available,Not Available,0,1853.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
263886900.00%,595 West End Ave,Not Available,175.0,New York,Not Available,Not Available,53190,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,No,Not Available,Not Available,5,Not Available,Not Available,Not Available,0,0,Not Available,103.1,No,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1087679,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2558974,2400 Webb Avenue,Not Available,263.0,Bronx,Not Available,Not Available,79000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,No,Not Available,Not Available,4,Not Available,Not Available,Not Available,0,0,Not Available,80.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
173016700.00%,250 West 57th Street,Not Available,137.0,New York,Not Available,Not Available,Not Available,Not Available,-40.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Total Usage</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,65.5,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,5325.2,Not Available,1500,Not Available,Not Available,1024899,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
2506974,795 Garden Street,Not Available,393.0,Bronx,Not Available,Not Available,87642,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Master Water 1</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,0,0,Not Available,87,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2614204,502 PARK AVE,Not Available,11401.0,New York,Not Available,Not Available,307398,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>80001-30039-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,10,Not Available,Not Available,Not Available,639468.63,2.0802633,Not Available,97.3,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1040756,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2637904,160 W 87 Street,Not Available,173.0,New York,Not Available,Not Available,59408,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,No,Not Available,Not Available,12,Not Available,Not Available,Not Available,0,0,Not Available,80.1,Not Available,No,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1032216,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2498353,383 Madison,Not Available,,New York,Not Available,Not Available,Not Available,Not Available,3.1,Not Available,Not Available,Not Available,Not Available,Not Available,3135686.1,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Greater than 2N,Not Available,8484489.77,6.214910748,Not Available,140.8,Not Available,No,Not Available,Not Available,BIN (Building Identification Number),Not Available,Not Available,Not Available,Not Available,15520.6,Not Available,5937,Not Available,Not Available,1035404,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
2587389,570 Riverside Drive,Not Available,22302.0,New York,Not Available,Not Available,Not Available,86453,67.2,2341-2347 12th Ave,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,118296.97,1.3683385,Not Available,36.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,131,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
