permitid,fullpermitno,axle6weight,permitallowedfrom,axle5space,truckmake,loadwidth,loadweight,endcountyline,axle4space,axle9space,truckstate,permitdate,startcity,permitteecompany
631152,AYT3-2023911-29002,13000.0,2023-09-11T22:00:00.000Z,4.06,PETERBILT,10.07,30000,,33.0,,PA,2023-09-12T00:00:00.000Z,,"BLUEWATER, INC"
541744,ZR11-20211021-30163,,2021-10-21T10:00:00.000Z,,FREIGHTLINER,10.0,12500,NYC/NASSAU LINE @ I-495,2.06,,IN,2021-10-22T00:00:00.000Z,BROOKLYN,WILLIAMS SCOTSMAN
587313,CIIA-2022928-35795,,2022-09-28T22:00:00.000Z,4.02,KENWORTH,13.06,57000,25B HILLSIDE AVE / NASSAU LINE,37.04,,PA,2022-09-29T00:00:00.000Z,,De Mase Trucking
631125,AYT3-2023911-29036,4285.0,2023-09-11T22:00:00.000Z,4.06,WESTERN STAR,8.06,20000,,32.0,,NY,2023-09-12T00:00:00.000Z,,HIGH COUNTRY DISMANTLING
534315,T4CB-2021825-23373,13675.0,2021-08-25T00:01:00.000Z,5.0,MACK,13.0,46000,,42.07,,PA,2021-08-28T00:00:00.000Z,,"Lester R. Summers, Inc."
601102,QPLI-202316-720,19000.0,2023-01-06T22:00:00.000Z,5.0,Western Star,2.04,64163,,58.0,,NJ,2023-01-09T00:00:00.000Z,,"Supor Trucking, LLC"
607804,KKJN-2023214-6952,,2023-02-14T22:00:00.000Z,10.02,FREIGHTLINER,13.04,25000,NASSAU CO  LINE @ I495,32.04,,SD,2023-02-15T00:00:00.000Z,,"HEDGE & HERBERG, INC"
554778,C4K3-2022215-4775,,2022-02-15T05:30:00.000Z,,FREIGHTLINER,7.0,30000,,4.0,,PA,2022-02-16T00:00:00.000Z,BROOKLYN,EndGame S1 NBC
611068,HQLX-202337-10052,,2023-03-07T22:00:00.000Z,,FREIGHTLINER,10.0,7500,,3.05,,NY,2023-03-08T00:00:00.000Z,,American Trucking Services Inc
600457,UL7G-202313-72,17500.0,2023-01-03T22:00:00.000Z,4.06,PETERBILT,11.11,64000,,41.0,,CT,2023-01-04T00:00:00.000Z,,L & j logistics llc
621837,RZZD-2023523-20330,19200.0,2023-05-23T22:00:00.000Z,4.06,KENWORTH,11.02,64000,,39.02,,NJ,2023-05-24T00:00:00.000Z,,Harris Camden Terminal Equipment Co
626943,XHZB-2023724-25266,,2023-07-24T08:00:00.000Z,,Lone Star,8.05,5500,,,,NY,2023-07-25T00:00:00.000Z,Bronx,Planned Parenthood
569706,NAWQ-2022531-19194,9400.0,2022-05-31T22:00:00.000Z,4.08,PETERBILT,8.06,20000,WESTCHESTER LINE @ I-95,31.1,,MA,2022-06-01T00:00:00.000Z,QUEENS,SAC TRUCKING LLC
593620,C54X-2022117-41573,,2022-11-07T03:00:00.000Z,4.04,PETERBILT,8.06,55000,,42.04,,GA,2022-11-09T00:00:00.000Z,FLUSHING,"NORTH CENTER PRODUCTIONS, INC."
581202,R6IT-2022816-29816,,2022-08-16T04:00:00.000Z,4.03,PETERBUILT,8.05,34000,,34.05,,PA,2022-08-17T00:00:00.000Z,BROOKLYN,NBC UNIVERSAL LLC/ FBI S5
603602,YY6Z-2023124-3145,14850.0,2023-01-24T22:00:00.000Z,30.0,MACK,11.06,64000,,4.06,,NJ,2023-01-25T00:00:00.000Z,,Harris Camden Terminal Equipment Co
567391,GRF3-2022511-16838,7200.0,2022-05-11T22:00:00.000Z,4.06,KENWORTH,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,37.0,,NJ,2022-05-12T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
572204,W4EQ-2022614-21277,7200.0,2022-06-14T22:00:00.000Z,4.06,KENWORTH,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,30.0,,NJ,2022-06-15T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
625346,LGQ5-202373-23597,19500.0,2023-07-03T22:00:00.000Z,30.0,PETERBUILT,13.08,85973,,4.06,,PA,2023-07-05T00:00:00.000Z,,Harris Camden Terminal Equipment Co
543801,FKE3-2021113-31971,,2021-11-03T03:30:00.000Z,4.03,INTERNATIONAL PROSTAR,8.0,34000,,34.05,,PA,2021-11-04T00:00:00.000Z,BROOKLYN,NBC UNIVERSAL LLC/ FBI S4
557110,L6C7-202233-7042,,2022-03-03T23:59:00.000Z,4.01,FRD,8.06,30000,,38.06,,MI,2022-03-07T00:00:00.000Z,BROOKLYN,NETFLIX PRODUCTIONS LLC JIGSAW S1
634708,WQMT-20231020-32627,20622.0,2023-10-20T22:00:00.000Z,37.1,MACK,10.06,76560,,4.06,,NY,2023-10-23T00:00:00.000Z,,DEFOE CORP
635235,FDBW-20231026-32971,,2023-10-26T20:00:00.000Z,5.05,LIEBHERR,9.0,131999,,6.07,,NY,2023-10-26T00:00:00.000Z,BROOKLYN,BAY CRANE SERVICE INC.
576354,P7JJ-2022715-25566,18714.0,2022-07-15T22:00:00.000Z,35.0,WESTERN STAR,12.06,102000,NJ @ GOETHALS BRIDGE,4.03,,NJ,2022-07-18T00:00:00.000Z,BROOKLYN,PRAVATA ENTERPRISES LLC
633391,GP5P-2023104-31040,,2023-10-04T22:00:00.000Z,4.03,MACK,8.06,21000,WESTCHESTER @ I-87,31.0,,NY,2023-10-05T00:00:00.000Z,,KIT TRANSPORTATION
560788,OGP8-202241-10991,21438.0,2022-04-01T20:00:00.000Z,5.05,LIEBHERR,9.1,156663,,9.02,,NY,2022-04-01T00:00:00.000Z,QUEENS,CRANES INC
552717,HVOB-202221-3034,5212.0,2022-02-01T22:00:00.000Z,2.09,VOLVO,14.09,48281,NASSAU COUNTY LINE @I-495,30.06,2.09,PA,2022-02-02T00:00:00.000Z,,We Transport LLC
579958,DRFY-202288-28912,,2022-08-08T22:00:00.000Z,4.06,KENWORTH,11.1,38300,,44.0,,NJ,2022-08-09T00:00:00.000Z,,Harris Camden Terminal Equipment Co
559371,EED7-2022321-9042,7200.0,2022-03-21T22:00:00.000Z,4.06,KENWORTH,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,30.0,,NJ,2022-03-23T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
615829,DTYG-202347-14619,,2023-04-07T22:00:00.000Z,4.06,FREIGHTLINER,8.06,14000,GEORGE WASHINGTON BRIDGE-I95,37.0,,NJ,2023-04-10T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
607426,PX75-2023213-6680,7200.0,2023-02-13T22:00:00.000Z,4.06,MACK,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,37.0,,NJ,2023-02-14T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
630449,HAN1-202391-28393,7200.0,2023-09-01T22:00:00.000Z,4.06,INTERNATIONAL,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,30.0,,NJ,2023-09-05T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
622340,RZMA-202361-21048,3600.0,2023-06-01T10:00:00.000Z,5.0,PETERBILT,8.0,13000,GW BRIDGE -I95,30.08,,PA,2023-06-05T00:00:00.000Z,MANHATTAN,"Lester R. Summers, Inc."
637946,GRI8-20231122-35314,,2023-11-22T03:00:00.000Z,2.1,FORD,8.02,15240,,2.1,,MI,2023-11-27T00:00:00.000Z,Brooklyn,20TH Television - AHS S12
621758,KIDB-2023522-20218,,2023-05-22T22:00:00.000Z,10.0,Peterbilt,8.06,2000,I95 West Chester Line,33.0,,QC,2023-05-23T00:00:00.000Z,Brooklyn,ST-GERMAIN EXPRESS INC
562236,QJU9-202248-12178,,2022-04-08T22:00:00.000Z,4.06,MACK,8.06,14000,GEORGE WASHINGTON BRIDGE-I95,37.0,,NJ,2022-04-11T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
639957,E6G4-20231218-37879,,2023-12-18T22:00:00.000Z,4.06,kenworth,13.02,35000,I495 Nassau Line,38.09,,AR,2023-12-19T00:00:00.000Z,,Spitale Inc. / Spitale Co.
632333,PN4J-2023922-30099,7200.0,2023-09-22T22:00:00.000Z,4.06,PETERBUILT,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,32.0,,PA,2023-09-25T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
638082,PLIM-20231128-35543,,2023-11-28T22:00:00.000Z,10.0,PETERBILT,11.1,40000,,65.0,,NJ,2023-11-29T00:00:00.000Z,,Harris Camden Terminal Equipment Co
595603,BBDL-20221122-43446,,2022-11-22T20:00:00.000Z,5.05,LIEBHERR,9.04,131999,,6.07,,NY,2022-11-27T00:00:00.000Z,,Atlantic Crane LLC
532904,IQP1-2021813-21808,,2021-08-13T02:00:00.000Z,,Ford F650,8.0,25999,,,,GA,2021-08-16T00:00:00.000Z,Flushing,"UPTOWN LOCALS, INC."
545123,O3PK-20211115-33084,,2021-11-15T04:00:00.000Z,4.0,FREIGHTLINER,8.07,45000,,40.0,,NY,2021-11-16T00:00:00.000Z,BROOKLYN,North Center Production- AJLT
574501,H4NH-2022629-23467,7200.0,2022-06-29T22:00:00.000Z,4.06,PETERBUILT,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,37.0,,PA,2022-06-30T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
629354,CO8K-2023818-27318,,2023-08-18T22:00:00.000Z,10.01,KENWORTH,10.07,40000,,32.0,,PA,2023-08-21T00:00:00.000Z,,Houghton Trucking Inc
548072,XCB9-20211210-36126,,2021-12-10T22:00:00.000Z,4.06,PETERBILT,8.06,20000,,50.0,,NY,2021-12-13T00:00:00.000Z,,"SKYLIFT, LLC"
627306,VZML-2023725-25355,9600.0,2023-07-25T22:00:00.000Z,4.08,PB,8.06,20000,WESTCHESTER @ I-87,23.1,,NY,2023-07-26T00:00:00.000Z,QUEENS,SAC TRUCKING LLC
569742,G4OL-2022527-19102,,2022-05-27T00:01:00.000Z,4.05,MACK,7.05,49160,,4.05,,FL,2022-05-28T00:00:00.000Z,NEW YORK,Skyway Lift Rentals Corp
529154,VQAE-2021714-18348,16000.0,2021-07-14T22:00:00.000Z,4.06,KENWORTH,9.06,54000,,34.06,,NJ,2021-07-15T00:00:00.000Z,,Harris Camden Terminal Equipment Co
596937,ZQOM-2022125-45146,,2022-12-05T22:00:00.000Z,,DODGE,8.06,1800,NJ LINE GW BRIDGE / I95,4.0,,TN,2022-12-06T00:00:00.000Z,,KE LOVE FREIGHT LLC
624829,R2J6-2023626-23070,,2023-06-26T22:00:00.000Z,8.0,Peterbilt,8.06,2000,I95 West Chester Line,33.0,,QC,2023-06-27T00:00:00.000Z,Brooklyn,ST-GERMAIN EXPRESS INC
633462,GKM3-2023105-31266,,2023-10-05T00:01:00.000Z,10.02,PETERBILT,8.06,12000,,34.0,,NJ,2023-10-09T00:00:00.000Z,,JACK PEDOWITZ ENTERPRISES INC
582328,IDC1-2022824-30879,,2022-08-24T05:00:00.000Z,3.0,ford,7.0,30000,,3.0,,PA,2022-08-25T00:00:00.000Z,queens,O Horizon Doreys Film Production Inc
557251,W54L-202234-7149,,2022-03-04T03:00:00.000Z,,KENWORTH,8.06,14000,,3.0,,GA,2022-03-08T00:00:00.000Z,College Point,Manifest Season 4 Jay Squared Prod
556527,ES5M-202231-6616,,2022-03-01T03:00:00.000Z,4.03,International,8.01,10000,,37.05,,PA,2022-03-02T00:00:00.000Z,Brooklyn,Blue Box Magic LLC
534309,JBI8-2021824-23001,,2021-08-24T05:00:00.000Z,4.0,freightliner,7.0,40000,,20.0,,PA,2021-08-25T00:00:00.000Z,Brooklyn,Universal Television LLC/ LOOCS2
625576,DQOB-202376-23762,7200.0,2023-07-06T00:01:00.000Z,4.06,KENWORTH,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,30.0,,NJ,2023-07-08T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
617572,SN8B-2023424-16879,4857.0,2023-04-24T22:00:00.000Z,2.09,FREIGHTLINER,14.11,30000,NYC/NASSAU LINE @ I495,45.1,2.09,IN,2023-04-25T00:00:00.000Z,,"ICON LEGACY TRANSPORT, LLC"
588424,XEGA-2022105-36765,,2022-10-05T22:00:00.000Z,4.06,KENWORTH,12.06,42000,OUTERBRIDGE-Route 440,36.06,,NJ,2022-10-06T00:00:00.000Z,QUEENS,Harris Camden Terminal Equipment Co
603111,UAQ4-2023119-2327,7533.0,2023-01-19T00:00:00.000Z,4.03,FREIGHTLINER,8.06,22600,,33.03,,OK,2023-01-21T00:00:00.000Z,,HERC RENTALS INC
639336,S89G-2023128-36746,,2023-12-08T22:00:00.000Z,4.06,FREIGHTLINER,11.1,38300,,44.0,,NJ,2023-12-11T00:00:00.000Z,,Harris Camden Terminal Equipment Co
572724,WSY7-2022617-21919,19500.0,2022-06-17T22:00:00.000Z,33.04,KENWORTH,13.1,120000,,4.06,5.0,NJ,2022-06-20T00:00:00.000Z,,Harris Camden Terminal Equipment Co
618245,SN8B-2023424-16823,9600.0,2023-04-24T22:30:00.000Z,4.08,KW,8.06,20000,WESTCHESTER @ I-87,23.1,,MA,2023-04-25T00:00:00.000Z,THE BRONX,DODGE CONSTRUCTION CO INC
574210,AVP6-2022628-23314,19200.0,2022-06-28T22:00:00.000Z,4.06,KENWORTH,11.02,64000,,39.02,,NJ,2022-06-29T00:00:00.000Z,,Harris Camden Terminal Equipment Co
581125,R6IT-2022816-29808,,2022-08-16T22:00:00.000Z,2.06,FREIGHTLINER,12.0,12500,NJ @ OUTERBRIDGE CROSSING,2.06,,IN,2022-08-17T00:00:00.000Z,QUEENS,WILLIAMS SCOTSMAN
534457,T4CB-2021825-23321,18000.0,2021-08-25T22:00:00.000Z,4.0,FRTL,11.0,62000,NASSAU LINE @ SR24/HEMPSTEAD AVE,34.0,,VT,2021-08-26T00:00:00.000Z,,"J & T TRUCKING, LLC"
543490,ESVR-2021111-31668,,2021-11-01T05:00:00.000Z,4.0,Ford F650,7.0,40000,,20.0,,PA,2021-11-02T00:00:00.000Z,Brooklyn,Universal Television LLC/ LOOCS2
606344,J2UZ-202327-5577,7200.0,2023-02-07T22:00:00.000Z,4.06,KENWORTH,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,37.0,,NJ,2023-02-08T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
589853,LVZL-20221013-37946,,2022-10-13T03:00:00.000Z,10.0,INTERNATIONAL,8.06,35000,,27.08,,PA,2022-10-14T00:00:00.000Z,Queens,Triple Point Prods LLC East New York S1
621709,KIDB-2023522-20173,14850.0,2023-05-22T22:00:00.000Z,30.0,MACK,11.06,64000,,4.06,,NJ,2023-05-23T00:00:00.000Z,,Harris Camden Terminal Equipment Co
610788,UHNR-202336-9747,,2023-03-06T10:00:00.000Z,4.02,WESTERN STAR,10.0,25000,GOETHALS BRIDGE,36.07,,PA,2023-03-08T00:00:00.000Z,STATEN ISLAND,De Mase Trucking
559391,EED7-2022321-9124,,2022-03-21T05:00:00.000Z,4.04,Kenworth,8.06,46100,,30.11,,NY,2022-03-22T00:00:00.000Z,Brooklyn,Amazon/Picrow Streaming Inc.-The Marvelous Mrs. DD
545749,S3B5-20211119-33823,,2021-11-19T03:00:00.000Z,4.0,Freaightliner,8.0,60000,,26.1,,NY,2021-11-22T00:00:00.000Z,Brooklyn,PowerBook III Raising Kanan S2
633896,TGTD-20231010-31524,,2023-10-10T10:00:00.000Z,10.0,MACK,8.06,12000,OUTERBRIDGE 440,34.0,,NJ,2023-10-12T00:00:00.000Z,QUEENS,Harris Camden Terminal Equipment Co
542100,DRVU-20211022-30241,,2021-10-22T03:00:00.000Z,3.0,FRT,8.0,50000,,35.0,,PA,2021-10-25T00:00:00.000Z,Long Island City,"Universal Television, LLC / Girls5eva S2"
592606,OOQY-2022111-40717,15000.0,2022-11-01T22:00:00.000Z,4.06,KENWORTH,8.0,27000,,56.0,,PA,2022-11-02T00:00:00.000Z,,De Mase Trucking
626131,SXEM-2023717-24663,,2023-07-17T09:00:00.000Z,,Freightliner,4.0,400,,,,NY,2023-07-18T00:00:00.000Z,Brooklyn,NYC Department of Small Business Services
615467,JCA4-202345-14315,7200.0,2023-04-05T22:00:00.000Z,4.06,KENWORTH,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,32.0,,NJ,2023-04-06T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
640690,QDD3-20231219-38024,,2023-12-19T10:00:00.000Z,4.06,PETERBILT,9.04,42000,GOETHALS BR 278,32.0,,NJ,2023-12-20T00:00:00.000Z,QUEENS,Trans American Trucking Service
588147,SRUX-2022104-36576,,2022-10-04T05:00:00.000Z,,INTERNATIONAL,8.07,24940,,4.0,,PA,2022-10-05T00:00:00.000Z,Long Island City,Blue Bloods
606301,B2Y8-202326-5451,,2023-02-06T05:00:00.000Z,,FRHT,8.05,17000,,3.0,,PA,2023-02-07T00:00:00.000Z,BROOKLYN,Apple Studios Inc. Unicorn
581728,EEFQ-2022822-30609,7200.0,2022-08-22T22:00:00.000Z,4.06,KENWORTH,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,30.0,,NJ,2022-08-23T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
635688,L11J-20231030-33323,,2023-10-30T22:00:00.000Z,10.0,Western Star,10.1,7500,,32.0,,NJ,2023-10-31T00:00:00.000Z,,"Supor Trucking, LLC"
555067,PJZD-2022216-4998,,2022-02-16T05:00:00.000Z,,INTERNATIONAL,8.07,24940,,4.0,,PA,2022-02-17T00:00:00.000Z,Long Island City,Blue Bloods
548026,SRCS-20211216-36679,,2021-12-16T03:59:00.000Z,4.04,FREIGHTLINER,8.07,45000,,35.11,,PA,2021-12-19T00:00:00.000Z,Brooklyn,Law & Order S21 - NBC Universal
567930,L2A5-2022516-17523,,2022-05-16T22:00:00.000Z,5.0,PETERBILT,11.0,30000,,36.0,,NJ,2022-05-17T00:00:00.000Z,,JACK PEDOWITZ ENTERPRISE
592209,FCB3-20221028-40250,,2022-10-28T22:00:00.000Z,5.0,FREIGHTLINER,11.02,23000,NY NJ LINE @ I95 GWB,41.0,,FL,2022-10-31T00:00:00.000Z,,FLYNN MARINE LLC
638623,NTL4-2023121-36040,,2023-12-01T22:00:00.000Z,10.0,PETERBILT,11.1,40000,,65.0,,NJ,2023-12-04T00:00:00.000Z,,Harris Camden Terminal Equipment Co
551577,N3NM-2022120-1786,,2022-01-20T03:30:00.000Z,,FREIGHTLINER,8.07,4000,,4.04,,PA,2022-01-21T00:00:00.000Z,Brooklyn,Law & Order S21 - NBC Universal
629233,R867-2023817-27203,,2023-08-17T00:01:00.000Z,4.01,VOLVO,8.06,20000,NJ @ GWB,31.0,,NJ,2023-08-19T00:00:00.000Z,MANHATTAN,"JF Lomma, Inc."
595150,VJV5-20221117-42932,,2022-11-17T10:00:00.000Z,4.0,FREIGHTLINER,9.06,35000,,36.03,,PA,2022-11-18T00:00:00.000Z,,"Lester R. Summers, Inc."
595357,YXKM-20221121-43437,,2022-11-21T10:00:00.000Z,5.05,Liebh,9.04,131999,I495 NYC/Nassau,6.07,,NY,2022-11-22T00:00:00.000Z,Brooklyn,All County Crane & Rigging LLC
571851,W4EQ-2022614-21372,,2022-06-14T22:00:00.000Z,4.06,PETERBILT,8.06,25000,NJ@I-278 GOETHALS,42.0,,VA,2022-06-15T00:00:00.000Z,BROOKLYN,MILLER TRANSPORT LLC
625912,HMRG-2023710-24059,,2023-07-10T05:30:00.000Z,,HOLIDAY RAMBLER,8.06,27999,,,,NJ,2023-07-13T00:00:00.000Z,,"Carlisle Etcetera, L.L.C."
613995,ZJ23-2023327-12885,,2023-03-27T22:00:00.000Z,4.06,KENWORTH,11.1,38300,,44.0,,NJ,2023-03-28T00:00:00.000Z,,Harris Camden Terminal Equipment Co
689817,FRKC-202496-26850,13400.0,2024-09-06T22:00:00.000Z,4.06,PB,11.11,39000,NASSAU LINE @ I-495,34.0,,VT,2024-09-09T00:00:00.000Z,,R HULETT TRUCKING LLC
597842,SYUT-2022127-45649,5300.0,2022-12-07T22:00:00.000Z,5.0,PETERBILT,8.06,20000,NJ @ OUTERBRIDGE CROSSING,35.0,,PA,2022-12-08T00:00:00.000Z,,CLAY TRUCKING INC
531204,UDPD-2021730-20102,,2021-07-30T02:00:00.000Z,4.0,Peterbilt,8.0,45000,,35.0,,GA,2021-08-02T00:00:00.000Z,Flushing,"UPTOWN LOCALS, INC."
573887,JZUO-2022624-22861,7200.0,2022-06-24T22:00:00.000Z,4.06,PETERBUILT,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,37.0,,PA,2022-06-27T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
584510,FVGZ-202299-33132,,2022-09-09T23:59:00.000Z,4.01,INT,8.06,30000,,38.06,,NY,2022-09-12T00:00:00.000Z,COLLEGE POINT,20TH TELEVISION BANDANA AMERICAN HORROR STORY S11
587284,CIIA-2022928-35575,6000.0,2022-09-28T10:00:00.000Z,28.04,PETRBUILT,8.06,30000,GEORGE WASHINGTON BRIDGE (I95),4.06,5.0,NJ,2022-09-30T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
542675,OQQ7-20211027-31028,,2021-10-27T22:00:00.000Z,4.06,FREIGHTLINER,10.0,38300,,37.0,,NJ,2021-10-28T00:00:00.000Z,,Harris Camden Terminal Equipment Co
585107,JMJE-2022914-33610,,2022-09-14T03:00:00.000Z,2.08,FORD,8.06,21000,,2.08,,PA,2022-09-15T00:00:00.000Z,Brooklyn,Camdrew Productions LLC- Girls on The Bus S1
591727,KXL3-20221025-39769,,2022-10-25T04:00:00.000Z,,FREIG,8.0,39000,,24.01,,NY,2022-10-26T00:00:00.000Z,BROOKLYN,"Universal Television, LLC (The Equalizer S3)"
533504,YAXC-2021818-22366,,2021-08-18T05:30:00.000Z,4.01,FREIGHTLINER,7.0,40000,,31.07,,NY,2021-08-19T00:00:00.000Z,MASPETH,"AppleStudios ""Caviar"""
588507,XEGA-2022105-36896,12000.0,2022-10-05T22:00:00.000Z,35.0,KENWORTH,10.06,50000,,4.08,,NJ,2022-10-06T00:00:00.000Z,,Moran Automotive and Towing
632240,EAQZ-2023927-30478,,2023-09-27T19:00:00.000Z,,Lone Star,8.05,5500,,,,NY,2023-09-28T00:00:00.000Z,Brooklyn,Planned Parenthood
