location_2,ecers_language_reasoning_rating,class_instructional_support_rating,trust_survey_percent_positive,survey_guardian_response_rate,ecers_activities_score,dual_language,ecers_interaction_rating,daily_start_time,class_classroom_organization_rating
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10027""}'}",3.0,1.0,0.9,0.39,4.0,Dual Language (Spanish),3.0,0.3333333333333333,3.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11205""}'}",3.0,,1.0,1.0,5.1,,4.0,0.375,
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10040""}'}",3.0,2.0,1.0,0.82,3.3,,1.0,0.3541666666666667,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11236""}'}",4.0,,1.0,0.31,5.6,,4.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""SPRINGFIELD GARDENS"", ""state"": ""NY"", ""zip"": ""11413""}'}",3.0,2.0,1.0,0.59,4.3,,3.0,0.3333333333333333,3.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10451""}'}",1.0,3.0,1.0,0.79,1.9,,1.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11224""}'}",4.0,3.0,0.95,0.65,6.1,Dual Language (Spanish),4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",4.0,4.0,0.81,1.0,3.7,,4.0,0.3611111111111111,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",4.0,,0.99,0.83,4.5,,3.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",3.0,,0.94,0.54,2.5,,3.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",3.0,,1.0,0.33,3.4,,3.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""FLUSHING"", ""state"": ""NY"", ""zip"": ""11354""}'}",3.0,,0.99,0.58,4.8,,4.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11238""}'}",3.0,2.0,0.97,0.94,4.1,,3.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",4.0,2.0,0.91,0.29,5.9,,4.0,0.3541666666666667,4.0
"{'human_address': '{""address"": """", ""city"": ""FOREST HILLS"", ""state"": ""NY"", ""zip"": ""11375""}'}",4.0,3.0,0.98,0.5,4.4,,4.0,0.3611111111111111,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",3.0,2.0,0.97,0.53,5.0,,3.0,0.3333333333333333,3.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11223""}'}",1.0,2.0,0.94,0.78,2.4,,1.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10065""}'}",4.0,,,0.2,4.2,,4.0,0.3541666666666667,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11231""}'}",4.0,2.0,,0.67,3.0,,4.0,0.34722222222222227,3.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11218""}'}",4.0,2.0,1.0,0.31,4.3,,4.0,8:55 a.m,4.0
"{'human_address': '{""address"": """", ""city"": ""JACKSON HEIGHTS"", ""state"": ""NY"", ""zip"": ""11372""}'}",4.0,,0.98,0.5,4.5,,3.0,0.34722222222222227,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11206""}'}",4.0,3.0,0.93,0.84,4.6,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10306""}'}",4.0,,0.91,0.49,6.2,,4.0,0.34375,
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10473""}'}",3.0,,0.98,0.46,4.2,Dual Language (Spanish),3.0,0.34375,
"{'human_address': '{""address"": """", ""city"": ""Rego Park"", ""state"": ""NY"", ""zip"": ""11374""}'}",4.0,,1.0,0.64,5.9,,4.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10460""}'}",3.0,2.0,,,4.0,,2.0,,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11207""}'}",3.0,,0.87,0.54,2.8,,4.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",4.0,3.0,,,6.2,,4.0,0.3229166666666667,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11209""}'}",4.0,3.0,0.97,0.63,5.2,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11234""}'}",4.0,4.0,1.0,0.95,5.1,,4.0,0.375,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10460""}'}",3.0,4.0,0.93,0.6,5.6,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11233""}'}",3.0,2.0,,,4.5,,3.0,0.34722222222222227,3.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11220""}'}",4.0,3.0,0.99,0.73,4.7,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11235""}'}",4.0,,0.95,0.63,5.9,,4.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11212""}'}",3.0,3.0,0.83,0.5,4.4,,1.0,0.375,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11209""}'}",4.0,3.0,0.9,0.58,5.0,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10455""}'}",4.0,,0.99,0.25,5.7,Dual Language (Spanish),4.0,0.34722222222222227,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11209""}'}",4.0,2.0,0.94,0.55,6.5,,4.0,0.3541666666666667,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11223""}'}",1.0,3.0,0.97,0.88,1.9,,1.0,0.375,4.0
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10306""}'}",4.0,,0.97,0.38,4.9,,3.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11225""}'}",4.0,2.0,,,4.5,,1.0,0.3333333333333333,2.0
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10314""}'}",3.0,3.0,0.98,0.44,3.4,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10454""}'}",3.0,,1.0,0.48,3.8,,3.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11208""}'}",3.0,3.0,1.0,0.64,4.1,,3.0,8:00 a.m,3.0
"{'human_address': '{""address"": """", ""city"": ""SOUTH OZONE PARK"", ""state"": ""NY"", ""zip"": ""11420""}'}",4.0,3.0,0.98,0.72,4.9,,4.0,0.34375,4.0
"{'human_address': '{""address"": """", ""city"": ""WOODSIDE"", ""state"": ""NY"", ""zip"": ""11377""}'}",4.0,2.0,0.92,0.69,4.6,,4.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""OZONE PARK"", ""state"": ""NY"", ""zip"": ""11417""}'}",3.0,3.0,0.82,0.26,4.6,,4.0,0.3368055555555556,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10013""}'}",3.0,1.0,,,5.1,,1.0,Contact program,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",3.0,2.0,1.0,0.62,4.6,,4.0,,3.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10460""}'}",4.0,3.0,1.0,0.23,3.0,,2.0,,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10467""}'}",3.0,,0.89,0.53,4.3,,3.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10474""}'}",3.0,2.0,0.98,0.22,4.3,,4.0,0.3333333333333333,3.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10460""}'}",3.0,1.0,0.96,0.58,4.4,,3.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Oakland Gardens"", ""state"": ""NY"", ""zip"": ""11364""}'}",4.0,,0.87,0.29,6.1,,4.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""FAR ROCKAWAY"", ""state"": ""NY"", ""zip"": ""11691""}'}",4.0,2.0,0.98,0.52,6.2,,3.0,0.3333333333333333,3.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",4.0,,1.0,0.77,5.6,,4.0,0.3333333333333333,
