organizationname,phone,youth_services,child_care_parent_information,immigration,employment_job_training,manhattan,disabilities,counseling_support_groups,education,veterans_military_families,outsidelocdesc,personal_finance_financial_education,longitude,N with address1,Y with address1
New York Society for the Deaf,2123660049.0,N,N,N,N,Y,Y,N,N,N,,N,,"315 Hudson St., 4th Floor",
Catholic War Veterans - Department of New York,2129620988.0,N,N,N,N,Y,N,N,N,Y,,N,-74.004163,346 Broadway,
Center for Urban Community Services (CUCS),2128013300.0,N,N,N,N,Y,N,N,N,N,,N,-73.937831,198 E 121st Street,
Forest Hills Volunteer Ambulance Corps,7.1879320550E+9,N,N,N,N,N,N,N,N,N,,N,,Po Box 750617,
Sista II Sista,7183662450.0,N,N,N,N,N,N,Y,Y,N,,N,-73.919226,89 St. Nicholas Avenue,
"Mid Bronx Community Preservation Coalition, Inc.",7185900655.0,Y,N,N,N,N,N,N,N,N,,N,-73.903825,489 St. Pauls Place,
TimeBanksNYC,8662446469.0,N,N,N,Y,Y,N,N,Y,N,,Y,-74.003586,2 Lafayette Street,
Hunter College,2127724085.0,N,N,N,N,Y,N,N,Y,N,,N,-73.965367,695 Park Ave Rm E 1313A,
Indochina Sino-American Senior Citizen Center,2122260317.0,N,N,Y,N,Y,N,Y,Y,N,,Y,-73.991385,"170 Forsyth Street, 2nd Fl",
Mayor's Office for People with Disabilities,212639967500.00%,N,N,N,Y,Y,Y,N,N,N,,N,,,
Day One,2125668120.0,Y,N,N,N,Y,N,N,Y,N,,N,,P.O. Box 1507,
Northern Manhattan Improvement Corporation,2128228319.0,N,Y,Y,Y,Y,N,N,Y,N,,N,-73.93704,76 Wadsworth Avenue,
International Association of Administrative Professionals -- Bronx Chapter,2128398503.0,N,N,N,N,N,N,N,N,N,,N,,,
Catholic Charities Builders for Family and Youth,7183583541.0,N,N,N,N,N,N,N,N,N,,N,-73.811198,157-16 65 Avenue,
"Gay, Lesbian, and Straight Education Network",2127270135.0,N,N,N,N,Y,N,N,N,N,,N,-74.011592,,90 Broad Street
Spoons Across America,7185220209.0,N,N,N,N,Y,N,N,Y,N,,N,-73.999156,505 Court Street,
St. Raymond Community Outreach,,Y,N,N,N,N,N,N,Y,N,,N,-73.85368,1720 Metropolitan Avenue,
Asian-Indian Women in America,7185916511.0,N,N,Y,Y,N,N,N,N,N,,N,-73.811999,"150-38 Union Turnpike, #11J",
Alpha Phi Alpha Senior Center,7185288238.0,N,N,N,N,N,N,N,N,N,,N,-73.740004,220-01 Linden Blvd.,
YMCA of Greater New York,2126309729.0,Y,N,Y,N,Y,N,N,Y,N,,N,,,
