school_name,program4,grade9gefilledflag7,requirement_3_7,grade9gefilledflag1,common_audition1,prgdesc8,interest5,grade9geapplicantsperseat9,grade9geapplicants12,seats2specialized,grade9geapplicants7,state_code,seats108,seats9swd11,method1,requirement_2_2,prgdesc9,admissionspriority29,interest6,seats9swd6,seats9swd8,school_email,grade9geapplicantsperseat10,code2,grade9swdapplicants8,requirement_1_2,prgdesc12,grade9swdapplicants7,addtl_info1,borough,ptech,offer_rate2_4,council_district,eligibility1,admissionspriority15,grade9swdfilledflag11,auditioninformation6,offer_rate4_2,grade9swdfilledflag9,end_time,grade9swdapplicantsperseat6,girls,requirement_3_4,academicopportunities4,admissionspriority12,offer_rate4_1,prgdesc7,seats9ge1,common_audition4,requirement_1_7,psal_sports_boys,seats1010,admissionspriority18,grade9geapplicantsperseat7,prgdesc3,interest2,admissionspriority22,freshmanschedule,gradespan,requirement_2_1,attendance_rate,requirement_2_9,method2,grade9gefilledflag10,offer_rate1_9,admissionspriority14,interest11,admissionspriority11,seats101,offer_rate2_9,grade9geapplicants10,grade9swdapplicants9,admissionspriority41,auditioninformation7
Bedford Academy High School,,,,Y,,,,,,,,NY,,,Screened,2018-19 Final Grades - 40%,,,,,,ptate@schools.nyc.gov,,K95B,,2018-19 ELA/Math State Test Scores - 20%,,,,BROOKLYN,,,36,,,,,,,4:15pm,,,,,Priority to District 13 students or residents,,,34,,,Basketball,,,,,Health Professions,Then to Brooklyn students or residents,8:00am-4:15pm,9 to 12,2018-19 Final Grades - 40%,0.92000002,,Screened,,,,,Priority to District 13 students or residents,0.0,,,,,
"Queens School of Inquiry, The",,,,Y,,,,,,,,NY,,,Screened,,,,,,,RMoyano@schools.nyc.gov,,Q77Y,,,,,"College Trips,Early College,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Weekend Programs",QUEENS,,,24,,,,,,,4:00pm,,,,,,,,80,,,"Basketball, Soccer, Wrestling",,,,,,,8:00am-4:00pm,6 to 12,2018-19 Final Grades - 30%,0.94,,ASD/ACES Program,,,,,Priority to continuing 8th graders,0.0,,,,,
Excelsior Preparatory High School,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,info@ephsinstrctn.org,,Q42X,,,,,"10th Grade Seats Available,College Trips,Extended Day Program,Health Center,Internships Available,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation,Summer Bridge",QUEENS,,,31,,,,,,,3:17pm,,,,1 of 9 NYC Schools to offer the Gateway Institute for Pre-College Education,Priority to Queens students or residents,,,29,,,"Baseball, Basketball, Football, Indoor Track, Outdoor Track, Soccer, Wrestling",,,,,Humanities & Interdisciplinary,Then to New York City residents,8:10am-3:17pm,9 to 12,,0.86000001,,Ed. Opt.,,,,,Priority to Queens students or residents,0.0,,,,,
Channel View School for Research,Channel View College & Career Readiness Program,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,DRokeachthat@schools.nyc.gov,,Q97H,,,,,LYFE (Living For The Young Family Through Education),QUEENS,,36% of offers went to this group,32,,,,,,,2:20pm,,,,CVSR offers students the opportunity to earn the prestigious College Board AP Capstone Diploma.,,,,67,,,"Baseball, Basketball, Football, Soccer, Tennis, Volleyball",,,,,,,8:00am-2:20pm,6 to 12,,0.89999998,,ASD/ACES Program,,,Priority to continuing 8th graders,,Priority to continuing 8th graders,0.0,,,,,
World Academy for Total Community Health High School (WATCH),,,,N,,,,,,,,NY,,,Open,,,,,,,ejeandejoie@schools.nyc.gov,,K65X,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Dress Code,Extended Day Credit Recovery,Extended Day Program,Health Center,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation,Summer Internships,Summer Orientation,Uniform,Weekend Programs",BROOKLYN,,,42,,,,,,,2:20pm,,,,"College credit courses- Berkeley College-Medical Terminology and Psychology of Adjustments; CUNY College Now,",Priority to students who reside in the geographical catchment area,,,56,,,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",,,,,Health Professions; Science & Math,Then to Brooklyn students or residents,8:05am-2:20pm,9 to 12,,0.76999998,,Open,,,,,Priority to students who reside in the geographical catchment area,0.0,,,,,
Brooklyn Lab School,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,Ghenry3@Schools.nyc.gov,,,,,,,"10th Grade Seats Available,Community School,LYFE (Living For The Young Family Through Education)",BROOKLYN,,,37,,,,,,,2:30pm,,,,"Online Textbooks, Skedula, Pupil Path, Castle Learning, Promethean Boards, SMART Boards, Apple MacBook Pros, iPads, Apple Computer Lab, Hydroponic Lab",,,,85,,,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Swimming, Volleyball",,,,,,,8:00am-2:30pm,9 to 12,,0.82999998,,,,,,,Open to New York City residents,1.0,,,,,
"Facing History School, The",,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,admissions@facinghistoryschool.org,,M02U,,,,,"10th Grade Seats Available,College Trips,Community School,Community Service Expected,Dress Code,Extended Day Credit Recovery,Health Center,Online Grading System,Orientation,Summer Bridge,Summer Orientation",MANHATTAN,,,3,,,,,,,3:00pm,,,,"Urban Arts Partnership offers a variety of art classes and opportunities like Digital Music, Visual Art, Digital Photo, Film Production, etc.",,,,85,,,"Baseball, Basketball, Bowling, Soccer, Tennis, Volleyball",,,,,,,8:40am-3:00pm,9 to 12,,0.80000001,,D75 Special Education Inclusive Services,,,,,Priority to District 3 students or residents,1.0,,,,,
Urban Assembly Institute of Math and Science for Young Women,,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,LaurenM@uainstitute.org,,,,,,,"10th Grade Seats Available,College Trips,Diversity in Admissions,Dress Code,Online Grading System,Orientation",BROOKLYN,,,33,Open only to Female-Identified students,,,,,,2:50pm,,1.0,,"ExtraCurriculars include dance, step, cheer, PSAL basketball, volleyball, soccer",,,,67,,,"Basketball, Soccer",,,,,,,8:30am-2:50pm,6 to 12,,0.85000002,,,,,,,Priority to continuing 8th graders,1.0,,,,,
Susan E. Wagner High School,Scholars' Academy,Y,,Y,,"As the specially selected 'Chancellor's Arts Designated High School' for Staten Island, dance students are eligible to receive a special Chancellor's Endorsed Arts Diploma. The dance program is a comprehensive course of study that includes training in Ballet, Modern, Jazz, Horton Technique, and Limon Technique.",Performing Arts,,,,310,NY,0.0,,Screened,,,,Visual Art & Design,9,6,zclemente@schools.nyc.gov,N/A - zoned program,R17C,55,,,62,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Credit Recovery,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships",STATEN IS,,0% of offers went to this group,50,,Priority to Staten Island students or residents,,Art students must present a current portfolio including requirements which can be found on the Wagner website - www.wagnerhigh.net.,,,2:30pm,14,,2019-20 Marking Period Grades - 25%,"College Now: Behavior & Social Sciences, Business, Communications, Humanities, Math, Science, Criminal Justice, Info Management, Hospitality & Tourism",Priority to Staten Island students or residents,,"As the specially selected ""Chancellor's Arts Designated High School"" for Staten Island, theater students are eligible to receive a special Chancellor's Endorsed Arts Diploma. The following courses are offered within the Theater sequence: Basic Acting, Advanced Acting, Musical Theater, Directing, Playwriting, and Theater Production. Student performance opportunities include: the Spring Musical, Show Choir, Winter Musical, Spooktacular, SING, Original Works by New Writers, and more.",21,,,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",1.0,Priority to Staten Island students or residents,8,This program provides students with a four year sequence that engages them in coursework that is focused on how our society is shaped by the laws that govern it.,JROTC,Then to New York City residents,8:10am-2:30pm,9 to 12,2018-19 Final Grades - 40%,0.91000003,,Ed. Opt.,N/A - zoned program,,Priority to Staten Island students or residents,,Priority to Staten Island students or residents,0.0,,N/A - zoned program,,,"Theater students must perform a brief audition, including a short memorized monologue. Requirements can be found on the Wagner website - www.wagnerhigh.net"
Grover Cleveland High School,Allied Health Pathway,,,N,,,,,,,,NY,,,Ed. Opt.,,,,Zoned,N/A - zoned program,,admissions@groverclevelandhs.org,,Q23H,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Program,Online Grading System,Orientation,Summer Internships,Weekend Programs",QUEENS,,20% of offers went to this group,30,,,,,,,3:45pm,N/A - zoned program,,,"Certifications: Hospitality/Tourism, Cert. First Responder, EMT License, First Aid/CPR, Lifeguarding, Microsoft Technology and Water Safety Instructor",Priority to Queens students or residents,,,86,,,"Baseball, Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,,,"Math and Science Research pathway is designed for students interested in careers in Mathematics and Science with an emphasis on research. Courses include, but are not limited to: Science Research, Mathematics Research, Microsoft Office, AP Statistics, AP Biology, AP Chemistry, AP Calculus. Students completing this pathway may have internship opportunities in the corporate and scientific industries.",Performing Arts/Visual Art & Design,Then to New York City residents,8:58am-3:45pm,9 to 12,,0.83999997,,Ed. Opt.,,,Priority to Queens students or residents,,Priority to Queens students or residents,1.0,,,,,
New Utrecht High School,Academy of Art & Design,,,Y,,Comprehensive academic program.,Humanities & Interdisciplinary,,,,,NY,1.0,,Ed. Opt.,,,,Business,7,N/A - zoned program,MGoldfa3@schools.nyc.gov,,K28B,N/A - zoned program,,,,"10th Grade Seats Available,Career and Technical Education (CTE)",BROOKLYN,,,43,,Open to New York City residents,,,,,4:00pm,35,,,"AP Courses in: Computer Programming, Italian, Mandarin, Spanish; Electives: Chorus, Drafting, Forensics, Piano, Rock & Jazz Band, Web Design, Robotics",Open to New York City residents,,,124,,,"Badminton, Baseball, Basketball, Bowling, Football, Handball, Soccer, Swimming, Tennis, Volleyball, Wrestling",,Guaranteed offer to students who live in the zoned area,,"Helps students chart career paths in one of the world's largest industries, from hotel management to sports entertainment and event management; includes the study of geography, economics, and world cultures.",Law & Government,,9:10am-4:00pm,9 to 12,,0.88,,Ed. Opt.,,,Open to New York City residents,,Open to New York City residents,0.0,,,,,
"Urban Assembly School for Global Commerce, The",,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,info@uaglobalcommerce.org,,,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Internships,Uniform,Weekend Programs",MANHATTAN,,,9,,,,,,,2:30pm,,,,Foreign language courses-Mandarin,,,,64,,,,,,,,,,8:00am-2:30pm,9 to 12,,0.76999998,,,,,,,Priority to Manhattan students or residents,1.0,,,,,
"Mathematics, Science Research and Technology Magnet High School",,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,admissions@masths.org,,,,,,,"10th Grade Seats Available,College Trips,Community Service Expected,Dress Code,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Weekend Programs",QUEENS,,,27,,,,,,,3:10pm,,,,C-MAST - Cambria Heights Library & MAST Science Research Partnership Program,,,,126,,,"Basketball, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",,,,,,,8:30am-3:10pm,9 to 12,,0.83999997,,,,,,,Open to New York City residents,1.0,,,,,
East Williamsburg Scholars Academy,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,lbernal3@schools.nyc.gov,,K86B,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Dress Code,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",BROOKLYN,,,34,,,,,,,2:35pm,,,,iLearnNYC: Program for expanded online coursework and self-paced learning.,Open to New York City residents,,,81,,,"Baseball, Basketball, Football, Handball, Soccer, Volleyball, Wrestling",,,,"This programs offers courses in concert bands, jazz bands, chamber groups and music history which result in a 10-credit sequence. This sequence fulfills the requirements for the Advanced Regents Diploma.",Computer Science & Technology,,8:15am-2:35pm,9 to 12,,0.73000002,,Ed. Opt.,,,,,Open to New York City residents,1.0,,,,,
West End Secondary School,,,,Y,,,,,,,,NY,,,Screened,,,,,,,wessadmissions@gmail.com,,,,,,,,MANHATTAN,,,6,,,,,,,3:20pm,,,,,,,,71,,,,,,,,,,8:45am-3:20pm,6 to 12,2019-20 Marking Period Grades - 50%,0.95999998,,,,,,,Priority to continuing 8th graders,0.0,,,,,
Epic High School - North,,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,nroberto@schools.nyc.gov,,,,,,,"College Trips,Community Service Expected,Extended Day Program,Extended Day Tutoring,Internships Available,Online Grading System,Summer Bridge",QUEENS,,,28,,,,,,,4:00pm,,,,Pre-Engineering,,,,59,,,,,,,,,,9:00am-4:00pm,9 to 12,,0.85000002,,,,,,,Priority to Queens students or residents,0.0,,,,,
Life Academy High School for Film and Music_,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,PMUSSINGTONMATTHEWS@SCHOOLS.NYC.GOV,,,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Summer Bridge",BROOKLYN,,,47,,,,,,,2:31pm,,,,Customized instruction to meet the needs of all learners,,,,67,,,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,,,,,,8:15am-2:31pm,9 to 12,,0.83999997,,,,,,,Open to New York City residents,1.0,,,,,
New Directions Secondary School,,,,N/A - transfer school,,,,,,,,NY,,,Transfer,,,,,,,LBeltram@ndssonline.org,,,,,,,"College Trips,Community School,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation,Summer Internships,Summer Orientation",BRONX,,,16,Open only to New York City students who have a record of being held back one or more times in elementary and/or middle school,,,,,,3:28pm,,,,"College, Career and Civics Readiness courses",,,,20,,,"Baseball, Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,,,8:20am-3:28pm,6 to 12,,0.72000003,,,,,,,Priority to continuing 8th graders,0.0,,,,,
Richard R. Green High School of Teaching,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,lmorales2@schools.nyc.gov,,M23B,,,,,"10th Grade Seats Available,College Trips,Community School,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",MANHATTAN,,,1,,,,,,,2:40pm,,,,CUNY College Now-Hunter College; CUNY BMCC Teacher Education Program (education course onsite for college credit),Open to New York City residents,,,63,,,Basketball,,,,,Humanities & Interdisciplinary,,8:20am-2:40pm,9 to 12,,0.91000003,,Ed. Opt.,,,,,Open to New York City residents,1.0,,,,,
High School for Arts and Business,,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,jliu5@schools.nyc.gov,,,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Extended Day Program,Extended Day Tutoring,Multi-Session School,Online Grading System,Orientation,Summer Internships,Weekend Programs",QUEENS,,,21,,,,,,,3:56pm,,,,"Microsoft Office Specialist (MOS) Certification, Center for Arts Education Internships, Rewarding Achievement (REACH), Computer Science",,,,160,,,"Baseball, Cross Country, Handball, Soccer",,,,,,,9:11am-3:56pm,9 to 12,,0.91000003,,,,,,,Priority to Queens students or residents,1.0,,,,,
"Celia Cruz Bronx High School of Music, The",,,,Y,1.0,,,,,,,NY,,,Audition,,,,,,,dfink2@schools.nyc.gov,,X33B,,,,,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",BRONX,,,11,,,,,,,3:36pm,,,,"Minimum of two major performances yearly, evaluated by New York State School Music Association (NYSSMA) as soloists and ensembles",Open to New York City residents,,,32,,,"Baseball, Basketball, Bowling, Handball, Outdoor Track, Soccer, Volleyball",,,,"Group instruction on orchestral instruments. Participation in three string orchestras and two full orchestras. With a performance focus, all students will perform a minimum of four times per year.  Advanced ensembles perform frequently and represent the school on frequent trips and tours. Orchestra curriculum includes music theory, music history, and sight singing. In addition to concerts, students prepare for state competitions and evaluations in solo and ensemble work.",Performing Arts,,8:00am-3:36pm,9 to 12,,0.92000002,,Audition,,,,,Open to New York City residents,1.0,,,,,
Newtown High School,Zoned,,,N,,,,,,,,NY,,,Ed. Opt.,2018-19 Final Grades - 40%,,,,,,RMontal2@schools.nyc.gov,,Q34J,,2018-19 ELA/Math State Test Scores - 20%,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Multi-Session School,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",QUEENS,,,25,Open only to Queens students or residents,,,,,,3:30pm,,,,National Spanish Examination and National Italian Examination and National French Examination,,,,91,,,"Baseball, Basketball, Bowling, Cross Country, Outdoor Track, Soccer, Tennis, Volleyball",,,,"Art, Commercial Art, Sculpture, Drawing, Painting, 3-D Design, Computer Art, Printmaking.",Engineering,,8:00am-3:30pm,9 to 12,,0.88999999,,Screened,,,Priority to students who live in the zoned area,,,1.0,,,,,
Crotona International High School,,,,N,,,,,,,,NY,,,Screened: Language,,,,,,,jmartinez@crotonaihs.org,,,,,,,"Career and Technical Education (CTE),College Trips,Community Service Expected,Dress Code,Extended Day Credit Recovery,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",BRONX,,,15,"Open only to New York City residents living in the continental United States four years or fewer who currently identify as English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging, or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",,,,,,2:27pm,,,,Graduation with portfolio presentation in place of some Regents,,,,64,,,"Baseball, Basketball",,,,,,,8:00am-2:27pm,9 to 12,,0.88,,,,,,,,0.0,,,,,
Forest Hills High School,Law Academy,N/A - zoned program,,Y,,,Performing Arts,,,,N/A - zoned program,NY,,,Ed. Opt.,,,,Performing Arts,10,,Skhaimova2@schools.nyc.gov,,Q19B,,,,N/A - zoned program,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Extended Day Tutoring,Internships Available,Multi-Session School,Online Grading System,Orientation,Weekend Programs",QUEENS,,,29,,Open to New York City residents,,"Vocal Music:  Perform a prepared vocal selection. Please provide sheet music for pianist. Instrumental Music: Perform a prepared solo selection and a scale. Bring your own instrument (except piano, double bass, tuba, percussion and guitar amplifiers, which will be provided.) For both art forms, the audition includes on-site music tasks (may include singing back melodic patterns, tapping back rhythmic patterns, play selected scales, or completing a sight reading, music theory or improvisation task.)",,,4:00pm,10,,,Music Academy and 2 Language Academies,Priority to students living in the geographic zone,,"Students accepted as a part of the Zoned program will have FHHS as their zoned school. These students will have access to the wide variety of classes, clubs and activities as a member of the FHHS community.  Please see our website for a list of sports and clubs. https://www.foresthillshs.org/index.jsp Clubs/ Activities: Girl Up, Animal Rights, Anime, Astronomy, Black Student Assoc., Bukharin Club, Cancer Awareness Society, Cheer leading Club, Chinese Club and LGBTQ Plus Alliance.",25,,,"Baseball, Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",,,N/A - zoned program,"This academy is a comprehensive science and math program for students who are interested in pursuing careers related to science, technology, engineering, and math. This program begins with a course in STEM fundamentals, which leads to four unique pathways of study: Research, Applied Sciences, Health Professions, and Engineering/Computer Programming. For more information go to our school website www.foresthillshs.org and click on Academics, Science Department.",Humanities & Interdisciplinary,Then to New York City residents,9:30am-4:00pm,9 to 12,,0.88,,Screened: Language,,,Open to New York City residents,,Open to New York City residents,0.0,,,,,
"Eagle Academy for Young Men of Staten Island, The",,,,N,,,,,,,,NY,,,Open,,,,,,,eaglestatenisland@gmail.com,,,,,,,,STATEN IS,,,49,Open only to Male-Identified students,,,,,,2:40pm,,,,College and Career Counseling beginning in the ninth grade,,,,62,,,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,,,,,,8:25am-2:40pm,6 to 12,,0.88999999,,,,,,,Priority to continuing 8th graders,0.0,,,,,
Knowledge and Power Preparatory Academy International High School (KAPPA),,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,admissions@kappainternational.org,,Y32B,,,,,"College Trips,Community Service Expected,Health Center,Internship Expected,Internships Available,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation,Summer Orientation,Uniform,Weekend Programs",BRONX,,,15,,,,,,,3:35pm,,,,Performing & visual arts courses for both beginners and experienced artists and performers.,Open to New York City residents,,,43,,,"Baseball, Basketball, Swimming, Volleyball",,,,,Science & Math,,8:25am-3:35pm,9 to 12,,0.85000002,,Ed. Opt.,,,,,Open to New York City residents,0.0,,,,,
William E. Grady Career and Technical Education High School,Automotive Technology,,,N,,,Engineering,,,,,NY,,,Ed. Opt.,,,,,,,tmontalbano@schools.nyc.gov,,K67E,,,,,"10th Grade Seats Available,Career and Technical Education (CTE)",BROOKLYN,,,48,,Open to New York City residents,,,,,2:30pm,,,,,Open to New York City residents,,,46,,,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Rugby, Soccer, Volleyball, Wrestling",,,,"This program explores the knowledge of the role, function, legal limitations, qualities, personal habit and obligations that are important to provide quality care to residents in long term facilities. The types, purposes and organizational structures of health care facilities that employ nurse aides. It also examines the role of a nurse aide and the functions of a nurse aide. The program requires a theory class and a 104 hour clinical internship.",Computer Science & Technology,,8:00am-2:30pm,9 to 12,,0.81999999,,Ed. Opt.,,,Open to New York City residents,,Open to New York City residents,1.0,,,,,
"James Baldwin School, The",,,,,,,,,,,,NY,,,Transfer,,,,,,,admissions@baldwinnyc.org,,,,,,,10th Grade Seats Available,MANHATTAN,,,3,,,,,,,,,,,,,,,,,,"Baseball, Basketball, Bowling, Soccer, Volleyball, Wrestling",,,,,,,,9 to 12,,0.67000002,,,,,,,,1.0,,,,,
Brooklyn Institute for Liberal Arts (BILA),,,,N,,,,,,,,NY,,,Open,,,,,,,ahenrystephens@schools.nyc.gov,,,,,,,,BROOKLYN,,,40,,,,,,,3:00pm,,,,"Music, Band, Art, Dance, Step, Martial Arts, Cheerleading, Zumba, Theater, Leadership, Community Service, Small Group Advisory, Tutoring",,,,124,,,"Baseball, Basketball, Bowling, Soccer, Tennis, Volleyball, Wrestling",,,,,,,8:00am-3:00pm,9 to 12,,0.91000003,,,,,,,Priority to Brooklyn students or residents,0.0,,,,,
Bronx Envision Academy,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,admissions@bronxenvision.org,,,,,,,"10th Grade Seats Available,College Trips,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,LYFE (Living For The Young Family Through Education),Online Grading System,Summer Bridge,Summer Orientation,Weekend Programs",BRONX,,,17,,,,,,,2:40pm,,,,"Career & college counseling, partnerships with arts institutions (including Park Avenue Armory paid internships), Foros Partnership business class",,,,85,,,"Baseball, Basketball, Soccer",,,,,,,8:20am-2:40pm,9 to 12,,0.85000002,,,,,,,Priority to Bronx students or residents,1.0,,,,,
Urban Assembly New York Harbor School&,,,,Y,,,,,,,,NY,,,Open,,,,,,,admissions@newyorkharborschool.org,,,,,,,"Career and Technical Education (CTE),Diversity in Admissions",MANHATTAN,,,1,,,,,,,3:09pm,,,,College Now program prepares students for college and career experiences in maritime-related courses. Advanced Placement courses are also offered.,,,,111,,,,,,,,,,8:40am-3:09pm,9 to 12,,0.88999999,,,,,,,Open to New York City residents,0.0,,,,,
High School for Youth and Community Development at Erasmus,,,,N,,,,,,,,NY,,,Open,,,,,,,jsinovoi@ycdhs.org,,K06C,,,,,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",BROOKLYN,,,40,,,,,,,3:00pm,,,,Music Production,Priority to Brooklyn students or residents,,,45,,,"Baseball, Basketball, Bowling, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,Communications; Visual Art & Design,Then to New York City residents,8:00am-3:00pm,9 to 12,,0.86000001,,Open,,,,,Priority to Brooklyn students or residents,1.0,,,,,
"Metropolitan High School, The",,,,N,,,,,,,,NY,,,Open,,,,,,,mnoonan@metropolitanhs.org,,X77U,,,,,"College Trips,Community School,Community Service Expected,Dress Code,Extended Day Credit Recovery,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",BRONX,,,17,,,,,,,2:40pm,,,,STEM Course,,,,119,,,"Baseball, Basketball, Soccer",,,,,,,8:20am-2:40pm,9 to 12,,0.77999997,,D75 Special Education Inclusive Services,,,,,Priority to Bronx students or residents,0.0,,,,,
International High School at Lafayette,,,,N,,,,,,,,NY,,,Screened: Language,,,,,,,cchoi@inths.org,,,,,,,"10th Grade Seats Available,College Trips,Extended Day Tutoring,Health Center,Internship Expected,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Weekend Programs",BROOKLYN,,,47,"Open only to New York City residents living in the continental United States four years or fewer who currently identify as English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging, or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",,,,,,3:45pm,,,,Students Complete a Career Internship.,,,,75,,,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,,,,,,9:10am-3:45pm,9 to 12,,0.88,,,,,,,,1.0,,,,,
Humanities Preparatory Academy,,,,Y,,,,,,,,NY,,,Screened,,,,,,,hilda@humanitiesprep.org,,,,,,,"College Trips,Internships Available,Online Grading System,Orientation,Summer Internships",MANHATTAN,,,3,,,,,,,3:25pm,,,,French and Arabic,,,,43,,,"Baseball, Basketball, Bowling, Soccer, Volleyball, Wrestling",,,,,,,9:00am-3:25pm,9 to 12,2018-19 Final Grades - 40%,0.83999997,,,,,,,Priority to Manhattan students or residents,0.0,,,,,
Bronx High School of Business,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,09X412@schools.nyc.gov,,X55B,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),Community School,LYFE (Living For The Young Family Through Education)",BRONX,,,16,,,,,,,3:48pm,,,,"Job shadowing and internships with local businesses, non-profits, and organizations",Open to New York City residents,,,85,,,"Baseball, Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,Business,,8:18am-3:48pm,9 to 12,,0.82999998,,Screened: Language,,,,,Open to New York City residents,1.0,,,,,
"Young Women's Leadership School, Queens (TYWLS)",,,,Y,,,,,,,,NY,,,Screened,,,,,,,VBurdier@tywlsqueens.org,,,,,,,"College Trips,Dress Code,Extended Day Program,Extended Day Tutoring,Internships Available,Orientation,Summer Bridge,Uniform",QUEENS,,,24,Open only to Female-Identified students,,,,,,2:17pm,,1.0,,Students grades 9-12 have access to the full-time Director of College Counseling through the College Bound Initiative.,,,,68,,,,,,,,,,8:00am-2:17pm,6 to 12,2018-19 Final Grades - 33%,0.92000002,,,,,,,Priority to continuing 8th graders,0.0,,,,,
