phone_number,code1,eligibility6,grade9swdfilledflag6,directions1,grade9gefilledflag1,code9,admissionspriority43,bbl,grade9swdapplicantsperseat5,grade9geapplicants4,seats6specialized,method8,grade9geapplicantsperseat5,common_audition3,requirement4_6,offer_rate9,interest3,requirement2_3,admissionspriority12,requirement2_6,requirement1_6,school_sports,method7,requirement3_4,campus_name,admissionspriority42,bin,admissionspriority74,appperseat1specialized,admissionspriority34,admissionspriority17,grade9swdfilledflag7,grade9geapplicants3,grades2018,auditioninformation5,code10,grade9swdfilledflag5,admissionspriority44,grade9swdapplicantsperseat9,academicopportunities5,seats102,grade9geapplicants10,grade9swdapplicants1,eligibility1,earlycollege,seats9ge6,admissionspriority18,requirement2_5,city,website,psal_sports_boys,attendance_rate,census_tract,eligibility5,offer_rate3,grade9geapplicantsperseat9,prgdesc6,code7,addtl_info1
718-842-0687,X41A,,,,N,,,2026340001.0,,,,,,,,,,,,,,Morris Educational Campus Basketball and Volleyball,,,Morris Educational Campus,,2004526.0,,,,,,,9-12,,,,,,,,,70.0,,,,,,Bronx,www.hsvd.org,"Baseball, Basketball, Soccer",0.790000021,135.0,,,,,,Saturday Programs
718-333-7700,L34A,,,,N,,,3068830001.0,,,,,,,,,,,,,,"Cross Country, Rock Climbing, Yoga; other sports based on student interest",,,Lafayette Educational Campus,,3186454.0,,,,,,,9-12,,,,,,During Intensives regular classes are suspended and students sign up to explore a topic in-depth with visits from experts and fieldwork in the city.,,,92.0,,,,,,Brooklyn,www.leadersschool.net,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",0.879999995,306.0,,,,,,
718-398-3061,K95A,,,Please contact the school about the on-site requirement.,Y,,,3018120001.0,,,,,,,,,,,Priority to District 13 students or residents,,,"Cross Country, Indoor Track",,,,,3329679.0,,,,,,,9-12,,,,,,,No,,211.0,,,,,,Brooklyn,www.bedfordacademyhs.org,Basketball,0.959999979,243.0,,,,,,
718-271-3602,Q03A,,,,N,,,4016000061.0,,,,,,,,,,,,,,"Badminton, Baseball, Fitness, Football, Soccer, Yoga, Volleyball, Basketball",,,Elmhurst Educational Campus,,4437166.0,,,,,,,9-12,,,,,,,,,14.0,"Open only to New York City residents living in the United States four years or fewer whose home language is Spanish and are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging, or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",,,,,Elmhurst,www.panamericanihs.org,"Baseball, Basketball, Bowling, Cross Country, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",0.899999976,463.0,,,,,,College Trips; Community School; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student/Parent Orientation; Summer Internships; Summer Orientation
212-501-3318,A85A,,,,Y,,,1011390008.0,,,,,,,,,,,,,,,,,Martin Luther King Jr. Educational Campus,,1081024.0,,,,,,,K-12,,,,,,,,,29.0,,,,,,Manhattan,www.kaufmanmusiccenter.org/sms,"Badminton, Baseball, Basketball, Bowling, Cross Country, Handball, Outdoor Track, Soccer, Volleyball, Wrestling",0.959999979,153.0,,,,,,Community Service Expected; Extended Day Program
718-584-0832,X20B,,,,N,,,2031430043.0,4.0,120.0,,,4.0,1.0,,,Performing Arts/Visual Art & Design,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.8-4.5)",Priority to continuing 8th graders,,,"Boys Basketball, Boys Soccer, Girls Soccer, Volleyball, Boys Baseball, Girls Softball.",,Attendance,,,2013307.0,,,Then to New York City residents,,,107.0,6-12,Prepare a portfolio of 8-15 pieces of original work. Include examples of observational drawings. Complete up to three drawing assignments at the audition. Check schoolÂ’s website for examples (www.tapconyc.org). Examples may include the human figure and drawing from observation or imagination.,,Y,,,,No,,17.0,,,,,"Standardized Test Scores: English Language Arts (1.7-4.5), Math (1.6-4.5)",Bronx,www.tapconyc.org,,0.889999986,379.0,,Â—15% of offers went to this group,,,,
718-266-5032,K90H,,,,Y,,,3063290032.0,,,,,,,,,Humanities & Interdisciplinary,,Priority to District 21 students or residents,,,,,,,,3165232.0,,,,,,,6-12,,,,,,,No,,53.0,,,,,,Brooklyn,www.brooklynstudio.org,"Baseball, Basketball, Bowling, Handball, Soccer",0.899999976,288.0,,,,,,
718-771-4793,K04X,,,,N,,,3048110001.0,,,,,,,,,,,,,,,,,George Wingate Educational Campus,,3107227.0,,,,,,,6-12,,,,,,,,,55.0,,,,,,Brooklyn,schools.nyc.gov/SchoolPortals/17/K531,"Baseball, Basketball, Bowling, Soccer, Tennis, Volleyball, Wrestling",0.910000026,810.0,,,,,,
718-279-6500,Q16A,,,,Y,,,4075290001.0,,242.0,,,,,,,Science & Math,"Standardized Test Scores: English Language Arts (2.8-4.5), Math (3.8-4.5)",Priority to students who live in the zoned area who attend an information session,,,,,Attendance,,Then to Queens students or residents,4161735.0,,,,,,3199.0,9-12,,,,,,,No,,357.0,Open only to Queens students or residents,,,,,Oakland Gardens,www.cardozohigh.com,"Baseball, Basketball, Bowling, Cross Country, Fencing, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",0.930000007,138501.0,,,,,,Internships
718-923-4700,K03R,,,,Y,,,3003690001.0,,,,,,,,,,,,,,,,,,,3336036.0,,,,,,,6-12,,,,,,,,,200.0,,,,,,Brooklyn,www.bcs448.org,"Baseball, Basketball, Soccer",0.850000024,63.0,,,,,,
718-381-7100,L68A,,,,N,,,3033650098.0,,,,,,,,,,,,,,,,,Bushwick Educational Campus,,3076908.0,,,,,,,9-12,,,,,,,,,45.0,,,,,,Brooklyn,www.bsmartnow.com,"Baseball, Basketball, Soccer, Volleyball",0.879999995,435.0,,,,,,Community School
718-410-4060,X55A,,,,N,,,2028170002.0,,,,,,,,,,,Open to New York City residents,,,"Intramural Basketball, Softball, Volleyball",,,William Howard Taft Educational Campus,,2007806.0,,,,,,,9-12,,,,,,"Accelerated Credit Accumulation, College and Career Readiness, Developmental Guidance, College Counseling Services",No,,92.0,,,,,,Bronx,schools.nyc.gov/SchoolPortals/09/X412,"Baseball, Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",0.790000021,225.0,,,,,,Community School; Extended Day Program; Internships; Weekend Programs
212-362-2015,A21A,,,"Students selected for an interview will be notified after online submission of a writing sample. Interviews are typically held at 4:00 PM on Tuesday, Wednesday and Thursday afternoons.",Y,,,1012150001.0,,,,,,,,,,,,,,We will offer intramural sports based on student interest,,,Louis D. Brendeis Educational Campus,,1032128.0,,,,,,,9-12,,,,,,,,,179.0,,,,,,Manhattan,www.fmhsnyc.org,"Baseball, Basketball, Bowling, Soccer, Volleyball",0.939999998,169.0,,,,,,College Trips; Community Service Expected; Health Center; Internship Expected; Online Grading System
718-922-0650,K65A,,,,N,,Then to students who reside in the geographical catchment area,3037880001.0,,,,,,,,,Health Professions,,Priority to students who reside in the geographical catchment area who attend an information session,,,Cheerleading,,,Thomas Jefferson Educational  Campus,Then to students who reside in the geographical catchment area,3084440.0,,,,,,179.0,9-12,,,,,,"Three distinct programs of study: Medical Science, Health Science, Community Health",Yes - New,,13.0,,,,,,Brooklyn,www.watchnyc.org,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",0.810000002,1156.0,,Â—9% of offers went to this group,,,,
212-391-0041,M45A,,,,N,,,1009980041.0,,,,,,,,,,,,,,Boys' Basketball,,,,,1069583.0,,,,,,,9-12,,,,,,Career Readiness Workshops provided by Community and Business Partners,,,91.0,,,,,,Manhattan,JKOHS.Net,"Basketball, Table Tennis",0.800000012,119.0,,,,,,
718-725-0402,Q89A,,,,Y,,,4097070048.0,,,,,,,,,,,,,,"Basketball, Cheerleading, Double Dutch, Volleyball, and Track & Field",,,,,4207510.0,,,,,,,6-12,,,,,,,,,41.0,Open only to female students,,,,,Jamaica,www.tywlsqueens.org,,0.910000026,236.0,,,,,,Online Grading System; Uniform
718-561-0973,X43A,,,,Y,,,1022150080.0,,,,,,,,,,,,,,"Basketball, Calisthenics, Cardio, Track and Field, Training, Volleyball",,,John F. Kennedy Educational Campus,,1064532.0,,,,,,,9-12,,,,,,"Economics, Government, Algebra 2, Trigonometry or Geometry, Chemistry, Physics, ELA, English as a New Language, Electives, Community Service, PE, and/or AP Classes",Yes-5,,101.0,,,,,,Bronx,www.Marblehillschool.org,"Baseball, Basketball, Bowling, Cross Country, Football, Gymnastics, Indoor Track, Outdoor Track, Soccer, Volleyball",0.939999998,309.0,,,,,,Community Service Expected; Extended Day Program (Tutoring); Saturday Programs; Summer Bridge Program; Uniform
718-454-4957,Q09w,,,,,,,4109440301.0,,,,,,,,,,,Priority to Queens students or residents who attend an information session,,,"Cheerleading, basketball, track, volleyball, swimming, soccer",,,,Then to New York City residents,4234318.0,,,,,,,6-12,,,,,,"Student Support- Blended Learning, iLearn NYC- APEX and Edgenuity, IVY Keys SAT Prep, AVID, Advisory, PBIS, Regents Prep, Tutoring",No,,,Open only to continuing 8th graders,,,,,Saint Albans,www.pathwaysprep.org,"Basketball, Soccer",0.910000026,508.0,,,,,,Uniform
718-862-4406,X88X,,,,Y,,,2051410150.0,,,,,,,,,,,,,,,,,Harry S Truman Educational Campus,,2116159.0,,,,,,,9-12,,,,,,,,,168.0,,,,,,Bronx,schools.nyc.gov/SchoolPortals/11/X249,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",0.930000007,46201.0,,,,,,Community Service Expected; Internships; Uniform
718-237-2502,L61A,,,,N,,,3001740001.0,,,,,,,,,,,,,,"Basketball, Soccer (SSAL and PAL League), Fitness",,,,,3331754.0,,,,,,,9-12,,,,,,"Chess, Visual Arts, Dance",,,21.0,,,,,,Brooklyn,www.khalilgibranhs.org,,0.899999976,39.0,,,,,,
718-486-2550,K07X,,,,Y,,,3023300011.0,,,,,,,,,,,,,,Intramural Sports Tournaments,,,Harry Van Arsdale Educational Campus,,3062135.0,,,,,,,9-12,,,,,,"We build community and relationships through restorative justice practices, small class sizes, and various leadership opportunities.",,,136.0,,,,,,Brooklyn,www.brooklynprephs.org,"Baseball, Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Volleyball",0.899999976,519.0,,,,,,
718-410-4040,X56A,,,,Y,,,2028170002.0,,,,,,,,,,,,,,Middle School Basketball and Volleyball Teams.,,,William Howard Taft Educational Campus,,2007806.0,,,,,,,6-12,,,,,,,,,174.0,,,,,,Bronx,schools.nyc.gov/SchoolPortals/09/X413,"Baseball, Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",0.930000007,225.0,,,,,,Uniform
212-283-8055,M47A,,,,Y,,,1019400035.0,,,,,,,,,,,,,,,,,,,1058843.0,,,,,,,6-12,,,,,,,,,93.0,,,,,,Manhattan,http://schools.nyc.gov/SchoolPortals/05/M670/default.htm,Basketball,0.920000017,228.0,,,,,,Community Service Expected; Uniform
718-991-4634,X77R,,,,Y,,,2026920014.0,,,,,,,,,,,,,,"Co-ed and Boys Soccer, New Small Schools Athletic League Baseball Champions for 2011-2012, Young Runners Track, Yoga, Football",,,,,2005276.0,,,,,,,9-12,,,,,,,,,86.0,,,,,,Bronx,schools.nyc.gov/SchoolPortals/12/X248,"Baseball, Basketball, Soccer",0.829999983,131.0,,,,,,Community Service Expected; Extended Day Program; Uniform
212-780-9175,M70A,,,We interview for our screened program at the fall Open Houses.,Y,,,1009220008.0,,,,,,,,,,,Open to New York City residents,,,,,,,,1020419.0,,,,,,,9-12,,,,,,"Medical Biology, Medical Ethics, Medical Illustrations, Fellows Program, S3 Science Program, CUNY College Now",Yes-34,,113.0,,,,,,Manhattan,www.hphsnyc.org,"Baseball, Basketball, Handball, Soccer",0.920000017,48.0,,,,,,Internships; Weekend Programs
212-543-4460,M04,,,,N,,,1019840033.0,,,,,,,,,,,,,,"Cheerleading, Step Team, Basketball, Flag Football",,,,,1059723.0,,,,,,,9-12,,,,,,,,,105.0,,,,,,Manhattan,http://schools.nyc.gov/SchoolPortals/05/M369/default.htm,Basketball,0.810000002,219.0,,,,,,Uniform
718-292-7171,Y49A,,,,Y,,,2024430078.0,,,,,,,,,,,,,,Cheerleading,,,Mott Haven Educational Campus,,2103486.0,,,,,,,9-12,,,,,,"WISE program (individualized study and internships for seniors), CUNY College Now",,,178.0,,,,,,Bronx,www.BronxleadershipAcademy2.org,"Baseball, Basketball, Cross Country, Football, Indoor Track, Rugby, Soccer, Wrestling",0.850000024,61.0,,,,,,Internships; Uniform
718-597-1587,X32A,,,,N,,,2036040039.0,,,,,,,,,,,,,,,,,Adlai E. Stevenson Educational Campus,,2022205.0,,,,,,,9-12,,,,,,,,,102.0,,,,,,Bronx,www.thebronxguildhighschool.org,"Baseball, Basketball, Football, Outdoor Track, Soccer",0.74000001,16.0,,,,,,Internships; Weekend Programs
718-410-4242,Y21A,,,,N,,,2028170002.0,,,,,,,,,,,,,,,,,William Howard Taft Educational Campus,,2007806.0,,,,,,,9-12,,,,,,,,,72.0,,,,,,Bronx,www.dyprep.org,"Baseball, Basketball, Bowling, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",0.790000021,225.0,,,,,,College Trips; Community School; Extended Day Program; Health Center; Internships; Online Grading System; Saturday Programs; Student/Parent Orientation
718-860-8240,Y55A&,,,,N,,,2038640001.0,,,,,,,,,,,,,,,,,James Monroe Educational Campus,,2027459.0,,,,,,,9-12,,,,,,,,,74.0,,,,,,Bronx,schools.nyc.gov/SchoolPortals/12/X521,"Baseball, Basketball, Bowling, Soccer, Swimming",0.790000021,56.0,,,,,,Community Service Expected; Uniform
718-585-8013,X37A,,,,Y,,,2025760026.0,,,,,,,,,,,,,,,,,,,2003883.0,,,,,,,9-12,,,,,,"As we expand, we plan to offer Spanish Native Language Arts.",,,179.0,,1.0,,,,Bronx,schools.nyc.gov/SchoolPortals/07/X259,"Baseball, Basketball, Indoor Track, Outdoor Track, Tennis",0.839999974,35.0,,,,,,Internships; Summer Orientation; Uniform
212-505-0143,M05R,,,,Y,,,1004080030.0,,,,,,,,,,,,,,"Intramural Sports: Basketball, Soccer, Swimming",,,Seward Park Educational Campus,,1005283.0,,,,,,,9-12,,,,,,,,,211.0,,,,,,Manhattan,www.lomanyc.net,"Badminton, Baseball, Basketball, Bowling, Handball, Volleyball, Wrestling",0.899999976,18.0,,,,,,Extended Day Program; Internships
212-929-4433,M99A,,,,Y,,,1007420007.0,,,,,,,,,,,,,,Table Tennis (Ping-Pong),,,Bayard Rustin Educational Campus,,1013096.0,,,,,,,9-12,,,,,,,,,80.0,,,,,,Manhattan,www.humanitiesprep.org,"Baseball, Basketball, Bowling, Soccer, Volleyball, Wrestling",0.850000024,89.0,,,,,,Internships
718-858-1160,K08X,,,,Y,,,3001400010.0,,,,,,,,,,,,,,"Baseball, Flag Football, Track, Volleyball",,,,,3331741.0,,,,,,,9-12,,,,,,,,,170.0,,,,,,Brooklyn,www.sljhs.org,"Basketball, Soccer",0.920000017,11.0,,,,,,
718-797-3702,K71B,,,Students can schedule a school tour or interview during Open House dates. Speak with your guidance counselor to make an appointment. ,Y,,,3018880034.0,,789.0,,,,,,,Engineering,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (2.4-4.5)","Priority to Districts 13, 14, 15 and 16 students or residents",,,"Intramural Basketball, Equestrian Team, Flag Football, Martial Arts, Track",,Attendance and Punctuality,,,3054323.0,,,Then to New York City residents,,,711.0,9-12,,,,,,,Yes-5,,100.0,,,,,,Brooklyn,schools.nyc.gov/schoolportals/13/k670,"Baseball, Basketball, Bowling, Cross Country, Fencing, Indoor Track, Soccer",0.899999976,191.0,,Â—53% of offers went to this group,,,,
212-473-8152,M27A,,,,N,,,1003540080.0,,,,,,,,,,,,,,Volleyball,,,,,1004323.0,,,,,,,9-12,,,,,,,,,32.0,,,,,,Manhattan,www.martavalle.org,Basketball,0.769999981,3001.0,,,,,,College Trips; Community Service Expected; Extended Day Program; Online Grading System; Student/Parent Orientation; Summer Bridge Program
212-475-4773,M37X,,,,Y,,,1004080030.0,,,,,,,,,,,,,,"Boys Intramural Basketball Team, Cheerleading Team",,,Seward Park Educational Campus,,1005283.0,,,,,,,9-12,,,,,,,,,258.0,,,,,,Manhattan,www.essexstreetacademy.org,"Badminton, Baseball, Basketball, Bowling, Handball, Volleyball, Wrestling",0.860000014,18.0,,,,,,Extended Day Program (Tutoring); Internships; Saturday Programs
718-803-7100,Q47A,,,,Y,,,4028030001.0,,,,,,,,,,,,,,"Golf, Soccer, Fencing, Football, Tennis, Track & Field, Flag Football",,,,,4062864.0,,,,,,,9-12,,,,,,,,,282.0,,,,,,Elmhurst,www.maspethhighschool.org,"Baseball, Basketball, Lacrosse, Rugby, Soccer, Tennis, Wrestling",0.920000017,49302.0,,,,,,College Trips; Community Service Expected; Online Grading System; Saturday Programs; Student/Parent Orientation; Summer Bridge Program; Uniform
