code1,method1,academicopportunities1,program4,grade9geapplicantsperseat1,end_time,grade9geapplicantsperseat8,bus,seats9ge3,requirement3_6,directions5,admissionspriority51,neighborhood,program10,applicants4specialized,interest2,admissionspriority64,seats9swd7,grade9geapplicants5,eligibility2,grade9geapplicants6,admissionspriority63,seats9swd2,requirement4_4,admissionspriority14,international,interest9,common_audition4,prgdesc3,admissionspriority37,requirement6_3,building_code,program8,code6,grade9swdapplicantsperseat1,requirement5_5,requirement4_7,seats9swd3,seats1specialized,requirement3_1,program6,requirement1_8,grade9swdapplicants7,requirement5_4,prgdesc2,subway,ell_programs,grade9geapplicantsperseat2,requirement1_5,interest6,common_audition7,grade9geapplicants1,program7,requirement2_4,admissionspriority33,grade9gefilledflag10,prgdesc7,grade9swdapplicantsperseat6,primary_address_line_1,grade9geapplicants9,method6,grade9swdfilledflag2,overview_paragraph,program3,seats9ge1,school_email,academicopportunities3,grade9gefilledflag3
X06R,Limited Unscreened,"APEnglish, APSpanish, Earth Science, Living Environment, Astronomy, Algebra, Geometry Al2Trig, Music, PhysicalEd, GlobalHis, USHis, Participation in Gov, Econ",,2.0,3:25pm,,"Bx11, Bx15, Bx17, Bx21, Bx36, Bx40, Bx41, Bx41-SBS, Bx42",,,,,Claremont-Bathgate,,,,,,,,,,,,,,,,,,,X004,,,3.0,,,,,,,,,,,,English as a New Language,,,,,129.0,,,,,,,1701 Fulton Avenue,,,,"Leadership Institute is a small community-based high school founded by youth and educators at Sistas and Brothas United, the youth affiliate of the Northwest Bronx Community and Clergy Coalition. Through partnerships with our leading community based organizations: Phipps Neighborhood, The Leadership Program-21st Century Grant, The Future Project, and the YMCA-Rowes Scholar program, the school trains youth to be leaders who take charge of their schools and communities. A focus on Leadership, Community Action, and Social Justice encourages our students to take ownership of their community and gain an understanding of their rights in a fair, democratic society.The teaching of all three pillars would place our students in a college and career path.",,65.0,LMilanes@schools.nyc.gov,,
L65A,Limited Unscreened,Small school with individualized programs to meet the needs of all scholars,,4.0,3pm,,"B12, B20, B25, B45, B47, B60, B65, B7, Q24",,,,Then to New York City residents,Ocean Hill,,,,,,,,,,,,,,,,,,,K271,,,7.0,,,,,,,,,,,"A, L, Z to Broadway Junction; C to Rockaway Ave; J to Chauncey St",English as a New Language,,,,,289.0,,,,,,,1137 Herkimer Street,,,,"We are a grade 6 through 12 school that develops young men to be critical thinkers and active citizens who embody our Five Eagle Pillars: Commitment to Excellence, Resilience, Confidence, Leadership, and Effort. Our scholars follow individual schedules. We offer a range of courses, extracurriculars, and extended learning opportunities. Our teachers understand and embrace the challenges of teaching our unique population and take strategic risks grounded in research-based practices. Eagle is more than a school: we are a family dedicated to ensuring that all of our young men reach their full potential as globally conscious and competitive Eagle Scholars.",,68.0,eagleoceanhill@gmail.com,"Creative Writing, Ethics, Psychology, Automotive Tech, Music Production, Graphic Design, Computer Tech",
Q32A,Ed. Opt.,iLearnNYC: Program for expanded online coursework and self-paced learning,,4.0,3:30pm,,"Q43, Q46, QM6",,,,,Bellerose,,,,,,,,,,,,,,,,,,,Q566,,,3.0,,,,,,,,,,,,English as a New Language,,,,,1023.0,,,,,,,74-20 Commonwealth Blvd,,,,"Queens High School of Teaching, Liberal Arts and the Sciences is an ideal place for students who seek the skills to be college and career-ready. Our students are programmed into one of three small learning communities where they are known well by peers and teachers. We offer college level classes, a daily literacy program with an emphasis on self-selected reading, a student advisory program, and a Teaching Institute (see program description). We also have extensive community partnerships that enrich our school program.",,237.0,ecorrado@schools.nyc.gov,"WISE Individualized Senior Experience program, and Museum Art Internships; CUNY College Now, St. JohnÂ’s University College Advantage Program",
NO CODE,Test,CTE program(s) in: Scientific Research and Engineering,,,2:30pm,,"S57, S74, S76, S78, S79-SBS, S86, X1, X15, X2, X3, X4, X5, X7, X8, X9",,,,,New Dorp-Midland Beach,,,,,,,,,,,,,,,,,,,R440,,,,,,,300.0,,,,,,,SIR to New Dorp,English as a New Language,,,,,,,,,,,,485 Clawson Street,,,,"SI Technical High School provides a robust liberal arts curriculum including courses in science, technology, engineering, arts, and mathematics (STEAM) and a cutting edge Career and Technical Education (CTE) program. All students take an Intensive Writing course and English and Language Arts curriculum to prepare them for Advanced Placement (AP) Language and AP Literature and Composition. Students take four years of mathematics, a variety of STEM and AP courses, graduate with at least two or three AP Social Studies courses, and take three years of the Russian language with an optional fourth-year of a second language via a blended learning program. All ninth grade students receive a computer to use in school and to take home.",,,BMalenfant@schools.nyc.gov,"LEGO Robotics, For Inspiration and Recognition of Science and Technology (FIRST), Electronics, AutoCAD, Technical Writing, TV Production, Computer Science",
q09a,For Continuing 8th Graders,iLearnNYC: Program for expanded online coursework and self-paced learning,,,2:30pm,,"Q2, Q4, Q77, Q83",,,,,Hollis,,,Humanities & Interdisciplinary,,,,,,,12.0,,,,,,,,,Q192,,,,,,,,,,,,,Students accepted in this program will engage in a rigorous academic program where they will complete all requirements for a Regents diploma by the end of 10th grade. Students will also be able to choose an art or technology track to fulfill their elective requirements and be exposed to various leadership and real world experiences to ensure they are college ready. Starting in the 11th grade students will enroll in college courses on-site at Pathways. During their 12th grade qualifying students will take courses off site at Adelphi University. Upon graduation students will have accumulated a minimum of 12 college credits.,,English as a New Language,3.0,,,,,,,,,,,109-89 204th Street,,,N,"Pathways College Preparatory School is an Early College Secondary School. We are a family oriented community that prides ourselves on educating the mind, body, and soul of each of our students in preparation for entrance into and success in college and/or a career. Through rigorous course work and exposure to real world experiences, students gain the necessary skills to compete with their peers across the nation and the world.",,,info@pathwaysprep.org,"Technology- Software Engineering, MOUSE Squad",
K27A,Ed. Opt.,"Eleventh and Twelfth grade Physics, Chemistry, Computer Programming, Calculus, Brooklyn History, Guitar Ensemble, Studio Art, Spanish Film, College Advisory",,5.0,3:20pm,,"B103, B61, B63, B67, B69",,,,,Park Slope-Gowanus,,,Humanities & Interdisciplinary,,,,Eligibility: Open only to continuing 8th graders,,,,,,,,,,,,K460,,,6.0,,,,,,,,,,For continuing 8th grade students.,"F, G to 7th Ave; R to 4th Ave Â– 9th St",English as a New Language,,,,,475.0,,,,,,,237 7th Avenue,,,,"We believe that students learn best in a diverse and integrated environment where they can compare what they think with the knowledge of adults and their classmates. Students learn to read, write and think critically, debate, and develop new knowledge and ideas. Through CUNY's PERC program, peer tutors work alongside teachers in algebra, living environment, and chemistry classes. Students in every grade can participate in writing and theater workshops with the Atlantic Theater Company teaching artists. Social studies teachers engage students in projects and seminars culminating in our Senior Brooklyn History exhibit. Weekly Circles of 10-15 students and one faculty create the community and camaraderie essential to a truly integrated school.",,104.0,jbloomb@schools.nyc.gov,Senior English and Brooklyn History have both received the DOE designation as college preparatory courses,
X36A,Screened: Language,CTE program(s) in: Architecture and Construction,,5.0,3:20pm,,"Bx13, Bx15, Bx17, Bx21, Bx35, Bx4, Bx41, Bx41-SBS, Bx4A, Bx6",,,,,Morrisania-Melrose,,,,,,,,,,,,,1.0,,,,,,X400,,,3.0,,,,,,,,,,,"2, 5 to Intervale Ave",English as a New Language,,,,,453.0,,,,,,,1110 Boston Road,,,,"The mission of the Bronx International High School is to empower our students to become active participants in todayÂ’s interdependent and diverse world. We accomplish this by helping enhance our studentsÂ’ cultural awareness, English and native language proficiencies, and intellectual and collaborative abilities. We are dedicated to serving the academic and social needs of recently immigrated young people and their families. By critically analyzing and responding to complex world issues, students achieve academic, personal, and professional success as they become advocates for themselves and their communities.",,86.0,Jvega4@schools.nyc.gov,Students complete Performance-Based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,
L63A,Screened,"Advisory, Research Curriculum, Eight A.P. courses, CUNY College Now, Internship Program, Executive Functioning, College Guidance, Office Hours",,15.0,2:30pm,,"B103, B61, B63, B67, B69",,,,,Park Slope-Gowanus,,,,,,,,,,,,,,,,,,,K460,,,7.0,,,,,Attendance,,,,,,"F, G to 7th Ave; R to 4th Ave Â– 9th St",English as a New Language,,,,,2105.0,,,,,,,237 7th Avenue,,,,"The mission of Millennium Brooklyn is to create a rigorous academic program based on literacy infusion, the development of critical thinking skills, and project-based learning. We aim to prepare graduates for a college of choice and post-secondary options, empowering students through the setting and reaching of goals. In addition to a strong course sequence, our school partnerships provide students with additional opportunities for academic challenge. Partners are involved in curriculum development, extended day program, and parent support and outreach. Partnership involvement facilitates a community-centered environment and provides a range of learning experiences.",,142.0,lbaumgarten@schools.nyc.gov,"Internship Program, CUNY College Now, College Guidance, School-Wide Office Hours",
K93X,Limited Unscreened,iLearnNYC: Program for expanded online coursework and self-paced learning,,3.0,2:20pm,,"B12, B14, B25, B45, B47, B60, B65, B7",,,,,Ocean Hill,,,,,,,,,,,,,,,,,,,K055,,,5.0,,,,,,,,,,,"A, J, L, Z to Broadway Junction; C to Rockaway Ave",English as a New Language,,,,,192.0,,,,,,,2021 Bergen Street,,,,"Our staff mentors students before, during, and after-school. Students have a voice here and become lifelong learners. A strong school community equally committed to these ideals supports our students. BC is committed to developing well-rounded individuals. We offer college courses and specialize in college tours; a typical BC student will have visited 12-15 colleges by senior year. We have an outstanding after-school program with varied activities including AA basketball programs for girls and boys. Many of our students have earned academic or athletic scholarships to college. BC is a place where friends are made for life and where graduates know they will always be welcomed back home. We are Â“The Home of Urban Scholars.Â”",,68.0,HNewman@schools.nyc.gov,Reading and writing across the curriculum; Interdisciplinary curriculum with English and Social Studies,
X89A,Limited Unscreened,WVHS students have the opportunity to start taking college courses in the 10th grade through the College Now Program at Lehman College.,,8.0,3:15pm,,"Bx1, Bx10, Bx16, Bx2, Bx22, Bx26, Bx28, Bx30, Bx34, Bx38, BxM3, BxM4",,,,,Van Cortlandt Village,,,Science & Math,,,,,,,5.0,,,,,,,,,X440,,,5.0,,,,,,,,,,World View High SchoolÂ’s Spanish transitional bilingual program focuses on English acquisition with a special interest in math and science. The program is designed for Spanish speaking immigrant students who have less than four years in the United States.,"4 to Mosholu Parkway ; B, D to Bedford Park Blvd",English as a New Language; Transitional Bilingual Education: Spanish,4.0,,,,653.0,,,,,,,100 West Mosholu Parkway South,,,N,"World View High School (WVHS) is a rigorous college preparatory school with a primary focus on mathematics and the sciences. WVHS utilizes project-based learning to prepare students for college and careers. As members of our community, students are expected to present their research projects in every discipline twice every school year and maintain a college and career-ready profile. Students build rigorous research and evidence based skills while fostering their social and emotional growth as a member of an increasingly global community. WVHS teachers guide students through our mentoring program and advisory classes to ensure academic and personal success on their path towards becoming leaders in the school community and world beyond.",,86.0,info@worldviewhs.org,Students in the Spanish Transitional Bilingual program will take classes primarily in English by year three.,
L24A,Ed. Opt.,CTE program(s) in: Hospitality and Tourism,,2.0,2:20pm,,"B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4",,,,,Flatbush,,,,,,,,,,,,,,,,,,,K465,,,3.0,,,,,,,,,,,"2, 5, B, Q to Church Ave",English as a New Language,,,,,173.0,,,,,,,911 Flatbush Avenue,,,,"Orchard Collegiate Academy (OCA) is a supportive, high-quality community school with a focus on college and career readiness.  At OCA, our mission is to educate the whole child--exposing them to a diverse array of academic and extracurricular opportunities including music and arts classes, AP classes, leadership opportunities. Within our small school community, students and staff form strong relationships with students. Our school partners with the Henry Street Settlement to provide additional college preparation, arts programming, social-emotional support, and resources and referrals for the entire family. Students benefit from a full-time college counselor who provides 1-on-1 college counseling and college trips to all students.  Our partnership with the Abrons Arts Center allows students to participate in world-class performing arts programming, including drama, music, and dance.",,90.0,smiller18@schools.nyc.gov,Graduation Requirements: Pass all five Regents Exams or the 4 + 1 option,
M51A,Screened,"First two years at BHSEC: courses for grounding in mathematics, science, history, English, and a foreign language, arts classes, PE, and Health",,28.0,3:50pm,,"M14A, M14D, M21, M22, M8, M9, X37, X38",,,,,Lower East Side,,,,,,,,,,,,,,,,,,,M097,,,4.0,,,,,Interview,,,,,,"F to Delancey St; J, M, Z to Essex St",English as a New Language,,,,,4046.0,,,,,,,525 East Houston Street,,,,"Bard High School Early College Manhattan (BHSEC Manhattan) was founded on the belief that many students are ready to do serious college work at age 16. Bard College partnered with the NYC Department of Education to create an innovative program that enables high school students to move, in four years, from ninth grade through the first two years of college, earning a high school diploma, up to sixty college credits, and an Associate of Arts (AA) degree upon graduation.",,143.0,apply@bhsec.bard.edu,Students must complete sixty college credits to receive the Bard College AA degree,
K52A,Limited Unscreened,College NOW courses at Medgar Evers College,,2.0,3:45pm,,"B13, B20, B26, B38, B52, B54, B60, Q55, Q58",,,,,Bushwick,,,,,,,,,,,,,,,,,,,K480,,,3.0,,,,,,,,,,,"L, M to Myrtle Ave-Wyckoff Ave",English as a New Language,,,,,142.0,,,,,,,400 Irving Avenue,,,,"Students at the Academy of Urban Planning use their leadership abilities to achieve academic success. We forge a lasting spirit of community where students, parents, and guardians are welcome, teachers and staff work collaboratively, and all are engaged as partners to provide an exemplary education for our students. We provide students with the academic and social tools they need to pursue goals by stimulating their interests in learning, discovery, and self-expression. The urban planning theme-based curriculum takes students out of the classroom and into their communities to develop skills that will move them toward higher education and careers, while at the same time tapping into their innate curiosity towards the world around them.",,94.0,knorman3@schools.nyc.gov,"National Academy Foundation: Green Technology, Coding, and Architecture courses",
X51A,Audition,"CTE program(s) in: Arts, A/V Technology & Communication",,6.0,3:45pm,,"Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4",,,,,Belmont,,,,,,,,,,,,,,,,,,,X435,,,6.0,,,,,Audition,,,,,,"B, D to Fordham Rd",English as a New Language,,,,,558.0,,,,,,,500 East Fordham Road,,,,"Recognizing the needs of artistically talented students to attend a local high school, Fordham High School for the Arts (FHSA) was created to offer an instructional program in Instrumental Music, Vocal Music, Drama, the Visual Arts, and Dance. A partnership with practicing artists will afford students the opportunity to explore and develop their talents in various mediums of artistic expression.",,86.0,,"STRIVE for College with the Dorothy Day Center for Service, and Justice at Fordham University",
K60J,Ed. Opt.,"CTE program(s) in: Transportation, Distribution & Logistics",Mechanical Engineering,3.0,3:50pm,,"B32, B43, B48, B62",50.0,,,,Williamsburg,,,Engineering,,,66.0,,,,5.0,Demonstrated interest: school visit,Open to New York City residents,,,,"Comprehensive pre-engineering program with emphasis on manufacturing, design & robotics; rigorous curriculum includes computer-aided design, using Project Lead The Way (PLTW) curriculum & hands-on application culminating in prototype development.",,,K610,,,7.0,,,10.0,,,,,,,"Students in our Business Technology program are required to take courses in accounting, marketing, business writing, and virtual enterprise. Incoming students will be eligible for internships and will participate in local and state competitions.",G to Nassau Ave; L to Bedford Ave,English as a New Language,4.0,,,,132.0,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.8-4.5)",,,,,50 Bedford Avenue,,,Y,"Our school strongly believes that student choice leads to student success. As such, students have an opportunity to choose from four pathways that lead to graduation: Engineering, Law Enforcement, Automotive Applied Science, or Business Entrepreneurship. Our motto, Â‘Experience teaches Â– so that we may fly by our own wings,Â’ speaks to our dedication to empowering students in creating and following the academic and social paths that will lead them to success.",Engineering,50.0,vcoleymclaney@schools.nyc.gov,Industry internships and Work Based Learning beginning in the 11th grade,N
M68J,Audition,"Each day, students have opportunities to build on their passions and creativity while developing the academic skills needed to succeed in college.",,3.0,3:37pm,,"BM1, BM2, BM3, BM4, BxM11, BxM18, BxM2, BxM3, BxM4, M1, M11, M12, M14A, M14D, M2, M20, M23, M3, M34A-SBS, M34-SBS, M4, M5, M7, Q32, X1, X10, X10B, X12, X14, X17, X17J, X22, X22A, X27, X28, X31, X42, X63, X64, X68, X7, X9",,,,,Chelsea-Union Sq,,,Visual Art & Design,,,,,,,,,,,,,"Introduction to Marketing, Introduction to Merchandising, Beginner & Advanced Computer Applications, Business Law, Marketing Tools, Techniques, & Lab, Window Display and Exhibition Design, Fashion Buying & Marketing, and Entrepreneurship.",,,M600,,,2.0,,,,,Audition,,,,,"Fashion design, garment construction, and design related fields including: Beginner & Advanced Fashion Illustration, Beginner & Advanced Garment Construction, Draping, Pattern Making, and Portfolio Development.","1, C, E, F, M to 23rd St ; 2, 3 to 34th St - Penn Station ; A, L to 14th St-8th Ave ; B, D, Q to 34th St-Herald Square ; N, R to 28th St",English as a New Language,,,,,1198.0,,,,,,,225 West 24th Street,,,,"HSFI has it all Â– rigorous academic classes; cutting edge programs in Fashion Design, Business & the Arts; and a multi-million dollar school-based health center where students receive free medical and dental care. HSFI excels at guiding students through the college application and financial aid process with College application classes, a full-time College Counselor, Student Youth Leaders trained as peer college counselors, and Bridge Coaches who are HSFI grads enrolled in college who support students throughout their senior year and the summer before they enter college. Through our corporate Advisory Board and partnerships, HSFI provides students with hands-on experience in the fashion, business, design, and cultural center of the world.",Business Marketing and Visual Merchandising,396.0,dsilva3@schools.nyc.gov,"Our annual events include our Fashion Show, Senior Art Show, International Center of Photography exhibit, Windows Unveiling and HSFI Shark Tank.Â’",
K63X,Limited Unscreened,"Constitutional Law, Immigration Law, Civil Rights Classes; Computer Technology Certification, Advisory",,2.0,3:15pm,,"B14, B15, B20, B83",,,,,East New York,,,,,,,,,,,,,,,,,,,K435,,,3.0,,,,,,,,,,,3 to Pennsylvania Ave; C to Van Siclen Ave; L to Livonia Ave,English as a New Language,,,,,188.0,,,,,,,400 Pennsylvania Avenue,,,,"This is a dynamic institution that provides high-quality programs that emphasize civil rights issues. Students develop skills in lyrical composition, writing, musical recording, and producing. Students perform at school functions and talent shows. Students travel to courthouses in New York and Washington DC, compete in Moot Court competitions, and serve as judges, attorneys, jurors, bailiffs, and clerks in the AcademyÂ’s Youth Court. A courtroom is also available for mock trials and law-related classes. Whether your plans are to enroll in a four-year university or enroll in a law enforcement or legal training program, the High School for Civil Rights provides students with the academic background and workplace exposure needed for success.",,90.0,msteele2@schools.nyc.gov,"Search Institute, Technology, Collegiate, Recording Studio, PRO-TV and Filmmaking, Study Hall, Student Mentorship",
K69B,Limited Unscreened,"CTE program(s) in: Information Technology, Manufacturing Production, Transportation, Distribution & Logistics",Transit Technician Technology,,2:40pm,,"B13, B14, Q24, Q7, Q8",42.0,,,,East New York,,,Engineering,,15.0,115.0,,242.0,,12.0,,Open to New York City residents,,,,"The program prepares students to install and repair industrial, commercial, and residential electrical circuitry. Students are provided with theoretical and practical knowledge, such as NYC Electrical Codes, to ensure they are prepared to meet up-to-date industry standards.",,,K615,,K69P,,,,8.0,,,Computer Engineering,,58.0,,"Develop knowledge of computer circuitry, micro-technology, analog and digital electronics, basic electronics, and circuit boards. Students learn about electricity basics, voltage, and current. Students also have the option to take a nationally recognized certification exam.","A, C to Euclid Ave; J, Z to Norwood Ave",English as a New Language,2.0,"Course Grades: English (55-100), Math (55-100), Social Studies (55-100), Science (55-100)",Computer Science & Technology,,,Information Technology,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.6-4.5)",,,"Students are trained in digital literacy, which includes basic computer skills such as hardware and software, Microsoft Office, internet connectivity, and network setup. Students are prepared to obtain an entry level IT Helpdesk position at the completion of the course. At the completion of the program students are offered multiple industry-recognized certifications.",6.0,1 Wells Street,,Ed. Opt.,N,"We create, promote, and foster a learning environment that enables students to reach their full potential. We focus on individual growth, enabling students to develop a solid academic background required for post secondary education as well as the background in career and technical skills essential to succeed. We provide the necessary resources for students to achieve these goals while remaining accountable to all constituents for excellent educational practice. We accomplish this by partnering with students, parents, community members, and staff into a binding educational contract which acknowledges a collaborative effort by all.",Transit Industrial Electrician,,19K615@schools.nyc.gov,"New STEM initiative, 9th grade Introduction to Engineering and Design, 10th grade STEM based Digital Electronics program",N
Q92A,Limited Unscreened,iLearnNYC: Program for expanded online coursework and self-paced learning,,3.0,4:45pm,,"Q111, Q113, Q114, Q4, Q42, Q5, Q84, Q85, X63",,,,Then to New York City residents,St. Albans,,,,,,,,,,,,,,,,,,,Q633,,,5.0,,,,,,,,,,,,English as a New Language,,,,,169.0,,,,,,,171-10 Linden Boulevard,,,,"Eagle Academy III is an all-male college preparatory school (grades 6-12) that educates and develops young men into future leaders. This is done through strategic partnerships between our scholars, administrators, teachers, parents, mentors, and community supporters. Through Eagle AcademyÂ’s mission to cultivate integrity, students learn team-building and engage in community service while working in a nurturing and academically rigorous environment. Eagle AcademyÂ’s young men develop core values of academic excellence, leadership, and character, supported by the following initiatives: Mentoring, Saturday Institute, Summer Programs, Community Service, Parental Engagement and Extended Learning Opportunities.",,64.0,eagleacademy3@gmail.com,Academic Intervention Service (AIS),
L01R,Limited Unscreened,"Project-based learning; research and internship opportunities, Marine Science credit courses, Small group Advisories",,4.0,2:20pm,,"B1, B36, B4, B68",,,,,West Brighton,,,,,,,,,,,,,,,,,,,K303,,,6.0,,,,,,,,,,,F to Neptune Ave-Van Siclen; Q to Ocean Parkway; Q to West 8th St Â– NY Aquarium,English as a New Language,,,,,322.0,,,,,,,521 West Avenue,,,,"Our mission is to provide a strong core academic curriculum with a concentration in marine sciences. Imagine an education being delivered along the shores of the Atlantic Ocean in the legendary community of Coney Island, surrounded by the New York Aquarium's collection of marine mammals, fish, and invertebrates. Our partnerships with the New York Aquarium and the Brooklyn Center for the Urban Environment offer students a world-class, challenging, standards-based education.",,90.0,ewilens@schools.nyc.gov,"SMART Board and computer technology in all classrooms, Intel Science Research Program, CUNY College Now with Kingsborough Community College",
K77A,Screened,iLearnNYC: Program for expanded online coursework and self-paced learning,,21.0,3:15pm,,"B43, B44, B44-SBS, B45, B48, B49",,,,,Crown Heights South,,,Science & Math,,,,,,,21.0,,,,,,,,,K590,,,9.0,,,,,Attendance and Punctuality,,,,,Students must complete a research project for submission to a major science competition and take AP and/or undergraduate courses in science and research.,"2, 5 to President St; 3 to Nostrand Ave; 4, S to Franklin Ave",English as a New Language,12.0,,,,1856.0,,,,,,,1186 Carroll Street,,,N,"Our students take challenging courses that include four years of English Language Arts (ELA), mathematics, science, and technology and three years of a foreign language. Students complete at least one Advanced Placement (AP) course. Students sit for College Board examinations related to each AP course. Students also enroll in college courses and research internships at Medgar Evers College, City University of New York (CUNY) in the 11th grade and earn up to 15 college credits each semester. Student creativity, character development, and social responsibility are cultivated through individualized guidance, college advisement, athletics, clubs, fine and performing arts events, community service, and mentorships.",,90.0,,Early College Smart Scholars: Students pursue an Associate Degree in Biological Science or Computer Science upon graduation from high school,
X47A,Limited Unscreened,Students complete Performance-Based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,,5.0,3pm,,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx33, M1, M102, M7",,,,,West Concourse,,,,,,,,,,,,,,,,,,,X884,,,6.0,,,,,,,,,,,"2 to 149th St-Grand Concourse ; 3 to 145th St ; 4, 5 to 138th St - Grand Concourse ; 6 to 3rd Ave - 138th St",English as a New Language,,,,,337.0,,,,,,,350 Gerard Avenue,,,,"Community School for Social Justice (CSSJ) is an active and caring learning community where young people create and develop the intellectual and social skills to become thoughtful and engaged community members. We honor our studentsÂ’ heritage and values. We embrace a climate of social activism in which students are confident about addressing issues that affect their lives. We provide the emotional and academic supports they need to graduate and succeed in life. Our students learn how to ask questions and examine real-life problems. We guide them toward a sense of power and personal discovery to make change for themselves, their futures, and the world in which they live.",,65.0,eileengonzalez@cssjbronx.org,"CUNY College Now classes - Hostos Community College, Law and Justice Class and Competition, Playwriting class - Manhattan Theater Club",
Q08R,Limited Unscreened,Portfolio-Based Assessments,,14.0,2:40pm,,"B62, Q100, Q101, Q102, Q32, Q39, Q60, Q66, Q67, Q69",,,,,Hunters Point-Sunnyside,,,,,,,,,,,,,,,,,,,Q735,,,9.0,,,,,,,,,,,"7 to 33rd St ; E, M, R to Queens Plaza ; G to Court Sq - 23rd St ; N, Q to Queensboro Plaza",English as a New Language,,,,,1420.0,,,,,,,30-20 Thomson Avenue,,,,"The mission of the Academy of Finance and Enterprise is to provide students with an academic, business/financial, and technology program that is challenging, student centered, and project-based. Students are exposed to the world of global business and are inspired to become respectful and successful members of a continually evolving community. Students participate in mentoring, job shadowing, community service, and paid internships.",,105.0,varmano@schools.nyc.gov,"CUNY College Now courses through Baruch College, BMCC, NYC College of Technology, LaGuardia Community College",
M42J,Audition,"CTE program(s) in: Arts, A/V Technology & Communication",Drama,9.0,3:20pm,,"BxM1, BxM10, BxM11, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M57, M66, M72, M98, Q101, Q32, Q60, QM2, QM20, QM3",24.0,,,,Lenox Hill-Roosevelt Is,,,Performing Arts,,,168.0,,,,5.0,Audition,Open to New York City residents,,,1.0,"Students study modern and ballet technique, choreography, repertory, pointe, pilates, anatomy and dance history; comprehensive program that includes junior and senior internships and performances at all grade levels.",,,M480,,,5.0,Interview,,3.0,,Attendance,,,,Interview,"Students study music theory, vocal technique, and music history; opportunity to perform in a variety of vocal ensembles.","4, 5, N, Q, R to Lexington Ave-59 St ; 6 to 68th St - Hunter College ; F to Lexington Ave-63 St",English as a New Language,19.0,"Course Grades: English (70-100), Math (70-100), Social Studies (71-100), Science (72-100)",,,169.0,,"Standardized Test Scores: English Language Arts (2.2-4.5), Math (2.0-4.5)",,,,,317 East 67th Street,,,Y,"We are a small, screened-by-audition school whose students come from culturally diverse backgrounds in all five boroughs. We are a caring, tight-knit school community located on the Upper East Side. Students must audition to demonstrate exceptional talent in the performing arts and be prepared to meet high academic standards. We offer a student-centered, interdisciplinary approach to instruction. Our vision is to cultivate and nurture a community of compassionate, college-ready artists dedicated to lifelong learning and collaboration. Our mission is to empower our collective school community to achieve artistic and academic excellence through arts integration, while actively contributing to a creative and caring learning ensemble.",Dance,19.0,lhamil2@schools.nyc.gov,"Dance, drama, vocal and instrumental music, musical theater, honors courses, and training at the Martha Graham Dance Center",Y
X71A,Ed. Opt.,iLearnNYC: Program for expanded online coursework and self-paced learning,,3.0,2:35pm,,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx33, M1, M102, M7",,,,,West Concourse,,,,,,,,,,,,,,,,,,,X884,,,3.0,,,,,,,,,,,"2 to 149th St-Grand Concourse ; 3 to 145th St ; 4, 5 to 138th St - Grand Concourse ; 6 to 3rd Ave - 138th St",English as a New Language,,,,,388.0,,,,,,,350 Gerard Avenue,,,,"We are committed to preparing a diverse community of students to become life-long learners and providers of excellent health care. Our curriculum is embedded with health-related themes while focused on the sciences. Students may earn college credits through our partnerships with Hostos Community Colleges and Lehman College. All students are required to complete 120 hours of fieldwork in one of our many health-related internships. Preparing students for college and the world of work is a necessity, so we employ a full-time College Bound Initiative counselor and various staff from community-based organizations (Liberty Partnership, Morris Heights Center) to support us in reaching that goal.",,120.0,jmchedlishvili@schools.nyc.gov,Internships in Health Careers,
L25A,Ed. Opt.,Academic Portfolio for assessment,,5.0,3:26pm,,"B38, B44, B44-SBS, B48, B52, B54, B57, B62",,,,,Clinton Hill,,,,,,,,,,,,,,,,,,,K117,,,6.0,,,,,,,,,,,G to Classon Ave,English as a New Language,,,,,649.0,,,,,,,300 Willoughby Avenue,,,,"Our motto is Â‘academic, artistic, and professional preparation for the 21st Century.Â’ Students achieve best when learning is applied to research, experimentation, creativity, and projects. Students participate in a four-year college preparatory academic curriculum, AP courses, many college partnerships, and present a college preparatory portfolio at the end of each school year. Students study visual arts and filmmaking and complete 4 years of special arts topics seminars. Many enroll in BCAM visual, performing, and media arts. Our Advisory-Family program provides support and creates a strong peer community. Through student-centered learning and strong relationships, we nurture students' development and help them reach their potential.",,125.0,bcaminfo@bcamhs.org,"Media Arts Specialization, College Preparatory Courses, CUNY College Now",
