fax_number,ell_programs,shared_space,extracurricular_activities,priority01,diplomaendorsements,census_tract,school_email,partner_financial,council_district,expgrade_span_max,partner_hospital,end_time,priority04,number_programs,addtl_info1,partner_cultural,partner_highered,bin
212-391-1293,ESL,No,"Student Government, Smash Arts Productions, Dance, Debate, Teen Choice Peer Leaders, JKO Leaders Club, ELL Club, Step Team, Film Club, Morgan Stanley Mentoring Program, Big Brother/Big Sisters, Peer Tutors, Ping Pong Club, P3 Peer Mentoring Program, and National Honor Society.",Open to New York City residents,,119.0,edemeo@schools.nyc.gov,"PricewaterhouseCoopers, Morgan Stanley, Mizuho Bank",4.0,,,3:15 PM,,1,,"Roundabout Theatre Company (Management Training Program), Martha Graham Dance Company, Repertorio Espanol, Joyce Theater, Jazzreach, Nicholas Birmelin, Quenia Ribeiro, Second Stage Theater, Atlantic Theater Company, Teen Ambassador Program-Pajama Program: This is a leadership program which provides warm sleepwear and books for children in need. We offered the program to sophomores, juniors and/or seniors in good academic standing with leadership potential and an interest in volunteer work.","Adelphi University , Alfred State University, University at Albany, Baruch College, Binghamton University, Brooklyn College, University at Buffalo, Buffalo State, College of Staten Island, City College, Cornell University, CW Post, Dickinson College, Hofstra University, Hunter College, Fairfield University, Fashion Institute of Technology, Franklin & Marshall University, Fordham University, John Jay College, Johnson & Wales University, Georgia State University, Georgetown University, Lehman College, Lehigh University, Long Island University, Manhattan College, Manhattanville College, Middlebury, New York University , Nyack College, NYIT, Pace University, Pennsylvania State University, Skidmore College, St. John’s University, St. Bonaventure University, Stony Brook University, SUNY Delhi, SUNY Old Westbury, SUNY New Paltz, Syracuse University, The College of St. Rose, University of Bridgeport, University of New Hampshire, and Wells College.",1069583.0
,ESL,Yes,"Community-Based Service Projects (Reading Buddy program at nearby elementary school), Debate Team, Digital Video Design, Math Team, Regents Preparation & Saturday Academy, Peer Mentoring, Peer Tutoring, Photography, Recycling Team, School Spirit Team, School Tour Guides & Student Recruitment Committee, Sculpture, Student Council",Eligibility: Open only to female students,,485.0,admissions@tywlsbrooklyn.org,,34.0,,,2:45 PM,Then to New York City residents,1,,,,3071418.0
718-432-4310,ESL,Yes,"Art, Band, Dance, Digital Media, Drama, Guitar, Literacy and Robotics, Media, Microsoft Summer Challenge, MOUSE Squad, Music Appreciation, Musical Productions, National Honor Society, Robotics, School Newspaper, Student Government, Tutoring, Vocal Music, Web Design, Yearbook",Priority to continuing 8th graders,,29302.0,acastro3@schools.nyc.gov,"JPMorgan Chase, The Federal Reserve",11.0,,"Montefiore Medical Center, The Allen Pavilion",3:30 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"The Hostos Community College Gallery, The Frick Collection, The Metropolitan Museum of Art, Museum of Modern Art, American Folk Art Museum, National Museum of the American Indian, The Lehman College Gallery, Solomon R. Guggenheim Museum, The International Center of Photography, The Society of Illustrators, The Cloisters Museum and Gardens, Brooklyn Museum, The Art Writers Guild, The Eagle Art Gallery","Manhattan College, Syracuse University, Lehman College, Mercy College, New York City College of Technology, Baruch College, Queensborough Community College, Monroe College, Borough of Manhattan Community College, DeVry University",2112838.0
718-731-2031,"ESL, Transitional Bilingual Education: Spanish",Yes,"Adobe Photoshop, ALT Community Service Committee, ALT News, Dance Club, Executive Board, Excel, Fitness, Karate, Leadership, Microsoft Applications, National Honor Society, Ladies' Leadership Group, and Young Men's Leadership Group","Eligibility: Open only to New York City residents who have lived in the United States four years or fewer, whose home language is Spanish and are of limited English proficiency",CTE,21502.0,,,14.0,,St. Jude Children's Research Hospital,4:00 PM,,3,iLearnNYC: Program for expanded online coursework and self-paced learning,,"Monroe College, Skidmore College, New York University (NYU), Career Technical Institute",2008460.0
718-935-5089,ESL,Yes,"National Honor Society, Mock Trial, Debate, Chess, Book, Service Society, Health and Fitness, Model UN, Photography, Poetry /Spoken Word, Lyricist Lounge, Student Government, Students Helping Students, Yearbook; Siemens Society for Math, Science, and Technology",Priority to Bronx students or residents who attend an information session,,194.0,schuylervilleprep@gmail.com,,13.0,,,3:40 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,,,2074045.0
718-734-3276,ESL,Yes,"Chess, STEM Club, Drama, Internships, Music, Chorus, National Honor Society, Percussion, Step/Dance Team, Student Government, Visual Arts",Priority to Queens students or residents who attend an information session,,94201.0,nfennel@schools.nyc.gov,,32.0,,,3:00 PM,Then to New York City residents,1,Academic Portfolio required; Community Service Requirement; Extended Day Program; iLearnNYC: Program for expanded online coursework and self-paced learning,,"College Now Program, St. Francis College",4303773.0
718-410-3950,ESL,No,"Capoeira, Chorus, Dance, Lincoln-Douglas Debate, Math, Mock Trial, New York Police Department (NYPD) Explorers, Newspaper, Policy Debate, Senior Committee, Spanish, Student Government, Yearbook",For X95A only: a. Priority to Bronx students or residents b. Then to New York City residents,,18302.0,,,16.0,,,3:00 PM,,2,,,"St. John’s University, College of Mount Saint Vincent, The City University of New York (CUNY) Law School",2109459.0
718-891-0047,ESL,Yes,"Student Government, Mock Trial, After-school Tutoring, and Peer Mediation are available year round; We also offer a variety of clubs and enrichment activities throughout the year, based on student interest, including: Gaming Club, Anime/Manga Club, Poetry, Digital Photography, Green Team, Culture Club, Russian Language and Culture, Muslim Student Association (MSA), and Sign Language",Priority to Brooklyn students or residents who attend an information session,,626.0,originshighschool@gmail.com,,48.0,,,3:36 PM,Then to New York City residents,1,,,,3203631.0
212-362-5926,ESL,Yes,"Asian Cultures, Community Cares, Model UN, Newspaper, Outdoors, Peer Tutoring, Student Government, Dance, Music, Running, Film; Additional clubs based on interest",Open to New York City residents,Science,169.0,info@fmhsnyc.org,,6.0,,,3:00 PM,,1,,,,1032128.0
212-281-6918,ESL,No,"Art, Art History, Astronomy, Band, Cheerleading, Chorus, Creative Writing, Cross Country, Dance, Drama, Dr. Dragon, Math and Science Magazine, EAT NYC, Euro- Challenge, Fed-Challenge, Film, FIRST Tech Challenge, Flying Dragons Cross Country Running, Gastronomy, German, Glee, Gay Straight Alliance (GSA), Harlem IS (Dwyer Docents), Honor Society, Junior Statesman of America (JSA), Key Club, Mock Trial, Model UN, Modern Dance, MOUSE Squad, National Society of Black Engineers (NSBE), Peer and Teacher Tutoring, Photography, Poetry, Science Research, Spades/Chess, Student Government, Tennis, Varsity and JV Math Team, International League of Youth (ILY) Yearbook",Open to New York City residents,,21703.0,info@hsmse.org,,9.0,,"Mount Sinai Research, Memorial Sloan-Kettering Cancer Center",3:35 PM,,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"Harlem IS, Community Works, PASCH (Partner Schools), NY Historical Society, The American Museum of Natural History, Gilder Lehrman,National Society of Black Engineers,","The City College of New York, Teachers College: Columbia University, University of Michigan,CCNY Grove School of Engineering",1084085.0
212-253-3289,ESL,Yes,"Entrepreneur/Start-up Workshops, National Honor Society, Drama, Community Service, Gaming, Science Olympics, Programming and Software Development, Robotics, SAT Prep",Priority to Manhattan students or residents who attend an information session,,50.0,info@afsenyc.org,,2.0,,,3:36 PM,Then to New York City residents,1,,,,1017828.0
718-596-5027,ESL,Yes,"National Honor Society, Anime, Ceramics, Debate Team, Gallery, Gospel Choir, Lamplighters Theater, Peer Tutoring, Physical Fitness, Poetry, School Leadership Team, Step Team, Student Council, Student Newspaper, Tri-M Music Honor Society, University Partnerships, Yearbook Committee, Cheerleading, Cosmetology",Priority to Brooklyn students or residents,,39.0,brooklynartshs@gmail.com,Citibank,33.0,,The Brooklyn Hospital,3:21 PM,,5,iLearnNYC: Program for expanded online coursework and self-paced learning,"The Metropolitan Opera, Groundswell, Brooklyn Academy of Music, Jazz at Lincoln Center, New York State School Music Association (NYSSMA), The National Association for Music Education (MENC), The Academy Program at Carnegie Hall Foundation, Mark Morris Dance Center, Balance Dance Theater, St. Anne's Warehouse, Jazz'd 4 Life, Bang on a Can","Columbia University, New York University, West Point Military Academy, Pratt Institute, Parsons College, The New School, The Cooper Union for the Advancement of Science and Art, Long Island University, Brooklyn College, Hofstra University, Alfred University, Hunter College",3001190.0
212-346-0612,ESL,No,"Clubs: Art, Percussion, Anime, Video Game, French, Dance, Soccer; SUMMA, Theater, National Honor Society, Participation in lower Manhattan activities, SAT Preparation Student Government, Yearbook, Sponsor for Educational Opportunity (SEO)",Open to New York City residents,,13.0,vcasey@schools.nyc.gov,NASDAQ: Business Plan Competition,1.0,,,2:45 PM,,2,iLearnNYC: Program for expanded online coursework and self-paced learning,"All-City Youth Chorus, Theatre Development Fund (TDF), Arts Education Program - Open Doors, Operation Design, Trinity Church, Trinity Youth Chorus, Mannes College of Music","Syracuse University, Touro College, Pace University, New York University, CUNY Hunter College",1001035.0
718-829-2987,"ESL, Transitional Bilingual Education: Spanish",Yes,"African Dance, Art, Basketball, Community Justice, Community Volunteer Opportunities, Digital Art, MOUSE Squad, Poetry Slam, Salsa Dancers, School Newspaper, Student Government, Tutoring, Visual Art, Web Design",Eligibility: Open only to New York City residents who are English Language Learners (ELL),,16.0,pvillavicencio@schools.nyc.gov,,18.0,,School Based Health Clinic with Montefiore.,3:45 PM,,1,,,,2022205.0
718-590-1052,ESL,Yes,"buildOn, Costume Design, Drama, Dance, Set Design, Technology; Homework Help, Peer Tutoring, National Honor Society/Arista, School Leadership and School Spirit Teams, Science Tutoring, Soccer, Softball, Student Government, T Yearbook, Yoga",Priority to Bronx students or residents who attend an information session,,14701.0,etom2@schools.nyc.gov,,16.0,,,3:25 PM,Then to New York City residents,1,,,"The City College of New York, Dartmouth College, Lehman College",2009617.0
718-538-9796,ESL,Yes,"Athletics, Art, Book, Chess, Culinary Arts, Chorus, Dance, Debate, Drama, Film, Fitness, Homework Help, Music, National Honor Society, Media, Photography, Scholar Ambassadors, Senior Advisors, Student Government, Technology, Yearbook, Peer Mediation, Young Women’s Leadership, Expanded Success Initiative (ESI) for young men; After-school opportunities are seasonal and based on Scholar interest.",Priority to Bronx students or residents who attend an information session,,14701.0,ramon@schools.nyc.gov,Please refer to the section entitled Community Based Organizations for our extensive list.,16.0,,St. Barnabas,4:00 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,,"The following are our higher education partnerships: Fordham University, The New School, Lehman College, and Hostos Community College",2009611.0
718-370-6915,ESL,Yes,"Book, Cheerleading, Chess, Computer & Tech, Debate, Digital Photography, Dragon Dance Team, Drama, Forensics, Guitar Ensemble, International, It Gets Better, Japanese Culture and Language, Journalism, Key Club, Literary Magazine, Model UN, National Honor Society, Peer Leaders and Tutoring, Percussion Ensemble, Photography, SAT Prep, Senior Council, Senior Instructional Leadership Core , SING, Taiko Drumming and Ukulele Ensemble, Yearbook","Priority to Districts 20, 21 and 31 students or residents who attend an information session","Math, Science",27702.0,31r047@schools.nyc.gov,,51.0,,,3:45 PM,Then to New York City residents,1,,"Americans Promoting Study Abroad, Kiwanis Club, Warner Music Group, International Fair, Giving Project, Hugh O'Brien Youth Leadership (HOBY)",College of Staten Island/CUNY,5149609.0
718-860-8232,ESL,Yes,"Flag Football, Art, Drama, Chess, Hip-Hop Dance, Bachata Dance, Leadership, New York Cares Service Program, New York Commission on Human Rights Peer Mediator Program, Newsletter, Sponsors for Educational Opportunity",Priority to Bronx students or residents who attend an information session,,56.0,mlanaghan@schools.nyc.gov,,18.0,,,3:40 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,,Lehman College,2027459.0
718-271-7196,"ESL, Transitional Bilingual Education: Spanish",No,"Action Team, Ad Council, Advertising Futures Campaign, AP History Team, Arista/National Honor Society, Art, Art Exhibits, Art Therapy, Career Cruising, Carnegie Hall Concerts and In-School Workshops, Cheerleading, Chess, Consultative Council, Cooking, DA Richard A. Brown Student Leadership Program, Dance Performances, Debate Team, Foreign Film, Fundraising Committee, Future Leaders of America (FBLA), Guitar, Job Readiness Workshops, Job Shadowing, Law Team, Leadership Class, Math Challenge, Math Team, Mathematica, Multicultural Performances, Music, Peer Tutoring, Photography, Piano, Poem in Your Pocket, Pre-Med, Principal’s Consultative Student Council, Public Speaking, Robotics, Senior Planning Committee, Service, Shakespeare Oratory Competition, School Newspaper, Spring Vocal and Instrumental Concert, Story Corps, Student Center, Student Government, Wellness Team, Winter Arts Festival, Yearbook",Priority to Queens students or residents,"Arts, CTE",43701.0,azambra@schools.nyc.gov,"JPMorgan Chase & Co., Ridgewood Savings Bank",21.0,,"S-PREP (State Pre-College Enrichment Program)-Columbia University College of Physicians and Surgeons, Park Terrace Care Center, Plaza Del Sol Family Health Center, Urban Health Plan",4:00 PM,,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"American Ballet Theater (ABT), Center for Arts Education, Metropolitan Opera Guild, New York Philharmonic, Museum of Modern Art (MoMA) Red Studio, Fashion Institute of Technology (FIT) , Queens Museum (Docent Internships), Carnegie Hall Arts Partnership, Queens Museum of Art (QMA) Queens Teens, The Art Directors Club, The Art Students League of New York, Joan Mitchell Foundation, French Institute, Italian Committee on Education, City at Peace, ArtsConnection, Shakespeare Speaking Union, Story Corps, Queens Theatre in the Park, Repertorio Español","New York University, Hofstra University, Columbia University, Fashion Institute of Technology (FIT), City College of New York, Queens College, Baruch College, Queensborough Community College, Monroe College, LaGuardia Community College",4048306.0
718-658-1613,ESL,Yes,"Music, Student Government, Studio Art, Drama, Math Honors Society, Athletes Helping Athletes, National Honor Society, Literary Magazine, Yearbook, COSA, PM School and After-School Tutoring",Priority to Queens students or residents who attend an information session,Arts,452.0,Mritter1@schools.nyc.gov,,24.0,,,3:00 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,Jamaica Center for Arts and Learning,,4448806.0
718-221-1781,ESL,Yes,"National Honor Society, National Society of Black Engineers, Society of Hispanic Professional Engineers",Priority to Brooklyn students or residents who attend an information session,,311.0,ptechnyc@schools.nyc.gov,,36.0,,,4:30 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,,,3030553.0
@718-452-3603,ESL,No,"African Heritage Club, After-school Tutoring, Asset Labs, Drama, Mock Trial, Peer Tutoring, SAT Prep Course, Saturday School, Soccer, Spanish, Step Class",Priority to District 32 students or residents,,393.0,32k545@schools.nyc.gov,,34.0,,,2:45 PM,Then to New York City residents,1,,"Center for the Arts, Irondale Ensemble, Noel Pointer Foundation",,3073462.0
212-674-8021,ESL,Yes,"Student Government, Art, Basketball, Cheerleading, Soccer, Music, Weight Room, Law Team, Freaks and Geeks, Senior Committee, Mentoring, Soccer, Tutoring",Priority to Districts 1 and 2 students or residents who attend an information session,,18.0,contact@uaagl.org,,1.0,,,3:45 PM,Then to Districts 1 and 2 students or residents,1,,Abrons Art Center (provides drama instruction),"New York University Law School, NYU Wagner School for Public Policy, Borough of Manhattan Community College",1005283.0
718-620-2561,ESL,Yes,"Art, Backgammon, Dance, Debate, French, Filmmaking, Fitness, Key; Film Screenings, Acting & Directing in Film, , Gay-Straight Alliance, , Community Service, SAT Preparation, Student Government, Senior Committee, Tutoring, Regents Preparation, Yearbook",Open to New York City residents,,56.0,pmonforte@tcs-nyc.org,,18.0,,,2:45 PM,,1,,"Museum of the Moving Image, Lincoln Center Society, Tisch School of the Arts at NYU",City of New York (CUNY) - Lehman College: College Now,2117663.0
718-886-4255,"ESL, Transitional Bilingual Education: Chinese, Spanish",Yes,"Arts, Math Team, Glamour Gals, Arista, ASPIRA, Attendance Intervention Program, Beginning Vocal,Chinese Club, Concert Band, Debate Team,Honors Chorus, Journalism,Law Team, Leadership, Leo's Club, Multicultural,Peer Mediation, Play Production,Set Design, Sports and Arts High School Today Program, Student Government",Open to New York City residents,"CTE, Math, Science",1161.0,MVacarr@schools.nyc.gov,,20.0,,"Elmhurst Hospital Center, Flushing Hospital Medical Center, New York Hospital Queens (NYHQ)",3:27 PM,,4,"Community School: Offers personalized learning opportunities during and after school, social services, and family engagement programs; iLearnNYC: Program for expanded online coursework and self-paced learning","Flushing Town Hall, Queens Council of the Arts, Lincoln Center for the Performing Arts, The Oratorio Society","Queens College, Hunter College, LaGuardia Community College, Queensborough Community College, New York University (NYU), Hofstra University, St. John’s University, John Jay College of Criminal Justice",4113172.0
718-345-5470,ESL,No,"Leadership & Support: Skills, USA, Health Occupations Students of America (HOSA), Peer Mediation/Conflict Resolution, National Honor Society, National Technical Honor Society, National Thespian Society, Student Government Association, Teen Summit, Brooklyn Student Activity Council, Male & Female Mentoring, Young Men’s Leadership, Young Women’s Leadership, Teen Talk; Artistic: Photography, Advertising Design, Art, Music, Yearbook, Math, Martial Arts, Parenting, Cosmetology, Fashion",Open to New York City residents,CTE,1144.0,agarner@schools.nyc.gov,,37.0,,"Brookdale University Hospital and Medical Center, Jamaica Hospital and Long Island College Hospital.",3:07 PM,,3,,"Brooklyn Arts Council, Graphic Arts Educational Advisory Commission, Art Directors Students League, Brooklyn Museum of Art (Digital Photography Program), Summer Arts Institute","Fashion Institute of Technology (FIT), New York City College of Technology, Kingsborough Community College, Medgar Evers College, The Art Institute, Pratt Institute, Tour College, Technical Career Institute (TCI), Brooklyn College, Work Based Learning.",3083660.0
718-564-2581,ESL,Yes,"Creative Writing, Explorers, Stock Market Game, Toastmasters International, International Food Club, Student Government; Additional clubs offered based on student interest",Open to New York City residents,CTE,794.0,abreier@schools.nyc.gov,,40.0,,,2:45 PM,,1,,,"Kingsborough Community College, New York City College of Technology",3336215.0
212-722-6717,"ESL, Dual Language: Spanish",Yes,"Art, Community Service, Dance, Music, Student Government, Theater, Electronic Music Production, Technology, Soccer, Basketball, Pencil Project",Eligibility: Open only to heritage Spanish speakers and students who attended Transitional Bilingual Education or Dual Language middle school programs,,170.0,wmerced2@schools.nyc.gov,,8.0,,Mount Sinai Hospital,3:00 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,Roundabout Theatre Company,,1052433.0
718-558-4257,ESL,Yes,"Chess, Art, Culture, Dance, Debate Team, Drama, Journalism, Math, Peer Tutors, Student Government",Priority to continuing 8th graders,,258.0,28Q284@schools.nyc.gov,,27.0,,,2:20 PM,,1,,,"York College, Early College Initative; City University of New York (CUNY)",4216655.0
,ESL,Yes,"Mentoring, Tutoring; Clubs will be offered based on student interest",Priority to Bronx students or residents who attend an information session,,165.0,leadership_institute@nwbccc.net,,15.0,,,3:15 PM,Then to New York City residents,1,,,Fordham University,2009659.0
212-219-0743,ESL,Yes,"Yearbook, iCare Community Service, Debate Team, Rock Band, Jazz Band, iNews, Green Roof Team, Model UN, Creative Writing, Black Student Union, Coding Club, Cheerleading, Finance Club, Crochet Club; Additional clubs will be formed based on student interest",Open to New York City residents,,37.0,admissions@mail.nycischool.org,,3.0,,,4:00 PM,,1,iLearnNYC: Program for expanded online coursework and self-paced learning,,,1007378.0
212-517-5334,ESL,Yes,"Student Voice Collaborative, City Explorers, Fit and Fly at New York Sports Club, Leadership, Athletic and Tutoring Programs at Vanderbilt YMCA, Radio Rootz, Tutoring in major subject areas, Vanguard Movement, Vanguard Student Government, WNYC Radio Rookies, Drama, Fashion",Open to New York City residents,,118.0,WKlann@schools.nyc.gov,,5.0,,"Mount Sinai Medical Center, Hospital for Special Surgery, New York-Presbyterian Hospital",3:00 PM,,1,,"Lincoln Center Theater, WNYC Radio Rookies, Radio Rootz","John Jay College of Criminal Justice, Fordham University and Baruch College Now",1083343.0
718-499-3947,ESL,Yes,"After-school Sports and Dance, Arnhold New Dance Teacher Suppport Program, Arts Connection, Brooklyn Arts Council, Chess, Cooking, Debate Team, Mock Trial Team, Mural Art, National Honor Society, Peer Mediation, Project Reach Youth, SAT Preparation, SPARK, Student Government, Tutorials, Yearbook Design",Priority to District 15 students or residents,,155.0,33K462@schools.nyc.gov,,39.0,,New York Methodist Hospital,2:35 PM,,1,,"Partnership for After School Education (PASE), Brooklyn Arts Council, Groundswell, Creative Connections, Urban Arts, Global Kids","New York City College of Technology, Brooklyn College, Long Island University, John Jay, NYU",3025510.0
212-996-5946,"ESL, Transitional Bilingual Education: Spanish",Yes,"ACE2, ASPIRA, Astronomy, buildOn, Cheerleaders, Chinese Culture, Crochet, Dance Group, Drama, Double Dutch, Drama, Female Fitness, Futsal, Gay/Straight Alliance, Greenhouse, Group Fitness, Math Team, MCSM Improv, Model UN, Music, Muslim Student Association, Oppa Noona, Principal's Advisory Council, National Honor Society, Red Cross, Robotics, Salsa, Spanish, Spartans Tae Kwan-Do, Sport, Student Government, Yearbook, Yu-Gi-Oh",Priority to students attending Isaac Newton Middle School for Math & Science,,178.0,info@mcsm.net,JP Morgan Chase Fellowship Intitative,8.0,,"Mount Sinai Medical Center (Med Docs), Metropolitan Hospital Center (Med Pals)",2:40 PM,For M16K only: Open only to students whose home language is Spanish,2,,"Metropolitan Museum of Art, Museum of Modern Art (MoMA), Whitney Museum, Museo del Barrio, Studio in a School, Manhattan Neighborhood Network, New York Botanical Gardens, Museum of the City of New York Saturday Academy, Jewish Museum, Noguchi Museum.","Columbia University DDC/STEM/Talent Search, Cooper Union Art Study, The City University of New York (College Now at Hunter, Baruch, and Lehman, as well as Upward Bound at John Jay College), New York University Journalism Program, State University of New York Albany ASR, St. John's University Gear Up, Fordham University STEM Program, Maurick College - Netherlands",1053152.0
718-688-7236,ESL,Yes,"Board Games, Dance and Step Team, Digital Photography, Homework Center, Literary Journal, Peer Tutoring, Poetry Seminars, Poets' Cafe, Senior Buddy Program, Theatre, Writers' Posse, Yearbook Committee",Priority to New York City residents who attend an information session,,1070.0,cwinkfield@schools.nyc.gov,,42.0,,,3:30 PM,,1,,Urban Word Poetry,"New York City College of Technology, Columbia University",3413878.0
212-674-8021,ESL,Yes,"LoMA students are required to participate in two days of extracurricular activities or tutoring a week: Chorus, Swimming, Chimera Concept Dance Team, LoMA Theatre Ensemble, LoMA Cares Volunteer Group, Student Government, After School of Rock, Studio Art, Yearbook, Cheerleading, Chess, Ultimate Frisbee, Photography, Theatre Tech, Yoga, Weight Room and others",Priority to Districts 1 and 2 students or residents who attend an information session,,18.0,lcordero@schools.nyc.gov,,1.0,,We have a Community Healthcare Network Clinic on site and our seniors complete internships at Gouverneur Hospital.,3:00 PM,Then to Districts 1 and 2 students or residents,1,,"Henry Street Settlement/Abrons Arts Center, New York Theatre Workshop, St. Luke's Orchestra, The Grammy Award Foundation, Early Stages, LEAP.",New York University and John Jay College (college classes for juniors and seniors),1005283.0
212-253-2539,ESL,Yes,"IRIS Literary Magazine, Chess, Japanese, Journalism, Model UN, Peer Mediation, Service, Student Government, MOUSE Squad, Tutoring, Yearbook, Girls Acapella",Priority to Manhattan students or residents who attend an information session,,50.0,DSchindler@Schools.nyc.gov,,2.0,,Beth Israel campus/school-based Health Center (full-service clinic offering primary care and preventive health services),3:30 PM,Then to New York City residents,1,,Rueben Museum,New York University,1017828.0
718-852-4593,ESL,No,"Expanded Success Initiative (ESI), After-School Program, After-School Tutorials, STEM/Robotics, Chess, College and Career Fairs/Tours, Computer, Culinary Institute, Creative Writing, Dance, Debate Team, DJ, ‘Give, Receive, Assistance, Confidence, and Excellence’ (GRACE) Program, Green House, Homework Help, Math, Music, Music Production, Saturday Academy, School Newspaper, School Website Management, Science, Step, Student Government, Teacher Assistants (TAs), Television, Test Preparation, Tutoring, TV/Video Production, Video Game, Yearbook, YLGC - Employment (working in the school), Youth Court",Open to New York City residents,,375.0,MPRAYOR@SCHOOLS.NYC.GOV,,41.0,,,3:00 PM,,2,iLearnNYC: Program for expanded online coursework and self-paced learning,"Brooklyn Academy of Music (BAM), Museum of Contemporary African Diasporan Arts (MoCADA), Brooklyn Museum","Brooklyn College, Medgar Evers College, Polytechnic Institute of New York University",3039676.0
718-292-7435,"ESL, Dual Language: Spanish",Yes,"Art Academy, Chess, Debate Team, Drama, History, Math Team, MOUSE Squad, Peer Tutoring and Mediation, School Orchestra, School Yearbook, Student Council",For Y72A only: a. Open only to heritage Spanish speakers and students who attended Transitional Bilingual Education or Dual Language middle school programs b. Priority to continuing 8th graders c. Then to Bronx students or residents d. Then to New York City residents,,43.0,info@ms223.org,,8.0,,Bronx-Lebanon Hospital,3:00 PM,,2,,"Bronx Council on the Arts, Bronx Museum of the Arts, Center for Arts Education, ACAMP, The National Urban Technology Center (Urban Tech), Band Seed, Lincoln Center","Cornell University, Lehman College, New York University, Teachers College Columbia University, Yale University",2097038.0
718-796-8657,ESL,No,"Book, Dance, Minecraft, Anime, Foreign Film, Spanish, Glee; One World, Art, Video Editing, Math, Screenwriting, Science Olympiad, Model UN, Accreditation Committee, Band, Bronx Student Advisory Council, Chorus, Conflict Resolution, Dance and Activities Committees, Health Corps/Teen Action, Talent and Multicultural Shows, National Honor Society, Newspaper, Nutrition Committee, School Leadership Team, Student Literary Magazine, Regents Prep, RKA Idol, Spring Festival, Step, Student Council, Technology Interns, Teen Theater, Video Game, Winter Festival, Yearbook, Car Wash, Pep Rallies, School Carnival (RKArnival); Library Open Access for Circulation, Art, Poetry and Writing Competitions, Poetry Cafe, Quiz Bowl, Spelling Bees",Eligibility: Open only to Bronx students or residents a. Priority to continuing 8th graders b. Then to students residing in the geographical catchment area c. Then to Bronx students or residents,"Math, Science",309.0,jprince4@schools.nyc.gov,"Building Readiness in Today’s Entrepreneurs (BRITE), Mission I'M Possible",11.0,,Montefiore Medical Center,2:40 PM,,1,,"Arts Achieve (Grant Recipient), Making Books Sing, Riverdale Children's Theater, Somers Rotary Book Club, 92nd Street Y, Roundabout Theater Company, Alvin Ailey Dance Foundation, Bronx Arts Ensemble. Wave Hill","Hunter College, College of Mount St. Vincent, Lehman College, Manhattan College",2085870.0
718-332-2544,ESL,Yes,"Art, C-CAP, Construction Skills, Creative Writing, For Inspiration and Recognition of Science and Technology (FIRST) Robotics, MOUSE Squad, National Honor Society, Peer Mediation and Conflict Resolution, SkillsUSA, Student Government, Web Design, Women’s Empowerment, Work-Based Learning, Yearbook",Open to New York City residents,CTE,366.0,tmontalbano@schools.nyc.gov,,48.0,,Coney Island Hospital,3:30 PM,,5,iLearnNYC: Program for expanded online coursework and self-paced learning,"Lincoln Center for the Performing Arts, Brooklyn Public Library, Creative Arts Team, New York City Student Shakespeare Festival Participants 2010-2014","St. John's University, New York City College of Technology, Kingsborough Community College, Polytechnic University, Universal Technical Institute (UTI), Institute for Design and Construction",3196378.0
212-246-2654,ESL,Yes,"Anime Club, Amnesty International, Book Club, Corporate work-based learning mentoring with Big Brothers Big Sisters (American Express) and GCSA (Deutsche Bank); CoderDojo, Cooking, Drama, eSports, Media Production, Gamer Haven, Gay Straight Alliance (GSA); Girls Empowerment Club, Homework Help, Intramural Sports, Chess Club, Media Crew, Men of Strength, Moth StorySlam, Movie Club, MOUSE Squad, Peer Mediation Club, Regents Preparation, Robotics, JROTC, Skateboarding with Stoked, Student Government, Tennis Club, Technovation Challenge (App-Design for Girls), Yearbook, Senior Committee",Priority to Manhattan students or residents who attend an information session,,127.0,UAGateway@gmail.com,,3.0,,Hospital for Special Surgery,3:30 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,,"Polytechnic Institute of New York University (NYU), Borough of Manhattan Community College, Hunter College, Baruch College, New York City College of Technology, SUNY Farmingdale, Monroe Community College",1026646.0
