license_number,phone,average_vehicle_age,booking_app,email,sector_average_injury_crashes_per_vehicle,address,sector_average_average_vehicle_age,top_vehicle_models_5,_2015_honor_roll_base,top_vehicle_models_1,:@computed_region_92fq_4b7q,base_safety_violations_per_vehicle
B01288,718-328-3333,5.3,,NEWELEGANTECARSERVICE@YAHOO.COM,0.05,1804 RANDALL AVENUE  BRONX NY 10473,7.3,Honda Odyssey,No,Toyota Camry,31.0,0.0
B02461,212-923-1212,4.7,,NEWHEAVENDISPATCHER@HOTMAIL.COM,0.05,1059 ST NICHOLAS AVENUE  NYC NY 10032,7.3,Toyota Avalon,No,Toyota Camry,23.0,0.0
B00078,718-585-8500,2.1,,ROADSHOWDESK@ROADLIMO.COM,0.01,865 EAST  138 STREET  BRONX NY 10454,3.8,Mercedes-Benz S-Class,No,Lincoln MKT,43.0,0.0
B02866,646-665-7271,1.1,Uber,NEWDRIVERS@UNTERNYC.COM,0.04,636 WEST   28 STREET  NEW YORK NY 10001,3.4,,No,Toyota Camry,10.0,0.0
B02457,718-651-1166,7.3,,NEWNEIGHBOR12@GMAIL.COM,0.01,49-17 A 69TH STREET  WOODSIDE NY 11377,3.8,Mercedes-Benz Sprinter,No,Lincoln Town Car,34.0,0.0
B01737,212-740-4444,6.7,,WASHINGTONRADIODISPATCHINC@GMAIL.CO,0.05,2320 AMSTERDAM AVENUE  NEW YORK NY 10033,7.3,Toyota Sienna,No,Toyota Camry,39.0,0.04
B02674,718-545-7555,4.5,,SHOPLINE123@GMAIL.COM,0.05,25-26   50 STREET SUITE 206D WOODSIDE NY 11377,7.3,Toyota Prius,No,Dodge Caravan,4.0,0.0
B01269,718-599-5555,9.1,,EMILSUMALIYEV@GMAIL.COM,0.05,204 DIVISION AVENUE  BROOKLYN NY 11211,7.3,Lincoln Town Car,No,Toyota Prius,38.0,0.0
B02845,718-888-0402,3.1,,ANDREW-JEONG@LIVE.COM,0.04,33-70 PRINCE STREET SUITE 807 FLUSHING NY 11354,3.4,Lexus GX 460,No,Honda Odyssey,3.0,0.0
B01854,&201-477-3200,3.6,,INFO@EUROPE-LIMO.COM,0.01,24 FARVIEW TERRACE  PARAMUS NJ 07652,3.8,Audi Q7,No,Lincoln MKT,,0.0
B01527,212-749-7777,7.1,,NFRADIODISPATCH@GMAIL.COM,0.05,72 WEST  106 STREET  NEW YORK NY 10025,7.3,Toyota Highlander,No,Lincoln Town Car,23.0,0.02
B01568,718-592-1300,6.9,,NYMEXICANA1@AOL.COM,0.05,49-06 JUNCTION BOULEVARD  ELMHURST NY 11373,7.3,Toyota Sienna,No,Lincoln Town Car,5.0,0.04
B02184,212-481-6365,1.6,,DMCLIMOUSINESERVICE@GMAIL.COM,0.01,10 WATERSIDE PLAZA  NEW YORK NY 10010,3.8,Chevrolet Suburban,No,Cadillac Escalade,51.0,0.0
B02518,718-424-1250,4.0,,GENNAROSTRANSPORTATION@HOTMAIL.COM,0.04,1225 FRANKLIN AVE STE 325 GARDEN CITY NY 11530,3.4,Chevrolet Tahoe,No,Toyota Camry,,0.0
B01306,718-383-6345,6.2,,JOHNDEE59@AOL.COM,0.05,135 GREENPOINT AVENUE  BROOKLYN NY 11222,7.3,Ford Crown Victoria,No,Lincoln Town Car,38.0,0.0
B02191,516-327-5466,1.3,,IMRAN@USLIMOSYSTEM.COM,0.01,167 LAWRENCE AVENUE  INWOOD NY 11096,3.8,Mercedes-Benz S-Class,No,Chevrolet Suburban,,0.0
B01861,877-926-2442,4.9,,RAMANN@EASTCOASTLIMOUSINE.COM,0.01,3817 CRESCENT ST  LONG ISLAND CIT NY 11101,3.8,Chevrolet Tahoe,No,Cadillac Escalade,33.0,0.0
B02639,917-500-4381,4.7,,NANSKYPIERRE@HOTMAIL.COM,0.04,1817 FLATBUSH AVENUE  BROOKLYN NY 11210,3.4,Lincoln Town Car,No,Toyota Camry,26.0,0.0
B02707,718-544-4444,2.7,,,0.05,73-18 YELLOWSTONE BOULEVARD 1ST FLOOR FOREST HILLS NY 11375,7.3,,No,Toyota Sienna,28.0,0.0
B02556,718-440-1311,3.8,,SAL235@HOTMAIL.COM,0.01,15 CUTTERMILL RD. SUITE#110 GREAT NECK NY 11021,3.8,Chevrolet Tahoe,No,Cadillac Escalade,,0.1
B01406,718-788-1234,4.8,,INFO@LEGENDSLIMOUSINE.COM,0.05,88A    4 AVENUE  BROOKLYN NY 11217,7.3,Chevrolet Tahoe,No,Lincoln Town Car,38.0,0.0
B02751,516-439-1666,2.1,,RELIANCEGROUP@LIVE.COM,0.01,185-02 UNION TURNPIKE  FRESH MEADOW NY 11366,3.8,Lincoln MKT,No,Mercedes-Benz S-Class,24.0,0.16
B01741,718-230-0202,8.3,,MONACOCARSERVICE@HOTMAIL.COM,0.05,742 WASHINGTON AVENUE  BROOKLYN NY 11238,7.3,Chevrolet Tahoe,Yes,Lincoln Town Car,48.0,0.03
B02450,718-499-2222,5.3,,JUPITERCARSERVICE@GMAIL.COM,0.05,717    4 AVENUE  BROOKLYN NY 11232,7.3,Chrysler Town and Country,No,Toyota Camry,7.0,0.0
B01124,718-699-0960,8.1,,COOPERATIVACS@HOTMAIL.COM,0.05,109-20 CORONA AVENUE  CORONA NY 11368,7.3,Mercury Grand Marquis,No,Lincoln Town Car,21.0,0.0
B02113,212-647-8400,1.7,,PETER@BERMUDALIMO.COM,0.01,492 FRANKLYN AVENUE  NUTLEY NJ 07110,3.8,Mercedes-Benz Sprinter,No,Lincoln MKT,,0.0
B02099,800-949-0949,3.4,,MOE@SUNNYLIMO.COM,0.01,88-43   76 AVENUE  GLENDALE NY 11385,3.8,,No,Lincoln MKT,34.0,0.06
B00727,718-338-2003,10.0,,ALINAKUZNETSOV@HOTMAIL.COM,0.05,992 EAST   15 STREET  BROOKLYN NY 11230,7.3,Ford Taurus,No,Lincoln Town Car,18.0,0.09
B00030,718-822-7777,9.3,,RIA0531@AOL.COM,0.05,3552 EAST TREMONT AVENUE  BRONX NY 10465,7.3,,No,Chevrolet Impala,12.0,0.07
B00556,718-937-5700,4.1,,SURREYLIMO@SURREY-LIMO.COM,0.01,439 EAST 77TH STREET  NEW YORK NY 10075,3.8,Mercedes-Benz E350,No,Cadillac XTS,1.0,0.09
B02605,718-892-1111,7.5,,NYCGREENCS@GMAIL.COM,0.05,3444A EAST TREMONT AVENUE  BRONX NY 10465,7.3,Mercury Grand Marquis,No,Toyota Camry,12.0,0.0
B02629,866-658-0011,5.3,,INFO@CARLUXLIMO.COM,0.01,110 JERICHO TURNPIKE SUITE 4 FLORAL PARK NY 11001,3.8,Chevrolet Express LT 3500,No,Lincoln Town Car,,0.0
B00183,718-846-6666,11.1,,KEWCAR@AOL.COM,0.05,122-11 HILLSIDE AVENUE  RICHMOND HILL NY 11418,7.3,Ford Crown Victoria,No,Mercury Grand Marquis,28.0,0.05
B00860,212-304-3612,5.4,,SEAMANRADIO@YAHOO.COM,0.05,4020   10 AVENUE  NEW YORK NY 10034,7.3,Toyota Avalon,No,Toyota Camry,39.0,0.0
B02245,718-375-1001,7.5,,OCEANA030@GMAIL.COM,0.05,2395 CONEY ISLAND AVENUE  BROOKLYN NY 11223,7.3,Dodge Caravan,No,Lincoln Town Car,15.0,0.0
B01148,718-230-8244,7.3,,EDDIE2955@AOL.COM,0.05,587 VANDERBILT AVENUE  BROOKLYN NY 11238,7.3,Dodge Durango,No,Lincoln Town Car,48.0,0.05
B00932,718-574-0155,6.2,,NATASHASGROUP@YAHOO.COM,0.05,372 WILSON AVENUE  BROOKLYN NY 11221,7.3,Ford Escape,No,Toyota Camry,37.0,0.0
B02509,718-365-7777,5.5,,MINUTE.NEWYORK@YAHOO.COM,0.05,2809 WEBSTER AVENUE  BRONX NY 10458,7.3,,No,Toyota Camry,22.0,0.0
B01907,718-433-1212,5.0,,BILL@BENSLIMO.COM,0.01,11-01   43 AVENUE  LIC NY 11101,3.8,Mercedes-Benz S550,No,Lincoln Town Car,33.0,0.03
B01803,718-392-6100,3.7,,GEORGE@VIPGTS.COM,0.04,53-38   35 STREET  LIC NY 11101,3.4,Chevrolet Tahoe,No,Lincoln Town Car,33.0,0.01
B02783,347-234-8431,3.5,,LJD2184@GMAIL.COM,0.04,914 SOUNDVIEW AVENUE  BRONX NY 10473,3.4,Toyota Highlander,No,Toyota Camry,31.0,0.18
B00889,718-446-8700 or 718-446-8793,7.6,,INFO@MEXICANACARLIMO.COM,0.05,70-18   35 AVENUE 1FL JACKSON HEIGHTS NY 11372,7.3,Toyota Sienna,No,Lincoln Town Car,5.0,0.01
B02569,212-364-2000,2.9,,TLC@GOGREENRIDE.COM,0.05,33-24 NORTHERN BOULEVARD 5TH FLOOR LONG ISLAND CIT NY 11101,7.3,,No,Toyota Prius V,33.0,0.0
B02240,718-777-3333,3.4,,SAMHAN4989@YAHOO.COM,0.04,33-70 PRINCE STREET #603 FLUSHING NY 11354,3.4,GMC Yukon XL,No,Toyota Sienna,3.0,0.0
