license_number,vehicle_safety_technology_used,serving_areas,borough,percent_hybrid_alt_fuel_vehicles,_24_hours,:@computed_region_yeji_bk3q,green_taxi_service,hosted_vision_zero_training,top_vehicle_models_2,year_base_opened,website,base_name,location-_2015_honor_roll_drivers
B02554,No,New York City,,0.0,Not Reported,,No,No,Chevrolet Suburban,2012.0,,,"{'latitude': '40.755027', 'longitude': '-73.693562'}-0.0"
B01200,No,New York City,BROOKLYN ,3.0,Not Reported,2.0,Yes,Yes,Toyota Camry,1997.0,,(N Y LIMO & CAR SERVICE),"{'latitude': '40.689376', 'longitude': '-73.91839'}-0.0"
B02670,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Cadillac XTS,2013.0,,,"{'latitude': '40.765428', 'longitude': '-73.886184'}-0.0"
B02457,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,Yes,Chevrolet Tahoe,2011.0,,,"{'latitude': '40.737289', 'longitude': '-73.89592'}-0.0"
B00111,No,New York City,QUEENS   ,3.0,Not Reported,3.0,No,No,Toyota Highlander,1999.0,,,"{'latitude': '40.735627', 'longitude': '-73.93612'}-0.0"
B02662,No,New York City,,0.0,Not Reported,,No,No,Chevrolet Suburban,2013.0,,,"{'latitude': '40.830027', 'longitude': '-73.9723'}-0.0"
B01594,No,New York City,QUEENS   ,7.0,Not Reported,3.0,Yes,No,Toyota Camry,1997.0,,(ACROPOLIS),"{'latitude': '40.778662', 'longitude': '-73.91488'}-0.0"
B01020,No,Crown Heights,BROOKLYN ,4.0,No,2.0,No,No,Lincoln Town Car,1992.0,,(UNION LIMO AND CAR SERVICE ),"{'latitude': '40.668591', 'longitude': '-73.942117'}-0.0"
B01651,No,New York City,BRONX    ,6.0,Not Reported,5.0,Yes,No,Lincoln Town Car,1996.0,,(WIRELESS CAR SERVICE),"{'latitude': '40.831538', 'longitude': '-73.88181'}-1.0"
B01537,No,New York City,STATEN IS,0.0,Not Reported,1.0,Yes,No,Honda Odyssey,1997.0,,,"{'latitude': '40.551208', 'longitude': '-74.150337'}-0.0"
B02111,No,New York City,QUEENS   ,6.0,Not Reported,3.0,No,No,Toyota Camry,2005.0,,(HUANG HOU CAR SERVICES),"{'latitude': '40.763587', 'longitude': '-73.831238'}-1.0"
b02772,No,New York City,QUEENS   ,26.0,Not Reported,3.0,Yes,No,Cadillac Escalade,2014.0,,,"{'latitude': '40.701122', 'longitude': '-73.83138'}-0.0"
B00095,No,New York City,QUEENS   ,5.0,Not Reported,3.0,No,Yes,Toyota Camry,1997.0,,,"{'latitude': '40.70305', 'longitude': '-73.907668'}-0.0"
B01195,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,Yes,Ford Crown Victoria,1999.0,,,"{'latitude': '40.629636', 'longitude': '-74.028811'}-0.0"
B01 051,No,New York City,BRONX    ,5.0,Not Reported,5.0,Yes,No,Honda Accord,1999.0,,,"{'latitude': '40.819497', 'longitude': '-73.88907'}-2.0"
B02705,No,New York City,,0.0,Not Reported,,No,No,BMW 7-Series,2013.0,,,"{'latitude': '40.897082', 'longitude': '-74.09972'}-0.0"
B02429,No,New York City,BROOKLYN ,57.0,Not Reported,2.0,No,No,Toyota Sienna,2010.0,,,"{'latitude': '40.59092', 'longitude': '-73.961'}-0.0"
B02652,No,Manhattan & Queens,QUEENS   ,2.0,Not Reported,3.0,No,No,Chrysler 300,2013.0,{'url': 'http://patroncarandlimo.com'},,"{'latitude': '40.740154', 'longitude': '-73.8646'}-0.0"
B00196,No,New York City,MANHATTAN,2.0,Not Reported,4.0,Yes,Yes,Toyota Camry,1997.0,,,"{'latitude': '40.797323', 'longitude': '-73.9393'}-0.0"
B01923,Yes,New York City,,0.0,Not Reported,,No,No,Cadillac XTS,1985.0,{'url': 'http://WWW.DIVALIMO.COM'},,"{'latitude': '40.647572', 'longitude': '-74.192462'}-0.0"
B02541,No,New York City,QUEENS   ,0.0,Not Reported,3.0,Yes,No,Chevrolet Tahoe,2012.0,,,"{'latitude': '40.74272', 'longitude': '-73.92612'}-0.0"
B02777,No,New York City,QUEENS   ,6.0,Not Reported,3.0,No,No,Ford Crown Victoria,2014.0,,,"{'latitude': '40.771734', 'longitude': '-73.926731'}-0.0"
B02475,No,New York City,BROOKLYN ,10.0,Not Reported,2.0,No,No,Toyota Camry,2011.0,,,"{'latitude': '40.732487', 'longitude': '-73.95427'}-0.0"
B02050,No,New York City,QUEENS   ,15.0,Not Reported,3.0,No,No,Toyota Camry,2003.0,,,"{'latitude': '40.688403', 'longitude': '-73.819306'}-0.0"
B01236,Yes,New York City,QUEENS   ,5.0,Not Reported,3.0,No,No,Cadillac Escalade,1981.0,{'url': 'http://www.blslimo.com'},,"{'latitude': '40.779966', 'longitude': '-73.898038'}-0.0"
B02533,No,New York City,QUEENS   ,8.0,Not Reported,3.0,No,Yes,Honda Pilot Touring 4WD,2012.0,,,"{'latitude': '40.746697', 'longitude': '-73.926818'}-0.0"
B02249,No,New York City,QUEENS   ,2.0,Not Reported,3.0,No,No,Toyota Camry,2008.0,,,"{'latitude': '40.759225', 'longitude': '-73.887802'}-0.0"
B02147,No,New York City,MANHATTAN,0.0,Not Reported,4.0,No,Yes,Cadillac Escalade,2006.0,,,"{'latitude': '40.746496', 'longitude': '-73.98547'}-0.0"
B01741,No,New York City,BROOKLYN ,3.0,Not Reported,2.0,No,Yes,Toyota Camry,1997.0,,,"{'latitude': '40.675852', 'longitude': '-73.96356'}-0.0"
B00272,No,New York City,BROOKLYN ,3.0,Not Reported,2.0,No,No,Lincoln Town Car,1989.0,{'url': 'http://www.bigapplecar.com'},,"{'latitude': '40.604428', 'longitude': '-74.006622'}-0.0"
B02113,No,New York City,,0.0,Not Reported,,No,No,Cadillac Escalade,2005.0,,,"{'latitude': '40.823087', 'longitude': '-74.155516'}-0.0"
B02248,No,New York City,BROOKLYN ,92.0,Not Reported,2.0,No,No,Toyota Sienna,2008.0,,,"{'latitude': '40.678782', 'longitude': '-73.989979'}-0.0"
B02426,Yes,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Chevrolet Suburban,2010.0,{'url': 'http://us.tristarworldwide.com'},(TRISTAR WORLDWIDE CHAUFFEURED SERVICES),"{'latitude': '40.765597', 'longitude': '-73.83262'}-0.0"
