property_name,address_1,worship_facility_gross_floor,weather_normalized_site_eui,financial_office_gross_floor,performing_arts_gross_floor,alert_data_center_issue_with,office_percent_that_can_be,year_built,office_weekly_operating_hours,weather_normalized_site,electricity_use_generated_1,ambulatory_surgical_center,estimated_values_water,weather_normalized_source_1,last_modified_date_property,national_median_site_eui,annual_maximum_demand_meter,parent_property_name,energy_star_certification_2,residence_hall_dormitory,hotel_percent_that_can_be,fuel_oil_4_use_kbtu,estimated_data_flag_fuel,source_eui_kbtu_ft,generation_date,account_id,water_use_intensity_all_water,direct_ghg_emissions_metric,hospital_general_medical_5,difference_from_national_1,irrigated_area_ft,list_of_all_property_use,difference_from_national,multifamily_housing_resident,number_of_buildings,electricity_use_grid_purchase,estimated_data_flag_district,parking_gross_floor_area,borough,data_center_pdu_input_meter,multifamily_housing_number_3,alert_energy_meter_has_single,annual_maximum_demand_mm,diesel_2_use_kbtu,national_median_reference,source_energy_use_kbtu,weather_normalized_site_3,third_party_certification_2,address_2,national_median_source_energy,hospital_general_medical,source_energy_use_adjusted
1402 Broadway ENT,1410 Broadway,,53.0,,,Ok,89.65,1930,50.0,10.0,,,No,53713883.1,03/22/2018 03:55 PM EDT,92.8,,,Yes,,,6935730.0,,125.6,2018-03-23T00:00:00.000,10898,12.0,545.9,,-44.2,,"Office, Other - Restaurant/Bar",-44.2,,1,14669114.3,No,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,53536325.3,4246718.3,,,96007198.3,,53536325.3
12th Americas Company,86 West 12th Street,,92.4,,,Ok,,1959,,8.0,,,No,5981040.1,04/03/2018 02:52 PM EDT,73.8,,,No,,,,,150.5,2018-04-03T00:00:00.000,39980,57.13,122.3,,18.6,,Multifamily Housing,18.6,No specific resident population,1,1087460.3,,,MANHATTAN,,1.23845,Ok,,,Fannie Mae Industry Survey - Multifamily,5831801.1,311487.1,,,4918416.5,,5831801.1
ESRT - 250 West 57th Street,250 West 57th Street,,76.3,,,Ok,100.0,1921,45.26,13.8,,,No,84978368.7,03/15/2018 01:58 PM EDT,107.1,,,No,,,,No,175.0,2018-04-03T00:00:00.000,33409,12.07,910.9,,-31.7,,"Bank Branch, Office, Retail Store",-31.7,,1,22772515.4,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,83907090.9,6609663.4,,,122868753.8,,83907090.9
Building 2,99-52 66 Road,,,,,Ok,,1951,,,,,Unable to Check (not enough data),,02/23/2018 10:58 AM EST,59.6,,Howard,No,,,,,,2018-02-23T00:00:00.000,204335,,0.0,,,,"Multifamily Housing, Parking",,No specific resident population,1,,,5000.0,QUEENS,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,,,,,19189528.2,,
Olnick - ROC Fifth Avenue Associates LLC,130 Fifth Avenue,,63.8,,,Ok,100.0,1904,65.0,14.2,,,No,23516694.5,03/29/2018 12:27 PM EDT,89.1,,,No,,,1900043.6,,166.0,2018-03-29T00:00:00.000,41987,13.01,144.2,,-30.3,,"Office, Retail Store",-30.3,,1,6795007.4,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,23277606.3,1991502.5,,,33379086.6,,23277606.3
1525-1533 Townsend,1525-1533 Townsend Ave.,,112.4,,,Ok,,1927,,5.6,,,Unable to Check (not enough data),12895899.6,03/21/2018 11:59 AM EDT,86.9,,,No,,,,,150.6,2018-03-27T00:00:00.000,21058,,376.2,,21.6,,Multifamily Housing,21.6,No specific resident population,1,1547400.9,,,BRONX,,1.86181,Ok,,,Fannie Mae Industry Survey - Multifamily,12295260.8,457333.9,,,10109782.9,,12295260.8
Hotel Wales,1295 Madison Avenue,,213.5,,,Ok,,1910,,21.3,,,Unable to Check (not enough data),19942700.4,03/26/2018 12:07 PM EDT,191.1,,,No,,92.4,,No,367.7,2018-03-26T00:00:00.000,45345,,483.2,,8.3,,Hotel,8.3,,1,3946478.4,,,MANHATTAN,,,Ok,,,CBECS - Hotel & Motel/Inn,19687394.5,1143026.6,,,18172677.1,,19687394.5
Center for Automotive Education and Training,15-30 Petracca Place,,73.0,,,Ok,,2005,,11.1,,,No,14471586.1,01/22/2018 01:50 PM EST,63.8,,,No,,,,,152.3,2018-02-20T00:00:00.000,51144,19.74,149.7,,7.7,,Other - Education,7.7,,1,3554617.0,,,QUEENS,,,Ok,,,CBECS - Education,14120332.5,1032722.6,,,13112330.2,,
Bay Terrace Co Op 3,C/O B.L. Management,,93.3,,,Ok,,1950,,,,,No,5875147.2,03/08/2018 11:37 AM EST,121.8,,,No,,,,,89.3,2018-03-08T00:00:00.000,35108,,271.1,,-30.2,,Multifamily Housing,-30.2,,20,,,,,,3.5,Ok,,,Fannie Mae Industry Survey - Multifamily,5358969.5,,,2583 Francis Lewis Blvd,7675811.3,,
Pelham Management - 2197-99 Cruger Avenue,2197-99 Cruger Ave,,119.9,,,Ok,,1928,,4.3,,,No,11021439.3,04/03/2018 11:52 AM EDT,103.9,,,No,,,,,148.4,2018-04-03T00:00:00.000,505,129.67,364.5,,8.0,,Multifamily Housing,8.0,,1,1026954.1,,,BRONX,,1.7782,Ok,,,Fannie Mae Industry Survey - Multifamily,10429714.1,304515.0,,,9658691.5,,10429714.1
FRANGENE CO.,151 West 36th Street,,45.7,,,Ok,100.0,1909,50.0,8.1,,,No,5996438.9,03/29/2018 03:09 PM EDT,92.3,,,Yes,,,,No,104.6,2018-03-29T00:00:00.000,56298,9.44,67.3,,-52.2,,Office,-52.2,,1,1606132.2,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,5960284.3,463413.1,,,12468174.4,,5960284.3
Cross Bay Co-op Corp,153rd ave,,120.8,,,Ok,,1959,,6.6,,,No,20971505.7,02/24/2018 11:26 AM EST,75.9,,,No,,,,,168.7,2018-02-24T00:00:00.000,35108,68.52,594.3,,52.1,,Multifamily Housing,52.1,,1,2741415.8,,,,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,20357284.4,793803.0,,,13384261.0,,20357284.4
LEXINGTON PARC CONDOMINIUM,127 EAST 30TH STREET,,60.2,,,Ok,,1989,,2.6,,,No,5990134.8,02/22/2018 02:36 PM EST,101.2,,,Yes,,,3793518.4,,79.9,2018-02-23T00:00:00.000,84058,62.38,288.6,,-40.5,,Multifamily Housing,-40.5,No specific resident population,1,668752.0,,,MANHATTAN,,1.64,Ok,,,Fannie Mae Industry Survey - Multifamily,5990134.8,196000.0,,,10063618.9,,5990134.8
Sanford Apartment Corp.,144-44 SANFORD AVE,,141.5,,,Ok,,1928,,0.9,,,No,8429221.6,03/22/2018 10:03 AM EDT,106.0,233643204800011 (39865003),,No,,,,,143.1,2018-03-22T00:00:00.000,152927,71.29,369.5,,23.1,,Multifamily Housing,23.1,No specific resident population,1,157347.8,,,QUEENS,,1.39473,Ok,2017-11-01T00:00:00.000,,Fannie Mae Industry Survey - Multifamily,7799135.6,46452.9,,,6334331.7,,7799135.6
Waterside - 10-40 Waterside Plaza,10-40 Waterside Plaza,,59.6,,,Ok,100.0,1974,65.0,11.9,,,No,249830206.4,03/19/2018 11:08 AM EDT,54.6,,,No,,,,,140.2,2018-03-19T00:00:00.000,41987,,1664.3,,4.4,,"Multifamily Housing, Office, Parking, Retail Store",4.4,No specific resident population,8,65207260.8,,294656.0,MANHATTAN,,1.2244,Ok,,,Fannie Mae Industry Survey - Multifamily,237652166.5,20160816.7,,,227655714.6,,237652166.5
415 88th st,423 88th St,,,,,Ok,,1922,,,,,Unable to Check (not enough data),,03/20/2018 11:49 AM EDT,47.1,,C21 BK Home LLC Campus,No,,,,,,2018-03-20T00:00:00.000,212467,,0.0,,,,"Parking, Retail Store",,,1,,,0.0,BROOKLYN,,,Unable to Check (not enough data),,,CBECS - Retail Store,,,,,286099.2,,
Covenant House - 538 10th Avenue,538 10th Avenue,,,,,Ok,100.0,1962,65.0,,,,No,,,67.3,,,No,,,,No,,2018-03-27T00:00:00.000,46448,,,,,,Office,,,1,,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,,,,,16285531.9,,
81-05 Tenants LTD,8105 35th Ave,,,,,Ok,,1940,,1.0,,,No,,02/28/2018 11:50 AM EST,127.2,,,No,,,,,93.4,2018-03-08T00:00:00.000,35108,60.53,552.5,,-33.1,,Multifamily Housing,-33.1,,1,318668.8,,,QUEENS,,1.4,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,8408013.0,93396.5,,,12575913.0,,8408013.0
Weiss Realty - 2446 University Avenue,2446 University Avenue,,77.9,,,Ok,,1928,,,,,No,4611172.3,04/04/2018 09:24 AM EDT,122.0,,,No,,,,,76.4,2018-04-04T00:00:00.000,37675,89.66,218.0,,-40.3,,Multifamily Housing,-40.3,,1,,,,BRONX,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,4309152.3,,,,7220514.2,,4309152.3
Olnick - Fifth Lenox Terrace,470 Lenox Avenue,,96.1,,,Ok,,1958,,4.5,,,No,36344728.1,03/29/2018 11:34 AM EDT,104.4,,,No,,,19763437.1,,123.2,2018-03-29T00:00:00.000,41987,38.17,1536.1,,-14.5,,Multifamily Housing,-14.5,No specific resident population,1,4336110.1,,,MANHATTAN,,2.04025,Ok,,,Fannie Mae Industry Survey - Multifamily,34527463.6,1250194.6,,,40401825.9,,34527463.6
L&L_150 5th Avenue,150 5th Avenue,,67.3,,,Ok,100.0,1886,52.6,16.4,,,No,38834875.2,03/08/2018 05:30 PM EST,110.5,,,No,,,,No,187.0,2018-04-03T00:00:00.000,19173,,175.3,,-39.1,,"Office, Retail Store",-39.1,,1,11607483.0,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,38834653.8,3401958.3,,,63800886.9,,38834653.8
35CPN,35 Central Park North,,99.9,,,Ok,,1984,,4.2,,,No,7916857.2,03/05/2018 03:34 PM EST,91.9,,,No,,,4552382.2,,126.3,2018-03-05T00:00:00.000,210423,56.83,353.4,,2.2,,Multifamily Housing,2.2,No specific resident population,1,881470.0,,,MANHATTAN,,1.16667,Ok,,,Fannie Mae Industry Survey - Multifamily,7576015.2,254859.4,,,7414407.1,,7576015.2
ESRT - 111 West 33rd Street,111 West 33rd Street,,56.1,,,Ok,100.0,1954,40.84,9.6,,,No,87560402.9,02/14/2018 09:12 AM EST,96.1,,,No,,,,,129.5,2018-03-05T00:00:00.000,33409,15.68,0.0,,-42.6,,"Office, Retail Store",-42.6,,1,21854161.7,No,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,86795083.4,6405087.6,,,151260401.3,,86795083.4
Silvercup North,295 Locust Avenue,,97.6,,,Ok,,2015,,16.8,,,Unable to Check (not enough data),25752740.6,03/20/2018 11:04 AM EDT,52.3,,,No,,,,,216.8,2018-03-20T00:00:00.000,115010,,212.9,,76.1,,Other,76.1,,1,6649382.2,,,BRONX,,,Ok,,,CBECS - Other,25088537.7,1948822.2,,,14247566.4,,
140-25 Ash Avenue,140-25 Ash Avenue,,,,,Ok,,1928,,,,,Unable to Check (not enough data),,02/20/2018 11:50 AM EST,59.6,,,No,,,,,,2018-02-20T00:00:00.000,211534,,0.0,,,0.0,Multifamily Housing,,No specific resident population,1,,,,QUEENS,,1.47721,Ok,,,Fannie Mae Industry Survey - Multifamily,,,,,3637311.1,,
Schwartz-Lot 01,1250 First Ave,,,,,Ok,100.0,1940,65.0,,,,No,,03/12/2018 09:26 AM EDT,78.8,,Main Campus - Super Block,No,,,,,,2018-03-12T00:00:00.000,64300,,0.0,,,,"Medical Office, Office, Other",,,1,,,,MANHATTAN,,,Unable to Check (not enough data),,,CBECS - Other,,,,,24367623.1,,
8BS,85 Broad Street,,,,,Ok,100.0,1983,65.0,12.6,,,No,,03/14/2018 04:08 PM EDT,91.7,,,No,,,,,144.4,2018-03-14T00:00:00.000,207969,19.59,0.0,,-44.8,,"Office, Restaurant",-44.8,,1,50811504.9,No,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,170333395.3,14891998.5,,,308351967.8,,170333395.3
Alumni Hall,210 west 27th STREET,,78.2,,,Ok,,1980,,9.2,,,No,20157164.7,03/22/2018 01:58 PM EDT,83.6,Electricity 490118860400008 (4045016),,No,130096.0,,,,153.0,2018-03-22T00:00:00.000,8679,65.32,0.0,,-9.3,,Residence Hall/Dormitory,-9.3,,1,4148991.7,No,,MANHATTAN,,,Ok,2017-05-01T00:00:00.000,,CBECS - Dormitory,19908339.1,1197417.5,,,21938982.0,,19908339.1
456 West 19th Street,456 West 19 Street,,114.8,,,Ok,,2008,,12.0,,,No,11735258.0,03/26/2018 11:57 AM EDT,65.1,,,No,,,,,201.5,2018-04-03T00:00:00.000,64448,21.71,204.0,,67.5,,Multifamily Housing,67.5,No specific resident population,1,2365172.0,,,MANHATTAN,,1.0493,Ok,,,Fannie Mae Industry Survey - Multifamily,11460200.9,684480.5,,,6841146.4,,11460200.9
Hotel Plaza Athenee,37 East 64th Street,,54.6,,,Ok,,1927,,13.5,,,No,26097282.7,03/05/2018 09:52 AM EST,75.9,,,Yes,,100.0,,,154.5,2018-03-07T00:00:00.000,139670,,77.3,,-27.7,,Hotel,-27.7,,1,7878947.5,,,MANHATTAN,,,Ok,,,CBECS - Hotel & Motel/Inn,26268721.4,2293185.3,,,36317516.6,,26268721.4
Waterman- 400 Park Avenue,400 Park Avenue,,71.5,72740.0,,Ok,100.0,1957,48.33,17.1,,,No,38227505.5,03/16/2018 01:44 PM EDT,97.8,,,No,,,,,198.5,2018-04-03T00:00:00.000,19173,,0.0,,-27.9,,"Fast Food Restaurant, Financial Office, Office",-27.9,,1,11296290.5,No,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,38176023.6,3280680.6,,,52976813.2,,38176023.6
Olnick - 200 East 87th Street,200 East 87th Street,,108.0,,,Ok,,1991,,12.8,,,No,47177104.2,03/29/2018 12:15 PM EDT,69.3,,,No,,,14742787.9,,204.0,2018-03-29T00:00:00.000,41987,37.95,1122.3,,56.6,,Multifamily Housing,56.6,No specific resident population,1,10321736.9,,,MANHATTAN,,1.5015,Ok,,,Fannie Mae Industry Survey - Multifamily,47545138.6,2990554.5,,,30367553.4,,47545138.6
Tillamock NV Inc: 267 5th Ave,267 Fifth Avenue,,,,,Ok,100.0,1916,65.0,,,,Unable to Check (not enough data),,08/26/2018 02:03 PM EDT,52.9,,,No,,,,No,,2018-10-17T00:00:00.000,4645,,,,,,Office,,,1,,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,,,,,6446334.6,,
600 W 239 Street - 40218,600 W 239 Street,,85.9,,,Ok,,1956,,3.7,,,No,12654829.8,03/22/2018 10:58 AM EDT,89.6,,,No,,,,,110.1,2018-03-22T00:00:00.000,31047,,386.9,,-11.0,,Multifamily Housing,-11.0,No specific resident population,1,1369058.8,,,BRONX,,1.28974,Ok,,,Fannie Mae Industry Survey - Multifamily,11947201.8,401248.1,,,13426136.5,,11947201.8
Violet Towers Inc,621 w 188th Street,,91.8,,,Ok,,1900,,0.8,,,Yes,5334512.5,03/27/2018 04:13 PM EDT,102.9,,,No,,,,,93.8,2018-03-30T00:00:00.000,68460,90.43,224.8,,-18.5,,Multifamily Housing,-18.5,,1,144151.5,,,MANHATTAN,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,4897296.7,42248.4,,,6009295.4,,4897296.7
N3,1594 Unionport Road,,60.4,,,Ok,,1940,,4.1,,,Unable to Check (not enough data),22864760.3,03/23/2018 11:09 AM EDT,79.3,,,Yes,,,,,93.5,2018-03-28T00:00:00.000,11439,,47.9,,-29.5,,Multifamily Housing,-29.5,No specific resident population,1,3209416.2,No,,BRONX,,1.56478,Ok,,,Fannie Mae Industry Survey - Multifamily,21581006.9,944163.6,,,30628510.6,,21581006.9
Bronx Center for Rehab,1010 Underhill Avenue,,,,,Ok,,1950,,,,,No,,03/16/2018 03:23 PM EDT,360.3,,,No,,,,,382.1,2018-03-19T00:00:00.000,58761,135.95,204.9,0.6904,-55.2,,Hospital (General Medical & Surgical),-55.2,,1,6571546.6,,,BRONX,,,Possible Issue,,,CBECS - Inpatient Healthcare,24685278.8,,,,55089308.6,167.96,24685278.8
GP Associates,1470 First Avenue,,69.5,,,Ok,,1976,,1.6,,,No,7221746.4,04/03/2018 03:41 PM EDT,90.6,,,Yes,,,,,85.6,2018-04-03T00:00:00.000,139090,65.76,85.1,,-27.7,,"Multifamily Housing, Restaurant",-27.7,No specific resident population,1,407987.2,No,,MANHATTAN,,1.14219,Ok,,,Fannie Mae Industry Survey - Multifamily,6807406.4,124074.3,,,9416217.7,,6940736.3
1512-1514 Townsend,1512 Townsend AVE,,101.1,,,Ok,,1926,,5.7,,,No,12429524.7,03/21/2018 11:59 AM EDT,96.8,,,No,,,,,139.2,2018-03-27T00:00:00.000,21058,65.19,336.8,,-2.8,,Multifamily Housing,-2.8,No specific resident population,1,1639797.5,,,BRONX,,1.96932,Ok,,,Fannie Mae Industry Survey - Multifamily,11806187.8,480496.6,,,12140127.5,,11806187.8
Cord Meyer Devlopment,Bay Terrrace 1,,,,,Ok,,1950,,25.4,,,No,,02/24/2018 01:39 PM EST,89.9,,,No,,,,,691.4,2018-02-24T00:00:00.000,35108,,1060.0,,440.4,,Multifamily Housing,440.4,No specific resident population,11,4335479.0,,,,,0.0,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,34567741.1,1270656.1,,13-04 Bell Blvd,6396509.4,,
134,134 Ocean Parkway,,,,,Ok,,1931,,,,,No,,03/03/2018 10:00 AM EST,131.1,,,No,,,,,29.8,2018-03-03T00:00:00.000,60900,0.83,52.7,,-78.4,,Multifamily Housing,-78.4,No specific resident population,0,,,,BROOKLYN,,1.6,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,1041599.9,,,,4816671.3,,1041599.9
1072 Woodycrest,1072 Woodycrest Ave,,,,,Ok,,1928,,,,,No,,03/07/2018 06:12 PM EST,87.6,,,No,,,,,164.0,2018-03-07T00:00:00.000,58761,,256.3,,39.3,,Multifamily Housing,39.3,,1,789558.5,,,BRONX,,1.4,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,7545161.6,,,,5414580.4,,7545161.6
Moinian- 90 John Street,90 John Street,,67.5,,,Ok,100.0,1912,37.63,7.5,,,No,53998956.8,03/16/2018 01:45 PM EDT,84.8,,,Yes,,,,,126.8,2018-04-03T00:00:00.000,19173,,0.0,,-25.4,,"Food Service, Multifamily Housing, Office, Other - Recreation, Parking",-25.4,No specific resident population,1,10789877.4,No,20000.0,MANHATTAN,,1.35526,Ok,,,Fannie Mae Industry Survey - Multifamily,52287392.6,3103422.9,,,70127274.8,,52291471.0
ZARA - 87-84 165 Street,87-84 165 Street,,,,,Ok,,1937,,,,,No,,,59.6,,,No,,,,No,,2018-04-12T00:00:00.000,46448,,,,,,Multifamily Housing,,No specific resident population,1,,,,QUEENS,,1.1098,Ok,,,Fannie Mae Industry Survey - Multifamily,,,,,7608008.3,,
Lycee Francais LL84,505 E. 75th St,,61.1,,,Ok,,2002,,10.6,81.0,,Unable to Check (not enough data),25287481.2,03/06/2018 03:36 PM EST,74.6,,,No,,,,,136.4,2018-03-08T00:00:00.000,115010,,210.1,,-22.3,,K-12 School,-22.3,,1,6543278.0,,,MANHATTAN,,,Ok,,,CBECS - Elementary/Middle & High School,24698871.8,1917724.9,,,31769598.2,,24698871.8
103 Building,103 Thayer Street,,117.1,,,Ok,100.0,1925,65.0,4.7,,,Unable to Check (not enough data),9149353.3,03/26/2018 11:59 AM EDT,94.5,,,No,,,,,153.4,2018-03-27T00:00:00.000,11805,,300.5,,19.9,,"Multifamily Housing, Office, Other - Restaurant/Bar",19.9,No specific resident population,1,960204.7,,,MANHATTAN,,2.16777,Ok,,,Fannie Mae Industry Survey - Multifamily,8956261.3,275689.3,,,7471123.0,,
Chapin Home for the Aging,165-01 Chapin Parkway,,,,,Ok,,1960,,,,,No,,,125.7,,,No,,,,No,,2018-03-27T00:00:00.000,46448,,,,,,Senior Care Community,,,1,,,,QUEENS,,,Ok,,,CBECS - Nursing,,,,,23985181.0,,
AMDA - Stratford Arms Hotel,117 West 70th St,,126.6,,,Ok,,1928,,11.0,,,No,15612988.4,03/12/2018 10:09 AM EDT,117.4,,,No,75000.0,,,No,205.3,2018-03-12T00:00:00.000,115010,107.85,452.3,,4.5,,Residence Hall/Dormitory,4.5,,1,2849914.2,,,MANHATTAN,,,Ok,,,CBECS - Dormitory,15395788.7,823458.1,,,14735313.6,,15395788.7
Holliswood,195-44 Woodhull Avenue,,,,,Ok,,1950,,,,,Unable to Check (not enough data),,,654.1,,,No,,,,No,212.1,2018-03-20T00:00:00.000,58761,,639.4,0.69048,-77.6,,Hospital (General Medical & Surgical),-77.6,,1,2263327.3,,,QUEENS,,,Possible Issue,,,CBECS - Inpatient Healthcare,16033900.9,,,,71590558.7,196.56,16033900.9
NH Forest Hills,102-01 66th Road,,329.7,,,Ok,,1951,,37.0,,,No,116400301.7,03/25/2018 06:57 PM EDT,346.2,,,No,,,,No,614.1,2018-03-25T00:00:00.000,47907,0.0,2082.3,1.63407,-4.3,,Hospital (General Medical & Surgical),-4.3,,1,24354114.1,,,QUEENS,,,Ok,,,CBECS - Inpatient Healthcare,117258339.9,7057693.6,,,122572971.0,1147.0,117258339.9
21 Bennett,21 Bennett Av.,,93.1,,,Ok,,1920,,3.4,,,No,4721023.3,03/04/2018 11:32 AM EST,117.8,,,Yes,,,,,116.4,2018-03-07T00:00:00.000,28589,,156.3,,-25.5,,Multifamily Housing,-25.5,No specific resident population,1,449714.1,,,MANHATTAN,,2.53426,Ok,,,Fannie Mae Industry Survey - Multifamily,4502115.6,132116.6,,,6045946.5,,4502115.6
3472 Knox Place,3472 Knox Place,,93.2,,,Ok,,1931,,3.9,,,No,6776589.7,04/03/2018 01:28 PM EDT,94.3,,,No,,,,,119.8,2018-04-03T00:00:00.000,71427,135.2,216.1,,-6.4,,Multifamily Housing,-6.4,No specific resident population,1,698850.3,,,BRONX,,1.12963,Ok,,,Fannie Mae Industry Survey - Multifamily,6466997.5,209406.6,,,6908230.2,,
Simone Development 1390 Spofford,1390 Spofford Avenue,,43.2,,,Ok,,1961,,3.9,,,No,5220212.9,03/26/2018 11:59 AM EDT,34.1,,,No,,,,,69.6,2018-04-04T00:00:00.000,121431,1.76,98.7,,16.1,,Non-Refrigerated Warehouse,16.1,,1,955478.3,,,BRONX,,,Ok,,,CBECS - Unrefrigerated Warehouse & Distribution Center,4950615.7,280034.6,,,4264605.1,,
Ramaz School - 114 E 85 St,114 East 85th Street,,,,,Ok,,1998,,,,,Unable to Check (not enough data),,03/29/2018 05:35 PM EDT,58.2,,,No,,,,,,2018-04-02T00:00:00.000,46448,,0.0,,,,K-12 School,,,1,,,,MANHATTAN,,,Unable to Check (not enough data),,,CBECS - Elementary/Middle & High School,,,,,8757630.7,,
Fort Tryon Center,801 West 190th Street,,,,,Ok,,1950,,,,,No,,03/19/2018 10:46 PM EDT,352.3,,,No,,,,,284.5,2018-03-19T00:00:00.000,58761,110.1,165.3,0.69054,-65.7,,Hospital (General Medical & Surgical),-65.7,,1,5191152.6,,,MANHATTAN,,,Possible Issue,,,CBECS - Inpatient Healthcare,19568455.5,,,,57108187.4,178.85,19568455.5
Bay Terrace 3-3,212-19 16th Ave.,,52.6,,,Ok,,1950,,11.5,,,No,8350441.6,03/08/2018 11:29 AM EST,42.2,,,No,,,,,137.3,2018-03-08T00:00:00.000,35108,,42.9,,24.6,,Multifamily Housing,24.6,,4,2389207.9,,,QUEENS,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,8350441.6,700236.7,,,6700905.5,,8350441.6
43rd Ave Enterprises Corp.,4310 21st Street,,,,,Ok,,1931,,,,,No,,02/21/2018 12:49 PM EST,,,,No,,,,,49.4,2018-02-21T00:00:00.000,212736,455.25,17.3,,,,Manufacturing/Industrial Plant,,,1,528177.4,,,QUEENS,,,Possible Issue,,,,2001197.2,,,,,,
535 West 51st Street - 38173,535 West 51st Street,,23.5,,,Ok,,1981,,5.2,,,No,17100815.3,03/26/2018 10:59 AM EDT,47.8,,,Yes,,,,,61.8,2018-03-26T00:00:00.000,31047,69.47,84.6,,-50.8,,Multifamily Housing,-50.8,No specific resident population,2,4913529.8,,,MANHATTAN,,1.35544,Ok,,,Fannie Mae Industry Survey - Multifamily,17100815.3,1440073.0,,,34773437.2,,17100815.3
The Abbey Condominium,205 East 16th St.,,22063.4,,,Ok,,1888,,6.1,,,Unable to Check (not enough data),1595016617.0,03/20/2018 11:22 AM EDT,106.2,,,No,,,,,23863.4,2018-03-20T00:00:00.000,59858,,1.5,,18553.4,,"Medical Office, Multifamily Housing",18553.4,No specific resident population,1,1293845.7,No,,MANHATTAN,,1.03807,Ok,,,Fannie Mae Industry Survey - Multifamily,1431802116.0,367918.0,,,7675811.3,,
1864 corp.,1864 85 st.,,,,,Ok,,1930,,4.4,,,No,,03/19/2018 11:44 AM EDT,88.3,,,No,,,,No,113.6,2018-03-19T00:00:00.000,28589,79.21,252.2,,-11.2,,Multifamily Housing,-11.2,No specific resident population,1,1087776.7,,,BROOKLYN,,1.23611,Ok,,,Fannie Mae Industry Survey - Multifamily,8180493.7,315546.2,,,9217389.0,,8180493.7
Metro Park 2295 Andrews Ave,2295 Andrews Ave,,,,,Ok,,1922,,3.7,,,Unable to Check (not enough data),,03/15/2018 12:15 PM EDT,78.3,,,No,,,,No,99.3,2018-03-29T00:00:00.000,11575,,177.2,,-8.5,,Multifamily Housing,-8.5,,1,517573.2,,,BRONX,,1.24066,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,4083149.6,153180.1,,,4461568.6,,4083149.6
17197 - 119 West 57th Street,119 West 57th Street,,80.9,,,Ok,100.0,1926,55.0,13.6,,,No,21271566.3,03/16/2018 01:45 PM EDT,96.1,,,No,,,,,183.6,2018-04-03T00:00:00.000,19173,,0.0,,-20.0,,"Office, Retail Store",-20.0,,1,5346310.6,No,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,20881262.6,1544905.2,,,26089793.0,,20881262.6
"Remsen Realty Associates, LLc",909 Remsen Ave,,61.5,,,Ok,,1940,,13.9,,,No,14715280.7,04/04/2018 03:05 PM EDT,28.3,,,No,,,,,162.0,2018-04-04T00:00:00.000,77927,3.26,60.7,,112.5,,Non-Refrigerated Warehouse,112.5,,1,4261633.8,,,BROOKLYN,,,Ok,,,CBECS - Unrefrigerated Warehouse & Distribution Center,14581844.6,1249013.3,,,6861159.8,,14581844.6
Justin - 153 West 27,153 West 27th St,,,,,Ok,,1912,,,,,No,,,59.6,,,No,,,,No,,2018-04-02T00:00:00.000,46448,,,,,,Multifamily Housing,,No specific resident population,1,,,,MANHATTAN,,0.72461,Ok,,,Fannie Mae Industry Survey - Multifamily,,,,,14830307.1,,
141 W 28th Street - 29323,141 W 28th Street,,143.1,,,Ok,100.0,1913,70.0,10.3,,,No,12274245.7,03/26/2018 11:03 AM EDT,149.8,,,No,,,6051992.0,,220.3,2018-04-03T00:00:00.000,31047,,455.7,,-4.2,,Office,-4.2,,1,1982198.0,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,12338481.4,574927.7,,,12876524.2,,12338481.4
 West 3,40 West 37th Street,,62.0,,,Ok,100.0,1925,44.32,8.3,,,No,6725253.0,03/16/2018 05:08 PM EDT,108.1,,,No,,,,No,119.1,2018-03-22T00:00:00.000,68616,6.92,122.5,,-46.0,,"Office, Retail Store",-46.0,,1,1546295.6,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,6523588.0,453193.3,,,12072507.0,,6523588.0
