bk_cypress_hills_city_line,bx_woodlawn_wakefield,qn_ft_totten_bay_terrace,bx_fordham_south,bx_longwood,bk_west_brighton,qn_woodhaven,qn_queensbridge_ravenswood,bk_north_side_south_side,bk_ocean_parkway_south,borough,bx_rikers_island,bk_rugby_remsen_village,qn_glen_oaks_floral_park,bx_allerton_pelham_gardens,bx_mott_haven_port_morris,bk_prospect_heights,si_port_richmond,bx_co_op_city,mn_lenox_hill_roosevelt_island,bx_van_nest_morris_park,bx_belmont,bx_williamsbridge_olinville,bk_fort_greene,mn_central_harlem_north_polo,bk_sunset_park_east,qn_north_corona,qn_astoria,qn_elmhurst,qn_elmhurst_maspeth,bk_bay_ridge,si_todt_hill_emerson_hill,mn_clinton,qn_baisley_park,organization_city_agency,qn_st_albans,bk_east_williamsburg,qn_ozone_park,qn_richmond_hill,bk_east_flatbush_farragut,bx_east_tremont,qn_douglas_manor_douglaston,mn_midtown_midtown_south,bx_spuyten_duyvil_kingsbridge,bk_east_new_york,mn_battery_park_city_lower,mn_hamilton_heights
,,,,,,,,,,BROOKLYN,,,,,,Prospect Heights,Port Richmond,,Lenox Hill-Roosevelt Island,,,,Fort Greene,,,,,,,,,Clinton,,Brooklyn Bridge Park Conservancy,,East Williamsburg,,,,,,Midtown-Midtown South,,,,
,,,,,,,,,,BRONX,,,,,,,,,,,,,,,,,,,,,,,,AmPark NORC Supportive Senior Services Program,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,Encore Community Services,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,Mott Haven-Port Morris,,,,,,,,,,,,,,,,,,,YMCA of Greater New York,,,,,,,,,,,Battery Park City-Lower Manhattan,
,,,,,,Woodhaven,,,,QUEENS,,,,,,,,,,,,,,,,,,,,,,,,La Jornada,,,Ozone Park,Richmond Hill,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,NYC Health + Hospitals - Bellevue,,,,,,,,,,,,Hamilton Heights
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,Project HAPPY at Hunter College,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,Central Harlem North-Polo Grounds,,,,,,,,,,Habitat for Humanity New York City,,,,,,,,,,,,Hamilton Heights
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,BROOKLYN,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,Word - Tilden Neighborhood Senior Center,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,,,,,,,,"Neighborhood Housing Services of Jamaica, Inc.",,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,Co-op City,,,,,,,,,,,,,,,,Mayor's Office of Special Projects and Community Events,,,,,,East Tremont,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,Bay Ridge,,,,Greenwich House JCW Senior Center,,,,,,,,Midtown-Midtown South,,,,
,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,"Rainbow Heights Club, a project of Heights Hill Mental Health Service SBPC Community Advisory Board, Inc.",St. Albans,,Ozone Park,Richmond Hill,,,,,,,,
,,,,,,,,,,,,,,,Mott Haven-Port Morris,,,,,,,,,,,,,,,,,,,American Alliance for Theatre & Education,,,,,,,,,,East New York,,
Cypress Hills-City Line,,,,,,,,,,BROOKLYN,,,,,Mott Haven-Port Morris,Prospect Heights,,,,,,,,,Sunset Park East,,,,,,,,,Long Island University,,,,,East Flatbush-Farragut,,,,,,,
,,,,,,,,,,STATEN IS,,,,,,,,,,,,,,,,,,,,,,,,"Modest Community Services Association, Inc.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinton,,Pathhseo,,,,,,,,,,,Battery Park City-Lower Manhattan,
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,MANHATTAN,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,Raised By Us,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,New York Presbyterian - Morgan Stanley Children's Hospital,,,,,,,,,,,,
,,,,,,Woodhaven,Queensbridge-Ravenswood-Long Island City,,,MANHATTAN,,,,,,,,,,,,,,,,,Astoria,Elmhurst,Elmhurst-Maspeth,,,,,Bellevue Day Care Center,,,Ozone Park,Richmond Hill,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,Central Harlem North-Polo Grounds,,,,,,,,,,Stein Senior Center,,,,,,,,,,,,
,,,,,,,Queensbridge-Ravenswood-Long Island City,,,MANHATTAN,,,,,,,,,,,,,,,,North Corona,,,,,,,Baisley Park,Musicians On Call,St. Albans,,Ozone Park,Richmond Hill,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,"Literacy, Inc.",,,,,,,,,,,,
,,,,,,,,,,BRONX,,,,,,,,,,,,,,,,,,,,,,,,"CenterLight Health System, Inc.",,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,Retired and Senior Volunteer Program (RSVP) of the Community Service Society of New York,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,Greenwich House Center on the Square,,,,,,,,,,,,
,,,,,,,,,,QUEENS,,,,,,,Port Richmond,,,,,,,Central Harlem North-Polo Grounds,,,Astoria,,Elmhurst-Maspeth,Bay Ridge,,,,Queens Public Library,,,,,,,,,,East New York,,
,,,,,,,,,,,,,,Allerton-Pelham Gardens,,,,,,,,,,,,,,,,,,,,New York City Relief,,,,,,,,,,,Battery Park City-Lower Manhattan,
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,MANHATTAN,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,New York Cares,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,Williamsbridge-Olinville,,,,,Astoria,,,,,,,Public Design Commission,,,,,,,,,,,,Hamilton Heights
,,,,,,,,,,STATEN IS,,,,,,,,,,,,,,Central Harlem North-Polo Grounds,,,,,,,,,,Greenbelt Conservancy,,,,,,,,,,,,
,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,STATEN IS,Rikers Island,,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,,,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,,,Clinton,Baisley Park,Pride Center of Staten Island,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,East Harlem Tutorial Program,,,,,,,,,,,,
Cypress Hills-City Line,Woodlawn-Wakefield,,Fordham South,Longwood,West Brighton,,,North Side-South Side,Ocean Parkway South,BROOKLYN,Rikers Island,Rugby-Remsen Village,,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,,,,,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,,"National Youth Organization of Pakistan, Inc.",,East Williamsburg,,,East Flatbush-Farragut,East Tremont,,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,MANHATTAN,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,SCAN - Harbor,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,BRONX,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,Rebekah Rehab & Extended Care Center,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,Longwood,,,Queensbridge-Ravenswood-Long Island City,,,MANHATTAN,,,,Allerton-Pelham Gardens,,,,,,,Belmont,,,,,,Astoria,,,,,,,Little Essentials,,East Williamsburg,,,,,,Midtown-Midtown South,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,Lenox Hill Neighborhood House,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,New York Restoration Project,,,,,,,,,,,,
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,BRONX,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,College Goal New York,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,Mount Sinai Sexual Assault and Violence Intervention Program (SAVI),St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,Astoria,Elmhurst,Elmhurst-Maspeth,,,,,Administration for Children's Services,,,,,,,,,,,,
,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,"The Family Center, Inc.",,,,,,,,,,,,
,,Ft. Totten-Bay Terrace-Clearview,,,,Woodhaven,Queensbridge-Ravenswood-Long Island City,,,BROOKLYN,,,Glen Oaks-Floral Park-New Hyde Park,,,,,,,,,,,,,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,,,,Baisley Park,Bridge Street Development Corp,St. Albans,,Ozone Park,Richmond Hill,,,Douglas Manor-Douglaston-Little Neck,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,"Concrete Safaris, Inc.",,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,Lantern Community Services,,,,,,,,,,,,
,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,The Department of Education's New York City Mentoring Program,,,,,,,,,,,,
,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,MANHATTAN,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,Safe Horizon,St. Albans,,Ozone Park,Richmond Hill,,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,,Battery Park City-Lower Manhattan,Hamilton Heights
Cypress Hills-City Line,,Ft. Totten-Bay Terrace-Clearview,,,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,QUEENS,,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,,Prospect Heights,Port Richmond,,Lenox Hill-Roosevelt Island,,,,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,CCNS Seaside Senior Center,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,Queensbridge-Ravenswood-Long Island City,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,PEN America,,,,,,,,,,East New York,,
,,,,,,,,,,BRONX,,,,,,,,,,,,,Fort Greene,,,,,,,,,,,NYC Health + Hospitals - Jacobi,,,,,,,,,,,,
