organizationname,address1,phone,lesbian_gay_bisexual_and_or_transgender,youth_services,child_care_parent_information,immigration,employment_job_training,manhattan,disabilities,counseling_support_groups,education,veterans_military_families,outsidelocdesc,personal_finance_financial_education,longitude
"Ukrainian National Women's League of America, Inc.",203 Second Ave.,2125334545.0,N,N,N,Y,N,Y,N,N,N,N,,Y,
Project Inform,"205 13th Street, Suite 2001",8008227422.0,N,N,N,N,N,Y,N,N,N,N,,N,
Grand Street Settlement,80 Pitt Street,2126741740.0,Y,N,Y,Y,N,Y,N,Y,N,N,,N,-73.98245
Family Violence Hotline,120 W 57th St,7182371337.0,N,N,N,N,N,Y,N,Y,N,N,,N,-73.978095
"Reach Into Cultural Heights, Inc. (RICH)","90-04 161st Street, Suite 201",7185234099.0,N,N,N,N,Y,N,N,N,Y,N,,N,-73.799278
Jewish War Veterans-Department of New York,346 Broadway,2123496640.0,N,N,N,N,N,Y,N,N,N,Y,,N,-74.004163
Charles B. Wang Community Health Center,Women's Health Department,2129660228.0,N,N,N,N,N,Y,N,Y,N,N,,N,
Americans for UNFPA,370 Lexington Ave,6466499100.0,N,N,N,N,N,Y,N,N,N,N,"Seattle, WA",N,-73.976641
"Loisaida, Inc.",12 Avenue D,2123530272.0,N,Y,N,N,N,Y,N,N,N,N,,N,-73.978369
"New York City Office of the Public Advocate, Betsy Gotbaum",1 Centre Street,2126697250.0,Y,N,Y,N,N,Y,Y,Y,Y,Y,,N,-74.004181
International AIDS Prevention Initiative,"75 Varick Street, Suite 1404",2122262292.0,N,N,N,N,N,Y,N,N,Y,N,,N,-74.006227
Queens Borough Public Library (Central),89-11 Merrick Boulevard,7189900809.0,N,N,N,N,N,N,N,N,Y,N,,N,-73.795295
New York Academy of Medicine,"1216 Fifth Ave., 3rd Floor",2128227315.0,N,N,N,N,N,Y,N,N,Y,N,,N,-73.952174
New York State Coalition Against Domestic Violence,350 New Scotland Avenue,5184825465.0,N,N,N,N,N,Y,Y,N,Y,N,"Albany, Rochester ",Y,
New York Women's Agenda,"PO Box 8419, FDR Station",2129372411.0,Y,N,Y,N,Y,Y,Y,Y,Y,N,,N,
Girl Scout Council of Greater New York,43 West 23rd Street,2126454000.0,N,Y,N,N,N,Y,N,N,N,N,,Y,-73.991021
Safe Horizon,2 Lafayette,8006214673.0,N,N,N,N,N,Y,N,Y,N,N,,N,
"Sexuality Information & Education Council of the U.S., Inc.","130 West 42 St., Suite 350",2128199770.0,N,N,N,N,N,Y,N,N,Y,N,,N,
Goddard-Riverside Community Center,594 Columbus Avenue,2128736600.0,N,N,N,N,N,Y,N,N,Y,N,,N,-73.970904
"Women's Project & Productions, Inc.",55 West End Avenue,2127651706.0,N,N,N,N,Y,Y,N,N,Y,N,,N,-73.988681
New York Society for the Deaf,"315 Hudson St., 4th Floor",2123660049.0,N,N,N,N,N,Y,Y,N,N,N,,N,
Asian-Indian Women in America,"150-38 Union Turnpike, #11J",7185916511.0,N,N,N,Y,Y,N,N,N,N,N,,N,-73.811999
Disabled and Alone Life Services for the Handicapped,61 Broadway Suite 510,8009950066.0,N,N,N,N,N,Y,Y,N,N,N,,N,-74.012335
