phone_number,requirement5_1,requirement6_1,boro,seats9swd5,requirement5_3,academicopportunities4,requirement3_8,grade9swdapplicants7,admissionspriority46,applicants6specialized,program9,admissionspriority62,prgdesc2,borough,interest10,bbl,requirement3_3,admissionspriority61,seats9ge5,admissionspriority74,grade9swdapplicants4,seats9swd4,common_audition2,grade9swdapplicantsperseat2,admissionspriority12,seats9swd6,building_code,requirement2_5,seats9ge6,bin,code9,grade9swdapplicants6,admissionspriority44,specialized,requirement5_2,grade9gefilledflag9,admissionspriority24,prgdesc8,school_accessibility_description,grade9geapplicantsperseat4,requirement4_5,grade9swdfilledflag8,offer_rate6,requirement5_6,seats101,code2,admissionspriority64,program4,program10,seats9swd10,interest6,admissionspriority13,subway,neighborhood,psal_sports_boys,auditioninformation4,nta,grade9swdfilledflag4,grade9gefilledflag8,requirement5_4,grade9swdapplicants5,grade9geapplicants6,appperseat5specialized,program6,admissionspriority110,admissionspriority52
718-232-2500,,,K,7,,"AP Courses in: Eng. Lang., Eng. Lit., Gov't, Eco, Psychology, US History, World History, AB/BC Calculus, Statistics, Biology, Chem., Env. Sci, Physics",,N/A - zoned program,,,,,"Introduction to Legal Studies, Constitutional Law, Criminal Justice, Criminology, Public Speaking & Debate, Moot Court/Mock Trial, Legal Writing, and Senior Internship.",BROOKLYN ,,3062710001.0,,,33,,129,7,,17,Open to New York City residents,7,K445,"Course Grades: English (80-100), Math (80-100), Science (84-100), Social Studies (80-100)",33,3162711.0,,133,,,,,,,1.0,19,,,,,No,K28B,,Academy of Art & Design,,,Business,Open to New York City residents,D to 79th St,Bensonhurst West,"Badminton, Baseball, Basketball, Bowling, Football, Handball, Soccer, Swimming, Tennis, Volleyball, Wrestling",,Bensonhurst West                                                           ,Y,,,56,643,,Academy of Business and Technology,,
718-855-2412,,,K,8,,"Drama: Musical Theater, Play Production, Set Design, Creative Writing; We are a TDF Open Doors school and an Exploring the Arts Partner school.",,,,,,,"Intensive program which will develop the student's technique, creativity, and expression while teaching the musical literature of the classical and popular genres of western culture. Instrumental offerings include String Orchestra, Concert Band, Jazz Band, Guitar, and Digital Music, as well as Music Theory and Composition courses.",BROOKLYN ,,3001920013.0,,,37,,24,7,1.0,1,Priority to Brooklyn students or residents,,K655,,,3001190.0,,,,,,,Then to New York City residents,,1.0,6,,,,,Yes-5,K47K,,Vocal Music,,,,Priority to Brooklyn students or residents,"2, 3, 4, 5, B, D, N, Q, R to Atlantic Ave-Barclays Center; A to Hoyt & Schermerhorn; C to Lafayette Ave; G to Fulton St",DUMBO-Downtown Brooklyn,Basketball,Perform a song without accompaniment. Audition includes onsite music tasks (e.g. sing back melodic patterns and tap back rhythmic patterns).,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,N,,,17,,,,,
718-370-6950,,,R,,,"Day of Service: Students give back to the Staten Island and greater NYC area, performing community service in memory of Gaynor McCown.",,,,,,,,STATEN IS,,5024500320.0,,,,,,,,,,,R043,,,5149609.0,,,,,,,,,1.0,,,,,,Yes-5,,,,,,,,,Todt Hill-Heartland Village,"Baseball, Basketball, Cross Country, Fencing, Indoor Track, Soccer, Tennis, Wrestling",,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,,,,,,,,,
212-491-4107,Interview,,M,,,,,,,,,,"This Academy will prepare students for college studies and careers in Science, Technology, Engineering, Mathematics, and Medicine. Students will have access to elective courses such as Robotics, Aeronautics/Aviation, Anatomy & Physiology, and Forensic Science. Students are expected to take a minimum of two AP or CUNY College Now courses for which they are eligible and may include AP Calculus, AP Statistics, AP Biology, AP Chemistry, and AP Physics.",MANHATTAN,,1020160100.0,,,,,,,,3,Priority to continuing 8th graders,,M010,,,1060198.0,,,,,Interview,,,,1.0,,,,,,Yes-5,M75B,,,,,,,"3 to Harlem - 148 St; A, B, C, D to 145th St",Central Harlem North,"Baseball, Basketball, Fencing, Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",,Central Harlem North-Polo Grounds                                          ,,,,,,,,,
718-235-3592,,,K,,,"College Access for All, AP for ALL, Computer Science for ALL, Algebra for ALL, TEALS, College Now, City Tech STEP Program, JROTC, My Brothers Keeper",,,,,,,,BROOKLYN ,,3040940001.0,,,,,,,,,,,K420,,,3090738.0,,,,,,,,,1.0,,,,,,Yes-20,,,,,,,,"J, Z to 75th St-Elderts Lane",Cypress Hills,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Swimming, Volleyball, Wrestling",,park-cemetery-etc-Brooklyn                                                 ,,,,,,,,,
718-342-6249,,,K,,,"NYC Mission Society, Transfer School Common Core Institute (Eskolta and ReDesign)",,,,,,,,BROOKLYN ,,3036360007.0,,,,,,,,,,,K275,,,3082940.0,,,,,,,,,1.0,,,,,,Yes-10,,,,,,,,3 to Rockaway Ave; L to New Lots Ave,Brownsville,Basketball,,Brownsville                                                                ,,,,,,,,,
718-797-3702,,,K,,,"Community Partnerships: Brooklyn Navy Yard (CTE/STEAM), NY Cares (College Readiness, SAT Prep) Brooklyn Plaza Medical Center Inc. (Internship).",,,,,,,"A hands-on approach to understanding mass media; opportunities offered to develop career skills in video production, journalism, media arts, and technology, with internships in various media outlets.",BROOKLYN ,,3018880034.0,"Course Grades: English (67-100), Math (72-100)",,,,72,10,,8,"Priority to Districts 13, 14, 15 and 16 students or residents",,K914,,,3054323.0,,,,,,,Then to Brooklyn students or residents,,1.0,19,,,,,Yes-5,K71E,,Pre-Medicine,,,,"Priority to Districts 13, 14, 15 and 16 students or residents",,Clinton Hill,"Baseball, Basketball, Bowling, Cross Country, Fencing, Indoor Track, Soccer",,Clinton Hill                                                               ,Y,,,,,,,,
718-329-7380,,,X,,,"Advisory, Honors Classes, Regents Preparation, CUNY College Now, Pre-Teaching Academy, Conflict Resolution, Internships",,,,,,,,BRONX    ,,2032470070.0,,,,,,,,,,,X430,,,2015241.0,,,,,,,,,1.0,,,,,,Yes-10,,,,,,,,"4, B, D to Kingsbridge Rd",Van Cortlandt Village,"Baseball, Basketball, Bowling, Handball, Indoor Track, Outdoor Track, Soccer, Volleyball",,Van Cortlandt Village                                                      ,,,,,,,,,
212-694-6020,,,M,,,Credit Recovery electives,,,,,,,,MANHATTAN,,1019600001.0,,,,,,,,,,,M136,,,1059460.0,,,,,,,,,,,,,,,No,,,,,,,,"1 to 137th St-City College; 2, 3, B, C to 135th St; A, D to 125th St",Central Harlem North,"Baseball, Basketball, Volleyball",,Central Harlem North-Polo Grounds                                          ,,,,,,,,,
718-543-1023,,,X,,,"In grades 10, 11, and 12, student choice empowers students to pick major courses and electives from course bulletin with advisors like college.",,,,,,,,BRONX    ,,2032510201.0,,,,,,,,,,,X440,,,2095215.0,,,,,,,,,1.0,,,,,,Yes-10,,,,,,,,4 to Mosholu Parkway; D to Bedford Park Blvd,Van Cortlandt Village,"Baseball, Basketball, Bowling, Cross Country, Football, Gymnastics, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,Van Cortlandt Village                                                      ,,,,,,,,,
718-922-6289,,,K,,,"CUNY College Now, Forensic Science, Robotics",,,,,,,,BROOKLYN ,,3037880001.0,,,,,,,,,,,K435,,,3084440.0,,,,,,,,,,,,,,,Yes-10,,,,,,,,3 to Pennsylvania Ave; C to Van Siclen Ave; L to Livonia Ave,East New York,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",,East New York (Pennsylvania Ave)                                           ,,,,,,,,,
212-533-2560,,,M,,,"Internship course in year three with sites at law firms, museums, wildlife centers, hospitals, technology, & newspapers",,,,,,,,MANHATTAN,,1008720057.0,,,,,,,,,,,M460,,,1017828.0,,,,,,,,,1.0,,,,,,Yes-25,,,,,,,,"1, 2, 3, F, M to 14th St - 6th Ave; 4, 5, 6, L, N, Q, R to 14th St-Union Square; L to 3rd Ave",Gramercy,"Baseball, Basketball, Handball, Soccer, Volleyball",,Gramercy                                                                   ,,,,,,,,,
718-944-3601,,,X,,,College For Every Student (CFES) service learning programs including Peer Mentoring and Leadership Training,,,,,,,,BRONX    ,,2043580001.0,,,,,,,,,,,X415,,,2050179.0,,,,,,,,,1.0,,,,,,Yes-10,,,,,,,,"2, 5 to Pelham Parkway",Bronxdale,"Baseball, Basketball, Bowling, Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball",,Bronxdale                                                                  ,,,,,,,,,
718-978-2135,,,Q,,,"Dance, Jazz Band, and Orchestra, Visiting Artists, Young Audiences, Julliard Repertory Dance, Summer Leadership Program",,,,,,,"Curriculum includes foundation of art, illustration, fashion, art history, figure drawing, mixed media, painting, calligraphy, computer graphics, drawing, and commercial art.",QUEENS   ,,4110490001.0,,,,,,,,3,Priority to Queens students or residents,,Q490,,,4238003.0,,,,,Audition,,,,1.0,,,,,,Yes-20,Q53J,,,,,,,,Cambria Heights,"Basketball, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",,Cambria Heights                                                            ,,,,,,,,,
718-333-7650,,,K,,,,,,,,,,,BROOKLYN ,,3068830001.0,,,,,,,,,,,K400,,,3186454.0,,,,,,,,,1.0,,,,,,Yes-10,,,,,,,,D to 25th Ave; N to Ave U; N to Gravesend-86th St,Gravesend,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,Gravesend                                                                  ,,,,,,,,,
718-725-0402,,,Q,,,Students grades 9-12 have access to our fulltime Director of College Counseling through the CollegeBound Initiative.,,,,,,,,QUEENS   ,,4097070048.0,,,,,,,,,,,Q680,,,4207510.0,,,,,,,,,1.0,,,,,,No,,,,,,,,"E, J, Z to Jamaica Center-Parsons/Archer; F to Parsons Blvd",Briarwood-Jamaica Hills,,,Briarwood-Jamaica Hills                                                    ,,,,,,,,,
212-342-6600,,,M,,,10th & 11th Grade Pre-Internship Hospital Mentoring Program at New York-Presbyterian Medical College and Hospital,,,,,,,,MANHATTAN,,1021160031.0,,,,,,,,,,,M814,,,1089242.0,,,,,,,,,1.0,,,,,,No,,,,,,,,"1 to 157th St; B, C, D to 155th St",Washington Heights S.,"Baseball, Basketball, Soccer",,Washington Heights South                                                   ,,,,,,,,,
718-361-9920,Audition,,Q,2,Audition,"CTE program(s) in: Arts, A/V Technology & Communication",,,,,,,"Intensive study of art (theory, production, history, assessment); museum and gallery visits, student exhibitions, visiting artists. Courses--Foundation, 2-D and 3-D Design, Painting, Sculpture, Communication Arts, Print-Making, Portfolio, and Digital Photography.",QUEENS   ,,4006390016.0,Course Grades: Average (79-100),,25,,36,6,,8,Open to New York City residents,2,Q570,Punctuality,25,4009594.0,,26,,,Audition,,,,1.0,17,"Standardized Test Scores: English Language Arts (2.3-4.5), Math (2.3-4.5)",,,Audition,Yes-1,Q40J,,Vocal Music,,,Performing Arts,Open to New York City residents,"M, R to Steinway St; N, Q to 36 Ave-Washington Ave",Astoria,"Baseball, Basketball",(accompaniment will be provided) and one minute of a classical or a standard musical theater piece. Bring sheet music in your key.,Astoria                                                                    ,N,,Audition,43,376,,Drama,,
718-263-1919,,,Q,N/A - zoned program,,Bowne Law Institute collaborates with the St. John's University Law Program to provide students with law topics in our new model courtroom.,,,,,,,"Plant and animal sciences, small animal care, veterinary technology, horticulture, and landscaping.",QUEENS   ,,4065070001.0,,,N/A - zoned program,,99,19,,6,Open to New York City residents,,Q425,,,4439900.0,,,,,,,,,1.0,10,,,,,Yes-50,Q14B,,Science Technology Engineering and Math (S.T.E.M.) Research Program,,,,Priority to students living in the geographic zone,,Kew Gardens Hills,"Baseball, Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,Kew Gardens Hills                                                          ,N,,,N/A - zoned program,,,,,
718-268-3137,,,Q,5,,"Drama Academy, Instructional and Voice Performing Academy",,N/A - zoned program,,,,,Dual Language programs are designed to integrate English Language Learners with English-proficient students to receive content instruction in English and a target language. This program is open to all students regardless of interest area.,QUEENS   ,,4021890002.0,"Course Grades: English (87-100), Math (88-100), Science (88-100), Social Studies (87-100)",,25,,516,20,,N/A - new program,Priority to students living in the geographic zone,10,Q440,Course Grades: Average (71-100),50,4052143.0,,39,,,,,,,1.0,40,Interview,,,,No,Q19B,,Law Academy,,,Performing Arts,,"M, R to 67th Ave",Forest Hills,"Baseball, Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",,Forest Hills                                                               ,Y,,,40,245,,Academy of Instrumental and Vocal Music,,
718-243-9413,,,K,6,,"Early College Pharmacology, iLearnNYC: Program for expanded online coursework and self-paced learning",,,,,,,"Challenging academic program that prepares students for majors in nursing, medicine, research, and other scientific studies at competitive universities.",BROOKLYN ,,3001200020.0,"Course Grades: English (60-100), Math (55-100), Science (55-100), Social Studies (65-100)",,28,,13,6,,1,Open to New York City residents,6,K805,,28,3000216.0,,48,,,,,,,1.0,2,,,,,Yes-10,K78B,,Humanities and the Arts,,,Computer Science & Technology,Open to New York City residents,"2, 3, 4, 5 to Court St-Borough Hall; A, C to High St; B, Q to DeKalb Ave; F to York St; R to Jay St-MetroTech",DUMBO-Downtown Brooklyn,"Basketball, Outdoor Track, Soccer",,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,N,,,9,222,,Computer Technology,,
718-832-4333,,,K,,,Two college counselors work with students over four years for college advisement; Individual and family college meetings during 11th and 12th grade,,,,,,,,BROOKLYN ,,3010820001.0,,,,,,,,,,,K460,,,3025510.0,,,,,,,,,1.0,,,,,,Yes-5,,,,,,,,"F, G to 7th Ave; R to 4th Ave-9th St",Park Slope-Gowanus,"Baseball, Basketball, Cross Country, Fencing, Soccer, Table Tennis",,Park Slope-Gowanus                                                         ,,,,,,,,,
718-827-2469,,,K,,,Internships: Students complete a semester long job readiness program culminating with job placements across the NYC area (both summer & after-school).,,,,,,,,BROOKLYN ,,3040940001.0,,,,,,,,,,,K420,,,3090738.0,,,,,,,,,1.0,,,,,,No,,,,,,,,"J, Z to 75th St-Elderts Lane",Cypress Hills,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Swimming, Volleyball, Wrestling",,park-cemetery-etc-Brooklyn                                                 ,,,,,,,,,
718-467-1700,,,K,,,"SAT Preparation, College and Career Advisement, College and Career Trips",,,,,,,This program is comprised of a rigorous curriculum which gives scholars an opportunity to earn a New York State high school diploma and 30 transferable college credits from Long Island University.,BROOKLYN ,,3017010001.0,Course Grades: Average (55-100),,,,N/A - zoned program,N/A - zoned program,,2,,,K455,,,3047996.0,,,,,,,,,1.0,N/A - zoned program,,,,,No,K10E,,Zoned,,,,,"A, C to Utica Ave",Bedford-Stuyvesant,"Basketball, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball",,Crown Heights North                                                        ,N/A - zoned program,,,,,,,,
718-229-7600,Audition,,Q,21,,Internships & other Work-Based Learning Opportunities are fully integrated into students' courses of study.,,N/A - zoned program,,,,,"Preparation for careers in vocal and instrumental performance, as well as music production and studio recording. Beginners and experienced musicians are encouraged to apply and audition. Learn to perform on guitar, piano, bass, drums and vocals, and learn to write songs, record, and produce in our Music Production Studio. Numerous college-credit courses included. Visit www.baysidehighschool.org for more information about college-credit courses.",QUEENS   ,,4060440001.0,"Course Grades: Math (88-100), Science (88-100)",,109,,98,11,1.0,6,,21,Q405,,109,4134578.0,,330,,,Audition,,,,,33,,,,,No,Q12B,,Humanities & Non-Profit Management,,,Health Professions,,,Bayside-Bayside Hills,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball",,Bayside-Bayside Hills                                                      ,Y,,,468,2265,,Sports Medicine & Management,,
718-474-6918,,,Q,,,"A comprehensive college awareness program is weaved into the curriculum, including opportunities for five visits to 9 college campuses",,,,,,,,QUEENS   ,,4161590012.0,,,,,,,,,,,Q180,,,4303722.0,,,,,,,,,1.0,,,,,,No,,,,,,,,"A, S to Beach 105th St-Seaside",Breezy Point-Rockaway Park,"Baseball, Basketball, Bowling, Cross Country, Swimming",,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,,,,,,,,,
718-329-2144,,,X,,,"Architectural History and Drafting, Photography, Advanced Drawing and Painting, Journalism, Poetry, Creative Writing, Drama, Acting",,,,,,,,BRONX    ,,2032460002.0,,,,,,,,,,,X905,,,2015222.0,,,,1.0,,,,,1.0,,,,,,Yes-3,,,,,,,,"4 to Bedford Park Blvd-Lehman College; B, D to Bedford Park Blvd",Van Cortlandt Village,"Baseball, Basketball, Bowling, Cross Country, Outdoor Track, Tennis",,Van Cortlandt Village                                                      ,,,,,,,,,
718-410-3430,,,X,,,Guest Speaker Series,,,,,,,,BRONX    ,,2024450006.0,,,,,,,,N/A - continuing program,,,X460,,,2109459.0,,,,,,,,,1.0,,,,,,Yes-5,X95B,,,,,,,"4, B, D to 161st St-Yankee Stadium",E. Concourse-Concourse Village,"Baseball, Basketball, Bowling, Cross Country, Indoor Track",,East Concourse-Concourse Village                                           ,,,,,,,,,
718-389-3623,,,Q,,,Other college courses offered at Monroe College and New York University (NYU),,,,,,,,QUEENS   ,,4002740001.0,,,,,,,,,,,Q735,,,4003517.0,,,,,,,,,1.0,,,,,,Yes-20,,,,,,,,"7 to 33rd St; E, M, R to Queens Plaza; G to Court Sq-23rd St; N, W to Queensboro Plaza",Hunters Point-Sunnyside,"Basketball, Outdoor Track, Soccer, Table Tennis, Wrestling",,Hunters Point-Sunnyside-West Maspeth                                       ,,,,,,,,,
718-420-2600,,,R,6,,"AVID, a college- and career-readiness system, supports students by building their capacity to think critically & take responsibility for their learning.",,79,,,,,"This program will give students training and experience in coding. Core topics are Python, Scratch, HTML, CSS, processing, and Java. Additional programming in Virtual Reality Simulations; electronics and robotics skills are learned with Arduino, & LEGO robotics. Students learn LEGO Mindstorms, EV3, and digital fabrication. Within 3-D printing using Makerbot, students learn Flash, animation, and Action Script. Internship partners include NYC DIIT and Ernst & Young.",STATEN IS,,5000190004.0,,,24,,102,18,,6.857142925,Open to New York City residents,10,R600,,38,5000314.0,,79,,,,,,,1.0,3.263889074,,,,,Yes-10,R60B,,Graphic Design,,,Computer Science & Technology,Open to New York City residents,SIR to St. George,New Brighton-St. George,"Baseball, Basketball, Bowling, Cross Country, Fencing, Football, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",,West New Brighton-New Brighton-St. George                                  ,N,,,52,131,,Automotive Technology,,
718-703-5400,"Demonstrated Special Talent: Athletics, Music, Fine Arts, or Dance",,K,,,"STEAM-Engineering, Computer Science (Programming), Multimedia Technology (Video and Graphic Design), Structural Engineering (Welding)",,,,,,,Students must complete a research project for submission to a major science competition and take AP and/or undergraduate courses in science and research.,BROOKLYN ,,3012890025.0,,,,,,,,4,Priority to continuing 8th graders,,K590,,,3348092.0,,,,,"Demonstrated Special Talent: Athletics, Music, Fine Arts, or Dance",,,,1.0,,,,,,Yes-10,K77B,,,,,,,"2, 5 to President St; 3 to Nostrand Ave; 4, S to Franklin Ave",Crown Heights South,"Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Swimming",,Crown Heights South                                                        ,,,,,,,,,
718-333-7400,,,K,7,,"Elective Opportunities: Theater, set building, chorus, band, statistics, forensics, media, production, lifeguarding, and beginning swimming.",,N/A - zoned program,,,,,"This is a simulated business that is set up and run by students with the guidance of a teacher/facilitator and a business partner. Students will understand how employees, work-group teams, and departments interact with each other and work together for the goal of the company.",BROOKLYN ,,3072540001.0,,,33,,59,21,,8,,6,K410,Punctuality,28,3196293.0,,20,,,,,,,1.0,5,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.8-4.5)",,,,Yes-15,K24B,,Computer Science,,,Humanities & Interdisciplinary,,B to Brighton Beach; F to Neptune Ave-Van Siclen; Q to Ocean Parkway,West Brighton,"Baseball, Basketball, Bowling, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,West Brighton                                                              ,N,,,30,156,,Honors Institute for American Studies and Law-Gilder Lehrman,,
718-597-1751,,,X,,,,,,,,,,,BRONX    ,,2040060003.0,,,,,,,,,,,X879,,,2042451.0,,,,,,,,,1.0,,,,,,No,,,,,,,,"2, 5 to East 180th St",East Tremont,"Baseball, Basketball",,East Tremont                                                               ,,,,,,,,,
718-345-9100,,,K,,,"College Access for All: Post-secondary advanced standing opportunities, AP and Honors classes, internships (paid/transcript credit), CUNY College Now",,,,,,,"Students in this program will explore the medical science curriculum. Prerequisite classes teach students the basic concepts in anatomy and physiology and health careers. Classes focus on medical terminology, prevention, law, and ethics. Students in Vision Technology learn the anatomy of the eye and how to read prescriptions, culminating in the actual creation of functional eyewear. Students will leave with First Aid/CPR/AED certification.",BROOKLYN ,,3037040001.0,,,,,,,,1,Open to New York City residents,,K660,,,3083660.0,,,,,,,,,1.0,,,,,,Yes-20,K68C,,,,,,Open to New York City residents,"A to Broadway Junction; C to Liberty Ave; J, Z to Alabama Ave; L to Atlantic Ave",East New York,"Baseball, Basketball",,East New York (Pennsylvania Ave)                                           ,,,,,,,,,
718-461-2219,,,Q,,,Pupil Path and Naviance online systems help students and parents/guardians keep track of student progress and stay in touch with teachers and staff.,,,,,,,"A rigorous sequence of courses in science, technology, engineering, and math. This challenging scholastic experience includes preparation for authentic science research and writing. Students will publish a science journal (non-print) of original science research under the mentorship of leading science teachers, scientists, and publishers.",QUEENS   ,,4052610001.0,,,,,,,,13,Priority to continuing 8th graders,,Q025,,,4119139.0,,,,,,,,,1.0,,,,,,No,Q85F,,,,,,,,Auburndale,"Baseball, Basketball, Bowling, Cross Country, Fencing, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,Auburndale                                                                 ,,,,,,,,,
