objectid,number_total_lanes,modified_date,full_street_name,segmentlength,trafdir,street_name,snow_priority,number_travel_lanes,l_blockfaceid
73050,1.0,2017-03-17T10:05:46.000Z,HOFFMAN DR,78.94057125,FT,HOFFMAN,S,1.0,92261300.0
109696,2.0,2025-10-14T12:12:31.000Z,ST ALBANS COMM LIV CTR DRIVEWAY,789.06788472,TW,ST ALBANS COMM LIV CTR DRIVEWAY,V,2.0,72266350.0
50062,3.0,2017-03-17T10:01:30.000Z,50 ST,759.71709889,FT,50,C,1.0,1922612598.0
128182,5.0,2020-01-09T10:13:22.000Z,WEST ST,280.37435061,FT,WEST,C,4.0,1222600243.0
45955,4.0,2025-10-20T13:44:53.000Z,E  177 ST,228.97293156,TW,177,C,4.0,1422603524.0
58147,4.0,2024-04-10T13:15:28.000Z,KRUSER ST,382.23089403,TW,KRUSER,S,2.0,1722609168.0
39379,2.0,2019-04-15T15:18:28.000Z,CLINTON ST,180.63135556,FT,CLINTON,S,1.0,1922600357.0
88863,4.0,2024-04-10T13:15:28.000Z,MASON ST,1052.07548234,TW,MASON,C,2.0,1622605759.0
64012,3.0,2024-04-20T19:45:17.000Z,KNICKERBOCKER AVE,93.20271456,TF,KNICKERBOCKER,C,1.0,1922614638.0
66405,3.0,2017-03-17T09:54:35.000Z,LEGION ST,499.38193855,TF,LEGION,S,1.0,2022605286.0
6035,4.0,2020-08-28T20:49:50.000Z,47 AVE,273.7136725,TW,47,C,2.0,82263518.0
84293,3.0,2017-03-17T09:34:51.000Z,80 ST,249.38593167,FT,80,H,1.0,52262628.0
51192,4.0,2024-04-10T13:15:28.000Z,BYRON AVE,278.98079381,TW,BYRON,C,2.0,1522612409.0
