dbn,phone_number,admissionspriority12,requirement4_8,grade9swdapplicantsperseat9,interest7,admissionspriority22,prgdesc3,code5,seats9ge10,prgdesc1,auditioninformation6,admissionspriority38,school_accessibility_description,requirement5_5,requirement3_1,seats9swd9,method6,interest2,method8,requirement6_3,requirement7_1,seats107,seats3specialized,prgdesc5,academicopportunities5,applicants5specialized,language_classes,requirement6_1,transfer,admissionspriority33,requirement6_10,admissionspriority29,diplomaendorsements,method7,requirement2_2,prgdesc7,bus,requirement6_5,grade9gefilledflag4,code3,appperseat4specialized,appperseat6specialized,seats9ge1,advancedplacement_courses,requirement4_9,auditioninformation7,ptech,seats6specialized,program1,grade9geapplicantsperseat2,prgdesc2,college_career_rate,overview_paragraph,pbat,offer_rate1
08X312,718-824-0978,,,,,,,,,"We are all artists at heart! Students create works of art through drawing, painting and graphic design. Students interested in singing, dancing and acting will have the opportunity to be part of our theater arts program and perform in a variety of plays, musicals, talent and fashion shows.",,,2.0,,,,,,,,,,,,"Town Halls, PBIS Framework, Restorative Justice Initiative, Boys To Men",,Spanish,,,,,,Arts,,,,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8",,,,,,84.0,"AP Chemistry, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Spanish, AP Studio Art: 2-D Design",,,,,Millennium Art Academy,,,0.44,"Millennium Art Academy is a small, award-winning high school dedicated to fostering education through the arts. The school's exceptional visual and theater arts programs help students to develop creatively, emotionally, and intellectually. Students learn by doing, exploring, discovering, connecting, creating, discussing, debating, writing, revising, and sharing. Faculty and visiting artists work together, along with our school's nurturing support team, to provide students with the tools needed to become confident, morally responsible adults. Emphasis is placed on teaching students to be accountable for their learning choices, and actions. Our staff goes beyond the call of duty on a daily basis.",,-100% of offers went to this group
28Q325,718-658-1249,,,,,,,,,"All students have the opportunity to take AP courses. All juniors have the opportunity to take CUNY College Now courses for college credit. Seniors are offered the opportunity to take St. John's University approved courses and receive a transcript from the university. Incoming ninth grade students choose an art or music track. Music students are able to choose: band, chorus or piano. Students have the opportunity to take four years of art/music and graduate with an Arts Endorsed Diploma.",,,,,,,,,,,,,,,"We partner FYREZONE (Finding Your Rhythm thru Education) -students learn video and music production, songwriting, and dance production.",,Spanish,,,,,,Arts,,,,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q65, Q76, Q77, X68",,,,,,90.0,"AP Biology, AP Calculus AB, AP Computer Science, AP English Literature and Composition, AP U.S. History",,,,,Hillside Arts & Letters Academy,,,0.53,"The mission of Hillside Arts & Letters Academy is to offer students a challenging curriculum with a special emphasis on visual arts, music, and writing. Students at our school become self-directed and resourceful learners with a deep appreciation for the arts. We prepare students to graduate as independent thinkers who are academically well-rounded, creative, and especially well-prepared to innovate and collaborate. Our school ensures student success by providing support through advisory classes, youth development programs, and a deep commitment to our students.",,-100% of offers went to this group
04M495,212-831-1517,,,,,,,,,Priority given to District 4 residents who are eligible for Free or Reduced Price Lunch (based on family income) for up to 26% of seats.,,,,,"Course Grades: English (71-100), Math (74-100), Science (73-100), Social Studies (72-100)",,,,,,,,,,"Chorus, Yearbook, Fitness/Nutrition, and Yoga; National Honor Society; PRDE Council, CARA (College Access Research and Action), Structured Advisory",,Spanish,,,,,,,,,,"BxM1, BxM11, BxM2, BxM3, BxM4, M1, M101, M102, M103, M106, M15, M15-SBS, M2, M3, M4, M96, M98",,,,,,76.0,"AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Spanish, AP U.S. History",,,,,Park East High School,,,0.69,"Our motto is 'Purpose, Preparation, Pride.' We are a school that values community, and strong relationships to engage academic success. Our students graduate prepared for college. Our classes and highly structured four-year advisory system help students develop individual and social responsibility by setting the highest personal and academic standards. Our students acquire a set of values and a sense of kinship that allows them to reach ambitious goals. We develop rich, caring, and warm relationships with our students through our bustling sports and after-school programs. Our students are welcomed and valued members for our school community.",,
11X514,718-696-3820,,,,,,,,,,,,1.0,,,,,,,,,,,,,,Spanish,,,,,,,,,,"Bx31, Bx39, Bx8, BxM11",,,,,,85.0,"AP English Language and Composition, AP U.S. History",,,,,The Bronxwood Preparatory Academy,,,0.39,"At BPA, we believe all students can succeed with proper guidance and support. We look to awaken in our students a passion for learning that continues throughout their lives. We believe in developing our students into young scholars prepared to meet the challenges of the world. Our small class size offers individualized attention to our students. We have a strong emphasis on reading and writing across the curriculum. Students work with state-of-the-art technology infused throughout the curriculum. At Bronxwood Preparatory Academy, we believe that with teamwork we become ""The Home of Achievers!""",,-100% of offers went to this group
12X521,718-860-8240,,,,,,,,,,,,2.0,,,,,,,,,,,,,,"Italian, Spanish",,,,,,,,,,"Bx11, Bx27, Bx36, Bx4, Bx4A, BxM6, Q44-SBS",,,,,,85.0,"AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP U.S. History",,,,,The Metropolitan Soundview High School,,,0.53,"The Metropolitan Soundview students build the character, skills and disposition to reach their highest potential in school, within their community and throughout their lives. Through participation in a college preparatory curriculum, mandatory community service and a media and technology program, the school nurtures well-rounded young adults. We will prepare our graduates to be lifelong learners and productive citizens.",,-100% of offers went to this group
15K423,718-722-4727,,,,,,,,,,,,,,,,,,,,,,,,,,French,,1.0,,,,,,,,"B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B63, B65, B67",,,,,,33.0,,,,,,Brooklyn Frontiers High School,,,,"Brooklyn Frontiers High School serves entering ninth grade students who have fallen behind their peers by two or more years. We offer a personalized educational experience for students, recognizing the unique strengths and needs of each individual. The academic program is designed to challenge each learner and is implemented in a supportive environment that emphasizes the value of critical thinking skills, personal relationships, and student self-advocacy. We are committed to ensuring that students stretch their goals beyond graduation and gain the skills and self-confidence to successfully transition to college and careers.",,
12X550,718-860-8120,,,,,,,,,"We offer a range of ELL programs, including Dual Language English-Spanish program as well as a traditional free standing English as a New Language program. CTE in Culinary Arts is focused on hands on instruction and demonstrations for the training and skill development involved with the culinary arts. Students are selected through survey and demonstration of intent to complete the required credits.",,,2.0,,,,,,,,,,,,,,"Arabic, French, Spanish",,,,,,,,,,"Bx11, Bx27, Bx36, Bx4, Bx4A, BxM6, Q44-SBS",,,,,,75.0,"AP Environmental Science, AP Spanish",,,,,High School of World Cultures,,,0.21,"Our motto is: ""Children First-No Excuses-High Standards."" The English as a New Language, Dual Language, and CTE Culinary Arts instructional programs enrich students' life skills. We build on students' rich identities and cultural beliefs to prepare them to be successful and fluent in English. The Dual Language strand offers monolingual-English, multilingual-English, and Spanish-proficient students the opportunity to become bilingual and biliterate in English and Spanish. The CTE program allows students the chance to gain skills-based experience and knowledge in the realm of culinary arts. The English as a New Language, Dual Language, and CTE programs can be taken independently or together.",,
24Q267,718-389-3163,,,,,,,,,"Our school offers a focus on 21st century communication skills which included Microsoft Certification, coding, graphics, and database development. Additionally, our students also have access to a wide variety of literacy related classes which include, AP Literature, Speech, Journalism, and other associated classes.",,,2.0,,,,,,,,,,,,"We partner with Rothschild & Co, The Center at Western Queens, and LGBTQ-DOENYC",,Spanish,,,,,,Science,,,,"B62, Q100, Q101, Q102, Q32, Q39, Q60, Q66, Q67, Q69, X63, X64, X68",,,,,,90.0,"AP English Literature and Composition, AP Psychology, AP Spanish, AP U.S. History",,,,,High School of Applied Communication,,,0.65,"At the High School of Applied Communication, our mission is to empower every student to achieve more through the values of hard work, persistence and determination. Our school provides a small caring and supportive environment for students to develop highly marketable communication skills for the 21st century, which includes Microsoft Certification, computer coding, graphics and database development. Additionally, we offer a rigorous college preparatory curriculum focusing on literacy development, problem-solving and critical thinking. Students are provided full access to Advanced Placement including US History, Literature, Psychology, and Spanish. LaGuardia Community College provides our students a wide array of CUNY College Now classes.",,-99% of offers went to this group
28Q690,718-977-4800,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",,,,,,,"Challenging standards-driven academic program. In collaboration with the school community and various partners, students will be introduced to careers in law enforcement and public safety.",,,1.0,,Course Grades: Average (63-100),,,,,,,,,,Advanced Placement For All and College Access For All,,Spanish,,,,,,,,Punctuality,,"Q111, Q113, Q114, Q4, Q5, Q6, Q84, Q85, QM21, X63",,,,,,134.0,"AP English Language and Composition, AP Environmental Science, AP U.S. History","Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",,,,Law Enforcement and Public Safety,,,0.63,"We provide our students with a state-of-the-art facility. We work in collaboration with the New York City Police Department and Police Athletic League. Our school offers a challenging academic program introducing careers in law, law enforcement, and public safety. By fully integrating the themes of law enforcement and public safety throughout the educational program, students come to understand how all areas of study are interrelated and how their educational experience supports their career choice.",,-97% of offers went to this group
32K552,718-381-7100,,,,,,,,,"Incoming ninth graders are exposed to Algebra, ELA, and Leadership courses during the Summer Bridge Program and sit for the Regents exams early. All ninth graders complete their Living Environment and Algebra exams in their first year and are enrolled in our Principles of Engineering course. In addition, all ninth graders learn African Drumming and exposed to AVID strategies through ninth grade advisory in order to be college and career ready.",,,2.0,,,,,,,,,,,,"Extended Learning Time-Regents Prep Program, Saturday Academy, Middle School (7th & 8th graders)-Saturday Math & Coding Academy",,Spanish,,,,,,,,,,"B13, B20, B26, B38, B52, B54, B60, M Shuttle Bus, Q55, Q58",,,,,,93.0,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP Spanish, AP U.S. History",,,,,Urban Planning and Engineering,,,0.34,"Students at our school use their leadership abilities to achieve academic success through all core courses including Physics, Urban Ecology, Principles of Engineering, Coding and Architecture. We are part of the Academy of Engineering under the National Academy Foundation forging a partnership to provide students with academic success in various tracks in Regents, Advanced Placement courses, Early College Dual Program, and Work-Based Learning. Our mission is to provide our students with all the necessary resources and mentorship to become college and career ready no matter the starting point in their high school career.",,
10X351,718-543-1023,,,,,,,,,"We offer a college liberal arts experience at the high school level. With the support of Advisors, students choose courses based on their interests. All classes are 90 minutes and taught in college format. As a school we focus on problem-based learning, restorative practices, and multimedia technology.",,,2.0,,,,,,,,,,,,"Our 9th grade courses are all Pre-AP; we offer an AP Capstone Diploma sequence on the study of language, world cultures, psychology, and the arts.",,"Japanese, Spanish",,,,,,,,,,"Bx1, Bx10, Bx16, Bx2, Bx22, Bx26, Bx28, Bx3, Bx30, Bx38, BxM3, BxM4",,,,,,118.0,,,,,,Bronx Collaborative High School,,,,"Bronx Collaborative students are academic detectives, bringing New York City's unique resources and rich history into the classroom to investigate and solve real-world challenges. Teachers connect students with community leaders, organizations, and professionals to collaborate on exciting projects. These real-world teamwork experiences offer students feedback that prepares them for success in college and careers. Teachers and counselors know our families, recognize students' talents, and support their needs from the first day of school to graduation. We prepare students for success after high school with special attention to preparing for four-year colleges. Restorative practices and social justice are key features of the school activities.",1.0,-100% of offers went to this group
13K430,718-804-6400,,,,,,,,,Admission to this Specialized High School is based solely on the score obtained on the Specialized High Schools Admissions Test (SHSAT). Students should speak to their school counselors in the Fall to register for the SHSAT.,,,2.0,,,,,,,,,,,,A Project Lead The Way model school for dual enrollment credit through Rochester Institute of Technology and an iLearn school for online classes.,,"French, Italian, Mandarin, Spanish",,,,,,"CTE, Math, Science",,,,"B103, B25, B26, B37, B38, B41, B45, B52, B54, B62, B63, B65, B67, B69",,,,,,,"AP Biology, AP Calculus AB, AP Calculus BC, AP Chemistry, AP Comparative Government and Politics, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP European History, AP Human Geography, AP Italian, AP Macroeconomics, AP Microeconomics, AP Physics, AP Psychology, AP Research, AP Seminar, AP Spanish, AP Statistics, AP U.S. Government and Politics, AP U.S. History, AP World History",,,,,Science Engineering,,,0.95,"Brooklyn Tech is the nation's largest high school. Much of the school's facilities have been reborn for the 21st century, the school is a national model for excellence and has a stimulating environment that fosters transformational education and personal growth. Through input from its STEM partners, our classrooms and labs are on par with university and industry standards. The very active Brooklyn Tech Alumni Foundation enriches the culture of the school, supports student and faculty initiatives, and is an incubator for new school programs. Students are provided an immersive experience that includes 10 courses in one of 19 different majors as well as the opportunity to participate in the largest Advanced Placement program in the world!",,
25Q525,718-575-5580,,"Please note: Townsend Harris is open to New York City residents from all five boroughs. When evaluating Queens applicants, Townsend Harris seeks to build an incoming 9th grade class that is representative of the entire borough.",,,,,,,"A humanities-based approach to excellence in all subject areas, achieved through extensive literature and writing courses, advanced courses, and electives in English, social studies, modern and classical languages, mathematics, computer science, science, social science, science research, and a required Queens College Humanities Seminar.",,,1.0,,Standardized Test Scores: Average (4.1-4.5),,,,,,,,,,"CTE program(s) include Arts, A/V Technology & Communication, Law, Robotics & Pre-Engineering, Biomedical Technology & Scientific Research.",,"French, Greek, Japanese, Latin, Spanish",,,,,,"Math, Science",,Course Grades: Average (94-100),,"Q17, Q20A, Q20B, Q25, Q34, Q44-SBS, Q64, Q88, QM4, QM44",,,,,,279.0,"AP Biology, AP Calculus AB, AP Calculus BC, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP Human Geography, AP Japanese, AP Macroeconomics, AP Music Theory, AP Physics, AP Psychology, AP Spanish, AP Statistics, AP U.S. Government and Politics, AP U.S. History, AP World History","Please note: Townsend Harris is open to New York City residents from all five boroughs. When evaluating Queens applicants, Townsend Harris seeks to build an incoming 9th grade class that is representative of the entire borough.",,,,Intensive Academic Humanities,,,1.0,"Townsend Harris is an academically selective high school that is recognized nationally as a model of secondary education. The culturally diverse student body comprises approximately 1,100 individuals who have demonstrated evidence of high academic motivation and achievement. Our program emphasizes mastery in the humanities, mathematics, science, and classics, and requires of our students the leadership skills, discipline, and work ethic expected by the most demanding colleges and careers.",,
08X561,718-828-1206,,,,,,,,,,,,2.0,,,,,,,,,,,,"Courses in Culinary Arts, Computer Science, 3-D Printing, Graphic Design, Film Studies, Anime, Music Appreciation, SAT Prep and Dance.",,"French, Spanish",,,,,,,,,,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8",,,,,,85.0,AP Computer Science,,,,,The Bronx Compass High School,,,0.45,"Bronx Compass High School's mission is for all students to graduate equipped to succeed in the college and career of their choice. We instill in our students to have GRIT: Guts, Responsibility, Integrity and Tenacity, and our entire staff works closely with individual students to demonstrate these core values. During 9th and 10th grade, students take career exploration courses after school to learn what fields they are most passionate about. During 11th and 12th grade, students obtain internships with real world industry leaders to prepare for the 21st century workplace. In addition to college-readiness coursework, all students visit college campuses and research college options each year to determine the college of their dreams.",,-100% of offers went to this group
05M304,212-694-6020,,,,,,,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,"Bx19, Bx33, M1, M10, M100, M101, M102, M104, M11, M2, M3, M4, M5, M7",,,,,,90.0,,,,,,Mott Hall High School,,,0.36,"Mott Hall High School was founded in September 2004. Mott Hall High School's instructional program is designed to provide students with the knowledge base, attitudes, and competencies they need in order to pursue higher learning. Utilizing a challenging curriculum, we focus on academics, college, and career readiness. Students use technology in the classroom and are active participants in their learning and educationÃÂ¢ÃÂÃÂstudents are challenged to question, anticipate, and solve problems. The staff at Mott Hall High School not only encourage creativity and critical thinking, but self-discipline and responsibility. We are committed to helping students grow into leaders, independent thinkers, and enthusiastic lifelong learners.",,(No offers went to this group)
08X349,718-904-4210,,,,,,,,,,,,2.0,,,,,,,,,,,,,,Spanish,,,,,,,,,,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",,,,,,85.0,"AP Computer Science, AP U.S. History",,,,,Bronx River High School,,,,"To create an exceptional school, we offer the following programs and services: 1) Advisory: All students have the same Teacher Advisor for their entire high school career. Advisories meet every day in 9th grade, and twice a week thereafter, 2) Blue Engine: We are partnered with Blue Engine, who recruits recent college graduates from top universities across the country to serve as Teaching Assistants in all of our ELA and Math classrooms. We currently have 16 Teaching Assistants who facilitate small-group instruction as well as lunchtime and after-school tutoring every day, 3) College Prep: All students take College Prep classes in junior and senior year, where we guide students through the entire college application process.",,-99% of offers went to this group
14K449,718-366-0154,,,,,,,,,Admission to this Specialized High School is based solely on the score obtained on the Specialized High Schools Admissions Test (SHSAT). Students should speak to their school counselors in the Fall to register for the SHSAT.,,,,,,,,,,,,,,,,,"Greek, Latin, Spanish",,,,,,"Math, Science",,,,"B24, B43, B46, B48, B60, Q54, Q59",,,,,,,,,,,,Brooklyn Latin,,,0.85,"Modeled after the prestigious Boston Latin school and founded in 2006, The Brooklyn Latin School provides a liberal arts curriculum with an emphasis on the Classics and Latin language instruction. Early instruction emphasizes the acquisition of core knowledge of the key academic disciplines which students use as a foundation for deeper exploration in the upper grades. Widely regarded around the world as the most rigorous and comprehensive course of study at the high school level, the International Baccalaureate (IB) Programme is integral to our curriculum. In all classes, students experience a strong and consistent emphasis on analytical thinking, structured writing, and public speaking, preparing them for the challenges of college work.",,
28Q350,718-480-2689,,,,,,,,,Mandatory four years of math and science courses including several science and math electives.,,,,,,,,,,,,,,,,,Spanish,,,,,,"Math, Science",,,,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q65, Q76, Q77, X68",,,,,,90.0,"AP Biology, AP Calculus AB, AP Computer Science, AP English Literature and Composition, AP U.S. History",,,,,Jamaica Gateway to the Sciences,,,0.73,"Jamaica Gateway to the Sciences focuses on students interested in the pursuit of science and health-related careers. The school is affiliated with the Gateway Institute for Pre-College Education at City College. Our mission is to encourage the consistently high achievement of, and provide advanced academic preparation for, high school students financially disadvantaged and historically underrepresented in higher education institutions. Students will graduate academically, socially, and emotionally prepared for rigorous college coursework and the pursuit of health- and science-related careers.",,-100% of offers went to this group
09X412,718-410-4060,Open to New York City residents,,,,,,,,"Through a focus on business administration and entrepreneurship, students prepare for success at competitive colleges and universities.",,,2.0,,,,,Business,,,,,,,"Accelerated credit accumulation, college and career readiness, developmental guidance, college counseling services",,Spanish,,,,,,,,,,"Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, BxM4",,,,,,85.0,"AP English Literature and Composition, AP Spanish, AP U.S. History",,,,,Bronx High School of Business,2,"In addition to the stand alone ENL program, our school offers a Bilingual Education program in Spanish.",0.28,"Through a focus on business administration and entrepreneurship, students prepare for success at competitive colleges and universities. We are committed to building a community of learners and leaders.",,
28Q686,718-286-3600,,,,,,,,,,,,1.0,,,,,,,,,,,,,,"French, Italian, Spanish",,,,,,"Math, Science",,,,"BM5, Q11, Q21, Q23, Q52-SBS, Q53-SBS, Q54, Q55, QM12, QM15, QM42",,,,,,,"AP Biology, AP Calculus AB, AP Computer Science, AP English Literature and Composition, AP European History, AP Spanish, AP U.S. Government and Politics, AP U.S. History",,,,,Zoned,,,0.71,"Queens Metropolitan High School is a college preparatory school with a mission to have all its students attend and graduate from a college of their choice. In order to prepare for college, students are required to push their thinking in all content areas. They are frequently asked to write, defend their answers, and apply what they are learning to new situations. In addition to coursework, students take college trips and research college options to determine the college of their dreams.",,-82% of offers went to this group
27Q309,718-471-3571,Open to New York City residents,,,,,Guaranteed offer to continuing 8th grade students,,,"Our program offers students a broad cross-section of academic and experiential programs that help students transition into college, the professional world, and beyond. All of our student leave our schools college and career ready.",,,,,,,,Health Professions,,,,,,,,,Spanish,,,,,,,,,,"Q22, QM17",,,Q11C,,,50.0,"AP Biology, AP Environmental Science, AP Spanish",,,,,Academy of Medical Technology for New Students,9,This program is a partnership with Plaza College where our best and brightest students are offered the opportunity to pursue credit at the college level. The program is geared toward dedicated students with a desire to succeeded. The course work is rigorous and requires students to commit to an advanced course of study in the field of medicine. Students are challenged but provided with the skills to be college- and career-ready.,0.32,"We provide students with a rich education through the lens of the healthcare professions. We fulfill the need for quality clinicians, nurses, and doctors. Students gain the skills necessary to become members of a healthcare team. We stress a hands-on approach to the sciences and STEM education. Our Medical Scholars program is in partnership with Plaza College where students receive free college credits. Additionally, our clinical internship program through St. John's Hospital provides real-world career experiences for students in a healthcare setting. Here at AMT, we help all students learn, grow, and become our future.",,
10X353,718-601-0391,Open to New York City residents,,,,,,,,"This program is for any student who is interested in a well-rounded education that prepares them for college and careers. We provide a learning environment that fosters critical thinking, which helps students develop well-informed and independent global perspectives. Our program seeks to ensure that our graduates are qualified, competitive and confident for the ever-changing future.",,,2.0,,,,,Science & Math,,,,,,,"Experiential learning: Medieval Times, Holocaust Museum, Japan Society (Social Studies); Safari (Biology) and Rides (Math/Physics) at Six Flags",,"French, Japanese, Spanish",,,,,,,,,,"Bx1, Bx10, Bx16, Bx2, Bx22, Bx26, Bx28, Bx3, Bx30, Bx38, BxM3, BxM4",,,,,,98.0,"AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP U.S. History",,,,,World View High School,9,This program focuses on English acquisition with a special interest in math and science. The program is designed for Spanish-speaking immigrant students who have been in the United States for less than four years.,,"World View High School (WVHS) is a rigorous college preparatory school with a primary focus on mathematics and the sciences. WVHS utilizes project-based learning to prepare students for college and careers. As members of our community, students are expected to present their research projects in every discipline twice every school year and maintain a college and career-ready profile. Students build rigorous research and evidence based skills while fostering their social and emotional growth as a member of an increasingly global community. WVHS teachers guide students through mentoring and advisory classes to ensure academic and personal success on their path towards becoming leaders in the school community and world beyond.",,-100% of offers went to this group
03M402,_212-787-1189,,,,,,,,,"UAGC's CTE program engages students through both hands-on and academic exposure to the chief theories, and practices within both the urban agriculture and building science fields. Within this program, students learn directly from industry experts, engage in work-site visits, compete for industry-based paid internships, and have the option to earn industry certifications. All students select their major after 9th grade. CTE Endorsed diploma is available for Building Science pathway.",,,1.0,,,,,,,,,,,,CUNY College Now,,Spanish,,,,,,,,,,"BxM2, M10, M104, M11, M5, M7, M79-SBS, M86-SBS",,,,,,90.0,AP English Literature and Composition,,,,,The Urban Assembly School for Green Careers,,,0.43,"UAGC is a progressive high school with a comprehensive sustainability-focused technical science program. In addition to our college-preparatory curriculum, we offer students majors in Building Science and Horticulture. Our core values of collaboration, intention, and responsibility, live in everything we offer our students. We are looking for students who are inquisitive, collaborative learners who are interested in coursework that expects them to fully engage with the environment and the people around them in a reciprocal relationship. Our students finish high school with leadership, cooperative problem-solving, and superior written and verbal communication skills. A UAGC experience uniquely prepares students for a 21st century world.",,-78% of offers went to this group
21K410,718-333-7400,,,,Zoned,,"This program introduces students to the world of media production. Students develop their creative ideas and learn how to share them with the world through professional-quality video production. Regular live broadcasts of Lincoln's prestigious athletic programs train students in a 'real time' production environment. Working with Adobe premiere and professional cameras and editing equipment, students share and edit their own projects.",K24L,,"A three-year program for students with a strong interest in a future career in animal care and health. Coursework focuses on small and large mammals, reptiles, fish, and birds. Students in the program score higher than their peers on Science Regents Exams, possibly earn college credit, gain hands-on experience with animals in our labs and at work sites.",,,2.0,,,,Screened,Business,,,,Yes,,"Techniques of black and white, color, digital studio, scientific, still, and video imaging that prepare students for both college and professional careers. Interested students may schedule an appointment for a tour of the program.","College Pathway: Advisory, character development, college visits, SAT prep, college office, Follow Us, Horizons, Trailblazers and ALEAP program.",,"Cantonese, Spanish",,,,,,,Zoned Guarantee,,"Zoned students have access to all Abraham Lincoln High School programs. This includes AP classes, specialized electives, academic clubs and the Music, Theater and Fine Arts pathway. In this pathway, students are exposed to different facets of the Arts. Through creative expression, students will share universal themes, values and emotions. They will improve their social skills, develop a creative eye, and gain multiple perspectives in their chosen artistic field.","B1, B36, B4, B68",,N,K24C,,,107.0,"AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Physics, AP Psychology, AP Spanish, AP Statistics, AP World History",,,,,Veterinary Sciences And Animal Care,5,"VE replicates all the functions of real businesses in both structure and practice. Under the guidance of a teacher-facilitator and business mentors, students create and manage their virtual businesses from product development, production and distribution to marketing, sales, human resources, accounting/finance, and web design. Through the VE program, students develop vital skills that place them ahead of the curve when they enter college and the workforce.",0.45,Abraham Lincoln High School prepares students for the world of today. Our small learning communities and advisories offer all students supports and challenges. Lincoln students become Lincoln Citizens-ready to play an important role in their future colleges and communities.,,
06M462,212-927-1841,Priority to District 6 students or residents,,,,Then to Manhattan students or residents,,,,The college preparatory program is an academically rigorous program that infuses a college-going culture throughout all aspects of high school life.,,,2.0,,,,,Humanities & Interdisciplinary,,,,,,,Summer Institute For All Grades,,Spanish,,,,,,,,,,"Bx18, Bx40, Bx42, Bx7, BxM1, M100, M101, M3, M4, M98",,,,,,65.0,"AP Biology, AP English Language and Composition, AP English Literature and Composition, AP Spanish, AP U.S. History",,,,,College Access for All,3,Dual Language programs are designed to integrate English Language Learners with English-proficient students to receive content instruction in English and a target language.,0.38,"The College Academy (TCA) is a college preparatory school dedicated to providing our students with academic curricula in a small learning environment. At TCA each student receives personalized attention, guidance, and academic support throughout their high school career. Students have access to Advanced Placement (AP) Courses and College Courses that lead to college credits and college readiness during their junior and senior year. Our students have access to over eight AP Courses throughout the educational campus. The goal of our school is to develop literate, self-reliant, high achieving students who are able to transfer their knowledge and skills to real life situations and are prepared to succeed in college and the world at large.",,-56% of offers went to this group
21K690,718-266-5032,Priority to District 21 students or residents,,,,Then to Brooklyn students or residents,Students will select either the Instrumental Music Program or the Digital Communications Program by the spring term of ninth grade.  Guaranteed offer to continuing 8th grade students,,,"Small group instruction on band instruments. Participation in concert bands. Electives in Music Theory, Music History, Sight-Singing. Preparation for outside performances. Evaluations of solo and ensemble work.",,,,,,,,Humanities & Interdisciplinary,,,,,,,Advisory/Guidance support program grades 9-12 addressing social/emotional needs and college- and career-readiness.,,"American Sign Language, Italian, Spanish",,,,,,,,,,"B1, B4, B6, B64, B8, B82",,,K90K,,,28.0,"AP English Literature and Composition, AP U.S. History",,,,,Instrumental Music for New Students,16,"A career-based, interactive technology program with an emphasis on fine arts, computer graphics, digital photography/filmmaking, web design, and internships.",0.65,"Brooklyn Studio Secondary School believes that all students are capable of being strategic learners. We believe in teaching students how to learn. Our school community works tirelessly to achieve this through a curriculum that challenges and supports all of our students through individualized learning. Although considered a small school, we pride ourselves on offering programs comparable to a large school. Our students have the opportunity to take numerous electives, including Advanced Placement (AP) courses, courses affiliated with St. Francis College and CUNY College Now. Additionally, students can participate in extracurricular activities including clubs, performance ensembles, and athletic teams.",,-88% of offers went to this group
13K594,718-455-0746,,,,,,,,,"All students complete five Performance-Based Assessment Tasks (PBATs) in English, Math, Social Studies, Science and Art. The PBATs are designed to prepare students for college and careers by focusing on writing, critical thinking, oral presentation, and original research. For their art PBAT, students select their own area of Art focus: Visual Art, Art Criticism, or Theater/Acting. No art portfolio is required for admission to Gotham Academy, but an Art PBAT is required for graduation.",,,,,,,,,,,,,,,We are a school founded on a commitment to social justice and Restorative Justice principles that ensure our community is safe and equitable for all.,,Other Language,,,,,,,,,,"B15, B25, B26, B45, B46, B46-SBS, B47, B65, B7, Q24",,,,,,67.0,,,,,,Gotham Professional Arts Academy,,,0.5,"We are a small high school with strong community ties focused on arts and arts-related professions. As a consortium school with a Regents waiver from the state, our students complete five Performance Assessment Tasks (PBATs) instead of Regents but still earn a Regents diploma. ICT classrooms with two teachers ensure students with IEPs receive personalized support in meeting their academic and social-emotional goals. We value social justice and use Restorative Justice practices. We take frequent class trips. We are a Community Learning School site, which brings resources to our school like Peer Group Connection mentoring program, cooking, fashion, dance, and drama clubs, and connections to after school and summer programs all over NYC.",1.0,
