school_name,code1,requirement3_2,shared_space,borough,requirement1_8,seats104,school_10th_seats,grade9gefilledflag9,school_sports,admissionspriority28,code6,common_audition3,seats9swd7,seats5specialized,interest9,seats4specialized,common_audition7,school_email,latitude,common_audition8,longitude,method4,campus_name,method10,method1,requirement2_7,seats9ge7,requirement5_6,grade9geapplicants8,program6,admissionspriority15,requirement4_7,requirement1_2,requirement5_2,requirement5_10,requirement7_3,requirement6_4,interest3,seats108,requirement6_8,requirement4_5,start_time,offer_rate7,seats9ge8,seats9ge2,program9,seats9ge4,bin,grade9geapplicantsperseat10,interest4,admissionspriority24,program2,grade9geapplicantsperseat3,code2,seats9swd4,requirement2_5,seats9ge5,requirement6_6
High School for Law Enforcement and Public Safety,Q21A,Course Grades: Average (63-100),Yes,QUEENS   ,Attendance,,Y,,,,,,,,,,,Hsleaps2014@gmail.com,40.686208,,-73.784144,,,,Screened,Punctuality,,,,,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",Attendance,,,,,,,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",8am,-97% of offers went to this group,,,,,4464077.0,,,,,,,,Punctuality,,
Cypress Hills Collegiate Preparatory School,L56A,,Yes,BROOKLYN ,,,Y,,NCAA Cleared,,,,,,,,,jbierd@schools.nyc.gov,40.691146,,-73.868328,,Franklin K. Lane Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8am,,,,,,3090738.0,,,,,,,,,,
Brooklyn Studio Secondary Scnool,K90H,,Yes,BROOKLYN ,,,,,NCAA Cleared,,,,,,,,,mortiz79@schools.nyc.gov,40.604879,,-73.994404,,,,Ed. Opt.,,,,,,,,,,,,,Humanities & Interdisciplinary,,,,8am,,,29,,,3165232.0,,,,Digital Communications and Media for New Students,N/A - continuing program,K90J,,,,
High School for Teaching and the Professions,X34A,,Yes,BRONX    ,,,,,"Basketball, Cheerleading, Open Gym, Softball, Swimming/Life Saving, ""Teach Da Teachers"" (Staff/Student Competitions), Volleyball, Weight Training",,,,,,,,,nrodriguez@hsforteaching.org,40.870293,,-73.898309,,Walton Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:19am,,,,,,2015241.0,,,,,,,,,,
High School of Arts and Technology,M12A,,Yes,MANHATTAN,,,Y,,Intramural Sports-Saturday Basketball,,,,,,,,,admissions@hsartstech.org,40.774351,,-73.984753,,"Martin Luther King, Jr. Educational Campus",,Ed. Opt.,,,,,,,,,,,,,,,,,8:03am,,,56,,,1030343.0,,,,Digital Media,,M12B,,,,
Fordham High School for the Arts,X51A,,Yes,BRONX    ,,,Y,,"(NCAA Cleared) Basketball, Swimming and Lifeguard Training, Track and Field, Weight Training",,,,,,,,,IBlige@schools.nyc.gov,40.860043,,-73.888267,,Theodore Roosevelt Educational Campus,,Audition,,,,,,,,,,,,,,,,,8am,,,,,,2011810.0,,,,,,,,,,
Bronx Career and College Preparatory High School,Y43A,,Yes,BRONX    ,,,Y,,"Baseball, Boys Intramural Basketball, Soccer, Softball, Volleyball",,,,,,,,,info@bccprep.com,40.827743,,-73.900105,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8am,,,,,,2004868.0,,,,,,,,,,
Aviation Career & Technical Education High School,Q60A,"Course Grades: English (75-100), Math (80-100), Science (79-100), Social Studies (77-100)",No,QUEENS   ,Attendance,,,,NCAA Cleared,,,,,,,,,24Q610@schools.nyc.gov,40.743509,,-73.929076,,,,Screened,Punctuality,,,,,,"Standardized Test Scores: English Language Arts (2.4-4.5), Math (2.5-4.5)",Attendance,,,,,,,,"Standardized Test Scores: English Language Arts (2.4-4.5), Math (2.5-4.5)",8am or 8:45am,,,209,,,4436685.0,,,,Aviation Maintenance Engineering Technology,,Q60Q,,Punctuality,,
Baccalaureate School for Global Education,Q41A,"Standardized Test Scores: English Language Arts (3.5-4.5), Math (3.7-4.5)",No,QUEENS   ,Attendance,,Y,,NCAA Cleared,,,,,,,,,bsgeadmissions@gmail.com,40.755366,,-73.927169,,,,Screened,Course Grades: Average (91-100),,,,,,,Attendance,,,,,,,,,8am,-36% of offers went to this group,,,,,4009499.0,,,,,,,,Course Grades: Average (91-100),,
Academy of Hospitality and Tourism,L24A,,Yes,BROOKLYN ,,,Y,,"(NCAA Cleared) Basketball, Olympic Archery, Ping Pong, Soccer Tournaments",,,,,,,,,smiller18@schools.nyc.gov,40.649787,,-73.95855,,Erasmus Hall Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8am,,,,,,3336215.0,,,,,,,,,,
International High School at Union Square,Y46A,,Yes,MANHATTAN,,,Y,,"Bike Club, Lunch time Basketball and Soccer, Skateboarding/Snowboarding/Surfing with Stoked",,,,,,,,,info@ihs-us.org,40.735494,,-73.987659,,Washington Irving Educational Campus,,Screened: Language,,,,,,,,,,,,,,,,,8:45am,,,,,,1017828.0,,,,,,,,,,
Sunset Park High School,L58A,,Yes,BROOKLYN ,,,Y,,"In addition to PSAL Sports: Cheerleading, Fitness, and Track.",,,,,,,,,tnesbit-leslie@sunsetparkhighschool.org,40.65571,,-74.005197,,,,Open,,,,,,,,,,,,,,,,,8:45am,,,,,,3394175.0,,,,,,,,,,
Automotive High School,K60J,,No,BROOKLYN ,,,Y,,"(NCAA Cleared) Baseball, Basketball, Cheerleading, Football, Handball, Soccer, Track, Volleyball, Wrestling",,,,,,,,,afemi@automotivehs.org,40.721981,,-73.953281,,,,Ed. Opt.,,,,,,,,,,,,,Engineering,,,,8am,,,56,,,3066698.0,,,,Academy of Arts and Media,2,K60N,,,,
Pathways in Technology Early College High School (P-TECH),L67A,,Yes,BROOKLYN ,,,,,"(NCAA Cleared) Cheerleading, Step Team",,,,,,,,,ptechnyc@schools.nyc.gov,40.675612,,-73.938843,,Paul Robeson Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:15am,,,,,,3030553.0,,,,,,,,,,
East New York Family Academy,K45A,,No,BROOKLYN ,,,Y,,"(NCAA Cleared) Basketball, Boys' Soccer, Fitness, Flag Football, Girls' Softball, Intramural Student Tournaments, Student vs. Faculty Games, Swimming, Tennis, Volleyball, Weight Training",,,,,,,,,ayard3@schools.nyc.gov,40.661072,,-73.886942,,,,Screened,,,,,,,,,,,,,,,,,7:55am,,,,,,3097444.0,,,,,,,,,,
