phone_number,requirement6_2,website,prgdesc8,earlycollege,requirement5_4,bbl,common_audition4,appperseat3specialized,academicopportunities3,interest1,requirement1_10,seats9swd6,requirement4_4,method5,offer_rate2,grade9swdfilledflag5,seats9ge9,requirement7_5,admissionspriority34,code7,grade9swdfilledflag7,common_audition2,psal_sports_coed,requirement6_7,requirement1_7,applicants6specialized,grade9geapplicants5,grade9swdfilledflag1,seats9swd10,requirement5_8,requirement2_1,applicants4specialized,grade9gefilledflag7,common_audition6,seats101,grade9geapplicants10,grade9geapplicantsperseat6,grade9geapplicants1,requirement5_9,common_audition9,admissionspriority11,grade9geapplicants3,interest10,prgdesc6,admissionspriority41,grade9swdapplicants6,requirement7_2,applicants3specialized,admissionspriority21,extracurricular_activities,grade9gefilledflag6,seats105,admissionspriority16,ell_programs,grade9geapplicantsperseat4,program10,finalgrades,code8,grade9geapplicants4,international
718-696-3340,,schools.nyc.gov/SchoolSearch,,,,2046330040.0,,,"Student academic services include PM and Saturday tutoring, SAT Prep, Google Classroom, I-Learn courses",Health Professions,,,,,,,,,,,,,,,,,,N,,,,,,,Yes-5,,,642.0,,,Priority to Bronx students or residents,,,,,,,,Then to New York City residents,"We have many clubs such as: Cooking Club, the Dance Club, Multicultural Events, Pep Rallies, Science Club, and Step Club. Students with the desire to start a club may do so with the permission of administration. The following after-school activities are offered through our campus Beacon Program: Cheerleading, CIT Program, Cookshop, Entrepreneur 101, Fashion 101, FlexNYC, Gamer's Choice, Instrumental Life, MMCC Youth Council, Passport to Manhood, SAT Prep, SMART Girls, Writers Corner",,,,English as a New Language,,,9 to 12,,,
718-733-3872,,schools.nyc.gov/SchoolSearch,,,,2032470070.0,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,N,,,,,,,Yes-5,,,511.0,,,Priority to Bronx students or residents,,,,,,,,Then to New York City residents,,,,,English as a New Language,,,9 to 12,,,
212-342-6600,,mychah.org,,,,1021160031.0,,,"Support Services, Community Health-Related Service Learning, and Internship Opportunities",Humanities & Interdisciplinary,,,,,,,,,,,,,Golf,,,,,Y,,,Writing Exercise (on-site),,,,No,,,429.0,,,Open to New York City residents,,,,,,,,,,,,,English as a New Language,,,6 to 12,,,
212-722-6507,,schools.nyc.gov/SchoolSearch,,,,1016560100.0,,,,Science & Math,,,,,,,,,,,,,,,,,,N,,,,,,,No,,,255.0,,,Priority to continuing 8th graders,,,,,,,,Then to Manhattan students or residents,"Art, Basketball, Community Service, Dance, Electronic Music Production, Flag Football, Music, Pencil Project, Soccer, Student Government, Technology, Theater, Unleashed",,,,English as a New Language; Dual Language: Spanish,,,6 to 12,,,
718-486-2550,,brooklynprephs.org,,,,3023300011.0,,,"Leadership offerings include Peer Advisory Leaders, Peer Mentoring, Restorative Justice Coordinators, Teachers Assistants, and Learning Leaders",Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,Y,,,,,,,Yes-10,,,1200.0,,,Priority to Brooklyn students or residents,,,,,,,,Then to New York City residents,"ACT/SAT Prep, Art Clubs, BAM Programs, CUNY College Now, College Exploration, Dance Team, Expanded Success Initiative, Film/Documentary Club, Girl Be Heard, GSA, H.S. Heroes, Job Shadowing, Museum Internships, NY Cares, NYU Writing Partnership, National Honor Society, Peer Mediation, Peer Tutoring, Restorative Justice Center, Science Genius, STAR Program, Steve's Camp, Student Ambassador Program, Student Council, Talent Show, Woke to Evoke: Social Justice Club, Youth Philanthropy Initiative",,,,English as a New Language,,,9 to 12,,,
718-333-7850,,KECSS.info,,1.0,,3068830001.0,,,Strategic Reading Programs,Humanities & Interdisciplinary,,,,,,,,,,,,,Cricket,,,,,Y,,,Punctuality,,,,No,,,1415.0,,,Priority to continuing 8th graders,,,,,,,,Then to New York City residents,,,,,English as a New Language,,,6 to 12,,,
718-461-2219,,wjps.org,,,,4052610001.0,,,Advisory program supports social and emotional learning and provides college and career readiness. Portfolios of student work teach self reflection.,Communications,,,,,,,,,,,,,Cricket,,,,,Y,,,,,,,No,,,414.0,,,Open to New York City residents,,,,,,,,,"Art Club, Broadcast, Debate Club, Do Something Club, Environmental Club, Environmental Club, Fashion Club, Greek Club, GSA Club, Key Club, Literary Magazine, Model UN, Music Club, National Honor Society, Newspaper, Student Ambassadors, Student Government, Student Newspaper, Town Hall, Video Game Club, Yearbook",,,,English as a New Language,,,6 to 12,,,
718-271-8383,,schools.nyc.gov/SchoolSearch,,,,4019630005.0,,,iLearnNYC: Program for expanded online coursework and self-paced learning,Visual Art & Design,,,,,-100% of offers went to this group,,,,,,,,,,,,,Y,,,,,,,Yes-10,,,2098.0,,,Priority to Queens students or residents,,,,,,,,Then to New York City residents,"Ad Council, Advertising Futures, Arista/National Honor Society, Art, NYSMAA, Careers, Carnegie Hall, Chess, 3D Printing, Arts, College Now, Community Service, Cooking, Dance, Debate, Film, Fundraising, Future Leaders, Global Kids, Guitar, Job Shadowing, Law, Math, Music, Newspaper, Photography, Piano, Poetry, Pre-Med, Public Speaking, Robotics, SAT Prep, Shakespeare, Story Corps, Student Center, Student Council, Student Leadership, Tutoring, Vocal and Instrumental Concert, Wellness, Yearbook",,,,English as a New Language,,,9 to 12,,,
718-262-8547,Writing Exercise (on-site),yorkearlycollegeacademy.com,,1.0,Individual Interview (on-site),4101780001.0,,,Advanced Placement courses,Humanities & Interdisciplinary,Attendance,,"Standardized Test Scores: English Language Arts, Math",,-91% of offers went to this group,,,,,,,,Cricket,Writing Exercise (on-site),Attendance,,,Y,,Individual Interview (on-site),Punctuality,,,,No,,,1203.0,Individual Interview (on-site),,Priority to continuing 8th graders,,,,,,,,Then to Queens students or residents,,,,,English as a New Language,,,6 to 12,,,
718-353-0009,,ewsis.org,,,,4051470001.0,,,"Pre-Calculus; TEALS Computer Science classes; Regents in: Chemistry, Physics",Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,Y,,,,,,,Yes-8,,,550.0,,,Open to New York City residents,,,,,,,,,"Advisory Program, Art, Can You 24?, College Trips, Chinese Culture Club, Dance Club, Glee Club, GSA, Japanese Culture Club, Judo, Key Club, KPOP Dance, Leadership Trip to Korea, Model UN, Multicultural Night, NAACP, National Honor Society, NYPD Explorers Program, Peer Mediation, Peer Tutoring, Recycle-a-Bike Club, Student Government, School Newspaper, Summer in Japan, Talent Show, Yearbook Committee; Other clubs by student request",,,,English as a New Language,,,6 to 12,,,
718-471-2154,,fdavi.org,,,,4157360001.0,,,"College & Career Readiness: Start-Up Law Program, Law Enforcement Academy, Computer Forensics",Humanities & Interdisciplinary,,,,,-100% of offers went to this group,,,,,,,,Double Dutch,,,,,N,,,,,,,Yes-10,,,165.0,,,Priority to Queens students or residents,,,,,,,,Then to New York City residents,"Boyz2Men, Cheerleading, Computer Graphics Design, Homework Help, Leading Ladies, Lunch & Learn, PSAT and SAT Prep with Rockaway Development Revitalization Corporation, Queens Law Associates, Regents Help, Student Government, Yearbook, Youth Court",,,,English as a New Language,,,9 to 12,,,
718-561-8701,,crotonainternationalhs.org,,,,2031040007.0,,,CTE program sequences in Digital Media,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,Y,,,,,,,No,,,134.0,,,,,,,,,,,,,,,,English as a New Language,,,9 to 12,,,1.0
212-334-4663,,schools.nyc.gov/SchoolSearch,,,,1003010003.0,,,Students who have passed 5 Regents exams by 11th grade are eligible to take free courses at Pace University,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,Y,,,,,,,No,,,2831.0,,,Open to New York City residents,,,,,,,,,"Anime/Video Game, Art in NYC, Bollywood Dance, Caribbean Dance, Cheerleading, Chess, Choir, Drama, Envirothon, Expositions, Gay Straight Alliance, Hip-Hop, Homework Help, Latin Dance, Literary Magazine, Math Zone, Mentorships, National Honor Society, Poetry, SAT Prep, Science, Step, Student Government, Student Publications, Tutoring, Wellness Center, Yearbook, YMCA",,,,English as a New Language,,,9 to 12,,,
718-281-8200,,francislewishs.org,,,,4068820001.0,,,"A wide variety of specialized programs: Science Research, Math Research and Robotics, University Scholars, Jacob Javits Law Academy",Law & Government,,,,Zoned Guarantee,,N/A - zoned program,,,Then to New York City residents,,,,Cricket,,,,N/A - zoned program,Y,,,,,,,Yes-5,,,4596.0,,,Priority to students who live in the zoned area for up to 50% of the seats,2663,,,,,,,Then to Queens students or residents,"Anime, Anti-Bullying, Art, ASPIRA, Band, Career, Cheer, Chorus Orchestra, Conflict Resolution, Culture/Languages, Dance, Desi, Drama, Future Educators, Glee, Health, Hearts on a String, History, Horticulture, Humans of Francis Lewis, Improv, JROTC, Journalism, Key Club, Literature, Math, Medicine, Mock Trial/Debate/Moot Court, Model UN, NHS, Nu Gamma Psi, Peer Mediation, Pre-Med, Principal's Council, Programming, Robotics, SAT, SING, Science, Share an Umbrella, Solitaire, Step, Tech Crew, Yearbook",,Yes,,English as a New Language; Transitional Bilingual Education: Chinese,51.0,,9 to 12,,3234.0,
718-271-3602,,panamericanihs.org,,,,4016000061.0,,,"Electives: Photography, Psychology, Comic Books, Latin and Modern Dance, Drumming, Yoga and Community Service and Internships",Humanities & Interdisciplinary,,,,,,,,,,,,,Cricket,,,,,N,,,,,,,Yes-50,,,158.0,,,,,,,,,,,,"Advanced English, Art Club, Art Design and Exhibition, Asian Appreciation Club, Baile Folklorico/Dance Club, ELA/Math Regents Prep, English as a New Language Beginners Class, Family Festivals, Fresh Prep, Guitar/Music Club, ASPIRA, Leadership Project/Student Congress, Movie Club, Newspaper, Peer Tutoring, Photography, Social Action Projects and Campaigns, Spanish Literacy, Sports, Story Studio, Student Life, Talent Show, Theater, Zumba Classes",,,,English as a New Language,,,9 to 12,,,1.0
718-922-1145,,Brooklyncollegiate.net,,,,3014480001.0,,,Reading and writing across the curriculum; Interdisciplinary curriculum with English and Social Studies,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,N,,,,,,,Yes-34,,,231.0,,,Priority to Brooklyn students or residents,,,,,,,,Then to New York City residents,"Advanced Art, Cheerleading, Chess, Chorus, Cooking, Drama, Drumline, Games, Music, Peer Educators, Peer Mediators, Student Ambassadors, Student Government, Touch Football, Track Club, Tutoring",,,,English as a New Language,,,9 to 12,,,
212-576-0502,,www.maalnyc.org,,,,1008897501.0,,,CUNY College Now,Science & Math,,,,,,,,,,,,,,,,,,N,,,,,,,Yes-5,,,143.0,,,,,,,,,,,,"BigBrother/BigSister Internships, Chess Club, Manhattan Theater Club, Multicultural Club, Photography Club, Robotics Team, SAT Prep, School Newspaper, Student Council, Student Government, Yearbook, Young Audience New York (YANY)",,,,English as a New Language; Transitional Bilingual Education: Spanish,,,9 to 12,,,
718-736-7320,,nycacademy.org,,,,4104430001.0,,,Software Engineering is a required course at our school,Computer Science & Technology,Test: coding session (on-site),,,,-98% of offers went to this group,,,,,,,,Double Dutch,,Test: coding session (on-site),,,Y,,,,,,,Yes-10,,,427.0,,,Priority to Queens students or residents,,,,,,,,Then to New York City residents,"Art, Anime Club, Basketball, Bowling, Cheerleading, Chess, Chorus, Dance, Digital Music, Double Dutch, Music Production, New Media, Robotics, Step Team, Student Government, Theater, Track, Yearbook, and other clubs depending on student interest",,,,English as a New Language,,,9 to 12,,,
718-286-3600,,queensmetro.com,,,,4038860800.0,,,,Zoned,,,,,-82% of offers went to this group,,,,,,,,Stunt,,,,,N/A - zoned program,,,,,,,Yes,,,,,,Priority to students who live in the zoned area,,,,,,,,Then to Queens students or residents,"Dance team, Drama, Film Club, Glee, Hip Hop Club, Improv Club, Law, Literary Club, MATHletes, Multicultural, National Honor Society, Photography, Robotics Team, Science, Step Team, Student Government, Tutoring, Video Game Club, Visual Arts",,,,English as a New Language,,,9 to 12,,,
718-658-1249,,hillsidearts.org,,,,4098580100.0,,,Partnership with Queens Museum of the Arts -exhibit of student work featured at the Queens Museum of Arts each year.,Humanities & Interdisciplinary,,,,,-100% of offers went to this group,,,,,,,,"Cricket, Double Dutch, Golf, Stunt",,,,,Y,,,,,,,No,,,628.0,,,Priority to Queens students or residents,,,,,,,,Then to New York City residents,"Athletes Helping Athletes, COSA, DJ Production, Dance Club, Debate Team, Drama, FYREZONE (Finding Your Rhythm through Education) -students learn video and music production, songwriting, and dance production; HALA NOW with Queens Museum, Literary Magazine, Math Competitions, Math Honors Society, Mural Club, National Honor Society, PM School Courses, Saturday Day School and After-School Tutoring, Student Government, Studio Art, Yearbook Club",,,,English as a New Language,,,9 to 12,,,
718-232-2500,,NewUtrechthighschoolnyc.com,,,,3062710001.0,,,"Academic Honors Academy, Honors & Advanced Placement (AP) courses for eligible students, Trailblazers College Enrichment Program, CUNY College Now",Health Professions,,7,,Screened,,Y,,,,K28Z,N/A - zoned program,,,,,,1468,Y,,,,,N/A - zoned program,,No,,30,1305.0,,,Open to New York City residents,467,,"An interdisciplinary program combining business and technology courses with a real hands-on working experience. The curriculum includes courses such as Computer Applications, MOS Certification, Visual Basics, and Entrepreneurship -all directed towards completing professional and academic certifications.",,209,,,,"Anime Club, Arista Honor Society, Art Exhibits, Book Club, Cheerleaders/Boosters/Twirlers, Chess Club, Chinese New Year Show, Debate Team, Fashion Society (with annual Runway show), History Club, International Festival, LGBQT Club, Mock Trial, Model UN, Moot Court, Painting/Mural Club, Peer Mediation/Conflict Resolution, Peer Tutoring, Photo Club, Ping-Pong, Science Olympiads, Student Government, Talent Show",Y,No,Open to New York City residents,"English as a New Language; Transitional Bilingual Education: Arabic, Chinese, Spanish",29.0,,9 to 12,,949.0,
718-696-3800,,newworldhighschool.com,,,,2048640035.0,,,"Trips to cultural, historic, and recreational sites in and out of New York City",Science & Math,,,,,,,,,,,,,,,,,,N,,,,,,,No,,,611.0,,,,,,,,,,,,,,,,English as a New Language; Transitional Bilingual Education: Spanish,,,9 to 12,,,1.0
718-620-2560,,thecinemaschool.org,,,,2038640012.0,,,Photography offered,Film/Video,,,,,,,,,,,,,,,,,,Y,,,Punctuality,,,,Yes-8,,,923.0,,,Open to New York City residents,,,,,,,,,"Acting & Directing in Film, Art, Filmmaking, Film Screenings, Fitness, French, Knitting & Anime, National Honor Society, Regents Preparation, Student Activities Committee, Student Advisory Council, Tutoring, Yearbook",,,,English as a New Language,,,9 to 12,,,
718-361-3133,,bard.edu/earlycollege,,1.0,,4002740001.0,,,"In the final two years, the college program balances core requirements with opportunities for students to pursue their individual interests",Humanities & Interdisciplinary,Individual Interview (on-site),,,,,,,,,,,,,,Individual Interview (on-site),,,N,,,Math Test (on-site),,,,Yes-5,,,4274.0,,,Open to New York City residents,,,,,,,,,"3D Modeling and Robotics, Body Love, Bollywood, Culinary, Debate, Dream Team, Filmmaking, Girls Who Code, GSA, KRUSH K-Pop Dance, Math Team, Media and Society, Model UN, Musical, Muslim Student Association, Newspaper B.Q. Broadside, Peer Mentors, Peer Tutors, Red Cross Club, Seekers, Spanish Culture, Step Team, Student Ambassadors, Student Government, SAGA Sexuality and Gender Alliance, Table Tennis, The HYPE Literary Journal, Theater, Vinyl Club, Weight Training, World Science Academy",,,,English as a New Language,,,9 to 12,,,
718-258-9283,,ermurrowhs.org,,,,3067340109.0,1.0,,"Statistics, Accounting, Web Design, Business, CTE Approved Virtual Enterprise, Five language offerings (Spanish, French, Italian, Chinese, Russian)",Communications,,7,,Audition,,Y,,Portfolio of Student Work,,K57P,Y,,Golf,,Attendance,,611,Y,,,,,Y,1.0,Yes-34,,7,5667.0,,,"Priority to residents in Mid-Brooklyn Area A (beginning at the intersection of Bedford Avenue and LIRR to Avenue P to Coney Island Avenue, to Avenue K, to East 16th Street, to Avenue J, to East 15th Street, to LIRR to point of origin)",189,,"A discipline-based music education that includes large ensemble, small ensemble, solo performance, and musicianship.",,19,,,Then to residents in Mid-Brooklyn Area B,"Students can explore their academic and extracurricular interests by choosing from over 50 different clubs and activities: Academic Teams (award-winning Chess Team, Virtual Enterprise, Moot Court, Mock Trial), Activism (National Honor Society, Key Club), Arts (Concerts and Productions, Art Shows, S!NG, Technical Theater, Digital Media, Music Technology), Community Service, and Robotics. Visit our website to learn more about our exciting activities and clubs.",Y,Yes-7,,"English as a New Language; Transitional Bilingual Education: Chinese, Spanish",9.0,,9 to 12,,388.0,
718-366-0154,,brooklynlatin.org,,,,3030250001.0,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,,,,,,,,Yes-20,,,,,,Open to New York City residents who take the Specialized High Schools Admissions Test (SHSAT),,,,,,,,,"Certamen (Latin Competition), Drama, Garden Club, Global Awareness, Law Club, Legati, Math Team, Model UN, Moot Court, Muslim Student Association, National Honor Society, Photography, Public Declamation, Saltare (Dance), Stoked Skateboarding, Student Senate, Studio Art, The Latineer School Newspaper, Viajeros, Yearbook",,,,English as a New Language,,,9 to 12,,,
718-230-5748,,bcamhs.org,,,,3019260010.0,,,"Advanced Placement (AP) for All school: multiple AP courses in English, History, Mathematics, Science",Performing Arts/Visual Art & Design,,,,,,,,,,,,,Stunt,,,,,N,,,,,,,Yes-10,,,469.0,,,Open to New York City residents,,,,,,,,,"Animation, App Development, Artistic & Intelligent Young Men's & Women's Leadership Group, Drama/Theater Production, Fashion Design, Filmmaking, Gaming, Graphic Design, Journalism-Yearbook/School Newspaper, Lioness Cheerleading/Dance Team, Modeling, Modern Dance, Music Studio Production, National Honor Society, Peer Mentoring, Photography, Printmaking, Snowboarding, Student Government, The Dream Team Community Projects, T-Shirt Design",,,,English as a New Language,,,9 to 12,,,
718-688-7980,,watchhighschool.com,,,,3037880001.0,,,"Program Highlights: CNA, Health Careers, Paid/Unpaid CTE Internships, Computer Technology, Swimming, College and Career Partnerships, SYEP",Science & Math,,,,,(No offers went to this group),,,,,,,,Stunt,,,,,N,,,,,,,No,,,117.0,,,Priority to students who reside in the geographical catchment area,,,,,,,,Then to Brooklyn students or residents,"Arista/National Honor Society, Book Club, Campus Culture Club, Career Fairs, Choir, College Explorations, Extended Learning, Film/Media, Knitting/Crocheting Club, Math Tutoring Club, National College Fairs, Photography, SAT Prep, Saturday Academy, Sports Team Management, Student Government, Tutoring, Yearbook Club, Youth Leadership Council (YLC); Internships: Memorial Sloan Kettering Cancer Center, SUNY Downstate Hospital, Lindenwood Nursing Home, Kings County Hospital",,,,English as a New Language,,,9 to 12,,,
212-225-0998,,uasem.org,,,,1001130100.0,,,Credited college classes through BMCC and The Metropolitan College of New York,Law & Government,,,,,,,,,,,,,Stunt,,,,,N,,,,,,,Yes-15,,,198.0,,,Priority to Manhattan students or residents,,,,,,,,Then to New York City residents,"Clubs and Activities: Art and Mural Painting, Beat Making and Music Production, Black Lives Matter Club, Comic Book Club, Cooking Club, Credited College Courses, Dance, FDNY Explorers, Gay/Straight Alliance, International Trips, Literacy Leaders at NYPL, Mentoring, Music, National Honor Society, NYPD Explorers, Paid Internships, PSAL Sports, PSAT and SAT Preparation, SHOREline, Student Government, Summer Travel Opportunities, Teen Community Emergency Response Team, Yearbook and more.",,,,English as a New Language,,,9 to 12,,,
718-845-1290,,epicschoolsnyc.org,,,,4117140100.0,,,"Mentoring; Rites of passage experiences, college and career counseling starting in ninth grade, internships, creative writing",Humanities & Interdisciplinary,,,,,-100% of offers went to this group,,,,,,,,,,,,,Y,,,,,,,No,,,286.0,,,Priority to Queens students or residents,,,,,,,,Then to New York City residents,"Based on student interest; After-School Enrichment programs including SAT and Regents preparatory courses; College Fairs and Trips beginning in ninth grade; Community Service, Dance Club, Debate Team, Entrepreneurship Club, GirlsInc, Leadership and Training Club, Music Club, Peer Mediation and Restorative Justice Practices; PM School Community Based Organization: Beacon Program, Podcast Club, Prom Committee, Respect Your Color club, Senior Leadership, Soccer, STEM Club, StepUP, Yearbook Club",,,,English as a New Language,,,9 to 12,,,
212-569-1022,,schools.nyc.gov/SchoolSearch,,,,1022330020.0,,,"Programs in: Film Production, Art, Mural Project, Intramural Sports, Cooking Club, Step Team, Dance Class, and Parent GED Classes",Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,N/A - transfer school,,,,,,,No,,,35.0,,,,,,,,,,,,"Arts and Cultural Trips, Coding, Community-Based Service Projects, Math Team, NYS Regents Preparation, Peer Tutoring, Saturday Academy, School Tour Guides, Student Ambassadors, Student Government, Student-Led Town Hall Assemblies, Student Peer Mediation Team, Wellness Program. Additionally, students have the opportunity to create their own clubs and activities!",,,,English as a New Language,,,9 to 12,,,
718-398-3061,Math Exercise (on-site),bedfordacademyhs.org,,,,3018120001.0,,,,Computer Science & Technology,,,,,-48% of offers went to this group,,,,,,,,,,,,,Y,,,Punctuality,,,,No,,,1889.0,,,Priority to District 13 students or residents,,,,,,Portfolio of Student Work,,Then to Brooklyn students or residents,,,,,English as a New Language,,,9 to 12,,,
718-545-7095,,longislandcityhs.schoolwires.net,Our Dual Language program is designed to integrate English language proficiency with Spanish language proficiency. Students receive content instruction in English and Spanish. The goal of the program is for all its students to qualify for the NYSED Seal of Bi-Literacy diploma endorsement.,,,4005290002.0,,,"Four Smaller Learning Communities. With eight different academic programs: Global Informatics, Dual Language Program Spanish, Global Languages",Computer Science & Technology,,12,,Ed. Opt.,,N,N/A - zoned program,,,Q29R,Y,,"Cricket, Golf",,,,227,Y,,,,,N,,No,,2,428.0,,,Open to New York City residents,148,,"Students interested in being a part of Broadway Productions are provided with an opportunity to earn Chancellor's Endorsed Diploma in the Arts. Students will also write, direct, and perform in musicals and plays. Open to all who want to perform, learn an instrument, sing, create sets, and learn to run productions.",,38,,,,"ASPIRA, Dance, Digital Design Program, Fall and Spring Drama and Musical Productions, HANAC SYEP, Internships, Junior Reserve Officers' Training Corps (JROTC), LETS GET READY! Free SAT Prep Program, Multicultural Festival, National Honor Society, SING, Winter and Spring Concerts; More than 20 multicultural and interdisciplinary clubs.",N,Yes-20,Open to New York City residents,English as a New Language; Dual Language: Spanish,4.0,,9 to 12,Q29S,455.0,
718-977-4800,,www.hsleaps.org,,,,4123350049.0,,,"Electives: Intro to Law Enforcement, Intro to Public Safety, Forensic Sci, Forensics and Anatomy, Intro to Law Careers, Criminal Justice, NYPD Fitness",Law & Government,Attendance,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",,-97% of offers went to this group,,,,,,,,Double Dutch,,Attendance,,,N,,,Punctuality,,,,Yes-34,,,549.0,,,Priority to Queens students or residents,,,,,,,,Then to New York City residents,"Art, Cheerleading, College and Career Mentoring, Dance, DCTV (Television Production Studio), Girls On Point Mentoring, Hip Hop Club, Music Production/Songwriting, National Honor Society, New York Police Department (NYPD) Explorers, Student Government, Volleyball, Yearbook",,,,English as a New Language,,,9 to 12,,,
212-255-1235,,fashionhighschool.net,,,,1007740019.0,,,HSFI partners with the Yale University Center for Emotional Intelligence to develop students' social emotional skills to handle teenage stress.,Visual Art & Design,,,,,,,,,,,,1.0,Stunt,,,,,N,,,Punctuality,,,,Yes-5,,,520.0,,,Open to New York City residents,366,,,,,,,,"HSFI wants every student to feel connected! Here's a sample of some of our EVENTS: Art Show, Fashion Show, SING where students produce & perform in a musical. TEAMS: Dance, Latin Groove, Step. CLUBS: Animal Welfare, Anime, Book Club, Coding/Programming, Cooking, Crochet, Fashion Cares Service-Learning, Feminist, Gaming, GSA, Green, Honor Society, Ice Skating, K-Pop, Math, Newspaper, Origami, Photography, Styling & Cosmetology, UNICEF. Don't see one you like? Start your own and we'll support you.",,,,English as a New Language,,,9 to 12,,,
212-647-1983,,manhattanbusinessacademy.org,,,,1007420007.0,,,"Honors, AP, College-Level Courses",Business,,,,,,,,,,,,,,,,,,Y,,,,,,,Yes-8,,,1261.0,,,Priority to Manhattan students or residents,,,,,,,,Then to New York City residents,"Burton Chill Programs: Anime, Art, Business Club, Dance Team, Drama, Guitar Club, Hudson Sailing (students earn math credit to build a boat and physical education credit to sail it on the Hudson river), National Honor Society, Snowboarding (Winter) and Surfing (Summer); Enrichment Saturday programs with Sponsors for Educational Opportunities (SEO) and Minds Matter; Internship opportunities through partnerships with Futures & Options and Pencil Fellows Programs",,,,English as a New Language,,,9 to 12,,,
718-297-6580,,EdisonCTE.org,,,,4098670002.0,,,iLearnNYC: Program for expanded online coursework and self-paced learning,Visual Art & Design,Attendance,5,,Screened,,Y,,,,Q67V,Y,,"Cricket, Double Dutch",,Attendance,,717,Y,,,Punctuality,,Y,,Yes-12,,42,1348.0,,,Open to New York City residents,964,,"Preparation for careers in computer science and engineering. With a major focus on hands on instruction and computer coding (Python, Java, and C++), this program prepares students with a focus on learning basic robot and drone building instructions, programming, movement, and working with sensors. Projects incorporate STEM concepts. Industry certification (OSHA and MTA: Intro to Python) Visit www.EdisonCTE.org for more information about our Robotics/STEM & Drone program.",,103,,,,"Automotive, Cheer, Chess, Chorus, Computer, Culture, Dance, Debate, Driver's Ed, Edison Spirit, Environment, Glamour Gals, Guitar, Leadership, Leadership Council, Magazine, Math Team, National Honor Society, Newspaper, New York State Science Honor Society, Peer Helpers, Peer Mediation and Negotiation, Peer Tutoring, Physics, Poetry, Robotics Team, SkillsUSA, Sound and Stage, Step, Student Council, Student Union, Teens at Service, Video/Film, Web Design Club, Women in Tech, Yearbook",Y,Yes-10,Open to New York City residents,English as a New Language,38.0,,9 to 12,,845.0,
212-737-1530,,tuhs.nyc,,,,1014420001.0,1.0,,"Partners: American Folk Art Museum, Buffalo State, ETA, Park Avenue Armory, Roundabout Theatre, TDF, Tribeca Film Institute, UCB, Western Wind",Performing Arts,,,Audition,Audition,,N,,,,,,1.0,,,,,145,N,,,Course Grades: Average (73-100),,,,Yes-2,,,229.0,,,Open to New York City residents,401,,,,,,,,"A cappella, Art, Cabaret, Caribbean Dance, Chamber Music, Chess, Debate, Film, Gay Straight Alliance, Gospel Choir, Hip Hop, Journalism, Lend-A-Hand, Math, Men's Dance, Poetry, Roadrunners, Step, Student Directed Musical, Student Government, Tech Crew, TU Newsletter, Writers and Performers, Yearbook",,Yes-1,,English as a New Language,6.0,,9 to 12,,259.0,
212-567-3164,,schools.nyc.gov/SchoolSearch,,1.0,,1021720016.0,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,Y,,,Punctuality,,,,Yes-5,,,1546.0,,,Priority to continuing 8th graders,,,,,,,,Then to Manhattan students or residents,,,,,English as a New Language,,,6 to 12,,,
718-265-0329,,RachelCarsonhs.org,,,,3072500025.0,,,We offer a Science Research class through which students design and execute their own experiments and compete in science competitions,Environmental Science,,,,,,,,,,,,,,,,,,N,,,,,,,Yes-12,,,241.0,,,Priority to Brooklyn students or residents,,,,,,,,Then to New York City residents,"After-School Tutoring, Drama, GSA (LBGTQ Club), Leadership, NY Aquarium Internships, Saturday Program, Student Council",,,,English as a New Language,,,9 to 12,,,
718-538-9726,,schools.nyc.gov/SchoolSearch,,,,2029250001.0,,,Spark House (10th grade): poetry and social justice course empowers scholars to write and perform original poems about topics that interest them.,Humanities & Interdisciplinary,,,,,,,,,,,,,Stunt,,,,,N,,,,,,,No,,,345.0,,,Priority to Bronx students or residents,,,,,,,,Then to New York City residents,"Athletics, Art, Book Club, Chess, Chorus, Computer Science and Technology, Culinary Arts, Dance, Drama, Expanded Success Initiative (ESI) for Young Men, Film, Fitness, Homework Help, Media, National Honor Society, Peer Mediation, Scholar Ambassadors (Link Crew), Student Government, Video Game Club, Weight Lifting, Yearbook, Young Women's Leadership; After-school opportunities are seasonal and based on the interests of our Scholars.",,,,English as a New Language,,,9 to 12,,,
