fax_number,program8,grade9swdapplicants9,eligibility6,code9,eligibility2,grade9swdfilledflag4,offer_rate10,grade9swdapplicantsperseat3,grade9gefilledflag10,offer_rate9,grade9swdfilledflag9,requirement1_6,program3,seats1specialized,grade9swdapplicantsperseat7,seats9ge3,admissionspriority35,requirement3_9,admissionspriority42,nta,requirement4_10,auditioninformation2,neighborhood,end_time,admissionspriority44,requirement2_9,addtl_info1,requirement2_10,auditioninformation5,geoeligibility,pct_stu_safe,offer_rate5,grade9swdapplicantsperseat2,requirement4_6,grade9gefilledflag1,requirement2_6,census_tract,state_code,admissionspriority31,seats1010,method3,boro,grade9swdapplicants10,method9,seats9swd1,requirement1_1,grade9swdapplicants8,prgdesc9,grade9swdapplicants7,primary_address_line_1,admissionspriority26,seats103,grade9swdapplicants1,eligibility1,eligibility7,appperseat5specialized,seats106,psal_sports_girls,auditioninformation3,auditioninformation1,offer_rate3
718-333-7775,,,,,,,,,,,,,,,,,,,,Gravesend                                                                  ,,,Gravesend,2:29pm,,,College Trips; Internships; Multi-Session School; Summer Bridge Program,,,,0.82,,,,N,,306,NY,,,,K,,,14.0,,,,,2630 Benson Avenue,,,117.0,,,,,"Badminton, Basketball, Bowling, Flag Football, Soccer, Softball, Table Tennis, Volleyball",,,
718-596-9434,,,,,,Y,,8,,,,,Electrical Installation and Practice,,,46,,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,,DUMBO-Downtown Brooklyn,2:40pm,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Internship Expected; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships,,,,0.79,,8,,Y,,13,NY,,,Screened,K,,,10.0,Attendance,,,,105 Tech Place,,Yes-15,181.0,,,,,"Basketball, Handball, Volleyball",,,
212-668-0635,,,,,Open only to Female-Identified students,,,,,,,,,,,,,,,Battery Park City-Lower Manhattan                                          ,,,Lower Manhattan,2:40pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,0.81,,1,,N,,9,NY,,,,M,,,10.0,We do not rank students for this program; all students will be selected randomly.,,,,26 Broadway,,,30.0,Open only to Female-Identified students,,,,,,,
718-597-1371,,,,,,,,,,,,,,,,,,,,Soundview-Castle Hill-Clason Point-Harding Park                            ,,,Castle Hill-Clason Point,3pm,,,College Trips; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Summer Bridge Program,,,,0.82,,,,N,,16,NY,,,,X,,,23.0,,,,,1980 Lafayette Avenue,,,86.0,,,,,"Badminton, Basketball, Indoor Track, Soccer, Softball, Tennis, Volleyball",,,
212-260-9657,,,,,,,,,,,,,,,,,,,,East Village                                                               ,,,East Village,3:30pm,,,College Trips; Community Service Expected; Extended Day Program; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Weekend Programs,,,,0.94,,,,Y,,34,NY,,,,M,,,15.0,Attendance,,,,420 East 12th Street,,,344.0,,,,,"Basketball, Soccer, Softball, Volleyball",,,
718-333-7725,,,,,,,,,,,,,,,,,,,,Gravesend                                                                  ,,,Gravesend,3:25pm,,,College Trips; Community Service Expected; Dress Code; Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Summer Orientation; Weekend Programs,,,,0.88,,,,N,,306,NY,,,,K,,,16.0,,,,,2630 Benson Avenue,,,103.0,,,,,"Badminton, Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Soccer, Softball, Table Tennis, Outdoor Track, Volleyball",,,
718-991-7872,,,,,,,,,,,,,,,,,,,,West Farms-Bronx River                                                     ,,,West Farms-Bronx River,5:30pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Year; Health Center; Internships; LYFE program; Saturday Programs,,,,0.94,,,,N,,56,NY,,,,X,,,23.0,,,,,1300 Boynton Avenue,,,47.0,"Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging, or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",,,,Softball,,,
212-737-2863,,,,,,N,,7,,,,,Dance: Ballet and Modern,,,22,,,,Lenox Hill-Roosevelt Island                                                ,,"Come prepared to sing from memory, in a medium tempo (A) Amazing Grace, Over the Rainbow, Silent Night, or The Star Spangled Banner; OR (B) a classical or musical theater selection. For the classical or musical theater selection applicants must bring the sheet music in the key in which they will sing. Applicants must sing with the provided accompanist. Applicants should be able to demonstrate both chest and head voice and will be asked to repeat vocal phrases in order to demonstrate rhythm, tonal memory and basic vocal technique. Ability to take direction will be strongly considered.",Lenox Hill,2:50pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; LYFE program; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Summer Orientation; Weekend Programs,,"Come prepared to demonstrate competence and agility on your instrument by playing a selection of medium difficulty. Applicants must bring their instruments and two copies of the sheet music. The following instrument/equipment will be provided: baritone sax, guitar amplifier, tuba, double bass, percussion (bring your own drumsticks and mallets). Applicants will be asked to play two scales from memory and sight-read excerpts.",,0.91,,9,,Y,,118,NY,,,Audition,M,,,4.0,Attendance,,,,317 East 67th Street,,Yes-3,32.0,,,,,"Basketball, Soccer, Volleyball","Come prepared to take class, learning ballet and modern dance combinations and performing them in small groups. Applicants will be evaluated on alignment, the ability to follow directions, musicality, strength, and stretch. Applicants are expected to wear dance clothes (leotards, footless tights and ballet shoes) and do NOT need to prepare a one minute dance.","Come prepared to (1) sing a memorized song from a Broadway musical; AND (2) present a memorized one-minute monologue from a published play or musical. Applicants must bring the sheet music in the key in which they will sing, hole-punched and must sing with the provided accompanist. Applicants may also be asked to repeat vocal phrases in order to demonstrate rhythm, tonal memory and basic vocal technique and/or replicate a dance combination. Ability to take direction will be strongly considered.",
718-991-6627,,,,,Open only to continuing eighth graders,,,,,,,,,,,,,,,Longwood                                                                   ,,,Longwood,2:35pm,,,College Trips; Dress Code; Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Uniform,,,,0.94,,N/A - continuing program,,Y,,131,NY,,,,X,,,17.0,,,,,800 Home Street,,,326.0,,,,,,,,
718-688-7206,,,,,Open only to continuing eighth graders,,,,,,,,,,,,,,,East New York                                                              ,,,Bergen Beach,3:38pm,,,College Trips; Community School; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program  (Credit Recovery); Extended Day Program (Tutoring); Health Center; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Orientation; Uniform; Weekend Programs,,,,0.88,,N/A - continuing program,,Y,,1070,NY,,,,K,,,11.0,,,,,1065 Elton Street,,,161.0,,,,,"Basketball, Bowling, Outdoor Track",,,
718-302-3726,,,,,,,,,,,,,,,,,,,,North Side-South Side                                                      ,,,Williamsburg,3:30pm,,,College Trips; Online Grading System; Summer Orientation,,,,0.85,,,,Y,,519,NY,,,,K,,,29.0,,,,,257 North 6th Street,,,294.0,,,,,"Basketball, Flag Football, Softball, Volleyball",,,
718-230-6262,,,,,,,,,,,,,,,,,,,,Crown Heights South                                                        ,,,Crown Heights South,2:35pm,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Internships; LYFE program; Online Grading System; Student Parent Orientation; Summer Orientation,,,,0.84,,,,N,,213,NY,,,,K,,,19.0,,,,,883 Classon Avenue,,,141.0,,,,,"Badminton, Basketball, Soccer, Softball, Volleyball",,,
718-968-1526,,,,,,,,,,,,,,,,,,,,Canarsie                                                                   ,,,Canarsie,2:39pm,,,College Trips; Community Service Expected; Dress Code; Online Grading System; Student Parent Orientation; Summer Bridge Program; Uniform,,,,0.72,,,,N,,950,NY,,,,K,,,24.0,,,,,6565 Flatlands Avenue,,,91.0,,,,,"Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Softball, Volleyball",,,
718-620-8161,,,,,Open only to continuing eighth graders,,,,,,,,,,,,,,,West Farms-Bronx River                                                     ,,,West Farms-Bronx River,2:55pm,,,College Trips; Dress Code; Extended Day Program; Extended Day Program (Credit Recovery); Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Uniform,,,,0.92,,N/A - continuing program,,Y,,56,NY,,,,X,,,17.0,We do not rank students for this program; all students will be selected randomly.,,,,1551 East 172nd Street,,,322.0,,,,,"Badminton, Basketball, Flag Football, Soccer, Volleyball",,,
718-888-7524,,,,,,,-48% of offers went to this group,,,-48% of offers went to this group,,,,,,,,,,Flushing                                                                   ,,,Flushing,2:37pm,,,College Trips; Community Service Expected; Dress Code; Internships; Saturday Programs; Student Parent Orientation; Summer Internships; Uniform,,,,0.8,-48% of offers went to this group,,,N,,1161,NY,,,,Q,,,21.0,,,,,35-01 Union Street,,,140.0,,,,,"Badminton, Basketball, Handball, Indoor Track, Soccer, Softball, Table Tennis, Volleyball, Wrestling",,,-48% of offers went to this group
718-266-5093&,,,,,,,,N/A - continuing program,,,,,Brooklyn Studio Secondary School for Current Students,,,N/A - continuing program,,,,Bensonhurst West                                                           ,,,Bensonhurst West,2:20pm,,,College Trips; Extended Day Program; Extended Day Program  (Credit Recovery); Extended Day Program (Tutoring); Online Grading System; Saturday Programs; Student Parent Orientation; Summer Orientation,,,,0.79,,20,,Y,,288,NY,Then to New York City residents,,For Continuing 8th Graders,K,,,6.0,,,,,8310 21st Avenue,,No,77.0,,,,,"Basketball, Bowling, Handball, Soccer, Softball",,,
718-968-4296,,,,,,,,,,,,,,,,,,,,Canarsie                                                                   ,,,Canarsie,2:25pm,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Summer Orientation; Weekend Programs,,,,0.77,,3,,N,,950,NY,,,,K,,,10.0,,,,,6565 Flatlands Avenue,,,66.0,,,,,"Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Softball, Volleyball",,,
718-658-1613,,,,,,,-100% of offers went to this group,,,-100% of offers went to this group,,,,,,,,,,Briarwood-Jamaica Hills                                                    ,,,Briarwood-Jamaica Hills,2:53pm,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Weekend Programs,,,,0.92,-100% of offers went to this group,,,Y,,452,NY,,,,Q,,,18.0,,,,,167-01 Gothic Drive,,,156.0,,,,,"Basketball, Bowling, Cross Country, Flag Football, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,,-100% of offers went to this group
718-381-0223,,,,,,,,,,,,,,,,,,,,Bushwick North                                                             ,,,Bushwick,2:35pm,,,College Trips; Community School; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; LYFE program; Online Grading System; Saturday Programs; Summer Bridge Program; Uniform; Weekend Programs,,,,0.8,,,,N,,435,NY,,,,K,,,19.0,We do not rank students for this program; all students will be selected randomly.,,,,400 Irving Avenue,,,65.0,,,,,"Basketball, Indoor Track, Softball, Volleyball",,,
718-969-5524,,,,,,,,,,,,,,,,,,,,Kew Gardens Hills                                                          ,,,Kew Gardens Hills,2:30pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Online Grading System; Saturday Programs; Student Parent Orientation,,,Open only to District 25 students/residents,0.82,,,,Y,,77908,NY,,,,Q,,,25.0,,,,,75-40 Parsons Boulevard,,,94.0,Open only to District 25 students or residents,,,,"Basketball, Cross Country, Soccer, Softball, Tennis, Volleyball",,,
212-787-1455,,,,,,,,,,,,,,,,,,,,Upper West Side                                                            ,,,Upper West Side,3pm,,,College Trips; Dress Code; Extended Day Program; Health Center; Internship Expected; Internships; LYFE program; Online Grading System; Student Parent Orientation; Summer Internships,,,,0.92,,,,N,,169,NY,,,,M,,,18.0,,,,,145 West 84th Street,,,71.0,,,,,"Basketball, Bowling, Soccer, Softball, Tennis, Volleyball",,,
718-629-1076,,,,,,,,,,,,,,,,,,,,Rugby-Remsen Village                                                       ,,,East Flatbush,3pm,,,College Trips; Community School; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program,,,,0.79,,,,N,,936,NY,,,,K,,,14.0,,,,,5800 Tilden Avenue,,,52.0,,,,,"Basketball, Bowling, Cross Country, Flag Football, Outdoor Track, Soccer, Swimming, Volleyball",,,
212-690-6805,,,,,,N,,6,,,,,The Academy of Engineering,,,85,Then to New York City residents,,,Manhattanville                                                             ,,,Manhattanville,2:20pm,,,College Trips; Community Service Expected; Health Center; Internships; Saturday Programs,,,,0.87,,6,,Y,,21703,NY,,,Screened,M,,,18.0,,,,,443 West 135th Street,,Yes-10,236.0,,,,,"Basketball, Lacrosse, Soccer, Softball, Swimming, Tennis, Volleyball, Wrestling",,,
212-865-9281,,,,,Open only to continuing eighth graders,,,,,,,,,,,,,,,Central Harlem South                                                       ,,,Central Harlem South,2:45pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Uniform; Weekend Programs,,,,0.74,,N/A - continuing program,,N,,218,NY,,,,M,,,13.0,Group Interview (on-site),,,,215 West 114th Street,,,141.0,,,,,"Basketball, Flag Football, Golf, Outdoor Track, Soccer, Softball, Volleyball",,,
212-517-5334,,,,,,,,,,,,,,,,,,,,Lenox Hill-Roosevelt Island                                                ,,,Lenox Hill,3:10pm,,,College Trips; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Internships; LYFE program; Online Grading System; Student Parent Orientation,,,,0.93,,,,Y,,118,NY,,,,M,,,19.0,,,,,317 East 67th Street,,,244.0,,,,,"Basketball, Soccer, Volleyball",,,
212-567-1825,,,,,,,,,,,,,,,,,,,,Marble Hill-Inwood                                                         ,,,Inwood,3:05pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,0.88,,,,Y,,291,NY,,,,M,,,14.0,,,,,650 Academy Street,,,227.0,,,,,"Badminton, Basketball",,,
718-736-7325,,,,,,,-98% of offers went to this group,,,-98% of offers went to this group,,Test: coding session (on-site),,,,,,,,Jamaica                                                                    ,,,Jamaica,2:40pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,0.87,-98% of offers went to this group,,,N,,480,NY,,,,Q,,,13.0,Test: coding session (on-site),,,,188-04 91st Avenue,,,114.0,,,,,"Basketball, Bowling, Indoor Track",,,-98% of offers went to this group
212-647-7416,,,,,,,,,,,,,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,,,Chelsea-Union Sq,3:20pm,,,College Trips; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Weekend Programs,,,,0.85,,,,N,,89,NY,,,,M,,,17.0,,,,,351 West 18th Street,,,98.0,,,,,"Basketball, Bowling, Softball, Tennis, Volleyball",,,
718-629-6162,,,,,,,,6,,,,,Science Institute,,,22,,,,Rugby-Remsen Village                                                       ,,,East Flatbush,4:15pm,,,College Trips; Community School; Dress Code; Extended Day Program; Extended Day Program  (Credit Recovery); Extended Day Program (Tutoring); Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,0.67,,9,,N,,936,NY,,,Ed. Opt.,K,,,19.0,,,,,5800 Tilden Avenue,,Yes-15,90.0,,,,,"Basketball, Bowling, Cross Country, Flag Football, Outdoor Track, Soccer, Swimming, Volleyball",,,
212-928-1309,,,,,,,,,,,,,,,,,,,,Washington Heights South                                                   ,,,Washington Heights S.,4pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Extended Year; Health Center; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,0.95,,2,,N,,251,NY,Then to New York City residents who have lived in the United States two years or fewer and whose home language is Spanish,,,M,,,19.0,Attendance,,,,501 West 165th Street,,,14.0,,,,,Volleyball,,,
212-580-0156,,,,,,,,,,,,,,,,,,,,Lincoln Square                                                             ,,,Lincoln Square,3:07pm,,,College Trips; Health Center; Internships,,,,0.92,,,,N,,151,NY,,,,M,,,18.0,,,,,122 Amsterdam Avenue,,,98.0,,,,,"Badminton, Basketball, Bowling, Flag Football, Handball, Indoor Track, Soccer, Softball, Volleyball, Wrestling",,,
718-381-9897,,,,,,,,,,,,,,,,,,,,Bushwick North                                                             ,,,Bushwick,3:45pm,,,College Trips; Community School; Extended Day Program; Extended Day Program (Tutoring); LYFE program; Online Grading System; Summer Bridge Program; Uniform,,,,0.84,,,,N,,435,NY,,,,K,,,19.0,,,,,400 Irving Avenue,,,95.0,,,,,"Basketball, Indoor Track, Softball, Volleyball",,,
718-466-6801,,,,,,,,,,,,,,,,,,,,Claremont-Bathgate                                                         ,,,Claremont-Bathgate,3:14pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Internships; Student Parent Orientation; Summer Orientation; Uniform,,,,0.86,,,,Y,,167,NY,,,,X,,,19.0,,,,,1595 Bathgate Avenue,,,281.0,,,,,"Basketball, Flag Football, Softball, Wrestling",,,
718,,,,,,,,,,,,,,,,,,,,Longwood                                                                   ,,,Longwood,3:55pm,,,College Trips; Community School; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,0.88,,,,N,,87,NY,,,,X,,,23.0,,,,,965 Longwood Avenue,,,105.0,,,,,"Basketball, Softball",,,
718-389-3724,,,,,,,-100% of offers went to this group,,,-100% of offers went to this group,,,,,,,,,,Hunters Point-Sunnyside-West Maspeth                                       ,,,Hunters Point-Sunnyside,2:40pm,,,Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Internships; Saturday Programs; Student Parent Orientation; Summer Internships; Uniform,,,,0.9,-100% of offers went to this group,,,Y,,179,NY,,,,Q,,,20.0,,,,,30-20 Thomson Avenue,,,207.0,,,,,"Basketball, Cross Country, Flag Football, Rugby, Soccer, Softball, Table Tennis, Volleyball",,,-100% of offers went to this group
718-992-4129,,,,,,,,,,,,,,,,,,,,East Concourse-Concourse Village                                           ,,,E. Concourse-Concourse Village,2:40pm,,,College Trips; Community Service Expected; Dress Code; Health Center; Internship Expected; Internships; LYFE program; Online Grading System; Student Parent Orientation; Summer Bridge Program; Uniform,,,,0.75,,,,Y,,225,NY,Then to New York City residents,,,X,,,17.0,Attendance,,,,240 East 172nd Street,,,207.0,,,,,"Basketball, Cross Country, Flag Football, Indoor Track, Outdoor Track, Softball, Volleyball, Wrestling",,,
718-243-0815,,,,,,N,,4,,,,,Dance,,,15,Then to New York City residents,,,Fort Greene                                                                ,,"Students must perform a song (classical, popular, or gospel) a cappella. Rhythm and tonal memory, improvisational skills, intonation, accuracy of pitch, breath support and diction will be tested.",Fort Greene,2:20pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program  (Credit Recovery); Internship Expected; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Uniform; Weekend Programs,,"Students must perform a prepared selection and two major scales. Sight reading, rhythm and tonal memory will be tested.",,0.85,-60% of offers went to this group,4,,N,,211,NY,Then to New York City residents,,Audition,K,,,4.0,Attendance,,,,101 Park Avenue,,Yes-5,32.0,,,,,"Basketball, Cross Country","Students will take part in an abbreviated dance class, in which they will do barre work, exercises center floor, practice movement across the floor and learn a short combination. Students must also have a 2 minute dance solo prepared, reflective of modern, jazz, ballet, or ethnic dance techniques. Leotard and tights for girls and white shirt black sweat pants for boys are required. Students must have their music on a CD or iPod.","Students must present a portfolio of 10-20 pieces of original work including still life, human figure and imaginative drawing. Students must be able to discuss their portfolio, artistic interests and area of study. Students must take an in-person drawing test.",-24% of offers went to this group
718-221-0645,,,,,Open only to Brooklyn students or residents,N/A - zoned program,,2,,,,,Institute for Career & Technical Education,,,124,,,,Crown Heights North                                                        ,,,Bedford-Stuyvesant,3:40pm,,,College Trips; Community School; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program  (Credit Recovery); Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,Open only to Brooklyn students/residents,0.81,,3,,N,,271,NY,,,Screened,K,,,5.0,Attendance,,,,1700 Fulton Street,,Yes-10,122.0,Open only to Brooklyn students or residents,,,,"Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Volleyball",,,
718-333-7675,,,,,,,,,,,,,,,,,,,,Gravesend                                                                  ,,,Gravesend,3:45pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program  (Credit Recovery); Extended Day Program (Tutoring); Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Uniform; Weekend Programs,,,,0.68,,,,N,,306,NY,,,,K,,,19.0,,,,,2630 Benson Avenue,,,83.0,,,,,"Badminton, Basketball, Bowling, Flag Football, Soccer, Softball, Table Tennis, Volleyball",,,
212-246-2913,,,,,,,,,,,,,,,,,,,,Clinton                                                                    ,,,Clinton,2:42pm,,,College Trips; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Uniform,,,,0.88,,,,Y,,127,NY,,,,M,,,21.0,,,,,439 West 49th Street,,,356.0,,,,,"Basketball, Flag Football, Soccer, Softball, Volleyball",,,
718-392-3443,,,,,,,,,,,,,,,,,,,,Hunters Point-Sunnyside-West Maspeth                                       ,,,Hunters Point-Sunnyside,3pm,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Orientation; Weekend Programs,,,,0.98,,,,Y,,179,NY,,,,Q,,,18.0,,,,,45-35 Van Dam Street,,,41.0,"Open only to New York City residents living in the United States four years or fewer and are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging, or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",,,,"Basketball, Golf, Soccer, Softball, Tennis, Volleyball",,,
