unnamed_column,unnamed_column_1,q45_in_how_many_of_your,q2_at_this_school_students,q30_there_is_at_least_one_1,q54_at_this_school_students,q58_if_you_are_a_student,q4_my_teachers_use_examples_1,q42_in_how_many_of_your_1,q57_if_you_are_a_student_1,q64_if_you_are_a_student,q27_in_how_many_of_your_1,q32_there_is_time_at_school_1,q62_if_you_are_a_student,q46_i_feel_safe_outside_around_1,q26_in_how_many_of_your_1,q17_in_how_many_of_your,q20_in_how_many_of_your_1,q60_if_you_are_a_student,q21_in_how_many_of_your,q65_if_you_are_a_student,q17_in_how_many_of_your_1,q18_in_how_many_of_your,q1_most_students_at_this_1,q28_i_m_learning_a_lot_in,q27_in_how_many_of_your,q60_if_you_are_a_student_1,q25_in_how_many_of_your_1,q12_during_this_school_year_1,q16_during_this_school_year,q52_at_this_school_students,q39_my_classes_at_this_school,q11_during_this_school_year_1,q65_if_you_are_a_student_1,q52_at_this_school_students_1,q23_in_how_many_of_your_1,q2_at_this_school_students_1,q44_in_how_many_of_your,q31_my_teachers_check_in_1,q62_if_you_are_a_student_1,q61_if_you_are_a_student_1,q37_most_students_treat_1
31R072,I.S. 072 Rocco Laurie,0.21,0.08,0.75,0.64,0.16,0.78,0.44,0.85,,0.56,0.52,,0.87,0.71,0.44,0.81,,0.14,,0.56,0.13,0.77,0.1,0.44,,0.68,0.92,0.55,0.76,0.24,0.79,,0.24,0.69,0.92,0.64,0.63,,,0.86
15K684,Millennium Brooklyn HS,0.17,0.06,0.87,0.93,,0.91,0.69,,0.21,0.74,0.77,0.24,0.98,0.76,0.35,0.87,0.07,0.09,0.25,0.65,0.11,0.98,0.15,0.26,0.93,0.7,0.96,0.4,0.94,0.12,0.75,0.75,0.06,0.83,0.94,0.28,0.81,0.76,0.8,0.97
75Q721,John F. Kennedy Jr. School,0.15,0.08,0.92,0.87,,0.91,0.65,,0.41,0.82,0.96,0.1,0.91,0.86,0.14,0.84,0.12,0.11,0.42,0.86,0.14,0.93,0.08,0.18,0.88,0.86,0.97,0.68,0.95,0.13,0.91,0.58,0.05,0.88,0.92,0.29,0.95,0.9,0.65,0.93
19K507,Performing Arts and Technology High School,0.15,0.06,0.86,0.77,,0.94,0.61,,0.16,0.57,0.82,0.18,0.81,0.73,0.34,0.77,0.08,0.2,0.2,0.66,0.17,0.88,0.1,0.43,0.92,0.8,0.92,0.43,0.85,0.15,0.7,0.8,0.15,0.78,0.94,0.44,0.81,0.82,0.84,0.9
22K207,P.S. 207 Elizabeth G. Leary,0.18,0.12,0.75,0.74,0.12,0.78,0.52,0.91,,0.53,0.49,,0.89,0.71,0.31,0.83,,0.09,,0.69,0.18,0.85,0.11,0.47,,0.75,0.93,0.43,0.82,0.17,0.75,,0.18,0.64,0.88,0.55,0.67,,,0.87
08X320,Pelham Lab High School,0.18,0.07,0.83,0.78,,0.91,0.58,,0.19,0.64,0.77,0.13,0.85,0.75,0.33,0.78,0.06,0.2,0.22,0.67,0.13,0.88,0.13,0.36,0.94,0.78,0.95,0.51,0.83,0.19,0.72,0.78,0.17,0.76,0.93,0.59,0.83,0.87,0.85,0.89
20K201,J.H.S. 201 The Dyker Heights,0.2,0.09,0.78,0.82,0.09,0.83,0.41,0.91,,0.58,0.58,,0.91,0.77,0.4,0.87,,0.12,,0.6,0.12,0.93,0.11,0.42,,0.71,0.96,0.54,0.88,0.18,0.83,,0.12,0.74,0.91,0.77,0.71,,,0.93
17K745,Brooklyn Institute for Liberal Arts,0.13,0.07,0.85,0.8,,0.91,0.61,,0.16,0.5,0.69,0.13,0.82,0.73,0.3,0.8,0.08,0.15,0.14,0.7,0.14,0.83,0.1,0.5,0.92,0.77,0.92,0.48,0.82,0.17,0.65,0.86,0.18,0.73,0.93,0.34,0.75,0.87,0.87,0.87
18K633,High School for Medical Professions,0.21,0.08,0.77,0.76,,0.89,0.53,,0.2,0.44,0.68,0.15,0.81,0.69,0.42,0.76,0.09,0.21,0.17,0.58,0.15,0.86,0.2,0.56,0.91,0.69,0.95,0.36,0.86,0.19,0.69,0.83,0.14,0.66,0.92,0.58,0.73,0.85,0.85,0.89
08X558,Westchester Square Academy,0.17,0.08,0.82,0.81,,0.82,0.55,,0.18,0.55,0.65,0.19,0.77,0.77,0.28,0.81,0.09,0.12,0.18,0.72,0.11,0.89,0.15,0.45,0.91,0.79,0.96,0.5,0.82,0.2,0.8,0.82,0.18,0.8,0.92,0.51,0.73,0.81,0.88,0.86
27Q210,J.H.S. 210 Elizabeth Blackwell,0.21,0.12,0.72,0.69,0.17,0.84,0.44,0.85,,0.49,0.51,,0.79,0.68,0.47,0.73,,0.19,,0.53,0.2,0.75,0.17,0.51,,0.66,0.91,0.47,0.76,0.29,0.73,,0.24,0.65,0.88,0.33,0.63,,,0.84
08X101,M.S. X101 Edward R. Byrne,0.2,0.06,0.75,0.73,0.09,0.79,0.5,0.89,,0.48,0.49,,0.96,0.64,0.37,0.81,,0.13,,0.63,0.13,0.9,0.09,0.52,,0.8,0.94,0.52,0.84,0.21,0.78,,0.16,0.71,0.94,0.51,0.61,,,0.93
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",0.2,0.12,0.86,0.8,,0.88,0.56,,0.07,0.65,0.81,0.06,0.91,0.79,0.34,0.86,0.07,0.14,0.06,0.66,0.11,0.83,0.15,0.35,0.93,0.87,0.93,0.58,0.82,0.19,0.74,0.94,0.18,0.92,0.88,0.51,0.82,0.94,0.97,0.91
17K546,High School for Public Service: Heroes of Tomorrow,0.17,0.08,0.9,0.75,,0.9,0.62,,0.17,0.6,0.7,0.14,0.91,0.75,0.34,0.82,0.07,0.18,0.16,0.66,0.14,0.87,0.15,0.4,0.93,0.77,0.95,0.42,0.84,0.13,0.67,0.84,0.16,0.85,0.92,0.43,0.82,0.86,0.88,0.92
24Q293,Civic Leadership Academy,0.22,0.05,0.82,0.9,,0.92,0.55,,0.19,0.59,0.67,0.18,0.91,0.75,0.36,0.8,0.1,0.14,0.21,0.64,0.14,0.95,0.18,0.41,0.9,0.73,0.96,0.41,0.93,0.16,0.75,0.79,0.07,0.82,0.95,0.61,0.77,0.82,0.85,0.95
01M450,East Side Community School,0.13,0.05,0.87,0.87,0.11,0.93,0.68,0.88,0.09,0.74,0.81,0.08,0.96,0.83,0.21,0.87,0.04,0.1,0.12,0.79,0.11,0.94,0.08,0.26,0.96,0.84,0.96,0.5,0.9,0.13,0.78,0.88,0.1,0.85,0.95,0.35,0.87,0.92,0.93,0.95
10X003,P.S. 3 Raul Julia Micro Society,0.2,0.02,0.74,0.77,0.16,0.9,0.54,0.87,,0.48,0.55,,0.77,0.63,0.45,0.68,,0.18,,0.55,0.24,0.78,0.15,0.52,,0.71,0.9,0.48,0.85,0.29,0.7,,0.15,0.69,0.98,0.6,0.63,,,0.88
08X561,Bronx Compass High School,0.22,0.07,0.88,0.83,,0.88,0.55,,0.16,0.58,0.78,0.17,0.84,0.74,0.37,0.78,0.09,0.17,0.2,0.63,0.14,0.87,0.19,0.42,0.91,0.74,0.94,0.58,0.85,0.16,0.8,0.8,0.15,0.74,0.93,0.66,0.8,0.83,0.84,0.95
75M169,P.S. M169 - Robert F. Kennedy,0.09,0.0,1.0,0.91,,1.0,0.64,,0.0,0.9,0.82,0.0,0.8,1.0,0.18,0.91,0.0,0.09,0.0,0.82,0.09,1.0,0.0,0.1,1.0,1.0,1.0,0.64,1.0,0.2,1.0,1.0,0.0,1.0,1.0,0.27,1.0,1.0,1.0,1.0
31R028,The Eagle Academy for Young Men of Staten Island,0.14,0.11,0.82,0.79,0.08,0.92,0.56,0.9,0.08,0.67,0.71,0.08,0.83,0.79,0.28,0.8,0.06,0.16,0.14,0.72,0.14,0.82,0.08,0.33,0.94,0.79,0.95,0.58,0.76,0.19,0.79,0.86,0.24,0.8,0.89,0.4,0.83,0.92,0.87,0.87
02M312,New York City Lab Middle School for Collaborative Studies,0.14,0.05,0.79,0.91,0.11,0.89,0.66,0.88,,0.67,0.69,,0.91,0.77,0.31,0.91,,0.08,,0.69,0.11,0.97,0.07,0.33,,0.74,0.98,0.5,0.95,0.1,0.84,,0.05,0.81,0.95,0.28,0.69,,,0.98
02M475,Stuyvesant High School,0.2,0.1,0.75,0.86,,0.84,0.85,,0.16,0.51,0.54,0.22,0.95,0.65,0.37,0.85,0.06,0.12,0.22,0.63,0.16,0.97,0.13,0.49,0.94,0.58,0.96,0.24,0.92,0.08,0.65,0.78,0.08,0.66,0.9,0.27,0.57,0.78,0.88,0.96
24Q236,International High School for Health Sciences,0.16,0.07,0.89,0.92,,0.96,0.34,,0.13,0.72,0.85,0.13,0.88,0.86,0.26,0.77,0.1,0.1,0.09,0.74,0.12,0.93,0.1,0.28,0.9,0.85,0.94,0.42,0.93,0.2,0.85,0.91,0.07,0.86,0.93,0.27,0.9,0.88,0.89,0.93
27Q262,Channel View School for Research,0.18,0.07,0.79,0.76,0.13,0.86,0.49,0.9,0.21,0.51,0.6,0.16,0.89,0.71,0.4,0.78,0.05,0.14,0.23,0.6,0.13,0.86,0.13,0.49,0.95,0.73,0.94,0.48,0.82,0.21,0.72,0.77,0.18,0.79,0.93,0.41,0.69,0.84,0.84,0.91
20K180,The SEEALL Academy,0.2,0.11,0.74,0.83,0.12,0.78,0.42,0.88,,0.56,0.51,,0.92,0.72,0.45,0.83,,0.12,,0.55,0.15,0.93,0.1,0.44,,0.68,0.96,0.54,0.91,0.18,0.85,,0.09,0.72,0.89,0.46,0.66,,,0.91
28Q157,J.H.S. 157 Stephen A. Halsey,0.16,0.11,0.75,0.79,0.13,0.87,0.52,0.9,0.11,0.58,0.55,0.0,0.91,0.74,0.35,0.88,0.2,0.11,0.33,0.65,0.13,0.91,0.09,0.42,0.8,0.73,0.95,0.55,0.86,0.17,0.81,0.67,0.14,0.74,0.89,0.44,0.69,1.0,0.8,0.92
28Q358,M.S. 358,0.1,0.0,0.88,0.95,0.1,0.98,0.42,0.93,,0.73,0.83,,0.9,0.81,0.16,0.88,,0.12,,0.84,0.16,0.95,0.05,0.27,,0.88,1.0,0.75,0.88,0.05,0.95,,0.12,0.91,1.0,0.42,0.88,,,0.9
22K535,Leon M. Goldstein High School for the Sciences,0.08,0.0,0.92,0.92,,0.91,0.5,,0.2,0.75,0.67,0.17,1.0,0.83,0.25,0.83,0.0,0.08,0.33,0.75,0.17,1.0,0.08,0.25,1.0,0.75,0.92,0.58,1.0,0.25,0.83,0.67,0.0,0.83,1.0,0.5,0.92,0.83,0.83,0.92
28Q190,J.H.S. 190 Russell Sage,0.24,0.13,0.69,0.67,0.14,0.75,0.5,0.86,,0.47,0.43,,0.85,0.66,0.5,0.79,,0.15,,0.5,0.17,0.83,0.13,0.53,,0.63,0.91,0.46,0.81,0.27,0.78,,0.19,0.67,0.87,0.52,0.58,,,0.89
26Q435,Martin Van Buren High School,0.2,0.07,0.85,0.78,,0.84,0.56,,0.11,0.55,0.65,0.12,0.89,0.7,0.35,0.77,0.07,0.18,0.12,0.65,0.12,0.9,0.18,0.45,0.93,0.72,0.95,0.43,0.86,0.17,0.73,0.88,0.14,0.83,0.93,0.55,0.76,0.88,0.92,0.91
11X355,Bronx Alliance Middle School,0.17,0.16,0.82,0.74,0.12,0.9,0.47,0.86,,0.55,0.74,,0.85,0.7,0.4,0.68,,0.23,,0.6,0.26,0.81,0.11,0.45,,0.73,0.9,0.59,0.75,0.24,0.81,,0.25,0.71,0.84,0.36,0.78,,,0.81
12X267,Bronx Latin,0.22,0.08,0.87,0.8,0.14,0.87,0.52,0.89,0.22,0.63,0.84,0.2,0.91,0.74,0.31,0.79,0.04,0.17,0.17,0.69,0.15,0.86,0.11,0.37,0.96,0.78,0.98,0.45,0.84,0.26,0.76,0.83,0.16,0.81,0.92,0.46,0.87,0.8,0.82,0.91
15K442,M.S. 442 Carroll Gardens School for Innovation,0.17,0.05,0.8,0.86,0.15,0.89,0.49,0.83,,0.68,0.62,,0.92,0.69,0.32,0.85,,0.14,,0.68,0.16,0.93,0.1,0.32,,0.8,0.94,0.56,0.89,0.19,0.83,,0.11,0.78,0.95,0.36,0.71,,,0.97
84K807,Collegiate Academy for Mathematics and Personal Awareness Charter School,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,0.0,1.0,,0.0,,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.96,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0,,,1.0
05M304,Mott Hall High School,0.35,0.06,0.84,0.69,,0.9,0.55,,0.23,0.54,0.62,0.24,0.76,0.7,0.42,0.67,0.13,0.25,0.26,0.58,0.32,0.87,0.25,0.46,0.87,0.66,0.84,0.46,0.71,0.31,0.67,0.74,0.29,0.68,0.94,0.55,0.7,0.76,0.83,0.86
30Q011,P.S. 011 Kathryn Phelan,0.11,0.0,0.85,0.76,0.14,0.94,0.46,0.76,,0.65,0.69,,0.97,0.77,0.34,0.79,,0.06,,0.66,0.11,0.86,0.08,0.35,,0.8,0.96,0.66,0.86,0.14,0.93,,0.14,0.79,1.0,0.46,0.75,,,0.91
05M499,Frederick Douglass Academy,0.28,0.13,0.76,0.66,0.06,0.83,0.56,0.91,0.16,0.38,0.51,0.19,0.86,0.59,0.48,0.72,0.06,0.23,0.23,0.52,0.2,0.81,0.19,0.62,0.94,0.66,0.89,0.45,0.75,0.2,0.67,0.77,0.25,0.65,0.87,0.63,0.56,0.81,0.89,0.88
13K616,Brooklyn High School for Leadership and Community Service,0.05,0.05,1.0,0.81,,0.95,0.52,,0.0,0.95,1.0,0.0,0.94,0.95,0.1,0.95,0.0,0.05,0.0,0.9,0.05,1.0,0.0,0.05,1.0,1.0,0.95,0.58,0.95,0.05,1.0,1.0,0.05,1.0,0.95,0.25,1.0,1.0,1.0,0.95
09X564,Claremont International HS,0.14,0.15,0.81,0.88,,0.93,0.38,,0.15,0.72,0.82,0.11,0.82,0.83,0.26,0.72,0.07,0.15,0.17,0.74,0.17,0.91,0.1,0.28,0.93,0.85,0.86,0.64,0.88,0.21,0.89,0.83,0.12,0.82,0.85,0.3,0.83,0.89,0.9,0.82
75X754,J. M. Rapport School Career Development,0.1,0.29,0.97,0.79,,0.85,0.59,,0.14,0.87,0.93,0.03,0.9,0.73,0.2,0.77,0.1,0.23,0.18,0.8,0.1,0.79,0.07,0.13,0.9,0.9,0.86,0.56,0.72,0.17,0.93,0.82,0.28,0.93,0.71,0.41,0.87,0.97,0.75,0.93
09X594,M.S. 594,0.09,0.08,0.83,0.8,0.06,0.89,0.55,0.96,,0.66,0.74,,0.84,0.78,0.31,0.8,,0.14,,0.69,0.15,0.88,0.1,0.34,,0.82,0.94,0.61,0.86,0.33,0.87,,0.14,0.8,0.92,0.36,0.8,,,0.89
02M303,"Facing History School, The",0.14,0.05,0.86,0.84,,0.89,0.49,,0.25,0.66,0.82,0.22,0.91,0.8,0.29,0.79,0.1,0.19,0.29,0.71,0.15,0.89,0.12,0.34,0.9,0.81,0.96,0.55,0.84,0.14,0.85,0.71,0.16,0.84,0.95,0.44,0.81,0.78,0.77,0.91
31R034,I.S. 034 Tottenville,0.2,0.05,0.83,0.77,0.09,0.8,0.58,0.91,,0.58,0.51,,0.93,0.71,0.38,0.83,,0.14,,0.62,0.15,0.89,0.15,0.42,,0.71,0.94,0.6,0.85,0.19,0.81,,0.15,0.67,0.95,0.7,0.66,,,0.91
30Q300,The 30th Avenue School (G&T Citywide),0.11,0.1,0.83,0.88,0.09,0.83,0.68,0.92,,0.65,0.8,,0.91,0.74,0.23,0.9,,0.09,,0.77,0.17,0.93,0.05,0.35,,0.85,0.97,0.42,0.99,0.13,0.85,,0.01,0.81,0.9,0.14,0.81,,,0.98
84K626,Achievement First Brownsville Charter School,0.26,0.03,0.78,0.77,0.07,0.9,0.45,1.0,0.3,0.54,0.64,0.16,0.65,0.69,0.26,0.8,0.09,0.22,0.32,0.74,0.18,0.85,0.11,0.46,0.91,0.77,0.91,0.58,0.83,0.15,0.69,0.68,0.17,0.71,0.97,0.64,0.68,0.84,0.84,0.92
06M223,The Mott Hall School,0.16,0.03,0.82,0.87,0.07,0.91,0.52,0.95,,0.61,0.58,,0.93,0.85,0.29,0.86,,0.1,,0.71,0.15,0.97,0.05,0.39,,0.8,0.97,0.51,0.93,0.14,0.8,,0.07,0.79,0.97,0.44,0.77,,,0.98
09X252,Mott Hall Bronx High School,0.15,0.09,0.86,0.75,,0.88,0.57,,0.15,0.57,0.74,0.15,0.8,0.77,0.33,0.73,0.06,0.21,0.18,0.67,0.24,0.85,0.18,0.43,0.94,0.79,0.93,0.36,0.82,0.2,0.69,0.82,0.18,0.79,0.91,0.26,0.81,0.85,0.85,0.91
14K614,Young Women's Leadership School of Brooklyn,0.14,0.08,0.81,0.75,0.27,0.87,0.6,0.83,0.11,0.59,0.76,0.14,0.77,0.72,0.33,0.73,0.05,0.19,0.13,0.67,0.13,0.86,0.17,0.41,0.95,0.75,0.89,0.4,0.92,0.23,0.63,0.88,0.08,0.79,0.92,0.42,0.77,0.86,0.91,0.92
18K576,Victory Collegiate High School,0.27,0.2,0.8,0.72,,0.85,0.54,,0.27,0.38,0.49,0.17,0.75,0.6,0.52,0.64,0.15,0.29,0.2,0.48,0.23,0.78,0.24,0.63,0.85,0.65,0.85,0.48,0.79,0.23,0.63,0.8,0.21,0.64,0.8,0.55,0.65,0.83,0.82,0.86
12X388,Pan American International High School at Monroe,0.12,0.07,0.93,0.9,,0.96,0.54,,0.08,0.79,0.91,0.06,0.89,0.86,0.21,0.8,0.05,0.09,0.05,0.79,0.14,0.95,0.04,0.21,0.95,0.94,0.95,0.51,0.9,0.25,0.9,0.95,0.1,0.9,0.93,0.2,0.93,0.94,0.93,0.91
17K002,Parkside Preparatory Academy,0.22,0.18,0.75,0.71,0.17,0.89,0.48,0.86,,0.49,0.68,,0.81,0.65,0.46,0.71,,0.22,,0.54,0.26,0.75,0.12,0.51,,0.66,0.92,0.57,0.73,0.3,0.73,,0.27,0.58,0.82,0.49,0.69,,,0.82
84X346,South Bronx Classical Charter School,0.0,0.0,1.0,0.86,0.14,1.0,0.5,1.0,,1.0,1.0,,1.0,1.0,0.0,1.0,,0.14,,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.57,0.83,0.17,1.0,,0.17,1.0,1.0,0.17,1.0,,,1.0
75K721,P.S. K721 - Brooklyn Occupational Training Center,0.13,0.05,0.91,0.84,,0.91,0.59,,0.52,0.85,0.91,0.1,0.89,0.85,0.14,0.86,0.17,0.14,0.49,0.86,0.14,0.93,0.07,0.15,0.83,0.89,0.94,0.67,0.89,0.09,0.92,0.51,0.11,0.83,0.95,0.24,0.93,0.9,0.57,0.93
02M531,Repertory Company High School for Theatre Arts,0.13,0.06,0.87,0.82,,0.91,0.6,,0.27,0.6,0.77,0.15,1.0,0.75,0.45,0.82,0.07,0.08,0.17,0.55,0.12,0.96,0.19,0.4,0.93,0.73,0.97,0.37,0.98,0.15,0.64,0.83,0.02,0.75,0.94,0.23,0.68,0.85,0.87,0.97
21K690,Brooklyn Studio Secondary School,0.21,0.06,0.84,0.76,0.13,0.85,0.42,0.9,0.22,0.52,0.64,0.22,0.88,0.7,0.42,0.73,0.09,0.18,0.24,0.58,0.15,0.91,0.15,0.48,0.91,0.69,0.93,0.45,0.85,0.21,0.75,0.76,0.15,0.74,0.94,0.5,0.72,0.78,0.87,0.89
27Q297,Hawtree Creek Middle School,0.07,0.04,0.88,0.83,0.05,0.94,0.6,0.96,,0.73,0.8,,0.94,0.9,0.19,0.91,,0.07,,0.81,0.07,0.94,0.04,0.27,,0.89,0.98,0.6,0.89,0.1,0.85,,0.11,0.85,0.96,0.26,0.85,,,0.93
03M421,West Prep Academy,0.13,0.0,1.0,0.75,0.0,0.83,0.5,1.0,,0.71,1.0,,1.0,0.75,0.38,0.5,,0.25,,0.63,0.38,1.0,0.13,0.29,,0.75,1.0,0.57,0.88,0.13,1.0,,0.13,0.75,1.0,0.63,1.0,,,0.88
29Q498,Humanities & Arts Magnet High School,0.18,0.03,0.69,0.73,,0.87,0.45,,0.15,0.42,0.66,0.17,0.82,0.64,0.47,0.72,0.09,0.19,0.19,0.53,0.18,0.86,0.2,0.58,0.91,0.67,0.94,0.44,0.86,0.23,0.67,0.81,0.14,0.7,0.97,0.6,0.65,0.83,0.88,0.91
01M515,Lower East Side Preparatory High School,0.11,0.06,0.94,0.89,,0.97,0.37,,0.04,0.82,0.92,0.04,0.91,0.85,0.27,0.85,0.02,0.12,0.05,0.73,0.15,0.95,0.03,0.18,0.98,0.87,0.96,0.54,0.89,0.13,0.95,0.95,0.11,0.84,0.94,0.27,0.93,0.96,0.96,0.92
03M149,P.S. 149 Sojourner Truth,0.19,0.09,0.86,0.68,0.09,0.86,0.58,0.89,,0.61,0.69,,0.83,0.77,0.38,0.78,,0.06,,0.62,0.28,0.72,0.08,0.39,,0.78,0.88,0.65,0.68,0.33,0.83,,0.32,0.81,0.91,0.31,0.81,,,0.73
23K323,P.S./I.S. 323,0.15,0.09,0.82,0.72,0.1,0.88,0.47,0.91,,0.62,0.69,,0.81,0.82,0.29,0.81,,0.14,,0.71,0.21,0.74,0.08,0.38,,0.8,0.97,0.66,0.82,0.17,0.81,,0.18,0.82,0.91,0.54,0.82,,,0.82
25Q540,Queens Academy High School,0.17,0.0,0.92,0.96,,0.94,0.38,,0.11,0.75,0.75,0.04,1.0,0.83,0.42,0.83,0.04,0.13,0.12,0.58,0.13,0.83,0.13,0.25,0.96,0.92,0.96,0.35,0.96,0.25,0.83,0.88,0.04,0.92,1.0,0.67,0.96,0.96,0.88,0.88
15K529,West Brooklyn Community High School,0.09,0.0,0.91,0.85,,1.0,0.38,,0.07,0.85,0.91,0.09,1.0,0.94,0.12,0.91,0.12,0.03,0.04,0.88,0.0,0.97,0.06,0.15,0.88,0.97,0.97,0.56,0.94,0.09,0.94,0.96,0.06,1.0,1.0,0.5,0.97,0.91,0.88,0.97
22K078,J.H.S. 078 Roy H. Mann,0.12,0.06,0.84,0.77,0.07,0.88,0.48,0.94,,0.62,0.68,,0.91,0.8,0.35,0.78,,0.11,,0.65,0.12,0.88,0.06,0.38,,0.76,0.96,0.65,0.88,0.17,0.89,,0.12,0.72,0.94,0.77,0.73,,,0.87
84K724,Leadership Prep Canarsie Charter School (Leadership Prep CS 4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84M430,The Equity Project Charter School (TEP),0.1,0.05,0.89,0.76,0.07,0.92,0.66,0.96,,0.75,0.83,,0.91,0.87,0.15,0.9,,0.09,,0.85,0.12,0.89,0.04,0.25,,0.9,0.96,0.56,0.85,0.13,0.86,,0.15,0.88,0.95,0.23,0.78,,,0.94
06M463,High School for Media and Communications,0.14,0.06,0.92,0.84,,0.93,0.51,,0.08,0.74,0.84,0.08,0.87,0.81,0.27,0.79,0.03,0.15,0.07,0.73,0.12,0.84,0.1,0.26,0.97,0.84,0.94,0.54,0.87,0.21,0.88,0.93,0.13,0.86,0.94,0.43,0.86,0.92,0.94,0.89
84K648,Bedford Stuyvesant Collegiate Charter School,0.09,0.1,0.93,0.78,0.08,0.93,0.6,0.9,,0.56,0.76,,0.83,0.83,0.31,0.84,,0.11,,0.69,0.15,0.92,0.13,0.44,,0.84,0.93,0.52,0.88,0.19,0.81,,0.12,0.83,0.9,0.63,0.84,,,0.94
16K308,P.S. 308 Clara Cardwell,0.1,0.0,0.78,0.65,0.08,0.94,0.6,0.97,,0.62,0.78,,0.62,0.88,0.28,0.8,,0.15,,0.73,0.1,0.66,0.13,0.38,,0.8,0.82,0.49,0.73,0.23,0.87,,0.28,0.85,1.0,0.4,0.83,,,0.83
25Q281,East-West School of International Studies,0.16,0.06,0.75,0.85,0.1,0.87,0.47,0.89,0.17,0.55,0.64,0.25,0.88,0.73,0.38,0.85,0.11,0.13,0.25,0.62,0.2,0.94,0.1,0.45,0.89,0.73,0.95,0.44,0.92,0.14,0.77,0.75,0.08,0.77,0.94,0.37,0.75,0.75,0.83,0.96
23K522,Mott Hall IV,0.08,0.03,0.83,0.74,0.1,0.9,0.69,0.96,,0.7,0.77,,0.85,0.86,0.23,0.89,,0.08,,0.77,0.09,0.84,0.05,0.3,,0.81,0.92,0.66,0.81,0.18,0.84,,0.19,0.77,0.97,0.27,0.85,,,0.87
08X371,Urban Institute of Mathematics,0.19,0.04,0.79,0.73,0.15,0.8,0.47,0.87,,0.58,0.55,,0.88,0.72,0.32,0.82,,0.11,,0.68,0.14,0.85,0.08,0.42,,0.83,0.95,0.55,0.83,0.16,0.82,,0.17,0.79,0.96,0.55,0.76,,,0.88
09X329,DreamYard Preparatory School,0.1,0.09,0.91,0.81,,0.91,0.44,,0.13,0.66,0.75,0.15,0.91,0.81,0.28,0.8,0.08,0.19,0.12,0.72,0.12,0.88,0.15,0.34,0.92,0.8,0.94,0.45,0.88,0.16,0.76,0.88,0.12,0.84,0.91,0.53,0.82,0.85,0.88,0.91
09X215,Kappa,0.1,0.08,0.74,0.73,0.09,0.9,0.48,0.9,,0.61,0.68,,0.77,0.82,0.34,0.8,,0.12,,0.66,0.14,0.83,0.15,0.39,,0.81,0.93,0.54,0.86,0.26,0.78,,0.14,0.8,0.92,0.57,0.83,,,0.82
03M402,The Urban Assembly School for Green Careers,0.17,0.02,0.86,0.85,,0.86,0.5,,0.19,0.65,0.73,0.15,0.91,0.84,0.33,0.67,0.07,0.22,0.16,0.67,0.14,0.95,0.26,0.35,0.93,0.85,0.93,0.63,0.89,0.16,0.77,0.84,0.11,0.84,0.98,0.14,0.86,0.85,0.83,0.94
01M332,University Neighborhood Middle School,0.16,0.04,0.8,0.83,0.12,0.9,0.53,0.9,,0.72,0.77,,0.95,0.77,0.4,0.81,,0.11,,0.6,0.15,0.86,0.17,0.28,,0.8,0.95,0.58,0.9,0.17,0.79,,0.1,0.79,0.96,0.42,0.83,,,0.9
18K566,Brooklyn Community High School for Excellence and Equity,0.17,0.06,0.85,0.81,,0.84,0.47,,0.05,0.7,0.81,0.06,0.78,0.83,0.33,0.85,0.04,0.13,0.07,0.67,0.11,0.96,0.11,0.3,0.96,0.81,0.98,0.5,0.83,0.17,0.8,0.93,0.17,0.89,0.94,0.59,0.91,0.94,0.96,0.92
27Q146,P.S. 146 Howard Beach,0.2,0.1,0.8,0.71,0.1,0.79,0.47,0.9,,0.63,0.62,,0.9,0.66,0.48,0.81,,0.12,,0.52,0.18,0.87,0.07,0.37,,0.75,0.95,0.57,0.84,0.24,0.77,,0.16,0.72,0.9,0.49,0.73,,,0.86
09X350,New Directions Secondary School,0.24,0.1,0.92,0.83,,0.92,0.64,,0.19,0.67,0.6,0.15,0.85,0.67,0.33,0.89,0.12,0.19,0.22,0.67,0.15,0.95,0.0,0.33,0.88,0.85,0.89,0.5,0.84,0.19,0.89,0.78,0.16,0.85,0.9,0.68,0.81,0.85,0.84,0.92
75Q752,Queens Transition Center,0.2,0.07,0.87,0.54,,1.0,0.4,,0.33,0.81,0.87,0.13,0.92,0.88,0.19,0.88,0.13,0.12,0.22,0.81,0.19,1.0,0.07,0.19,0.87,0.75,1.0,0.5,0.73,0.2,0.88,0.78,0.27,0.94,0.93,0.33,0.87,0.87,0.79,0.93
27Q351,Rockaway Collegiate High School,0.2,0.02,0.86,0.74,,0.81,0.51,,0.25,0.59,0.62,0.17,0.85,0.74,0.37,0.74,0.11,0.21,0.26,0.63,0.14,0.78,0.19,0.41,0.89,0.8,0.95,0.59,0.77,0.21,0.76,0.74,0.23,0.87,0.98,0.52,0.74,0.83,0.8,0.88
