schooldbn,locationname,phone,nyceec_others_some,bin,programname2,programname3,rezoning,prek_type,programcode2,singlegender,enhancedlang_note,community_board,council_district,postcode,hours,district_zonedsib,nta,pkc_outdistrict_all,nyceec_services_some,bus,accessibility,lpga,nyceec_current_all
01MAQA,Virginia Day Nursery,212-228-5220,,1077538.0,,,,NYCEEC,,,,3.0,2.0,10009.0,Contact program,,Lower East Side                                                            ,,,"M14A, M14D, M21, M8, M9",Contact program,,x
07X161,P.S. 161 Juan Ponce De Leon School,718-292-5478,,2004773.0,Spanish Dual Language Program,,,District School,07X161FDPKSP,,,1.0,8.0,10455.0,8am-2:20pm,,Melrose South-Mott Haven North                                             ,,,"Bx17, Bx19, Bx4, Bx46, Bx4A",Not Accessible,"Last year, this program admitted students from all priority groups.",
18K279,P.S. 279 Herman Schreiber,718-444-4316,,3326733.0,,,,District School,,,,18.0,46.0,11236.0,Contact program,x,Canarsie                                                                   ,,,"B103, B17, B42, B6, B60, B82, BM2",Partially Accessible,,
02M150,P.S. 150,212-732-4392,,1083240.0,,,,District School,,,,1.0,1.0,10013.0,Contact program,,SoHo-TriBeCa-Civic Center-Little Italy                                     ,,,"BM1, BM2, BM3, BM4, BxM18, M103, M20, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X15, X17, X17A, X19, X27, X28, X3, X4, X7, X8, X9",Not Accessible,"Last year, this program admitted siblings of current students and some other in-district students.",
04M096,P.S. 96 Joseph Lanzett a,212-860-5851,,1074333.0,Spanish Dual Language Program,,,District School,04M096FDPKSP,,,11.0,8.0,10035.0,Contact program,x,East Harlem North                                                          ,,,"Bx15, BxM10, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M100, M101, M102, M103, M116, M15, M15-SBS, M35, M60-SBS, M98",Not Accessible,,
09XANV,Highbridge Advisory Council Doris East Stone Day Care,718-681-5888,,2095219.0,,,,NYCEEC,,,,4.0,16.0,10452.0,Contact program,,Highbridge                                                                 ,,,"Bx11, Bx13, Bx18, Bx35",Contact program,,x
05M154,P.S. 154 Harriet Tubman,212-864-2400,,1058671.0,,,,District School,,,,10.0,9.0,10027.0,8am-2:20pm,x,Central Harlem North-Polo Grounds                                          ,,,"Bx15, Bx33, BxM3, BxM4, M1, M10, M100, M101, M102, M104, M11, M2, M3, M60-SBS, M7",Not Accessible,,
11XABM,Holy Rosary School,718-652-1838,,2054563.0,,,,NYCEEC,,,,11.0,13.0,10469.0,Contact program,,Allerton-Pelham Gardens                                                    ,,,"Bx12-SBS, Bx26, Bx28, Bx31, Bx38, BxM10, Q50",Contact program,,x
13KBVZ,Little Sun People,718-789-7330,,3329709.0,,,,NYCEEC,,,,3.0,36.0,11216.0,9am-3:20pm,,Crown Heights North                                                        ,,,"B15, B25, B26, B43, B44, B44-SBS, B49, B52, B65",Contact program,,x
21K177,P.S. 177 The Marlboro,718-375-9506,,3175834.0,,,,District School,,,,11.0,44.0,11204.0,Contact program,x,Bensonhurst East                                                           ,,,"B82, B9",Not Accessible,,
20KBIS,"Yeled V'Yalda ECC, Inc.",718-514-8980,,3125932.0,,,,NYCEEC,,Single-gender program (Girls only),,12.0,39.0,11218.0,Contact program,,Kensington-Ocean Parkway                                                   ,,,"B103, B16, B35, B67",Contact program,,
10XAOL,St. Nicholas of Tolentine Head Start,718-364-7608,,2095380.0,,,,NYCEEC,,,,7.0,14.0,10468.0,Contact program,,Kingsbridge Heights                                                        ,,,"Bx12, Bx12-SBS, Bx2, Bx3, Bx32, BxM3",Contact program,,
08XANK,Just 4 Kids Kiddie Kollege,917-995-8041,,2086994.0,,,,NYCEEC,,,,9.0,18.0,10473.0,8am-2:20pm,,Soundview-Castle Hill-Clason Point-Harding Park                            ,,,"Bx22, Bx36, Bx39, Bx5, BxM8, Q44-SBS",Contact program,,x
08X069,P.S. 69 Journey Prep School,718-378-4736,,2021482.0,,,,District School,,,,9.0,18.0,10473.0,Contact program,x,Soundview-Castle Hill-Clason Point-Harding Park                            ,,,"Bx27, Bx36, Bx39, Bx5",Not Accessible,,
15KBMU,ACE Early Childhood Center,347-377-5026,,3023430.0,,,,NYCEEC,,,,6.0,39.0,11215.0,9am-3:20pm,,Park Slope-Gowanus                                                         ,,,"B103, B37, B61, B63, B67, X28",Contact program,,x
05MAWW,Urban Concepts/Round the Clock,212-234-1870,,1000000.0,,,,NYCEEC,,,,,,,Contact program,,                                                                           ,,,"Bx15, Bx19, Bx33, M100, M101, M104, M11, M3, M4, M5, M60-SBS",Contact program,,x
10x226,P.S. 226,718-583-5560,,2096465.0,Spanish Dual Language Program,,,District School,10X226FDPKSP,,,5.0,14.0,10453.0,8am-2:20pm,x,University Heights-Morris Heights                                          ,,,"Bx12, Bx12-SBS, Bx18, Bx3, Bx32, Bx36, Bx40, Bx42, M100, M101",Fully Accessible,,
07XAMR,Iola Jordan Day Care,718-402-4166,,2001505.0,,,,NYCEEC,,,,3.0,17.0,10451.0,Contact program,,Morrisania-Melrose                                                         ,,,"Bx13, Bx15, Bx21, Bx32, Bx35, Bx41, Bx41-SBS, Bx6",Contact program,,x
04MATB,Children's Aid Society Taft Early Childhood Center,212-831-0556,,1080504.0,,,,NYCEEC,,,,11.0,9.0,10029.0,Contact program,,East Harlem North                                                          ,,,"M1, M101, M102, M106, M116, M15, M15-SBS, M2, M3, M7, M98",Contact program,,x
02M002,P.S. 2 Meyer London,212-964-0350,,1003248.0,,,,District School,,,,3.0,1.0,10002.0,Contact program,x,Lower East Side                                                            ,,,"B39, M103, M14A, M15, M15-SBS, M22, M9, X14, X2, X37, X38, X42, X5",Not Accessible,,
20KAHX,Gateway City Academy,718-921-3737,x,3145159.0,,,,NYCEEC,,,Enhanced Language Support: Spanish,10.0,43.0,11220.0,8:30am-2:50pm,,Bay Ridge                                                                  ,,,"B37, B4, B63, B64, B9, X12, X14, X15, X17, X17A, X19, X27, X3, X31, X37, X42, X5, X8, X9",Contact program,,x
01MATQ,Escuela Hispana Montessori 2,212-982-6650,,1004240.0,,,,NYCEEC,,,,3.0,2.0,10002.0,Contact program,,Chinatown                                                                  ,,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M8, M9",Contact program,,x
20KBPO,"Brooklyn Child Care, Inc.",718-630-2831,x,3345707.0,,,,NYCEEC,,,,10.0,43.0,11209.0,8:30am-2:50pm,,Bay Ridge                                                                  ,,,"B16, B63, B70, B8, X14",Contact program,,x
21K,Bambi Day Care,718-645-7010,,3196710.0,,,,NYCEEC,,,Enhanced Language Support: Russian,15.0,48.0,11229.0,Contact program,,Homecrest                                                                  ,,,"B2, B3, B49, B68, B7, B82",Contact program,,x
14KAKR,St. Stanislaus Kostka Catholic Academy,718-383-1970,x,3066952.0,,,,NYCEEC,,,,1.0,33.0,11222.0,8am-2:20pm,,Greenpoint                                                                 ,,,"B43, B48",Contact program,,x
13K067,P.S. 67 Charles A. Dorsey,718-834-6756,,3332507.0,,,,District School,,,,2.0,35.0,11205.0,8am-2:20pm,x,Fort Greene                                                                ,,,"B25, B26, B38, B52, B54, B57, B62, B67, B69",Not Accessible,,
17KBVL,Ella Baker Charles Romain CDC of Medgar Evers,718-270-6018,,3337869.0,,,,NYCEEC,,,,9.0,35.0,11225.0,Contact program,,Crown Heights South                                                        ,,,"B43, B44, B44-SBS, B45, B48, B49",Contact program,,x
11XAEL,St. Raymond Elementary,718-597-3232,x,2097353.0,,,,NYCEEC,,,,9.0,18.0,10462.0,Contact program,,Parkchester                                                                ,,,"Bx21, Bx22, Bx24, Bx40, Bx42, Bx4A, Bx8, BxM6",Contact program,,x
20KCdB,Dreamland Day Care,718-232-8155,,3392742.0,,,,NYCEEC,,,,11.0,44.0,11204.0,Contact program,,Bensonhurst East                                                           ,,,B6,Contact program,,x
19K273,P.S. 273 Wortman,718-649-5739,,3097973.0,,,,District School,,,,5.0,42.0,11207.0,Contact program,x,East New York                                                              ,,,"B13, B20, B6, B83, B84, BM5, Q8",Not Accessible,,
14KBME,Nuestros Ninos DCC II,718-218-8275,,3256381.0,,,,NYCEEC,,,Enhanced Language Support: Spanish,1.0,34.0,11211.0,Contact program,,North Side-South Side                                                      ,,,"B24, B32, B39, B44, B44-SBS, B46, B48, B60, B62, Q54, Q59",Contact program,,x
08X119,P.S. 119,718-822-5198,,2025696.0,,,,District School,,,,9.0,18.0,10472.0,8:15am-2:35pm,x,Soundview-Bruckner                                                         ,,,"Bx22, Bx36, Bx39, Bx4, Bx4A, Bx5, BxM6, BxM8, Q44-SBS",Not Accessible,,
02MBJS,NY Preschool TriBeCa,212-334-3301,x,1087082.0,,,,NYCEEC,,,,1.0,1.0,10013.0,Contact program,,SoHo-TriBeCa-Civic Center-Little Italy                                     ,,,"M103, M15, M20, M22, M5, M9",Contact program,,x
01M364,Earth School,212-477-1735,,1004627.0,,,,District School,,,,3.0,2.0,10009.0,8:30am-2:50pm,,Lower East Side                                                            ,,,"M14A, M14D, M15, M15-SBS, M21, M8, M9",Not Accessible,"Last year, this program admitted siblings of current students, and some other in-district students.",
01MATU,Grand St Settlement Head Start Center,212-777-0656,,1078038.0,,,,NYCEEC,,,,3.0,2.0,10002.0,Contact program,,Lower East Side                                                            ,,,"M14A, M14D, M21, M22, M9",Contact program,,x
19KBPJ,Recreation Rooms and Settlement Starrett Early Learning,718-642-8724,,,,,,NYCEEC,,,,,,,9am-3:20pm,,,,,"B13, B82, B83, BM2, BM5, Q8",Contact program,,x
20KCOH,Sweet Home Day Care Center,718-871-4301,x,3127549.0,,,,NYCEEC,,,,14.0,44.0,11218.0,8:10am-2:30pm,,Borough Park                                                               ,,,"B11, B67, B8",Contact program,,x
09XASB,New Covenant Christian School,718-328-6072,,2004287.0,,,,NYCEEC,,,,3.0,16.0,10456.0,Contact program,,Morrisania-Melrose                                                         ,,,"Bx15, Bx17, Bx21, Bx35, Bx41, Bx41-SBS, Bx6, Bx6-SBS",Contact program,,x
12XAYK,Phipps Houses Lebanon West Farms,347-723-3719,,2127440.0,,,,NYCEEC,,,Enhanced Language Support: Spanish,6.0,15.0,10460.0,Contact program,,East Tremont                                                               ,,,"Bx21, Bx36, Bx40, Bx42, Bx9, BxM6, Q44-SBS",Contact program,,x
04MAWD,Addie Mae Collins 2,212-831-7373,,1079340.0,,,,NYCEEC,,,,11.0,8.0,10029.0,Contact program,,East Harlem South                                                          ,,,"M101, M102, M106, M15, M15-SBS, M31, M96, M98",Contact program,,x
19KBPD,Sylvia Klein Child Care Center,718-647-2274,,3337053.0,,,,NYCEEC,,,,5.0,42.0,11208.0,Contact program,,East New York                                                              ,,,"B13, B14, B15, B20, Q7, Q8",Contact program,,x
19KAXU,University Settlement Children's Corner,718-346-3470,,3084621.0,,,,NYCEEC,,,,5.0,42.0,11207.0,9am-3:20pm,,East New York (Pennsylvania Ave)                                           ,,,"B14, B15, B20, B83",Contact program,,x
10XATH,"MARC Academy and Family Center, Inc.",718-562-3410,,2016419.0,,,,NYCEEC,,,,7.0,15.0,10458.0,Contact program,,Bedford Park-Fordham North                                                 ,,,"Bx1, Bx19, Bx2, Bx26, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, BxM4",Contact program,This program is new to the 2018 application.,
13KCQT,Bnos Square of Williamsburg,718-797-9844,,3048560.0,,,,NYCEEC,,Single-gender program (Girls only),,3.0,33.0,11205.0,Contact program,,Bedford                                                                    ,,,"B54, B44",Contact program,,
14K016,P.S. 16 Leonard Dunkly,718-782-5352,,3059906.0,,,,District School,,,,1.0,33.0,11211.0,Contact program,x,Williamsburg                                                               ,,,"B24, B32, B39, B44, B44-SBS, B46, B48, B60, B62, B67, Q54, Q59",Not Accessible,,
06MAXV,Dominican Women's Development  Center,212-421-3966,x,1063193.0,,,,NYCEEC,,,,12.0,10.0,10033.0,Contact program,,Washington Heights South                                                   ,,,"Bx11, Bx13, Bx18, Bx3, Bx35, M100, M101, M2, M3, M4, M5, M98",Contact program,,x
16K628,Brooklyn Brownstone School,718-573-2307,,3047054.0,,,,District School,,,,3.0,36.0,11233.0,Contact program,,Stuyvesant Heights                                                         ,,,"B15, B25, B26, B43, B46, B52, B65",Not Accessible,"Last year, this program admitted siblings of current students, other in-district students, and some other out-of-district students.",
11X106,P.S. 106 Parkchester,718-892-1006,,2041211.0,,,,District School,,,,9.0,18.0,10462.0,8:10am-2:30pm,x,Parkchester                                                                ,,,"Bx22, Bx36, Bx39, Bx4, Bx40, Bx42, Bx4A, BxM6, Q44-SBS",Fully Accessible,,
19KBKU,Friends of Crown Heights 15,718-638-8686,,3089020.0,,,,NYCEEC,,,,5.0,37.0,11208.0,Contact program,,East New York                                                              ,,,"B13, B14, B15, Q24, Q7, Q8",Contact program,,x
19K108,P.S. 108 Sal Abbracciamento@,718-277-7010,,3087131.0,Spanish Dual Language Program,,,District School,19K108FDPKSP,,,5.0,37.0,11208.0,8am-2:20pm,x,Cypress Hills-City Line                                                    ,,,"Q24, Q56",Not Accessible,,
09X449,Grant Avenue Elementary School,718-681-6288,,2002497.0,,,,District School,,,,4.0,16.0,10456.0,Contact program,x,East Concourse-Concourse Village                                           ,,,"Bx1, Bx13, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, Bx6, BxM4",Not Accessible,,
02MAUU,Garment Industry Day Care Center,212-219-2286,,1005645.0,,,,NYCEEC,,,,3.0,1.0,10002.0,9am-3:20pm,,Chinatown                                                                  ,,,"B39, M103, M14A, M15, M15-SBS, M21, M22, M5, M9",Contact program,,
10XAPB,Riverdale Presbyterian Church and Nursery School,718-548-8260,x,2087605.0,,,,NYCEEC,,,,8.0,11.0,10471.0,9am-3:20pm,,North Riverdale-Fieldston-Riverdale                                        ,,,"Bx10, Bx20, Bx7, BxM1, BxM18, BxM2",Contact program,,x
19K202,P.S. 202 Ernest S. Jenkyns,718-649-7880,,3098664.0,,,,District School,,,,5.0,42.0,11208.0,Contact program,x,East New York                                                              ,,,"B13, B14, B15, B20, B6, B84, BM5, Q8",Not Accessible,,
01MAUC,Grand St Settlement,212-228-8240,,1078037.0,,,,NYCEEC,,,,3.0,2.0,10002.0,Contact program,,Lower East Side                                                            ,,,"M14A, M14D, M21, M22, M9",Contact program,,x
17KCPM,"High Definition Day Care, Inc.",718-240-9300,,3396954.0,,,,NYCEEC,,,,17.0,40.0,11226.0,8am-2:20pm,,Erasmus                                                                    ,,,"B12, B35, B44, B44-SBS, B49",Contact program,,x
08X100,P.S. 100 Isaac Clason,718-842-1461,,2022550.0,,,,District School,,,,9.0,18.0,10473.0,8am-2:20pm,x,Soundview-Castle Hill-Clason Point-Harding Park                            ,,,"Bx27, Bx36, Bx39, Bx5, BxM8",Not Accessible,,
10XARV,Bronx Day Care Center Inc.,718-299-2275,,2011829.0,,,,NYCEEC,,,,6.0,15.0,10457.0,Contact program,,East Tremont                                                               ,,,"Bx12, Bx15, Bx17, Bx36, Bx40, Bx41, Bx41-SBS, Bx42",Contact program,,x
09XAOD,BronxWorks,718-508-3054,x,2002833.0,,,,NYCEEC,,,,4.0,16.0,10456.0,Contact program,,East Concourse-Concourse Village                                           ,,,"Bx1, Bx11, Bx13, Bx2, Bx32, Bx35, Bx41, Bx6, BxM4",Contact program,,x
14KBVD,Nuestros Ninos DCC III,718-388-5000,,3063127.0,,,,NYCEEC,,,,1.0,34.0,11211.0,Contact program,,North Side-South Side                                                      ,,,"B24, B32, B39, B44, B44-SBS, B46, B60, B62, B67, Q54, Q59",Contact program,,x
17KCIA,Effie B.s Early Childhood Development Center Corp.,718-735-5500,,3037378.0,,,,NYCEEC,,,,8.0,41.0,11213.0,Contact program,,Crown Heights North                                                        ,,,"B12, B14, B15, B17, B45, B46, B46-SBS, B47, B65",Contact program,This program is new to the 2018 application.,
07X043,P.S. 43 Jonas Bronck,718-292-4502,,2000205.0,,,,District School,,,,1.0,8.0,10454.0,Contact program,,Mott Haven-Port Morris                                                     ,,,"Bx1, Bx15, Bx17, Bx2, Bx21, Bx32, Bx33, M35",Not Accessible,"Last year, this program admitted students from all priority groups.",
21KAOV,Yeshiva Ohr Shraga,718-252-7777,,3329237.0,,,,NYCEEC,,Single-gender program (Boys only),,14.0,44.0,11230.0,Contact program,,Midwood                                                                    ,,,"B11, B49, B6, B68, B9",Contact program,,
11XACR,Regent School,718-653-2900,x,2057946.0,,,,NYCEEC,,,,12.0,12.0,10467.0,8am-2:20pm,,Williamsbridge-Olinville                                                   ,,,"Bx28, Bx30, Bx38, Bx39, Bx41, Bx8, BxM11",Contact program,,x
20K204,P.S. 204 Vince Lombardi,718-236-2906,,3163702.0,,,,District School,,,,11.0,43.0,11228.0,Contact program,,Bensonhurst West                                                           ,,,"B1, B4, B64, B8, X28, X38",Partially Accessible,,
03MAVQ,Mabel Barrett Fitzgerald DCC,212-712-9306,x,1030340.0,,,,NYCEEC,,,,7.0,6.0,10023.0,Contact program,,Lincoln Square                                                             ,,,"M10, M104, M11, M12, M20, M31, M5, M57, M66, M72",Contact program,,x
19KBJP,PAL Arnold and Marie Schwartz Early Learn Center,718-342-4724,,3084628.0,,,,NYCEEC,,,,5.0,42.0,11207.0,9:30am-3:50pm,,East New York (Pennsylvania Ave)                                           ,,,"B14, B15, B20, B83",Contact program,,x
17KBJS,Friends of Crown Heights 10,929-234-2821,,3032188.0,,,,NYCEEC,,,,8.0,35.0,11216.0,Contact program,,Crown Heights North                                                        ,,,"B44, B44-SBS, B45, B48, B49, B65",Contact program,,x
20KBYG,Happy Dragon Children and Family Center,718-439-8816,x,3016180.0,,,,NYCEEC,,,,7.0,38.0,11220.0,8:30am-2:50pm,,Sunset Park East                                                           ,,,"B11, B16, B63, B70, B9, X10, X11, X14, X28, X4",Contact program,,x
18K244,P.S. 244 Richard R. Green,718-346-6240,,3104513.0,,,,District School,,,,17.0,45.0,11203.0,8am-2:20pm,x,Rugby-Remsen Village                                                       ,,,"B17, B35, B46, B47, B7, B8",Fully Accessible,,
06MASH,Friends of Crown Heights DCC #28,212-567-5655,,1080030.0,,,,NYCEEC,,,,12.0,10.0,10034.0,Contact program,,Marble Hill-Inwood                                                         ,,,"Bx12, Bx40, Bx7, M100, M101, M3",Contact program,,x
21KABN,Barkai Yeshivah,718-998-7473,,3131092.0,,,,NYCEEC,,,,12.0,44.0,11204.0,Contact program,,Borough Park                                                               ,,,"B11, B6, B8, B9",Contact program,,
10XAEB,Saint Margaret of Cortona,718-549-8580,,2085311.0,,,,NYCEEC,,,,8.0,11.0,10471.0,Contact program,,North Riverdale-Fieldston-Riverdale                                        ,,,"Bx10, Bx7, Bx9, BxM2, BxM3",Contact program,,x
20KBBB,Bambi Day Care IV,718-332-8656,x,3328847.0,,,,NYCEEC,,,Enhanced Language Support: Russian,10.0,43.0,11209.0,Contact program,,Bay Ridge                                                                  ,,,"B1, B16, B37, B4, B63, B70, S53, S79-SBS, S93, X14, X17, X28",Contact program,,x
10XAUP,St. Martin of Tours Head Start,718-220-4750,,2118254.0,,,,NYCEEC,,,,6.0,15.0,10457.0,8:30am-2:50pm,,Belmont                                                                    ,,,"Bx12, Bx15, Bx17, Bx19, Bx36, Bx40, Bx42, Bx9",Contact program,,x
17KCAD,Higher Level,718-856-4064,,3117907.0,,,,NYCEEC,,,,17.0,40.0,11226.0,Contact program,,Erasmus                                                                    ,,,"B35, B41, B44, B49, B8, BM2, BM4",Contact program,,x
09XARN,Trabajamos Community Head Start,917-259-7081,,2109804.0,,,,NYCEEC,,,,5.0,14.0,10453.0,Contact program,,Mount Hope                                                                 ,,,"Bx1, Bx18, Bx3, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42",Contact program,,x
18KCTE,Canope Day Care,718-807-8649,,3231661.0,,,,NYCEEC,,,,18.0,46.0,11236.0,Contact program,,Canarsie                                                                   ,,,"B103, B17, B42, B6, B82, BM2",Contact program,,
20KBYF,Edith and Karl Marks JCH of Bensonhurst,718-943-6333,x,3162352.0,,,,NYCEEC,,,,11.0,44.0,11214.0,Contact program,,Bensonhurst West                                                           ,,,"B1, B4, B6, B82",Contact program,,x
02M343,The Peck Slip School,212-312-6260,,1001363.0,,,,District School,,,,1.0,1.0,10038.0,8:15am-2:35pm,x,Battery Park City-Lower Manhattan                                          ,,,"BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X4, X42, X5, X8",Fully Accessible,,
09XAUZ,BronxWorks,347-590-8955,,2008981.0,,,,NYCEEC,,,,5.0,14.0,10453.0,8:30am-2:50pm,,University Heights-Morris Heights                                          ,,,"Bx11, Bx13, Bx18, Bx3, Bx32, Bx35, Bx36, Bx40, Bx42",Contact program,,x
18K208,P.S. 208 Elsa Ebeling,718-629-1670,,3105680.0,,,,District School,,,,17.0,45.0,11203.0,8am-2:20pm,x,East Flatbush-Farragut                                                     ,,,"B46, B6, B7, B8",Not Accessible,,
17K705,Brooklyn Arts and Science Elementary School,718-230-0851,,3028281.0,Spanish Dual Language Program,,,District School,17K705FDPKSP,,,8.0,35.0,11238.0,Contact program,x,Crown Heights North                                                        ,,,"B25, B26, B44, B44-SBS, B45, B48, B49, B65, B69",Fully Accessible,,
17K375,P.S. 375 Jackie Robinson School,718-693-6655,,3034356.0,,,,District School,,,,9.0,35.0,11225.0,8:10am-2:30pm,x,Crown Heights South                                                        ,,,"B16, B41, B43, B44, B44-SBS, B48, B49",Not Accessible,,
02MASL,Hudson Guild Children's Center I,212-760-9830,,1012827.0,,,,NYCEEC,,,Enhanced Language Support: Spanish,4.0,3.0,10001.0,Contact program,,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,,,"M11, M12, M14A, M14D, M20, M23, M34A-SBS, M34-SBS",Contact program,,x
09XACX,St. Angela Merici  School,718-293-3365,,2096463.0,,,,NYCEEC,,,,4.0,16.0,10451.0,Contact program,,East Concourse-Concourse Village                                           ,,,"Bx1, Bx13, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, Bx6",Contact program,,x
04M112,P.S. 112 Jose Celso Barbosa,212-860-5868,,1084005.0,,,,District School,,,,11.0,8.0,10035.0,Contact program,x,East Harlem North                                                          ,,,"Bx15, BxM10, BxM6, BxM7, BxM8, BxM9, M100, M101, M103, M116, M15, M15-SBS, M35, M60-SBS",Not Accessible,,
08X140,P.S. 140 The Eagle School,718-585-1205,,2004469.0,,,,District School,,,,3.0,17.0,10456.0,Contact program,x,Morrisania-Melrose                                                         ,,,"Bx13, Bx15, Bx17, Bx21, Bx4, Bx41, Bx41-SBS, Bx46, Bx4A, Bx6",Not Accessible,,
16K335,P.S. 335 Granville T. Woods,718-493-7736,,3035887.0,,,,District School,,,,8.0,36.0,11213.0,8am-2:20pm,x,Crown Heights North                                                        ,,,"B14, B15, B17, B25, B45, B46, B47, B65",Not Accessible,,
11X160,P.S. 160 Walt Disney,718-822-8402,,2072352.0,Spanish Dual Language Program,,,District School,11X160FDPKSP,,,10.0,12.0,10475.0,8am-2:20pm,x,Co-op City                                                                 ,,,"Bx12, Bx12-SBS, Bx23, Bx26, Bx28, Bx29, Bx30, Bx38, Bx5, BxM7, Q50",Partially Accessible,,
02MBBE,Lexington Children's Center,212-410-1060,,1078911.0,,,,NYCEEC,,,,11.0,5.0,10029.0,8am-2:20pm,,East Harlem South                                                          ,,,"M101, M102, M106, M15, M15-SBS, M2, M96, M98",Contact program,This program is new to the 2018 application.,
10XAPA,"Riverdale Neighborhood House, Inc.",718-549-8100,x,2119685.0,,,,NYCEEC,,,,8.0,11.0,10471.0,8am-2:20pm,,North Riverdale-Fieldston-Riverdale                                        ,,,"Bx10, Bx7, Bx9, BxM2, BxM3",Contact program,,x
06MAFQ,Our Lady Queen of Martyrs School,212-567-3190,x,1064245.0,,,,NYCEEC,,,,12.0,10.0,10040.0,Contact program,,Washington Heights North                                                   ,,,"Bx12, Bx20, Bx7, M100, M3, M4",Contact program,,x
18KCNU,Learning Zone,347-587-1382,,3231833.0,,,,NYCEEC,,,,18.0,46.0,11236.0,8am-2:20pm,,Canarsie                                                                   ,,,"B103, B17, B42, B6, B60, B82, BM2",Contact program,,x
12X195,P.S. 195,718-861-4461,,2088553.0,,,,District School,,,,9.0,18.0,10472.0,8am-2:20pm,x,West Farms-Bronx River                                                     ,,,"Bx11, Bx27, Bx36, Bx4, Bx4A",Not Accessible,,
03MBGT,Finger Painted Hands,212-595-5200,x,1032080.0,,,,NYCEEC,,,,7.0,6.0,10024.0,Contact program,,Upper West Side                                                            ,,,"M10, M104, M11, M5, M79",Contact program,,x
17K249,P.S. 249 The Caton,718-282-8828,,3116438.0,,,,District School,,,,14.0,40.0,11226.0,Contact program,x,Flatbush                                                                   ,,,"B103, B12, B16, B35, B41, B68, BM3, BM4",Partially Accessible,,
12X092,P.S. 92 Bronx,718-731-7900,,2012620.0,,,,District School,,,,6.0,17.0,10457.0,Contact program,x,East Tremont                                                               ,,,"Bx12, Bx15, Bx17, Bx19, Bx36, Bx40, Bx42, Bx9",Not Accessible,,
10XAOT,Kingsbridge Heights Community Center,718-884-0700,,2015788.0,,,,NYCEEC,,,Enhanced Language Support: Spanish,8.0,14.0,10463.0,Contact program,,Van Cortlandt Village                                                      ,,,"Bx1, Bx10, Bx2, Bx20, Bx22, Bx26, Bx3, Bx7, Bx9, BxM2",Contact program,,x
20Z074,District 20 Pre-K Center at 140 58th Street,718-439-2200,,3257058.0,,,,Pre-K Center,,,,7.0,38.0,11220.0,8:20am-2:40pm,,Sunset Park West                                                           ,x,,"B11, B37",Contact program,,
10X207,p.s. 207,718-796-9645,,2083138.0,,,,District School,,,,8.0,11.0,10463.0,8am-2:20pm,x,Spuyten Duyvil-Kingsbridge                                                 ,,,"Bx1, Bx10, Bx2, Bx20, Bx3, Bx7, Bx9, BxM1, BxM18, BxM2, BxM3",Not Accessible,,
10X051,P.S. 51 Bronx New School,718-733-0347,,2118254.0,,,,District School,,,,6.0,15.0,10457.0,8am-2:20pm,,Belmont                                                                    ,,,"Bx12, Bx15, Bx17, Bx19, Bx36, Bx40, Bx42, Bx9",Not Accessible,"Last year, this program admitted siblings of current students and some other in-district students.",
01M015,P.S. 15 Roberto Clemente,212-228-8730,,1004415.0,,,,District School,,,,3.0,2.0,10009.0,8:40am-3pm,,Lower East Side                                                            ,,,"M14A, M14D, M15, M15-SBS, M21, M8, M9",Partially Accessible,"Last year, this program admitted siblings of current students, other in-district students, and some out-of-district students.",
06MATP,LSSMNY: Early LIFE Childrens Center 14,646-449-0814,,1061917.0,,,,NYCEEC,,,,9.0,7.0,10031.0,Contact program,,Hamilton Heights                                                           ,,,"Bx19, M10, M100, M101, M11, M3, M4, M5",Contact program,,x
09XAZC,Jesus Loves the Little Angels 2,570-216-6053,,2116225.0,,,,NYCEEC,,,,4.0,16.0,10457.0,8am-2:20pm,,East Concourse-Concourse Village                                           ,,,"Bx1, Bx11, Bx15, Bx18, Bx2, Bx32, Bx41, Bx41-SBS, BxM4",Contact program,,x
13Z090,District 13 Pre-K Center at 25 Dock Street,718-780-7690,,3398406.0,,,,Pre-K Center,,,,2.0,33.0,11201.0,8:20am-2:40pm,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,,B25,Contact program,,
15K172,P.S. 172 Beacon School Of Excellence,718-965-4200,,3009847.0,,,,District School,,,,7.0,38.0,11232.0,Contact program,x,Sunset Park West                                                           ,,,"B35, B37, B63, B70, X12, X14, X17, X17A, X19, X27, X28, X3, X31, X37, X38, X42, X5, X8, X9",Not Accessible,,
01M188,P.S. 188 The Island School,212-677-5710,,1004349.0,Spanish Dual Language Program,,,District School,01M188FDPKSP,,,3.0,2.0,10002.0,Contact program,,Lower East Side                                                            ,,,"M14A, M14D, M21, M22, M8, M9",Fully Accessible,"Last year, this program admitted students from all priority groups.",
